1784297dfd4d8bd64994f1db8891e5a35859445cc7372bb8bed7282f2bd69758,38e1674cd3faa49e37777ebcedb8f56427bf48630db41f68a773232874c2572f,f17fbfb9c70fa49a95ebf6d331522d5ffc4deb844303939a4db6cf9fef65eb78,4c712a1594b894759383d1718f3f0fba3b76567ddca6ba63d6068b8262deb7dd,fa8095ad3f161d4b825a498427eb4147239af4ed823c5e70c96a04d4578a34d3,4a3b8b7c31eaf92fb89a2affb89585e908ea6f86fb5d503ddd7afd37fb9e14ab,95412758fb969d3d9a787dd346086b1d103615393ad300e2c2b45fcb31f9f53d,0baa10550ba33479735881529a232c86bd47029c3075c8bd0efba78fa1cd274e,0a2b8d0c4641083fe491f3f665d017525c6285e5cc5c4d1329d7b289e8d443d1,6b37b9995796ffdc9cdade04b2e1b28c01d2b7f9e2f3564f5a64f6debc510baa,94bc72cf922e31f924a62c2b3e7aebebc04c3d4dd108eecb1760e334afd80393
"1060","61030","","","4","","","5146061","","","0"
"106011","61031","1","","3","","","5146061","0.5","","sad_idle_dere_shy"
"1060","61032","1","","3","","","5146061","0.5","","sad_idle_dere_shy"
"vo_apg","61033","0","","21","0","","5146061","","","vo_apg_0102"
"201","61034","0","","3","","","5146061","0","","0102_in"
"4.6","61035","","","93","","","5146061","","","1"
"201","61036","0","","3","","","5146061","0","","0102_mid"
"","61037","","","92","","","5146061","","",""
"201","61038","0","","3","","","5146061","0","","0102_out"
"0.2","61039","","","93","","","5146061","","","0"
"106011","61040","0","","3","kyaru_smile_idle","0","5146061","0.2","1","kyaru_smile_in"
"1060","61041","0","","3","kyaru_smile_idle","0","5146061","0.2","1","kyaru_smile_in"
"vo_apg","61042","0","","21","0","","5146061","","","vo_apg_0103"
"201","61043","0","","3","","","5146061","0","","0103_in"
"5.4","61044","","","93","","","5146061","","","1"
"201","61045","0","","3","","","5146061","0","","0103_mid"
"","61046","","","92","","","5146061","","",""
"201","61047","0","","3","","","5146061","0","","0103_out"
"0.2","61048","","","93","","","5146061","","","0"
"2","61049","","","37","","","5146061","","","fade105_out"
"105811","61050","","","4","","","5146061","","","1"
"1058","61051","","","4","","","5146061","","","1"
"105811","61052","1","","3","","","5146061","0.2","","surprise_talk"
"1058","61053","1","","3","","","5146061","0.2","","surprise_talk"
"vo_apg","61054","0","","21","0","","5146061","","","vo_apg_0104"
"105811","61055","10","0","11","1","0","5146061","0","1","……キャルちゃん、\n写真写りたくないんですかね…？"
"0","61056","","","91","","","5146061","","",""
"105811","61057","1","","3","","","5146061","0.2","","surprise_idle_talk1R"
"1058","61058","1","","3","","","5146061","0.2","","surprise_idle_talk1R"
"105911","61059","1","","3","","","5146061","0.2","","kokkoro_surprise_talk"
"1059","61060","1","","3","","","5146061","0.2","","kokkoro_surprise_talk"
"vo_apg","61061","0","","21","0","","5146061","","","vo_apg_0105"
"105911","61062","10","0","11","1","0","5146061","0","1","はい。\nどうやらそのようでございます"
"0","61063","","","91","","","5146061","","",""
"105911","61064","1","","3","","","5146061","0.2","","kokkoro_idle_normal"
"1059","61065","1","","3","","","5146061","0.2","","kokkoro_idle_normal"
"105811","61066","1","","3","","","5146061","0.2","","idle_normal_talk1R"
"1058","61067","1","","3","","","5146061","0.2","","idle_normal_talk1R"
"105811","61068","","","4","","","5146061","","","0"
"1058","61069","","","4","","","5146061","","","0"
"106011","61070","","","4","","","5146061","","","1"
"1060","61071","","","4","","","5146061","","","1"
"106011","61072","0","","3","cool_talk_sing_shy","0","5146061","0.2","1","cool_in_sing_shy"
"1060","61073","0","","3","cool_talk_sing_shy","0","5146061","0.2","1","cool_in_sing_shy"
"vo_apg","61074","0","","21","0","","5146061","","","vo_apg_0106"
"106011","61075","10","0","11","1","0","5146061","0","1","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ"
"0","61076","","","91","","","5146061","","",""
"0","61077","","","22","","","5146061","","","0"
"106011","61078","1","","3","","","5146061","0.2","","walk_kyapi_shy"
"1060","61079","1","","3","","","5146061","0.2","","walk_kyapi_shy"
"105811","61080","1","","3","","","5146061","0.2","","walk_furimuki"
"1058","61081","1","","3","","","5146061","0.2","","walk_furimuki"
"105911","61082","1","","3","","","5146061","0.2","","kokkoro_walk_surprise"
"1059","61083","1","","3","","","5146061","0.2","","kokkoro_walk_surprise"
"106011","61084","-278","","2","2","","5146061","","0","149"
"1060","61085","-278","","2","2","","5146061","","0","149"
"105811","61086","-278","","2","2","","5146061","","0","-54"
"1058","61087","-278","","2","2","","5146061","","0","-54"
"105911","61088","-288","","2","2","","5146061","","0","-214"
"1059","61089","-288","","2","2","","5146061","","0","-214"
"1","61090","","","93","","","5146061","","","0"
"2","61091","","","37","","","5146061","","","iris_in"
"2","61092","","","93","","","5146061","","","0"
"se_10055900","61093","1","","23","","","5146061","","","se_10055900_coaster_02"
"10","61094","","","32","","","5146061","","","1"
"30","61095","0.5","","122","","","5146061","","","30"
"vo_apg","61096","0","","21","0","","5146061","","","vo_apg_0107"
"202","61097","0","","3","","","5146061","0","","0107_in"
"0.7","61098","","","93","","","5146061","","","1"
"202","61099","0","","3","","","5146061","0","","0107_mid"
"","61100","","","92","","","5146061","","",""
"202","61101","0","","3","","","5146061","0","","0107_out"
"0.2","61102","","","93","","","5146061","","","0"
"202","61103","-211","","2","0","","5146061","","0","0"
"30","61104","0.5","","122","","","5146061","","","30"
"vo_apg","61105","0","","21","0","","5146061","","","vo_apg_0108"
"203","61106","0","","3","","","5146061","0","","0108_in"
"0.8","61107","","","93","","","5146061","","","1"
"203","61108","0","","3","","","5146061","0","","0108_mid"
"","61109","","","92","","","5146061","","",""
"203","61110","0","","3","","","5146061","0","","0108_out"
"0.2","61111","","","93","","","5146061","","","0"
"201","61112","16","","2","0","","5146061","","0","315"
"30","61113","0.5","","122","","","5146061","","","30"
"vo_apg","61114","0","","21","0","","5146061","","","vo_apg_0109"
"201","61115","0","","3","","","5146061","0","","0109_in"
"1.1","61116","","","93","","","5146061","","","1"
"201","61117","0","","3","","","5146061","0","","0109_mid"
"","61118","","","92","","","5146061","","",""
"201","61119","0","","3","","","5146061","0","","0109_out"
"0.2","61120","","","93","","","5146061","","","0"
"30","61121","0.5","","122","","","5146061","","","30"
"vo_apg","61122","0","","21","0","","5146061","","","vo_apg_0110"
"202","61123","0","","3","","","5146061","0","","0107_in"
"203","61124","0","","3","","","5146061","0","","0108_in"
"201","61125","0","","3","","","5146061","0","","0109_in"
"1.1","61126","","","93","","","5146061","","","1"
"202","61127","0","","3","","","5146061","0","","0107_mid"
"203","61128","0","","3","","","5146061","0","","0108_mid"
"201","61129","0","","3","","","5146061","0","","0109_mid"
"","61130","","","92","","","5146061","","",""
"202","61131","0","","3","","","5146061","0","","0107_out"
"203","61132","0","","3","","","5146061","0","","0108_out"
"201","61133","0","","3","","","5146061","0","","0109_out"
"0.2","61134","","","93","","","5146061","","","0"
"201","61135","0","","2","0","","5146061","","0","216"
"vo_apg","61136","0","","21","0","","5146061","","","vo_apg_0111"
"201","61137","0","","3","","","5146061","0","","0111_in"
"1.8","61138","","","93","","","5146061","","","1"
"201","61139","0","","3","","","5146061","0","","0111_mid"
"","61140","","","92","","","5146061","","",""
"201","61141","0","","3","","","5146061","0","","0111_out"
"0.2","61142","","","93","","","5146061","","","0"
"0","61143","","","22","","","5146061","","","0"
"0.5","61144","","","93","","","5146061","","",""
"11","61145","","","32","","","5146061","","","1"
"se_10055900","61146","0","","23","","","5146061","","","se_10055900_camera"
"0.2","61147","","","93","","","5146061","","","0"
"10","61148","","","32","","","5146061","","","0"
"1.8","61149","","","93","","","5146061","","","0"
"se_10055900_coaster_02","61150","","","24","","","5146061","","","0.5"
"2","61151","","","37","","","5146061","","","iris_out"
"106011","61152","-278","","2","0","","5146061","","0","129"
"1060","61153","-278","","2","0","","5146061","","0","129"
"105811","61154","-278","","2","0","","5146061","","0","-34"
"1058","61155","-278","","2","0","","5146061","","0","-34"
"105911","61156","-288","","2","0","","5146061","","0","-194"
"1059","61157","-288","","2","0","","5146061","","0","-194"
"106011","61158","1","","3","","","5146061","0.2","","walk_normal_dere2"
"1060","61159","1","","3","","","5146061","0.2","","walk_normal_dere2"
"105811","61160","1","","3","","","5146061","0.2","","walk_normal_joy"
"1058","61161","1","","3","","","5146061","0.2","","walk_normal_joy"
"105911","61162","1","","3","","","5146061","0.2","","kokkoro_walk_normal_dere"
"1059","61163","1","","3","","","5146061","0.2","","kokkoro_walk_normal_dere"
"106011","61164","-278","","2","2","","5146061","","0","290"
"1060","61165","-278","","2","2","","5146061","","0","290"
"105811","61166","-278","","2","2","","5146061","","0","-225"
"1058","61167","-278","","2","2","","5146061","","0","-225"
"105911","61168","-288","","2","2","","5146061","","0","-385"
"1059","61169","-288","","2","2","","5146061","","0","-385"
"106011","61170","","","4","","","5146061","","","0"
"1060","61171","","","4","","","5146061","","","0"
"105811","61172","","","4","","","5146061","","","1"
"1058","61173","","","4","","","5146061","","","1"
"105911","61174","","","4","","","5146061","","","1"
"1059","61175","","","4","","","5146061","","","1"
"2","61176","","","93","","","5146061","","","0"
"106011","61177","","","4","","","5146061","","","1"
"1060","61178","","","4","","","5146061","","","1"
"105811","61179","","","4","","","5146061","","","0"
"1058","61180","","","4","","","5146061","","","0"
"105911","61181","","","4","","","5146061","","","0"
"1059","61182","","","4","","","5146061","","","0"
"106011","61183","1","","3","","","5146061","0.2","","joy_idle_doya_shy"
"1060","61184","1","","3","","","5146061","0.2","","joy_idle_doya_shy"
"105811","61185","1","","3","","","5146061","0.2","","idle_normal"
"1058","61186","1","","3","","","5146061","0.2","","idle_normal"
"105911","61187","1","","3","","","5146061","0.2","","kokkoro_idle_normal_joy"
"1059","61188","1","","3","","","5146061","0.2","","kokkoro_idle_normal_joy"
"0.3","61189","","","93","","","5146061","","","0"
"105811","61190","0","","3","guts2_talk_joy","0.2","5146061","0.2","1","jump_short"
"1058","61191","0","","3","guts2_talk_joy","0.2","5146061","0.2","1","jump_short"
"vo_apg","61192","0","","21","0","","5146061","","","vo_apg_0112"
"105811","61193","10","0","11","1","0","5146061","0","1","はぁ～♪\n楽しかったですねー☆"
"0","61194","","","91","","","5146061","","",""
"105811","61195","1","","3","","","5146061","0.2","","idle_normal"
"1058","61196","1","","3","","","5146061","0.2","","idle_normal"
"105911","61197","1","","3","","","5146061","0.2","","kokkoro_talk_normal"
"1059","61198","1","","3","","","5146061","0.2","","kokkoro_talk_normal"
"vo_apg","61199","0","","21","0","","5146061","","","vo_apg_0113"
"105911","61200","10","0","11","1","0","5146061","0","1","みなさま。\nお写真が\n仕上がったみたいです"
"0","61201","","","91","","","5146061","","",""
"105911","61202","1","","3","","","5146061","0.2","","kokkoro_idle_normal_joy"
"1059","61203","1","","3","","","5146061","0.2","","kokkoro_idle_normal_joy"
"106011","61204","0","","3","armcrossed_talk_dere_shy","0","5146061","0.2","1","armcrossed_in_dere_shy"
"1060","61205","0","","3","armcrossed_talk_dere_shy","0","5146061","0.2","1","armcrossed_in_dere_shy"
"vo_apg","61206","0","","21","0","","5146061","","","vo_apg_0114"
"106011","61207","10","0","11","1","0","5146061","0","1","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪"
"0","61208","","","91","","","5146061","","",""
"0","61209","","","22","","","5146061","","","0"
"106011","61210","0","","3","","","5146061","0.2","","armcrossed_idle_anger_lookup"
"1060","61211","0","","3","","","5146061","0.2","","armcrossed_idle_anger_lookup"
"105811","61212","1","","3","","","5146061","0.2","","idle_normal_lookup"
"1058","61213","1","","3","","","5146061","0.2","","idle_normal_lookup"
"105911","61214","1","","3","","","5146061","0.2","","kokkoro_wish_idle_joy_lookup"
"1059","61215","1","","3","","","5146061","0.2","","kokkoro_wish_idle_joy_lookup"
"21","61216","0","","3","","","5146061","0","","coaster_1_in"
"se_10055900","61217","0","","23","","","5146061","","","se_10055900_photo"
"2.3","61218","","","93","","","5146061","","","0"
"105811","61219","1","","3","","","5146061","0.2","","idle_normal_surprise"
"1058","61220","1","","3","","","5146061","0.2","","idle_normal_surprise"
"105911","61221","1","","3","","","5146061","0.2","","kokkoro_idle_normal_surprise"
"1059","61222","1","","3","","","5146061","0.2","","kokkoro_idle_normal_surprise"
"106011","61223","0","","3","pointing_loop_noface","0","5146061","0.2","1","pointing_in_noface"
"1060","61224","0","","3","pointing_loop_kyaru","0","5146061","0.2","1","pointing_in_kyaru"
"vo_apg","61225","0","","21","0","","5146061","","","vo_apg_0115"
"106011","61226","10","0","11","1","0","5146061","0","1","ってなによこれーっ！！！\nあたし写ってないじゃない！！？"
"0.5","61227","","","93","","","5146061","","","1"
"30","61228","0.5","","122","","","5146061","","","30"
"61226","61229","","","91","","","5146061","","",""
"105811","61230","1","","3","","","5146061","0.2","","surprise_talk"
"1058","61231","1","","3","","","5146061","0.2","","surprise_talk"
"vo_apg","61232","0","","21","0","","5146061","","","vo_apg_0116"
"105811","61233","10","0","11","1","0","5146061","0","1","……へ？\nキャルちゃんほんとは\n写りたかったんですか？"
"0","61234","","","91","","","5146061","","",""
"105811","61235","1","","3","","","5146061","0.2","","idle_normal_talk1R"
"1058","61236","1","","3","","","5146061","0.2","","idle_normal_talk1R"
"105911","61237","1","","3","","","5146061","0.2","","kokkoro_sad_talk"
"1059","61238","1","","3","","","5146061","0.2","","kokkoro_sad_talk"
"vo_apg","61239","0","","21","0","","5146061","","","vo_apg_0117"
"105911","61240","10","0","11","1","0","5146061","0","1","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです"
"0","61241","","","91","","","5146061","","",""
"105911","61242","1","","3","","","5146061","0.2","","kokkoro_idle_normal"
"1059","61243","1","","3","","","5146061","0.2","","kokkoro_idle_normal"
"106011","61244","0","","3","shock_loop_shy_red","0","5146061","0.2","1","shock_in_shy_red"
"1060","61245","0","","3","shock_loop_shy_red","0","5146061","0.2","1","shock_in_shy_red"
"vo_apg","61246","0","","21","0","","5146061","","","vo_apg_0118"
"106011","61247","10","0","11","1","0","5146061","0","1","い…いやそういう訳じゃ\nないけどっ！！？"
"0","61248","","","91","","","5146061","","",""
"21","61249","0","","3","","","5146061","0","","coaster_1_out"
"105911","61250","1","","3","","0.2","5146061","0.2","","kokkoro_idle_normal_joy"
"1059","61251","1","","3","","0.2","5146061","0.2","","kokkoro_idle_normal_joy"
"105811","61252","1","","3","","0.2","5146061","0.2","","joy_talk"
"1058","61253","1","","3","","0.2","5146061","0.2","","joy_talk"
"vo_apg","61254","0","","21","0","","5146061","","","vo_apg_0119"
"105811","61255","10","0","11","1","0","5146061","0","1","なんだ♪\nじゃあもう一回乗りましょー♪"
"0","61256","","","91","","","5146061","","",""
"105811","61257","1","","3","","","5146061","0.2","","joy_idle"
"1058","61258","1","","3","","","5146061","0.2","","joy_idle"
"105911","61259","1","","3","","","5146061","0.2","","kokkoro_wish_talk_normal2"
"1059","61260","1","","3","","","5146061","0.2","","kokkoro_wish_talk_normal2"
"vo_apg","61261","0","","21","0","","5146061","","","vo_apg_0120"
"105911","61262","10","0","11","1","0","5146061","0","1","はい、そういたしましょう♪"
"0","61263","","","91","","","5146061","","",""
"0","61264","","","22","","","5146061","","","0"
"105911","61265","1","","3","","","5146061","0.2","","kokkoro_wish_idle_joy"
"1059","61266","1","","3","","","5146061","0.2","","kokkoro_wish_idle_joy"
"106011","61267","1","","3","","","5146061","0.2","","anger_talk_anger2_red"
"1060","61268","1","","3","","","5146061","0.2","","anger_talk_anger2_red"
"106011","61269","2","0","12","0","0","5146061","0","0","2"
"105811","61270","2","0","12","0","0","5146061","0","0","10"
"105911","61271","2","0","12","0","0","5146061","0","0","10"
"2","61272","","","93","","","5146061","","","0"
"61274","61273","","","101","","","5146061","","",""
"0","61274","","","22","","","5146061","","","0.2"
"1","62001","103","idle_normal","1","-290","0","5146062","1.8","-278","100911"
"3","62002","104","idle_normal","5","-290","0","5146062","1.8","-278","1009"
"1","62003","100","idle_normal","1","290","1","5146062","1.8","-278","131011"
"100911","62004","","","13","","","5146062","","","203"
"131011","62005","","","13","","","5146062","","","200"
"7","62006","15","idle","5","0","0","5146062","0.85","-174","7"
"20","62007","210","empty","5","-132","0","5146062","1","71","20"
"22","62008","210","empty","5","0","0","5146062","1","-42","22"
"21","62009","60","empty","5","0","0","5146062","1","153","21"
"1","62010","0","","31","0","","5146062","1","1","1"
"2","62011","0","","31","-57.7","","5146062","0","1","2"
"10","62012","0","","31","0","","5146062","0","1","10"
"11","62013","0","","31","0","","5146062","0","1","11"
"14","62014","-290","","31","-278","","5146062","0","1","14"
"20","62015","0","","31","0","","5146062","1","1","20"
"20","62016","","","36","","","5146062","","","100911"
"20","62017","","","36","","","5146062","","","20"
"20","62018","","","36","","","5146062","","","22"
"0","62019","","","91","","","5146062","","","0"
"0","62020","0","","102","","","5146062","","","0"
"1","62021","","","93","","","5146062","","","0"
"100911","62022","0","","3","cool_talk_dere","0","5146062","0.2","1","cool_in_dere"
"1009","62023","0","","3","cool_talk_dere","0","5146062","0.2","1","cool_in_dere"
"vo_apg","62024","0","","21","0","","5146062","","","vo_apg_0201"
"100911","62025","10","0","11","1","0","5146062","0","1","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！"
"0","62026","","","91","","","5146062","","",""
"100911","62027","1","","3","","","5146062","0.2","","cool_idle"
"1009","62028","1","","3","","","5146062","0.2","","cool_idle"
"131011","62029","1","","3","","","5146062","0.2","","wish_talk_joy"
"vo_apg","62030","0","","21","0","","5146062","","","vo_apg_0202"
"131011","62031","10","0","11","1","0","5146062","0","1","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます"
"0","62032","","","91","","","5146062","","",""
"131011","62033","1","","3","","","5146062","0.2","","wish_idle"
"100911","62034","0","","3","sad_talk","0.2","5146062","0.2","1","anna_armcrossed"
"1009","62035","0","","3","sad_talk","0.2","5146062","0.2","1","anna_armcrossed"
"vo_apg","62036","0","","21","0","","5146062","","","vo_apg_0203"
"100911","62037","10","0","11","1","0","5146062","0","1","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？"
"0","62038","","","91","","","5146062","","",""
"100911","62039","1","","3","","","5146062","0.2","","sad_idle"
"1009","62040","1","","3","","","5146062","0.2","","sad_idle"
"131011","62041","0","","3","surprise_talk","0.2","5146062","0.2","1","maho_talk_normal"
"vo_apg","62042","0","","21","0","","5146062","","","vo_apg_0204"
"131011","62043","10","0","11","1","0","5146062","0","1","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…"
"0","62044","","","91","","","5146062","","",""
"131011","62045","1","","3","","","5146062","0.2","","surprise_idle"
"100911","62046","1","","3","","","5146062","0.2","","anger_talk_shy"
"1009","62047","1","","3","","","5146062","0.2","","anger_talk_shy"
"vo_apg","62048","0","","21","0","","5146062","","","vo_apg_0205"
"100911","62049","10","0","11","1","0","5146062","0","1","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？"
"0","62050","","","91","","","5146062","","",""
"100911","62051","1","","3","","","5146062","0.2","","anger_idle_shy"
"1009","62052","1","","3","","","5146062","0.2","","anger_idle_shy"
"131011","62053","1","","3","","","5146062","0.2","","worry_talk"
"vo_apg","62054","0","","21","0","","5146062","","","vo_apg_0206"
"131011","62055","10","0","11","1","0","5146062","0","1","せやけど、無理はせん方が\nええんとちゃいます？"
"0","62056","","","91","","","5146062","","",""
"131011","62057","1","","3","","","5146062","0.2","","wish_idle_shy"
"100911","62058","1","","3","","","5146062","0.2","","anger_talk_pain"
"1009","62059","1","","3","","","5146062","0.2","","anger_talk_pain"
"vo_apg","62060","0","","21","0","","5146062","","","vo_apg_0207"
"100911","62061","10","0","11","1","0","5146062","0","1","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！"
"0","62062","","","91","","","5146062","","",""
"0","62063","","","22","","","5146062","","","0"
"100911","62064","1","","3","","","5146062","0.2","","run_dash_anger2"
"1009","62065","1","","3","","","5146062","0.2","","run_dash_anger2"
"131011","62066","1","","3","","","5146062","0.2","","walk_surprise"
"100911","62067","-278","","2","2","","5146062","","0","-129"
"1009","62068","-278","","2","2","","5146062","","0","-129"
"131011","62069","-278","","2","2","","5146062","","0","129"
"14","62070","","","32","","","5146062","","","1"
"14","62071","","","37","","","5146062","","","left"
"14","62072","-278","","33","2","","5146062","","0","-129"
"1","62073","","","93","","","5146062","","","0"
"2","62074","","","32","","","5146062","","","1"
"1.5","62075","","","93","","","5146062","","","0"
"14","62076","","","32","","","5146062","","","0"
"100911","62077","-331","","2","0","","5146062","","0","0"
"20","62078","","","37","","","5146062","","","scale15"
"se_10055900","62079","1","","23","","","5146062","","","se_10055900_coaster_01"
"vo_apg","62080","0","","21","0","","5146062","","","vo_apg_0208"
"22","62081","0","","3","","","5146062","0","","0208_in"
"3.3","62082","","","93","","","5146062","","","1"
"22","62083","0","","3","","","5146062","0","","0208_mid"
"","62084","","","92","","","5146062","","",""
"22","62085","0","","3","","","5146062","0","","0208_out"
"0.2","62086","","","93","","","5146062","","","0"
"0.3","62087","","","93","","","5146062","","","0"
"20","62088","","","37","","","5146062","","","scale1"
"10","62089","","","32","","","5146062","","","1"
"se_10055900_coaster_01","62090","","","24","","","5146062","","","0.5"
"se_10055900","62091","1","","23","","","5146062","","","se_10055900_coaster_02"
"20","62092","0","","2","0","","5146062","","0","0"
"30","62093","0.5","","122","","","5146062","","","30"
"vo_apg","62094","0","","21","0","","5146062","","","vo_apg_0209"
"20","62095","0","","3","","","5146062","0","","0209_in"
"2.6","62096","","","93","","","5146062","","","1"
"20","62097","0","","3","","","5146062","0","","0209_mid"
"","62098","","","92","","","5146062","","",""
"20","62099","0","","3","","","5146062","0","","0209_out"
"0.2","62100","","","93","","","5146062","","","0"
"30","62101","1","","122","","","5146062","","","30"
"vo_apg","62102","0","","21","0","","5146062","","","vo_apg_0210"
"20","62103","0","","3","","","5146062","0","","0210_in"
"2.7","62104","","","93","","","5146062","","","1"
"20","62105","0","","3","","","5146062","0","","0210_mid"
"","62106","","","92","","","5146062","","",""
"20","62107","0","","3","","","5146062","0","","0210_out"
"0.2","62108","","","93","","","5146062","","","0"
"0","62109","","","22","","","5146062","","","0"
"20","62110","1","","3","","","5146062","0","","empty"
"1","62111","","","93","","","5146062","","",""
"11","62112","","","32","","","5146062","","","1"
"se_10055900","62113","0","","23","","","5146062","","","se_10055900_camera"
"0.2","62114","","","93","","","5146062","","","0"
"10","62115","","","32","","","5146062","","","0"
"1.8","62116","","","93","","","5146062","","","0"
"se_10055900_coaster_02","62117","","","24","","","5146062","","","0.5"
"2","62118","","","37","","","5146062","","","iris_out"
"100911","62119","-278","","2","0","","5146062","","0","-129"
"1009","62120","-278","","2","0","","5146062","","0","-129"
"131011","62121","-278","","2","0","","5146062","","0","129"
"100911","62122","1","","3","","","5146062","0.2","","anna_walk"
"1009","62123","1","","3","","","5146062","0.2","","anna_walk"
"131011","62124","1","","3","","","5146062","0.2","","walk_normal_joy"
"100911","62125","-278","","2","2","","5146062","","0","-290"
"1009","62126","-278","","2","2","","5146062","","0","-290"
"131011","62127","-278","","2","2","","5146062","","0","290"
"100911","62128","","","4","","","5146062","","","1"
"1009","62129","","","4","","","5146062","","","1"
"131011","62130","","","4","","","5146062","","","0"
"2","62131","","","93","","","5146062","","","0"
"100911","62132","","","4","","","5146062","","","0"
"1009","62133","","","4","","","5146062","","","0"
"131011","62134","","","4","","","5146062","","","1"
"100911","62135","1","","3","","","5146062","0.2","","anna_idle"
"1009","62136","1","","3","","","5146062","0.2","0","anna_idle"
"131011","62137","1","","3","","","5146062","0.2","","idle_normal"
"0.5","62138","","","93","","","5146062","","","0"
"131011","62139","1","","3","","","5146062","0.2","","talk_normal_surprise"
"vo_apg","62140","0","","21","0","","5146062","","","vo_apg_0211"
"131011","62141","10","0","11","1","0","5146062","0","1","どないでした？\nえらい声出してはったけど"
"0","62142","","","91","","","5146062","","",""
"131011","62143","1","","3","","","5146062","0.2","","idle_normal_surprise"
"100911","62144","0","","3","anna_kukuku_loop","0","5146062","0.2","1","anna_kukuku_in"
"1009","62145","0","","3","anna_kukuku_loop","0","5146062","0.2","1","anna_kukuku_in"
"vo_apg","62146","0","","21","0","","5146062","","","vo_apg_0212"
"100911","62147","10","0","11","1","0","5146062","20","1","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！"
"0","62148","","","91","","","5146062","","",""
"21","62149","0","","3","","","5146062","0","","coaster_2_in"
"se_10055900","62150","0","","23","","","5146062","","","se_10055900_photo"
"0.1","62151","","","93","","","5146062","","","0"
"100911","62152","0","","3","anna_ahaha_loop","0","5146062","0.2","1","anna_ahaha_in"
"1009","62153","0","","3","anna_ahaha_loop","0","5146062","0.2","1","anna_ahaha_in"
"vo_apg","62154","0","","21","0","","5146062","","","vo_apg_0213"
"100911","62155","10","0","11","1","0","5146062","-30","1","今、冥姫は\n疾風を追い越した！"
"0","62156","","","91","","","5146062","","",""
