1d09420c7a07291e47feeb2a854424207ff7f1344ebde98543b3d7074bebad00,d250881ed7b734a5c6059009bbf82a52989f472213dd5f5eef0f403a633ab7ec,cc1a65a504fe6d5212e43c53fe342fa728d920c36d96d22b40fde34afbd1ce61,5e4876744acae6b69742b6d5e69d7377c7fecd8e543445602582033a0f634655,77f365216bd3cca7c4d7df3e20499f143734132d456e1a3fc9c80c71aa5e22fd,810ed15699f0b3da175df37eea72357e4c7987231909db20a791422290ea2624,e0d1b322b5c3e2ae64b349b0cdb62ab0077b8b34eac16320fce9f40bb228a69a
"4","1","0","13","1","10","2"
"4","1","0","13","1","11","1"
"6","6","0","13","1","12","3"
"6","4","0","13","1","13","1"
"10","9","0","13","3","14","1"
"10","8","0","13","1","15","3"
"6","4","0","13","1","16","1"
"0","1","0","13","1","17","3"
"8","8","0","13","1","18","2"
"0","11","0","14","1","1","1"
"13","2","0","14","2","2","1"
"10","11","0","14","1","3","3"
"10","1","0","14","1","4","1"
"10","4","0","14","2","5","1"
"0","11","0","14","1","6","2"
"0","1","0","14","1","7","2"
"10","1","0","14","1","8","1"
"12","12","0","14","1","9","3"
"12","12","0","14","1","10","3"
"0","5","0","14","1","11","3"
"12","5","0","14","1","12","1"
"6","10","0","14","2","13","1"
"10","11","0","14","1","14","1"
"6","10","0","14","3","15","1"
"10","11","0","14","1","16","1"
"6","2","0","14","3","17","1"
"6","10","0","14","2","18","1"
"4","11","0","14","1","19","1"
"10","8","0","14","1","20","2"
"4","8","0","14","3","21","1"
"10","12","0","15","1","1","2"
"12","12","0","15","1","2","1"
"12","11","0","15","1","3","3"
"6","11","0","15","1","4","1"
"12","12","0","15","1","5","2"
"0","5","0","15","1","6","2"
"12","11","0","15","1","7","1"
"0","1","0","15","1","8","1"
"0","5","0","15","1","9","1"
"12","12","0","15","2","10","1"
"0","11","0","15","1","11","3"
"11","12","0","15","1","12","3"
"9","1","0","15","1","13","2"
"12","1","0","15","1","14","1"
"0","12","0","15","1","15","1"
"9","12","0","15","1","16","1"
"4","11","0","15","1","17","2"
"4","11","0","15","3","18","1"
"12","5","0","15","1","19","2"
"0","12","0","15","1","20","2"
"7","12","0","15","1","21","2"
"12","12","0","15","3","22","1"
"7","1","0","15","3","23","1"
"0","4","0","15","1","24","3"
"10","4","0","15","3","25","1"
"0","8","0","15","1","26","2"
"0","11","0","15","1","27","1"
"0","11","0","15","1","28","2"
"0","6","0","16","1","1","1"
"10","11","0","16","1","2","2"
"0","12","0","16","1","3","3"
"0","4","0","16","1","4","2"
"12","6","0","16","1","5","1"
"0","6","0","16","1","6","1"
"4","4","0","16","1","7","2"
"4","5","0","16","1","8","3"
"0","1","0","16","1","9","3"
"17","12","0","16","1","10","1"
"0","11","0","16","1","11","2"
"10","1","0","16","1","12","3"
"11","11","0","16","1","13","2"
"0","11","0","16","1","14","3"
"12","12","0","16","1","15","1"
"10","11","0","16","1","16","1"
"10","11","0","16","1","17","1"
"6","6","0","16","1","18","1"
"6","11","0","16","1","19","2"
"8","1","0","16","1","20","3"
"8","5","0","16","1","21","3"
"9","4","0","16","1","22","1"
"10","11","0","16","1","23","1"
"4","11","0","17","1","1","1"
"10","4","0","17","3","2","1"
"4","11","0","17","1","3","1"
"0","1","0","17","1","4","1"
"10","1","0","17","2","5","1"
"4","11","0","17","1","6","2"
"10","1","0","17","2","7","1"
"4","11","0","17","1","8","2"
"0","1","0","17","1","9","3"
"10","8","0","17","2","10","1"
"12","12","0","17","1","11","1"
"4","11","0","17","1","12","3"
"4","1","0","17","3","13","1"
"10","11","0","17","1","14","1"
"0","1","0","17","2","15","1"
"4","11","0","17","2","16","1"
"7","8","0","17","2","17","1"
"0","11","0","17","1","18","1"
"6","2","0","17","3","19","1"
"10","10","0","17","1","20","1"
"10","11","0","17","1","21","2"
"7","8","0","17","1","22","3"
"4","11","0","18","1","1","1"
"13","5","0","18","2","2","1"
"10","4","0","18","1","3","1"
"10","4","0","18","1","4","2"
"10","11","0","18","1","5","3"
"7","5","0","18","3","6","1"
"10","11","0","18","1","7","1"
"10","4","0","18","1","8","3"
"10","11","0","18","1","9","2"
"6","5","0","18","3","10","1"
"10","11","0","18","1","11","1"
"10","11","0","18","1","12","2"
"10","4","0","18","1","13","3"
"8","5","0","18","2","14","1"
"6","6","0","18","2","15","1"
"0","10","0","18","1","16","3"
"0","10","0","18","1","17","2"
"0","10","0","18","1","18","1"
"7","10","0","18","2","19","1"
"10","8","0","18","1","20","1"
"10","11","0","18","1","21","1"
"9","2","0","18","2","22","1"
"0","13","0","19","2","1","1"
"8","4","0","19","2","2","1"
"0","8","0","19","2","3","1"
"10","14","0","20","2","1","1"
"0","8","0","20","2","2","1"
"13","15","0","21","2","1","1"
"0","15","0","22","2","1","1"
"0","13","0","22","2","2","1"
"0","42","0","23","2","1","1"
"0","72","0","23","2","2","1"
"0","43","0","24","2","1","1"
"0","44","0","25","2","1","1"
"0","45","0","26","2","1","1"
"0","46","0","27","2","1","1"
"0","47","0","28","2","1","1"
"0","14","0","29","2","1","1"
"0","15","0","30","1","1","1"
"0","8","0","30","1","2","2"
"13","10","0","30","1","3","1"
"13","10","0","30","1","4","2"
"9","12","0","30","1","5","2"
"6","72","0","30","1","6","1"
"8","2","0","30","2","7","1"
"0","13","0","30","2","8","1"
"8","4","0","31","1","1","1"
"0","1","0","31","1","2","2"
"6","10","0","31","1","3","1"
"0","4","0","31","1","4","2"
"7","9","0","31","1","5","1"
"0","1","0","31","1","6","2"
"6","10","0","32","1","1","1"
"13","10","0","32","1","2","2"
"0","1","0","32","1","3","3"
"11","2","0","32","1","4","2"
"8","2","0","32","1","5","1"
"0","1","0","32","1","6","3"
"7","72","0","32","1","7","3"
"0","6","0","33","1","1","3"
"13","10","0","33","3","2","1"
"3","3","0","33","1","3","3"
"0","72","0","33","3","4","1"
"2","12","0","33","1","5","3"
"6","4","0","34","2","1","1"
"7","5","0","34","1","2","1"
"0","1","0","34","1","3","2"
"8","12","0","34","1","4","2"
"0","1","0","34","1","5","1"
"0","15","0","34","2","6","1"
"0","8","0","35","2","1","1"
"10","72","0","35","2","2","1"
"0","13","0","35","2","3","1"
"0","4","0","36","2","1","1"
"6","6","0","36","1","2","1"
"0","1","0","36","1","3","1"
"10","72","0","36","1","4","2"
"0","9","0","36","1","5","2"
"7","2","0","36","2","6","2"
"7","8","0","37","2","1","1"
"0","4","0","37","1","2","1"
"0","5","0","37","1","3","2"
"6","13","0","37","2","4","1"
"10","13","0","38","2","1","1"
"8","5","0","38","1","2","1"
"7","6","0","38","1","3","2"
"0","1","0","38","1","4","1"
"7","9","0","38","1","5","2"
"13","15","0","38","1","6","2"
"0","8","0","38","2","7","1"
"6","4","0","39","2","1","1"
"13","6","0","39","1","2","1"
"10","72","0","39","1","3","2"
"6","13","0","39","2","4","1"
