c0bb9f73ea909daf82b5362242d6081a70f150150d111c6120c9c37d091212e6,84ccc39740f3c4795ddcd71911456491036042ec63803ce0a63139e6d443a0cc,1b7c1702c79d004a9c4a97d7ba58980c45a71db9c1ae5a2572583343e149da5b,f896ebdb99f83ea40aa2c02ab557ed7eb6a035536f8f3dc91e9209146d5c0409,e14da468ae526b671fc7a2e1c634d637353f456d2c24d9b8f39736101be0c8cc
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","9","10902","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","9","10903","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","9","10904","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","9","10905","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","9","10906","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","9","10907","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","9","10908","life_steal_down","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","9","10909","tp_down_cut","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","9","10910","hp_recovery_down","ＨＰ回復量ダウン"
"バトル勝利時のアルファルピ獲得量がダウンする。","9","10911","decrease_income","アルファルピ獲得量ダウン"
"すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","9","10912","increase_dot_interval","継続ダメージ発生間隔/効果時間延長"
"EXTREMEバトル時に一定確率で強敵が出現する。","10","11001","add_monster","強敵出現"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10","11002","damage_limit","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10","11003","def_lower_limit","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","10","11004","damage_cut","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","10","11005","damage_up","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","10","11006","def_up","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","10","11007","critical_down","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","10","11008","life_steal_down","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","10","11009","tp_down_cut","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","10","11010","hp_recovery_down","ＨＰ回復量ダウン"
"バトル勝利時のアルファルピ獲得量がダウンする。","10","11011","decrease_income","アルファルピ獲得量ダウン"
"すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","10","11012","increase_dot_interval","継続ダメージ発生間隔/効果時間延長"
"バトル時間が85秒になる。","10","11013","limit_time","バトル時間制限"
