7e57c23b1e7afe876bbe880c93c4cf4eb4d9def973b2fdf0d831e4c805350459,646beb876c266dafadcba0c771bb6c803779378840e4c4144e05d83b1e77a456,03d6121bd39b59e19c5ffbef5e260e35bb5cac411344c53dff2f575760542b12,4a380cd8ecd58bbf3dc87e1865362eb807c488a385da4ea361272da78e82c552,0d34ef785c9489d74733c196aa35d7a066f3bbe76d900a86c537f27865ab0eee,5437707d597fa878936ec4234655760fa50c953094a0b962b0304eb798314477,373167100aa1c50a005de8e9f0e1cd52a827bc2af8c18ef9b97a830a67fc11d2,214b3babe9dab3815bf1cb40e713ff65683521d6449e8dac2803e019c734640e,90e6741533ee9e7992ad2d8ec4b4f948beb6a46c985180a8e04b131a5e8ecad7,8a7d14d74cf1670fa22ecf96ab39ba7e18c4339f1a94d3684f938f6c705aed6c,7089a101635aec1e11bc85930122af140fbb059b229d07614ee13595b4f10638,411997a4a5411f9090a4449fc848308b3cc5e50396afbca02a84c0fae6474a21,1636cb52adc6398fcbca146ca4d9bbcd23ce1e8b5f066da5c89b5facbfce7eba,18795ad64c101ded0c26752d32d5b78731f9b64a9af67e1a4e1574bfc9f6d02e,71ce2d713b59642d885477a80df4013eeff0d418c7e641d877651430c21e09f9,f7d6af31345f92b694a133d61bc65085f9a9b338e4f493478af5ee14e587bffa,76cad1037fd8ae94897dfcab1201c38afd8178e682663185c988c7f0824ff306,b214eaa63fbada8ac6ed1d9fe527bf581e34cea26a683c91d1d9516c012a1c07,35b7cd5b84475b357ebc7fa4893ac7de0dca4c03b4714ff8179b82bf03563ab4,cd9b37d54a1964b0081126528aca464638e2423d53e85d418e36cab52654d0da,a4a86d3c7e93f3414847d729cb34db6c201a59ff8de76764a436d0e9b1806530
"5001","91002","0","1000","31022","0","1","8","1000","0","2","8","10000","0","0","0","18","2","90006","0","1002"
"10001","91002","0","500","31022","0","1","5","500","0","2","8","-1","0","0","0","19","2","90006","0","1002"
"1","91002","0","5000","31042","0","1","30","5000","0","2","8","20","0","0","0","20","2","90006","0","1003"
"21","91002","0","4500","31042","0","1","25","4500","0","2","8","100","0","0","0","21","2","90006","0","1003"
"101","91002","0","4000","31042","0","1","20","4000","0","2","8","250","0","0","0","22","2","90006","0","1003"
"251","91002","0","3500","31042","0","1","18","3500","0","2","8","500","0","0","0","23","2","90006","0","1003"
"501","91002","0","3000","31042","0","1","16","3000","0","2","8","1000","0","0","0","24","2","90006","0","1003"
"1001","91002","0","2500","31042","0","1","14","2500","0","2","8","2000","0","0","0","25","2","90006","0","1003"
"2001","91002","0","2000","31042","0","1","12","2000","0","2","8","3000","0","0","0","26","2","90006","0","1003"
"3001","91002","0","1500","31042","0","1","10","1500","0","2","8","5000","0","0","0","27","2","90006","0","1003"
"5001","91002","0","1000","31042","0","1","8","1000","0","2","8","10000","0","0","0","28","2","90006","0","1003"
"10001","91002","0","500","31042","0","1","5","500","0","2","8","-1","0","0","0","29","2","90006","0","1003"
"1","91002","0","5000","31018","0","1","30","5000","0","2","8","20","0","0","0","30","2","90006","0","1004"
"21","91002","0","4500","31018","0","1","25","4500","0","2","8","100","0","0","0","31","2","90006","0","1004"
"101","91002","0","4000","31018","0","1","20","4000","0","2","8","250","0","0","0","32","2","90006","0","1004"
"251","91002","0","3500","31018","0","1","18","3500","0","2","8","500","0","0","0","33","2","90006","0","1004"
"501","91002","0","3000","31018","0","1","16","3000","0","2","8","1000","0","0","0","34","2","90006","0","1004"
"1001","91002","0","2500","31018","0","1","14","2500","0","2","8","2000","0","0","0","35","2","90006","0","1004"
"2001","91002","0","2000","31018","0","1","12","2000","0","2","8","3000","0","0","0","36","2","90006","0","1004"
"3001","91002","0","1500","31018","0","1","10","1500","0","2","8","5000","0","0","0","37","2","90006","0","1004"
"5001","91002","0","1000","31018","0","1","8","1000","0","2","8","10000","0","0","0","38","2","90006","0","1004"
"10001","91002","0","500","31018","0","1","5","500","0","2","8","-1","0","0","0","39","2","90006","0","1004"
"1","91002","0","5000","31025","0","1","30","5000","0","2","8","20","0","0","0","40","2","90006","0","1005"
"21","91002","0","4500","31025","0","1","25","4500","0","2","8","100","0","0","0","41","2","90006","0","1005"
"101","91002","0","4000","31025","0","1","20","4000","0","2","8","250","0","0","0","42","2","90006","0","1005"
"251","91002","0","3500","31025","0","1","18","3500","0","2","8","500","0","0","0","43","2","90006","0","1005"
"501","91002","0","3000","31025","0","1","16","3000","0","2","8","1000","0","0","0","44","2","90006","0","1005"
"1001","91002","0","2500","31025","0","1","14","2500","0","2","8","2000","0","0","0","45","2","90006","0","1005"
"2001","91002","0","2000","31025","0","1","12","2000","0","2","8","3000","0","0","0","46","2","90006","0","1005"
"3001","91002","0","1500","31025","0","1","10","1500","0","2","8","5000","0","0","0","47","2","90006","0","1005"
"5001","91002","0","1000","31025","0","1","8","1000","0","2","8","10000","0","0","0","48","2","90006","0","1005"
"10001","91002","0","500","31025","0","1","5","500","0","2","8","-1","0","0","0","49","2","90006","0","1005"
"1","91002","0","5000","31043","0","1","30","5000","0","2","8","20","0","0","0","50","2","90006","0","1006"
"21","91002","0","4500","31043","0","1","25","4500","0","2","8","100","0","0","0","51","2","90006","0","1006"
"101","91002","0","4000","31043","0","1","20","4000","0","2","8","250","0","0","0","52","2","90006","0","1006"
"251","91002","0","3500","31043","0","1","18","3500","0","2","8","500","0","0","0","53","2","90006","0","1006"
"501","91002","0","3000","31043","0","1","16","3000","0","2","8","1000","0","0","0","54","2","90006","0","1006"
"1001","91002","0","2500","31043","0","1","14","2500","0","2","8","2000","0","0","0","55","2","90006","0","1006"
"2001","91002","0","2000","31043","0","1","12","2000","0","2","8","3000","0","0","0","56","2","90006","0","1006"
"3001","91002","0","1500","31043","0","1","10","1500","0","2","8","5000","0","0","0","57","2","90006","0","1006"
"5001","91002","0","1000","31043","0","1","8","1000","0","2","8","10000","0","0","0","58","2","90006","0","1006"
"10001","91002","0","500","31043","0","1","5","500","0","2","8","-1","0","0","0","59","2","90006","0","1006"
"1","91002","0","5000","31022","0","1","30","5000","0","2","8","20","0","0","0","60","2","90006","0","1007"
"21","91002","0","4500","31022","0","1","25","4500","0","2","8","100","0","0","0","61","2","90006","0","1007"
"101","91002","0","4000","31022","0","1","20","4000","0","2","8","250","0","0","0","62","2","90006","0","1007"
"251","91002","0","3500","31022","0","1","18","3500","0","2","8","500","0","0","0","63","2","90006","0","1007"
"501","91002","0","3000","31022","0","1","16","3000","0","2","8","1000","0","0","0","64","2","90006","0","1007"
"1001","91002","0","2500","31022","0","1","14","2500","0","2","8","2000","0","0","0","65","2","90006","0","1007"
"2001","91002","0","2000","31022","0","1","12","2000","0","2","8","3000","0","0","0","66","2","90006","0","1007"
"3001","91002","0","1500","31022","0","1","10","1500","0","2","8","5000","0","0","0","67","2","90006","0","1007"
"5001","91002","0","1000","31022","0","1","8","1000","0","2","8","10000","0","0","0","68","2","90006","0","1007"
"10001","91002","0","500","31022","0","1","5","500","0","2","8","-1","0","0","0","69","2","90006","0","1007"
"1","91002","0","5000","31042","0","1","30","5000","0","2","8","20","0","0","0","70","2","90006","0","1008"
"21","91002","0","4500","31042","0","1","25","4500","0","2","8","100","0","0","0","71","2","90006","0","1008"
"101","91002","0","4000","31042","0","1","20","4000","0","2","8","250","0","0","0","72","2","90006","0","1008"
"251","91002","0","3500","31042","0","1","18","3500","0","2","8","500","0","0","0","73","2","90006","0","1008"
"501","91002","0","3000","31042","0","1","16","3000","0","2","8","1000","0","0","0","74","2","90006","0","1008"
"1001","91002","0","2500","31042","0","1","14","2500","0","2","8","2000","0","0","0","75","2","90006","0","1008"
"2001","91002","0","2000","31042","0","1","12","2000","0","2","8","3000","0","0","0","76","2","90006","0","1008"
"3001","91002","0","1500","31042","0","1","10","1500","0","2","8","5000","0","0","0","77","2","90006","0","1008"
"5001","91002","0","1000","31042","0","1","8","1000","0","2","8","10000","0","0","0","78","2","90006","0","1008"
"10001","91002","0","500","31042","0","1","5","500","0","2","8","-1","0","0","0","79","2","90006","0","1008"
"1","91002","0","5000","31018","0","1","30","5000","0","2","8","20","0","0","0","80","2","90006","0","1009"
"21","91002","0","4500","31018","0","1","25","4500","0","2","8","100","0","0","0","81","2","90006","0","1009"
"101","91002","0","4000","31018","0","1","20","4000","0","2","8","250","0","0","0","82","2","90006","0","1009"
"251","91002","0","3500","31018","0","1","18","3500","0","2","8","500","0","0","0","83","2","90006","0","1009"
"501","91002","0","3000","31018","0","1","16","3000","0","2","8","1000","0","0","0","84","2","90006","0","1009"
"1001","91002","0","2500","31018","0","1","14","2500","0","2","8","2000","0","0","0","85","2","90006","0","1009"
"2001","91002","0","2000","31018","0","1","12","2000","0","2","8","3000","0","0","0","86","2","90006","0","1009"
"3001","91002","0","1500","31018","0","1","10","1500","0","2","8","5000","0","0","0","87","2","90006","0","1009"
"5001","91002","0","1000","31018","0","1","8","1000","0","2","8","10000","0","0","0","88","2","90006","0","1009"
"10001","91002","0","500","31018","0","1","5","500","0","2","8","-1","0","0","0","89","2","90006","0","1009"
"1","91002","0","5000","31025","0","1","30","5000","0","2","8","20","0","0","0","90","2","90006","0","1010"
"21","91002","0","4500","31025","0","1","25","4500","0","2","8","100","0","0","0","91","2","90006","0","1010"
"101","91002","0","4000","31025","0","1","20","4000","0","2","8","250","0","0","0","92","2","90006","0","1010"
"251","91002","0","3500","31025","0","1","18","3500","0","2","8","500","0","0","0","93","2","90006","0","1010"
"501","91002","0","3000","31025","0","1","16","3000","0","2","8","1000","0","0","0","94","2","90006","0","1010"
"1001","91002","0","2500","31025","0","1","14","2500","0","2","8","2000","0","0","0","95","2","90006","0","1010"
"2001","91002","0","2000","31025","0","1","12","2000","0","2","8","3000","0","0","0","96","2","90006","0","1010"
"3001","91002","0","1500","31025","0","1","10","1500","0","2","8","5000","0","0","0","97","2","90006","0","1010"
"5001","91002","0","1000","31025","0","1","8","1000","0","2","8","10000","0","0","0","98","2","90006","0","1010"
"10001","91002","0","500","31025","0","1","5","500","0","2","8","-1","0","0","0","99","2","90006","0","1010"
"1","91002","0","5000","31043","0","1","30","5000","0","2","8","20","0","0","0","100","2","90006","0","1011"
"21","91002","0","4500","31043","0","1","25","4500","0","2","8","100","0","0","0","101","2","90006","0","1011"
"101","91002","0","4000","31043","0","1","20","4000","0","2","8","250","0","0","0","102","2","90006","0","1011"
"251","91002","0","3500","31043","0","1","18","3500","0","2","8","500","0","0","0","103","2","90006","0","1011"
"501","91002","0","3000","31043","0","1","16","3000","0","2","8","1000","0","0","0","104","2","90006","0","1011"
"1001","91002","0","2500","31043","0","1","14","2500","0","2","8","2000","0","0","0","105","2","90006","0","1011"
"2001","91002","0","2000","31043","0","1","12","2000","0","2","8","3000","0","0","0","106","2","90006","0","1011"
"3001","91002","0","1500","31043","0","1","10","1500","0","2","8","5000","0","0","0","107","2","90006","0","1011"
"5001","91002","0","1000","31043","0","1","8","1000","0","2","8","10000","0","0","0","108","2","90006","0","1011"
"10001","91002","0","500","31043","0","1","5","500","0","2","8","-1","0","0","0","109","2","90006","0","1011"
"1","91002","0","5000","31022","0","1","30","5000","0","2","8","20","0","0","0","110","2","90006","0","1012"
"21","91002","0","4500","31022","0","1","25","4500","0","2","8","100","0","0","0","111","2","90006","0","1012"
"101","91002","0","4000","31022","0","1","20","4000","0","2","8","250","0","0","0","112","2","90006","0","1012"
"251","91002","0","3500","31022","0","1","18","3500","0","2","8","500","0","0","0","113","2","90006","0","1012"
"501","91002","0","3000","31022","0","1","16","3000","0","2","8","1000","0","0","0","114","2","90006","0","1012"
"1001","91002","0","2500","31022","0","1","14","2500","0","2","8","2000","0","0","0","115","2","90006","0","1012"
"2001","91002","0","2000","31022","0","1","12","2000","0","2","8","3000","0","0","0","116","2","90006","0","1012"
"3001","91002","0","1500","31022","0","1","10","1500","0","2","8","5000","0","0","0","117","2","90006","0","1012"
"5001","91002","0","1000","31022","0","1","8","1000","0","2","8","10000","0","0","0","118","2","90006","0","1012"
"10001","91002","0","500","31022","0","1","5","500","0","2","8","-1","0","0","0","119","2","90006","0","1012"
"1","91002","0","5000","31042","0","1","30","5000","0","2","8","20","0","0","0","120","2","90006","0","1013"
"21","91002","0","4500","31042","0","1","25","4500","0","2","8","100","0","0","0","121","2","90006","0","1013"
"101","91002","0","4000","31042","0","1","20","4000","0","2","8","250","0","0","0","122","2","90006","0","1013"
"251","91002","0","3500","31042","0","1","18","3500","0","2","8","500","0","0","0","123","2","90006","0","1013"
"501","91002","0","3000","31042","0","1","16","3000","0","2","8","1000","0","0","0","124","2","90006","0","1013"
"1001","91002","0","2500","31042","0","1","14","2500","0","2","8","2000","0","0","0","125","2","90006","0","1013"
"2001","91002","0","2000","31042","0","1","12","2000","0","2","8","3000","0","0","0","126","2","90006","0","1013"
"3001","91002","0","1500","31042","0","1","10","1500","0","2","8","5000","0","0","0","127","2","90006","0","1013"
"5001","91002","0","1000","31042","0","1","8","1000","0","2","8","10000","0","0","0","128","2","90006","0","1013"
"10001","91002","0","500","31042","0","1","5","500","0","2","8","-1","0","0","0","129","2","90006","0","1013"
"1","91002","0","5000","31018","0","1","30","5000","0","2","8","20","0","0","0","130","2","90006","0","1014"
"21","91002","0","4500","31018","0","1","25","4500","0","2","8","100","0","0","0","131","2","90006","0","1014"
"101","91002","0","4000","31018","0","1","20","4000","0","2","8","250","0","0","0","132","2","90006","0","1014"
"251","91002","0","3500","31018","0","1","18","3500","0","2","8","500","0","0","0","133","2","90006","0","1014"
"501","91002","0","3000","31018","0","1","16","3000","0","2","8","1000","0","0","0","134","2","90006","0","1014"
"1001","91002","0","2500","31018","0","1","14","2500","0","2","8","2000","0","0","0","135","2","90006","0","1014"
"2001","91002","0","2000","31018","0","1","12","2000","0","2","8","3000","0","0","0","136","2","90006","0","1014"
"3001","91002","0","1500","31018","0","1","10","1500","0","2","8","5000","0","0","0","137","2","90006","0","1014"
"5001","91002","0","1000","31018","0","1","8","1000","0","2","8","10000","0","0","0","138","2","90006","0","1014"
"10001","91002","0","500","31018","0","1","5","500","0","2","8","-1","0","0","0","139","2","90006","0","1014"
"1","91002","0","5000","31042","0","1","30","5000","0","2","8","20","0","0","0","140","2","90006","0","1015"
"21","91002","0","4500","31042","0","1","25","4500","0","2","8","100","0","0","0","141","2","90006","0","1015"
"101","91002","0","4000","31042","0","1","20","4000","0","2","8","250","0","0","0","142","2","90006","0","1015"
"251","91002","0","3500","31042","0","1","18","3500","0","2","8","500","0","0","0","143","2","90006","0","1015"
"501","91002","0","3000","31042","0","1","16","3000","0","2","8","1000","0","0","0","144","2","90006","0","1015"
"1001","91002","0","2500","31042","0","1","14","2500","0","2","8","2000","0","0","0","145","2","90006","0","1015"
"2001","91002","0","2000","31042","0","1","12","2000","0","2","8","3000","0","0","0","146","2","90006","0","1015"
"3001","91002","0","1500","31042","0","1","10","1500","0","2","8","5000","0","0","0","147","2","90006","0","1015"
"5001","91002","0","1000","31042","0","1","8","1000","0","2","8","10000","0","0","0","148","2","90006","0","1015"
"10001","91002","0","500","31042","0","1","5","500","0","2","8","-1","0","0","0","149","2","90006","0","1015"
"1","91002","0","5000","31025","0","1","30","5000","0","2","8","50","0","0","0","150","2","90006","0","1016"
"51","91002","0","4500","31025","0","1","25","4500","0","2","8","150","0","0","0","151","2","90006","0","1016"
"151","91002","0","4000","31025","0","1","20","4000","0","2","8","300","0","0","0","152","2","90006","0","1016"
"301","91002","0","3500","31025","0","1","18","3500","0","2","8","700","0","0","0","153","2","90006","0","1016"
"701","91002","0","3000","31025","0","1","16","3000","0","2","8","1300","0","0","0","154","2","90006","0","1016"
"1301","91002","0","2500","31025","0","1","14","2500","0","2","8","2500","0","0","0","155","2","90006","0","1016"
"2501","91002","0","2000","31025","0","1","12","2000","0","2","8","4000","0","0","0","156","2","90006","0","1016"
"4001","91002","0","1500","31025","0","1","10","1500","0","2","8","6000","0","0","0","157","2","90006","0","1016"
"6001","91002","0","1000","31025","0","1","8","1000","0","2","8","10000","0","0","0","158","2","90006","0","1016"
"10001","91002","0","750","31025","0","1","7","750","0","2","8","15000","0","0","0","159","2","90006","0","1016"
"15001","91002","0","500","31025","0","1","5","500","0","2","8","-1","0","0","0","160","2","90006","0","1016"
"1","91002","0","5000","31043","0","1","30","5000","0","2","8","50","0","0","0","165","2","90006","0","1017"
"51","91002","0","4500","31043","0","1","25","4500","0","2","8","150","0","0","0","166","2","90006","0","1017"
"151","91002","0","4000","31043","0","1","20","4000","0","2","8","300","0","0","0","167","2","90006","0","1017"
"301","91002","0","3500","31043","0","1","18","3500","0","2","8","700","0","0","0","168","2","90006","0","1017"
"701","91002","0","3000","31043","0","1","16","3000","0","2","8","1300","0","0","0","169","2","90006","0","1017"
"1301","91002","0","2500","31043","0","1","14","2500","0","2","8","2500","0","0","0","170","2","90006","0","1017"
"2501","91002","0","2000","31043","0","1","12","2000","0","2","8","4000","0","0","0","171","2","90006","0","1017"
"4001","91002","0","1500","31043","0","1","10","1500","0","2","8","6000","0","0","0","172","2","90006","0","1017"
"6001","91002","0","1000","31043","0","1","8","1000","0","2","8","10000","0","0","0","173","2","90006","0","1017"
"10001","91002","0","750","31043","0","1","7","750","0","2","8","15000","0","0","0","174","2","90006","0","1017"
"15001","91002","0","500","31043","0","1","5","500","0","2","8","-1","0","0","0","175","2","90006","0","1017"
"1","91002","0","5000","31022","0","1","30","5000","0","2","8","50","0","0","0","176","2","90006","0","1018"
"51","91002","0","4500","31022","0","1","25","4500","0","2","8","150","0","0","0","177","2","90006","0","1018"
"151","91002","0","4000","31022","0","1","20","4000","0","2","8","300","0","0","0","178","2","90006","0","1018"
"301","91002","0","3500","31022","0","1","18","3500","0","2","8","700","0","0","0","179","2","90006","0","1018"
"701","91002","0","3000","31022","0","1","16","3000","0","2","8","1300","0","0","0","180","2","90006","0","1018"
"1301","91002","0","2500","31022","0","1","14","2500","0","2","8","2500","0","0","0","181","2","90006","0","1018"
"2501","91002","0","2000","31022","0","1","12","2000","0","2","8","4000","0","0","0","182","2","90006","0","1018"
"4001","91002","0","1500","31022","0","1","10","1500","0","2","8","6000","0","0","0","183","2","90006","0","1018"
"6001","91002","0","1000","31022","0","1","8","1000","0","2","8","10000","0","0","0","184","2","90006","0","1018"
"10001","91002","0","750","31022","0","1","7","750","0","2","8","15000","0","0","0","185","2","90006","0","1018"
"15001","91002","0","500","31022","0","1","5","500","0","2","8","-1","0","0","0","186","2","90006","0","1018"
"1","91002","0","5000","31018","0","1","30","5000","0","2","8","50","0","0","0","187","2","90006","0","1019"
"51","91002","0","4500","31018","0","1","25","4500","0","2","8","150","0","0","0","188","2","90006","0","1019"
"151","91002","0","4000","31018","0","1","20","4000","0","2","8","300","0","0","0","189","2","90006","0","1019"
"301","91002","0","3500","31018","0","1","18","3500","0","2","8","700","0","0","0","190","2","90006","0","1019"
"701","91002","0","3000","31018","0","1","16","3000","0","2","8","1300","0","0","0","191","2","90006","0","1019"
"1301","91002","0","2500","31018","0","1","14","2500","0","2","8","2500","0","0","0","192","2","90006","0","1019"
"2501","91002","0","2000","31018","0","1","12","2000","0","2","8","4000","0","0","0","193","2","90006","0","1019"
"4001","91002","0","1500","31018","0","1","10","1500","0","2","8","6000","0","0","0","194","2","90006","0","1019"
"6001","91002","0","1000","31018","0","1","8","1000","0","2","8","10000","0","0","0","195","2","90006","0","1019"
"10001","91002","0","750","31018","0","1","7","750","0","2","8","15000","0","0","0","196","2","90006","0","1019"
"15001","91002","0","500","31018","0","1","5","500","0","2","8","-1","0","0","0","197","2","90006","0","1019"
"1","91002","0","5000","31042","0","1","30","5000","0","2","8","50","0","0","0","198","2","90006","0","1020"
"51","91002","0","4500","31042","0","1","25","4500","0","2","8","150","0","0","0","199","2","90006","0","1020"
"151","91002","0","4000","31042","0","1","20","4000","0","2","8","300","0","0","0","200","2","90006","0","1020"
"301","91002","0","3500","31042","0","1","18","3500","0","2","8","700","0","0","0","201","2","90006","0","1020"
"701","91002","0","3000","31042","0","1","16","3000","0","2","8","1300","0","0","0","202","2","90006","0","1020"
"1301","91002","0","2500","31042","0","1","14","2500","0","2","8","2500","0","0","0","203","2","90006","0","1020"
"2501","91002","0","2000","31042","0","1","12","2000","0","2","8","4000","0","0","0","204","2","90006","0","1020"
"4001","91002","0","1500","31042","0","1","10","1500","0","2","8","6000","0","0","0","205","2","90006","0","1020"
"6001","91002","0","1000","31042","0","1","8","1000","0","2","8","10000","0","0","0","206","2","90006","0","1020"
"10001","91002","0","750","31042","0","1","7","750","0","2","8","15000","0","0","0","207","2","90006","0","1020"
"15001","91002","0","500","31042","0","1","5","500","0","2","8","-1","0","0","0","208","2","90006","0","1020"
"1","91002","0","5000","31025","0","1","30","5000","0","2","8","50","0","0","0","209","2","90006","0","1021"
"51","91002","0","4500","31025","0","1","25","4500","0","2","8","150","0","0","0","210","2","90006","0","1021"
"151","91002","0","4000","31025","0","1","20","4000","0","2","8","300","0","0","0","211","2","90006","0","1021"
"301","91002","0","3500","31025","0","1","18","3500","0","2","8","700","0","0","0","212","2","90006","0","1021"
"701","91002","0","3000","31025","0","1","16","3000","0","2","8","1300","0","0","0","213","2","90006","0","1021"
"1301","91002","0","2500","31025","0","1","14","2500","0","2","8","2500","0","0","0","214","2","90006","0","1021"
"2501","91002","0","2000","31025","0","1","12","2000","0","2","8","4000","0","0","0","215","2","90006","0","1021"
"4001","91002","0","1500","31025","0","1","10","1500","0","2","8","6000","0","0","0","216","2","90006","0","1021"
"6001","91002","0","1000","31025","0","1","8","1000","0","2","8","10000","0","0","0","217","2","90006","0","1021"
"10001","91002","0","750","31025","0","1","7","750","0","2","8","15000","0","0","0","218","2","90006","0","1021"
"15001","91002","0","500","31025","0","1","5","500","0","2","8","-1","0","0","0","219","2","90006","0","1021"
"1","91002","0","5000","31018","0","1","30","5000","0","2","8","50","0","0","0","220","2","90006","0","1022"
"51","91002","0","4500","31018","0","1","25","4500","0","2","8","150","0","0","0","221","2","90006","0","1022"
"151","91002","0","4000","31018","0","1","20","4000","0","2","8","300","0","0","0","222","2","90006","0","1022"
"301","91002","0","3500","31018","0","1","18","3500","0","2","8","700","0","0","0","223","2","90006","0","1022"
"701","91002","0","3000","31018","0","1","16","3000","0","2","8","1300","0","0","0","224","2","90006","0","1022"
"1301","91002","0","2500","31018","0","1","14","2500","0","2","8","2500","0","0","0","225","2","90006","0","1022"
"2501","91002","0","2000","31018","0","1","12","2000","0","2","8","4000","0","0","0","226","2","90006","0","1022"
"4001","91002","0","1500","31018","0","1","10","1500","0","2","8","6000","0","0","0","227","2","90006","0","1022"
"6001","91002","0","1000","31018","0","1","8","1000","0","2","8","10000","0","0","0","228","2","90006","0","1022"
"10001","91002","0","750","31018","0","1","7","750","0","2","8","15000","0","0","0","229","2","90006","0","1022"
"15001","91002","0","500","31018","0","1","5","500","0","2","8","-1","0","0","0","230","2","90006","0","1022"
"1","91002","0","5000","31042","0","1","30","5000","0","2","8","50","0","0","0","231","2","90006","0","1023"
"51","91002","0","4500","31042","0","1","25","4500","0","2","8","150","0","0","0","232","2","90006","0","1023"
"151","91002","0","4000","31042","0","1","20","4000","0","2","8","300","0","0","0","233","2","90006","0","1023"
"301","91002","0","3500","31042","0","1","18","3500","0","2","8","700","0","0","0","234","2","90006","0","1023"
"701","91002","0","3000","31042","0","1","16","3000","0","2","8","1300","0","0","0","235","2","90006","0","1023"
"1301","91002","0","2500","31042","0","1","14","2500","0","2","8","2500","0","0","0","236","2","90006","0","1023"
"2501","91002","0","2000","31042","0","1","12","2000","0","2","8","4000","0","0","0","237","2","90006","0","1023"
"4001","91002","0","1500","31042","0","1","10","1500","0","2","8","6000","0","0","0","238","2","90006","0","1023"
"6001","91002","0","1000","31042","0","1","8","1000","0","2","8","10000","0","0","0","239","2","90006","0","1023"
"10001","91002","0","750","31042","0","1","7","750","0","2","8","15000","0","0","0","240","2","90006","0","1023"
"15001","91002","0","500","31042","0","1","5","500","0","2","8","-1","0","0","0","241","2","90006","0","1023"
"1","91002","0","5000","31043","0","1","30","5000","0","2","8","50","0","0","0","242","2","90006","0","1024"
"51","91002","0","4500","31043","0","1","25","4500","0","2","8","150","0","0","0","243","2","90006","0","1024"
"151","91002","0","4000","31043","0","1","20","4000","0","2","8","300","0","0","0","244","2","90006","0","1024"
