b2e88ccb59c67f819d940a5823bc8cb2acaa8740a96856cb0831da350d3ac8c8,9167f10fcdb434c7227efb6f5928c97e2be5b3afa123eb2257ce05f8a9b65225,c8bd6944aea67701d47a1382fee8163cc22c70c08e259e630c600649b1883eae,313b639ec676fe2b7fadb0a246e6848f2c377a25a738415ef3c6c8002a731cd3,5e354b0a146635e3c580a81ced8b69e34e7bc142c0771da2884cb2f7a5fa12af
"991001","1","-17.7","-11.7","30010270"
"991003","1","-12.6","-14.3","30010271"
"991004","1","-11.2","-14.3","30010272"
"3","1","-15.4","-13.9","30010274"
"3","1","-14.1","-13.8","30010275"
"991003","1","-8.1","-12.2","30010276"
"991004","1","-7.7","-12.2","30010277"
"1","1","-8.6","-15.3","30010278"
"1","1","-11.9","-19.9","30010279"
"3","1","-10.7","-19.9","30010280"
"1","1","-9.2","-19.9","30010281"
"3","1","-8","-19.9","30010282"
"1","1","-13.4","-18.6","30010283"
"1","1","-13.6","-16.2","30010284"
"3","1","-13.7","-14.9","30010285"
"3","1","-9.6","-12.9","30010286"
"2","1","-9.6","-11.7","30010287"
"2","1","-9.6","-10.4","30010288"
"1","1","-8.8","-7","30010289"
"2","1","-3.6","-1","30010290"
"2","1","-5","-1","30010291"
"991002","1","2.5","1.8","30010292"
"991003","1","2.5","0.5","30010293"
"2","2","-22.7","10.5","30020001"
"2","2","-23","9","30020004"
"2","2","-23","6","30020005"
"2","2","-22.7","7.5","30020006"
"991001","2","-19.1","6.3","30020008"
"991002","2","-19.1","7.8","30020009"
"2","2","-21.5","5.5","30020010"
"1","2","-22.7","13.5","30020011"
"3","2","-23.5","15","30020012"
"990001","2","-22.5","17.1","30020013"
"1","2","-22.7","16.3","30020014"
"3","2","-22.7","18.4","30020015"
"1","2","-23.5","19.7","30020016"
"3","2","-22.7","21.3","30020017"
"2","2","-20","10.5","30020018"
"1","2","-19.8","12.5","30020019"
"1","2","-19.8","15","30020020"
"1","2","-15","15","30020024"
"1","2","-17.8","18.6","30020027"
"1","2","-19.8","17.5","30020029"
"1","2","-17","15","30020030"
"3","2","-16.4","16","30020031"
"2","2","-20.3","4","30020032"
"2","2","-18.9","3.5","30020033"
"2","2","-17.5","4","30020034"
"2","2","-15.7","9","30020035"
"2","2","-23.8","-2","30020043"
"2","2","-23.8","-4","30020044"
"1","2","-23","-5","30020045"
"2","2","-19","-4","30020047"
"2","2","-17","-4","30020048"
"1","2","-15.7","-1.3","30020050"
"2","2","-13.4","-1.7","30020051"
"2","2","-13.5","-3.5","30020052"
"2","2","-13.1","-7","30020053"
"2","2","-13.6","-9.2","30020054"
"2","2","-14.9","-9","30020055"
"1","2","-21.1","-7","30020056"
"1","2","-22.7","-8.8","30020062"
"1","2","-22.7","-12","30020063"
"3","2","-21.1","-5","30020065"
"3","2","-23","-7","30020066"
"3","2","-23.2","-10.5","30020067"
"2","2","-16","-10","30020068"
"2","2","-15.3","-12","30020069"
"2","2","-18.1","-13.5","30020070"
"2","2","-16.4","-13.5","30020071"
"3","2","-22.7","-14.5","30020072"
"3","2","-22.7","-17.1","30020073"
"991004","2","-19","-8.2","30020074"
"990001","2","-22.5","-16","30020076"
"1","2","-22.7","-19.5","30020077"
"1","2","-22.7","-21.5","30020078"
"3","2","-22","-23.5","30020079"
"3","2","-20.2","-23.5","30020080"
"1","2","-18.8","-25","30020083"
"3","2","-17.6","-25","30020084"
"3","2","-16","-25","30020085"
"1","2","-14","-25","30020086"
"2","2","-16.1","-19.7","30020087"
"2","2","-14.8","-19.3","30020088"
"3","2","-12.7","-24.5","30020089"
"1","2","-11.5","-23.5","30020090"
"3","2","-13.1","-19.4","30020091"
"1","2","-11.5","-20","30020092"
"3","2","-9.6","-25","30020093"
"1","2","-8","-25","30020094"
"3","2","-6.2","-25","30020095"
"2","2","-9.4","-18.5","30020096"
"2","2","-8.5","-17","30020097"
"2","2","-7.4","-18.5","30020098"
"2","2","-6.8","-17","30020099"
"1","2","-4","-23.7","30020100"
"1","2","-2","-21.6","30020101"
"1","2","-2","-19.5","30020102"
"1","2","-2","-17.7","30020103"
"3","2","-3.4","-16.1","30020104"
"3","2","-4","-15","30020105"
"3","2","-10.8","-16.2","30020106"
"3","2","-11.3","-15","30020107"
"3","2","-10.8","-13.7","30020108"
"1","2","-6","-10.5","30020109"
"1","2","-5","-9.3","30020110"
"3","2","-5.1","-11.9","30020111"
"3","2","-6","-8.3","30020112"
"3","2","-10.4","-12","30020113"
"1","2","-11.8","-10.8","30020114"
"1","2","-11.8","-9","30020115"
"3","2","-10","-7","30020116"
"2","2","-8","3.9","30020119"
"2","2","-8.8","-4.9","30020121"
"2","2","-7.7","-4","30020122"
"2","2","-8.9","-3","30020123"
"3","2","-2.6","-14.2","30020125"
"1","2","-1","-14.2","30020126"
"3","2","0.2","-13.1","30020127"
"1","2","1.1","-11.8","30020128"
"1","2","1.2","-7.4","30020131"
"3","2","2.2","-10.5","30020132"
"3","2","2.2","-8.5","30020133"
"1","2","1.1","-9.5","30020134"
"3","2","0","-6","30020135"
"1","2","1.3","-4.5","30020136"
"1","2","-1","2.8","30020141"
"2","2","-10.2","0.4","30020142"
"1","2","-2.8","6.2","30020143"
"1","2","-2.7","8","30020145"
"1","2","-4.3","6.9","30020146"
"3","2","0.9","3.8","30020147"
"3","2","0.9","6.2","30020148"
"3","2","0.5","8","30020149"
"3","2","0.5","10.4","30020150"
"3","2","-9.5","8","30020151"
"3","2","-8","8.7","30020152"
"1","2","-4.1","3","30020153"
"2","2","-12","2.3","30020154"
"2","2","-12.5","3.8","30020155"
"2","2","-12","5.5","30020156"
"1","2","-1.1","11.9","30020157"
"1","2","-2.5","13","30020158"
"1","2","-3.7","13","30020159"
"3","2","-3.5","15","30020160"
"3","2","-1.9","15","30020161"
"2","2","-9","15","30020162"
"2","2","-7.6","16","30020163"
"2","2","-9.1","17","30020164"
"2","2","-7.6","18.1","30020165"
"2","2","-9.1","18.7","30020166"
"1","2","-1.1","16.5","30020167"
"1","2","0","18.2","30020168"
"1","2","-0.8","19.5","30020169"
"3","2","1","21","30020170"
"3","2","1","23","30020171"
"3","2","-10","10","30020172"
"3","2","-10.8","11.5","30020173"
"3","2","-10","13","30020174"
"1","2","-11.3","17.4","30020176"
"3","2","-12","16","30020177"
"1","2","-11.3","14.4","30020178"
"2","2","-13.9","10.1","30020179"
"2","2","-13.2","8.5","30020180"
"991003","2","-9.2","-10.2","30020189"
"991004","2","-8.7","-10.2","30020190"
"991003","2","-9.4","2.8","30020193"
"991004","2","-8.3","2.8","30020194"
"991001","2","-5.7","9.9","30020197"
"991002","2","-5.7","10.3","30020198"
"990001","2","-6.5","16","30020199"
"991001","2","-16.6","11.8","30020204"
"991002","2","-16.6","12.2","30020205"
"991003","2","-20.6","-8.2","30020209"
"990001","2","-4.5","-11","30020213"
"991003","2","-2.11","-3.2","30020214"
"991004","2","-1.7","-3.2","30020215"
"3","2","1.9","-3","30020216"
"1","2","1.2","-1.2","30020217"
"3","2","0.9","1.3","30020218"
"2","2","-6.1","-4.5","30020219"
"2","2","-4.7","-3.7","30020220"
"991001","2","-15.2","-22.2","30020221"
"991002","2","-15.2","-21.8","30020222"
"991001","2","-18.6","-0.2","30020223"
"991002","2","-18.6","0.2","30020224"
"991001","2","-8.6","21.5","30020225"
"991002","2","-8.6","22.5","30020226"
"991003","2","-16.6","21.4","30020227"
"991002","2","-15.3","22.6","30020228"
"991003","2","-4.1","20.7","30020229"
"991002","2","-3.6","21","30020230"
"991003","2","-8","-15.7","30020231"
"991002","2","-7.3","-14.3","30020232"
"991001","2","-10.6","-22.7","30020233"
"991002","2","-10.6","-21.3","30020234"
"11","3","-23.6","7","30030001"
"12","3","-20.7","16","30030003"
"13","3","-21.8","6.4","30030005"
"13","3","-21.8","8.4","30030006"
"11","3","-21","4","30030007"
"11","3","-15.7","1.6","30030008"
"11","3","-16.7","3.5","30030009"
"13","3","-21.9","1.5","30030010"
"13","3","-23.7","2.7","30030011"
"13","3","-23.7","-3","30030012"
"12","3","-22.8","-5.9","30030018"
"11","3","-21.6","-10.5","30030019"
"13","3","-19.7","-11.5","30030020"
"13","3","-19.7","-13.5","30030021"
"13","3","-19.7","-9.5","30030022"
"12","3","-23.8","-16.1","30030023"
"11","3","-23.8","-18.7","30030024"
"11","3","-21.8","-21","30030025"
"12","3","-16.1","-19.4","30030027"
"13","3","-3.8","-11.1","30030036"
"13","3","-3.7","-14.9","30030037"
"12","3","-11.7","-10.4","30030043"
"12","3","-13.6","-10.4","30030044"
"12","3","-4.8","-15.1","30030045"
"13","3","-8.4","-8.9","30030046"
"13","3","-4.7","-8.9","30030048"
"11","3","1.3","-10.1","30030054"
"13","3","-3.2","-5.1","30030058"
"12","3","-6.3","4.1","30030062"
"11","3","-4","13","30030064"
"11","3","-2.6","11.9","30030065"
"13","3","-6.4","15.3","30030067"
"13","3","-9.7","16.4","30030068"
"13","3","-5.7","18.8","30030069"
"11","3","-23.8","16","30030073"
"13","3","-19.5","17.9","30030076"
"13","3","-17.8","17.9","30030077"
"990002","3","-10.8","21.4","30030079"
"990001","3","-23.7","5","30030080"
"990001","3","-9.4","-14.1","30030081"
"990001","3","-9.6","6.9","30030082"
"11","3","-13","1.8","30030083"
"13","3","-12.7","8.5","30030085"
"13","3","-16.7","8.5","30030086"
"12","3","-13.8","11.5","30030087"
"12","3","-13.7","9.8","30030088"
"13","3","-3.7","-0.5","30030089"
"13","3","-3.7","0.6","30030090"
"12","3","-7.3","-6.5","30030091"
"12","3","-6.1","-5.4","30030092"
"13","3","-6.2","-6.5","30030093"
"13","3","-7.5","-5.5","30030094"
"13","3","-5.8","-11.1","30030095"
"11","3","-7.2","-11.1","30030097"
"12","3","-11.4","-20","30030098"
"12","3","-9.2","-20.1","30030099"
"13","3","-9.7","-17.5","30030100"
"13","3","-9.7","-15.5","30030101"
"13","3","-21.5","-17.5","30030102"
"13","3","-20.1","-16.1","30030103"
"12","3","-20.1","-17.5","30030104"
"13","3","-21.9","-2.1","30030106"
"11","3","-18.6","15.8","30030107"
"11","3","-22.2","18.8","30030108"
"12","3","-15.8","22.2","30030109"
"12","3","-15.8","20.1","30030110"
"12","3","-15.8","17.9","30030111"
"12","3","-1.8","16.8","30030115"
"11","3","-10.6","1","30030116"
"11","3","-10.6","2.5","30030117"
"13","3","0.1","9","30030118"
"13","3","0.1","7.5","30030119"
"11","3","-0.6","4.8","30030120"
"12","3","-1.8","19.4","30030121"
"12","3","-1.8","21.7","30030122"
"13","3","-1.7","20.5","30030123"
"13","3","-1.7","18.1","30030124"
"11","3","1.2","15.7","30030125"
"13","3","0.3","18.5","30030126"
"13","3","0.3","20.1","30030127"
"13","3","0.3","21.5","30030128"
"13","3","-11.5","20","30030130"
"11","3","-10.1","-4","30030132"
"12","3","-22.8","-8","30030135"
"11","3","-15.8","-13.2","30030137"
"11","3","-15.7","-11.2","30030138"
"12","3","-12","-4","30030139"
"13","3","-16.7","10.4","30030140"
"11","3","-21.6","-12.6","30030141"
"11","3","-16.4","-22","30030144"
"11","3","-18.7","-22","30030145"
"13","3","-1.9","-5.1","30030146"
"13","3","-0.4","-5.1","30030147"
"11","3","-0.8","-7","30030148"
"11","3","-2.4","-7","30030149"
"11","3","1.3","13.6","30030150"
"11","3","-1.7","8.5","30030151"
"11","3","-2.6","10","30030152"
"12","3","-6.2","13","30030153"
"13","3","-9","13.1","30030154"
"13","3","-7.6","13.1","30030155"
"12","3","-5.8","17.5","30030156"
"12","3","-5.8","20.1","30030157"
"11","3","-5.6","21.5","30030158"
"11","3","-5.6","23","30030159"
"12","3","-12.8","20","30030160"
"12","3","-18.8","5.5","30030161"
"11","3","-18.7","7.5","30030162"
"12","3","-18.8","9.5","30030163"
"11","3","-18.6","11.5","30030164"
"13","3","-18.7","12.5","30030165"
"13","3","-18.7","14.1","30030166"
"12","3","-21.3","-16.1","30030167"
"13","3","-14.8","-6","30030168"
"12","3","-14.8","-4.5","30030169"
"13","3","-14.8","-3","30030170"
"12","3","-14.8","-1.5","30030171"
"11","3","-16.6","-17.5","30030172"
"11","3","-16.6","-14.9","30030174"
"11","3","-6.9","-18.5","30030175"
"11","3","-6.9","-16.5","30030176"
"12","3","-6.6","-9.1","30030177"
"13","3","-6.1","-14.9","30030178"
"13","3","-20.6","-21.8","30030179"
"13","3","-14.9","-21.9","30030180"
"11","3","-23.6","10","30030181"
"13","3","-15.7","19","30030182"
"13","3","-15.7","21.1","30030183"
"11","3","-11.8","23.8","30030184"
"11","3","-13.7","23.8","30030185"
"990001","4","-4.6","-8","30040001"
"990002","4","2.9","-6.6","30040002"
"990001","4","-21.6","11","30040003"
"990001","4","-21.6","-4","30040004"
"991001","4","-21.7","-9.8","30040005"
"991001","4","-16","-12.2","30040006"
"991002","4","-16","-11.8","30040007"
"991003","4","-12.6","-15.2","30040008"
"991004","4","-11.1","-15.2","30040009"
"991003","4","-8.7","-14.8","30040010"
"991004","4","-7.1","-14.8","30040011"
"991001","4","-1","-17.2","30040012"
"991002","4","-1","-16.8","30040013"
"991004","4","6","-17.8","30040015"
"991002","4","5.3","-16.2","30040016"
"991003","4","3.4","-0.8","30040019"
"991002","4","3.9","0.8","30040020"
"991001","4","-2.7","10.8","30040021"
"991002","4","-2.7","11.2","30040022"
"991001","4","-6.1","10.3","30040023"
"991002","4","-6.1","11.8","30040024"
"991001","4","-13.1","10.2","30040025"
"991003","4","-13.7","11.8","30040026"
"991001","4","-21.7","5.1","30040027"
"991004","4","-20","6.9","30040028"
"991001","4","-11","4.8","30040029"
"991002","4","-11","5.2","30040030"
"991001","4","-11.7","-3.2","30040031"
"991002","4","-11.7","-2.8","30040032"
"991001","4","-15.1","-3.8","30040033"
"991002","4","-15.1","-2.1","30040034"
"11","4","-22","-11.2","30040035"
"11","4","-17.9","-10.1","30040037"
"11","4","-19","-7.4","30040038"
"12","4","-15.4","-15.6","30040040"
"12","4","-15.4","-8.4","30040041"
"11","4","-11.9","-10","30040042"
"13","4","-10.8","-13.6","30040043"
"11","4","-13.8","-16.9","30040044"
"11","4","-13.6","-19.2","30040045"
"11","4","-12.9","-19.7","30040046"
"11","4","-11","-21.3","30040047"
"12","4","-9.1","-21.3","30040048"
"11","4","-9","-18","30040049"
"13","4","-6.5","-18.7","30040050"
"11","4","-8.8","-16.4","30040051"
"13","4","-7.9","-12.4","30040052"
"11","4","-9.8","-11.5","30040053"
"11","4","-9.3","-9.5","30040054"
"11","4","-9.1","-6.2","30040055"
"12","4","-9","-7.4","30040056"
"11","4","-7.7","-4.6","30040057"
"13","4","-6.5","-7.3","30040058"
"11","4","-4.9","-9.1","30040061"
"11","4","-5.3","-16.5","30040062"
"12","4","-5","-10.5","30040063"
"12","4","-5","-12.5","30040064"
"12","4","-5","-14.5","30040065"
"11","4","-3.9","-18.3","30040066"
"11","4","-3","-19.4","30040067"
"13","4","-2.9","-18.2","30040068"
"11","4","0.4","-18.4","30040069"
"11","4","1.9","-15.3","30040070"
"12","4","1.9","-17","30040071"
"11","4","-0.5","-21.4","30040072"
"11","4","1.2","-21.2","30040073"
"11","4","2.9","-21.5","30040074"
"11","4","4.8","-19.6","30040075"
"13","4","4.4","-15.6","30040076"
"13","4","-2.7","-13","30040077"
"11","4","7.2","-18.3","30040078"
"11","4","8.9","-16.9","30040079"
"12","4","8.1","-12.1","30040080"
"11","4","9","-14.7","30040081"
"11","4","6.6","-8.1","30040082"
"11","4","4.2","-8.3","30040083"
"11","4","1.7","-7.6","30040084"
"13","4","-0.6","-7.6","30040085"
"12","4","2.1","-3.9","30040088"
"11","4","5","-4","30040089"
"11","4","8","-6.8","30040090"
"11","4","8.6","-4.5","30040091"
"11","4","8.1","-3.6","30040092"
"11","4","8","-0.7","30040093"
"12","4","4.9","-1.3","30040094"
"11","4","1.9","-1.6","30040095"
"13","4","0.1","-0.3","30040096"
"11","4","0.1","0.8","30040097"
"11","4","1","7.1","30040099"
"13","4","0.9","4.4","30040100"
"11","4","0.9","5.8","30040101"
"11","4","5.1","2.2","30040102"
"11","4","0.8","8.7","30040106"
"11","4","5.4","12.8","30040108"
"12","4","6","10.5","30040109"
"11","4","2.9","13.4","30040110"
"11","4","0.8","13","30040111"
"13","4","-3.8","11.1","30040112"
"11","4","-2.4","7.6","30040113"
"11","4","-5.8","8.1","30040114"
"12","4","-4.5","7.5","30040115"
"12","4","-5.8","14.2","30040116"
"13","4","-2.9","14.5","30040117"
"11","4","-8.6","8.8","30040118"
"13","4","-10.6","9.5","30040119"
"13","4","-9.4","13.7","30040120"
"11","4","-10","15","30040121"
"11","4","-12.1","15.5","30040122"
"11","4","-14.7","13.1","30040123"
"13","4","-16.5","12.8","30040124"
"13","4","-17.8","13.4","30040125"
"11","4","-14.3","8.5","30040126"
"11","4","-16.4","8.1","30040127"
"11","4","-19","9","30040128"
"11","4","-12.1","9","30040129"
"11","4","-22.1","9.7","30040130"
"11","4","-22","13","30040131"
"13","4","-19.9","12.7","30040132"
"12","4","-22.1","7.3","30040133"
"11","4","-22.3","3.7","30040134"
"11","4","-22","2.4","30040135"
"11","4","-19.9","0.5","30040136"
"13","4","-19.4","3.4","30040137"
"13","4","-18.4","4.7","30040138"
"13","4","-17.5","3.8","30040139"
"11","4","-18","0","30040140"
"11","4","-15","1","30040141"
"11","4","-13.8","2.3","30040142"
"12","4","-13.1","3.4","30040143"
"13","4","-13","1","30040144"
"13","4","-10.9","0.4","30040145"
"12","4","-9.7","5","30040146"
"13","4","-9.3","3.3","30040147"
"11","4","-9.3","0.4","30040148"
"11","4","-6","2","30040149"
"11","4","-5.2","3.4","30040150"
"13","4","-4.5","1.3","30040151"
"11","4","-3","-1","30040154"
"11","4","-11.3","-6.5","30040155"
"12","4","-13.8","-6.5","30040156"
"12","4","-17.1","-5.6","30040157"
"11","4","-18.6","-5.5","30040158"
"11","4","-22.4","-2.3","30040159"
"12","4","-22.2","-6.8","30040160"
"11","4","-22.5","-5","30040161"
"13","4","-20.2","-1.5","30040162"
"11","4","-18.8","-15.5","30040163"
"11","4","-21","-15","30040164"
"13","4","-20","-16","30040165"
"11","4","5.8","4","30040166"
"11","4","6","9","30040167"
"13","4","6.4","7","30040168"
"13","4","6.2","5.2","30040169"
"11","4","-1","1.5","30040170"
"13","4","-2.3","4.4","30040171"
"11","4","-3.9","2.8","30040172"
"990001","5","-22.5","17.1","30050013"
"991004","5","-19","-8.2","30050074"
"990001","5","-22.5","-16","30050076"
"991003","5","-9.4","2.8","30050193"
"991004","5","-8.3","2.8","30050194"
"991001","5","-16.6","11.8","30050204"
"991002","5","-16.6","12.2","30050205"
"991003","5","-20.6","-8.2","30050209"
"990001","5","-4.5","-11","30050213"
"991003","5","1.7","-6.4","30050214"
"991004","5","2.2","-6.4","30050215"
"991001","5","-15.2","-22.2","30050221"
"991002","5","-15.2","-21.8","30050222"
"991001","5","-18.6","-0.2","30050223"
"991002","5","-18.6","0.2","30050224"
"991001","5","-10.6","-22.7","30050233"
"991002","5","-10.6","-21.3","30050234"
"990001","5","-2.7","12","30050235"
"991006","5","-16.7","-4.2","30050236"
"991006","5","-16.7","-5.7","30050237"
"13","5","24.3","-25.5","30050238"
"11","5","24.5","-25.2","30050239"
"13","5","-22.8","8.2","30050240"
"11","5","-22.7","7.1","30050241"
"11","5","-22.7","5","30050242"
"13","5","-21.5","4.8","30050243"
"13","5","-22.8","6","30050244"
"12","5","24.4","-25.4","30050245"
"12","5","-19.2","4.5","30050246"
"13","5","-17","9","30050247"
"13","5","-16","9","30050248"
"13","5","-18","9","30050249"
"11","5","-15.6","2.9","30050250"
"11","5","-17.8","3","30050251"
"12","5","-14.1","7.5","30050252"
"12","5","-11.9","7.5","30050253"
"13","5","-11.7","5.4","30050254"
"13","5","-11.7","3.5","30050255"
"11","5","-10.9","1.5","30050256"
"11","5","-10.9","-0.5","30050257"
"12","5","-14.4","3.5","30050258"
"12","5","-14.3","1.5","30050259"
"12","5","-21.3","1.6","30050260"
"11","5","-22.8","1.6","30050261"
"12","5","-24","-0.5","30050262"
"12","5","-24","-2.7","30050263"
"13","5","-16","-4","30050264"
"13","5","-16","-5","30050265"
"13","5","-16","-6","30050266"
"13","5","-18","-4","30050267"
"13","5","-18","-5","30050268"
"13","5","-18","-6","30050269"
"11","5","-21","-7","30050270"
"12","5","-19.8","-5.5","30050271"
"12","5","-17.1","-9.3","30050272"
"12","5","-16.3","-10.6","30050273"
"12","5","-17.2","-12.2","30050274"
"11","5","-22","-10","30050275"
"11","5","-22","-12","30050276"
"12","5","-16.8","-14.4","30050277"
"11","5","-15.9","-16.6","30050278"
"11","5","-16","-19.5","30050279"
"12","5","-16","-18.1","30050280"
"12","5","-14","-19","30050281"
"12","5","-13","-17","30050282"
"12","5","-14.7","-16.6","30050283"
"11","5","-13.5","-24.1","30050284"
"11","5","-15.7","-24","30050285"
"11","5","-20.4","-23.5","30050286"
"11","5","-17.8","-23.5","30050287"
"12","5","-22","-20","30050288"
"12","5","-22","-22","30050289"
"13","5","-19.3","-23.2","30050290"
"13","5","-13","-23","30050291"
"12","5","-11.8","-23","30050292"
"13","5","-11","-23","30050293"
"11","5","-12.4","-20.1","30050294"
"11","5","-11","-20","30050295"
"11","5","-9.5","-19.3","30050296"
"12","5","-8.4","-19.3","30050297"
"11","5","-6.8","-19.1","30050299"
"13","5","-6.5","-20.4","30050300"
"12","5","-4.2","-19.2","30050301"
"12","5","-4.1","-20.6","30050302"
"12","5","-5.9","-23.4","30050303"
"11","5","-4.1","-23.4","30050304"
"11","5","-1.4","-23.4","30050305"
