75f739aa33bf91697b5b4bd28602ee07f7fd84b55aefe501ed0302d8012080fa,633dcfcb4d03697a93ee86896d012817482ecf722576f6d6767aae5763b639b5,3e20bb3adac47698092f93b1f415c0dd15057b3af8a1a59eaa6a800a9b0f5b5e,b72fc900de2586584da2d0cc48465d3fd0752e0f240c7b5cbd241bbc2f15615f,0b150cd6c4a2dcc28fe1a032b205008bca0b2dc97c7240d0b435946ba7af9e63,2482d4b48f0c7f3f47f909e2a3af522471af88e2ab147951c3461ef50fbe7127,7ccfd1b774dce45f6baa7785ee88fb1721e78ff28bb619e7f08ba1376b79099e,c071307e47aca919ad5a119b49548103cdf4a089c297d0e2bddd36ef2b8c7a19,fdf5e672e67f504957c2c07a3af6ec64294f901fdd2414edc51e6766a2c8f2fb,c07add433d4917506c3eb6d66a1532e8b100b894d9113886d9278d80ed30e8d4,25e3fcdaf45fb0b73f87c43c0741bb1027561a28344f9ab50eeb283b26f26e4d,71921a574c0112fcb4f2bcb9b0a54b1e21b768b81213a6af0cffc70a3c2ef8a8
"0","0.552","1010025","0","0","1","0","25","4","0","0","1"
"2.64","0","1010026","0","25","0","368","26","1","0","6","1"
"0","3.195","1010027","0","0","1","0","27","4","0","0","1"
"0.599","0","1010028","0","0","0","65","28","1","0","7","1"
"0","0.929","1010029","0","0","1","0","29","4","0","0","1"
"1.302","0","1010030","0","65","0","252","30","1","0","7","1"
"0","2.395","1010031","0","0","1","0","31","4","0","0","1"
"0","0","1010032","vo_minigame_1005_nikki01_002","0","0","0","32","2","vo_minigame_1005","0","1"
"2.09","0","1010033","0","0","0","271","33","1","0","8","1"
"0","2.512","1010034","0","0","1","0","34","4","0","0","1"
"0.868","0","1010035","0","271","0","400","35","1","0","8","1"
"0","0.907","1010036","0","0","1","0","36","4","0","0","1"
"2.214","0","1010037","0","0","0","315","37","1","0","9","1"
"0","2.562","1010038","0","0","1","0","38","4","0","0","1"
"1.65","0","1010039","0","0","0","242","39","1","0","10","1"
"0","2.654","1010040","0","0","1","0","40","4","0","0","1"
"0","0","1010041","vo_minigame_1005_nikki01_003","0","0","0","41","2","vo_minigame_1005","0","1"
"0.685","0","1010042","0","242","0","345","42","1","0","10","1"
"0","1.036","1010043","0","0","1","0","43","4","0","0","1"
"0.378","0","1010044","0","345","0","397","44","1","0","10","1"
"0","0.378","1010045","0","0","1","0","45","4","0","0","1"
"2.438","0","1010046","0","0","0","377","46","1","0","11","1"
"0","3.395","1010047","0","0","1","0","47","4","0","0","1"
"0","0","1010048","vo_minigame_1005_nikki01_004","0","0","0","48","2","vo_minigame_1005","0","1"
"0.642","0","1010049","0","0","0","83","49","1","0","12","1"
"0","1.061","1010050","0","0","1","0","50","4","0","0","1"
"0.539","0","1010051","0","83","0","159","51","1","0","12","1"
"0","0.877","1010052","0","0","1","0","52","4","0","0","1"
"1.135","0","1010053","0","159","0","316","53","1","0","12","1"
"0","2.635","1010054","0","0","1","0","54","4","0","0","1"
"0","1","1020001","0","0","3","0","1","4","0","0","2"
"0","0","1020002","vo_minigame_1005_nikki02_000","0","0","0","2","2","vo_minigame_1005","0","2"
"2.91","0","1020003","0","0","0","345","3","1","0","1","2"
"0","3.814","1020004","0","0","1","0","4","4","0","0","2"
"0","0","1020005","vo_minigame_1005_nikki02_001","0","0","0","5","2","vo_minigame_1005","0","2"
"1.67","0","1020006","0","0","0","239","6","1","0","2","2"
"0","2.19","1020007","0","0","1","0","7","4","0","0","2"
"2.455","0","1020008","0","0","0","314","8","1","0","3","2"
"0","3.527","1020009","0","0","1","0","9","4","0","0","2"
"0","0","1020010","vo_minigame_1005_nikki02_002","0","0","0","10","2","vo_minigame_1005","0","2"
"0.454","0","1020011","0","0","0","70","11","1","0","4","2"
"0","0.874","1020012","0","0","1","0","12","4","0","0","2"
"2.154","0","1020013","0","70","0","392","13","1","0","4","2"
"0","3.373","1020014","0","0","1","0","14","4","0","0","2"
"0","0","1020015","vo_minigame_1005_nikki02_003","0","0","0","15","2","vo_minigame_1005","0","2"
"0.895","0","1020016","0","0","0","125","16","1","0","5","2"
"0","1.311","1020017","0","0","1","0","17","4","0","0","2"
"1.114","0","1020018","0","125","0","265","18","1","0","5","2"
"0","1.181","1020019","0","0","1","0","19","4","0","0","2"
"0.497","0","1020020","0","265","0","340","20","1","0","5","2"
"0","0.497","1020021","0","0","1","0","21","4","0","0","2"
"1.37","0","1020022","0","0","0","189","22","1","0","6","2"
"0","2.407","1020023","0","0","1","0","23","4","0","0","2"
"0","0","1020024","vo_minigame_1005_nikki02_004","0","0","0","24","2","vo_minigame_1005","0","2"
"1.616","0","1020025","0","0","0","195","25","1","0","7","2"
"0","2.035","1020026","0","0","1","0","26","4","0","0","2"
"0.951","0","1020027","0","195","0","295","27","1","0","7","2"
"0","1.322","1020028","0","0","1","0","28","4","0","0","2"
"1.924","0","1020029","0","0","0","258","29","1","0","8","2"
"0","2.98","1020030","0","0","1","0","30","4","0","0","2"
"0","0","1020031","vo_minigame_1005_nikki02_005","0","0","0","31","2","vo_minigame_1005","0","2"
"0.93","0","1020032","0","0","0","114","32","1","0","9","2"
"0","1.24","1020033","0","0","1","0","33","4","0","0","2"
"0.879","0","1020034","0","114","0","257","34","1","0","9","2"
"0","1.877","1020035","0","0","1","0","35","4","0","0","2"
"0","0","1020036","vo_minigame_1005_nikki02_006","0","0","0","36","2","vo_minigame_1005","0","2"
"1.148","0","1020037","0","0","0","144","37","1","0","10","2"
"0","1.541","1020038","0","0","1","0","38","4","0","0","2"
"1.145","0","1020039","0","144","0","307","39","1","0","10","2"
"0","2.645","1020040","0","0","1","0","40","4","0","0","2"
"0","1","1030001","0","0","3","0","1","4","0","0","3"
"0","0","1030002","vo_minigame_1005_nikki03_000","0","0","0","2","2","vo_minigame_1005","0","3"
"2.61","0","1030003","0","0","0","332","3","1","0","1","3"
"0","3.007","1030004","0","0","1","0","4","4","0","0","3"
"1.47","0","1030005","0","0","0","233","5","1","0","2","3"
"0","2.171","1030006","0","0","1","0","6","4","0","0","3"
"0","0","1030007","vo_minigame_1005_nikki03_001","0","0","0","7","2","vo_minigame_1005","0","3"
"2.1","0","1030008","0","0","0","322","8","1","0","3","3"
"0","2.579","1030009","0","0","1","0","9","4","0","0","3"
"2.298","0","1030010","0","0","0","349","10","1","0","4","3"
"0","3.18","1030011","0","0","1","0","11","4","0","0","3"
"0","0","1030012","vo_minigame_1005_nikki03_002","0","0","0","12","2","vo_minigame_1005","0","3"
"1.262","0","1030013","0","0","0","173","13","1","0","5","3"
"0","1.993","1030014","0","0","1","0","14","4","0","0","3"
"0","0","1030015","vo_minigame_1005_nikki03_003","0","0","0","15","2","vo_minigame_1005","0","3"
"0.373","0","1030016","0","173","0","243","16","1","0","5","3"
"0","0.69","1030017","0","0","1","0","17","4","0","0","3"
"1.045","0","1030018","0","243","0","362","18","1","0","5","3"
"0","2.131","1030019","0","0","1","0","19","4","0","0","3"
"0","0","1030020","vo_minigame_1005_nikki03_004","0","0","0","20","2","vo_minigame_1005","0","3"
"2.147","0","1030021","0","0","0","289","21","1","0","6","3"
"0","2.618","1030022","0","0","1","0","22","4","0","0","3"
"1.445","0","1030023","0","0","0","202","23","1","0","7","3"
"0","2.552","1030024","0","0","1","0","24","4","0","0","3"
"0","0","1030025","vo_minigame_1005_nikki03_005","0","0","0","25","2","vo_minigame_1005","0","3"
"0.876","0","1030026","0","0","0","123","26","1","0","8","3"
"0","1.252","1030027","0","0","1","0","27","4","0","0","3"
"1.306","0","1030028","0","123","0","324","28","1","0","8","3"
"0","1.507","1030029","0","0","1","0","29","4","0","0","3"
"1.319","0","1030030","0","0","0","186","30","1","0","9","3"
"0","2.549","1030031","0","0","1","0","31","4","0","0","3"
"0","0","1030032","vo_minigame_1005_nikki03_006","0","0","0","32","2","vo_minigame_1005","0","3"
"2.728","0","1030033","0","0","0","383","33","1","0","10","3"
"0","3.023","1030034","0","0","1","0","34","4","0","0","3"
"0.91","0","1030035","0","0","0","123","35","1","0","11","3"
"0","1.977","1030036","0","0","1","0","36","4","0","0","3"
"0","0","1030037","vo_minigame_1005_nikki03_007","0","0","0","37","2","vo_minigame_1005","0","3"
"0.558","0","1030038","0","123","0","208","38","1","0","11","3"
"0","0.973","1030039","0","0","1","0","39","4","0","0","3"
"1.35","0","1030040","0","208","0","392","40","1","0","11","3"
"0","2.103","1030041","0","0","1","0","41","4","0","0","3"
"0","0","1030042","vo_minigame_1005_nikki03_008","0","0","0","42","2","vo_minigame_1005","0","3"
"0.935","0","1030043","0","0","0","150","43","1","0","12","3"
"0","2.435","1030044","0","0","1","0","44","4","0","0","3"
"0","1","1040001","0","0","3","0","1","4","0","0","4"
"0","0","1040002","vo_minigame_1005_nikki04_000","0","0","0","2","2","vo_minigame_1005","0","4"
"1.597","0","1040003","0","0","0","222","3","1","0","1","4"
"0","1.881","1040004","0","0","1","0","4","4","0","0","4"
"1.46","0","1040005","0","0","0","239","5","1","0","2","4"
"0","2.457","1040006","0","0","1","0","6","4","0","0","4"
"0","0","1040007","vo_minigame_1005_nikki04_001","0","0","0","7","2","vo_minigame_1005","0","4"
"1.208","0","1040008","0","0","0","171","8","1","0","3","4"
"0","1.578","1040009","0","0","1","0","9","4","0","0","4"
"0.673","0","1040010","0","171","0","270","10","1","0","3","4"
"0","1.009","1040011","0","0","1","0","11","4","0","0","4"
"0.65","0","1040012","0","270","0","352","12","1","0","3","4"
"0","0.729","1040013","0","0","1","0","13","4","0","0","4"
"0.976","0","1040014","0","0","0","166","14","1","0","4","4"
"0","1.993","1040015","0","0","1","0","15","4","0","0","4"
"0","0","1040016","vo_minigame_1005_nikki04_002","0","0","0","16","2","vo_minigame_1005","0","4"
"0.396","0","1040017","0","166","0","220","17","1","0","4","4"
"0","0.864","1040018","0","0","1","0","18","4","0","0","4"
"0.74","0","1040019","0","220","0","352","19","1","0","4","4"
"0","1.855","1040020","0","0","1","0","20","4","0","0","4"
"0","0","1040021","vo_minigame_1005_nikki04_003","0","0","0","21","2","vo_minigame_1005","0","4"
"0.437","0","1040022","0","0","0","52","22","1","0","5","4"
"0","0.497","1040023","0","0","1","0","23","4","0","0","4"
"1.776","0","1040024","0","52","0","289","24","1","0","5","4"
"0","2.233","1040025","0","0","1","0","25","4","0","0","4"
"1.29","0","1040026","0","0","0","153","26","1","0","6","4"
"0","1.638","1040027","0","0","1","0","27","4","0","0","4"
"1.137","0","1040028","0","153","0","329","28","1","0","6","4"
"0","2.3","1040029","0","0","1","0","29","4","0","0","4"
"0","0","1040030","vo_minigame_1005_nikki04_004","0","0","0","30","2","vo_minigame_1005","0","4"
"0.336","0","1040031","0","0","0","55","31","1","0","7","4"
"0","0.826","1040032","0","0","1","0","32","4","0","0","4"
"1.223","0","1040033","0","55","0","252","33","1","0","7","4"
"0","1.223","1040034","0","0","1","0","34","4","0","0","4"
"0.994","0","1040035","0","0","0","179","35","1","0","8","4"
"0","1.487","1040036","0","0","1","0","36","4","0","0","4"
"0.89","0","1040037","0","179","0","312","37","1","0","8","4"
"0","1.567","1040038","0","0","1","0","38","4","0","0","4"
"0","0","1040039","vo_minigame_1005_nikki04_005","0","0","0","39","2","vo_minigame_1005","0","4"
"0.74","0","1040040","0","0","0","151","40","1","0","9","4"
"0","1.731","1040041","0","0","1","0","41","4","0","0","4"
"0","0","1040042","vo_minigame_1005_nikki04_006","0","0","0","42","2","vo_minigame_1005","0","4"
"1.937","0","1040043","0","0","0","278","43","1","0","10","4"
"0","2.435","1040044","0","0","1","0","44","4","0","0","4"
"0.822","0","1040045","0","0","0","126","45","1","0","11","4"
"0","1.376","1040046","0","0","1","0","46","4","0","0","4"
"0.576","0","1040047","0","126","0","199","47","1","0","11","4"
"0","0.923","1040048","0","0","1","0","48","4","0","0","4"
"0.785","0","1040049","0","199","0","353","49","1","0","11","4"
"0","2.285","1040050","0","0","1","0","50","4","0","0","4"
"0","1","1050001","0","0","3","0","1","4","0","0","5"
"0","0","1050002","vo_minigame_1005_nikki05_000","0","0","0","2","2","vo_minigame_1005","0","5"
"1.419","0","1050003","0","0","0","183","3","1","0","1","5"
"0","1.662","1050004","0","0","1","0","4","4","0","0","5"
"1.614","0","1050005","0","0","0","265","5","1","0","2","5"
"0","2.394","1050006","0","0","1","0","6","4","0","0","5"
"0","0","1050007","vo_minigame_1005_nikki05_001","0","0","0","7","2","vo_minigame_1005","0","5"
"2.658","0","1050008","0","0","0","394","8","1","0","3","5"
"0","3.202","1050009","0","0","1","0","9","4","0","0","5"
"0","0","1050010","vo_minigame_1005_nikki05_002","0","0","0","10","2","vo_minigame_1005","0","5"
"1.745","0","1050011","0","0","0","298","11","1","0","4","5"
"0","2.545","1050012","0","0","1","0","12","4","0","0","5"
"0","0","1050013","vo_minigame_1005_nikki05_003","0","0","0","13","2","vo_minigame_1005","0","5"
"0.964","0","1050014","0","0","0","115","14","1","0","5","5"
"0","1.34","1050015","0","0","1","0","15","4","0","0","5"
"1.919","0","1050016","0","115","0","394","16","1","0","5","5"
"0","2.719","1050017","0","0","1","0","17","4","0","0","5"
"0","0","1050018","vo_minigame_1005_nikki05_004","0","0","0","18","2","vo_minigame_1005","0","5"
"0.434","0","1050019","0","0","0","60","19","1","0","6","5"
"0","0.903","1050020","0","0","1","0","20","4","0","0","5"
"1.262","0","1050021","0","60","0","250","21","1","0","6","5"
"0","1.758","1050022","0","0","1","0","22","4","0","0","5"
"2.473","0","1050023","0","0","0","309","23","1","0","7","5"
"0","3.315","1050024","0","0","1","0","24","4","0","0","5"
"0","0","1050025","vo_minigame_1005_nikki05_005","0","0","0","25","2","vo_minigame_1005","0","5"
"0.509","0","1050026","0","0","0","82","26","1","0","8","5"
"0","0.988","1050027","0","0","1","0","27","4","0","0","5"
"1.775","0","1050028","0","82","0","364","28","1","0","8","5"
"0","2.507","1050029","0","0","1","0","29","4","0","0","5"
"0","0","1050030","vo_minigame_1005_nikki05_006","0","0","0","30","2","vo_minigame_1005","0","5"
"1.139","0","1050031","0","0","0","201","31","1","0","9","5"
"0","2.066","1050032","0","0","1","0","32","4","0","0","5"
"0","0","1050033","vo_minigame_1005_nikki05_007","0","0","0","33","2","vo_minigame_1005","0","5"
"0.665","0","1050034","0","0","0","94","34","1","0","10","5"
"0","1.144","1050035","0","0","1","0","35","4","0","0","5"
"1.389","0","1050036","0","94","0","271","36","1","0","10","5"
"0","1.789","1050037","0","0","1","0","37","4","0","0","5"
"0.823","0","1050038","0","271","0","376","38","1","0","10","5"
"0","2.023","1050039","0","0","1","0","39","4","0","0","5"
