640382765ecbb2ade65aa2196f0d69f6bd6313db0b6997da90b43e474834d399,a15a977b390b5df9eac6bf1698fd65249d348dd3718bd84d1a6836b82e690b60,2c867d6e84a045133fbffaa84659ecf0e402915e43921c1c86c7d824c39e9f96,eaf16c44860962240925d0617fe2e6533f4472ceda23f32f8f10b63f23b7fec7,14670a0c4ac6ca0bac899d1275be515557773cf6693cabfdb913626aba0e1c55,afd43d4b7daf376baef7c4f6ad68227bbd1be96a636238b5613015c510f128ae,897a4f34bc016087f2f94c84a7842abd593d1b4aa1f801be1e0f09783718d051,989033fa8613157727a0e3ae27a3847d3628406817dacccb02fa001d6072d98d,39bf9fc82691ef2e9e36a5e65964a5ecb0c2218f5999e573cb5f7e0d3b9c9c22
"1211003","0","0","1211002","0","3000","21","0","0"
"-15","0","2","1211003","0","1","2","30000","0"
"-10","0","2","1213001","0","1","2","30000","0"
"-10","0","2","1213002","0","2","2","30000","0"
"-25","0","2","1214001","0","3","2","1500","0"
"-20","0","2","1216001","0","3","2","3000","0"
"20","0","1","1218001","0","3","2","30000","0"
"15","0","1","1219001","0","3","2","30000","0"
"15","0","1","1220001","0","3","2","30000","0"
"15","0","1","1221001","0","3","2","30000","0"
"20","0","1","1222001","0","2","2","3000","0"
"30","0","1","1223001","0","1","2","3000","0"
"15","0","1","1224001","0","2","2","3000","0"
"1224003","0","0","1224002","0","3000","21","0","0"
"20","0","1","1224003","0","1","2","30000","0"
"-10","0","1","1225001","0","2","2","3000","0"
"1225003","0","0","1225002","0","3000","21","0","0"
"-20","0","2","1225003","0","1","2","30000","0"
"-15","0","2","1227001","0","1","2","30000","0"
"-15","0","2","1227002","0","2","2","30000","0"
"-35","0","2","1228001","0","3","2","1500","0"
"20","0","1","1229001","0","3","2","30000","0"
"20","0","1","1230001","0","2","2","3000","0"
"1230003","0","0","1230002","0","3000","21","0","0"
"50","0","1","1230003","0","1","2","30000","0"
"-25","0","2","1232001","0","3","2","3000","0"
"25","0","1","1234001","0","3","2","30000","0"
"20","0","1","1235001","0","3","2","30000","0"
"20","0","1","1236001","0","3","2","30000","0"
"20","0","1","1237001","0","3","2","30000","0"
"25","0","1","1238001","0","2","2","3000","0"
"35","0","1","1239001","0","1","2","3000","0"
"20","0","1","1240001","0","2","2","3000","0"
"1240003","0","0","1240002","0","3000","21","0","0"
"25","0","1","1240003","0","1","2","30000","0"
"-10","0","1","1241001","0","2","2","3000","0"
"1241003","0","0","1241002","0","3000","21","0","0"
"-25","0","2","1241003","0","1","2","30000","0"
"-20","0","2","1242001","0","1","2","30000","0"
"-20","0","2","1242002","0","2","2","30000","0"
"-75","0","2","1244001","0","3","2","1500","0"
"20","0","1","1246001","0","3","2","30000","0"
"30","0","1","1247001","0","3","2","30000","0"
"1247003","0","0","1247002","0","3000","21","0","0"
"25","0","1","1247003","0","1","2","3000","0"
"75","0","1","1248001","0","1","2","3000","0"
"-90","0","2","1249001","0","3","2","1500","0"
"10","0","1","2101001","0","2","2","30000","0"
"10","0","1","2102001","0","2","2","30000","0"
"-15","0","2","2103001","0","2","2","3000","0"
"-15","0","2","2103002","0","3","2","3000","0"
"-25","0","2","2105001","0","3","2","3000","0"
"25","0","1","2107001","0","3","2","30000","0"
"10","0","1","2108001","0","3","2","30000","0"
"10","0","1","2109001","0","3","2","30000","0"
"10","0","1","2110001","0","3","2","30000","0"
"15","0","1","2111001","0","2","2","3000","0"
"25","0","1","2112001","0","1","2","3000","0"
"10","0","1","2113001","0","2","2","3000","0"
"2113003","0","0","2113002","0","3000","21","0","0"
"25","0","1","2113003","0","1","2","30000","0"
"-10","0","1","2114001","0","2","2","3000","0"
"2114003","0","1","2114002","0","3000","21","0","0"
"-25","0","2","2114003","0","1","2","30000","0"
"-10","0","2","2116001","0","1","2","30000","0"
"-10","0","2","2116002","0","2","2","30000","0"
"-50","0","2","2117001","0","3","2","1500","0"
"3301002","0","0","3301001","0","300","21","0","0"
"1","20","0","3301002","0","2","20","30","0"
"0","100","2","3301101","0","1","1","1","0"
"0","40","2","3302001","0","1","1","1","0"
"0","60","2","3302002","0","1","1","1","0"
"0","12","2","3303001","0","1","1","1","0"
"0","28","2","3303002","0","1","1","1","0"
"0","40","2","3304001","0","1","1","1","0"
"0","100","2","3304002","0","1","1","1","0"
"3305011","0","0","3305001","0","200","21","0","0"
"3305012","0","0","3305002","0","200","21","0","0"
"3305013","0","0","3305003","0","200","21","0","0"
"3305014","0","0","3305004","0","200","21","0","0"
"3305015","0","0","3305005","0","200","21","0","0"
"3305016","0","0","3305006","0","200","21","0","0"
"1","15","0","3305011","0","2","20","26","30"
"1","8","0","3305012","0","2","20","29","15"
"1","0","0","3305013","0","2","20","30","0"
"1","-8","0","3305014","0","2","20","29","-15"
"1","-15","0","3305015","0","2","20","26","-30"
"30000","0","1","3305016","0","1","10","180","0"
"0","20","2","3305101","0","1","1","1","0"
"1","29","0","3402001","0","2","20","274","0"
"500000","0","3","3402101","0","2000","11","0","0"
"3403002","0","0","3403001","0","200","21","0","0"
"200000","0","1","3403002","0","1","10","0","0"
"0","0","3","4001001","0","0","4","0","0"
"99999","0","3","4001002","0","0","1","0","0"
"99999","9","3","4002001","9","9","1","9","9"
