fe4066ac979e4ea6e92b16e58c0c3cd156e99f0c3f58f7a0966d112f6d17123e,5977c694cd36f05e8f07279ba693018e153d42748a4f4ea16fc85f68f49e5d62,2ee9114c5c197043806172f96580d6fc74d6e0990e8d48619a15260253c89da2,cd052ea4c2a5277eb3235c2394ec98edcbeefe8ae7b17a3b3d529b293284a775,623695e1cf319c2f536d05e8e66633b512136f164ea8dc2c16beaef9ac358553,aa88570c9f3e03b2a33e40a048acccbb7e27acab5fbc3865ca1026a4e79357dd,f9318ce7880a2e4cdff5e078a0cbf152aa4c8c13262151f6bff4993202e21cb4,24db54b60da07ff1cd283629e973464eb0ccc83b21311ea3f3ff38c003a1ac6d,dd225e208eec5329698aa8f3f4f9ea59337e5b1cb824f9de16e98222f4360c7a,b5b5f6b4601d4c567c9aa2e7cf8bc0497bf0abef7ff1e502a16f2722df96ed1d
"ミサキ","7","105001","1021","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"アキノ","10002","103201","1022","0","2","最大2000マイルを入手する","","1",""
"クルル","1","130901","1023","0","12","福引券を{0}枚入手する","","1",""
"スズメ","1","102501","1024","0","3","料理を{0}つ入手する","","1",""
"ユキ","0","100801","1025","0","8","ダイスの表と裏\nどちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"ネア","4","123301","1026","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","2","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"タマキ","10001","104601","1027","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"ランファ","2","118101","1028","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ユカリ","7","103401","1029","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"クレジッタ","10002","118001","1030","0","2","最大2000マイルを入手する","","1",""
"サレン","1","102801","1031","0","12","福引券を{0}枚入手する","","1",""
"ユイ","1","100201","1032","0","3","料理を{0}つ入手する","","1",""
"ハツネ","1","101201","1033","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"ミソラ","1","118201","1034","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ムイミ","7","106101","1035","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"シノブ","4","103101","1036","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","2","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"マヒル","10001","103301","1037","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"キョウカ","10002","103601","1038","0","2","最大2000マイルを入手する","","1",""
"グレイス","1","133001","1039","0","12","福引券を{0}枚入手する","","1",""
"ヴァイオレット","1","133101","1040","0","3","料理を{0}つ入手する","","1",""
"ラビリスタ","0","106801","1041","0","8","ダイスの表と裏\nどちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"クリスティーナ","1","107101","1042","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ネネカ","7","107001","1043","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"カヤ","4","106501","1044","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","2","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"ユニ","10001","111001","1045","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"カノン","10002","134901","1046","0","2","最大2000マイルを入手する","","1",""
"ツムギ","1","105401","1047","0","12","福引券を{0}枚入手する","","1",""
"ホウオウ","1","134701","1048","0","3","料理を{0}つ入手する","","1",""
"ヒヨリ","0","100101","1049","0","8","ダイスの表と裏\nどちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"ミヤコ","1","100701","1050","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ニノン","7","103001","1051","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"カスミ","2","101401","1052","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"サツキ","10001","135901","1053","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"リン","10002","102601","1054","0","2","最大2000マイルを入手する","","1",""
"イロハ","1","132401","1055","0","12","福引券を{0}枚入手する","","1",""
"ユキノ","1","135801","1056","0","3","料理を{0}つ入手する","","1",""
"レイ","0","100301","1057","0","8","ダイスの表と裏\nどちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"ホマレ","1","106701","1058","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ルイズマリー","7","132301","1059","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"リマ","1","105201","1060","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"ヨリ","10001","102201","1061","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"アカリ","10002","100601","1062","0","2","最大2000マイルを入手する","","1",""
"ナーナ","1","136201","1063","0","12","福引券を{0}枚入手する","","1",""
"チエル","1","110901","1064","0","3","料理を{0}つ入手する","","1",""
"シオリ","4","103801","1065","0","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","","2","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"ミサト","1","101501","1066","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"ノゾミ","7","102901","1067","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"カオリ","2","101701","1068","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"ソノ","10001","132501","1069","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"チカ","10002","104201","1070","0","2","最大2000マイルを入手する","","1",""
"リノ","1","101101","1071","0","12","福引券を{0}枚入手する","","1",""
"シズル","1","104901","1072","0","3","料理を{0}つ入手する","","1",""
"マホ","0","101001","1073","0","8","ダイスの表と裏\nどちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"シナツ","1","135601","1074","0","4","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"アイラ","7","135501","1075","0","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"アユミ","1","105501","1076","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"ヴァンピィ","10001","122301","1077","0","1","最大50％割引確定のショップを開く（1品100％割引あり）","","1",""
"メドゥーサ","10002","133601","1078","0","2","最大2000マイルを入手する","","1",""
"クルミ","1","102101","1079","0","12","福引券を{0}枚入手する","","1",""
"アヤネ","1","102301","1080","0","3","料理を{0}つ入手する","","1",""
"アメス","0","123001","1081","0","8","【仲間】ダイスの表と裏どちらを適用するか選択できる","","2","ダイスの表と裏\nどちらを適用するか選択できる"
"イリヤ","1","104401","1082","0","4","【仲間】ダイスの目を1回振りなおせる","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"トモ","7","103701","1083","0","6","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","","1","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"イノリ","2","106601","1084","1","13","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","","3","出たダイスの目が{0}だった場合、\n+{1}進める"
"クロエ","10001","110801","1085","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","","1",""
"アオイ","10002","104001","1086","0","2","【仲間】最大2000マイルを入手する","","1",""
"クウカ","1","104501","1087","0","12","【仲間】福引券を1枚入手する","","1",""
"ルルィ","1","136901","1088","0","3","【仲間】料理を1つ入手する","","1",""
