16f6f94d2ec4d59cc4807da3fc5d44eb2c12c29f7676088997db926377d2c32d,93d5dd2d147dcf817572478619e0beee6ce7865af09cd07b365d865da868f5ac,1da3ed0da0725ee54a99f2ace182141e687f50e93bf86dee97a9be4e0be4deb3,df24cf291b60fdac9e8b86483dffcdf3f8aa624e8887f458f71a7c2d719cdc16,a36f3557ace1265accf0398cceb20284ee576f8b949b76d0287a8e3c95cb86da,8295ad51a4ffacc970ccde8cd2d6af9037e381d084ce4d20c96043a6175a6130,785cd83989d36c71ff127dfaa43b5454b1fc0cd80c1f8faba0ad76911465d3d7,449fca601ab0376a607b1b5bdf370a99c1726e517397f2ca3813f63b0901769b,23b33cdcb62b4f407ca0dcc5597a0e1d82117c4ef3af0e4038c2fb9a490bae6a,7015b695b9d1b7b756ca7b120e6c27b80c1ef16b8f238ec390992b13f294e39b,5245cb6b2fd5f4e3602e56d9b322f353c857260c8061c822397df4c9d3820ee5,0e621d8ca6123e7c23223afd0b3f06c3b3ac8cd7c5cd7e4107cf96a924420fc4,490553ea07ef8fe4269aaba13043c2b6f03f3918ec9808bf2796f32a5350b7e9,3a1bbe6b0c0130103341eda61a1df7f077d1746a3bda4ac96e0fffeef72255c0,6c3b0313a30e8394614b1d440c92a3151fbd911e37bfa7aca951d5013ebfa832,126fc1d815d99b4a833925660195cfb808656ae560152099107f363e5c05aff2,d0862030797000c5648228b99f66a509193f769a3873136492112ebe159b988f,b5564587772750805cfaad0a60992052923accc5edb7faa83f2cc5d7d4d75ffd,094435e182e420ba4bccdaed68890bb80d85d1669a24b8e635ab753ea472566f,34e2484dc5433b9203d065c8aa49db59e1f1a2fb2699cbf4ead73e1e4632ec01
"1018","0","『サレン（★6）』のユニオンバースト。終焉をもたらす不死鳥の羽ばたき","これ、何と言う？","12501","12491","5","5","5","5","フェニクス","エンドオブフェニックス","12463","2","12455","1","12473","5","1","エンドオブフェニックス"
"1019","0","『マヒル（★6）』のユニオンバースト。相棒と放つ絆の一撃","これ、何と言う？","12456","12470","5","5","5","5","エリザベス","","12505","2","12522","1","12473","5","1","エリザベスコンビネーション"
"1020","0","『キョウカ（★6）』のユニオンバースト。全てを飲み込む蒼き小宇宙","これ、何と言う？","12503","12493","5","5","5","5","プラネット","","12483","2","12521","1","12488","5","1","コスモブループラネット"
"1021","0","『ミフユ（★6）』のユニオンバースト。敵を穿つ鋭き水流","これ、何と言う？","12473","12522","5","5","5","5","ストリーム","","12540","2","12488","1","12512","5","1","ボルテクスストリーム"
"1022","0","『ムイミ』のユニオンバースト。「現出せよ、□□□□□！」","これ、何と言う？","22825","35207","6","6","6","6","天楼覇断剣","","26029","1","27004","1","21091","6","1","天楼覇断剣"
"1023","0","『クリスティーナ』のユニオンバースト。「宴の始まりだ！ナンバーズ□□□□□！」","これ、何と言う？","12450","12449","5","5","5","5","アヴァロン","","12525","1","12532","1","12531","5","1","ナンバーズアヴァロン"
"1067","0","登山において、予定を変更して下山するためのルートのこと","これ、何と言う？","12456","12465","5","5","5","5","エスケープ","","12540","2","12473","2","12503","5","1","エスケープルート"
"1068","0","登山において、雪や氷の上を歩く際に靴に装備する金属の爪","これ、何と言う？","12463","12531","5","5","5","5","クランポン","","12509","3","12521","2","12531","5","1","クランポン"
"1070","0","軽微な装備で、自然や景観を楽しみながら歩くアクティビティ","これ、何と言う？","12495","12461","5","5","5","5","ハイキング","","12531","1","12452","2","12464","5","1","ハイキング"
"1071","0","登山のスタイルの一つで、山頂を目指して登る場合をこう呼ぶ","これ、何と言う？","12500","12495","5","5","5","5","ピクハント","ピークハント","12531","2","12463","2","12488","5","1","ピークハント"
"1075","0","水泳で両腕を同時に前後に、両足を同時に上下に動かす泳ぎ方。動きがとある生き物に似ている","これ、何と言う？","12496","12501","5","5","5","5","バタフライ","","12521","1","12479","2","12452","5","1","バタフライ"
"1076","0","戦略性の高さから「氷上のチェス」とも呼ばれるウィンタースポーツ","これ、何と言う？","12459","12522","5","5","5","5","カーリング","","12531","1","12540","2","12464","5","1","カーリング"
"1077","0","「10種」の種目を行い、その合計点を競う陸上競技。「10」を意味する言葉が含まれる","これ、何と言う？","12487","12473","5","5","5","5","デカスロン","","12525","1","12459","2","12531","5","1","デカスロン"
"1078","0","柔道で、相手の下にもぐりこみ、後方にけり投げる技。その姿勢が、「とある漢字」に似ている","これ、何と言う？","12392","12360","4","4","4","4","ともえなげ","","12394","1","12418","2","12370","4","1","ともえなげ"
"1079","0","野球の判定の一つ。これが3回宣言されると三振となる","これ、何と言う？","12473","12521","5","5","5","5","ストライク","","12452","1","12488","2","12463","5","1","ストライク"
"1080","0","サッカーで相手陣内での待ち伏せを禁止するために設けられたルール","これ、何と言う？","12458","12469","5","5","5","5","オフサイド","","12452","1","12501","2","12489","5","1","オフサイド"
"1081","0","バスケットボールで空中でパスを受けてそのまま着地せずシュートするプレー","これ、何と言う？","12450","12454","5","5","5","5","アリウープ","","12540","1","12522","2","12503","5","1","アリウープ"
"1082","0","球技において、勝利を決定づける一打のこと","これ、何と言う？","12454","12491","5","5","5","5","ウィニング","","12531","1","12451","2","12464","5","1","ウィニングショット"
"1083","0","スポーツ選手や楽器の演奏者などで、「左利き」のこと","これ、何と言う？","12469","12473","5","5","5","5","サウスポー","","12509","1","12454","2","12540","5","1","サウスポー"
"1085","0","陸上競技や水泳で、スタートする際に上体を深くかがませた姿勢からスタートすること","これ、何と言う？","12463","12454","5","5","5","5","クラウチン","","12481","1","12521","2","12531","5","1","クラウチングスタート"
"1086","0","跳び箱などで使う踏切板の正式な名前","これ、何と言う？","12525","12479","5","5","6","5","ロイター板","","12540","3","12452","2","26495","5","1","ロイター板"
"1095","0","水泳で足をバラバラに動かさず、左右揃えて力強く水を蹴ること。とある動物の泳ぎ方に似ている","これ、何と言う？","12489","12501","5","5","5","5","ドルフィン","","12451","2","12523","2","12531","5","1","ドルフィンキック"
"1096","1096","『ヒヨリ（★6）』のユニオンバースト。燃えさかる拳の連撃","これ、何と言う？","12496","12491","5","5","5","5","バーニング","","12531","3","12540","1","12464","5","1","ヒヨリバーニングラッシュ"
"1099","1099","ミニゲーム『ミサトのホームランドリル』にて投手『ハツネ』が使用する、球が消える魔球","これ、何と言う？","12496","12483","5","5","5","5","バニッシュ","","12471","2","12491","1","12517","5","1","ハツネ☆バニッシュ"
"1100","1102","ミニゲーム『ミサトのホームランドリル』にて投手『カヤ』が使用する、球が燃える魔球","これ、何と言う？","12489","12468","5","5","5","5","ドラゴンズ","","12531","2","12521","1","12474","5","1","ドラゴンズエンドボール"
"1101","1101","ミニゲーム『ミサトのホームランドリル』にて、助っ人『アヤネ』に与えられた役職","これ、何と言う？","25171","12467","5","6","5","6","打撃コーチ","","12540","3","25731","1","12481","5","1","打撃コーチ"
"1102","1102","ミニゲーム『ミサトのホームランドリル』にて、助っ人『カヤ』に与えられた役職","これ、何と言う？","25237","12467","5","6","5","6","投球コーチ","","12540","3","29699","1","12481","5","1","投球コーチ"
"1104","0","精神と肉体の強さを同時に競い合う競技。チェスと、とあるスポーツとを交互にプレーする","これ、何と言う？","12508","12471","5","5","5","5","ボクシング","","12531","3","12463","2","12464","5","1","チェスボクシング"
"1105","0","テニスや卓球などで、どちらかが得点を全く取らないまま勝負のついた試合のこと。完封試合","これ、何と言う？","12521","12466","5","5","5","5","ラブゲーム","","12540","2","12502","2","12512","5","1","ラブゲーム"
"1106","0","アメフトで目を保護するためにヘルメットのフェイスマスクにつける、プラスチック製のシート","これ、何と言う？","12450","12471","5","5","5","5","アイシルド","アイシールド","12523","3","12452","2","12489","5","1","アイシールド"
"1107","0","バスケットボールやアメフトで、一試合を4つの時間帯に区切ったうちの一つ。ピリオドとも","これ、何と言う？","12463","12540","5","5","5","5","クォーター","","12479","3","12457","2","12540","5","1","クォーター"
"1115","0","「絶叫マシーン」の種類のひとつ。高所から一気に垂直落下するスリルを楽しむ","これ、何と言う？","12501","12501","5","5","5","5","フリフォル","フリーフォール","12457","3","12522","2","12523","5","1","フリーフォール"
"1116","0","コーナー上からバック転でボディプレスをするプロレス技。軌道が月のような弧を描くことから","これ、何と言う？","12512","12469","5","5","5","5","ムンサルト","ムーンサルトプレス","12523","3","12531","2","12488","5","1","ムーンサルトプレス"
"1117","0","ダーツの的の真ん中にある二重丸のうち、内側の方。「インナーブル」や「ダブルブル」とも","これ、何と言う？","12502","12474","5","5","5","5","ブルズアイ","","12450","3","12523","2","12452","5","1","ブルズアイ"
"1120","0","ゴルフの第1打目に使われるクラブの一つ。大きな飛距離を出す際に、もっともよく選ばれる","これ、何と言う？","12489","12452","5","5","5","5","ドライバー","","12496","2","12521","2","12540","5","1","ドライバー"
"1121","0","野球の試合が、悪天候や、大きな点差がついたなどの事情により途中で打ち切り終了となること","これ、何と言う？","12467","12489","5","5","5","5","コルドゲム","コールドゲーム","12466","2","12523","2","12512","5","1","コールドゲーム"
"1122","0","野球の投球方法の一つ。大きく身体をひねって投げる動きが、まるで竜巻を思わせる","これ、何と言う？","12488","12493","5","5","5","5","トルネード","","12540","1","12523","2","12489","5","1","トルネード投法"
"1123","0","ダンスのステップの一つ。前に歩いているように見せながら後ろに下がっていく不思議な動き","これ、何と言う？","12512","12454","5","5","5","5","ムンウォク","ムーンウォーク","12457","1","12531","2","12463","5","1","ムーンウォーク"
"1127","0","対戦カードゲームで人気のルールの一つ。その場で開封したパックで即興デッキを作り勝負する","これ、何と言う？","12471","12523","5","5","6","5","シールド戦","","12489","3","12540","2","25126","5","1","シールド戦"
"1130","0","サッカーなどで、ひとりの選手が１試合中に３得点以上とること","これ、何と言う？","12495","12488","5","5","5","5","ハトトリク","ハットトリック","12522","1","12488","2","12463","5","1","ハットトリック"
"1131","0","漢字では「打っ棄り」「打っ遣り」と書く、相撲の技・決まり手","これ、何と言う？","12358","12385","4","4","4","4","うっちゃり","","12419","3","12387","2","12426","4","1","うっちゃり"
"1132","0","「ベースボール」は「やきゅう」。では「テニス」は？","これ、何と言う？","12390","12365","4","4","4","4","ていきゅう","","12421","2","12356","2","12358","4","1","ていきゅう"
"1134","0","卓球のラケットの種類。「シェークハンド」と、あと一つは？","これ、何と言う？","12506","12507","5","5","5","5","ペンホルダー","","12523","3","12531","2","12480","5","1","ペンホルダー"
"1136","0","スポーツの団体戦での構成","これ、何と言う？","12385","12358","4","4","4","4","ちゅうけん","","12369","2","12421","2","12435","4","1","先鋒⇒次鋒⇒ちゅうけん⇒副将⇒大将"
"1138","0","ラケットを使った球技。対戦者が同じ方向を向き、壁を使って相手にボールを打ち返すのが特徴","これ、何と言う？","12473","12483","5","5","5","5","スカッシュ","","12471","3","12459","2","12517","5","1","スカッシュ"
"1140","1140","『クリスティーナ』のUBのセリフ「□□□□□だ、ナンバーズアヴァロン！」","これ、どんなセリフ？","23476","22987","4","6","4","4","宴の始まり","","12414","3","12398","1","12426","6","1","宴の始まり"
"1141","0","バスケットボールで、シュートが失敗してリングに弾かれたボールをとること","これ、何と言う？","12522","12454","5","5","5","5","リバウンド","","12531","1","12496","2","12489","5","1","リバウンド"
"1142","0","ボクシングでかがむことで相手のパンチをよけること","これ、何と言う？","12480","12461","5","5","5","5","ダッキング","","12531","2","12483","2","12464","5","1","ダッキング"
"1146","0","筋力トレーニングの基本的な種目で膝関節の曲げ、伸ばしを繰り返す動作の名前は？","これ、何と言う？","12473","12527","5","5","5","5","スクワット","","12483","2","12463","2","12488","5","1","スクワット"
"1151","0","「天下五剣」に数えられる刀。名前の由来となった、特徴的な三日月形の刃文を持つ","これ、何と言う？","19977","26376","6","6","6","6","三日月宗近","","23447","2","26085","2","36817","6","1","三日月宗近"
"1153","0","バスケットボールの和訳","これ、何と言う？","12429","12365","4","4","4","4","ろうきゅう","","12421","2","12358","2","12358","4","1","籠球＝ろうきゅう"
"1157","0","略して「MTB」とも書かれる、山野を走るのに向いた自転車","これ、何と言う？","12510","12531","5","5","5","5","マウンテン","","12486","2","12454","2","12531","5","1","マウンテンバイク"
"1164","1164","","このセリフ、何と言う？","12503","12531","5","5","5","5","プリンセス","","12475","1","12522","1","12473","5","1","チェンジ・プリンセスフォーム！"
"1166","0","ビリヤードのテクニック。手球を相手がプレイしにくい位置に移動させること","これ、何と言う？","12475","12501","5","5","5","5","セーフティ","","12486","3","12540","2","12451","5","1","セーフティ"
"1168","1168","このキャラが野球でホームランを打ったときのキメ台詞","これ、何と言う？","12393","12384","6","4","4","4","どうだ見た","どうだ、見たか！","35211","3","12358","1","12383","4","1","どうだ、見たか！"
"1170","0","「機関銃」の、英語での呼び方","これ、何と言う？","12510","12531","5","5","5","5","マシンガン","","12460","1","12471","2","12531","5","1","機関銃＝マシンガン"
"1171","0","プリコネRのバトル用語で『UB』とは何の略？","これ、何と言う？","12518","12496","5","5","5","5","ユニバスト","ユニオンバースト","12473","1","12491","1","12488","5","1","ユニオンバースト"
"1172","1172","プリコネRのバトルで、このアイコンが表す状態異常の名前","これ、何と言う？","12385","12358","4","4","4","4","ちょうはつ","","12399","2","12423","1","12388","4","1","ちょうはつ"
"1173","1173","プリコネRのバトルで、このアイコンが表す状態異常の名前","これ、何と言う？","21560","12496","5","6","5","6","吸収バリア","","12522","2","21454","1","12450","5","1","物理吸収バリア"
"1174","1174","プリコネRのバトルで、このアイコンが表す状態異常の名前","これ、何と言う？","12362","12418","4","4","4","4","おともだち","","12384","3","12392","1","12385","4","1","おともだち"
"1175","0","プリコネRのバトルでの、キャラの立ち位置。\n「前衛」と「後衛」とあと一つは何？","これ、何と言う？","12385","12358","4","4","4","4","ちゅうえい","","12360","1","12421","1","12356","4","1","ちゅうえい"
"1176","1176","プリコネRのバトル用語\nの一つ（カタカナで）","これ、何と言う？","12479","12466","5","5","5","5","ターゲット","","12483","1","12540","1","12488","5","1","マルチターゲット"
"1178","0","空気の詰まったタンクを背負い、海などで潜って楽しむアクティビティ","これ、何と言う？","12473","12517","5","5","5","5","スキューバ","","12540","1","12461","2","12496","5","1","スキューバダイビング"
"1179","0","クライミングの一種に分類されるスポーツ。ロープなどを持たずほぼ身体一つで岩や壁面を登る","これ、何と言う？","12508","12480","5","5","5","5","ボルダリン","","12522","1","12523","2","12531","5","1","ボルダリング"
"1180","0","オーディンが所有する、必殺必中の槍。投げた後、自動的に手元に戻ってくると言われる","これ、何と言う？","12464","12464","5","5","5","5","グングニル","","12491","2","12531","2","12523","5","1","グングニル"
"1181","0","「聖剣」と言えばこれ。と言っていいほど有名な架空の武器。選ばれた者のみ抜くことができる","これ、何と言う？","12456","12473","5","5","5","5","エクスカリ","","12459","1","12463","2","12522","5","1","エクスカリバー"
"1182","0","3種のスポーツを続けて行う「トライアスロン」、種目の順番の通りに並べると？（漢字で）","これ、何？","27700","33258","6","6","6","6","水泳自転車","水泳⇒自転車⇒長距離走","36578","3","27891","2","36554","6","1","水泳⇒自転車⇒長距離走"
"1183","0","ボウリング用語で、概略するとピンとピンの間が離れて残っている状態。倒すのが難しいとされる","これ、何と言う？","12473","12522","5","5","5","5","スプリット","","12483","2","12503","2","12488","5","1","スプリット"
"1184","0","ボウリング用語で最も中央にあるピンのこと。他のピンに守られた「王様」のようにたとえられる","これ、何と言う？","12461","12464","5","5","5","5","キングピン","","12500","3","12531","2","12531","5","1","キングピン"
"1185","0","テニスなどのスポーツで同点のままもつれ込んだ際、決着をつけるために適用される特別なルール","これ、何と言う？","12479","12502","5","5","5","5","タイブレク","タイブレーク","12524","2","12452","2","12463","5","1","タイブレーク"
"1186","0","ゴルフでボールがコース内の池に落ちてしまうことの通称","これ、何と言う？","12356","12509","5","4","5","4","いけポチャ","","12481","1","12369","2","12515","5","1","いけポチャ"
"1187","0","ビリヤードで、球が他の球やクッションなどと隙間なくくっついてしまっている状態","これ、何と言う？","12501","12540","5","5","5","5","フローズン","","12474","3","12525","2","12531","5","1","フローズン"
"1188","0","ゴルフで、基準となる回数より1回多くかかってしまうのは「ボギー」。では2回多いのは？","これ、何と言う？","12480","12523","5","5","5","5","ダブルボギ","","12508","2","12502","2","12462","5","1","ダブルボギー"
"1189","0","ゴルフで、打った球がグリーン上の穴に入ること。通常、より少ない回数でこれを目指す","これ、何と言う？","12459","12503","5","5","5","5","カップイン","","12452","2","12483","2","12531","5","1","カップイン"
"1190","0","ボクシングなどでパンチのトレーニングに使う、砂の詰まった大きな袋","これ、何と言う？","12469","12489","5","5","5","5","サンドバグ","サンドバッグ","12496","1","12531","2","12464","5","1","サンドバッグ"
"1191","0","陸上競技でスタートの際に、動いても良いとされるタイミングよりも先に動いてしまうルール違反","これ、何と言う？","12501","12452","5","5","5","5","フライング","","12531","1","12521","2","12464","5","1","フライングスタート"
"1192","0","フィギュアスケートの技である「ループ」に関連して、これをつま先で踏み切った場合の呼び方","これ、何と言う？","12488","12523","5","5","5","5","トウループ","","12540","3","12454","2","12503","5","1","トウループ"
"1193","0","ボブスレーと同じコースを使って行う2つの競技。1つは「リュージュ」で、もう1つは何？","これ、何と言う？","12473","12523","5","5","5","5","スケルトン","","12488","3","12465","2","12531","5","1","スケルトン"
"1194","0","ボブスレーと同じコースを使って行う2つの競技。1つは「スケルトン」で、もう1つは何？","これ、何と言う？","12522","12540","5","5","5","5","リュージュ","","12472","3","12517","2","12517","5","1","リュージュ"
"1195","0","筋トレメニューのベンチプレス・スクワット・デッドリフト、3つを合わせて通称なんと呼ぶ？","これ、何と言う？","12499","12464","5","5","5","5","ビッグスリ","","12473","3","12483","2","12522","5","1","ビッグスリー"
"1196","0","スノーボードで、左足を前にして滑るのをレギュラースタンスと呼ぶが、その逆は？","これ、何と言う？","12464","12501","5","5","5","5","グーフィー","","12451","3","12540","2","12540","5","1","グーフィースタンス"
"1197","1197","斬撃と共に氷の魔法が放たれる、冷気を帯びた魔法剣","これ、何と言う？","12463","12452","5","5","5","5","クレイモア","","12514","3","12524","1","12450","5","1","アイスクレイモア"
"1198","1198","「□□□□□ガントレット」\n「□□□□□守護」これらの装備の名前に共通して入る言葉は？","これ、何と言う？","12375","12362","4","4","4","4","ししおうの","","12358","3","12375","1","12398","4","1","ししおうの"
"1199","0","とある武器の名前の略","これ、略さずに言うと？","12510","12531","5","5","5","5","マシンガン","","12460","2","12471","2","12531","5","1","SMG＝サブマシンガン"
"1200","0","近年はサバゲーでも浸透した言葉で、メイン武器の他に、ハンドガンなど副装備として持つ武器","これ、何と言う？","12469","12489","5","5","5","5","サイドアム","サイドアーム","12450","3","12452","2","12512","5","1","サイドアーム"
"1201","0","「ランニング」が高負荷の本格的な運動なのに対し、健康のためにゆったり走る運動は何と言う？","これ、何と言う？","12472","12462","5","5","5","5","ジョギング","","12531","1","12519","2","12464","5","1","ジョギング"
"1202","0","ダンスのジャンルの一つ。専用の靴を使い、つま先とかかとで床を打ち鳴らしながら踊る","これ、何と言う？","12479","12480","5","5","5","5","タプダンス","タップダンス","12531","1","12503","2","12473","5","1","タップダンス"
"1203","0","軍隊における「衛生兵」、英語での呼び方は？","これ、何と言う？","12513","12451","5","5","5","5","メディック","","12483","2","12487","2","12463","5","1","メディック"
"1204","0","戦において、敵の城を包囲し、食料が尽きて降参するのを待つ戦法","これ、何と言う？","12402","12358","4","4","4","4","ひょうろう","","12429","2","12423","2","12358","4","1","ひょうろう攻め"
"1205","0","ライフルなどを撃っているときに、過度にのめり込んでしまっている精神状態を指す言葉","これ、何と言う？","12488","12460","5","5","5","5","トリガハピ","トリガーハッピー","12495","3","12522","2","12500","5","1","トリガーハッピー"
"1206","0","ランニングで、ある程度の時間を継続して走っていると一時的に起こる高揚感のこと","これ、何と言う？","12521","12490","5","5","5","5","ランナーズ","","12540","2","12531","2","12474","5","1","ランナーズ・ハイ"
"1207","0","","これ、何と言う？","12510","12471","5","5","5","5","マーシャル","","12515","2","12540","2","12523","5","1","東洋の格闘技＝マーシャルアーツ"
"1208","0","野球のピッチングの精度を競うゲーム。1から9の数字が書かれたパネルを狙って当てる","これ、何と言う？","12473","12521","5","5","5","5","ストラック","","12483","2","12488","2","12463","5","1","ストラックアウト"
"1209","0","柔道の固め技の一つ。お坊さんが身につける、とある衣装から名付けられた","これ、何と言う？","12369","12364","4","4","4","4","けさがため","","12383","2","12373","2","12417","4","1","けさがため"
"1210","0","剣道の練習法。ふた手に分かれて、一方がもう一方に対し、休憩をせずに繰り返しかかっていく","これ、何と言う？","25499","12426","6","6","6","4","掛かり稽古","","31293","3","12363","2","21476","4","1","掛かり稽古"
"1211","0","射撃競技の一つ。高速で空中に射出された皿を、ショットガンで撃ち壊す精度を競う","これ、何と言う？","12463","12540","6","5","6","5","クレー射撃","","23556","3","12524","2","25731","5","1","クレー射撃"
"1212","0","サッカーで悪質な反則に対して示される警告。これが2回出ると、さらに重いレッドカードとなる","これ、何と言う？","12452","12525","5","5","5","5","イエロカド","イエローカード","12459","1","12456","2","12489","5","1","イエローカード"
"1213","0","サッカーから派生したスポーツで、5人対5人形式のサッカー。室内でプレイされることも。","これ、何と言う？","12501","12488","5","5","5","5","フットサル","","12469","1","12483","2","12523","5","1","フットサル"
"1214","0","柔道の花形の技としてよく知られる投げ技。相手を背負うような形で、肩越しに投げる","これ、何と言う？","12379","12356","4","4","4","4","せおいなげ","","12394","1","12362","2","12370","4","1","せおいなげ"
"1215","0","最近では「秘密兵器」という意味でも使われるが、元々は体操競技で非常に難しい技を指す言葉","これ、何と言う？","12454","12488","5","5","2","5","ウルトラC","","12521","3","12523","2","67","5","1","ウルトラC"
"1216","0","かつて使われた攻城兵器。てこの原理を利用して、遠くまで石を射出する","これ、何と言う？","12459","12497","5","5","5","5","カタパルト","","12523","2","12479","2","12488","5","1","カタパルト"
"1217","0","高度な対空射撃設備を搭載した軍艦。神話の中でゼウスが娘に与えた盾の名前が由来","これ、何と言う？","12452","12472","5","5","6","5","イージス艦","","12473","2","12540","2","33382","5","1","イージス艦"
"1218","0","軍隊や警察において使われる言葉で、「二人一組」のこと","これ、何と言う？","12484","12531","5","5","5","5","ツマンセル","ツーマンセル","12475","3","12510","2","12523","5","1","ツーマンセル"
"1219","0","銃で狙いを定めるための「照準器」の種類の一つ。いわゆる「ホログラム」の技術を使っている","これ、何と言う？","12507","12469","5","5","5","5","ホロサイト","","12452","2","12525","2","12488","5","1","ホロサイト"
"1220","0","スパイ映画でもよく見る、銃の発砲音を抑えるために銃口につける装置。「サプレッサー」とも","これ、何と言う？","12469","12524","5","5","5","5","サイレンサ","","12531","2","12452","2","12469","5","1","サイレンサー"
"1221","0","ライフルなどの仕組みで、一度引き金を引くたびに、銃弾が3発ずつ発射されるもの","これ、何と言う？","28857","12540","5","6","5","5","点バースト","","12473","3","12496","2","12488","5","1","3点バースト"
"1222","0","拳銃を収めるために、主に腰に装備するケース。西部劇での決闘シーンなどでもよく目立つ","これ、何と言う？","12507","12473","5","5","5","5","ホルスター","","12479","2","12523","2","12540","5","1","ホルスター"
"1223","0","競馬で、ゴールから一定距離ごとに目印として置かれる棒。赤と白のシマシマ柄をしている","これ、何と言う？","12495","12531","4","5","4","5","ハロンぼう","","12412","3","12525","2","12358","5","1","ハロンぼう"
"1224","0","競馬で、スタミナが多く長距離レースを得意とする馬のこと","これ、何と言う？","12473","12452","5","5","5","5","ステイヤー","","12516","3","12486","2","12540","5","1","ステイヤー"
"1225","1225","『ジータ』のユニオンバーストの名前","これ、何と言う？","12486","12506","5","5","5","5","テンペスト","","12473","2","12531","1","12488","5","1","テンペストブレード"
"1226","0","肉体美を競うコンテスト。よくボディビルと比較されるが、評価の観点や、対象の部位が異なる","これ、何と言う？","12501","12472","5","5","5","5","フィジーク","","12540","3","12451","2","12463","5","1","フィジーク"
"1227","0","「プロレス」の「レス」、何という言葉の略？","これ、何と言う？","12524","12522","5","5","5","5","レスリング","","12531","1","12473","2","12464","5","1","レスリング"
"1228","0","格闘技のパンチの種類の一つ。「ジャブ」と並んで重要となる、最も威力の出やすいもの","これ、何と言う？","12473","12524","5","5","5","5","ストレート","","12540","1","12488","2","12488","5","1","ストレート"
