80c826ad571819045ff5815004c92aa6a1ab9192da14739b37d5603bbfd2ea40,3eb378de67c24bbb02976a74f1776cd6b7bdfd7a893595bb66aee41b91fc0cce,f5dad1360f2ea45be6cef59fa63065f9055beefcac197f2ebb3c6273677f110c,72f3300af4354348e876300ed7b2a8ba729e9d73bff25824377a065d999f2be4,b2ba06f9f9edef8c0c502326d348e79e62e3e1c00308e420e5de2f9cf60788ef,3dad994e90a7309619511c01a14a547deced204b06eb8a42e2cc7b04c7758e43,52e9b232075493dcb7a0b012001a39dd296fc7274647697ea8fd8402f3dd11c0,39af17313f65c23d1b4489a54286ecade2a86a72ed1c5755df876065dc289150,fa33e428348ba638b945d8e313b196d50eff77672eead4b4877dbd17ce306835,f0fd07e859322ced8a3b1ce05f764f4c1214bf5ba9efa48cb011e334d0c3f1b1,5cea3e1533398041e87c89586160fc289ffd16d104d5452a8f96c6c173ba50d3
"1","120010010","","-345.4","31000001","0","2001","31","31000001","1",""
"1","120010011","","345.4","31000002","0","2001","31","31000002","1",""
"1","120010012","","0","100","0","2001","31","100","1",""
"1","120010013","","0","101","0","2001","31","101","0",""
"","120010014","","","0","","2001","91","","",""
"","120010015","","","100","","2001","35","1","",""
"1","120010016","","0","1000001","look_loop","2001","3","look_in","0","0"
"","120010017","","","1.3","","2001","93","0","",""
"1","121010001","","0","12","0","2101","31","998","0",""
"1","121010002","","0","14","0","2101","31","997","0",""
"1","121010003","","0","16","0","2101","31","996","0",""
"","121010004","","","31000001","","2101","32","0","",""
"","121010005","","","31000002","","2101","32","0","",""
"0","121010006","","-1","0","1","2101","121","0","0",""
"","121010007","","","1","","2101","35","1","",""
"","121010008","","","3","","2101","35","1","",""
"","121010009","","0","1000001","","2101","3","pointing","0",""
"","121010010","","","1","","2101","93","0","",""
"2","121010011","","-1.47","505","1.47","2101","121","100","0",""
"","121010012","","1","1000001","","2101","3","run_talk1","0.2",""
"0","121010013","","-240","1000001","1","2101","2","100","",""
"","121010014","","0","se_travel","","2101","23","se_travel_treasure_cha_run","",""
"","121010015","","","1","","2101","93","0","",""
"1","122010001","","0","11","0","2201","31","998","0",""
"1","122010002","","0","13","0","2201","31","997","0",""
"1","122010003","","0","15","0","2201","31","996","0",""
"","122010004","","","31000001","","2201","32","0","",""
"","122010005","","","31000002","","2201","32","0","",""
"","122010006","","","1","","2201","35","1","",""
"","122010007","","","3","","2201","35","1","",""
"","122010008","","0","1000001","","2201","3","pointing","0",""
"","122010009","","","1","","2201","93","0","",""
"2","122010010","","1.47","-505","1.47","2201","121","100","0",""
"","122010011","","1","1000001","","2201","3","run_talk1","0.2",""
"0","122010012","","-240","1000001","1","2201","2","100","",""
"","122010013","","0","se_travel","","2201","23","se_travel_treasure_cha_run","",""
"","122010014","","","1","","2201","93","0","",""
"1","130000001","","345.4","300000","0","3000","31","300000","0",""
"","130000002","","","0","","3000","91","","",""
"7.4","130000003","","1.05","1.05","1.05","3000","123","1.05","0",""
"","130000004","","0","1000001","","3000","3","wait","0.2",""
"","130000005","","","2","","3000","35","1","",""
"","130000006","","","4.9","","3000","93","0","",""
"0.4","130000007","","0.95","0.95","0.95","3000","123","0.95","0",""
"","130000008","","","300000","","3000","32","1","",""
"","130000009","","","0.1","","3000","93","0","",""
"","130000010","","","2","","3000","32","0","",""
"","130000011","","","0.1","","3000","93","0","",""
"","130000012","","","996","","3000","32","1","",""
"","130000013","","0","1000001","","3000","3","joy_from_wait","0",""
"","130000014","","","1.9","","3000","93","0","",""
"","130000015","","0","1000001","","3000","3","glad_from_joy","0",""
"","130000016","","","1.5","","3000","93","0","",""
"","130000017","","1","1000001","","3000","3","run_gatein","0.2",""
"","130000018","","","se_travel","","3000","23","se_travel_treasure_cha_run","",""
"0","130000019","","-195","1000001","1","3000","2","450","",""
"","130000020","","","0.5","","3000","93","1","",""
"0","130000021","","1","1000001","1","3000","6","1","0.4","0"
"","130000022","","","0.4","","3000","93","0","",""
"","130000023","","","1","","3000","113","","",""
"1","130010001","","345.4","300100","0","3001","31","300100","0",""
"1","130010002","","345.4","990001","0","3001","31","990001","1",""
"","130010003","","","0","","3001","91","","",""
"7.4","130010004","","1.05","1.05","1.05","3001","123","1.05","0",""
"","130010005","","0","1000001","","3001","3","wait","0.2",""
"","130010006","","","2","","3001","35","1","",""
"","130010007","","","5.4","","3001","93","0","",""
"0.4","130010008","","0.95","0.95","0.95","3001","123","0.95","0",""
"","130010009","","0","1000001","","3001","3","glad","0.2",""
"","130010010","","","300100","","3001","32","1","",""
"","130010011","","","996","","3001","32","1","",""
"","130010012","","","0.1","","3001","93","0","",""
"","130010013","","","2","","3001","32","0","",""
"","130010014","","","3","","3001","32","0","",""
"","130010015","","","1.5","","3001","93","0","",""
"","130010016","","0","1000001","","3001","3","joy","0.2",""
"","130010017","","","1.7","","3001","93","0","",""
"","130010018","","1","1000001","","3001","3","run_gatein","0",""
"0","130010019","","-195","1000001","1","3001","2","450","",""
"","130010020","","","0.5","","3001","93","1","",""
"0","130010021","","1","1000001","1","3001","6","1","0.4","0"
"","130010022","","","0.4","","3001","93","0","",""
"","130010023","","","1","","3001","113","","",""
"1","130020001","","345.4","300100","0","3002","31","300100","0",""
"1","130020002","","345.4","990002","0","3002","31","990002","1",""
"","130020003","","","0","","3002","91","","",""
"7.4","130020004","","1.05","1.05","1.05","3002","123","1.05","0",""
"","130020005","","0","1000001","","3002","3","wait","0.2",""
"","130020006","","","2","","3002","35","1","",""
"","130020007","","","5.4","","3002","93","0","",""
"0.4","130020008","","0.95","0.95","0.95","3002","123","0.95","0",""
"","130020009","","0","1000001","","3002","3","glad","0.2",""
"","130020010","","","300100","","3002","32","1","",""
"","130020011","","","996","","3002","32","1","",""
"","130020012","","","0.1","","3002","93","0","",""
"","130020013","","","2","","3002","32","0","",""
"","130020014","","","3","","3002","32","0","",""
"","130020015","","","1.5","","3002","93","0","",""
"","130020016","","0","1000001","","3002","3","joy","0.2",""
"","130020017","","","1.7","","3002","93","0","",""
"","130020018","","1","1000001","","3002","3","run_gatein","0",""
"0","130020019","","-195","1000001","1","3002","2","450","",""
"","130020020","","","0.5","","3002","93","1","",""
"0","130020021","","1","1000001","1","3002","6","1","0.4","0"
"","130020022","","","0.4","","3002","93","0","",""
"","130020023","","","1","","3002","113","","",""
"1","130110001","","345.4","6","0","3011","31","6","0",""
"1","130110002","","345.4","8","0","3011","31","8","0",""
"1","130110003","","345.4","301100","0","3011","31","301100","0",""
"","130110004","","","0","","3011","91","","",""
"7.4","130110005","","1.05","1.05","1.05","3011","123","1.05","0",""
"","130110006","","0","1000001","","3011","3","wait","0.2",""
"","130110007","","","2","","3011","35","1","",""
"","130110008","","","4.9","","3011","93","0","",""
"0.3","130110009","","0.95","0.95","0.95","3011","123","0.95","0",""
"","130110010","","0","se_travel","","3011","23","se_travel_treasure_ghost_success","",""
"","130110011","","","8","","3011","32","1","",""
"","130110012","","","8","","3011","35","0","",""
"","130110013","","","6","","3011","32","1","",""
"","130110014","","","0.1","","3011","93","0","",""
"","130110015","","","2","","3011","32","0","",""
"","130110016","","","3","","3011","32","0","",""
"","130110017","","0","1000001","","3011","3","dotEyes","",""
"","130110018","","","0.87","","3011","93","0","",""
"","130110019","","0","1000001","","3011","3","glad","0.2",""
"","130110020","","","301100","","3011","32","1","",""
"","130110021","","","8","","3011","35","1","",""
"","130110022","","","0.6","","3011","93","0","",""
"","130110023","","","996","","3011","32","1","",""
"","130110024","","","0.5","","3011","93","0","",""
"","130110025","","0","1000001","","3011","3","joy","",""
"","130110026","","","1.67","","3011","93","0","",""
"","130110027","","1","1000001","","3011","3","run_gatein","0",""
"0","130110028","","-195","1000001","1","3011","2","450","",""
"","130110029","","","0.5","","3011","93","1","",""
"0","130110030","","1","1000001","1","3011","6","1","0.4","0"
"","130110031","","","0.4","","3011","93","0","",""
"","130110032","","","1","","3011","113","","",""
"","130120001","","1","1000001","","3012","3","idle","0.2",""
"1","130120002","","0","301200","0","3012","31","13","0",""
"1","130120003","","0","101","0","3012","31","14","0",""
"1","130120004","","260","301204","-150","3012","31","16","0",""
"1","130120005","","0","301205","0","3012","31","17","0",""
"1","130120006","","345.4","6","0","3012","31","18","0",""
"1","130120007","","345.4","301201","0","3012","31","20","0",""
"1","130120008","","345.4","301202","0","3012","31","21","0",""
"-234","130120009","round_monster_walk","55","1","9340","3012","5","3","1","0"
"","130120010","","","0","","3012","91","","",""
"0","130120011","","1","3","1","3012","6","1","0","0"
"0","130120012","","-234","3","0","3012","2","345","0","0"
"7.4","130120013","","1.05","1.05","1.05","3012","123","1.05","0","0"
"","130120014","","0","1000001","","3012","3","wait","0.2",""
"","130120015","","","2","","3012","35","1","",""
"1","130120016","","0","301203","0","3012","31","15","0",""
"-250","130120017","<weapon>_run","57","2","9340","3012","1","1000002","0.89","0"
"","130120018","","","4.3","","3012","93","0","",""
"0.4","130120019","","0.95","0.95","0.95","3012","123","0.95","0",""
"","130120020","","","21","","3012","32","1","",""
"","130120021","","","21","","3012","35","0","",""
"","130120022","","","se_travel","","3012","23","se_travel_treasure_success_monster_helper_1","",""
"","130120023","","","18","","3012","32","1","",""
"","130120024","","","0.1","","3012","93","0","",""
"","130120025","","","2","","3012","32","0","",""
"1","130120026","","1","3","1","3012","6","1","0.3","0"
"","130120027","","","13","","3012","32","1","",""
"","130120028","","0","3","","3012","3","round_monster_appear","",""
"","130120029","","0","1000001","","3012","3","back","",""
"","130120030","","","0.67","","3012","93","0","",""
"","130120031","","0","3","","3012","3","round_monster_walk","0.2",""
"0","130120032","","-234","3","1.4","3012","2","220","",""
"","130120033","","","20","","3012","32","1","",""
"","130120034","","","0.1","","3012","93","0","",""
"","130120035","","","18","","3012","32","0","",""
"","130120036","","","0.5","","3012","93","0","",""
"","130120037","","","1000002","","3012","4","1","",""
"0","130120038","","-240","1000002","0","3012","2","1445","",""
"","130120039","","","0.5","","3012","93","0","",""
"","130120040","","0","3","","3012","3","round_monster_attack","0.3",""
"","130120041","","","0.5","","3012","93","0","",""
"","130120042","","","17","","3012","32","1","",""
"","130120043","","0","1000001","","3012","3","back_loop","0.1",""
"","130120044","","","0.5","","3012","93","0","",""
"0","130120045","","-240","1000002","0","3012","2","950","",""
"0","130120046","","-240","1000002","0.16","3012","2","650","",""
"","130120047","","0","1000002","","3012","3","<weapon>_run","0.2",""
"","130120048","","","0.16","","3012","93","0","",""
"","130120049","","0","1000002","","3012","3","<weapon>_attack_skipQuest","0.2",""
"","130120050","","","0.1","","3012","93","0","",""
"0","130120051","","-234","3","0","3012","2","280","",""
"","130120052","","","3","","3012","4","1","",""
"","130120053","","0","3","","3012","3","round_monster_die","0.2",""
"","130120054","","","16","","3012","32","1","",""
"","130120055","","","0.5","","3012","93","0","",""
"0","130120056","","-240","1000001","0","3012","2","20","",""
"","130120057","","0","1000001","","3012","3","back_origin","0",""
"","130120058","","0","1000001","","3012","3","surprise","0.2",""
"","130120059","","1","1000002","","3012","3","<weapon>_idle","0.2",""
"","130120060","","","0.66","","3012","93","0","",""
"","130120061","","","15","","3012","32","1","",""
"","130120062","","","996","","3012","32","1","",""
"0","130120063","","1","3","1","3012","6","1","0.6",""
"","130120064","","0","1000001","","3012","3","joy_short","0.2",""
"","130120065","","","18","","3012","32","1","",""
"","130120066","","","0.02","","3012","93","0","",""
"","130120067","","","20","","3012","32","0","",""
"","130120068","","","21","","3012","32","0","",""
"","130120069","","","1.5","","3012","93","0","",""
"","130120070","","0","1000001","","3012","3","smile","0.2",""
"","130120071","","1","1000002","","3012","3","<weapon>_run","0",""
"","130120072","","","1000002","","3012","4","0","",""
"0","130120073","","-250","1000002","2","3012","2","1500","",""
"","130120074","","","1","","3012","93","0","",""
"0","130120075","","1","1000002","1","3012","6","1","0.2",""
"","130120076","","1","1000001","","3012","3","run_gatein","0.2",""
"0","130120077","","-200","1000001","1","3012","2","360","",""
"","130120078","","","0.5","","3012","93","0","",""
"0","130120079","","1","1000001","1","3012","6","1","0.4",""
"","130120080","","","0.4","","3012","93","0","",""
"","130120081","","","1","","3012","113","0","",""
"1","130130001","","345.4","301300","0","3013","31","301300","0",""
"","130130002","","","0","","3013","91","","",""
"","130130003","","0","1000001","","3013","3","wait_gradeUp","0.2",""
"","130130004","","","301300","","3013","32","1","",""
"","130130005","","","0.1","","3013","93","0","",""
"","130130006","","","2","","3013","32","0","",""
"","130130007","","","0.8","","3013","93","0","",""
"0","130130008","","1.05","1.05","1.05","3013","123","1.05","0",""
"","130130009","","0.5","5","","3013","122","5","",""
"","130130010","","","1.1","","3013","93","0","",""
"0","130130011","","1.05","1.05","1.05","3013","123","1.05","0",""
"","130130012","","0.5","10","","3013","122","10","",""
"","130130013","","","0.8","","3013","93","0","",""
"","130130014","","0","1000001","","3013","3","glad","0.2",""
"","130130015","","","0.1","","3013","93","0","",""
"2","130130016","","0.907","0.907","0.907","3013","123","0.907","2",""
"","130130017","","","0.3","","3013","93","0","",""
"","130130018","","","996","","3013","32","1","",""
"","130130019","","","0.5","","3013","93","0","",""
"","130130020","","0","1000001","","3013","3","joy","0.2",""
"","130130021","","","1.7","","3013","93","0","",""
"","130130022","","1","1000001","","3013","3","run_gatein","0",""
"0","130130023","","-195","1000001","1","3013","2","450","",""
"","130130024","","","0.5","","3013","93","1","",""
"0","130130025","","1","1000001","1","3013","6","1","0.4","0"
"","130130026","","","0.4","","3013","93","0","",""
"","130130027","","","1","","3013","113","","",""
"1","130140001","","345.4","301400","0","3014","31","301400","0",""
"","130140002","","","0","","3014","91","","",""
"7.4","130140003","","1.05","1.05","1.05","3014","123","1.05","0",""
"","130140004","","0","1000001","","3014","3","wait","0.2",""
"","130140005","","","301400","","3014","32","1","",""
"","130140006","","","0.1","","3014","93","0","",""
"","130140007","","","2","","3014","32","0","",""
"","130140008","","","3.4","","3014","93","0","",""
"3.2","130140009","","0.95","0.95","0.95","3014","123","0.95","5",""
"","130140010","","","1.6","","3014","93","0","",""
"","130140011","","0","1000001","","3014","3","relief","0.2",""
"","130140012","","","996","","3014","32","1","",""
"","130140013","","","1.7","","3014","93","0","",""
"","130140014","","1","1000001","","3014","3","run_gatein","0",""
"0","130140015","","-195","1000001","1","3014","2","450","",""
"","130140016","","","0.5","","3014","93","1","",""
"0","130140017","","1","1000001","1","3014","6","1","0.4","0"
"","130140018","","","0.4","","3014","93","0","",""
"","130140019","","","1","","3014","113","","",""
"1","130150001","","345.4","301501","0","3015","31","301501","0",""
"1","130150002","","345.4","301500","0","3015","31","301500","1",""
"","130150003","","","0","","3015","91","","",""
"7.4","130150004","","1.05","1.05","1.05","3015","123","1.05","0",""
"","130150005","","0","1000001","","3015","3","wait_wakuwaku","0.2",""
"","130150006","","","2","","3015","35","1","",""
"","130150007","","","5.4","","3015","93","0","",""
"0.4","130150008","","0.95","0.95","0.95","3015","123","0.95","0",""
"","130150009","","0","1000001","","3015","3","glad","0.2",""
"","130150010","","","301501","","3015","32","1","",""
"","130150011","","","996","","3015","32","1","",""
"","130150012","","","0.1","","3015","93","0","",""
"","130150013","","","2","","3015","32","0","",""
"","130150014","","","3","","3015","32","0","",""
"","130150015","","","1.5","","3015","93","0","",""
"","130150016","","0","1000001","","3015","3","joy","0.2",""
"","130150017","","","1.7","","3015","93","0","",""
"","130150018","","1","1000001","","3015","3","run_gatein","0",""
"0","130150019","","-195","1000001","1","3015","2","450","",""
"","130150020","","","0.5","","3015","93","1","",""
"0","130150021","","1","1000001","1","3015","6","1","0.4","0"
"","130150022","","","0.4","","3015","93","0","",""
"","130150023","","","1","","3015","113","","",""
"1","130160001","","345.4","6","0","3016","31","6","0",""
"1","130160002","","345.4","8","0","3016","31","8","0",""
"1","130160003","","345.4","301600","-80","3016","31","301600","0",""
"1","130160004","","345.4","301601","0","3016","31","301601","0",""
"1","130160005","","345.4","990002","0","3016","31","990002","1",""
"","130160006","","","0","","3016","91","","",""
"7.4","130160007","","1.05","1.05","1.05","3016","123","1.05","0",""
"","130160008","","0","1000001","","3016","3","wait","0.2",""
"","130160009","","","2","","3016","35","1","",""
"","130160010","","","5.4","","3016","93","0","",""
"0.4","130160011","","0.95","0.95","0.95","3016","123","0.95","0",""
"","130160012","","","8","","3016","32","1","",""
"","130160013","","","8","","3016","35","0","",""
"","130160014","","","301600","","3016","32","1","",""
"","130160015","","","6","","3016","32","1","",""
"","130160016","","","0.1","","3016","93","0","",""
"","130160017","","","2","","3016","32","0","",""
"","130160018","","","3","","3016","32","0","",""
"","130160019","","0","1000001","","3016","3","glad","0.1",""
"","130160020","","0","se_travel","","3016","23","se_travel_treasure_success_butterfly","",""
"","130160021","","","0.5","","3016","93","0","",""
"","130160022","","","8","","3016","35","1","",""
"","130160023","","","1.1","","3016","93","0","",""
"","130160024","","","301601","","3016","32","1","",""
"","130160025","","","996","","3016","32","1","",""
"","130160026","","0","1000001","","3016","3","joy","0.2",""
"","130160027","","","1.67","","3016","93","0","",""
"","130160028","","1","1000001","","3016","3","run_gatein","0",""
"","130160029","","0","se_travel","","3016","23","se_travel_treasure_cha_run","",""
"0","130160030","","-195","1000001","1","3016","2","450","",""
"","130160031","","","0.5","","3016","93","1","",""
"0","130160032","","1","1000001","1","3016","6","1","0.4","0"
"","130160033","","","0.4","","3016","93","0","",""
"","130160034","","","1","","3016","113","","",""
"1","130170001","","345.4","310000","0","3017","31","310000","0",""
"1","130170002","","0","310001","0","3017","31","310001","0",""
"1","130170003","","345.4","301700","0","3017","31","301700","0",""
"1","130170004","","740","301701","-115","3017","31","301701","0",""
"1","130170005","","345.4","301702","0","3017","31","301702","0",""
"1","130170006","","345.4","301703","0","3017","31","301703","0",""
"-235","130170007","empty","100","5","610","3017","5","15","0.44","0"
"-235","130170008","empty","55","5","610","3017","5","16","0.44","0"
"","130170009","","","0","","3017","91","","",""
"7.4","130170010","","1.05","1.05","1.05","3017","123","1.05","0",""
"","130170011","","0","1000001","","3017","3","wait","0.2",""
"","130170012","","","2","","3017","35","1","",""
"","130170013","","","5.4","","3017","93","0","",""
"0.3","130170014","","0.95","0.95","0.95","3017","123","0.95","0",""
"","130170015","","","310000","","3017","32","1","",""
"","130170016","","","310001","","3017","32","1","",""
"","130170017","","","0.2","","3017","93","0","",""
"","130170018","","0.6","50","","3017","122","50","",""
"","130170019","","0","1000001","","3017","3","shock","0.2",""
"","130170020","","","1.6","","3017","93","0","",""
"","130170021","","","301700","","3017","32","1","",""
"","130170022","","","1.2","","3017","93","0","",""
"","130170023","","0","se_travel","","3017","23","se_travel_treasure_croce_ui","",""
"","130170024","","0","15","","3017","3","punch","",""
"","130170025","","0","16","","3017","3","punch_B","",""
"","130170026","","","0.2","","3017","93","0","",""
"0.1","130170027","","1.05","1.05","1.05","3017","123","1.05","11",""
"","130170028","","","0.1","","3017","93","0","",""
"0.3","130170029","","0.95","0.95","0.95","3017","123","0.95","0",""
"","130170030","","","1","","3017","93","0","",""
"","130170031","","0","se_travel","","3017","23","se_travel_treasure_croce_door","",""
"","130170032","","","0.4","","3017","93","0","",""
"","130170033","","","301701","","3017","32","1","",""
"","130170034","","","0.9","","3017","93","0","",""
"0","130170035","","1.05","1.05","1.05","3017","123","1.05","0",""
"","130170036","","0.6","75","","3017","122","75","",""
"","130170037","","","301702","","3017","32","1","",""
"","130170038","","","0.4","","3017","93","0","",""
"","130170039","","","2","","3017","32","0","",""
"","130170040","","","310000","","3017","32","0","",""
"","130170041","","","0.4","","3017","93","0","",""
"2","130170042","","0.95","0.95","0.95","3017","123","0.95","11",""
"","130170043","","","0.2","","3017","93","0","",""
"","130170044","","0","1000001","","3017","3","glad","0.2",""
"","130170045","","","301703","","3017","32","1","",""
"","130170046","","","0.1","","3017","93","0","",""
"","130170047","","","996","","3017","32","1","",""
"","130170048","","","0.9","","3017","93","0","",""
"","130170049","","0","1000001","","3017","3","joy","0.2",""
"","130170050","","","1.7","","3017","93","0","",""
"","130170051","","1","1000001","","3017","3","run_gatein","0",""
"","130170052","","","se_travel","","3017","23","se_travel_treasure_cha_run","",""
"0","130170053","","-195","1000001","1","3017","2","450","",""
"","130170054","","","0.5","","3017","93","1","",""
"0","130170055","","1","1000001","1","3017","6","1","0.4","0"
"","130170056","","","0.4","","3017","93","0","",""
"","130170057","","","1","","3017","113","","",""
"1","131000001","","345.4","310000","0","3100","31","310000","0",""
"1","131000002","","0","310001","0","3100","31","310001","0",""
"","131000003","","","0","","3100","91","","",""
"7.4","131000004","","1.05","1.05","1.05","3100","123","1.05","0",""
"","131000005","","0","1000001","","3100","3","wait","0.2",""
"","131000006","","","2","","3100","35","1","",""
"","131000007","","","5.4","","3100","93","0","",""
"0.3","131000008","","0.95","0.95","0.95","3100","123","0.95","0",""
"","131000009","","","310000","","3100","32","1","",""
"","131000010","","","310001","","3100","32","1","",""
"","131000011","","","0.2","","3100","93","0","",""
"","131000012","","0.6","50","","3100","122","50","",""
"","131000013","","0","1000001","","3100","3","shock","0.2",""
"","131000014","","","1.6","","3100","93","0","",""
"","131000015","","","2","","3100","113","","",""
"1","131110001","","345.4","6","0","3111","31","6","0",""
"1","131110002","","345.4","7","0","3111","31","7","0",""
"1","131110003","","345.4","8","0","3111","31","8","0",""
"0","131110004","appear","55","3","8000","3111","5","13","1.3","0"
"","131110005","","","0","","3111","91","","",""
"0","131110006","","1","13","1","3111","6","1","0","0"
"0","131110007","","-250","13","0","3111","2","95","",""
"7.4","131110008","","1.05","1.05","1.05","3111","123","1.05","0",""
"","131110009","","0","1000001","","3111","3","wait","0.2",""
"","131110010","","","2","","3111","35","1","",""
"","131110011","","","4.9","","3111","93","0","",""
"0.3","131110012","","0.95","0.95","0.95","3111","123","0.95","0",""
"","131110013","","0","se_travel","","3111","23","se_travel_treasure_ghost_fail","",""
"","131110014","","","8","","3111","32","1","",""
"","131110015","","","8","","3111","35","0","",""
"","131110016","","","6","","3111","32","1","",""
"","131110017","","","0.1","","3111","93","0","",""
"","131110018","","","2","","3111","32","0","",""
"","131110019","","","3","","3111","32","0","",""
"","131110020","","0","1000001","","3111","3","dotEyes","",""
"","131110021","","","0.3","","3111","93","0","",""
"","131110022","","0","13","","3111","3","appear","",""
"1","131110023","","1","13","1","3111","6","1","0","0"
"","131110024","","","0.67","","3111","93","0","",""
"","131110025","","0","1000001","","3111","3","shock_jump","",""
"0","131110026","","-250","1000001","1","3111","2","70","",""
"","131110027","","","1.1","","3111","93","0","",""
"","131110028","","1","1000001","","3111","3","escape","",""
"0","131110029","","-250","1000001","1.2","3111","2","-350","",""
"","131110030","","0","13","","3111","3","march","",""
"","131110031","","","0.2","","3111","93","0","",""
"","131110032","","","7","","3111","32","1","",""
"","131110033","","","0.1","","3111","93","0","",""
"","131110034","","","6","","3111","32","0","",""
"","131110035","","","1.6","","3111","93","0","",""
"","131110036","","","2","","3111","113","","",""
"","131120001","","1","1000001","","3112","3","idle","0.2",""
"1","131120002","","0","301200","0","3112","31","13","0",""
"1","131120003","","0","101","0","3112","31","14","0",""
"1","131120004","","0","301205","0","3112","31","15","0",""
"1","131120005","","130","301206","-170","3112","31","16","0",""
"1","131120006","","345.4","6","0","3112","31","18","0",""
"1","131120007","","345.4","301201","0","3112","31","20","0",""
"1","131120008","","345.4","301202","0","3112","31","21","0",""
"-234","131120009","round_monster_walk","55","1","9340","3112","5","3","1","0"
"","131120010","","","0","","3112","91","","",""
"0","131120011","","1","3","1","3112","6","1","0","0"
"0","131120012","","-234","3","0","3112","2","345","0","0"
"7.4","131120013","","1.05","1.05","1.05","3112","123","1.05","0","0"
"","131120014","","0","1000001","","3112","3","wait","0.2",""
"","131120015","","","2","","3112","35","1","",""
"","131120016","","","4.3","","3112","93","0","",""
"0.4","131120017","","0.95","0.95","0.95","3112","123","0.95","0",""
"","131120018","","","21","","3112","32","1","",""
"","131120019","","","21","","3112","35","0","",""
"","131120020","","","se_travel","","3112","23","se_travel_treasure_monster_failure","",""
"","131120021","","","18","","3112","32","1","",""
"","131120022","","","0.1","","3112","93","0","",""
"","131120023","","","2","","3112","32","0","",""
"1","131120024","","1","3","1","3112","6","1","0.3","0"
"","131120025","","","13","","3112","32","1","",""
"","131120026","","0","3","","3112","3","round_monster_appear","",""
"","131120027","","0","1000001","","3112","3","back","",""
"","131120028","","","0.67","","3112","93","0","",""
"","131120029","","0","3","","3112","3","round_monster_walk","0.2",""
"0","131120030","","-234","3","1.4","3112","2","220","0","0"
"","131120031","","","20","","3112","32","1","",""
"","131120032","","","0.1","","3112","93","0","",""
"","131120033","","","18","","3112","32","0","",""
"","131120034","","","1","","3112","93","0","",""
"","131120035","","0","3","","3112","3","round_monster_attack","0.3",""
"","131120036","","","0.5","","3112","93","0","",""
"","131120037","","","15","","3112","32","1","",""
"","131120038","","1","1000001","","3112","3","back_loop","0.2",""
"","131120039","","","1","","3112","93","0","",""
"","131120040","","","16","","3112","32","1","",""
"","131120041","","0.5","0","","3112","122","50","",""
"0","131120042","","-250","1000001","0","3112","2","40","",""
"","131120043","","0","1000001","","3112","3","shock_jump","0",""
"","131120044","","","0.6","","3112","93","0","",""
