db3d8e5178388d641fe1da7a93e50eb89605985c37c8ffc87d90a1ed6e2a2833,75c4f4a1d3df6c8166d3e288863a483435d36fdfd72d253c5778e61cda982384,6d08b8772f649bab5c3f90f40dabe85827135b66e34cb26224501d7f8e957338,96ba1188b290959dcca32e0ef91f32749f71dcc33cb1de8d0e9912ab2820be49,609ee2244b4663ac9fe0dd65a82161dc7d4528910a17b4645d6bfebc91deea2b,662b7d031ea6e3edef4385e1e3a7d5647a02e04e136a876bf18129ad12a5e6bc,9ffdbbc9ea18ee24e3f7b1190614d1e852e112b6b8e4809c7eee229d242c1661,5c168859a4f21100bed6c3d1c533ad55afe965d0a9f9da28f66f52d47a938ad8,b4e40b58d75fa0e7e735550c903bc2b4cf21c2aab5fda1034afed0158ef77835,440c1fe5d28ea054c03658e52ffaa0e35523f59cdb4cdb1fa9417ad7509353b4,348c30ac42de3318f64d7debcf70a17b08d5760b1e595a4a8dc5d4dbf4a5a5ca
"","vo_wac_220215_006","21","0","","0","","vo_wac_220215","","112","112033"
"0","はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","11","1","1","10","0","118511","0.5","112","112034"
"","","91","","","","","112034","","112","112035"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112036"
"","wac_215_talk_sad","3","","","1","0.2","106431","","112","112037"
"","vo_wac_220215_007","21","0","","0","","vo_wac_220215","","112","112038"
"0","え？　ランドソルの壁を……\nぐるっと一周？","11","1","1","10","0","106431","0.5","112","112039"
"","","91","","","","","112039","","112","112040"
"","wac_215_idle_sad","3","","","1","0.2","106431","","112","112041"
"","wac_215_karin_talk_wish","3","","","1","0.2","118511","","112","112042"
"","vo_wac_220215_008","21","0","","0","","vo_wac_220215","","112","112043"
"0","はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","11","1","1","10","0","118511","0.5","112","112044"
"","","91","","","","","112044","","112","112045"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112046"
"","wac_215_coccoro_talk_wish","3","","","1","0.2","105911","","112","112047"
"","vo_wac_220215_009","21","0","","0","","vo_wac_220215","","112","112048"
"0","それは……壮大な計画でございますね。\nカリンさま。","11","1","1","10","0","105911","0.5","112","112049"
"","","91","","","","","112049","","112","112050"
"","wac_215_coccoro_idle_wish","3","","","1","0.2","105911","","112","112051"
"0","wac_215_peko_talk_guts2","3","wac_215_peko_talk_guts2_loop","1","0","0.2","105811","","112","112052"
"","vo_wac_220215_010","21","0","","0","","vo_wac_220215","","112","112053"
"0","わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","11","1","1","10","0","105811","0.5","112","112054"
"","","91","","","","","112054","","112","112055"
"","wac_215_peko_idle_guts2","3","","","1","0.2","105811","","112","112056"
"","0","4","","","","","105811","","112","112057"
"","0","4","","","","","105911","","112","112058"
"","wac_215_idle_joy1","3","","","1","0.2","105811","","112","112059"
"","wac_215_idle_normal","3","","","1","0.2","105911","","112","112060"
"","wac_215_idle_surprise1","3","","","1","0.2","106431","","112","112061"
"0.2","wac_215_kyaru_anger","3","wac_215_talk_anger2","1","1","0.2","106011","","112","112062"
"","vo_wac_220215_011","21","0","","0","","vo_wac_220215","","112","112063"
"0","待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","11","1","1","10","0","106011","0.5","112","112064"
"","","91","","","","","112064","","112","112065"
"","wac_215_idle_anger2","3","","","1","0.2","106011","","112","112066"
"","wac_215_talk_sad","3","","","1","0.2","106011","","112","112067"
"","vo_wac_220215_012","21","0","","0","","vo_wac_220215","","112","112068"
"0","普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","11","1","1","10","0","106011","0.5","112","112069"
"","","91","","","","","112069","","112","112070"
"","wac_215_idle_sad","3","","","1","0.2","106011","","112","112071"
"","wac_215_coccoro_talk_wish2","3","","","1","0.2","105911","","112","112072"
"","vo_wac_220215_013","21","0","","0","","vo_wac_220215","","112","112073"
"0","キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","11","1","1","10","0","105911","0.5","112","112074"
"","","91","","","","","112074","","112","112075"
"","wac_215_coccoro_idle_wish2","3","","","1","0.2","105911","","112","112076"
"0","wac_215_kyaru_talk_doya","3","wac_215_kyaru_talk_doya_loop","1","0","0.2","106011","","112","112077"
"","vo_wac_220215_014","21","0","","0","","vo_wac_220215","","112","112078"
"0","超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","11","1","1","10","0","106011","0.5","112","112079"
"","","91","","","","","112079","","112","112080"
"","wac_215_idle_arm_crossed","3","","","1","0.2","106011","","112","112081"
"","1","4","","","","","105811","","112","112082"
"","1","4","","","","","105911","","112","112083"
"","wac_215_idle_normal_joy","3","","","1","0.2","105911","","112","112084"
"","wac_215_idle_normal2_joy","3","","","1","0.2","106431","","112","112085"
"","wac_215_karin_talk_wish","3","","","1","0.2","118511","","112","112086"
"","vo_wac_220215_015","21","0","","0","","vo_wac_220215","","112","112087"
"0","分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","11","1","1","10","0","118511","0.5","112","112088"
"","","91","","","","","112088","","112","112089"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112090"
"","wac_215_karin_talk_normal","3","","","1","0.2","118511","","112","112091"
"","vo_wac_220215_016","21","0","","0","","vo_wac_220215","","112","112092"
"0","では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","11","1","1","10","0","118511","0.5","112","112093"
"","","91","","","","","112093","","112","112094"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","112","112095"
"0.2","wac_215_peko_talk_wish","3","wac_215_peko_talk_wish_loop","1","0","0.2","105811","","112","112096"
"","vo_wac_220215_017","21","0","","0","","vo_wac_220215","","112","112097"
"0","わかりました！
\nそれじゃあわたしは、魔物料理の絵を――","11","1","1","10","0","105811","0.5","112","112098"
"","","91","","","","","112098","","112","112099"
"","wac_215_peko_idle_wish","3","","","1","0.2","105811","","112","112100"
"0.2","wac_215_kyaru_talk_anger","3","wac_215_talk_arm_crossed_loop","1","0","0.2","106011","","112","112101"
"","vo_wac_220215_018","21","0","","0","","vo_wac_220215","","112","112102"
"0","気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","11","1","1","10","0","106011","0.5","112","112103"
"","","91","","","","","112103","","112","112104"
"","wac_215_idle_arm_crossed","3","","","1","0.2","106011","","112","112105"
"0","wac_215_cmn_eieio","3","wac_215_cmn_eieio_loop","1","0","0.2","105811","","112","112106"
"0","wac_215_cmn_eieio","3","wac_215_cmn_eieio_loop","1","0","0.2","106431","","112","112107"
"","","93","","","","","0.1","","112","112108"
"0","wac_215_cmn_eieio","3","wac_215_cmn_eieio_loop","1","0","0.2","105911","","112","112109"
"0.2","wac_215_cmn_eieio","3","wac_215_cmn_eieio_loop","1","0","0.2","106011","","112","112110"
"","","93","","","","","0.9","","112","112111"
"0.2","wac_215_handclap","3","wac_215_karin_idle_normal","1","0","0.2","118511","","112","112112"
"","0","93","","","","","2","","112","112113"
"","","91","","","","","0","","112","112114"
"","wac_215_karin_idle_normal","3","","","1","0.2","118511","","113","113001"
"","wac_215_idle_joy1","3","","","1","0.2","105811","","113","113002"
"","","93","","","","","0.1","","113","113003"
"","wac_215_coccoro_idle_wish","3","","","1","0.2","105911","","113","113004"
"","wac_215_idle_arm_crossed","3","","","1","0.2","106011","","113","113005"
"","","93","","","","","0.1","","113","113006"
"","wac_215_idle_normal2_joy","3","","","1","0.2","106431","","113","113007"
"","","91","","","","","0","","113","113008"
"0","105811","1","-108","-212.75","202","2","1","wac_default_11","211","211001"
"0","111","5","-108","-212.75","201","2","1","wac_default_11","211","211002"
"","1","31","0","1","0","1","1","","211","211003"
"","2","31","0","1","0","0","2","","211","211004"
"","11","31","0","1","0","0","11","","211","211005"
"","wac_paint_11","3","","0","0","0.2","105811","","211","211006"
"","wac_paint_11","3","","0","0","0.2","111","","211","211007"
"","0","93","","","","","0.3","","211","211008"
"","1","32","","","","","11","wac_default_11","211","211009"
"","se_10035700_roller","23","","","0","","se_10035700","","211","211010"
"","","131","","","","","1","","211","211011"
"","wac_talk_kyapi_in","3","wac_talk_kyapi_loop","1","0","0.2","105811","","212","212001"
"","wac_no_items","3","","","1","0.2","111","","212","212002"
"","200","2","0","","-340","","105811","","212","212003"
"","200","2","0","","-340","","111","","212","212004"
"","0","32","","","","","1","","212","212005"
"","1","32","","","","","2","","212","212006"
"","0","32","","","","","11","","212","212007"
"","vo_wac_220216_000","21","0","","0","","vo_wac_220216","","212","212008"
"0","えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","11","1","1","10","0","105811","0.5","212","212009"
"","","91","","","","","0","","212","212010"
"","vo_wac_220216_001","21","0","","0","","vo_wac_220216","","212","212011"
"0","みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","11","1","1","10","0","105811","0.5","212","212012"
"","","91","","","","","0","","212","212013"
"","0","22","","","","","0","","212","212014"
"","wac_idle_kyapi","3","","","1","0.2","105811","","213","213001"
"","wac_no_items","3","","","1","0.2","111","","213","213002"
"","200","2","0","","-340","","105811","","213","213003"
"","200","2","0","","-340","","111","","213","213004"
"","0","32","","","","","1","","213","213005"
"","1","32","","","","","2","","213","213006"
"","0","32","","","","","11","","213","213007"
"","","91","","","","","0","","213","213008"
"0","105911","1","-108","-212.75","202","2","1","wac_default_01","311","311001"
"0","111","5","-108","-212.75","201","2","1","wac_default_03","311","311002"
"","1","31","0","1","0","1","1","","311","311003"
"","2","31","0","1","0","0","2","","311","311004"
"","11","31","0","1","0","0","11","","311","311005"
"","wac_paint_01","3","","","0","0.2","105911","","311","311006"
"","wac_paint_03","3","","","0","0.2","111","","311","311007"
"","1","32","","","","","11","wac_default_11","311","311008"
"","se_10035700_brush","23","","","0","","se_10035700","","311","311009"
"","","131","","","","","1","","311","311010"
"","wac_talk_wish_in","3","wac_talk_wish_loop","1","0","0.2","105911","","312","312001"
"","wac_no_items","3","","","1","0.2","111","","312","312002"
"","200","2","0","","-340","","105911","","312","312003"
"","200","2","0","","-340","","111","","312","312004"
"","0","32","","","","","1","","312","312005"
"","1","32","","","","","2","","312","312006"
"","0","32","","","","","11","","312","312007"
"","vo_wac_220217_000","21","0","","0","","vo_wac_220217","","312","312008"
"0","ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","11","1","1","10","0","105911","0.5","312","312009"
"","","91","","","","","0","","312","312010"
"","vo_wac_220217_001","21","0","","0","","vo_wac_220217","","312","312011"
"0","いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","11","1","1","10","0","105911","0.5","312","312012"
"","","91","","","","","0","","312","312013"
"","0","22","","","","","0","","312","312014"
"","wac_idle_wish","3","","","1","0.2","105911","","313","313001"
"","wac_no_items","3","","","1","0.2","111","","313","313002"
"","200","2","0","","-340","","105911","","313","313003"
"","200","2","0","","-340","","111","","313","313004"
"","0","32","","","","","1","","313","313005"
"","1","32","","","","","2","","313","313006"
"","0","32","","","","","11","","313","313007"
"","","91","","","","","0","","313","313008"
"0","106011","1","-108","-212.75","202","2","1","wac_default_01","411","411001"
"0","111","5","-108","-212.75","201","2","1","wac_default_02","411","411002"
"","1","31","0","1","0","1","1","","411","411003"
"","2","31","0","1","0","0","2","","411","411004"
"","11","31","0","1","0","0","11","","411","411005"
"","wac_paint_01","3","","","0","0.2","106011","","411","411006"
"","wac_paint_02","3","","","0","0.2","111","","411","411007"
"","1","32","","","","","11","wac_default_11","411","411008"
"","se_10035700_brush","23","","0","0","0.2","se_10035700","","411","411009"
"","","131","","","","","1","","411","411010"
"","wac_talk_doya_in","3","wac_talk_doya_loop","1","0","0.2","106011","","412","412001"
"","wac_no_items","3","","","1","0.2","111","","412","412002"
"","200","2","0","","-340","","106011","","412","412003"
"","200","2","0","","-340","","111","","412","412004"
"","0","32","","","","","1","","412","412005"
"","1","32","","","","","2","","412","412006"
"","0","32","","","","","11","","412","412007"
"","vo_wac_220218_000","21","0","","0","","vo_wac_220218","","412","412008"
"0","ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","11","1","1","10","0","106011","0.5","412","412009"
"","","91","","","","","0","","412","412010"
"","vo_wac_220218_001","21","0","","0","","vo_wac_220218","","412","412011"
"0","なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","11","1","1","10","0","106011","0.5","412","412012"
"","","91","","","","","0","","412","412013"
"","0","22","","","","","0","","412","412014"
"","wac_idle_doya","3","","","1","0.2","106011","","413","413001"
"","wac_no_items","3","","","1","0.2","111","","413","413002"
"","200","2","0","","-340","","106011","","413","413003"
"","200","2","0","","-340","","111","","413","413004"
"","0","32","","","","","1","","413","413005"
"","1","32","","","","","2","","413","413006"
"","0","32","","","","","11","","413","413007"
"","","91","","","","","0","","413","413008"
"0","106431","1","-108","-212.75","202","2","1","wac_default_11","511","511001"
"0","111","5","-108","-212.75","201","2","1","wac_default_12","511","511002"
"","1","31","0","1","0","1","1","","511","511003"
"","2","31","0","1","0","0","2","","511","511004"
"","11","31","0","1","0","0","11","","511","511005"
"","wac_paint_11","3","","","0","0.2","106431","","511","511006"
"","wac_paint_12","3","","","0","0.2","111","","511","511007"
"","0","93","","","","","0.3","","511","511008"
"","1","32","","","","","11","wac_default_11","511","511009"
"","se_10035700_roller","23","","0","0","0.2","se_10035700","","511","511010"
"","","131","","","","","1","","511","511011"
"","wac_talk_smile_in","3","wac_talk_smile_loop","1","0","0.2","106431","","512","512001"
"","wac_no_items","3","","","1","0.2","111","","512","512002"
"","200","2","0","","-340","","106431","","512","512003"
"","200","2","0","","-340","","111","","512","512004"
"","0","32","","","","","1","","512","512005"
"","1","32","","","","","2","","512","512006"
"","0","32","","","","","11","","512","512007"
"","vo_wac_220219_000","21","0","","0","","vo_wac_220219","","512","512008"
"0","絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","11","1","1","10","0","106431","0.5","512","512009"
"","","91","","","","","0","","512","512010"
"","vo_wac_220219_001","21","0","","0","","vo_wac_220219","","512","512011"
"0","私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","11","1","1","10","0","106431","0.5","512","512012"
"","","91","","","","","0","","512","512013"
"","0","22","","","","","0","","512","512014"
"","wac_idle_smile","3","","","1","0.2","106431","","513","513001"
"","wac_no_items","3","","","1","0.2","111","","513","513002"
"","200","2","0","","-340","","106431","","513","513003"
"","200","2","0","","-340","","111","","513","513004"
"","0","32","","","","","1","","513","513005"
"","1","32","","","","","2","","513","513006"
"","0","32","","","","","11","","513","513007"
"","","91","","","","","0","","513","513008"
"0","104411","1","-108","-212.75","202","2","1","wac_default_01","611","611001"
"0","111","5","-108","-212.75","201","2","1","wac_default_01","611","611002"
"","1","31","0","1","0","1","1","","611","611003"
"","2","31","0","1","0","0","2","","611","611004"
"","11","31","0","1","0","0","11","","611","611005"
"","wac_paint_01","3","","","0","0.2","104411","","611","611006"
"","wac_paint_01","3","","","0","0.2","111","","611","611007"
"","1","32","","","","","11","wac_default_11","611","611008"
"","se_10035700_brush","23","","0","0","0.2","se_10035700","","611","611009"
"","","131","","","","","1","","611","611010"
"","wac_talk_doya_in","3","wac_talk_doya_loop","1","0","0.2","104411","","612","612001"
"","wac_no_items","3","","","1","0.2","111","","612","612002"
"","200","2","0","","-340","","104411","","612","612003"
"","200","2","0","","-340","","111","","612","612004"
"","0","32","","","","","1","","612","612005"
"","1","32","","","","","2","","612","612006"
"","0","32","","","","","11","","612","612007"
"","vo_wac_220220_000","21","0","","0","","vo_wac_220220","","612","612008"
"0","ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","11","1","1","10","0","104411","0.5","612","612009"
"","","91","","","","","0","","612","612010"
"","vo_wac_220220_001","21","0","","0","","vo_wac_220220","","612","612011"
"0","ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","11","1","1","10","0","104411","0.5","612","612012"
"","","91","","","","","0","","612","612013"
"","0","22","","","","","0","","612","612014"
"","wac_idle_doya","3","","","1","0.2","104411","","613","613001"
"","wac_no_items","3","","","1","0.2","111","","613","613002"
"","200","2","0","","-340","","104411","","613","613003"
"","200","2","0","","-340","","111","","613","613004"
"","0","32","","","","","1","","613","613005"
"","1","32","","","","","2","","613","613006"
"","0","32","","","","","11","","613","613007"
"","","91","","","","","0","","613","613008"
"0","102211","1","-108","-325","202","2","1","wac_default_bot_01","711","711001"
"0","111","5","-108","-325","201","2","1","wac_default_02","711","711002"
"","3","31","0","1","0","1","3","","711","711003"
"","2","31","0","1","0","0","2","","711","711004"
"","13","31","0","1","0","0","13","","711","711005"
"","wac_paint_bot_01","3","","","0","0.2","102211","","711","711006"
"","wac_paint_02","3","","","0","0.2","111","","711","711007"
"","1","32","","","","","13","wac_default_11","711","711008"
"","se_10035700_brush","23","","0","0","0.2","se_10035700","","711","711009"
"","","131","","","","","1","","711","711010"
"","wac_talk_sad_in","3","wac_talk_sad_loop","1","0","0.2","102211","","712","712001"
"","wac_no_items","3","","","1","0.2","111","","712","712002"
"","200","2","0","","-340","","102211","","712","712003"
"","200","2","0","","-340","","111","","712","712004"
"","0","32","","","","","3","","712","712005"
"","1","32","","","","","2","","712","712006"
"","0","32","","","","","13","","712","712007"
"","vo_wac_220221_000","21","0","","0","","vo_wac_220221","","712","712008"
"0","こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","11","1","1","10","0","102211","0.5","712","712009"
"","","91","","","","","0","","712","712010"
"","vo_wac_220221_001","21","0","","0","","vo_wac_220221","","712","712011"
"0","緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","11","1","1","10","0","102211","0.5","712","712012"
"","","91","","","","","0","","712","712013"
"","0","22","","","","","0","","712","712014"
"","wac_idle_sad","3","","","1","0.2","102211","","713","713001"
"","wac_no_items","3","","","1","0.2","111","","713","713002"
"","200","2","0","","-340","","102211","","713","713003"
"","200","2","0","","-340","","111","","713","713004"
"","0","32","","","","","3","","713","713005"
"","1","32","","","","","2","","713","713006"
"","0","32","","","","","13","","713","713007"
"","","91","","","","","0","","713","713008"
"0","100611","1","-108","-325","202","2","1","wac_default_bot_11","811","811001"
"0","111","5","-108","-325","201","2","1","wac_default_12","811","811002"
"","3","31","0","1","0","1","3","","811","811003"
"","2","31","0","1","0","0","2","","811","811004"
"","13","31","0","1","0","0","13","","811","811005"
"","wac_paint_bot_11","3","","","0","0.2","100611","","811","811006"
"","wac_paint_12","3","","","0","0.2","111","","811","811007"
"","0","93","","","","","0.3","","811","811008"
"","1","32","","","","","13","wac_default_11","811","811009"
"","se_10035700_roller","23","","0","0","0.2","se_10035700","","811","811010"
"","","131","","","","","1","","811","811011"
"","wac_talk_smile_in","3","wac_talk_smile_loop","1","0","0.2","100611","","812","812001"
"","wac_no_items","3","","","1","0.2","111","","812","812002"
"","200","2","0","","-340","","100611","","812","812003"
"","200","2","0","","-340","","111","","812","812004"
"","0","32","","","","","3","","812","812005"
"","1","32","","","","","2","","812","812006"
"","0","32","","","","","13","","812","812007"
"","vo_wac_220222_000","21","0","","0","","vo_wac_220222","","812","812008"
"0","えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","11","1","1","10","0","100611","0.5","812","812009"
"","","91","","","","","0","","812","812010"
"","vo_wac_220222_001","21","0","","0","","vo_wac_220222","","812","812011"
"0","でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","11","1","1","10","0","100611","0.5","812","812012"
"","","91","","","","","0","","812","812013"
"","0","22","","","","","0","","812","812014"
"","wac_idle_smile","3","","","1","0.2","100611","","813","813001"
"","wac_no_items","3","","","1","0.2","111","","813","813002"
"","200","2","0","","-340","","100611","","813","813003"
"","200","2","0","","-340","","111","","813","813004"
"","0","32","","","","","3","","813","813005"
"","1","32","","","","","2","","813","813006"
"","0","32","","","","","13","","813","813007"
"","","91","","","","","0","","813","813008"
"0","103111","1","-108","-212.75","202","2","1","wac_default_01","911","911001"
"0","111","5","-108","-212.75","201","2","1","wac_default_03","911","911002"
"","1","31","0","1","0","1","1","","911","911003"
"","2","31","0","1","0","0","2","","911","911004"
"","11","31","0","1","0","0","11","","911","911005"
"","wac_paint_01","3","","","0","0.2","103111","","911","911006"
"","wac_paint_03","3","","","0","0.2","111","","911","911007"
"","1","32","","","","","11","wac_default_11","911","911008"
"","se_10035700_brush","23","","0","0","0.2","se_10035700","","911","911009"
"","","131","","","","","1","","911","911010"
"","wac_talk_wish_in","3","wac_talk_wish_loop","1","0","0.2","103111","","912","912001"
"","wac_no_items","3","","","1","0.2","111","","912","912002"
"","200","2","0","","-340","","103111","","912","912003"
"","200","2","0","","-340","","111","","912","912004"
"","0","32","","","","","1","","912","912005"
"","1","32","","","","","2","","912","912006"
"","0","32","","","","","11","","912","912007"
"","vo_wac_220223_000","21","0","","0","","vo_wac_220223","","912","912008"
"0","ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","11","1","1","10","0","103111","0.5","912","912009"
"","","91","","","","","0","","912","912010"
"","vo_wac_220223_001","21","0","","0","","vo_wac_220223","","912","912011"
"0","これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","11","1","1","10","0","103111","0.5","912","912012"
"","","91","","","","","0","","912","912013"
"","0","22","","","","","0","","912","912014"
"","wac_idle_wish","3","","","1","0.2","103111","","913","913001"
"","wac_no_items","3","","","1","0.2","111","","913","913002"
"","200","2","0","","-340","","103111","","913","913003"
"","200","2","0","","-340","","111","","913","913004"
"","0","32","","","","","1","","913","913005"
"","1","32","","","","","2","","913","913006"
"","0","32","","","","","11","","913","913007"
"","","91","","","","","0","","913","913008"
"0","100711","1","-108","-212.75","202","2","1","wac_default_01","1011","1011001"
"0","111","5","-108","-212.75","201","2","1","wac_default_01","1011","1011002"
"","1","31","0","1","0","1","1","","1011","1011003"
"","2","31","0","1","0","0","2","","1011","1011004"
"","11","31","0","1","0","0","11","","1011","1011005"
"","wac_paint_01","3","","","0","0.2","100711","","1011","1011006"
"","wac_paint_01","3","","","0","0.2","111","","1011","1011007"
"","1","32","","","","","11","wac_default_11","1011","1011008"
"","se_10035700_brush","23","","0","0","0.2","se_10035700","","1011","1011009"
"","","131","","","","","1","","1011","1011010"
"","wac_talk_smile_in","3","wac_talk_smile_loop","1","0","0.2","100711","","1012","1012001"
"","wac_no_items","3","","","1","0.2","111","","1012","1012002"
"","200","2","0","","-340","","100711","","1012","1012003"
"","200","2","0","","-340","","111","","1012","1012004"
"","0","32","","","","","1","","1012","1012005"
"","1","32","","","","","2","","1012","1012006"
"","0","32","","","","","11","","1012","1012007"
"","vo_wac_220224_000","21","0","","0","","vo_wac_220224","","1012","1012008"
"0","プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","11","1","1","10","0","100711","0.5","1012","1012009"
"","","91","","","","","0","","1012","1012010"
