af133e6d320cae8a47fbce4364a1ffd3a0dddd2f1c6ef4ebbd67a90f161c5a32,399d1b9c1f0e575a0535cb6b345ca5f360ecfff92109c3dadf6d93785a168437,945ed3ea92c3a97f1f57cc36a5c870d645978a10cd4f9f1dc1c47496036a99b6,1c3fbbe812a47270fafdee0a349aca804796c0133ad7afddd82bc0c8e3754e50,c0d5664d6515140b8e5a5b658ab00478a8bc851bdd673e953e3f9f76f52957dd,6dc235b77fd676ccbfe746f4263726c8278ddbcc2e0df6975e057a589b2e592e,46cf4b35c3d75503b009c0d1faf509fc8580c048274ef8776e1d24791bd9633d,f1442e778dc42b149fdd1eaf247f3b9bc1f62fbd86e22665757e91ac1b916299,466c7b877350e99d6608268790cdfe3d1a86354d4970f8cb66ace3d9f0423e2f,e7c7d39fa70c927e245761d670ef6d199ea88b1c0f5a7c84a12d70d480eb4ff9,752c1b6c30014c4df0781e4657a26af12e1173228b163412f73800fcf2386094,58614c135920ef5a1924092364c6890d89f41e528021e196da9fc9097497ce86
"26","26","4","0","0","50","25","3","2601","0","10501","0"
"27","27","3","0","0","52","26","3","2701","0","10521","0"
"28","28","1","0","0","50","27","1","2801","0","10501","0"
"29","29","2","0","0","104","28","4","2901","0","11041","0"
"30","30","1","0","0","51","29","3","3001","0","10511","0"
"31","31","2","0","0","100","30","2","3101","0","11001","0"
"32","32","3","0","0","101","31","1","3201","0","11011","0"
"33","33","4","0","0","104","32","4","3301","0","11041","0"
"34","34","3","0","0","100","33","3","3401","0","11001","0"
"35","35","2","0","0","104","34","4","3501","0","11041","0"
"36","36","3","0","0","103","35","2","3601","0","11031","0"
"37","37","2","0","0","102","36","1","3701","0","11021","0"
"38","38","1","0","0","50","37","2","3801","0","10501","0"
"39","39","3","0","0","102","38","3","3901","0","11021","0"
"40","40","4","0","0","104","39","4","4001","0","11041","0"
"41","41","3","0","0","100","40","1","4101","0","11001","0"
"42","42","2","0","0","52","41","3","4201","0","10521","0"
"43","43","1","0","0","104","42","4","4301","0","11041","0"
"44","44","2","0","0","103","43","1","4401","0","11031","0"
"45","45","1","0","0","104","44","4","4501","0","11041","0"
"46","46","3","0","0","101","45","3","4601","0","11011","0"
"47","47","4","0","0","102","46","1","4701","0","11021","0"
"48","48","2","0","0","104","47","4","4801","0","11041","0"
"49","49","3","0","0","103","48","2","4901","0","11031","0"
"50","50","2","0","0","104","49","4","5001","0","11041","0"
"51","51","1","0","0","101","50","2","5101","0","11011","0"
"52","52","2","0","0","102","51","3","5201","0","11021","0"
"53","53","3","0","0","104","52","4","5301","0","11041","0"
"54","54","4","0","0","52","53","1","5401","0","10521","0"
"55","55","3","0","0","103","54","3","5501","0","11031","0"
"56","56","4","0","0","104","55","4","5601","0","11041","0"
"57","57","2","0","0","100","56","1","5701","0","11001","0"
"58","58","3","0","0","101","57","3","5801","0","11011","0"
"59","59","4","0","0","103","58","2","5901","0","11031","0"
"60","60","3","0","0","104","59","4","6001","0","11041","0"
"61","61","1","0","0","102","60","1","6101","0","11021","0"
"62","62","2","0","0","50","61","3","6201","0","10501","0"
"63","63","1","0","0","104","62","4","6301","0","11041","0"
"64","64","2","0","0","103","63","2","6401","0","11031","0"
"65","65","3","0","0","102","64","1","6501","0","11021","0"
"66","66","2","0","0","104","65","4","6601","0","11041","0"
"67","67","3","0","0","52","66","1","6701","0","10521","0"
"68","68","2","0","0","102","67","2","6801","0","11021","0"
"69","69","4","0","0","104","68","4","6901","0","11041","0"
"70","70","3","0","0","103","69","2","7001","0","11031","0"
"71","71","2","0","0","101","70","3","7101","0","11011","0"
"72","72","3","0","0","100","71","2","7201","0","11001","0"
"73","73","1","0","0","104","72","4","7301","0","11041","0"
"74","74","1","0","0","103","73","1","7401","0","11031","0"
"75","75","3","0","0","102","74","3","7501","0","11021","0"
"76","76","4","0","0","50","75","1","7601","0","10501","0"
"77","77","3","0","0","104","76","4","7701","0","11041","0"
"78","78","2","0","0","101","77","2","7801","0","11011","0"
"79","79","3","0","0","100","78","3","7901","0","11001","0"
"80","80","2","0","0","104","79","4","8001","0","11041","0"
"81","81","1","0","0","52","80","3","8101","0","10521","0"
"82","82","2","0","0","101","81","1","8201","0","11011","0"
"83","83","4","0","0","50","82","3","8301","0","10501","0"
"84","84","3","0","0","103","83","1","8401","0","11031","0"
"85","85","2","0","0","104","84","4","8501","0","11041","0"
"86","86","3","0","0","100","85","2","8601","0","11001","0"
"87","87","2","0","0","102","86","2","8701","0","11021","0"
"88","88","1","0","0","103","87","2","8801","0","11031","0"
"89","89","3","0","0","104","88","4","8901","0","11041","0"
"90","90","2","0","0","102","89","1","9001","0","11021","0"
"91","91","3","0","0","104","90","4","9101","0","11041","0"
"92","92","4","0","0","50","91","3","9201","0","10501","0"
"93","93","3","0","0","104","92","4","9301","0","11041","0"
"94","94","2","0","0","102","93","1","9401","0","11021","0"
"95","95","2","0","0","103","94","2","9501","0","11031","0"
"96","96","3","0","0","104","95","4","9601","0","11041","0"
