7a1e557ecd68e31c3ec35efbc6119cc5cb54b4971e5160253bb913c62d311e2e,114961deb495b007a8d3a7207a7d5272513846cceadf96bed21475e33def7533,d080975d18e287c29aac77577841adebf421eff14fde749cd1fe764ea1bf8f53,793aa0d10d4af90e1bb576a75b8a44657e8c514ad2153c4a470ca4dd89264115,9ec71379fedc6def36191b36def959dd64970eff912eb891699b61c1c80df85c,48b73e70af95074e3ad96315b2e7d71bfb175ee61e8a25940b747a15e9a3d564,937dd527efa90f73087c21b3418c0c18b14778ea3d3e0a97ce610956fafb617f,34423cf0c747b509e97e6d5c908b0398f40c1c0fd03d673af0391dd0b07a2962,016f8b6c0ae80b1bc78ae96b446e33e31a144f4d79edb204026c1c1f92b66467,d01f29a84b074f5e5513d4a15b93504c0d382d98d44cf6730c3c7e034d6ef0ed,636a5c71f0f96142def14ca28987b2457fe2aeac73bbb06ef832be42de01fdce
"0.2","<weapon>_run","","1000002","","","","3012","3","0","130120047"
"","0","","0.16","","","","3012","93","","130120048"
"0.2","<weapon>_attack_skipQuest","","1000002","","","","3012","3","0","130120049"
"","0","","0.1","","","","3012","93","","130120050"
"","280","","3","0","0","","3012","2","-234","130120051"
"","1","","3","","","","3012","4","","130120052"
"0.2","round_monster_die","","3","","","","3012","3","0","130120053"
"","1","","16","","","","3012","32","","130120054"
"","0","","0.5","","","","3012","93","","130120055"
"","20","","1000001","0","0","","3012","2","-240","130120056"
"0","back_origin","","1000001","","","","3012","3","0","130120057"
"0.2","surprise","","1000001","","","","3012","3","0","130120058"
"0.2","<weapon>_idle","","1000002","","","","3012","3","1","130120059"
"","0","","0.66","","","","3012","93","","130120060"
"","1","","15","","","","3012","32","","130120061"
"","1","","996","","","","3012","32","","130120062"
"0.6","1","","3","1","0","","3012","6","1","130120063"
"0.2","joy_short","","1000001","","","","3012","3","0","130120064"
"","1","","18","","","","3012","32","","130120065"
"","0","","0.02","","","","3012","93","","130120066"
"","0","","20","","","","3012","32","","130120067"
"","0","","21","","","","3012","32","","130120068"
"","0","","1.5","","","","3012","93","","130120069"
"0.2","smile","","1000001","","","","3012","3","0","130120070"
"0","<weapon>_run","","1000002","","","","3012","3","1","130120071"
"","0","","1000002","","","","3012","4","","130120072"
"","1500","","1000002","2","0","","3012","2","-250","130120073"
"","0","","1","","","","3012","93","","130120074"
"0.2","1","","1000002","1","0","","3012","6","1","130120075"
"0.2","run_gatein","","1000001","","","","3012","3","1","130120076"
"","360","","1000001","1","0","","3012","2","-200","130120077"
"","0","","0.5","","","","3012","93","","130120078"
"0.4","1","","1000001","1","0","","3012","6","1","130120079"
"","0","","0.4","","","","3012","93","","130120080"
"","0","","1","","","","3012","113","","130120081"
"0","301300","","301300","0","1","","3013","31","345.4","130130001"
"","","","0","","","","3013","91","","130130002"
"0.2","wait_gradeUp","","1000001","","","","3013","3","0","130130003"
"","1","","301300","","","","3013","32","","130130004"
"","0","","0.1","","","","3013","93","","130130005"
"","0","","2","","","","3013","32","","130130006"
"","0","","0.8","","","","3013","93","","130130007"
"0","1.05","","1.05","1.05","0","","3013","123","1.05","130130008"
"","5","","5","","","","3013","122","0.5","130130009"
"","0","","1.1","","","","3013","93","","130130010"
"0","1.05","","1.05","1.05","0","","3013","123","1.05","130130011"
"","10","","10","","","","3013","122","0.5","130130012"
"","0","","0.8","","","","3013","93","","130130013"
"0.2","glad","","1000001","","","","3013","3","0","130130014"
"","0","","0.1","","","","3013","93","","130130015"
"2","0.907","","0.907","0.907","2","","3013","123","0.907","130130016"
"","0","","0.3","","","","3013","93","","130130017"
"","1","","996","","","","3013","32","","130130018"
"","0","","0.5","","","","3013","93","","130130019"
"0.2","joy","","1000001","","","","3013","3","0","130130020"
"","0","","1.7","","","","3013","93","","130130021"
"0","run_gatein","","1000001","","","","3013","3","1","130130022"
"","450","","1000001","1","0","","3013","2","-195","130130023"
"","1","","0.5","","","","3013","93","","130130024"
"0.4","1","","1000001","1","0","0","3013","6","1","130130025"
"","0","","0.4","","","","3013","93","","130130026"
"","","","1","","","","3013","113","","130130027"
"0","301400","","301400","0","1","","3014","31","345.4","130140001"
"","","","0","","","","3014","91","","130140002"
"0","1.05","","1.05","1.05","7.4","","3014","123","1.05","130140003"
"0.2","wait","","1000001","","","","3014","3","0","130140004"
"","1","","301400","","","","3014","32","","130140005"
"","0","","0.1","","","","3014","93","","130140006"
"","0","","2","","","","3014","32","","130140007"
"","0","","3.4","","","","3014","93","","130140008"
"5","0.95","","0.95","0.95","3.2","","3014","123","0.95","130140009"
"","0","","1.6","","","","3014","93","","130140010"
"0.2","relief","","1000001","","","","3014","3","0","130140011"
"","1","","996","","","","3014","32","","130140012"
"","0","","1.7","","","","3014","93","","130140013"
"0","run_gatein","","1000001","","","","3014","3","1","130140014"
"","450","","1000001","1","0","","3014","2","-195","130140015"
"","1","","0.5","","","","3014","93","","130140016"
"0.4","1","","1000001","1","0","0","3014","6","1","130140017"
"","0","","0.4","","","","3014","93","","130140018"
"","","","1","","","","3014","113","","130140019"
"0","301501","","301501","0","1","","3015","31","345.4","130150001"
"1","301500","","301500","0","1","","3015","31","345.4","130150002"
"","","","0","","","","3015","91","","130150003"
"0","1.05","","1.05","1.05","7.4","","3015","123","1.05","130150004"
"0.2","wait_wakuwaku","","1000001","","","","3015","3","0","130150005"
"","1","","2","","","","3015","35","","130150006"
"","0","","5.4","","","","3015","93","","130150007"
"0","0.95","","0.95","0.95","0.4","","3015","123","0.95","130150008"
"0.2","glad","","1000001","","","","3015","3","0","130150009"
"","1","","301501","","","","3015","32","","130150010"
"","1","","996","","","","3015","32","","130150011"
"","0","","0.1","","","","3015","93","","130150012"
"","0","","2","","","","3015","32","","130150013"
"","0","","3","","","","3015","32","","130150014"
"","0","","1.5","","","","3015","93","","130150015"
"0.2","joy","","1000001","","","","3015","3","0","130150016"
"","0","","1.7","","","","3015","93","","130150017"
"0","run_gatein","","1000001","","","","3015","3","1","130150018"
"","450","","1000001","1","0","","3015","2","-195","130150019"
"","1","","0.5","","","","3015","93","","130150020"
"0.4","1","","1000001","1","0","0","3015","6","1","130150021"
"","0","","0.4","","","","3015","93","","130150022"
"","","","1","","","","3015","113","","130150023"
"0","6","","6","0","1","","3016","31","345.4","130160001"
"0","8","","8","0","1","","3016","31","345.4","130160002"
"0","301600","","301600","-80","1","","3016","31","345.4","130160003"
"0","301601","","301601","0","1","","3016","31","345.4","130160004"
"1","990002","","990002","0","1","","3016","31","345.4","130160005"
"","","","0","","","","3016","91","","130160006"
"0","1.05","","1.05","1.05","7.4","","3016","123","1.05","130160007"
"0.2","wait","","1000001","","","","3016","3","0","130160008"
"","1","","2","","","","3016","35","","130160009"
"","0","","5.4","","","","3016","93","","130160010"
"0","0.95","","0.95","0.95","0.4","","3016","123","0.95","130160011"
"","1","","8","","","","3016","32","","130160012"
"","0","","8","","","","3016","35","","130160013"
"","1","","301600","","","","3016","32","","130160014"
"","1","","6","","","","3016","32","","130160015"
"","0","","0.1","","","","3016","93","","130160016"
"","0","","2","","","","3016","32","","130160017"
"","0","","3","","","","3016","32","","130160018"
"0.1","glad","","1000001","","","","3016","3","0","130160019"
"","se_travel_treasure_success_butterfly","","se_travel","","","","3016","23","0","130160020"
"","0","","0.5","","","","3016","93","","130160021"
"","1","","8","","","","3016","35","","130160022"
"","0","","1.1","","","","3016","93","","130160023"
"","1","","301601","","","","3016","32","","130160024"
"","1","","996","","","","3016","32","","130160025"
"0.2","joy","","1000001","","","","3016","3","0","130160026"
"","0","","1.67","","","","3016","93","","130160027"
"0","run_gatein","","1000001","","","","3016","3","1","130160028"
"","se_travel_treasure_cha_run","","se_travel","","","","3016","23","0","130160029"
"","450","","1000001","1","0","","3016","2","-195","130160030"
"","1","","0.5","","","","3016","93","","130160031"
"0.4","1","","1000001","1","0","0","3016","6","1","130160032"
"","0","","0.4","","","","3016","93","","130160033"
"","","","1","","","","3016","113","","130160034"
"0","310000","","310000","0","1","","3017","31","345.4","130170001"
"0","310001","","310001","0","1","","3017","31","0","130170002"
"0","301700","","301700","0","1","","3017","31","345.4","130170003"
"0","301701","","301701","-115","1","","3017","31","740","130170004"
"0","301702","","301702","0","1","","3017","31","345.4","130170005"
"0","301703","","301703","0","1","","3017","31","345.4","130170006"
"0.44","15","empty","5","610","-235","0","3017","5","100","130170007"
"0.44","16","empty","5","610","-235","0","3017","5","55","130170008"
"","","","0","","","","3017","91","","130170009"
"0","1.05","","1.05","1.05","7.4","","3017","123","1.05","130170010"
"0.2","wait","","1000001","","","","3017","3","0","130170011"
"","1","","2","","","","3017","35","","130170012"
"","0","","5.4","","","","3017","93","","130170013"
"0","0.95","","0.95","0.95","0.3","","3017","123","0.95","130170014"
"","1","","310000","","","","3017","32","","130170015"
"","1","","310001","","","","3017","32","","130170016"
"","0","","0.2","","","","3017","93","","130170017"
"","50","","50","","","","3017","122","0.6","130170018"
"0.2","shock","","1000001","","","","3017","3","0","130170019"
"","0","","1.6","","","","3017","93","","130170020"
"","1","","301700","","","","3017","32","","130170021"
"","0","","1.2","","","","3017","93","","130170022"
"","se_travel_treasure_croce_ui","","se_travel","","","","3017","23","0","130170023"
"","punch","","15","","","","3017","3","0","130170024"
"","punch_B","","16","","","","3017","3","0","130170025"
"","0","","0.2","","","","3017","93","","130170026"
"11","1.05","","1.05","1.05","0.1","","3017","123","1.05","130170027"
"","0","","0.1","","","","3017","93","","130170028"
"0","0.95","","0.95","0.95","0.3","","3017","123","0.95","130170029"
"","0","","1","","","","3017","93","","130170030"
"","se_travel_treasure_croce_door","","se_travel","","","","3017","23","0","130170031"
"","0","","0.4","","","","3017","93","","130170032"
"","1","","301701","","","","3017","32","","130170033"
"","0","","0.9","","","","3017","93","","130170034"
"0","1.05","","1.05","1.05","0","","3017","123","1.05","130170035"
"","75","","75","","","","3017","122","0.6","130170036"
"","1","","301702","","","","3017","32","","130170037"
"","0","","0.4","","","","3017","93","","130170038"
"","0","","2","","","","3017","32","","130170039"
"","0","","310000","","","","3017","32","","130170040"
"","0","","0.4","","","","3017","93","","130170041"
"11","0.95","","0.95","0.95","2","","3017","123","0.95","130170042"
"","0","","0.2","","","","3017","93","","130170043"
"0.2","glad","","1000001","","","","3017","3","0","130170044"
"","1","","301703","","","","3017","32","","130170045"
"","0","","0.1","","","","3017","93","","130170046"
"","1","","996","","","","3017","32","","130170047"
"","0","","0.9","","","","3017","93","","130170048"
"0.2","joy","","1000001","","","","3017","3","0","130170049"
"","0","","1.7","","","","3017","93","","130170050"
"0","run_gatein","","1000001","","","","3017","3","1","130170051"
"","se_travel_treasure_cha_run","","se_travel","","","","3017","23","","130170052"
"","450","","1000001","1","0","","3017","2","-195","130170053"
"","1","","0.5","","","","3017","93","","130170054"
"0.4","1","","1000001","1","0","0","3017","6","1","130170055"
"","0","","0.4","","","","3017","93","","130170056"
"","","","1","","","","3017","113","","130170057"
"0","310000","","310000","0","1","","3100","31","345.4","131000001"
"0","310001","","310001","0","1","","3100","31","0","131000002"
"","","","0","","","","3100","91","","131000003"
"0","1.05","","1.05","1.05","7.4","","3100","123","1.05","131000004"
"0.2","wait","","1000001","","","","3100","3","0","131000005"
"","1","","2","","","","3100","35","","131000006"
"","0","","5.4","","","","3100","93","","131000007"
"0","0.95","","0.95","0.95","0.3","","3100","123","0.95","131000008"
"","1","","310000","","","","3100","32","","131000009"
"","1","","310001","","","","3100","32","","131000010"
"","0","","0.2","","","","3100","93","","131000011"
"","50","","50","","","","3100","122","0.6","131000012"
"0.2","shock","","1000001","","","","3100","3","0","131000013"
"","0","","1.6","","","","3100","93","","131000014"
"","","","2","","","","3100","113","","131000015"
"0","6","","6","0","1","","3111","31","345.4","131110001"
"0","7","","7","0","1","","3111","31","345.4","131110002"
"0","8","","8","0","1","","3111","31","345.4","131110003"
"1.3","13","appear","3","8000","0","0","3111","5","55","131110004"
"","","","0","","","","3111","91","","131110005"
"0","1","","13","1","0","0","3111","6","1","131110006"
"","95","","13","0","0","","3111","2","-250","131110007"
"0","1.05","","1.05","1.05","7.4","","3111","123","1.05","131110008"
"0.2","wait","","1000001","","","","3111","3","0","131110009"
"","1","","2","","","","3111","35","","131110010"
"","0","","4.9","","","","3111","93","","131110011"
"0","0.95","","0.95","0.95","0.3","","3111","123","0.95","131110012"
"","se_travel_treasure_ghost_fail","","se_travel","","","","3111","23","0","131110013"
"","1","","8","","","","3111","32","","131110014"
"","0","","8","","","","3111","35","","131110015"
"","1","","6","","","","3111","32","","131110016"
"","0","","0.1","","","","3111","93","","131110017"
"","0","","2","","","","3111","32","","131110018"
"","0","","3","","","","3111","32","","131110019"
"","dotEyes","","1000001","","","","3111","3","0","131110020"
"","0","","0.3","","","","3111","93","","131110021"
"","appear","","13","","","","3111","3","0","131110022"
"0","1","","13","1","1","0","3111","6","1","131110023"
"","0","","0.67","","","","3111","93","","131110024"
"","shock_jump","","1000001","","","","3111","3","0","131110025"
"","70","","1000001","1","0","","3111","2","-250","131110026"
"","0","","1.1","","","","3111","93","","131110027"
"","escape","","1000001","","","","3111","3","1","131110028"
"","-350","","1000001","1.2","0","","3111","2","-250","131110029"
"","march","","13","","","","3111","3","0","131110030"
"","0","","0.2","","","","3111","93","","131110031"
"","1","","7","","","","3111","32","","131110032"
"","0","","0.1","","","","3111","93","","131110033"
"","0","","6","","","","3111","32","","131110034"
"","0","","1.6","","","","3111","93","","131110035"
"","","","2","","","","3111","113","","131110036"
"0.2","idle","","1000001","","","","3112","3","1","131120001"
"0","13","","301200","0","1","","3112","31","0","131120002"
"0","14","","101","0","1","","3112","31","0","131120003"
"0","15","","301205","0","1","","3112","31","0","131120004"
"0","16","","301206","-170","1","","3112","31","130","131120005"
"0","18","","6","0","1","","3112","31","345.4","131120006"
"0","20","","301201","0","1","","3112","31","345.4","131120007"
"0","21","","301202","0","1","","3112","31","345.4","131120008"
"1","3","round_monster_walk","1","9340","-234","0","3112","5","55","131120009"
"","","","0","","","","3112","91","","131120010"
"0","1","","3","1","0","0","3112","6","1","131120011"
"0","345","","3","0","0","0","3112","2","-234","131120012"
"0","1.05","","1.05","1.05","7.4","0","3112","123","1.05","131120013"
"0.2","wait","","1000001","","","","3112","3","0","131120014"
"","1","","2","","","","3112","35","","131120015"
"","0","","4.3","","","","3112","93","","131120016"
"0","0.95","","0.95","0.95","0.4","","3112","123","0.95","131120017"
"","1","","21","","","","3112","32","","131120018"
"","0","","21","","","","3112","35","","131120019"
"","se_travel_treasure_monster_failure","","se_travel","","","","3112","23","","131120020"
"","1","","18","","","","3112","32","","131120021"
"","0","","0.1","","","","3112","93","","131120022"
"","0","","2","","","","3112","32","","131120023"
"0.3","1","","3","1","1","0","3112","6","1","131120024"
"","1","","13","","","","3112","32","","131120025"
"","round_monster_appear","","3","","","","3112","3","0","131120026"
"","back","","1000001","","","","3112","3","0","131120027"
"","0","","0.67","","","","3112","93","","131120028"
"0.2","round_monster_walk","","3","","","","3112","3","0","131120029"
"0","220","","3","1.4","0","0","3112","2","-234","131120030"
"","1","","20","","","","3112","32","","131120031"
"","0","","0.1","","","","3112","93","","131120032"
"","0","","18","","","","3112","32","","131120033"
"","0","","1","","","","3112","93","","131120034"
"0.3","round_monster_attack","","3","","","","3112","3","0","131120035"
"","0","","0.5","","","","3112","93","","131120036"
"","1","","15","","","","3112","32","","131120037"
"0.2","back_loop","","1000001","","","","3112","3","1","131120038"
"","0","","1","","","","3112","93","","131120039"
"","1","","16","","","","3112","32","","131120040"
"","50","","0","","","","3112","122","0.5","131120041"
"","40","","1000001","0","0","","3112","2","-250","131120042"
"0","shock_jump","","1000001","","","","3112","3","0","131120043"
"","0","","0.6","","","","3112","93","","131120044"
