b76e3a0e19179e9ca3fe91a80046b80cb1d84f7ed4d8b7dbd8f6cddd2d1ed11e,9b17253e587034083bd1d9429e0e6879c79302eaac17da3164ed623d6acb553b,3c821421d3a662e59e5f1f17e59cba083b595acf9f75b53097dab03a975d9cc9,f387850ea06c20c3e7207c9945afe752c4b056263b5b361a39be5b4e3423be0d,45341920ff2c06e3d7fc4a84064c38e16cd0f9a1180dae6fc27893d6d5ab514e,7d38dfff5d792825a092fd7c43541b28467eacc64d8ecf43aa78122d04f0999f,ddac17279ee013df83f1d3c577c059521c11f96b77cc184a2fd36d8218ec91db,e8c7e565e9a9fa1dd7e7a757b84855bc336b28fa5db402b8e1d7f7b4367c86ba,97236d7203fd47a8c798768802ee5b7e38550a6202564c5bcf2b606b10a372cf,6886248362f559593dd4506027999fd79e21d51edea2d618d19734d9d1991904,a0430ee9ca7c0c946604aa5cb44a5b2776f2300518a065bbcb39b1a18d26f7c8,44636d4272efca636c724d2ac63925046ba878de0d0c171b025ee3423bbf9992
"2.1","0","1009804","4","1","0","0","0","0","12","0","100980412"
"0","230","1009804","1","0","0","0","5","1.7","13","0","100980413"
"2","0","1009804","4","1","0","0","0","0","14","0","100980414"
"0","230","1009804","1","0","0","0","6","1.35","15","0","100980415"
"2.85","0","1009804","4","1","0","0","0","0","16","0","100980416"
"0","0","1009804","2","0","vo_lsv_0404","0","0","0","17","vo_lsv","100980417"
"0","327","1009804","1","0","0","0","7","1.51","18","0","100980418"
"1.61","0","1009804","4","1","0","0","0","0","19","0","100980419"
"0","300","1009804","1","0","0","0","8","1.29","20","0","100980420"
"1.949","0","1009804","4","1","0","0","0","0","21","0","100980421"
"0","300","1009804","1","0","0","0","9","1.925","22","0","100980422"
"0.8","0","1009805","4","1","0","0","0","0","1","0","100980501"
"0","0","1009805","2","0","vo_lsv_0501","0","0","0","2","vo_lsv","100980502"
"0","300","1009805","1","0","0","0","1","2.115","3","0","100980503"
"3.115","0","1009805","4","1","0","0","0","0","4","0","100980504"
"0","0","1009805","2","0","vo_lsv_0502","0","0","0","5","vo_lsv","100980505"
"0","310","1009805","1","0","0","0","2","1.743","6","0","100980506"
"2.743","0","1009805","4","1","0","0","0","0","7","0","100980507"
"0","0","1009805","2","0","vo_lsv_0503","0","0","0","8","vo_lsv","100980508"
"0","300","1009805","1","0","0","0","3","1.86","9","0","100980509"
"2.26","0","1009805","4","1","0","0","0","0","10","0","100980510"
"0","300","1009805","1","0","0","0","4","1.667","11","0","100980511"
"2.324","0","1009805","4","1","0","0","0","0","12","0","100980512"
"0","310","1009805","1","0","0","0","5","2.168","13","0","100980513"
"3.168","0","1009805","4","1","0","0","0","0","14","0","100980514"
"0","0","1009805","2","0","vo_lsv_0504","0","0","0","15","vo_lsv","100980515"
"0","300","1009805","1","0","0","0","6","1.752","16","0","100980516"
"2.276","0","1009805","4","1","0","0","0","0","17","0","100980517"
"0","300","1009805","1","0","0","0","7","1.43","18","0","100980518"
"1.43","0","1009805","4","1","0","0","0","0","19","0","100980519"
"0","125","1009805","1","0","0","0","8","0.749","20","0","100980520"
"1.749","0","1009805","4","1","0","0","0","0","21","0","100980521"
"0","0","1009805","2","0","vo_lsv_0505","0","0","0","22","vo_lsv","100980522"
"0","300","1009805","1","0","0","125","8","0.65","23","0","100980523"
"0.65","0","1009805","4","1","0","0","0","0","24","0","100980524"
"0","300","1009805","1","0","0","0","9","1.753","25","0","100980525"
"1.753","0","1009805","4","1","0","0","0","0","26","0","100980526"
"0","160","1009805","1","0","0","0","10","0.929","27","0","100980527"
"1.929","0","1009805","4","1","0","0","0","0","28","0","100980528"
"0","0","1009805","2","0","vo_lsv_0506","0","0","0","29","vo_lsv","100980529"
"0","300","1009805","1","0","0","160","10","0.536","30","0","100980530"
"0.536","0","1009805","4","1","0","0","0","0","31","0","100980531"
"0","327","1009805","1","0","0","0","11","1.438","32","0","100980532"
"1.438","0","1009805","4","1","0","0","0","0","33","0","100980533"
"0","300","1009805","1","0","0","0","12","2.426","34","0","100980534"
"0.8","0","1009806","4","1","0","0","0","0","1","0","100980601"
"0","0","1009806","2","0","vo_lsv_0601","0","0","0","2","vo_lsv","100980602"
"0","330","1009806","1","0","0","0","1","2.5","3","0","100980603"
"2.5","0","1009806","4","1","0","0","0","0","4","0","100980604"
"0","270","1009806","1","0","0","0","2","1.5","5","0","100980605"
"2.5","0","1009806","4","1","0","0","0","0","6","0","100980606"
"0","0","1009806","2","0","vo_lsv_0602","0","0","0","7","vo_lsv","100980607"
"0","325","1009806","1","0","0","0","3","1.9","8","0","100980608"
"1.9","0","1009806","4","1","0","0","0","0","9","0","100980609"
"0","300","1009806","1","0","0","0","4","1.744","10","0","100980610"
"2.329","0","1009806","4","1","0","0","0","0","11","0","100980611"
"0","300","1009806","1","0","0","0","5","1.049","12","0","100980612"
"1.049","0","1009806","4","1","0","0","0","0","13","0","100980613"
"0","210","1009806","1","0","0","0","6","1.093","14","0","100980614"
"2.093","0","1009806","4","1","0","0","0","0","15","0","100980615"
"0","0","1009806","2","0","vo_lsv_0603","0","0","0","16","vo_lsv","100980616"
"0","300","1009806","1","0","0","0","7","1.9","17","0","100980617"
"1.9","0","1009806","4","1","0","0","0","0","18","0","100980618"
"0","300","1009806","1","0","0","0","8","2.4","19","0","100980619"
"2.4","0","1009806","4","1","0","0","0","0","20","0","100980620"
"0","300","1009806","1","0","0","0","9","1.65","21","0","100980621"
"2.65","0","1009806","4","1","0","0","0","0","22","0","100980622"
"0","0","1009806","2","0","vo_lsv_0604","0","0","0","23","vo_lsv","100980623"
"0","300","1009806","1","0","0","0","10","1.763","24","0","100980624"
"1.763","0","1009806","4","1","0","0","0","0","25","0","100980625"
"0","205","1009806","1","0","0","0","11","1.308","26","0","100980626"
"2.308","0","1009806","4","1","0","0","0","0","27","0","100980627"
"0","0","1009806","2","0","vo_lsv_0605","0","0","0","28","vo_lsv","100980628"
"0","320","1009806","1","0","0","205","11","1","29","0","100980629"
"1","0","1009806","4","1","0","0","0","0","30","0","100980630"
"0","270","1009806","1","0","0","0","12","1.853","31","0","100980631"
"0.8","0","1009807","4","1","0","0","0","0","1","0","100980701"
"0","0","1009807","2","0","vo_lsv_0701","0","0","0","2","vo_lsv","100980702"
"0","300","1009807","1","0","0","0","1","1.355","3","0","100980703"
"1.355","0","1009807","4","1","0","0","0","0","4","0","100980704"
"0","300","1009807","1","0","0","0","2","1.126","5","0","100980705"
"1.126","0","1009807","4","1","0","0","0","0","6","0","100980706"
"0","300","1009807","1","0","0","0","3","1.641","7","0","100980707"
"2","0","1009807","4","1","0","0","0","0","8","0","100980708"
"0","0","1009807","2","0","vo_lsv_0702","0","0","0","9","vo_lsv","100980709"
"0","300","1009807","1","0","0","0","4","1.325","10","0","100980710"
"1.325","0","1009807","4","1","0","0","0","0","11","0","100980711"
"0","327","1009807","1","0","0","0","5","1.891","12","0","100980712"
"2.437","0","1009807","4","1","0","0","0","0","13","0","100980713"
"0","327","1009807","1","0","0","0","6","1.93","14","0","100980714"
"2.93","0","1009807","4","1","0","0","0","0","15","0","100980715"
"0","0","1009807","2","0","vo_lsv_0703","0","0","0","16","vo_lsv","100980716"
"0","300","1009807","1","0","0","0","7","1.84","17","0","100980717"
"2.361","0","1009807","4","1","0","0","0","0","18","0","100980718"
"0","300","1009807","1","0","0","0","8","1.38","19","0","100980719"
"1.38","0","1009807","4","1","0","0","0","0","20","0","100980720"
"0","300","1009807","1","0","0","0","9","1.399","21","0","100980721"
"2.399","0","1009807","4","1","0","0","0","0","22","0","100980722"
"0","0","1009807","2","0","vo_lsv_0704","0","0","0","23","vo_lsv","100980723"
"0","300","1009807","1","0","0","0","10","2.268","24","0","100980724"
"2.268","0","1009807","4","1","0","0","0","0","25","0","100980725"
"0","300","1009807","1","0","0","0","11","1.299","26","0","100980726"
"0.8","0","1009808","4","1","0","0","0","0","1","0","100980801"
"0","0","1009808","2","0","vo_lsv_0801","0","0","0","2","vo_lsv","100980802"
"0","300","1009808","1","0","0","0","1","1.4","3","0","100980803"
"1.4","0","1009808","4","1","0","0","0","0","4","0","100980804"
"0","300","1009808","1","0","0","0","2","1","5","0","100980805"
"2","0","1009808","4","1","0","0","0","0","6","0","100980806"
"0","0","1009808","2","0","vo_lsv_0802","0","0","0","7","vo_lsv","100980807"
"0","300","1009808","1","0","0","0","3","1.6","8","0","100980808"
"1.8","0","1009808","4","1","0","0","0","0","9","0","100980809"
"0","300","1009808","1","0","0","0","4","1","10","0","100980810"
"1","0","1009808","4","1","0","0","0","0","11","0","100980811"
"0","300","1009808","1","0","0","0","5","1.5","12","0","100980812"
"2.5","0","1009808","4","1","0","0","0","0","13","0","100980813"
"0","0","1009808","2","0","vo_lsv_0803","0","0","0","14","vo_lsv","100980814"
"0","320","1009808","1","0","0","0","6","1.9","15","0","100980815"
"2.5","0","1009808","4","1","0","0","0","0","16","0","100980816"
"0","240","1009808","1","0","0","0","7","1.3","17","0","100980817"
"2.3","0","1009808","4","1","0","0","0","0","18","0","100980818"
"0","0","1009808","2","0","vo_lsv_0804","0","0","0","19","vo_lsv","100980819"
"0","300","1009808","1","0","0","0","8","1.3","20","0","100980820"
"1.3","0","1009808","4","1","0","0","0","0","21","0","100980821"
"0","300","1009808","1","0","0","0","9","1.5","22","0","100980822"
"2.5","0","1009808","4","1","0","0","0","0","23","0","100980823"
"0","0","1009808","2","0","vo_lsv_0805","0","0","0","24","vo_lsv","100980824"
"0","300","1009808","1","0","0","0","10","1.4","25","0","100980825"
"2.6","0","1009808","4","1","0","0","0","0","26","0","100980826"
"0","0","1009808","2","0","vo_lsv_0806","0","0","0","27","vo_lsv","100980827"
"0","327","1009808","1","0","0","15","11","1.363","28","0","100980828"
"0.8","0","1009809","4","1","0","0","0","0","1","0","100980901"
"0","0","1009809","2","0","vo_lsv_0901","0","0","0","2","vo_lsv","100980902"
"0","300","1009809","1","0","0","0","1","2.1","3","0","100980903"
"2.9","0","1009809","4","1","0","0","0","0","4","0","100980904"
"0","0","1009809","2","0","vo_lsv_0902","0","0","0","5","vo_lsv","100980905"
"0","327","1009809","1","0","0","0","2","2.46","6","0","100980906"
"2.64","0","1009809","4","1","0","0","0","0","7","0","100980907"
"0","327","1009809","1","0","0","0","3","1.845","8","0","100980908"
"1.85","0","1009809","4","1","0","0","0","0","9","0","100980909"
"0","300","1009809","1","0","0","0","4","1.735","10","0","100980910"
"2","0","1009809","4","1","0","0","0","0","11","0","100980911"
"0","0","1009809","2","0","vo_lsv_0903","0","0","0","12","vo_lsv","100980912"
"0","327","1009809","1","0","0","0","5","2.484","13","0","100980913"
"2.663","0","1009809","4","1","0","0","0","0","14","0","100980914"
"0","327","1009809","1","0","0","0","6","1.546","15","0","100980915"
"1.55","0","1009809","4","1","0","0","0","0","16","0","100980916"
"0","327","1009809","1","0","0","0","7","1.205","17","0","100980917"
"1.5","0","1009809","4","1","0","0","0","0","18","0","100980918"
"0","0","1009809","2","0","vo_lsv_0904","0","0","0","19","vo_lsv","100980919"
"0","327","1009809","1","0","0","0","8","2.079","20","0","100980920"
"2.4","0","1009809","4","1","0","0","0","0","21","0","100980921"
"0","327","1009809","1","0","0","0","9","2.05","22","0","100980922"
"2.35","0","1009809","4","1","0","0","0","0","23","0","100980923"
"0","327","1009809","1","0","0","0","10","2.55","24","0","100980924"
"0.8","0","1009810","4","1","0","0","0","0","1","0","100981001"
"0","0","1009810","2","0","vo_lsv_1001","0","0","0","2","vo_lsv","100981002"
"0","300","1009810","1","0","0","0","1","1.707","3","0","100981003"
"1.717","0","1009810","4","1","0","0","0","0","4","0","100981004"
"0","90","1009810","1","0","0","0","2","0.75","5","0","100981005"
"1.15","0","1009810","4","1","0","0","0","0","6","0","100981006"
"0","327","1009810","1","0","0","92","2","1.46","7","0","100981007"
"1.66","0","1009810","4","1","0","0","0","0","8","0","100981008"
"0","327","1009810","1","0","0","0","3","2.03","9","0","100981009"
"2.23","0","1009810","4","1","0","0","0","0","10","0","100981010"
"0","327","1009810","1","0","0","0","4","1.732","11","0","100981011"
"2.5","0","1009810","4","1","0","0","0","0","12","0","100981012"
"0","0","1009810","2","0","vo_lsv_1002","0","0","0","13","vo_lsv","100981013"
"0","300","1009810","1","0","0","0","5","1.9","14","0","100981014"
"1.949","0","1009810","4","1","0","0","0","0","15","0","100981015"
"0","327","1009810","1","0","0","0","6","2.05","16","0","100981016"
"2.08","0","1009810","4","1","0","0","0","0","17","0","100981017"
"0","130","1009810","1","0","0","0","7","0.8","18","0","100981018"
"2","0","1009810","4","1","0","0","0","0","19","0","100981019"
"0","0","1009810","2","0","vo_lsv_1003","0","0","0","20","vo_lsv","100981020"
"0","300","1009810","1","0","0","135","7","1.575","21","0","100981021"
"1.6","0","1009810","4","1","0","0","0","0","22","0","100981022"
"0","190","1009810","1","0","0","0","8","1.243","23","0","100981023"
"3","0","1009810","4","1","0","0","0","0","24","0","100981024"
"0","0","1009810","2","0","vo_lsv_1004","0","0","0","25","vo_lsv","100981025"
"0","196","1009810","1","0","0","0","9","1.867","26","0","100981026"
"2.067","0","1009810","4","1","0","0","0","0","27","0","100981027"
"0","327","1009810","1","0","0","198","9","0.956","28","0","100981028"
"1","0","1009810","4","1","0","0","0","0","29","0","100981029"
"0","260","1009810","1","0","0","0","10","1.851","30","0","100981030"
"1.88","0","1009810","4","1","0","0","0","0","31","0","100981031"
"0","160","1009810","1","0","0","0","11","1.172","32","0","100981032"
"2.5","0","1009810","4","1","0","0","0","0","33","0","100981033"
"0","0","1009810","2","0","vo_lsv_1005","0","0","0","34","vo_lsv","100981034"
"0","88","1009810","1","0","0","0","12","0.95","35","0","100981035"
"1.1","0","1009810","4","1","0","0","0","0","36","0","100981036"
"0","230","1009810","1","0","0","90","12","1.392","37","0","100981037"
"0.8","0","1009811","4","1","0","0","0","0","1","0","100981101"
"0","0","1009811","2","0","vo_lsv_1101","0","0","0","2","vo_lsv","100981102"
"0","300","1009811","1","0","0","0","1","1.813","3","0","100981103"
"2","0","1009811","4","1","0","0","0","0","4","0","100981104"
"0","280","1009811","1","0","0","0","2","1.065","5","0","100981105"
"1.095","0","1009811","4","1","0","0","0","0","6","0","100981106"
"0","327","1009811","1","0","0","0","3","2.176","7","0","100981107"
"3.1","0","1009811","4","1","0","0","0","0","8","0","100981108"
"0","0","1009811","2","0","vo_lsv_1102","0","0","0","9","vo_lsv","100981109"
"0","280","1009811","1","0","0","0","4","1.283","10","0","100981110"
"1.31","0","1009811","4","1","0","0","0","0","11","0","100981111"
"0","327","1009811","1","0","0","0","5","2.351","12","0","100981112"
"2.381","0","1009811","4","1","0","0","0","0","13","0","100981113"
"0","327","1009811","1","0","0","0","6","2.037","14","0","100981114"
"3","0","1009811","4","1","0","0","0","0","15","0","100981115"
"0","0","1009811","2","0","vo_lsv_1103","0","0","0","16","vo_lsv","100981116"
"0","327","1009811","1","0","0","0","7","2.637","17","0","100981117"
"3.23","0","1009811","4","1","0","0","0","0","18","0","100981118"
"0","327","1009811","1","0","0","0","8","1.789","19","0","100981119"
"1.81","0","1009811","4","1","0","0","0","0","20","0","100981120"
"0","80","1009811","1","0","0","0","9","0.763","21","0","100981121"
"0.893","0","1009811","4","1","0","0","0","0","22","0","100981122"
"0","327","1009811","1","0","0","82","9","1.079","23","0","100981123"
"1.1","0","1009811","4","1","0","0","0","0","24","0","100981124"
"0","195","1009811","1","0","0","0","10","1.424","25","0","100981125"
"2.5","0","1009811","4","1","0","0","0","0","26","0","100981126"
"0","0","1009811","2","0","vo_lsv_1104","0","0","0","27","vo_lsv","100981127"
"0","350","1009811","1","0","0","197","10","0.7","28","0","100981128"
"0.75","0","1009811","4","1","0","0","0","0","29","0","100981129"
"0","300","1009811","1","0","0","0","11","2.45","30","0","100981130"
"2.55","0","1009811","4","1","0","0","0","0","31","0","100981131"
"0","220","1009811","1","0","0","0","12","1.6","32","0","100981132"
"0.8","0","1009812","4","1","0","0","0","0","1","0","100981201"
"0","0","1009812","2","0","vo_lsv_1201","0","0","0","2","vo_lsv","100981202"
"0","300","1009812","1","0","0","0","1","2.379","3","0","100981203"
"3.5","0","1009812","4","1","0","0","0","0","4","0","100981204"
"0","0","1009812","2","0","vo_lsv_1202","0","0","0","5","vo_lsv","100981205"
"0","327","1009812","1","0","0","0","2","1.623","6","0","100981206"
"1.63","0","1009812","4","1","0","0","0","0","7","0","100981207"
"0","327","1009812","1","0","0","15","3","2.644","8","0","100981208"
"3.5","0","1009812","4","1","0","0","0","0","9","0","100981209"
"0","0","1009812","2","0","vo_lsv_1203","0","0","0","10","vo_lsv","100981210"
"0","300","1009812","1","0","0","0","4","1.502","11","0","100981211"
"1.51","0","1009812","4","1","0","0","0","0","12","0","100981212"
"0","327","1009812","1","0","0","15","5","2.171","13","0","100981213"
"2.2","0","1009812","4","1","0","0","0","0","14","0","100981214"
"0","180","1009812","1","0","0","0","6","1.319","15","0","100981215"
"1.8","0","1009812","4","1","0","0","0","0","16","0","100981216"
"0","0","1009812","2","0","vo_lsv_1204","0","0","0","17","vo_lsv","100981217"
"0","300","1009812","1","0","0","182","6","1.03","18","0","100981218"
"2","0","1009812","4","1","0","0","0","0","19","0","100981219"
"0","0","1009812","2","0","vo_lsv_1205","0","0","0","20","vo_lsv","100981220"
"0","300","1009812","1","0","0","0","7","1.96","21","0","100981221"
"2","0","1009812","4","1","0","0","0","0","22","0","100981222"
"0","327","1009812","1","0","0","15","8","2.137","23","0","100981223"
"3.5","0","1009812","4","1","0","0","0","0","24","0","100981224"
"0","0","1009812","2","0","vo_lsv_1206","0","0","0","25","vo_lsv","100981225"
"0","300","1009812","1","0","0","0","9","1.602","26","0","100981226"
"1.7","0","1009812","4","1","0","0","0","0","27","0","100981227"
"0","327","1009812","1","0","0","15","10","2.476","28","0","100981228"
"3.5","0","1009812","4","1","0","0","0","0","29","0","100981229"
"0","0","1009812","2","0","vo_lsv_1207","0","0","0","30","vo_lsv","100981230"
"0","300","1009812","1","0","0","0","11","1.155","31","0","100981231"
"1.18","0","1009812","4","1","0","0","0","0","32","0","100981232"
"0","200","1009812","1","0","0","15","12","1.28","33","0","100981233"
"0.8","0","1009813","4","1","0","0","0","0","1","0","100981301"
"0","0","1009813","2","0","vo_lsv_1301","0","0","0","2","vo_lsv","100981302"
"0","300","1009813","1","0","0","0","1","2.09","3","0","100981303"
"2.12","0","1009813","4","1","0","0","0","0","4","0","100981304"
"0","340","1009813","1","0","0","15","2","2.649","5","0","100981305"
"3.6","0","1009813","4","1","0","0","0","0","6","0","100981306"
"0","0","1009813","2","0","vo_lsv_1302","0","0","0","7","vo_lsv","100981307"
"0","300","1009813","1","0","0","0","3","2.138","8","0","100981308"
"2.17","0","1009813","4","1","0","0","0","0","9","0","100981309"
"0","327","1009813","1","0","0","0","4","2.111","10","0","100981310"
"2.45","0","1009813","4","1","0","0","0","0","11","0","100981311"
"0","327","1009813","1","0","0","0","5","2","12","0","100981312"
"2.3","0","1009813","4","1","0","0","0","0","13","0","100981313"
"0","290","1009813","1","0","0","0","6","1.354","14","0","100981314"
"3","0","1009813","4","1","0","0","0","0","15","0","100981315"
"0","0","1009813","2","0","vo_lsv_1303","0","0","0","16","vo_lsv","100981316"
"0","300","1009813","1","0","0","0","7","1.539","17","0","100981317"
"1.569","0","1009813","4","1","0","0","0","0","18","0","100981318"
"0","90","1009813","1","0","0","0","8","0.732","19","0","100981319"
"1.08","0","1009813","4","1","0","0","0","0","20","0","100981320"
"0","300","1009813","1","0","0","92","8","1.207","21","0","100981321"
"1.407","0","1009813","4","1","0","0","0","0","22","0","100981322"
"0","327","1009813","1","0","0","0","9","1.798","23","0","100981323"
"2.7","0","1009813","4","1","0","0","0","0","24","0","100981324"
"0","0","1009813","2","0","vo_lsv_1304","0","0","0","25","vo_lsv","100981325"
"0","300","1009813","1","0","0","0","10","1.633","26","0","100981326"
"0.8","0","1009814","4","1","0","0","0","0","1","0","100981401"
