624aa5aa54bf1b43936113294cd86ef3d7e1479bb49d0eb0521c50916e766ec6,d726433e198aefa3ded4420bf81243fb30238076e0767f05a857aade62712e64,848b089ce7da2b8e68c3083b05bcd0854747bc435289dfa19ef8e8c2734463eb,3f383aa9a3642d794561ad17ee03e80a6606d6933d9fd98b0497a9047bd2247a,e782ad9066347d41d7e7c5783c99eb9f635a22b21cf8cdcab53dcd1be324d221,a6dcdc0faac6179c594204f20377a088a7000f20a7ce19c83feab2725afcfb80,9714f0337e1089a0986f9c1be12d0feaff7f183c21119e8fbc57104c7e249d13
"3","37","2021/02/10 5:00:00","0","2021/02/11 4:59:59","80004","9002012"
"3","38","2021/02/11 5:00:00","0","2021/02/12 4:59:59","80004","9002013"
"3","39","2021/02/12 5:00:00","0","2021/02/13 4:59:59","80004","9002014"
"3","40","2021/02/13 5:00:00","0","2021/02/14 4:59:59","80004","9002015"
"3","41","2021/02/14 5:00:00","0","2021/02/15 4:59:59","80004","9002016"
"3","42","2021/02/15 5:00:00","1","2021/02/16 4:59:59","80004","9002017"
"0","43","2021/12/24 5:00:00","0","2021/12/25 4:59:59","70006","400"
"0","44","2021/12/25 5:00:00","0","2021/12/26 4:59:59","70006","401"
"3","45","2022/01/30 5:00:00","0","2022/01/31 4:59:59","80006","9004001"
"3","46","2022/01/31 5:00:00","0","2022/02/01 4:59:59","80006","9004002"
"3","47","2022/02/01 5:00:00","0","2022/02/02 4:59:59","80006","9004003"
"3","48","2022/02/02 5:00:00","0","2022/02/03 4:59:59","80006","9004004"
"3","49","2022/02/03 5:00:00","0","2022/02/04 4:59:59","80006","9004005"
"3","50","2022/02/04 5:00:00","0","2022/02/05 4:59:59","80006","9004006"
"3","51","2022/02/05 5:00:00","0","2022/02/06 4:59:59","80006","9004007"
"3","52","2022/02/06 5:00:00","0","2022/02/07 4:59:59","80006","9004008"
"3","53","2022/02/07 5:00:00","0","2022/02/08 4:59:59","80006","9004009"
"3","54","2022/02/08 5:00:00","0","2022/02/09 4:59:59","80006","9004010"
"3","55","2022/02/09 5:00:00","0","2022/02/10 4:59:59","80006","9004011"
"3","56","2022/02/10 5:00:00","0","2022/02/11 4:59:59","80006","9004012"
"3","57","2022/02/11 5:00:00","0","2022/02/12 4:59:59","80006","9004013"
"3","58","2022/02/12 5:00:00","0","2022/02/13 4:59:59","80006","9004014"
"3","59","2022/02/13 5:00:00","0","2022/02/14 4:59:59","80006","9004015"
"3","60","2022/02/14 5:00:00","0","2022/02/15 4:59:59","80006","9004016"
"3","61","2022/02/15 5:00:00","1","2022/02/16 4:59:59","80006","9004017"
"1","62","0","0","0","70007","436"
"2","63","0","0","0","70007","437"
"3","64","0","0","0","70007","438"
"3","65","2022/08/01 5:00:00","0","2022/08/02 4:59:59","80007","9005001"
"3","66","2022/08/02 5:00:00","0","2022/08/03 4:59:59","80007","9005002"
"3","67","2022/08/03 5:00:00","0","2022/08/04 4:59:59","80007","9005003"
"3","68","2022/08/04 5:00:00","0","2022/08/05 4:59:59","80007","9005004"
"3","69","2022/08/05 5:00:00","0","2022/08/06 4:59:59","80007","9005005"
"3","70","2022/08/06 5:00:00","0","2022/08/07 4:59:59","80007","9005006"
"3","71","2022/08/07 5:00:00","0","2022/08/08 4:59:59","80007","9005007"
"3","72","2022/08/08 5:00:00","0","2022/08/09 4:59:59","80007","9005008"
"3","73","2022/08/09 5:00:00","0","2022/08/10 4:59:59","80007","9005009"
"3","74","2022/08/10 5:00:00","0","2022/08/11 4:59:59","80007","9005010"
"3","75","2022/08/11 5:00:00","0","2022/08/12 4:59:59","80007","9005011"
"3","76","2022/08/12 5:00:00","0","2022/08/13 4:59:59","80007","9005012"
"3","77","2022/08/13 5:00:00","0","2022/08/14 4:59:59","80007","9005013"
"3","78","2022/08/14 5:00:00","0","2022/08/15 4:59:59","80007","9005014"
"3","79","2022/08/15 5:00:00","1","2022/08/16 4:59:59","80007","9005015"
"0","80","2022/12/24 5:00:00","0","2022/12/25 4:59:59","70008","400"
"0","81","2022/12/25 5:00:00","0","2022/12/26 4:59:59","70008","401"
"1","82","0","0","0","70009","439"
"3","83","2023/01/31 5:00:00","0","2023/02/01 4:59:59","80008","9006001"
"3","84","2023/02/01 5:00:00","0","2023/02/02 4:59:59","80008","9006002"
"3","85","2023/02/02 5:00:00","0","2023/02/03 4:59:59","80008","9006003"
"3","86","2023/02/03 5:00:00","0","2023/02/04 4:59:59","80008","9006004"
"3","87","2023/02/04 5:00:00","0","2023/02/05 4:59:59","80008","9006005"
"3","88","2023/02/05 5:00:00","0","2023/02/06 4:59:59","80008","9006006"
"3","89","2023/02/06 5:00:00","0","2023/02/07 4:59:59","80008","9006007"
"3","90","2023/02/07 5:00:00","0","2023/02/08 4:59:59","80008","9006008"
"3","91","2023/02/08 5:00:00","0","2023/02/09 4:59:59","80008","9006009"
"3","92","2023/02/09 5:00:00","0","2023/02/10 4:59:59","80008","9006010"
"3","93","2023/02/10 5:00:00","0","2023/02/11 4:59:59","80008","9006011"
"3","94","2023/02/11 5:00:00","0","2023/02/12 4:59:59","80008","9006012"
"3","95","2023/02/12 5:00:00","0","2023/02/13 4:59:59","80008","9006013"
"3","96","2023/02/13 5:00:00","0","2023/02/14 4:59:59","80008","9006014"
"3","97","2023/02/14 5:00:00","0","2023/02/15 4:59:59","80008","9006015"
"3","98","2023/02/15 5:00:00","1","2023/02/16 4:59:59","80008","9006016"
"3","99","2023/08/01 5:00:00","0","2023/08/02 4:59:59","80009","9007001"
"3","100","2023/08/02 5:00:00","0","2023/08/03 4:59:59","80009","9007002"
"3","101","2023/08/03 5:00:00","0","2023/08/04 4:59:59","80009","9007003"
"3","102","2023/08/04 5:00:00","0","2023/08/05 4:59:59","80009","9007004"
"3","103","2023/08/05 5:00:00","0","2023/08/06 4:59:59","80009","9007005"
"3","104","2023/08/06 5:00:00","0","2023/08/07 4:59:59","80009","9007006"
"3","105","2023/08/07 5:00:00","0","2023/08/08 4:59:59","80009","9007007"
"3","106","2023/08/08 5:00:00","0","2023/08/09 4:59:59","80009","9007008"
"3","107","2023/08/09 5:00:00","0","2023/08/10 4:59:59","80009","9007009"
"3","108","2023/08/10 5:00:00","0","2023/08/11 4:59:59","80009","9007010"
"3","109","2023/08/11 5:00:00","0","2023/08/12 4:59:59","80009","9007011"
"3","110","2023/08/12 5:00:00","0","2023/08/13 4:59:59","80009","9007012"
"3","111","2023/08/13 5:00:00","0","2023/08/14 4:59:59","80009","9007013"
"3","112","2023/08/14 5:00:00","0","2023/08/15 4:59:59","80009","9007014"
"3","113","2023/08/15 5:00:00","1","2023/08/16 4:59:59","80009","9007015"
"0","114","2023/12/24 5:00:00","0","2023/12/25 4:59:59","70010","400"
"0","115","2023/12/25 5:00:00","0","2023/12/26 4:59:59","70012","401"
"1","116","0","0","0","70011","440"
"3","117","2024/01/31 5:00:00","0","2024/02/01 4:59:59","80010","9008001"
"3","118","2024/02/01 5:00:00","0","2024/02/02 4:59:59","80010","9008002"
"3","119","2024/02/02 5:00:00","0","2024/02/03 4:59:59","80010","9008003"
"3","120","2024/02/03 5:00:00","0","2024/02/04 4:59:59","80010","9008004"
"3","121","2024/02/04 5:00:00","0","2024/02/05 4:59:59","80010","9008005"
"3","122","2024/02/05 5:00:00","0","2024/02/06 4:59:59","80010","9008006"
"3","123","2024/02/06 5:00:00","0","2024/02/07 4:59:59","80010","9008007"
"3","124","2024/02/07 5:00:00","0","2024/02/08 4:59:59","80010","9008008"
"3","125","2024/02/08 5:00:00","0","2024/02/09 4:59:59","80010","9008009"
"3","126","2024/02/09 5:00:00","0","2024/02/10 4:59:59","80010","9008010"
"3","127","2024/02/10 5:00:00","0","2024/02/11 4:59:59","80010","9008011"
"3","128","2024/02/11 5:00:00","1","2024/02/12 4:59:59","80010","9008012"
"3","129","2024/02/12 5:00:00","1","2024/02/13 4:59:59","80010","9008013"
"3","130","2024/02/13 5:00:00","1","2024/02/14 4:59:59","80010","9008014"
"3","131","2024/02/14 5:00:00","1","2024/02/15 4:59:59","80010","9008015"
"3","132","2024/02/15 5:00:00","1","2024/02/16 4:59:59","80010","9008016"
"3","133","2024/08/01 5:00:00","0","2024/08/02 4:59:59","80011","9009001"
"3","134","2024/08/02 5:00:00","0","2024/08/03 4:59:59","80011","9009002"
"3","135","2024/08/03 5:00:00","0","2024/08/04 4:59:59","80011","9009003"
"3","136","2024/08/04 5:00:00","0","2024/08/05 4:59:59","80011","9009004"
"3","137","2024/08/05 5:00:00","0","2024/08/06 4:59:59","80011","9009005"
"3","138","2024/08/06 5:00:00","0","2024/08/07 4:59:59","80011","9009006"
"3","139","2024/08/07 5:00:00","0","2024/08/08 4:59:59","80011","9009007"
"3","140","2024/08/08 5:00:00","0","2024/08/09 4:59:59","80011","9009008"
"3","141","2024/08/09 5:00:00","0","2024/08/10 4:59:59","80011","9009009"
"3","142","2024/08/10 5:00:00","0","2024/08/11 4:59:59","80011","9009010"
"3","143","2024/08/11 5:00:00","0","2024/08/12 4:59:59","80011","9009011"
"3","144","2024/08/12 5:00:00","0","2024/08/13 4:59:59","80011","9009012"
"3","145","2024/08/13 5:00:00","0","2024/08/14 4:59:59","80011","9009013"
"3","146","2024/08/14 5:00:00","0","2024/08/15 4:59:59","80011","9009014"
"3","147","2024/08/15 5:00:00","1","2024/08/16 4:59:59","80011","9009015"
"0","148","2024/12/24 5:00:00","0","2024/12/25 4:59:59","70014","400"
"0","149","2024/12/25 5:00:00","0","2024/12/26 4:59:59","70015","401"
"1","150","0","0","0","70013","441"
"3","151","2025/02/08 5:00:00","0","2025/02/09 4:59:59","80012","9010001"
"3","152","2025/02/09 5:00:00","0","2025/02/10 4:59:59","80012","9010002"
"3","153","2025/02/10 5:00:00","0","2025/02/11 4:59:59","80012","9010003"
"3","154","2025/02/11 5:00:00","0","2025/02/12 4:59:59","80012","9010004"
"3","155","2025/02/12 5:00:00","0","2025/02/13 4:59:59","80012","9010005"
"3","156","2025/02/13 5:00:00","0","2025/02/14 4:59:59","80012","9010006"
"3","157","2025/02/14 5:00:00","0","2025/02/15 4:59:59","80012","9010007"
"3","158","2025/02/15 5:00:00","0","2025/02/16 4:59:59","80012","9010008"
