c2d56f3f48c49d510a65eae20280b4f79d68b388d3fe3a68e52a16fd3b2b8ea9,f905bece1f8185ba7349a05b0c0ef2cfa7ebb97e6f4a3645d8c88f45d2c97ba3,e72dd3e5306e3d32a615e6898e3c7ba93cee4164237fdcbe0aee0ecee713314b,67179e11f4ae4c3844cc0e78d1475197ec43b4ab5c962f0f1a0f588afc5f3fe4,f52e3261abdebd0493e043f362d6118fdaf3a86c785e58dc7fdf8f99630ea42d,4bb8f612fe3b778ed3fdd3ff413f32f548aed684ef95a4c38781fd1da763ca29,fd113dd2a93c4de286a508b1947301b2082c079c647ffcd393197dbc60281b0e,9a160b0c98dbc4536b408980805c1904837ae8645cb00f6863b275954c36a2d3,606d472965fcf1ca29a2320f00f4d0fb6079c9a2e907e063267e89eaff093266,133227d84e8c1389e80180d914a0bfcb806aeb1b362be43b58e9402441968715,a042aaceb38a9fea7449974a67b0b8bf0d3621f48717eb33036e5c304fbc1d99
"","112611","2","","1","10","1","","1020038","11","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～"
"","0","2","","","","","","1020039","91",""
"","112611","2","","","1","","0","1020040","3","omp_idle_joy1"
"","112511","2","","","1","","0","1020041","3","omp_talk_bitter"
"","vo_omp_7002","2","","0","0","","","1020042","21","vo_omp_7002_007"
"","112511","2","","1","10","1","","1020043","11","冒険って、奥が深いね…"
"","0","2","","","","","","1020044","91",""
"","0.4","2","","","","","","1020045","93",""
"0","1","3","omp_talk_joy1","-140","1500","-190","1.8","1030001","1","112411"
"1","1","3","omp_idle_normal","140","1500","-190","1.8","1030002","1","112611"
"","1","3","","0","0","1","1","1030003","31","1"
"","1","3","","","","","","1030004","93",""
"","vo_omp_7003","3","","0","0","","","1030005","21","vo_omp_7003_000"
"","112411","3","","1","10","1","","1030006","11","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！"
"","0","3","","","","","","1030007","91",""
"","112411","3","","","1","","0","1030008","3","omp_psn_20"
"","112611","3","","","1","","0","1030009","3","omp_psn_19"
"","vo_omp_7003","3","","0","0","","","1030010","21","vo_omp_7003_001"
"","112611","3","","1","10","1","","1030011","11","た、楽しいかな～？"
"","0","3","","","","","","1030012","91",""
"","112611","3","","","1","","0","1030013","3","omp_psn_18"
"","112411","3","","","1","","0","1030014","3","omp_talk_joy1"
"","vo_omp_7003","3","","0","0","","","1030015","21","vo_omp_7003_002"
"","112411","3","","1","10","1","","1030016","11","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！"
"","0","3","","","","","","1030017","91",""
"","112411","3","","","1","","0","1030018","3","omp_psn_20"
"","112611","3","","","1","","0","1030019","3","omp_talk_joy1"
"","vo_omp_7003","3","","0","0","","","1030020","21","vo_omp_7003_003"
"","112611","3","","1","10","1","","1030021","11","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？"
"","1.5","3","","","","","","1030022","93","1"
"","112611","3","","","1","","0.2","1030023","3","omp_psn_19"
"","1030021","3","","","","","","1030024","91",""
"","112611","3","","","1","","0","1030025","3","omp_psn_18"
"","112411","3","","","1","","0","1030026","3","omp_talk_joy1"
"","vo_omp_7003","3","","0","0","","","1030027","21","vo_omp_7003_004"
"","112411","3","","1","10","1","","1030028","11","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？"
"","0","3","","","","","","1030029","91",""
"","112411","3","","","1","","0","1030030","3","omp_psn_20"
"","112611","3","","","1","","0","1030031","3","omp_psn_19"
"","vo_omp_7003","3","","0","0","","","1030032","21","vo_omp_7003_005"
"","112611","3","","1","10","1","","1030033","11","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…"
"","0","3","","","","","","1030034","91",""
"","112611","3","","","1","","0","1030035","3","omp_psn_18"
"","112411","3","","","1","","0","1030036","3","omp_talk_joy2"
"","vo_omp_7003","3","","0","0","","","1030037","21","vo_omp_7003_006"
"","112411","3","","1","10","1","","1030038","11","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪"
"","0","3","","","","","","1030039","91",""
"","112411","3","","","1","","0","1030040","3","omp_psn_20"
"","112611","3","","","1","","0","1030041","3","omp_talk_sad"
"","vo_omp_7003","3","","0","0","","","1030042","21","vo_omp_7003_007"
"","112611","3","","1","10","1","","1030043","11","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！"
"","6","3","","","","","","1030044","93","1"
"","112611","3","","","1","","0.2","1030045","3","omp_talk_joy2"
"","1030043","3","","","","","","1030046","91",""
"","112611","3","","","1","","0","1030047","3","omp_idle_joy2"
"","112411","3","","","1","","0","1030048","3","omp_talk_joy2"
"","vo_omp_7003","3","","0","0","","","1030049","21","vo_omp_7003_008"
"","112411","3","","1","10","1","","1030050","11","はい！\n一緒に頑張りましょう！"
"","0","3","","","","","","1030051","91",""
"","0.4","3","","","","","","1030052","93",""
"0","1","4","omp_talk_normal","-180","1600","-195","1.8","1040001","1","105831"
"1","1","4","omp_idle_normal","20","1500","-190","1.8","1040002","1","105931"
"1","1","4","omp_idle_normal","220","1600","-205","1.8","1040003","1","106031"
"","1","4","","0","0","1","1","1040004","31","1"
"","1","4","","","","","","1040005","93",""
"","vo_omp_7004","4","","0","0","","","1040006","21","vo_omp_7004_000"
"","105831","4","","1","10","1","","1040007","11","せっかくですから\nわたしたちもアイドルを\nしてみませんか？"
"","0","4","","","","","","1040008","91",""
"","105831","4","","","1","","0","1040009","3","omp_idle_normal"
"","105931","4","","","1","","0","1040010","3","omp_talk_normal"
"","vo_omp_7004","4","","0","0","","","1040011","21","vo_omp_7004_001"
"","105931","4","","1","10","1","","1040012","11","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです"
"","0","4","","","","","","1040013","91",""
"","105931","4","","","","","","1040014","4","0"
"","105931","4","","","1","","0","1040015","3","omp_idle_normal"
"","106031","4","","omp_idle_surprise1","0","1","0","1040016","3","omp_surprise"
"","vo_omp_7004","4","","0","0","","","1040017","21","vo_omp_7004_002"
"","106031","4","","1","10","1","","1040018","11","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？"
"","2","4","","","","","","1040019","93","1"
"","106031","4","","","1","","0.1","1040020","3","omp_talk_tsun"
"","1040018","4","","","","","","1040021","91",""
"","106031","4","","","1","","0","1040022","3","omp_talk_tsun"
"","vo_omp_7004","4","","0","0","","","1040023","21","vo_omp_7004_003"
"","106031","4","","1","10","1","","1040024","11","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？"
"","0","4","","","","","","1040025","91",""
"","106031","4","","","1","","0","1040026","3","omp_idle_tsun"
"","105931","4","","","1","","0","1040027","3","omp_talk_worry"
"","vo_omp_7004","4","","0","0","","","1040028","21","vo_omp_7004_004"
"","105931","4","","1","10","1","","1040029","11","それはそうでございますが…\n好奇心が勝ってしまいまして"
"","0","4","","","","","","1040030","91",""
"","105931","4","","","","","","1040031","4","1"
"","105931","4","","","1","","0","1040032","3","omp_idle_worry"
"","105831","4","","","1","","0","1040033","3","omp_talk_joy1"
"","vo_omp_7004","4","","0","0","","","1040034","21","vo_omp_7004_005"
"","105831","4","","1","10","1","","1040035","11","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！"
"","5.5","4","","","","","","1040036","93","1"
"","105831","4","","","0","","0.2","1040037","3","omp_psn_11"
"","1040035","4","","","","","","1040038","91",""
"","105931","4","","","1","","0","1040039","3","omp_talk_normal"
"","vo_omp_7004","4","","0","0","","","1040040","21","vo_omp_7004_006"
"","105931","4","","1","10","1","","1040041","11","はい♪\nいえーい、でございます…！"
"","1.5","4","","","","","","1040042","93","1"
"","105931","4","","","0","1","0.2","1040043","3","omp_psn_11"
"","1040041","4","","","","","","1040044","91",""
"","105931","4","","","","","","1040045","4","0"
"","105931","4","","","1","","0","1040046","3","omp_idle_normal"
"","105831","4","","","1","","0.2","1040047","3","omp_idle_joy1"
"","106031","4","","","1","","0","1040048","3","omp_idle_tsun"
"","vo_omp_7004","4","","0","0","","","1040049","21","vo_omp_7004_007"
"","106031","4","","1","10","1","","1040050","11","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪"
"","7","4","","","","","","1040051","93","1"
"","106031","4","","","0","","0.1","1040052","3","omp_psn_12"
"","1.5","4","","","","","","1040053","93",""
"","1040050","4","","","","","","1040054","91",""
"","106031","4","","","1","","0.2","1040055","3","omp_idle_normal"
"","105831","4","","","1","","0","1040056","3","omp_idle_surprise1"
"","vo_omp_7004","4","","0","0","","","1040057","21","vo_omp_7004_008"
"","105831","4","","1","10","1","","1040058","11","キャ、キャルちゃん…"
"","0","4","","","","","","1040059","91",""
"","105831","4","","","1","","0","1040060","3","omp_idle_surprise1"
"","105931","4","","","1","","0","1040061","3","omp_talk_sad"
"","vo_omp_7004","4","","0","0","","","1040062","21","vo_omp_7004_009"
"","105931","4","","1","10","1","","1040063","11","ものすごく、本気でございますね"
"","0","4","","","","","","1040064","91",""
"","105931","4","","","1","","0","1040065","3","omp_idle_sad"
"0.1","106031","4","","omp_talk_surprise2","0","1","0","1040066","3","omp_surprise"
"","vo_omp_7004","4","","0","0","","","1040067","21","vo_omp_7004_010"
"","106031","4","","1","10","1","","1040068","11","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！"
"","6.5","4","","","","","","1040069","93","1"
"","106031","4","","","1","","0.2","1040070","3","omp_talk_tsun"
"","1040068","4","","","","","","1040071","91",""
"","0.4","4","","","","","","1040072","93",""
"0","1","5","omp_talk_joy1","-140","1500","-190","1.8","1050001","1","112611"
"1","1","5","omp_idle_normal","140","1500","-190","1.8","1050002","1","112511"
"","1","5","","0","0","1","1","1050003","31","1"
"","1","5","","","","","","1050004","93",""
"","vo_omp_7005","5","","0","0","","","1050005","21","vo_omp_7005_000"
"","112611","5","","1","10","1","","1050006","11","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！"
"","0","5","","","","","","1050007","91",""
"","112611","5","","","1","","0","1050008","3","omp_idle_joy1"
"","112511","5","","","1","","0","1050009","3","omp_talk_normal"
"","vo_omp_7005","5","","0","0","","","1050010","21","vo_omp_7005_001"
"","112511","5","","1","10","1","","1050011","11","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな"
"","0","5","","","","","","1050012","91",""
"","112511","5","","","1","","0","1050013","3","omp_idle_normal"
"","112611","5","","","1","","0","1050014","3","omp_talk_joy1"
"","vo_omp_7005","5","","0","0","","","1050015","21","vo_omp_7005_002"
"","112611","5","","1","10","1","","1050016","11","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…"
"","6.2","5","","","","","","1050017","93","1"
"","112611","5","","","1","","0.2","1050018","3","omp_talk_thinking"
"","1050016","5","","","","","","1050019","91",""
"","112611","5","","","1","","0","1050020","3","omp_idle_thinking"
"","112511","5","","","1","","0","1050021","3","omp_talk_normal2"
"","vo_omp_7005","5","","0","0","","","1050022","21","vo_omp_7005_003"
"","112511","5","","1","10","1","","1050023","11","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう"
"","0","5","","","","","","1050024","91",""
"","112511","5","","","1","","0","1050025","3","omp_idle_calm"
"","112611","5","","","1","","0.1","1050026","3","omp_talk_sad"
"","vo_omp_7005","5","","0","0","","","1050027","21","vo_omp_7005_004"
"","112611","5","","1","10","1","","1050028","11","し…し…"
"","0","5","","","","","","1050029","91",""
"","112611","5","","","1","","0","1050030","3","omp_idle_sad"
"","112511","5","","","1","","0","1050031","3","omp_psn_19"
"","vo_omp_7005","5","","0","0","","","1050032","21","vo_omp_7005_005"
"","112511","5","","1","10","1","","1050033","11","し…？"
"","0","5","","","","","","1050034","91",""
"","112511","5","","","1","","0","1050035","3","omp_psn_18"
"","112611","5","","","1","","0","1050036","3","omp_talk_sad"
"","vo_omp_7005","5","","0","0","","","1050037","21","vo_omp_7005_006"
"","112611","5","","1","10","1","","1050038","11","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？"
"","4.5","5","","","","","","1050039","93","1"
"","112611","5","","","1","","0.2","1050040","3","omp_talk_surprise2"
"","1050038","5","","","","","","1050041","91",""
"","112611","5","","","1","","0","1050042","3","omp_idle_surprise2"
"","112511","5","","","1","","0","1050043","3","omp_talk_normal"
"","vo_omp_7005","5","","0","0","","","1050044","21","vo_omp_7005_007"
"","112511","5","","1","10","1","","1050045","11","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…"
"","3.5","5","","","","","","1050046","93","1"
"","112511","5","","","1","","0.2","1050047","3","omp_talk_anger"
"","1050045","5","","","","","","1050048","91",""
"","112511","5","","","1","","0","1050049","3","omp_idle_anger"
"","112611","5","","","1","","0","1050050","3","omp_talk_joy1"
"","vo_omp_7005","5","","0","0","","","1050051","21","vo_omp_7005_008"
"","112611","5","","1","10","1","","1050052","11","えへへ、ごめんごめん☆"
"","0","5","","","","","","1050053","91",""
"","112611","5","","","1","","0","1050054","3","omp_idle_joy1"
"","112511","5","","","1","","0","1050055","3","omp_talk_sad"
"","vo_omp_7005","5","","0","0","","","1050056","21","vo_omp_7005_009"
"","112511","5","","1","10","1","","1050057","11","まったく\n…けど、さっきのは\nほんとのことだからね"
"","2","5","","","","","","1050058","93","1"
"","112511","5","","","1","","0.2","1050059","3","omp_talk_normal"
"","1050057","5","","","","","","1050060","91",""
"","112511","5","","","1","","0","1050061","3","omp_idle_normal"
"","112611","5","","","1","","0","1050062","3","omp_talk_joy2"
"","vo_omp_7005","5","","0","0","","","1050063","21","vo_omp_7005_010"
"","112611","5","","1","10","1","","1050064","11","うん！\nありがとっ、しぶりん！"
"","0","5","","","","","","1050065","91",""
"","0.4","5","","","","","","1050066","93",""
"0","1","6","omp_talk_normal","-180","1600","-195","1.8","1060001","1","112511"
"1","1","6","omp_idle_normal","20","1500","-190","1.8","1060002","1","112411"
"1","1","6","omp_idle_normal","220","1600","-205","1.8","1060003","1","112611"
"","1","6","","0","0","1","1","1060004","31","1"
"","1","6","","","","","","1060005","93",""
"","vo_omp_7006","6","","0","0","","","1060006","21","vo_omp_7006_000"
"","112511","6","","1","10","1","","1060007","11","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね"
"","0","6","","","","","","1060008","91",""
"","112511","6","","","1","","0","1060009","3","omp_idle_normal"
"","112611","6","","","1","","0","1060010","3","omp_talk_joy1"
"","vo_omp_7006","6","","0","0","","","1060011","21","vo_omp_7006_001"
"","112611","6","","1","10","1","","1060012","11","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？"
"","0","6","","","","","","1060013","91",""
"","112411","6","","","","","","1060014","4","0"
"","112611","6","","","1","","0","1060015","3","omp_idle_joy1"
"","112411","6","","","1","","0","1060016","3","omp_talk_joy1"
"","vo_omp_7006","6","","0","0","","","1060017","21","vo_omp_7006_002"
"","112411","6","","1","10","1","","1060018","11","えへへっ、ありがとうございます！\nえっと…"
"","0","6","","","","","","1060019","91",""
"","112411","6","","","1","","0","1060020","3","omp_talk_normal"
"","vo_omp_7006","6","","0","0","","","1060021","21","vo_omp_7006_003"
"","112411","6","","1","10","1","","1060022","11","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです"
"","0","6","","","","","","1060023","91",""
"","112411","6","","","1","","0","1060024","3","omp_talk_thinking"
"","vo_omp_7006","6","","0","0","","","1060025","21","vo_omp_7006_004"
"","112411","6","","1","10","1","","1060026","11","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて"
"","0","6","","","","","","1060027","91",""
"","112411","6","","","1","","0","1060028","3","omp_talk_normal2"
"","vo_omp_7006","6","","0","0","","","1060029","21","vo_omp_7006_005"
"","112411","6","","1","10","1","","1060030","11","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…"
"","0","6","","","","","","1060031","91",""
"","112411","6","","","1","","0","1060032","3","omp_idle_calm"
"","112611","6","","","1","","0","1060033","3","omp_talk_sad"
"","vo_omp_7006","6","","0","0","","","1060034","21","vo_omp_7006_006"
"","112611","6","","1","10","1","","1060035","11","しまむー…！"
"","0","6","","","","","","1060036","91",""
"","112411","6","","","","","","1060037","4","1"
"","112611","6","","","1","","0","1060038","3","omp_idle_sad"
"","112511","6","","","1","","0","1060039","3","omp_talk_thinking"
"","vo_omp_7006","6","","0","0","","","1060040","21","vo_omp_7006_007"
"","112511","6","","1","10","1","","1060041","11","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？"
"","0","6","","","","","","1060042","91",""
"","112411","6","","","","","","1060043","4","0"
"","112511","6","","","1","","0","1060044","3","omp_idle_thinking"
"","112611","6","","","1","","0","1060045","3","omp_talk_joy1"
"","vo_omp_7006","6","","0","0","","","1060046","21","vo_omp_7006_008"
"","112611","6","","1","10","1","","1060047","11","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！"
"","0","6","","","","","","1060048","91",""
"","112411","6","","","","","","1060049","4","1"
"","112611","6","","","1","","0","1060050","3","omp_idle_joy1"
"","112411","6","","","1","","0","1060051","3","omp_talk_joy2"
"","vo_omp_7006","6","","0","0","","","1060052","21","vo_omp_7006_009"
"","112411","6","","1","10","1","","1060053","11","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！"
"","1.2","6","","","","","","1060054","93","1"
"","112411","6","","","","","","1060055","4","0"
"","1060053","6","","","","","","1060056","91",""
"","112511","6","","0","-195","1","","1060057","2","-180"
"","112411","6","","0","-190","1","","1060058","2","0"
"","112611","6","","0","-195","1","","1060059","2","180"
"","112511","6","","","0","","0.1","1060060","3","omp_psn_dicision_rin"
"","112411","6","","","0","","0.1","1060061","3","omp_psn_dicision_uduki"
"","112611","6","","","0","","0.1","1060062","3","omp_psn_dicision_mio"
"","2","6","","0","0","1","1","1060063","31","2"
"","1060062","6","","","","","","1060064","91",""
"","0.6","6","","","","","","1060065","93",""
"0","1","7","omp_idle_normal","-100","1600","-205","1.8","1070001","1","105831"
"0","1","7","omp_idle_normal","-390","1600","-225","1.8","1070002","1","105931"
"0","1","7","omp_idle_normal","-260","1500","-190","1.8","1070003","1","106031"
"1","1","7","omp_idle_normal","250","1500","-185","1.8","1070004","1","112511"
"1","1","7","omp_idle_normal","385","1600","-220","1.8","1070005","1","112411"
"1","1","7","omp_idle_normal","100","1600","-195","1.8","1070006","1","112611"
"","1","7","","0","0","1","1","1070007","31","1"
"","0.2","7","","","","","","1070008","93",""
"","112611","7","","","1","","0.1","1070009","3","omp_idle_normal"
"","112411","7","","","1","","0","1070010","3","omp_talk_normal"
"","112511","7","","","1","","0.1","1070011","3","omp_idle_normal"
"","105831","7","","","1","","0.1","1070012","3","omp_idle_normal"
"","0.1","7","","","","","","1070013","93",""
"","1","7","","","","","","1070014","93",""
"","vo_omp_7007","7","","0","0","","","1070015","21","vo_omp_7007_000"
"","112411","7","","1","10","1","","1070016","11","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね"
"","0","7","","","","","","1070017","91",""
"","112411","7","","","1","","0.1","1070018","3","omp_idle_normal"
"","105831","7","","","1","","0.1","1070019","3","omp_talk_normal"
"","vo_omp_7007","7","","0","0","","","1070020","21","vo_omp_7007_001"
"","105831","7","","1","10","1","","1070021","11","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～"
"","0","7","","","","","","1070022","91",""
"","105831","7","","","1","","0","1070023","3","omp_idle_normal"
"","105931","7","","","1","","0","1070024","3","omp_talk_worry"
"","vo_omp_7007","7","","0","0","","","1070025","21","vo_omp_7007_002"
"","105931","7","","1","10","1","","1070026","11","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…"
"","0","7","","","","","","1070027","91",""
"","105931","7","","","1","","0","1070028","3","omp_idle_worry"
"","106031","7","","","1","","0","1070029","3","omp_talk_normal"
"","vo_omp_7007","7","","0","0","","","1070030","21","vo_omp_7007_003"
"","106031","7","","1","10","1","","1070031","11","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！"
"","0","7","","","","","","1070032","91",""
"","106031","7","","","1","","0","1070033","3","omp_idle_normal"
"","112611","7","","","1","","0","1070034","3","omp_talk_worry"
"","vo_omp_7007","7","","0","0","","","1070035","21","vo_omp_7007_004"
"","112611","7","","1","10","1","","1070036","11","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～"
"","0","7","","","","","","1070037","91",""
"","112611","7","","","1","","0","1070038","3","omp_idle_worry"
"","105931","7","","","1","","0","1070039","3","omp_talk_normal2"
"","vo_omp_7007","7","","0","0","","","1070040","21","vo_omp_7007_005"
"","105931","7","","1","10","1","","1070041","11","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました"
"","0","7","","","","","","1070042","91",""
"","105931","7","","","1","","0","1070043","3","omp_idle_calm"
"","112511","7","","","1","","0","1070044","3","omp_talk_normal2"
"","vo_omp_7007","7","","0","0","","","1070045","21","vo_omp_7007_006"
