6d2c5bea61205e0437a3b30624e9d58e2f936642e0e12921daeec09dbaabcfab,408348840faa158d980709b88ef94235e9b9d8a986becb6dc0e8eccebd197651,6f2bb9cbb1300de1c963d127a6cb5cef2dc5ce2ca51bb212d0b334ba12d14d7b,0a6476851af3361832f9b89df0dd19ee2d557bf46535a46aa064827894f0168e,68a627983b49a577ecb6f1accd2ec633734ac33468039064bff15801300b163f,de8d6e42aa1b0b1d53b9d72e003209242f7042807fbe8516c242c6adffb1a0a5,0daa25047475b83fdd9b1fe9748ff82cc38dce6b57fa9cb744518abfc9d55067,2726cb92fd62cdb15f78508f186a26a99960caa0326e79dcf5910ca22dfc2288,312d5cc84661e530a9402d4dcd66a28091125ff28b5c62b8b5d6c1df8a6a428d
"1211002","0","0","21","0","0","0","3000","1211003"
"1211003","30000","0","2","0","2","0","1","-15"
"1213001","30000","0","2","0","2","0","1","-10"
"1213002","30000","0","2","0","2","0","2","-10"
"1214001","1500","0","2","0","2","0","3","-25"
"1216001","3000","0","2","0","2","0","3","-20"
"1218001","30000","0","2","0","1","0","3","20"
"1219001","30000","0","2","0","1","0","3","15"
"1220001","30000","0","2","0","1","0","3","15"
"1221001","30000","0","2","0","1","0","3","15"
"1222001","3000","0","2","0","1","0","2","20"
"1223001","3000","0","2","0","1","0","1","30"
"1224001","3000","0","2","0","1","0","2","15"
"1224002","0","0","21","0","0","0","3000","1224003"
"1224003","30000","0","2","0","1","0","1","20"
"1225001","3000","0","2","0","1","0","2","-10"
"1225002","0","0","21","0","0","0","3000","1225003"
"1225003","30000","0","2","0","2","0","1","-20"
"1227001","30000","0","2","0","2","0","1","-15"
"1227002","30000","0","2","0","2","0","2","-15"
"1228001","1500","0","2","0","2","0","3","-35"
"1229001","30000","0","2","0","1","0","3","20"
"1230001","3000","0","2","0","1","0","2","20"
"1230002","0","0","21","0","0","0","3000","1230003"
"1230003","30000","0","2","0","1","0","1","50"
"1232001","3000","0","2","0","2","0","3","-25"
"1234001","30000","0","2","0","1","0","3","25"
"1235001","30000","0","2","0","1","0","3","20"
"1236001","30000","0","2","0","1","0","3","20"
"1237001","30000","0","2","0","1","0","3","20"
"1238001","3000","0","2","0","1","0","2","25"
"1239001","3000","0","2","0","1","0","1","35"
"1240001","3000","0","2","0","1","0","2","20"
"1240002","0","0","21","0","0","0","3000","1240003"
"1240003","30000","0","2","0","1","0","1","25"
"1241001","3000","0","2","0","1","0","2","-10"
"1241002","0","0","21","0","0","0","3000","1241003"
"1241003","30000","0","2","0","2","0","1","-25"
"1242001","30000","0","2","0","2","0","1","-20"
"1242002","30000","0","2","0","2","0","2","-20"
"1244001","1500","0","2","0","2","0","3","-75"
"1246001","30000","0","2","0","1","0","3","20"
"1247001","30000","0","2","0","1","0","3","30"
"1247002","0","0","21","0","0","0","3000","1247003"
"1247003","3000","0","2","0","1","0","1","25"
"1248001","3000","0","2","0","1","0","1","75"
"1249001","1500","0","2","0","2","0","3","-90"
"2101001","30000","0","2","0","1","0","2","10"
"2102001","30000","0","2","0","1","0","2","10"
"2103001","3000","0","2","0","2","0","2","-15"
"2103002","3000","0","2","0","2","0","3","-15"
"2105001","3000","0","2","0","2","0","3","-25"
"2107001","30000","0","2","0","1","0","3","25"
"2108001","30000","0","2","0","1","0","3","10"
"2109001","30000","0","2","0","1","0","3","10"
"2110001","30000","0","2","0","1","0","3","10"
"2111001","3000","0","2","0","1","0","2","15"
"2112001","3000","0","2","0","1","0","1","25"
"2113001","3000","0","2","0","1","0","2","10"
"2113002","0","0","21","0","0","0","3000","2113003"
"2113003","30000","0","2","0","1","0","1","25"
"2114001","3000","0","2","0","1","0","2","-10"
"2114002","0","0","21","0","1","0","3000","2114003"
"2114003","30000","0","2","0","2","0","1","-25"
"2116001","30000","0","2","0","2","0","1","-10"
"2116002","30000","0","2","0","2","0","2","-10"
"2117001","1500","0","2","0","2","0","3","-50"
"3301001","0","0","21","0","0","0","300","3301002"
"3301002","30","0","20","0","0","20","2","1"
"3301101","1","0","1","0","2","100","1","0"
"3302001","1","0","1","0","2","40","1","0"
"3302002","1","0","1","0","2","60","1","0"
"3303001","1","0","1","0","2","12","1","0"
"3303002","1","0","1","0","2","28","1","0"
"3304001","1","0","1","0","2","40","1","0"
"3304002","1","0","1","0","2","100","1","0"
"3305001","0","0","21","0","0","0","200","3305011"
"3305002","0","0","21","0","0","0","200","3305012"
"3305003","0","0","21","0","0","0","200","3305013"
"3305004","0","0","21","0","0","0","200","3305014"
"3305005","0","0","21","0","0","0","200","3305015"
"3305006","0","0","21","0","0","0","200","3305016"
"3305011","26","0","20","30","0","15","2","1"
"3305012","29","0","20","15","0","8","2","1"
"3305013","30","0","20","0","0","0","2","1"
"3305014","29","0","20","-15","0","-8","2","1"
"3305015","26","0","20","-30","0","-15","2","1"
"3305016","180","0","10","0","1","0","1","30000"
"3305101","1","0","1","0","2","20","1","0"
"3402001","274","0","20","0","0","29","2","1"
"3402101","0","0","11","0","3","0","2000","500000"
"3403001","0","0","21","0","0","0","200","3403002"
"3403002","0","0","10","0","1","0","1","200000"
"4001001","0","0","4","0","3","0","0","0"
"4001002","0","0","1","0","3","0","0","99999"
"4002001","9","9","1","9","3","9","9","99999"
