9a1bc38fbb2882c7b829bdd6b684189070fd106c04b5a5c94d7b31699175d9bc,d7c7fad7f5831ce662fe9c7ceaef9ade0e250e2a099e7991b1738492c452b909,ed5a851cface13d6c5694949b61529de767cbd032c91e5a8fbe7bbb3cb463668,772612226f1160e20917fdd4660bf32e753ab006a84b63aa74f575cde35d1cb2,a6ff0183179235ee059191c5c0d01c331258cf86e40a4a212227285ed056d614,70fa518994ce482e697699947d9bfd125dbc97303010d90bd355bc9079a615ff,18cce0860c025ee6cb9d82c139a98b0b5c0290b203306e4006646a4d2a5bcbde,ea5561d1c3b59da1430c17d3fe7fc631026fad50e590a0917e699923d2b03ea3,76cd657a8fc97e653990886f28cfdad4f0b07668c282d28e56e801ee9b761423,3c9a2f689245ebd49de2bfcb309788537a624107ac0f133e380204617142da4c,764ea2a5f7c41a0ef880ffc5614d3e083ab0937f328f3e9f852f4b3bbdee9081
"psy_talk_sad","0.2","1","","3028","","3","","105511","","3"
"","","","","3029","","3","","3019","","91"
"psy_talk_wish","0.2","1","","3030","","3","","105511","","3"
"vo_minigame_1008_drama_0206","","0","0","3031","","3","","vo_minigame_1008","","21"
"と、とりあえずお金はおいておきますね\n失礼します！","0","8","1","3032","0","3","0","105511","0.5","11"
"1","","","","3033","","3","","2","","93"
"psy_gasagoso_B2","0.2","1","","3034","","3","","105511","","3"
"1","","","","3035","","3","","1","","93"
"psy_pekori","0.2","0","psy_idle_normal","3036","1","3","0.2","105511","","3"
"","","","","3037","","3","","3032","","91"
"0","","","","3038","","3","","105511","","4"
"psy_run","0.2","1","","3039","","3","","105511","","3"
"1000","","-180","3","3040","0","3","","105511","","2"
"","","","","3041","","3","","3","","93"
"","","","","3042","","3","","0.5","","93"
"psy_miyako_idle_thinking","0","1","","3043","","3","","119931","","3"
"","","","","3044","","3","","2","","93"
"0","","","","3045","","3","","119931","","4"
"psy_miyako_run","0.2","1","","3046","","3","","119931","","3"
"0","","-165","2","3047","0","3","","119931","","2"
"","","","","3048","","3","","2","","93"
"psy_miyako_thinking4","0.2","1","","3049","","3","","119931","","3"
"vo_minigame_1008_drama_0201","","0","0","3050","","3","","vo_minigame_1008","","21"
"……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","0","5","1","3051","0","3","0","119931","0.5","11"
"1","","","","3052","","3","","4","","93"
"psy_miyako_panic1","0.2","1","","3053","","3","","119931","","3"
"","","","","3054","","3","","3051","","91"
"0","","","","3055","","3","","0","","22"
"psy_miyako_surprise2_in","0.2","0","psy_miyako_surprise2_loop","3056","1","3","0","119931","","3"
"vo_minigame_1008_drama_0202","","0","0","3057","","3","","vo_minigame_1008","","21"
"……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","0","5","1","3058","0","3","0","119931","1","11"
"1","","","","3059","","3","","4","","93"
"psy_miyako_thinking4","0.2","1","","3060","","3","","119931","","3"
"","","","","3061","","3","","3058","","91"
"0","","","","3062","","3","","0","","22"
"","","","","3063","","3","","1","","93"
"","","","","3064","","3","","0","","91"
"119931","1.7","100","-300","4001","-200","4","0","1","psy_miyako_start","1"
"107131","1.7","100","300","4002","-220","4","1","1","psy_walk","1"
"11","1","0","0","4003","1","4","","1","","31"
"1","1.7","101","-300","4004","-200","4","0","1","psy_smoke_start","5"
"185","","-220","2","4005","0","4","","107131","","2"
"","","","","4006","","4","","2","","93"
"psy_talk_doya","0.2","0","psy_talk_doya_loop","4007","1","4","0.2","107131","","3"
"vo_minigame_1008_drama_0405","","0","0","4008","","4","","vo_minigame_1008","","21"
"この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","0","8","1","4009","0","4","0","107131","0.5","11"
"","","","","4010","","4","","0","","91"
"psy_idle_doya","0.2","1","","4011","","4","","107131","","3"
"psy_talk_sad","0.2","1","","4012","","4","","107131","","3"
"vo_minigame_1008_drama_0406","","0","0","4013","","4","","vo_minigame_1008","","21"
"……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","0","8","1","4014","0","4","0","107131","0.5","11"
"1","","","","4015","","4","","6","","93"
"psy_talk_call","0.2","1","","4016","","4","","107131","","3"
"","","","","4017","","4","","4014","","91"
"psy_idle_arm_crossed","0.2","1","","4018","","4","","107131","","3"
"psy_miyako_appear","0","0","psy_miyako_talk_joy1","4019","1","4","0.2","119931","","3"
"psy_smoke_appear","0","0","psy_smoke_start","4020","0","4","0","1","","3"
"vo_minigame_1008_drama_0401","","0","0","4021","","4","","vo_minigame_1008","","21"
"あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","0","6","1","4022","0","4","0","119931","0.5","11"
"","","","","4023","","4","","0","","91"
"0","","","","4024","","4","","0","","22"
"psy_miyako_idle","0.2","1","","4025","","4","","119931","","3"
"psy_talk_normal","0.2","1","","4026","","4","","107131","","3"
"vo_minigame_1008_drama_0407","","0","0","4027","","4","","vo_minigame_1008","","21"
"おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","0","8","1","4028","0","4","0","107131","0.5","11"
"","","","","4029","","4","","0","","91"
"psy_idle_normal","0.2","1","","4030","","4","","107131","","3"
"psy_miyako_sad1","0.2","1","","4031","","4","","119931","","3"
"vo_minigame_1008_drama_0402","","0","0","4032","","4","","vo_minigame_1008","","21"
"プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","0","6","1","4033","0","4","0","119931","0.5","11"
"1","","","","4034","","4","","5","","93"
"psy_miyako_talk4","0.2","1","","4035","","4","","119931","","3"
"","","","","4036","","4","","4033","","91"
"0","","","","4037","","4","","0","","22"
"psy_miyako_idle2","0.2","1","","4038","","4","","119931","","3"
"psy_ahaha_in","0.2","0","psy_ahaha_loop","4039","1","4","0.2","107131","","3"
"vo_minigame_1008_drama_0408","","0","0","4040","","4","","vo_minigame_1008","","21"
"はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","0","8","1","4041","0","4","0","107131","0.5","11"
"1","","","","4042","","4","","1.7","","93"
"psy_talk_joy1","0.2","1","","4043","","4","","107131","","3"
"","","","","4044","","4","","4041","","91"
"psy_talk_doya","0.2","0","psy_talk_doya_loop","4045","1","4","0.2","107131","","3"
"vo_minigame_1008_drama_0409","","0","0","4046","","4","","vo_minigame_1008","","21"
"なんとしてもおまえからお菓子を\n買わせてもらおう。","0","8","1","4047","0","4","0","107131","0.5","11"
"","","","","4048","","4","","0","","91"
"psy_idle_wish","0.2","1","","4049","","4","","107131","","3"
"psy_miyako_panic1","0.2","1","","4050","","4","","119931","","3"
"vo_minigame_1008_drama_0403","","0","0","4051","","4","","vo_minigame_1008","","21"
"なんでそうなるの！？\nいいから帰れなの！","0","6","1","4052","0","4","0","119931","0.5","11"
"","","","","4053","","4","","0","","91"
"0","","","","4054","","4","","0","","22"
"psy_miyako_idle_panic","0.2","1","","4055","","4","","119931","","3"
"psy_cris_approach_in","0.2","0","psy_cris_approach_loop","4056","1","4","0","107131","","3"
"vo_minigame_1008_drama_0410","","0","0","4057","","4","","vo_minigame_1008","","21"
"ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","0","8","1","4058","0","4","0","107131","0.5","11"
"1","","","","4059","","4","","4","","93"
"psy_talk_arm_crossed","0.2","0","psy_talk_arm_crossed_loop","4060","1","4","0","107131","","3"
"","","","","4061","","4","","4058","","91"
"psy_talk_joy1","0.2","1","","4062","","4","","107131","","3"
"vo_minigame_1008_drama_0411","","0","0","4063","","4","","vo_minigame_1008","","21"
"よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","0","8","1","4064","0","4","0","107131","0.5","11"
"","","","","4065","","4","","0","","91"
"psy_idle_joy1","0.2","1","","4066","","4","","107131","","3"
"psy_miyako_anger2","0.2","1","","4067","","4","","119931","","3"
"vo_minigame_1008_drama_0404","","0","0","4068","","4","","vo_minigame_1008","","21"
"な、なんでそうなるのーー！？","0","6","1","4069","0","4","0","119931","0.5","11"
"","","","","4070","","4","","4","","93"
"","","","","4071","","4","","0","","91"
"119931","1.7","100","-300","5001","-200","5","0","1","psy_miyako_start","1"
"104931","1.7","100","300","5002","-220","5","1","1","psy_walk","1"
"11","1","0","0","5003","1","5","","1","","31"
"1","1.7","101","-300","5004","-200","5","0","1","psy_smoke_start","5"
"185","","-220","2","5005","0","5","","104931","","2"
"","","","","5006","","5","","2","","93"
"psy_talk_wish","0.2","1","","5007","","5","","104931","","3"
"vo_minigame_1008_drama_0504","","0","0","5008","","5","","vo_minigame_1008","","21"
"ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","0","8","1","5009","0","5","0","104931","0.5","11"
"1","","","","5010","","5","","4.3","","93"
"psy_talk_joy1","0.2","1","","5011","","5","","104931","","3"
"","","","","5012","","5","","5009","","91"
"psy_idle_joy1","0.2","1","","5013","","5","","104931","","3"
"psy_miyako_appear","0","0","psy_miyako_talk3","5014","1","5","0.2","119931","","3"
"psy_smoke_appear","0","0","psy_smoke_start","5015","0","5","0","1","","3"
"vo_minigame_1008_drama_0501","","0","0","5016","","5","","vo_minigame_1008","","21"
"うるさいの。\nいきなりなんなの？","0","6","1","5017","0","5","0","119931","0.5","11"
"","","","","5018","","5","","0","","91"
"0","","","","5019","","5","","0","","22"
"psy_miyako_idle","0.2","1","","5020","","5","","119931","","3"
"psy_talk_joy1","0.2","1","","5021","","5","","104931","","3"
"vo_minigame_1008_drama_0505","","0","0","5022","","5","","vo_minigame_1008","","21"
"あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","0","8","1","5023","0","5","0","104931","0.5","11"
"","","","","5024","","5","","4","","93"
"psy_talk_wish","0.2","1","","5025","","5","","104931","","3"
"","","","","5026","","5","","5023","","91"
"","","","","5027","","5","","0","","91"
"psy_idle_wish","0.2","1","","5028","","5","","104931","","3"
"psy_miyako_anger3","0.2","1","","5029","","5","","119931","","3"
"vo_minigame_1008_drama_0502","","0","0","5030","","5","","vo_minigame_1008","","21"
"オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","0","6","1","5031","0","5","0","119931","0.5","11"
"1","","","","5032","","5","","5","","93"
"psy_miyako_arm_crossed_in","0.2","0","psy_miyako_arm_crossed_loop","5033","1]","5","0","119931","","3"
"","","","","5034","","5","","5031","","91"
"0","","","","5035","","5","","0","","22"
"psy_miyako_arm_crossed_idle","0.2","1","","5036","","5","","119931","","3"
"psy_talk_wish","0.2","1","","5037","","5","","104931","","3"
"vo_minigame_1008_drama_0506","","0","0","5038","","5","","vo_minigame_1008","","21"
"どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","0","8","1","5039","0","5","0","104931","0.5","11"
"","","","","5040","","5","","0","","91"
"psy_talk_joy2","0.2","1","","5041","","5","","104931","","3"
"vo_minigame_1008_drama_0507","","0","0","5042","","5","","vo_minigame_1008","","21"
"よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","0","8","1","5043","0","5","0","104931","0.5","11"
"","","","","5044","","5","","0","","91"
"psy_talk_memory","0.2","1","","5045","","5","","104931","","3"
"vo_minigame_1008_drama_0508","","0","0","5046","","5","","vo_minigame_1008","","21"
"まずはそう、運命の出会いから……","0","8","1","5047","0","5","0","104931","0.5","11"
"","","","","5048","","5","","0","","91"
"psy_idle_memory","0.2","1","","5049","","5","","104931","","3"
"psy_miyako_sad1","0.2","1","","5050","","5","","119931","","3"
"vo_minigame_1008_drama_0503","","0","0","5051","","5","","vo_minigame_1008","","21"
"（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","0","6","1","5052","0","5","0","119931","0.5","11"
"","","","","5053","","5","","0","","91"
"0","","","","5054","","5","","0","","22"
"psy_miyako_hide","0.2","0","","5055","","5","","119931","","3"
"psy_smoke_hide","0","0","psy_smoke_start","5056","0","5","0","1","","3"
"","","","","5057","","5","","2","","93"
"","","","","5058","","5","","0","","91"
"119931","1.7","100","-300","6001","-200","6","1","1","psy_miyako_idle_thinking","1"
"103131","1.7","100","300","6002","-220","6","1","1","psy_walk","1"
"11","1","0","0","6003","1","6","","1","","31"
"17","0","2","0","6004","0","6","0","119931","0","12"
"185","","-220","2","6005","0","6","","103131","","2"
"","","","","6006","","6","","2","","93"
"psy_talk_wish","0.2","1","","6007","","6","","103131","","3"
"vo_minigame_1008_drama_0605","","0","0","6008","","6","","vo_minigame_1008","","21"
"こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","0","8","1","6009","0","6","0","103131","0.5","11"
"","","","","6010","","6","","0","","91"
"psy_idle_wish","0.2","1","","6011","","6","","103131","","3"
"0","","","","6012","","6","","119931","","4"
"psy_miyako_surprise2_in","0.2","0","psy_miyako_talk_joy2","6013","1","6","0.2","119931","","3"
"","","","","6014","","6","","1","","93"
"vo_minigame_1008_drama_0601","","0","0","6015","","6","","vo_minigame_1008","","21"
"シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","0","6","1","6016","0","6","0","119931","0.5","11"
"1","","","","6017","","6","","3","","93"
"psy_miyako_talk2","0.2","1","","6018","","6","","119931","","3"
"","","","","6019","","6","","6016","","91"
"0","","","","6020","","6","","0","","22"
"psy_miyako_idle_sad","0.2","1","","6021","","6","","119931","","3"
"psy_talk_sad","0.2","1","","6022","","6","","103131","","3"
"vo_minigame_1008_drama_0606","","0","0","6023","","6","","vo_minigame_1008","","21"
"どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","0","8","1","6024","0","6","0","103131","0.5","11"
"","","","","6025","","6","","0","","91"
"psy_idle_sad","0.2","1","","6026","","6","","103131","","3"
"psy_miyako_panic3","0.2","1","","6027","","6","","119931","","3"
"vo_minigame_1008_drama_0602","","0","0","6028","","6","","vo_minigame_1008","","21"
"違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","0","5","1","6029","0","6","0","119931","0.5","11"
"1","","","","6030","","6","","5.5","","93"
"psy_miyako_sad2","0.2","1","","6031","","6","","119931","","3"
"","","","","6032","","6","","6029","","91"
"0","","","","6033","","6","","0","","22"
"psy_miyako_idle_sad","0.2","1","","6034","","6","","119931","","3"
"psy_surprise","0.2","0","psy_talk_surprise1","6035","1","6","0.2","103131","","3"
"vo_minigame_1008_drama_0607","","0","0","6036","","6","","vo_minigame_1008","","21"
"ミヤコさんが……自分で……\nプリンを……","0","8","1","6037","0","6","0","103131","0.5","11"
"","","","","6038","","6","","0","","91"
"psy_idle_surprise1","0.2","1","","6039","","6","","103131","","3"
"psy_miyako_talk2","0.2","1","","6040","","6","","119931","","3"
"vo_minigame_1008_drama_0603","","0","0","6041","","6","","vo_minigame_1008","","21"
"どうしたの？","0","6","1","6042","0","6","0","119931","0.5","11"
"","","","","6043","","6","","0","","91"
"0","","","","6044","","6","","0","","22"
"psy_miyako_idle","0.2","1","","6045","","6","","119931","","3"
"psy_talk_joy1","0.2","1","","6046","","6","","103131","","3"
"vo_minigame_1008_drama_0608","","0","0","6047","","6","","vo_minigame_1008","","21"
"ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","0","8","1","6048","0","6","0","103131","0.5","11"
"1","","","","6049","","6","","4","","93"
"psy_talk_wish","0.2","1","","6050","","6","","103131","","3"
"","","","","6051","","6","","6048","","91"
"psy_idle_wish","0.2","1","","6052","","6","","103131","","3"
"psy_miyako_joy1","0.2","1","","6053","","6","","119931","","3"
"vo_minigame_1008_drama_0604","","0","0","6054","","6","","vo_minigame_1008","","21"
"ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","0","6","1","6055","0","6","0","119931","0.5","11"
"1","","","","6056","","6","","5","","93"
"psy_miyako_guts1_in","0.2","0","psy_miyako_guts1_loop","6057","1","6","0","119931","","3"
"","","","","6058","","6","","6055","","91"
"0","","","","6059","","6","","0","","22"
"","","","","6060","","6","","1.5","","93"
"","","","","6061","","6","","0","","91"
"119931","1.7","100","-200","7001","-200","7","0","1","psy_miyako_idle","1"
"1","1.7","100","125","7002","-220","7","0","1","psy_fairy_idle","5"
"11","1","0","0","7003","1","7","","1","","31"
"","","","","7004","","7","","2","","93"
