87995bc8781a1c59c19437b3df9bb20d783426c9112d12e3a1b75e106b96a749,dae5e924d04080829a5f570b4e1b9bbfb6dbcf0798c7cea82366b1f1bcd50f24,e0d3316e4983512874a9a4c0983c4ce9ec6e2dee711c2790cd6321ed989b260b,77f77ddf832453d753b4c6433d842de58d6e3ed8b84332f9ff1f39968b6db902,6157812d9093cadf86de1edb4928dcddf259b3f557148cdb1deeda64d49fcf50,e52da1c305b0d2cc92a312a1c827dfe6544a0b6e599c81a28d9d6c0e0b0ac25e,fcc7c390766736e95e68b3aeecf65bae8360acf4c39b6a15afba4ae69c12b5a8,ed78027f89c7d9707d9a43a7c7971c55cd7f97ac61d583f59e0628fcaf02cd04,fcb7473b2fbeed728c2ca96dee4d309cd77bda906e026ddcd3d05103e1972716
"20001","3600","3","15","","2","1","5",""
"20002","9600","3","6","","2","1","6",""
"20002","7200","3","8","","2","1","7",""
"20002","4800","3","12","","2","1","8",""
"20002","3600","3","16","","2","1","9",""
"20002","2700","3","20","","2","1","10",""
"20003","10800","3","6","","2","1","11",""
"20003","9000","3","8","","2","1","12",""
"20003","7200","3","12","","2","1","13",""
"20003","5400","3","16","","2","1","14",""
"20003","3600","3","20","","2","1","15",""
"20003","2880","3","30","","2","1","16",""
"20004","12600","3","7","","2","1","17",""
"20004","11400","3","8","","2","1","18",""
"20004","10200","3","9","","2","1","19",""
"20004","9300","3","10","","2","1","20",""
"20004","8700","3","10","","2","1","21",""
"20004","6600","3","13","","2","1","22",""
"20004","6300","3","14","","2","1","23",""
"20004","6000","3","15","","2","1","24",""
"20004","5700","3","15","","2","1","25",""
"20004","5400","3","16","","2","1","26",""
"20004","5100","3","17","","2","1","27",""
"20004","4860","3","18","","2","1","28",""
"20004","4620","3","19","","2","1","29",""
"20004","4440","3","20","","2","1","30",""
"20004","4260","3","21","","2","1","31",""
"20004","4080","3","22","","2","1","32",""
"20004","3960","3","22","","2","1","33",""
"20004","3840","3","23","","2","1","34",""
"20004","3720","3","24","","2","1","35",""
"20004","3600","3","24","","2","1","36",""
"20004","3480","3","25","","2","1","37",""
"94002","21600","4","12000","","12","3000","1",""
"94002","21600","4","18000","","12","4500","2",""
"94002","21600","4","24000","","12","6000","3",""
"94002","21600","4","30000","","12","7500","4",""
"94002","21600","4","42000","","12","10500","5",""
"94002","21600","4","54000","","12","13500","6",""
"94002","21600","4","66000","","12","16500","7",""
"94002","21600","4","84000","","12","21000","8",""
"94002","21600","4","102000","","12","25500","9",""
"94002","21600","4","120000","","12","30000","10",""
"94002","21600","4","144000","","12","36000","11",""
"94002","21600","4","168000","","12","42000","12",""
"94002","21600","4","192000","","12","48000","13",""
"94002","21600","4","222000","","12","55500","14",""
"94002","21600","4","252000","","12","63000","15",""
"94002","21600","4","282000","","12","70500","16",""
"94002","21600","4","318000","","12","79500","17",""
"94002","21600","4","354000","","12","88500","18",""
"94002","21600","4","390000","","12","97500","19",""
"94002","21600","4","432000","","12","108000","20",""
"94002","21600","4","474000","","12","118500","21",""
"94002","21600","4","516000","","12","129000","22",""
"94002","21600","4","562000","","12","140500","23",""
"94002","21600","4","600000","","12","150000","24",""
"94002","21600","4","642000","","12","160500","25",""
"94002","21600","4","684000","","12","171000","26",""
"94002","21600","4","726000","","12","181500","27",""
"94002","21600","4","768000","","12","192000","28",""
"94002","21600","4","810000","","12","202500","29",""
"94002","21600","4","852000","","12","213000","30",""
"94002","21600","4","894000","","12","223500","31",""
"94002","21600","4","920000","","12","230000","32",""
"94002","21600","4","940000","","12","235000","33",""
"94002","21600","4","960000","","12","240000","34",""
"94002","21600","4","980000","","12","245000","35",""
"94002","21600","4","1000000","","12","250000","36",""
"94002","21600","4","1020000","","12","255000","37",""
"93001","21600","5","48","","6","12","1",""
"93001","21600","6","48","","6","12","1",""
"93001","21600","7","48","","6","12","1",""
"93001","21600","8","48","","6","12","1",""
"93001","21600","11","48","","6","12","1",""
"93001","21600","12","48","","6","12","1",""
"93001","21600","19","48","","6","12","1",""
"0","0","23","0","4999999999","0","1","0","14999999999"
"93001","21600","25","48","","6","12","1",""
"93001","21600","28","48","","6","12","1",""
"93001","21600","30","48","","6","12","1",""
