fa69314f3eb88dae4f57db6cb0765f86790b8f61e8912fe6d7a179f81362657f,540028fd4c4f4601adb6c4900e0964c3ae1bb38e74f9e9ea63cf58f097f5c618,061af2913efa43e657aef6c0a2f62848060255ba6a8440d4d26d6a0375a8c0eb,b373bef911d4dcc3845b28ee4b181652acc79abe9ce4d7915f141e12bbfca673,d241a1d56c151af578d8ab3fa93d7dc0cf7595b5c23eda430e3a9617ce3f8086,92dc58d96ebbe2baf2dad9903ff441b0dc7584631f4e7c1c461a88cbd8f4670c,ff93ae0dbbf9b1c452aaf574c9dae0cf6f4a88b568a0b1d1f0a03629d742c2e2,3aa373320c34f5fd5d640fea08b3ef1b39748e599273dc662c8136ee62d8b638,c1041a2743e9dd4d2efe769265198dc6b7304de96f69d006fe7be1ead6920dc4,ba5128d426c3874d6ce7bbd131169b28e27fa966adade79905682a9d686debf1,7b7591cead7b996938934993c58b0a01ac2432f7a067ec9217da7fa3eb8377c4
"301","","1050","<unit_id>","10","","2","","","-180","13010006"
"301","","1050","1","10","","2","","","-180","13010007"
"301","","1050","1","10","","33","","","-180","13010008"
"302","","se_fpc_water_random","se_10053800","","","23","","","","13020001"
"302","1.75","<unit_id>","1","-850","0","1","cmn_swm_flutterKick_floatRing","-180","23","13020002"
"302","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatRing_blue","-180","22","13020003"
"302","1","1","1","-180","","31","","1","-850","13020004"
"302","","0","0","","","91","","","","13020005"
"302","","1050","<unit_id>","10","","2","","","-180","13020006"
"302","","1050","1","10","","2","","","-180","13020007"
"302","","1050","1","10","","33","","","-180","13020008"
"303","","se_fpc_water_random","se_10053800","","","23","","","","13030001"
"303","1.75","<unit_id>","1","-850","0","1","cmn_swm_flutterKick_floatRing","-180","23","13030002"
"303","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatRing","-180","22","13030003"
"303","1","1","1","-180","","31","","1","-850","13030004"
"303","","0","0","","","91","","","","13030005"
"303","","1050","<unit_id>","10","","2","","","-180","13030006"
"303","","1050","1","10","","2","","","-180","13030007"
"303","","1050","1","10","","33","","","-180","13030008"
"351","","se_fpc_water_random","se_10053800","","","23","","","","13510001"
"351","1.75","<unit_id>","1","-850","0","1","cmn_swm_flutterKick_floatRing","-180","23","13510002"
"351","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatBoad","-180","22","13510003"
"351","1","1","1","-180","","31","","1","-850","13510004"
"351","","0","0","","","91","","","","13510005"
"351","","1050","<unit_id>","10","","2","","","-180","13510006"
"351","","1050","1","10","","2","","","-180","13510007"
"351","","1050","1","10","","33","","","-180","13510008"
"352","","se_fpc_water_random","se_10053800","","","23","","","","13520001"
"352","1.75","<unit_id>","1","-850","0","1","cmn_swm_flutterKick_floatRing","-180","23","13520002"
"352","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatBoad_blue","-180","22","13520003"
"352","1","1","1","-180","","31","","1","-850","13520004"
"352","","0","0","","","91","","","","13520005"
"352","","1050","<unit_id>","10","","2","","","-180","13520006"
"352","","1050","1","10","","2","","","-180","13520007"
"352","","1050","1","10","","33","","","-180","13520008"
"401","","se_fpc_water_random","se_10053800","","","23","","","","14010001"
"401","1.75","<unit_id>","1","-850","0","1","cmn_float","-180","22","14010002"
"401","1","6","6","-180","","31","","1","-850","14010003"
"401","","0","0","","","91","","","","14010004"
"401","","1050","<unit_id>","10","","2","","","-180","14010005"
"401","","1050","6","10","","33","","","-180","14010006"
"402","","se_fpc_water_random","se_10053800","","","23","","","","14020001"
"402","1.75","<unit_id>","1","-850","0","1","cmn_float_4","-180","22","14020002"
"402","1","6","6","-180","","31","","1","-850","14020003"
"402","","0","0","","","91","","","","14020004"
"402","","1050","<unit_id>","10","","2","","","-180","14020005"
"402","","1050","6","10","","33","","","-180","14020006"
"451","","se_fpc_water_random","se_10053800","","","23","","","","14510001"
"451","1.75","<unit_id>","1","-850","0","1","cmn_crawl","-180","22","14510002"
"451","1","1","1","-180","","31","","1","-850","14510003"
"451","","0","0","","","91","","","","14510004"
"451","","1050","<unit_id>","10","","2","","","-180","14510005"
"451","","1050","1","10","","33","","","-180","14510006"
"501","","se_fpc_water_random","se_10053800","","","23","","","","15010001"
"501","1.75","<unit_id>","1","-850","0","1","cmn_surfing","-250","45","15010002"
"501","1.75","6","6","-850","0","5","cmn_surfing","-250","44","15010003"
"501","1","11","11","-250","","31","","1","-850","15010004"
"501","","0","0","","","91","","","","15010005"
"501","","1800","<unit_id>","6","","2","","","-250","15010006"
"501","","1800","6","6","","2","","","-250","15010007"
"501","","1800","11","6","","33","","","-250","15010008"
"501","","se_10053800_surfing_wave","se_10053800","","","23","","","","15010009"
"851","","se_fpc_water_random","se_10053800","","","23","","","","18510001"
"851","1.75","107511","1","-850","0","1","cmn_surfing","-125","45","18510002"
"851","1.75","107611","1","-1100","0","1","cmn_surfing","-250","45","18510003"
"851","1.75","107811","1","-1350","0","1","cmn_surfing","-125","45","18510004"
"851","1.75","1","6","-850","0","5","cmn_surfing","-125","44","18510005"
"851","1.75","2","6","-1100","0","5","cmn_surfing","-250","44","18510006"
"851","1.75","3","6","-1350","0","5","cmn_surfing","-125","44","18510007"
"851","1","1","11","-125","","31","","1","-850","18510008"
"851","1","2","11","-250","","31","","1","-1100","18510009"
"851","1","3","11","-125","","31","","1","-1350","18510010"
"851","","2350","107511","6","","2","","","-125","18510011"
"851","","2100","107611","6","","2","","","-250","18510012"
"851","","1850","107811","6","","2","","","-125","18510013"
"851","","2350","1","6","","2","","","-125","18510014"
"851","","2100","2","6","","2","","","-250","18510015"
"851","","1850","3","6","","2","","","-125","18510016"
"851","","2350","1","6","","33","","","-125","18510017"
"851","","2100","2","6","","33","","","-250","18510018"
"851","","1850","3","6","","33","","","-125","18510019"
"851","","se_10053800_surfing_wave","se_10053800","","","23","","","","18510020"
"851","","","0.3","","","93","","","","18510021"
"851","","vo_fpc_85101","vo_fpc","0","","21","","","","18510022"
"852","","se_fpc_water_random","se_10053800","","","23","","","","18520001"
"852","1.75","122411","1","-850","0","1","cmn_swm_flutterKick_floatRing","-125","13","18520002"
"852","1.75","122511","1","-1100","0","1","cmn_swm_flutterKick_floatRing","-250","33","18520003"
"852","1.75","122611","1","-1350","0","1","cmn_swm_flutterKick_floatRing","-125","13","18520004"
"852","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatRing","-125","12","18520005"
"852","1.75","2","1","-1100","0","5","cmn_swm_flutterKick_floatRing_blue","-250","32","18520006"
"852","1.75","3","1","-1350","0","5","cmn_swm_flutterKick_floatRing_pink","-125","12","18520007"
"852","1","1","7","-125","","31","","1","-850","18520008"
"852","1","2","1","-250","","31","","1","-1100","18520009"
"852","1","3","7","-125","","31","","1","-1350","18520010"
"852","","1750","122411","10","","2","","","-125","18520011"
"852","","1500","122511","10","","2","","","-250","18520012"
"852","","1250","122611","10","","2","","","-125","18520013"
"852","","1750","1","10","","2","","","-125","18520014"
"852","","1500","2","10","","2","","","-250","18520015"
"852","","1250","3","10","","2","","","-125","18520016"
"852","","1750","1","10","","33","","","-125","18520017"
"852","","1500","2","10","","33","","","-250","18520018"
"852","","1250","3","10","","33","","","-125","18520019"
"853","","se_fpc_water_random","se_10053800","","","23","","","","18530001"
"853","1.75","117211","1","-850","0","1","cmn_swm_breastStroke","-125","12","18530002"
"853","1.75","117311","1","-1100","0","1","cmn_swm_breastStroke","-250","32","18530003"
"853","1.75","117411","1","-1350","0","1","cmn_swm_breastStroke","-125","12","18530004"
"853","1","1","2","-125","","31","","1","-850","18530005"
"853","1","2","2","-250","","31","","1","-1100","18530006"
"853","1","3","2","-125","","31","","1","-1350","18530007"
"853","","1750","117211","10","","2","","","-125","18530008"
"853","","1500","117311","10","","2","","","-250","18530009"
"853","","1250","117411","10","","2","","","-125","18530010"
"853","","1750","1","10","","33","","","-125","18530011"
"853","","1500","2","10","","33","","","-250","18530012"
"853","","1250","3","10","","33","","","-125","18530013"
"854","","se_fpc_water_random","se_10053800","","","23","","","","18540001"
"854","1.75","122711","1","-850","0","1","cmn_swm_flutterKick_floatRing","-125","13","18540002"
"854","1.75","122811","1","-1100","0","1","cmn_swm_flutterKick_floatRing","-250","33","18540003"
"854","1.75","122911","1","-1350","0","1","cmn_swm_flutterKick_floatRing","-125","13","18540004"
"854","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatBoad","-125","12","18540005"
"854","1.75","2","1","-1100","0","5","cmn_swm_flutterKick_floatBoad_blue","-250","32","18540006"
"854","1.75","3","1","-1350","0","5","cmn_swm_flutterKick_floatBoad","-125","12","18540007"
"854","1","1","7","-125","","31","","1","-850","18540008"
"854","1","2","1","-250","","31","","1","-1100","18540009"
"854","1","3","7","-125","","31","","1","-1350","18540010"
"854","","1750","122711","10","","2","","","-125","18540011"
"854","","1500","122811","10","","2","","","-250","18540012"
"854","","1250","122911","10","","2","","","-125","18540013"
"854","","1750","1","10","","2","","","-125","18540014"
"854","","1500","2","10","","2","","","-250","18540015"
"854","","1250","3","10","","2","","","-125","18540016"
"854","","1750","1","10","","33","","","-125","18540017"
"854","","1500","2","10","","33","","","-250","18540018"
"854","","1250","3","10","","33","","","-125","18540019"
"855","","se_fpc_water_random","se_10053800","","","23","","","","18550001"
"855","1.75","113411","1","-850","0","1","cmn_swm_flutterKick_floatRing","-125","13","18550002"
"855","1.75","113511","1","-1100","0","1","cmn_swm_flutterKick_floatRing","-250","33","18550003"
"855","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatBoad","-125","12","18550004"
"855","1.75","2","1","-1100","0","5","cmn_swm_flutterKick_floatBoad_blue","-250","32","18550005"
"855","1","1","7","-125","","31","","1","-850","18550006"
"855","1","2","1","-250","","31","","1","-1100","18550007"
"855","","1750","113411","10","","2","","","-125","18550008"
"855","","1500","113511","10","","2","","","-250","18550009"
"855","","1750","1","10","","2","","","-125","18550010"
"855","","1500","2","10","","2","","","-250","18550011"
"855","","1750","1","10","","33","","","-125","18550012"
"855","","1500","2","10","","33","","","-250","18550013"
"856","","se_fpc_water_random","se_10053800","","","23","","","","18560001"
"856","1.75","110311","1","-850","0","1","cmn_swm_tread","-125","13","18560002"
"856","1.75","107711","1","-1100","0","1","cmn_swm_tread","-250","33","18560003"
"856","1.75","1","1","-850","0","5","cmn_swm_tread_pink","-125","12","18560004"
"856","1.75","2","1","-1100","0","5","cmn_swm_tread","-250","32","18560005"
"856","1","1","13","-125","","31","","1","-850","18560006"
"856","1","2","3","-250","","31","","1","-1100","18560007"
"856","","1750","110311","13.5","","2","","","-125","18560008"
"856","","1500","107711","13.5","","2","","","-250","18560009"
"856","","1750","1","13.5","","2","","","-125","18560010"
"856","","1500","2","13.5","","2","","","-250","18560011"
"856","","1750","1","13.5","","33","","","-125","18560012"
"856","","1500","2","13.5","","33","","","-250","18560013"
"857","","se_fpc_water_random","se_10053800","","","23","","","","18570001"
"857","1.75","110411","1","-850","0","1","cmn_swm_tread","-125","13","18570002"
"857","1.75","110511","1","-1100","0","1","cmn_swm_tread","-250","33","18570003"
"857","1.75","115711","1","-1350","0","1","cmn_swm_tread","-125","13","18570004"
"857","1.75","110611","1","-1600","0","1","cmn_boat_relax","-250","33","18570005"
"857","1.75","1","1","-850","0","5","cmn_swm_tread_blue","-125","12","18570006"
"857","1.75","2","1","-1100","0","5","cmn_swm_tread","-250","32","18570007"
"857","1.75","3","1","-1350","0","5","cmn_swm_tread_pink","-125","12","18570008"
"857","1.75","4","2","-1600","0","5","cmn_boat_idle_l","-250","32","18570009"
"857","1","1","13","-125","","31","","1","-850","18570010"
"857","1","2","3","-250","","31","","1","-1100","18570011"
"857","1","3","13","-125","","31","","1","-1350","18570012"
"857","1","4","116","-250","","31","","1","-1600","18570013"
"857","","1750","110411","13.5","","2","","","-125","18570014"
"857","","1500","110511","13.5","","2","","","-250","18570015"
"857","","1250","115711","13.5","","2","","","-125","18570016"
"857","","1000","110611","13.5","","2","","","-250","18570017"
"857","","1750","1","13.5","","2","","","-125","18570018"
"857","","1500","2","13.5","","2","","","-250","18570019"
"857","","1250","3","13.5","","2","","","-125","18570020"
"857","","1000","4","13.5","","2","","","-250","18570021"
"857","","1750","1","13.5","","33","","","-125","18570022"
"857","","1500","2","13.5","","33","","","-250","18570023"
"857","","1250","3","13.5","","33","","","-125","18570024"
"857","","1000","4","13.5","","33","","","-250","18570025"
"858","","se_fpc_water_random","se_10053800","","","23","","","","18580001"
"858","1.75","126711","1","-850","0","1","cmn_swm_tread","-125","13","18580002"
"858","1.75","126711","1","-850","0","1","cmn_swm_tread","-125","13","18580003"
"858","1.75","126811","1","-1100","0","1","cmn_swm_tread","-250","33","18580004"
"858","1.75","108011","1","-1350","0","1","cmn_swm_tread","-125","13","18580005"
"858","1.75","107911","1","-1600","0","1","cmn_boat_cat","-250","33","18580006"
"858","1.75","1","1","-850","0","5","cmn_swm_tread_pink","-125","12","18580007"
"858","1.75","2","1","-1100","0","5","cmn_swm_tread","-250","32","18580008"
"858","1.75","3","1","-1350","0","5","cmn_swm_tread_blue","-125","12","18580009"
"858","1.75","4","2","-1600","0","5","cmn_boat_idle_l","-250","32","18580010"
"858","1","1","13","-125","","31","","1","-850","18580011"
"858","1","2","3","-250","","31","","1","-1100","18580012"
"858","1","3","13","-125","","31","","1","-1350","18580013"
"858","1","4","116","-250","","31","","1","-1600","18580014"
"858","","1750","126711","13.5","","2","","","-125","18580015"
"858","","1500","126811","13.5","","2","","","-250","18580016"
"858","","1250","108011","13.5","","2","","","-125","18580017"
"858","","1000","107911","13.5","","2","","","-250","18580018"
"858","","1750","1","13.5","","2","","","-125","18580019"
"858","","1500","2","13.5","","2","","","-250","18580020"
"858","","1250","3","13.5","","2","","","-125","18580021"
"858","","1000","4","13.5","","2","","","-250","18580022"
"858","","1750","1","13.5","","33","","","-125","18580023"
"858","","1500","2","13.5","","33","","","-250","18580024"
"858","","1250","3","13.5","","33","","","-125","18580025"
"858","","1000","4","13.5","","33","","","-250","18580026"
"859","","se_fpc_water_random","se_10053800","","","23","","","","18590001"
"859","1.75","113111","1","-850","0","1","cmn_surfing","-125","45","18590002"
"859","1.75","113211","1","-1100","0","1","cmn_surfing","-250","45","18590003"
"859","1.75","113311","1","-1350","0","1","cmn_surfing","-125","45","18590004"
"859","1.75","117011","1","-1600","0","1","cmn_surfing","-250","45","18590005"
"859","1.75","1","6","-850","0","5","cmn_surfing","-125","44","18590006"
"859","1.75","2","6","-1100","0","5","cmn_surfing","-250","44","18590007"
"859","1.75","3","6","-1350","0","5","cmn_surfing","-125","44","18590008"
"859","1.75","4","6","-1600","0","5","cmn_surfing","-250","44","18590009"
"859","1","1","11","-125","","31","","1","-850","18590010"
"859","1","2","11","-250","","31","","1","-1100","18590011"
"859","1","3","11","-125","","31","","1","-1350","18590012"
"859","1","4","11","-250","","31","","1","-1600","18590013"
"859","","2350","113111","6","","2","","","-125","18590014"
"859","","2100","113211","6","","2","","","-250","18590015"
"859","","1850","113311","6","","2","","","-125","18590016"
"859","","1600","117011","6","","2","","","-250","18590017"
"859","","2350","1","6","","2","","","-125","18590018"
"859","","2100","2","6","","2","","","-250","18590019"
"859","","1850","3","6","","2","","","-125","18590020"
"859","","1600","4","6","","2","","","-250","18590021"
"859","","2350","1","6","","33","","","-125","18590022"
"859","","2100","2","6","","33","","","-250","18590023"
"859","","1850","3","6","","33","","","-125","18590024"
"859","","1600","4","6","","33","","","-250","18590025"
"859","","se_10053800_surfing_wave","se_10053800","","","23","","","","18590026"
"859","","","0.3","","","93","","","","18590027"
"859","","vo_fpc_85901","vo_fpc","0","","21","","","","18590028"
"860","","se_fpc_water_random","se_10053800","","","23","","","","18600001"
"860","1.75","110011","1","-850","0","1","cmn_boat_relax_l","-180","23","18600002"
"860","1.75","110111","1","-1200","0","1","cmn_boat_relax","-180","23","18600003"
"860","1.75","1","2","-850","0","5","cmn_boat_idle_blue","-180","22","18600004"
"860","1.75","2","2","-1200","0","5","cmn_boat_idle_l","-180","22","18600005"
"860","1","1","116","-180","","31","","1","-850","18600006"
"860","1","2","116","-180","","31","","1","-1200","18600007"
"860","","1750","110011","13.5","","2","","","-180","18600008"
"860","","1400","110111","13.5","","2","","","-180","18600009"
"860","","1750","1","13.5","","2","","","-180","18600010"
"860","","1400","2","13.5","","2","","","-180","18600011"
"860","","1750","1","13.5","","33","","","-180","18600012"
"860","","1400","2","13.5","","33","","","-180","18600013"
"860","","","2.7","","","93","","","","18600014"
"860","","vo_fpc_86001","vo_fpc","0","","21","","","","18600015"
"861","","se_fpc_water_random","se_10053800","","","23","","","","18610001"
"861","1.75","129511","1","-850","0","1","cmn_swm_tread","-125","13","18610002"
"861","1.75","129411","1","-1100","0","1","cmn_swm_tread","-250","33","18610003"
"861","1.75","129311","1","-1350","0","1","cmn_swm_tread","-125","13","18610004"
"861","1.75","1","1","-850","0","5","cmn_swm_tread_pink","-125","12","18610005"
"861","1.75","2","1","-1100","0","5","cmn_swm_tread_blue","-250","32","18610006"
"861","1.75","3","1","-1350","0","5","cmn_swm_tread","-125","12","18610007"
"861","1","1","13","-125","","31","","1","-850","18610008"
"861","1","2","3","-250","","31","","1","-1100","18610009"
"861","1","3","13","-125","","31","","1","-1350","18610010"
"861","","1750","129511","13.5","","2","","","-125","18610011"
"861","","1500","129411","13.5","","2","","","-250","18610012"
"861","","1250","129311","13.5","","2","","","-125","18610013"
"861","","1750","1","13.5","","2","","","-125","18610014"
"861","","1500","2","13.5","","2","","","-250","18610015"
"861","","1250","3","13.5","","2","","","-125","18610016"
"861","","1750","1","13.5","","33","","","-125","18610017"
"861","","1500","2","13.5","","33","","","-250","18610018"
"861","","1250","3","13.5","","33","","","-125","18610019"
"862","","se_fpc_water_random","se_10053800","","","23","","","","18620001"
"862","1.75","126711","1","-850","0","1","cmn_swm_tread","-125","13","18620002"
"862","1.75","126811","1","-1100","0","1","cmn_swm_tread","-250","33","18620003"
"862","1.66","21","21","-1350","0","5","02_neneka_floatRing","-180","22","18620004"
"862","1.75","1","1","-850","0","5","cmn_swm_tread","-125","12","18620005"
"862","1.75","2","1","-1100","0","5","cmn_swm_tread_blue","-250","32","18620006"
"862","1","1","13","-125","","31","","1","-850","18620007"
"862","1","2","3","-250","","31","","1","-1100","18620008"
"862","1","3","102","-180","","31","","1","-1350","18620009"
"862","","1750","126711","13.5","","2","","","-125","18620010"
"862","","1500","126811","13.5","","2","","","-250","18620011"
"862","","1250","21","13.5","","2","","","-180","18620012"
"862","","1750","1","13.5","","2","","","-125","18620013"
"862","","1500","2","13.5","","2","","","-250","18620014"
"862","","1750","1","13.5","","33","","","-125","18620015"
"862","","1500","2","13.5","","33","","","-250","18620016"
"862","","1250","3","13.5","","33","","","-180","18620017"
"863","","se_fpc_water_random","se_10053800","","","23","","","","18630001"
"863","1.75","126911","1","-1100","1","1","cmn_float","-180","22","18630002"
"863","1.75","127011","1","-1350","0","1","cmn_float","-125","12","18630003"
"863","1.75","127111","1","-1600","0","1","cmn_float","-180","22","18630004"
"863","1","2","6","-180","","31","","1","-1070","18630005"
"863","1","3","6","-125","","31","","1","-1350","18630006"
"863","1","4","6","-180","","31","","1","-1600","18630007"
"863","","1500","126911","13.5","","2","","","-180","18630008"
"863","","1250","127011","13.5","","2","","","-125","18630009"
"863","","1000","127111","13.5","","2","","","-180","18630010"
"863","","1530","2","13.5","","33","","","-180","18630011"
"863","","1250","3","13.5","","33","","","-125","18630012"
"863","","1000","4","13.5","","33","","","-180","18630013"
"863","","","2.3","","","93","","","","18630014"
"863","","vo_fpc_86301","vo_fpc","0","","21","","","","18630015"
"864","","se_fpc_water_random","se_10053800","","","23","","","","18640001"
"864","1.75","107811","1","-850","0","1","cmn_surfing","-125","45","18640002"
"864","1.75","110011","1","-1100","0","1","cmn_surfing","-250","45","18640003"
"864","1.75","1","6","-850","0","5","cmn_surfing","-125","44","18640004"
"864","1.75","2","6","-1100","0","5","cmn_surfing","-250","44","18640005"
"864","1","1","11","-125","","31","","1","-850","18640006"
"864","1","2","11","-250","","31","","1","-1100","18640007"
"864","","2350","107811","6","","2","","","-125","18640008"
"864","","2100","110011","6","","2","","","-250","18640009"
"864","","2350","1","6","","2","","","-125","18640010"
"864","","2100","2","6","","2","","","-250","18640011"
"864","","2350","1","6","","33","","","-125","18640012"
"864","","2100","2","6","","33","","","-250","18640013"
"864","","se_10053800_surfing_wave","se_10053800","","","23","","","","18640014"
"864","","","0.2","","","93","","","","18640015"
"864","","vo_fpc_86401","vo_fpc","0","","21","","","","18640016"
"865","","se_fpc_water_random","se_10053800","","","23","","","","18650001"
"865","1.75","110311","1","-850","0","1","cmn_swm_flutterKick_floatRing","-125","13","18650002"
"865","1.75","113111","1","-1100","0","1","cmn_swm_flutterKick_floatRing","-250","33","18650003"
"865","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatRing_pink","-125","12","18650004"
"865","1.75","2","1","-1100","0","5","cmn_swm_flutterKick_floatRing_blue","-250","32","18650005"
"865","1","1","7","-125","","31","","1","-850","18650006"
"865","1","2","1","-250","","31","","1","-1100","18650007"
"865","","1750","110311","10","","2","","","-125","18650008"
"865","","1500","113111","10","","2","","","-250","18650009"
"865","","1750","1","10","","2","","","-125","18650010"
"865","","1500","2","10","","2","","","-250","18650011"
"865","","1750","1","10","","33","","","-125","18650012"
"865","","1500","2","10","","33","","","-250","18650013"
"866","","se_fpc_water_random","se_10053800","","","23","","","","18660001"
"866","1.75","113411","1","-850","0","1","cmn_swm_flutterKick_floatRing","-125","13","18660002"
"866","1.75","115711","1","-1100","0","1","cmn_swm_flutterKick_floatRing","-250","33","18660003"
"866","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatRing_pink","-125","12","18660004"
"866","1.75","2","1","-1100","0","5","cmn_swm_flutterKick_floatRing_blue","-250","32","18660005"
"866","1","1","7","-125","","31","","1","-850","18660006"
"866","1","2","1","-250","","31","","1","-1100","18660007"
"866","","1750","113411","10","","2","","","-125","18660008"
"866","","1500","115711","10","","2","","","-250","18660009"
"866","","1750","1","10","","2","","","-125","18660010"
"866","","1500","2","10","","2","","","-250","18660011"
"866","","1750","1","10","","33","","","-125","18660012"
"866","","1500","2","10","","33","","","-250","18660013"
"867","","se_fpc_water_random","se_10053800","","","23","","","","18670001"
"867","1.75","113211","1","-850","0","1","cmn_swm_tread","-125","13","18670002"
"867","1.75","127111","1","-1100","0","1","cmn_swm_tread","-250","33","18670003"
"867","1.75","1","1","-850","0","5","cmn_swm_tread_pink","-125","12","18670004"
"867","1.75","2","1","-1100","0","5","cmn_swm_tread_blue","-250","32","18670005"
"867","1","1","13","-125","","31","","1","-850","18670006"
"867","1","2","3","-250","","31","","1","-1100","18670007"
"867","","1750","113211","13.5","","2","","","-125","18670008"
"867","","1500","127111","13.5","","2","","","-250","18670009"
"867","","1750","1","13.5","","2","","","-125","18670010"
"867","","1500","2","13.5","","2","","","-250","18670011"
"867","","1750","1","13.5","","33","","","-125","18670012"
"867","","1500","2","13.5","","33","","","-250","18670013"
"868","","se_fpc_water_random","se_10053800","","","23","","","","18680001"
"868","1.75","117011","1","-850","0","1","cmn_swm_diving","-125","12","18680002"
"868","1.75","117111","1","-1100","0","1","cmn_swm_diving","-180","22","18680003"
"868","1","1","9","-125","","31","","1","-850","18680004"
"868","1","2","9","-180","","31","","1","-1100","18680005"
"868","","1750","117011","13.5","","2","","","-125","18680006"
"868","","1500","117111","13.5","","2","","","-180","18680007"
"868","","1750","1","13.5","","33","","","-125","18680008"
"868","","1500","2","13.5","","33","","","-180","18680009"
"869","","se_fpc_water_random","se_10053800","","","23","","","","18690001"
"869","1.75","110511","1","-850","0","1","cmn_swm_flutterKick_floatRing","-125","13","18690002"
"869","1.75","110011","1","-1100","0","1","cmn_swm_flutterKick_floatRing","-250","33","18690003"
"869","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatBoad","-125","12","18690004"
"869","1.75","2","1","-1100","0","5","cmn_swm_flutterKick_floatBoad_blue","-250","32","18690005"
