1245200f39393ccc5b7ecdbde471932e1c12935932ee1e6631626862ae87b965,26e67972725a055a170f370b9985355b3d3accda3225bc1f87275b037056f5be,86e00df89b331a72a6c87bff19a7fd23d1dc757bf0dac5b23e6fb36f36f566e9,14bfe894b5d06826f895099b9c4a3a7da94f9c1fe72444b4c4f2b805416a4a9c,fb6c40188352585e4814a1f97e26a3fd1fbedb7dc9c36137429aa6f2c3779257,9555625eb43a4ee61f4712dd5d5d1231a2668a1f190bcdf0bf27842bd3d0f783,4e303f5bf68317b60e4cab90254d3449e18a08403399530ac90cfbb344390ca5,6338dcfbafe2beae5d74fa53c8da8f500f39656154961d2dabcb64a36224d543,45fadb986b8b7bbf0366d7c2d5017dfd8bd1dcb47e6a3657ab8533104c7d053a,abd670d2c1066a5c46aafbdab164c194e55a2d003b1cf15f50e6753e9158ca07,4af31114c5e1d07b0b57cf1496a6b0e494cef6f4f68f698e367d6bdbe1941d46
"61081","","walk_furimuki","3","1058","","1","","","0.2","5146061"
"61082","","kokkoro_walk_surprise","3","105911","","1","","","0.2","5146061"
"61083","","kokkoro_walk_surprise","3","1059","","1","","","0.2","5146061"
"61084","","149","2","106011","2","-278","","0","","5146061"
"61085","","149","2","1060","2","-278","","0","","5146061"
"61086","","-54","2","105811","2","-278","","0","","5146061"
"61087","","-54","2","1058","2","-278","","0","","5146061"
"61088","","-214","2","105911","2","-288","","0","","5146061"
"61089","","-214","2","1059","2","-288","","0","","5146061"
"61090","","0","93","1","","","","","","5146061"
"61091","","iris_in","37","2","","","","","","5146061"
"61092","","0","93","2","","","","","","5146061"
"61093","","se_10055900_coaster_02","23","se_10055900","","1","","","","5146061"
"61094","","1","32","10","","","","","","5146061"
"61095","","30","122","30","","0.5","","","","5146061"
"61096","","vo_apg_0107","21","vo_apg","0","0","","","","5146061"
"61097","","0107_in","3","202","","0","","","0","5146061"
"61098","","1","93","0.7","","","","","","5146061"
"61099","","0107_mid","3","202","","0","","","0","5146061"
"61100","","","92","","","","","","","5146061"
"61101","","0107_out","3","202","","0","","","0","5146061"
"61102","","0","93","0.2","","","","","","5146061"
"61103","","0","2","202","0","-211","","0","","5146061"
"61104","","30","122","30","","0.5","","","","5146061"
"61105","","vo_apg_0108","21","vo_apg","0","0","","","","5146061"
"61106","","0108_in","3","203","","0","","","0","5146061"
"61107","","1","93","0.8","","","","","","5146061"
"61108","","0108_mid","3","203","","0","","","0","5146061"
"61109","","","92","","","","","","","5146061"
"61110","","0108_out","3","203","","0","","","0","5146061"
"61111","","0","93","0.2","","","","","","5146061"
"61112","","315","2","201","0","16","","0","","5146061"
"61113","","30","122","30","","0.5","","","","5146061"
"61114","","vo_apg_0109","21","vo_apg","0","0","","","","5146061"
"61115","","0109_in","3","201","","0","","","0","5146061"
"61116","","1","93","1.1","","","","","","5146061"
"61117","","0109_mid","3","201","","0","","","0","5146061"
"61118","","","92","","","","","","","5146061"
"61119","","0109_out","3","201","","0","","","0","5146061"
"61120","","0","93","0.2","","","","","","5146061"
"61121","","30","122","30","","0.5","","","","5146061"
"61122","","vo_apg_0110","21","vo_apg","0","0","","","","5146061"
"61123","","0107_in","3","202","","0","","","0","5146061"
"61124","","0108_in","3","203","","0","","","0","5146061"
"61125","","0109_in","3","201","","0","","","0","5146061"
"61126","","1","93","1.1","","","","","","5146061"
"61127","","0107_mid","3","202","","0","","","0","5146061"
"61128","","0108_mid","3","203","","0","","","0","5146061"
"61129","","0109_mid","3","201","","0","","","0","5146061"
"61130","","","92","","","","","","","5146061"
"61131","","0107_out","3","202","","0","","","0","5146061"
"61132","","0108_out","3","203","","0","","","0","5146061"
"61133","","0109_out","3","201","","0","","","0","5146061"
"61134","","0","93","0.2","","","","","","5146061"
"61135","","216","2","201","0","0","","0","","5146061"
"61136","","vo_apg_0111","21","vo_apg","0","0","","","","5146061"
"61137","","0111_in","3","201","","0","","","0","5146061"
"61138","","1","93","1.8","","","","","","5146061"
"61139","","0111_mid","3","201","","0","","","0","5146061"
"61140","","","92","","","","","","","5146061"
"61141","","0111_out","3","201","","0","","","0","5146061"
"61142","","0","93","0.2","","","","","","5146061"
"61143","","0","22","0","","","","","","5146061"
"61144","","","93","0.5","","","","","","5146061"
"61145","","1","32","11","","","","","","5146061"
"61146","","se_10055900_camera","23","se_10055900","","0","","","","5146061"
"61147","","0","93","0.2","","","","","","5146061"
"61148","","0","32","10","","","","","","5146061"
"61149","","0","93","1.8","","","","","","5146061"
"61150","","0.5","24","se_10055900_coaster_02","","","","","","5146061"
"61151","","iris_out","37","2","","","","","","5146061"
"61152","","129","2","106011","0","-278","","0","","5146061"
"61153","","129","2","1060","0","-278","","0","","5146061"
"61154","","-34","2","105811","0","-278","","0","","5146061"
"61155","","-34","2","1058","0","-278","","0","","5146061"
"61156","","-194","2","105911","0","-288","","0","","5146061"
"61157","","-194","2","1059","0","-288","","0","","5146061"
"61158","","walk_normal_dere2","3","106011","","1","","","0.2","5146061"
"61159","","walk_normal_dere2","3","1060","","1","","","0.2","5146061"
"61160","","walk_normal_joy","3","105811","","1","","","0.2","5146061"
"61161","","walk_normal_joy","3","1058","","1","","","0.2","5146061"
"61162","","kokkoro_walk_normal_dere","3","105911","","1","","","0.2","5146061"
"61163","","kokkoro_walk_normal_dere","3","1059","","1","","","0.2","5146061"
"61164","","290","2","106011","2","-278","","0","","5146061"
"61165","","290","2","1060","2","-278","","0","","5146061"
"61166","","-225","2","105811","2","-278","","0","","5146061"
"61167","","-225","2","1058","2","-278","","0","","5146061"
"61168","","-385","2","105911","2","-288","","0","","5146061"
"61169","","-385","2","1059","2","-288","","0","","5146061"
"61170","","0","4","106011","","","","","","5146061"
"61171","","0","4","1060","","","","","","5146061"
"61172","","1","4","105811","","","","","","5146061"
"61173","","1","4","1058","","","","","","5146061"
"61174","","1","4","105911","","","","","","5146061"
"61175","","1","4","1059","","","","","","5146061"
"61176","","0","93","2","","","","","","5146061"
"61177","","1","4","106011","","","","","","5146061"
"61178","","1","4","1060","","","","","","5146061"
"61179","","0","4","105811","","","","","","5146061"
"61180","","0","4","1058","","","","","","5146061"
"61181","","0","4","105911","","","","","","5146061"
"61182","","0","4","1059","","","","","","5146061"
"61183","","joy_idle_doya_shy","3","106011","","1","","","0.2","5146061"
"61184","","joy_idle_doya_shy","3","1060","","1","","","0.2","5146061"
"61185","","idle_normal","3","105811","","1","","","0.2","5146061"
"61186","","idle_normal","3","1058","","1","","","0.2","5146061"
"61187","","kokkoro_idle_normal_joy","3","105911","","1","","","0.2","5146061"
"61188","","kokkoro_idle_normal_joy","3","1059","","1","","","0.2","5146061"
"61189","","0","93","0.3","","","","","","5146061"
"61190","","jump_short","3","105811","guts2_talk_joy","0","0.2","1","0.2","5146061"
"61191","","jump_short","3","1058","guts2_talk_joy","0","0.2","1","0.2","5146061"
"61192","","vo_apg_0112","21","vo_apg","0","0","","","","5146061"
"61193","0","はぁ～♪\n楽しかったですねー☆","11","105811","1","10","0","1","0","5146061"
"61194","","","91","0","","","","","","5146061"
"61195","","idle_normal","3","105811","","1","","","0.2","5146061"
"61196","","idle_normal","3","1058","","1","","","0.2","5146061"
"61197","","kokkoro_talk_normal","3","105911","","1","","","0.2","5146061"
"61198","","kokkoro_talk_normal","3","1059","","1","","","0.2","5146061"
"61199","","vo_apg_0113","21","vo_apg","0","0","","","","5146061"
"61200","0","みなさま。\nお写真が\n仕上がったみたいです","11","105911","1","10","0","1","0","5146061"
"61201","","","91","0","","","","","","5146061"
"61202","","kokkoro_idle_normal_joy","3","105911","","1","","","0.2","5146061"
"61203","","kokkoro_idle_normal_joy","3","1059","","1","","","0.2","5146061"
"61204","","armcrossed_in_dere_shy","3","106011","armcrossed_talk_dere_shy","0","0","1","0.2","5146061"
"61205","","armcrossed_in_dere_shy","3","1060","armcrossed_talk_dere_shy","0","0","1","0.2","5146061"
"61206","","vo_apg_0114","21","vo_apg","0","0","","","","5146061"
"61207","0","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","11","106011","1","10","0","1","0","5146061"
"61208","","","91","0","","","","","","5146061"
"61209","","0","22","0","","","","","","5146061"
"61210","","armcrossed_idle_anger_lookup","3","106011","","0","","","0.2","5146061"
"61211","","armcrossed_idle_anger_lookup","3","1060","","0","","","0.2","5146061"
"61212","","idle_normal_lookup","3","105811","","1","","","0.2","5146061"
"61213","","idle_normal_lookup","3","1058","","1","","","0.2","5146061"
"61214","","kokkoro_wish_idle_joy_lookup","3","105911","","1","","","0.2","5146061"
"61215","","kokkoro_wish_idle_joy_lookup","3","1059","","1","","","0.2","5146061"
"61216","","coaster_1_in","3","21","","0","","","0","5146061"
"61217","","se_10055900_photo","23","se_10055900","","0","","","","5146061"
"61218","","0","93","2.3","","","","","","5146061"
"61219","","idle_normal_surprise","3","105811","","1","","","0.2","5146061"
"61220","","idle_normal_surprise","3","1058","","1","","","0.2","5146061"
"61221","","kokkoro_idle_normal_surprise","3","105911","","1","","","0.2","5146061"
"61222","","kokkoro_idle_normal_surprise","3","1059","","1","","","0.2","5146061"
"61223","","pointing_in_noface","3","106011","pointing_loop_noface","0","0","1","0.2","5146061"
"61224","","pointing_in_kyaru","3","1060","pointing_loop_kyaru","0","0","1","0.2","5146061"
"61225","","vo_apg_0115","21","vo_apg","0","0","","","","5146061"
"61226","0","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","11","106011","1","10","0","1","0","5146061"
"61227","","1","93","0.5","","","","","","5146061"
"61228","","30","122","30","","0.5","","","","5146061"
"61229","","","91","61226","","","","","","5146061"
"61230","","surprise_talk","3","105811","","1","","","0.2","5146061"
"61231","","surprise_talk","3","1058","","1","","","0.2","5146061"
"61232","","vo_apg_0116","21","vo_apg","0","0","","","","5146061"
"61233","0","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","11","105811","1","10","0","1","0","5146061"
"61234","","","91","0","","","","","","5146061"
"61235","","idle_normal_talk1R","3","105811","","1","","","0.2","5146061"
"61236","","idle_normal_talk1R","3","1058","","1","","","0.2","5146061"
"61237","","kokkoro_sad_talk","3","105911","","1","","","0.2","5146061"
"61238","","kokkoro_sad_talk","3","1059","","1","","","0.2","5146061"
"61239","","vo_apg_0117","21","vo_apg","0","0","","","","5146061"
"61240","0","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","11","105911","1","10","0","1","0","5146061"
"61241","","","91","0","","","","","","5146061"
"61242","","kokkoro_idle_normal","3","105911","","1","","","0.2","5146061"
"61243","","kokkoro_idle_normal","3","1059","","1","","","0.2","5146061"
"61244","","shock_in_shy_red","3","106011","shock_loop_shy_red","0","0","1","0.2","5146061"
"61245","","shock_in_shy_red","3","1060","shock_loop_shy_red","0","0","1","0.2","5146061"
"61246","","vo_apg_0118","21","vo_apg","0","0","","","","5146061"
"61247","0","い…いやそういう訳じゃ\nないけどっ！！？","11","106011","1","10","0","1","0","5146061"
"61248","","","91","0","","","","","","5146061"
"61249","","coaster_1_out","3","21","","0","","","0","5146061"
"61250","","kokkoro_idle_normal_joy","3","105911","","1","0.2","","0.2","5146061"
"61251","","kokkoro_idle_normal_joy","3","1059","","1","0.2","","0.2","5146061"
"61252","","joy_talk","3","105811","","1","0.2","","0.2","5146061"
"61253","","joy_talk","3","1058","","1","0.2","","0.2","5146061"
"61254","","vo_apg_0119","21","vo_apg","0","0","","","","5146061"
"61255","0","なんだ♪\nじゃあもう一回乗りましょー♪","11","105811","1","10","0","1","0","5146061"
"61256","","","91","0","","","","","","5146061"
"61257","","joy_idle","3","105811","","1","","","0.2","5146061"
"61258","","joy_idle","3","1058","","1","","","0.2","5146061"
"61259","","kokkoro_wish_talk_normal2","3","105911","","1","","","0.2","5146061"
"61260","","kokkoro_wish_talk_normal2","3","1059","","1","","","0.2","5146061"
"61261","","vo_apg_0120","21","vo_apg","0","0","","","","5146061"
"61262","0","はい、そういたしましょう♪","11","105911","1","10","0","1","0","5146061"
"61263","","","91","0","","","","","","5146061"
"61264","","0","22","0","","","","","","5146061"
"61265","","kokkoro_wish_idle_joy","3","105911","","1","","","0.2","5146061"
"61266","","kokkoro_wish_idle_joy","3","1059","","1","","","0.2","5146061"
"61267","","anger_talk_anger2_red","3","106011","","1","","","0.2","5146061"
"61268","","anger_talk_anger2_red","3","1060","","1","","","0.2","5146061"
"61269","0","2","12","106011","0","2","0","0","0","5146061"
"61270","0","10","12","105811","0","2","0","0","0","5146061"
"61271","0","10","12","105911","0","2","0","0","0","5146061"
"61272","","0","93","2","","","","","","5146061"
"61273","","","101","61274","","","","","","5146061"
"61274","","0.2","22","0","","","","","","5146061"
"62001","idle_normal","100911","1","1","-290","103","0","-278","1.8","5146062"
"62002","idle_normal","1009","5","3","-290","104","0","-278","1.8","5146062"
"62003","idle_normal","131011","1","1","290","100","1","-278","1.8","5146062"
"62004","","203","13","100911","","","","","","5146062"
"62005","","200","13","131011","","","","","","5146062"
"62006","idle","7","5","7","0","15","0","-174","0.85","5146062"
"62007","empty","20","5","20","-132","210","0","71","1","5146062"
"62008","empty","22","5","22","0","210","0","-42","1","5146062"
"62009","empty","21","5","21","0","60","0","153","1","5146062"
"62010","","1","31","1","0","0","","1","1","5146062"
"62011","","2","31","2","-57.7","0","","1","0","5146062"
"62012","","10","31","10","0","0","","1","0","5146062"
"62013","","11","31","11","0","0","","1","0","5146062"
"62014","","14","31","14","-278","-290","","1","0","5146062"
"62015","","20","31","20","0","0","","1","1","5146062"
"62016","","100911","36","20","","","","","","5146062"
"62017","","20","36","20","","","","","","5146062"
"62018","","22","36","20","","","","","","5146062"
"62019","","0","91","0","","","","","","5146062"
"62020","","0","102","0","","0","","","","5146062"
"62021","","0","93","1","","","","","","5146062"
"62022","","cool_in_dere","3","100911","cool_talk_dere","0","0","1","0.2","5146062"
"62023","","cool_in_dere","3","1009","cool_talk_dere","0","0","1","0.2","5146062"
"62024","","vo_apg_0201","21","vo_apg","0","0","","","","5146062"
"62025","0","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","11","100911","1","10","0","1","0","5146062"
"62026","","","91","0","","","","","","5146062"
"62027","","cool_idle","3","100911","","1","","","0.2","5146062"
"62028","","cool_idle","3","1009","","1","","","0.2","5146062"
"62029","","wish_talk_joy","3","131011","","1","","","0.2","5146062"
"62030","","vo_apg_0202","21","vo_apg","0","0","","","","5146062"
"62031","0","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","11","131011","1","10","0","1","0","5146062"
"62032","","","91","0","","","","","","5146062"
"62033","","wish_idle","3","131011","","1","","","0.2","5146062"
"62034","","anna_armcrossed","3","100911","sad_talk","0","0.2","1","0.2","5146062"
"62035","","anna_armcrossed","3","1009","sad_talk","0","0.2","1","0.2","5146062"
"62036","","vo_apg_0203","21","vo_apg","0","0","","","","5146062"
"62037","0","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","11","100911","1","10","0","1","0","5146062"
"62038","","","91","0","","","","","","5146062"
"62039","","sad_idle","3","100911","","1","","","0.2","5146062"
"62040","","sad_idle","3","1009","","1","","","0.2","5146062"
"62041","","maho_talk_normal","3","131011","surprise_talk","0","0.2","1","0.2","5146062"
"62042","","vo_apg_0204","21","vo_apg","0","0","","","","5146062"
"62043","0","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","11","131011","1","10","0","1","0","5146062"
"62044","","","91","0","","","","","","5146062"
"62045","","surprise_idle","3","131011","","1","","","0.2","5146062"
"62046","","anger_talk_shy","3","100911","","1","","","0.2","5146062"
"62047","","anger_talk_shy","3","1009","","1","","","0.2","5146062"
"62048","","vo_apg_0205","21","vo_apg","0","0","","","","5146062"
"62049","0","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","11","100911","1","10","0","1","0","5146062"
"62050","","","91","0","","","","","","5146062"
"62051","","anger_idle_shy","3","100911","","1","","","0.2","5146062"
"62052","","anger_idle_shy","3","1009","","1","","","0.2","5146062"
"62053","","worry_talk","3","131011","","1","","","0.2","5146062"
"62054","","vo_apg_0206","21","vo_apg","0","0","","","","5146062"
"62055","0","せやけど、無理はせん方が\nええんとちゃいます？","11","131011","1","10","0","1","0","5146062"
"62056","","","91","0","","","","","","5146062"
"62057","","wish_idle_shy","3","131011","","1","","","0.2","5146062"
"62058","","anger_talk_pain","3","100911","","1","","","0.2","5146062"
"62059","","anger_talk_pain","3","1009","","1","","","0.2","5146062"
"62060","","vo_apg_0207","21","vo_apg","0","0","","","","5146062"
"62061","0","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","11","100911","1","10","0","1","0","5146062"
"62062","","","91","0","","","","","","5146062"
"62063","","0","22","0","","","","","","5146062"
"62064","","run_dash_anger2","3","100911","","1","","","0.2","5146062"
"62065","","run_dash_anger2","3","1009","","1","","","0.2","5146062"
"62066","","walk_surprise","3","131011","","1","","","0.2","5146062"
"62067","","-129","2","100911","2","-278","","0","","5146062"
"62068","","-129","2","1009","2","-278","","0","","5146062"
"62069","","129","2","131011","2","-278","","0","","5146062"
"62070","","1","32","14","","","","","","5146062"
"62071","","left","37","14","","","","","","5146062"
"62072","","-129","33","14","2","-278","","0","","5146062"
"62073","","0","93","1","","","","","","5146062"
"62074","","1","32","2","","","","","","5146062"
"62075","","0","93","1.5","","","","","","5146062"
"62076","","0","32","14","","","","","","5146062"
"62077","","0","2","100911","0","-331","","0","","5146062"
"62078","","scale15","37","20","","","","","","5146062"
"62079","","se_10055900_coaster_01","23","se_10055900","","1","","","","5146062"
"62080","","vo_apg_0208","21","vo_apg","0","0","","","","5146062"
"62081","","0208_in","3","22","","0","","","0","5146062"
"62082","","1","93","3.3","","","","","","5146062"
"62083","","0208_mid","3","22","","0","","","0","5146062"
"62084","","","92","","","","","","","5146062"
"62085","","0208_out","3","22","","0","","","0","5146062"
"62086","","0","93","0.2","","","","","","5146062"
"62087","","0","93","0.3","","","","","","5146062"
"62088","","scale1","37","20","","","","","","5146062"
"62089","","1","32","10","","","","","","5146062"
"62090","","0.5","24","se_10055900_coaster_01","","","","","","5146062"
"62091","","se_10055900_coaster_02","23","se_10055900","","1","","","","5146062"
"62092","","0","2","20","0","0","","0","","5146062"
"62093","","30","122","30","","0.5","","","","5146062"
"62094","","vo_apg_0209","21","vo_apg","0","0","","","","5146062"
"62095","","0209_in","3","20","","0","","","0","5146062"
"62096","","1","93","2.6","","","","","","5146062"
"62097","","0209_mid","3","20","","0","","","0","5146062"
"62098","","","92","","","","","","","5146062"
"62099","","0209_out","3","20","","0","","","0","5146062"
"62100","","0","93","0.2","","","","","","5146062"
"62101","","30","122","30","","1","","","","5146062"
"62102","","vo_apg_0210","21","vo_apg","0","0","","","","5146062"
"62103","","0210_in","3","20","","0","","","0","5146062"
"62104","","1","93","2.7","","","","","","5146062"
"62105","","0210_mid","3","20","","0","","","0","5146062"
"62106","","","92","","","","","","","5146062"
"62107","","0210_out","3","20","","0","","","0","5146062"
"62108","","0","93","0.2","","","","","","5146062"
"62109","","0","22","0","","","","","","5146062"
"62110","","empty","3","20","","1","","","0","5146062"
"62111","","","93","1","","","","","","5146062"
"62112","","1","32","11","","","","","","5146062"
"62113","","se_10055900_camera","23","se_10055900","","0","","","","5146062"
"62114","","0","93","0.2","","","","","","5146062"
"62115","","0","32","10","","","","","","5146062"
"62116","","0","93","1.8","","","","","","5146062"
"62117","","0.5","24","se_10055900_coaster_02","","","","","","5146062"
"62118","","iris_out","37","2","","","","","","5146062"
"62119","","-129","2","100911","0","-278","","0","","5146062"
"62120","","-129","2","1009","0","-278","","0","","5146062"
"62121","","129","2","131011","0","-278","","0","","5146062"
"62122","","anna_walk","3","100911","","1","","","0.2","5146062"
"62123","","anna_walk","3","1009","","1","","","0.2","5146062"
"62124","","walk_normal_joy","3","131011","","1","","","0.2","5146062"
"62125","","-290","2","100911","2","-278","","0","","5146062"
"62126","","-290","2","1009","2","-278","","0","","5146062"
"62127","","290","2","131011","2","-278","","0","","5146062"
"62128","","1","4","100911","","","","","","5146062"
"62129","","1","4","1009","","","","","","5146062"
"62130","","0","4","131011","","","","","","5146062"
"62131","","0","93","2","","","","","","5146062"
"62132","","0","4","100911","","","","","","5146062"
"62133","","0","4","1009","","","","","","5146062"
"62134","","1","4","131011","","","","","","5146062"
"62135","","anna_idle","3","100911","","1","","","0.2","5146062"
"62136","","anna_idle","3","1009","","1","","0","0.2","5146062"
"62137","","idle_normal","3","131011","","1","","","0.2","5146062"
"62138","","0","93","0.5","","","","","","5146062"
"62139","","talk_normal_surprise","3","131011","","1","","","0.2","5146062"
"62140","","vo_apg_0211","21","vo_apg","0","0","","","","5146062"
"62141","0","どないでした？\nえらい声出してはったけど","11","131011","1","10","0","1","0","5146062"
"62142","","","91","0","","","","","","5146062"
"62143","","idle_normal_surprise","3","131011","","1","","","0.2","5146062"
"62144","","anna_kukuku_in","3","100911","anna_kukuku_loop","0","0","1","0.2","5146062"
"62145","","anna_kukuku_in","3","1009","anna_kukuku_loop","0","0","1","0.2","5146062"
"62146","","vo_apg_0212","21","vo_apg","0","0","","","","5146062"
"62147","0","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","11","100911","1","10","0","1","20","5146062"
"62148","","","91","0","","","","","","5146062"
"62149","","coaster_2_in","3","21","","0","","","0","5146062"
"62150","","se_10055900_photo","23","se_10055900","","0","","","","5146062"
"62151","","0","93","0.1","","","","","","5146062"
"62152","","anna_ahaha_in","3","100911","anna_ahaha_loop","0","0","1","0.2","5146062"
"62153","","anna_ahaha_in","3","1009","anna_ahaha_loop","0","0","1","0.2","5146062"
"62154","","vo_apg_0213","21","vo_apg","0","0","","","","5146062"
"62155","0","今、冥姫は\n疾風を追い越した！","11","100911","1","10","0","1","-30","5146062"
"62156","","","91","0","","","","","","5146062"
