3cddc6dc06de2d16ba06cfe5423e27a17bad182410a54c41cf494983fe1eef6d,cfade98f238933be7ddfe716c47fa12ad002fe534e33bd93347558e898d1b0cf,42e30da97a2f0f447cf6d7a957a3012f939ca7ae03d32718598572fe51925b47,504b6a7a3d0577354e09aa52824b61219968911f6199b9c0e50f8f6f1459422d,6aa0059bf3a6858d84b65215f6ca833c009ed933c1607606e442d23a123b3c90,f86e3c01dc3b9de92ec2a936e065ee709f07df173ffb31a5182f12da1a92364c
"2146079","803100266","1","203","300529","114"
"2146080","803100266","0","104","300530","100"
"2146091","803100268","1","203","300601","114"
"2146092","803100268","1","202","300602","113"
"2146093","803100268","0","105","300603","102"
"2146094","803100268","1","203","300604","114"
"2146095","803100268","0","106","300605","103"
"2146096","803100268","1","203","300606","114"
"2146097","803100268","1","204","300607","111"
"2146098","803100268","1","203","300608","114"
"2146099","803100268","1","202","300609","113"
"2146100","803100268","0","105","300610","102"
"2147011","803100269","1","203","300611","114"
"2147012","803100269","0","106","300612","103"
"2147013","803100269","1","203","300613","114"
"2147014","803100269","1","204","300614","111"
"2147015","803100269","1","212","300615","110"
"2147016","803100269","1","203","300616","114"
"2147017","803100269","0","105","300617","102"
"2147018","803100269","0","106","300618","103"
"2147021","803100270","1","204","300701","111"
"2147022","803100270","0","104","300702","100"
"2147023","803100270","0","107","300703","101"
"2147024","803100270","1","202","300704","113"
"2147025","803100270","1","203","300705","114"
"2147026","803100270","0","105","300706","102"
"2147027","803100270","1","205","300707","112"
"2147028","803100270","1","204","300708","111"
"2147029","803100270","0","104","300709","100"
"2147030","803100270","0","107","300710","101"
"2147031","803100271","1","202","300711","113"
"2147032","803100271","1","203","300712","114"
"2147033","803100271","0","105","300713","102"
"2147034","803100271","1","205","300714","112"
"2147035","803100271","0","110","300715","107"
"2147036","803100271","1","204","300716","111"
"2147037","803100271","0","104","300717","100"
"2147038","803100271","0","107","300718","101"
