acbb970e4872948840b5ad3932d13a2f44993705f8b4d79600ece00f3e5516a9,4e5d68589f1b0de1206b82fc0379cbaedb0238262c5345930a4484e27c78e292,24bd5712dcebad29a2b88a1614160f02d4778691cfb2b80206f89c98b3b276d8,420f736c752590c00fe066892b5885d63783e97bef352f9aaa961733a89429f6,df66993b436730f1c3638cf9a02e3514d60e6e2e894ea551d662edf73dca98de,d9b9bad3cb3f72add778191f0b671a3311da025a2cf525fcf0b3f490a399e469,fff1b3a09524f82af70341d2b5283a6427240d9323b9d1d1696bcd15ac8471d2
"40","ボスNORMAL討伐で解放！","72044021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20044","119201","[3C404E]ボスNORMAL討伐で解放！"
"41","ボスNORMAL討伐で解放！","72045021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20045","120801","[3C404E]ボスNORMAL討伐で解放！"
"42","ボスNORMAL討伐で解放！","72047021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20047","121201","[3C404E]ボスNORMAL討伐で解放！"
"43","ボスNORMAL討伐で解放！","72051021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20051","122101","[3C404E]ボスNORMAL討伐で解放！"
"44","ボスNORMAL討伐で解放！","72052021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20052","122401","[3C404E]ボスNORMAL討伐で解放！"
"45","ボスNORMAL討伐で解放！","72053021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20053","122801","[3C404E]ボスNORMAL討伐で解放！"
"46","ボスNORMAL討伐で解放！","72055021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20055","123501","[3C404E]ボスNORMAL討伐で解放！"
"47","ボスNORMAL討伐で解放！","72057021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20057","124101","[3C404E]ボスNORMAL討伐で解放！"
"48","ボスNORMAL討伐で解放！","72058021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20058","124701","[3C404E]ボスNORMAL討伐で解放！"
"49","ボスNORMAL討伐で解放！","72059021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20059","124901","[3C404E]ボスNORMAL討伐で解放！"
"50","ボスNORMAL討伐で解放！","72063021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20063","125701","[3C404E]ボスNORMAL討伐で解放！"
"51","ボスNORMAL討伐で解放！","72065021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20065","126701","[3C404E]ボスNORMAL討伐で解放！"
