3a897e4c6bf961cd24701ba5f84d70871c6c7c7bd97a0df7f585dcf4c504ec4d,60a6c44509dfb69c586fc277ed8e24e9ffb8b610a5f9c367525832a3f0f870f2,493e36e6b12842038df30256122abb3a30a8d7cad9f776ec4344aef9903ad97f,d78d13baac055cbd2618d8e32d6dfa50effe5462276b11f9ec79bb47836c339d,191a8995c03f89382af7276341c586d8302a1298d27a3e2690201b8aea4c4f91,7e970fb76fa240ed2da9e196c028319185fa0495d837e0ad891798aa7d08b42d,a68b4dcbd46eef2f9f4a582782a883540ad0cf0d817a71eb8c40a685623294d6,8b9feb42c5f4e2f682505b4afe1264a010736b3d6655422dd5acff55283afa9f,d4bc27f843aa1abc5b45e024f00afa5714cacb27b31c4c7d58c168a1287484b3,b4b869cc190ff56372ae441e67d37f01330f86db48de22acdc0cdb3241215dce,d94e5b2fa87b126aae1b37e966c43ba8c79bd7f72ed8b133f81f913a7d726eae
"106031","0","","13","","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","0","10","11","1130009",""
"0","","","13","","","","","91","1130010",""
"105831","0","","13","","01_uek_13_peco_loop","","1","3","1130011",""
"105831","0","","13","","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","0","10","11","1130012",""
"0","","","13","","","","","91","1130013",""
"1","-25","03_uek_cmn_idol_def_N","14","0","104031","-86","100","1","1140001","1.3"
"1","1","","14","","1","250","0","31","1140002","1"
"104031","1","","14","","03_uek_14_aoi","03_uek_14_aoi_loop","0","3","1140003",""
"104031","0","","14","","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","0","10","11","1140004",""
"1","-20","03_uek_cmn_idol_def_N","15","0","100731","-75","100","1","1150001","1.3"
"1","10","03_uek_15_father","15","1","103131","65","100","1","1150002","1.3"
"100731","0","","15","","03_uek_15_miyako","","1","3","1150003",""
"100731","0","","15","","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","0","10","11","1150004",""
"0","","","15","","","","","91","1150005",""
"103131","0","","15","","03_uek_15_father","","1","3","1150006",""
"103131","0","","15","","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","0","10","11","1150007",""
"0","","","15","","","","","91","1150008",""
"103131","0","","15","","03_uek_talk_normal","","1","3","1150009",""
"103131","0","","15","","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","0","10","11","1150010",""
"0","","","15","","","","","91","1150011",""
"103131","0","","15","","03_uek_cmn_idol_def_N","","1","3","1150012","0.2"
"1","-45","01_uek_cmn_idol_def_N","16","0","112431","-110","100","1","1160001","1.3"
"1","-15","01_uek_cmn_idol_def_N","16","1","105831","40","100","1","1160002","1.3"
"1","10","01_uek_cmn_idol_def_N","16","1","105931","140","100","1","1160003","1.3"
"105931","0","","16","","01_uek_01_kokkoro","01_uek_cmn_idol_def_N","0","3","1160004",""
"112431","1","","16","","01_uek_01_uduki","01_uek_cmn_idol_def_N","0","3","1160005",""
"105831","1","","16","","01_uek_01_peko","01_uek_cmn_idol_def_N","0","3","1160006",""
"0","","","16","","","","","91","1160007",""
"105931","1","","16","","01_uek_talk_normal","","1","3","1160008",""
"105931","0","","16","","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","0","10","11","1160009",""
"0","","","16","","","","","91","1160010",""
"105931","1","","16","","01_uek_cmn_idol_def_N","","1","3","1160011",""
"112431","","","16","","01_uek_talk_joy1","","1","3","1160012",""
"112431","0","","16","","はい、平気です！\nとっても楽しくって\nやばいです☆","0","10","11","1160013",""
"1.5","","","16","","","","","93","1160014",""
"112431","1","","16","","01_uek_16_uduki","01_uek_16_uduki_loop","0","3","1160015","0.2"
"1160013","","","16","","","","","91","1160016",""
"105831","","","16","","01_uek_talk_joy1","","1","3","1160017",""
"105831","0","","16","","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","0","10","11","1160018",""
"2.2","","","16","","","","","93","1160019",""
"105831","1","","16","","01_uek_16_peco","01_uek_16_uduki_loop","0","3","1160020","0.2"
"1160018","","","16","","","","","91","1160021",""
"1","10","03_uek_cmn_idol_def_N","17","1","102331","150","300","1","1170001","1.3"
"1","-15","03_uek_cmn_idol_def_N","17","0","102131","-100","100","1","1170002","1.3"
"3","1.3","","17","","3","10","20","31","1170003","0"
"102331","1","","17","0.2","03_uek_17_ayane","03_uek_17_ayane_loop","0","3","1170004","0.2"
"102131","1","","17","","03_uek_cmn_pose05","03_uek_cmn_idol_def_N","0","3","1170005","0.2"
"3","","","17","","1","","","32","1170006",""
"102331","0","","17","","見て見て！\n雲でぷうきちを\n作ったよー！","0","10","11","1170007",""
"0","","","17","","","","","91","1170008",""
"102131","","","17","","03_uek_talk_joy1","","1","3","1170009","0.2"
"102131","0","","17","","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","0","10","11","1170010",""
"0","","","17","","","","","91","1170011",""
"102131","","","17","","03_uek_cmn_idol_def_N","","1","3","1170012","0.2"
"1","45","01_uek_cmn_idol_def_N","18","0","112631","229","100","1","1180001","1.3"
"1","20","01_uek_cmn_idol_def_N","18","0","105831","170","110","1","1180002","1.3"
"1","-10","01_uek_cmn_idol_def_N","18","0","105931","-85","100","1","1180003","1.3"
"112631","1","","18","","01_uek_18_mio","01_uek_18_mio_loop","0","3","1180004",""
"112631","0","","18","","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","0","10","11","1180005",""
"0","","","18","","","","","91","1180006",""
"105831","1","","18","","01_uek_18_mio","01_uek_18_mio_loop","0","3","1180007",""
"105831","0","","18","","そうですね！\nえーと、どれどれ…\nって、わわわわ！","0","10","11","1180008",""
"3","","","18","","","","","93","1180009",""
"105831","1","","18","","170","2","5","2","1180010",""
"1180008","","","18","","","","","91","1180011",""
"105931","1","","18","","01_uek_18_kokkoro","01_uek_cmn_idol_def_N","0","3","1180012",""
"105931","0","","18","","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","0","10","11","1180013",""
"1","110","02_uek_19_hatsune","19","0","101231","402","100","1","1190001","1.3"
"1","30","02_uek_talk_surprise2","19","0","103831","166","100","1","1190002","1.3"
"103831","0","","19","","02_uek_talk_surprise2","","1","3","1190003","0.2"
"103831","0","","19","","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","0","10","11","1190004",""
"0","","","19","","","","","91","1190005",""
"101231","0","","19","","しおりんの声が\n聞こえたような…\nすやぁ…☆","0","10","11","1190006",""
"2","-35","05_idle","20","0","105831","-195","100","1","1200001","0.9"
"2","30","304602_idle","20","0","304602","150","1000","1","1200002","1.4"
"102","1","","20","","17","50","150","31","1200003","1"
"103","1","","20","","18","400","150","31","1200004","1"
"1","25","01_uek_21_kokkoro_loop","21","0","105931","185","110","1","1210001","1.3"
"1","-5","01_uek_21_rin_loop","21","0","112531","65","120","1","1210002","1.3"
"1","-35","01_uek_cmn_idol_def_N","21","0","106031","-140","100","1","1210003","1.3"
"105931","0","","21","","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","0","10","11","1210004",""
"0","","","21","","","","","91","1210005",""
"112531","0","","21","","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","0","10","11","1210006",""
"0","","","21","","","","","91","1210007",""
"106031","1","","21","","01_uek_21_kyaru","01_uek_cmn_idol_def_N","0","3","1210008",""
"106031","0","","21","","…あんたたち\nなんか妙なところで\nシンクロしてるわね","0","10","11","1210009",""
"0","","","21","","","","","91","1210010",""
"1","40","01_uek_cmn_idol_def_N","22","0","105831","180","100","1","1220001","1.3"
"4","1.3","","22","","4","250","420","31","1220002","1"
"105831","","","22","","01_uek_cmn_pose03","","1","3","1220003","0.2"
"105831","0","","22","","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","0","10","11","1220004",""
"0","","","22","","","","","91","1220005",""
"1","5","03_uek_cmn_idol_def_N","23","0","105231","33","100","1","1230001","1.3"
"1","40","03_uek_23_rin","23","0","102631","200","1010","1","1230002","1.3"
"1","-25","03_uek_cmn_idol_def_N","23","0","103331","-110","100","1","1230003","1.3"
"5","1","","23","","5","32","220","31","1230004","1"
"102631","","","23","","03_uek_23_rin","","1","3","1230005","0.2"
"102631","0","","23","","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","0","10","11","1230006",""
"0","","","23","","","","","91","1230007",""
"102631","0","","23","","1100","45","40","2","1230008",""
"5","0","","23","","1120","45","32","33","1230009",""
"105231","","","23","","03_uek_cmn_pose04","","1","3","1230010","0.2"
"103331","","","23","","03_uek_talk_surprise2","","1","3","1230011","0.2"
"105231","0","","23","","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","0","10","11","1230012",""
"0","","","23","","","","","91","1230013",""
"103331","0","","23","","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","0","10","11","1230014",""
"0","","","23","","","","","91","1230015",""
"1","-45","03_uek_24_ayumi","24","0","105531","-240","10","1","1240001","1.3"
"105531","0","","24","","03_uek_24_ayumi","","1","3","1240002",""
"105531","0","","24","","あっ、あそこに\n先輩がいる\nじーーーー…","0","10","11","1240003",""
"1","15","03_uek_cmn_idol_def_N","25","1","103631","175","100","1","1250001","1.3"
"1","-10","03_uek_cmn_idol_def_N","25","0","100431","-36","100","1","1250002","1.3"
"1","-45","03_uek_cmn_idol_def_N","25","0","102031","-158","100","1","1250003","1.3"
"102031","0","","25","","03_uek_cmn_pose06","","1","3","1250004",""
"102031","0","","25","","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","0","10","11","1250005",""
"0","","","25","","","","","91","1250006",""
"100431","1","","25","","03_uek_25_misogi","03_uek_25_misogi_loop","0","3","1250007",""
"100431","0","","25","","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","0","10","11","1250008",""
"103631","0","","25","","03_uek_25_kyouka","03_uek_25_kyouka_loop","1","3","1250009",""
"0","","","25","","","","","91","1250010",""
"103631","0","","25","","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","0","10","11","1250011",""
"0","","","25","","","","","91","1250012",""
"1","-43","01_uek_cmn_idol_def_N","27","0","104831","-179","100","1","1270001","1.3"
"1","-14","01_uek_27_tamaki_loop","27","0","104631","0","100","1","1270002","1.3"
"1","24","01_uek_cmn_idol_def_N","27","1","103231","200","100","1","1270003","1.3"
"104631","0","","27","","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","0","10","11","1270004",""
"0","","","27","","","","","91","1270005",""
"104831","1","","27","","01_uek_cmn_pose02","01_uek_talk_normal","0","3","1270006",""
"104831","0","","27","","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","0","10","11","1270007",""
"0","","","27","","","","","91","1270008",""
"104831","0","","27","","01_uek_cmn_idol_def_N","","1","3","1270009","0.3"
"103231","0","","27","","01_uek_27_akino_loop","","1","3","1270010",""
"103231","0","","27","","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","0","10","11","1270011",""
"1","-10","04_uek_cmn_idol_def_N","28","0","102931","0","110","1","1280001","1.3"
"1","-30","04_uek_cmn_idol_def_N","28","0","104231","-120","120","1","1280002","1.3"
"1","10","04_uek_cmn_idol_def_N","28","0","105431","120","100","1","1280003","1.3"
"6","1.3","","28","","6","10","35","31","1280004","0"
"6","1.3","","28","","9","-10","-85","31","1280005","0"
"6","1.3","","28","","10","30","155","31","1280006","0"
"102931","","","28","","04_uek_28_nozomi","","1","3","1280007","0.2"
"104231","","","28","","04_uek_28_chika","","1","3","1280008","0.2"
"105431","","","28","","04_uek_28_tsumugi","","1","3","1280009","0.2"
"6","","","28","","1","","","32","1280010",""
"9","","","28","","1","","","32","1280011",""
"10","","","28","","1","","","32","1280012",""
"102931","0","","28","","空の上でも\nカルミナ…\nオンステージ！","0","10","11","1280013",""
"0","","","28","","","","","91","1280014",""
"104231","0","","28","","風が気持ちいい…！\n精霊たちも\n楽しそうです！","0","10","11","1280015",""
"0","","","28","","","","","91","1280016",""
"105431","0","","28","","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","0","10","11","1280017",""
"0","","","28","","","","","91","1280018",""
"1","-10","03_uek_cmn_idol_def_N","29","0","101531","-40","100","1","1290001","1.3"
"1","10","03_uek_cmn_idol_def_N","29","1","101831","95","100","1","1290002","1.3"
"101831","0","","29","","03_uek_talk_joy1","","1","3","1290003",""
"101831","0","","29","","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","0","10","11","1290004",""
"0","","","29","","","","","91","1290005",""
"101831","0","","29","","03_uek_cmn_idol_def_N","","1","3","1290006","0.3"
"101531","0","","29","","03_uek_talk_joy1","","1","3","1290007","0.3"
"101531","0","","29","","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","0","10","11","1290008",""
"0","","","29","","","","","91","1290009",""
"101531","0","","29","","03_uek_cmn_idol_def_N","","1","3","1290010","0.3"
"2","-35","05_idle","30","0","105831","-195","100","1","1300001","0.9"
"2","-50","307505_idle","30","0","307505","150","1000","1","1300002","1.5"
"102","1","","30","","19","50","150","31","1300003","1"
"103","1","","30","","20","400","150","31","1300004","1"
"307505","1","","30","","307505_awake","307505_idle","0","3","1300005","0"
"1","10","01_uek_cmn_idol_def_N","31","0","105831","140","110","1","1310001","1.3"
"1","0","01_uek_cmn_idol_def_N","31","0","105931","20","110","1","1310002","1.3"
"1","-55","01_uek_26_kyaru_loop","31","0","106031","-200","110","1","1310003","1.3"
"1","","","31","","","","","93","1310004",""
"105831","","","31","","1","","","4","1310005",""
"105831","","","31","","01_uek_cmn_pose04","","1","3","1310006","0"
"105831","","","31","","見てください！\nお星様の世界です！\nすごい景色ですね☆","","10","11","1310007",""
"2.3","","","31","","","","","93","1310008",""
"105831","0","","31","","01_uek_cmn_idol_def_N","","0","3","1310009","0.2"
"1310007","","","31","","","","","91","1310010",""
"105831","0","","31","","01_uek_cmn_idol_def_N","","1","3","1310011","0.2"
"105931","","","31","","01_uek_talk_normal","","1","3","1310012",""
"105931","","","31","","本当に素晴らしい\n場所でございます\n堪能いたしましょう","","10","11","1310013",""
"0","","","31","","","","","91","1310014",""
"105931","","","31","","01_uek_cmn_idol_def_N","","1","3","1310015","0.2"
"106031","","","31","","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","","10","11","1310016",""
"1","91","02_uek_32_kuka_loop","32","1","104531","255","100","1","1320001","1.3"
"1","-29","02_uek_cmn_idol_def_N","32","0","105331","-97","100","1","1320002","1.3"
"1","0","02_uek_cmn_idol_def_N","32","0","103031","50","100","1","1320003","1.3"
"104531","0","","32","","02_uek_32_kuka","","0","3","1320004","0.5"
"105331","1","","32","","02_uek_cmn_shock_def_N","02_uek_talk_surprise2","0","3","1320005","0.5"
"103031","1","","32","","02_uek_cmn_shock_def_N","02_uek_talk_surprise2","0","3","1320006","0.5"
"0","","","32","","","","","91","1320007",""
"103031","0","","32","","02_uek_talk_surprise2","","1","3","1320008","0.5"
"103031","0","","32","","せっかく見つけた\nクウカがまた\n飛んでマス！","0","10","11","1320009",""
"0","","","32","","","","","91","1320010",""
"105331","0","","32","","02_uek_talk_surprise2","","1","3","1320011","0.5"
"105331","0","","32","","やっぱりよろこんで\nなかったか！？","0","10","11","1320012",""
"1","0","02_uek_cmn_idol_def_N","33","1","100831","0","100","1","1330001","1.3"
"7","1.3","","33","","7","130","-120","31","1330002","1"
"100831","1","","33","","02_uek_33_yuki","02_uek_33_yuki_loop","0","3","1330003","0.2"
"100831","0","","33","","星の輝きを浴びた\nボクはまた一段と\n美しいね…","0","10","11","1330004",""
"0","","","33","","","","","91","1330005",""
"1","0","02_uek_cmn_idol_def_N","34","1","100931","10","110","1","1340001","1.3"
"1","10","02_uek_cmn_idol_def_N","34","1","101331","180","110","1","1340002","1.3"
"1","","","34","","","","","93","1340003",""
"101331","1","","34","0.2","02_uek_cmn_pose01","02_uek_cmn_idol_def_N","1","3","1340004","0.2"
"101331","0","","34","","ウチュウキター！\nテンション爆上がり\nですしおすし！","0","10","11","1340005",""
"0","","","34","","","","","91","1340006",""
"100931","1","","34","0","02_uek_34_anna","02_uek_34_anna_loop","0","3","1340007","0.2"
"100931","0","","34","","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","0","10","11","1340008",""
"1","-60","01_uek_cmn_idol_def_N","35","1","100231","-200","100","1","1350001","1.3"
"1","10","01_uek_cmn_idol_def_N","35","1","100331","0","100","1","1350002","1.3"
"1","20","01_uek_cmn_idol_def_N","35","1","100131","200","100","1","1350003","1.3"
"8","1","","35","","8","270","0","31","1350004","1"
"100231","1","","35","0.2","01_uek_35_yui","01_uek_35_yui_loop","0","3","1350005","0.2"
"100331","1","","35","0.2","01_uek_35_rei","01_uek_35_rei_loop","0","3","1350006","0.2"
"100131","","","35","","01_uek_cmn_pose03","","1","3","1350007","0.2"
"100231","0","","35","","見て、流れ星…！\nみんなで願い事を\nしようよ","0","10","11","1350008",""
"0","","","35","","","","","91","1350009",""
"100331","0","","35","","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","0","10","11","1350010",""
"0","","","35","","","","","91","1350011",""
"100131","0","","35","","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","0","10","11","1350012",""
