f24a173285538a5032a36e698f43970072a00bb7500e9f2c49890bd7fdf50387,7b6cdcf9ca8a0c817e364cf29a5445e35feeda8a75f596ab3f38aa2baadab996,70e9bddfbe55d9042d79de50d2ce47d49b8d75c74508f7fffedc3f5b5af89b71,2e1d03d1e0381a229a2372b596e8d870ef0cd7e32b82a71660d19a645af7e869
"【バッファー】ＨＰアップLv4","4","10301","83104"
"【バッファー】ＨＰアップLv5","5","10301","83105"
"【バッファー】物理防御力アップLv1","1","10302","83201"
"【バッファー】物理防御力アップLv2","2","10302","83202"
"【バッファー】物理防御力アップLv3","3","10302","83203"
"【バッファー】物理防御力アップLv4","4","10302","83204"
"【バッファー】物理防御力アップLv5","5","10302","83205"
"【バッファー】魔法防御力アップLv1","1","10303","83301"
"【バッファー】魔法防御力アップLv2","2","10303","83302"
"【バッファー】魔法防御力アップLv3","3","10303","83303"
"【バッファー】魔法防御力アップLv4","4","10303","83304"
"【バッファー】魔法防御力アップLv5","5","10303","83305"
"【バッファー】バフ強化Lv1","1","10304","83401"
"【バッファー】バフ強化Lv2","2","10304","83402"
"【バッファー】バフ強化Lv3","3","10304","83403"
"【バッファー】バフ強化Lv4","4","10304","83404"
"【バッファー】バフ強化Lv5","5","10304","83405"
"【デバッファー】ＨＰアップLv1","1","10401","84101"
"【デバッファー】ＨＰアップLv2","2","10401","84102"
"【デバッファー】ＨＰアップLv3","3","10401","84103"
"【デバッファー】ＨＰアップLv4","4","10401","84104"
"【デバッファー】ＨＰアップLv5","5","10401","84105"
"【デバッファー】物理防御力アップLv1","1","10402","84201"
"【デバッファー】物理防御力アップLv2","2","10402","84202"
"【デバッファー】物理防御力アップLv3","3","10402","84203"
"【デバッファー】物理防御力アップLv4","4","10402","84204"
"【デバッファー】物理防御力アップLv5","5","10402","84205"
"【デバッファー】魔法防御力アップLv1","1","10403","84301"
"【デバッファー】魔法防御力アップLv2","2","10403","84302"
"【デバッファー】魔法防御力アップLv3","3","10403","84303"
"【デバッファー】魔法防御力アップLv4","4","10403","84304"
"【デバッファー】魔法防御力アップLv5","5","10403","84305"
"【デバッファー】デバフ強化Lv1","1","10404","84401"
"【デバッファー】デバフ強化Lv2","2","10404","84402"
"【デバッファー】デバフ強化Lv3","3","10404","84403"
"【デバッファー】デバフ強化Lv4","4","10404","84404"
"【デバッファー】デバフ強化Lv5","5","10404","84405"
"【ブースター】ＨＰアップLv1","1","10501","85101"
"【ブースター】ＨＰアップLv2","2","10501","85102"
"【ブースター】ＨＰアップLv3","3","10501","85103"
"【ブースター】ＨＰアップLv4","4","10501","85104"
"【ブースター】ＨＰアップLv5","5","10501","85105"
"【ブースター】物理防御力アップLv1","1","10502","85201"
"【ブースター】物理防御力アップLv2","2","10502","85202"
"【ブースター】物理防御力アップLv3","3","10502","85203"
"【ブースター】物理防御力アップLv4","4","10502","85204"
"【ブースター】物理防御力アップLv5","5","10502","85205"
"【ブースター】魔法防御力アップLv1","1","10503","85301"
"【ブースター】魔法防御力アップLv2","2","10503","85302"
"【ブースター】魔法防御力アップLv3","3","10503","85303"
"【ブースター】魔法防御力アップLv4","4","10503","85304"
"【ブースター】魔法防御力アップLv5","5","10503","85305"
"【ブースター】ＴＰチャージLv1","1","10504","85401"
"【ブースター】ＴＰチャージLv2","2","10504","85402"
"【ブースター】ＴＰチャージLv3","3","10504","85403"
"【ブースター】ＴＰチャージLv4","4","10504","85404"
"【ブースター】ＴＰチャージLv5","5","10504","85405"
"【ヒーラー】ＨＰアップLv1","1","10601","86101"
"【ヒーラー】ＨＰアップLv2","2","10601","86102"
"【ヒーラー】ＨＰアップLv3","3","10601","86103"
"【ヒーラー】ＨＰアップLv4","4","10601","86104"
"【ヒーラー】ＨＰアップLv5","5","10601","86105"
"【ヒーラー】物理防御力アップLv1","1","10602","86201"
"【ヒーラー】物理防御力アップLv2","2","10602","86202"
"【ヒーラー】物理防御力アップLv3","3","10602","86203"
"【ヒーラー】物理防御力アップLv4","4","10602","86204"
"【ヒーラー】物理防御力アップLv5","5","10602","86205"
"【ヒーラー】魔法防御力アップLv1","1","10603","86301"
"【ヒーラー】魔法防御力アップLv2","2","10603","86302"
"【ヒーラー】魔法防御力アップLv3","3","10603","86303"
"【ヒーラー】魔法防御力アップLv4","4","10603","86304"
"【ヒーラー】魔法防御力アップLv5","5","10603","86305"
"【ヒーラー】回復強化Lv1","1","10604","86401"
"【ヒーラー】回復強化Lv2","2","10604","86402"
"【ヒーラー】回復強化Lv3","3","10604","86403"
"【ヒーラー】回復強化Lv4","4","10604","86404"
"【ヒーラー】回復強化Lv5","5","10604","86405"
"【タンク】ＨＰアップLv1","1","10701","87101"
"【タンク】ＨＰアップLv2","2","10701","87102"
"【タンク】ＨＰアップLv3","3","10701","87103"
"【タンク】ＨＰアップLv4","4","10701","87104"
"【タンク】ＨＰアップLv5","5","10701","87105"
"【タンク】物理防御力アップLv1","1","10702","87201"
"【タンク】物理防御力アップLv2","2","10702","87202"
"【タンク】物理防御力アップLv3","3","10702","87203"
"【タンク】物理防御力アップLv4","4","10702","87204"
"【タンク】物理防御力アップLv5","5","10702","87205"
"【タンク】魔法防御力アップLv1","1","10703","87301"
"【タンク】魔法防御力アップLv2","2","10703","87302"
"【タンク】魔法防御力アップLv3","3","10703","87303"
"【タンク】魔法防御力アップLv4","4","10703","87304"
"【タンク】魔法防御力アップLv5","5","10703","87305"
"【タンク】状態異常抵抗Lv1","1","10704","87401"
"【タンク】状態異常抵抗Lv2","2","10704","87402"
"【タンク】状態異常抵抗Lv3","3","10704","87403"
"【タンク】状態異常抵抗Lv4","4","10704","87404"
"【タンク】状態異常抵抗Lv5","5","10704","87405"
"【ジャマー】ＨＰアップLv1","1","10801","88101"
"【ジャマー】ＨＰアップLv2","2","10801","88102"
"【ジャマー】ＨＰアップLv3","3","10801","88103"
"【ジャマー】ＨＰアップLv4","4","10801","88104"
"【ジャマー】ＨＰアップLv5","5","10801","88105"
"【ジャマー】攻撃力アップLv1","1","10802","88201"
"【ジャマー】攻撃力アップLv2","2","10802","88202"
"【ジャマー】攻撃力アップLv3","3","10802","88203"
"【ジャマー】攻撃力アップLv4","4","10802","88204"
"【ジャマー】攻撃力アップLv5","5","10802","88205"
"【ジャマー】状態異常命中Lv1","1","10803","88301"
"【ジャマー】状態異常命中Lv2","2","10803","88302"
"【ジャマー】状態異常命中Lv3","3","10803","88303"
"【ジャマー】状態異常命中Lv4","4","10803","88304"
"【ジャマー】状態異常命中Lv5","5","10803","88305"
"【ジャマー】状態異常抵抗Lv1","1","10804","88401"
"【ジャマー】状態異常抵抗Lv2","2","10804","88402"
"【ジャマー】状態異常抵抗Lv3","3","10804","88403"
"【ジャマー】状態異常抵抗Lv4","4","10804","88404"
"【ジャマー】状態異常抵抗Lv5","5","10804","88405"
