7dc71bd57d261f9e43cbebb883e92021cab75ca402d649619b55f6d1e70cd431,79bf8c7c4625886c57d929b83826504f976e9226771f6aefa317c57ec07ab915,539b860529f95c743d1b1fbd33f66f349b7f9fe7fb85876db88bc535838807cf,5c34f411fabf2746619bf57e6f7f8214baa39140a60ee81d4e0363d06bfb515f,791386b49b5a713bebcd93a8b3661f7143e12d0d15e519cef9c8145efae7800b,d644e9344c7bd7b6224e39f3df985ecfa3ff3ded92905d60b22fb3ea8897d1c1,29f9c1566d1219e08ed6af29f96072f53f156909584c768915f78b1d7dad168c,a085ba68e447de00196793ca47adfa739bcd82a38d29eed6dd10f6d22c010470,e2c0302f54c988697609e6db78a9efcaa9bce2383e7995565fc91e93286c913e,9fe318296c17cf02620a7d4f50cb2416bd4e7307d43541d3896b3c5e59291f45,034a105bdb820007ea2cf95b26f8c241906ea5b9a72d88e8265a1e4cf581961d,88487273f6049c37c893ac5561bbcbe57106a971ea3f9aee0ea4a70646d245e7,045eb6a7d380265c9305af4d043ee8187edefb6768ecc3db352937bd6b6a4327
"46","きんきらはぴねす","","1500","","A2001372582/","18","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","キンキラ☆ハピネス！","46","2019-01-18 15:00:00","","-1"
"47","あらたなふなで","","1000","","","20","","新たな船出","47","2019-01-18 15:00:00","","-1"
"48","あるげてぃ","","1000","","","20","","アルゲティ","48","2019-01-18 15:00:00","","-1"
"49","しんしゅんとぅいんくるくらいしす","","1000","","","20","","新春トゥインクルクライシス！","49","2019-01-18 15:00:00","","-1"
"50","じゃへいしんがみぃ","","1000","","","20","","邪餅神ガミィ","50","2019-01-18 15:00:00","","-1"
"51","とぅいんくるすたーず","","1500","","A2001612987/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","TwinkleStars","51","2019-01-18 15:00:00","","-1"
"52","こくねつのさばく","","1000","","","20","","酷熱の砂漠","52","2019-02-15 15:00:00","","-1"
"53","めでゅーさ","","1000","","","20","","メデューサ","53","2019-02-15 15:00:00","","-1"
"54","くろがねのないとめあ","","1000","","","20","","黒鉄の亡霊（ナイトメア）","54","2019-02-15 15:00:00","","-1"
"55","りびんぐめいる","","1000","","","20","","リビングメイル","55","2019-02-15 15:00:00","","-1"
"56","あるーふねすこーど","","1500","","A2001372582/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","Aloofness Code","56","2019-02-15 15:00:00","","-1"
"57","あぶそりゅーとしーくれっと","","1500","","A2001452543/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","Absolute Secret","57","2019-02-15 15:00:00","","2008015"
"58","あくありおす","","1000","","","20","","アクアリオス","58","2019-02-15 15:00:00","","-1"
"59","ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる","","1000","","","20","","バトルオブバレンタイン！想いぶつかるスウィートバトル","59","2019-02-15 15:00:00","","-1"
"60","あぐりーらぶりー","","1000","","","20","","アグリーラブリー","60","2019-02-15 15:00:00","","-1"
"61","すーぱーちょこれーと","","1500","","A2001502066/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","SUPER CHOCOLATE","61","2019-02-15 15:00:00","","-1"
"62","さかいのなかのおあしす","","1000","","","20","","砂海の中のオアシス","62","2019-03-19 15:00:00","","-1"
"63","ふしぎなもり","","1000","","","20","","不思議な森","63","2019-03-19 15:00:00","","-1"
"64","とるぺどん","","1000","","","20","","トルペドン","64","2019-03-19 15:00:00","","-1"
"65","おうとのめいたんていなげきのすとーかー","","1000","","","20","","王都の名探偵　嘆きの追跡者（ストーカー）","65","2019-03-19 15:00:00","","-1"
"66","なげきのめがみ","","1000","","","20","","嘆きの女神","66","2019-03-19 15:00:00","","-1"
"67","みかいけつなおもい","","1500","","A2001552686/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","未解決な想い","67","2019-03-19 15:00:00","","-1"
"68","ろぼりまらいしゅうおうとめつぼうまでのかうんとだうん","","1000","","","20","","ロボリマ来襲！王都滅亡までのカウントダウン","68","2019-04-19 15:00:00","","-1"
"69","ろぼりま","","1000","","","20","","ロボリマ","69","2019-04-19 15:00:00","","-1"
"70","ろぼりましゅうえん","","1000","","","20","","ロボリマ~終焉~","70","2019-04-19 15:00:00","","-1"
"71","あすとるむにさくそうりんのはな","","1000","","","20","","アストルムに咲く双輪の華","71","2019-04-19 15:00:00","","-1"
"72","こあぎがーす","","1000","","","20","","コア・ギガース","72","2019-04-19 15:00:00","","-1"
"73","くろっしんぐでぃすてぃにー","","1500","","","20","","Crossing Destiny","73","2019-04-19 15:00:00","","-1"
"74","がんほうにひそむもの","","1000","","","20","","岩峰に潜むもの","74","2019-05-17 15:00:00","","-1"
"75","しょーぐんどうちゅうきはくよくのさむらい","","1000","","","20","","ショーグン道中記　白翼のサムライ","75","2019-05-17 15:00:00","","-1"
"76","あくだいかん","","1000","","","20","","アクダイカン","76","2019-05-17 15:00:00","","-1"
"77","はくよくのぐろーりえ","","1500","","A2001612987/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","白翼のグローリエ","77","2019-05-17 15:00:00","","-1"
"78","かざんのふもと","","1000","","","20","","火山の麓","78","2019-06-18 15:00:00","","-1"
"79","げんれつなるあれち","","1000","","","20","","厳烈なる荒地","79","2019-06-18 15:00:00","","-1"
"80","たいだのきょうじん","","1000","","","20","","怠惰の狂人","80","2019-06-18 15:00:00","","-1"
"81","つづみのおとひびくもり","","1000","","","20","","鼓の音響く森","81","2019-07-18 15:00:00","","-1"
"82","すずなれいんぼーすてーじ","","1000","","","20","","スズナレインボーステージ！","82","2019-07-18 15:00:00","","-1"
"83","あまがみさま","","1000","","","20","","雨神様","83","2019-07-18 15:00:00","","-1"
"84","せのびふぁーすときす","","1500","","A2001629618/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","背伸びFirst Kiss","84","2019-07-18 15:00:00","","-1"
"85","おにいちゃんそうだつしずるのおてつだい","","1000","","","20","","お兄ちゃん争奪！　シズルのお手伝い","85","2019-08-15 15:00:00","","-1"
"86","おにいちゃんそうだつえりこのおてつだい","","1000","","","20","","お兄ちゃん争奪！　エリコのお手伝い","86","2019-08-15 15:00:00","","-1"
"87","まなつのまほまほおうこくなみうちぎわのそうるさまー","","1000","","","20","","真夏のマホマホ王国 波打ち際のソウルサマー！","87","2019-08-15 15:00:00","","-1"
"88","まじむん","","1000","","","20","","マジムン","88","2019-08-15 15:00:00","","-1"
"89","うぃーあーごーるでん","","1500","","A2001629618/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","We Are Golden","89","2019-08-15 15:00:00","","-1"
"90","くうかだいかいてん","","1000","","","20","","クウカ大回転","90","2019-09-16 15:00:00","","-1"
"91","もりのぼっちとせいなるがくしゃのりせえんぬ","","1000","","","20","","森の臆病者と聖なる学舎の異端児","91","2019-09-16 15:00:00","","-1"
"92","おおどくまんどらごら","","1000","","","20","","オオドクマンドラゴラ","92","2019-09-16 15:00:00","","-1"
"93","なかよしせんせーしょん","","1500","","A2001640446/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","なかよしセンセーション","93","2019-09-16 15:00:00","","-1"
"94","ふおんのねをふみこえて","","1000","","","20","","不穏の根を踏み越えて","94","2019-10-16 15:00:00","","-1"
"95","かおりのまぶいしきからてどうじょう","","1000","","","20","","カオリのマブイ式空手道場","95","2019-10-16 15:00:00","","-1"
"96","りとるぶれいぶはろうぃんないと","","1000","","","20","","リトル・ブレイブ・ハロウィンナイト！","96","2019-10-16 15:00:00","","-1"
"97","ふぁんとむばろん","","1000","","","20","","ファントムバロン","97","2019-10-16 15:00:00","","-1"
"98","とりっくほりっく","","1500","","A2001640446/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","トリックホリック","98","2019-10-16 15:00:00","","-1"
"99","ぬかるむもりのさきへ","","1000","","","20","","泥濘む森の先へ","94","2019-11-15 15:00:00","","-1"
"100","だいげきせんしりとりどらごんず","","1000","","","20","","大激戦！しりとりドラゴンズ","95","2019-11-15 15:00:00","","-1"
"101","どらごんえくすぷろーらーず","","1000","","","20","","ドラゴンエクスプローラーズ","96","2019-11-15 15:00:00","","-1"
"102","どらごんもどき","","1000","","","20","","ドラゴンもどき","97","2019-11-15 15:00:00","","-1"
"103","いんふれいむず","","1500","","A2001716909/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","in flames","98","2019-11-15 15:00:00","","-1"
"104","あらたなるちからへのちょうせん","","1000","","","20","","新たなる力への試練","104","2019-12-20 15:00:00","","-1"
"105","ぷれぜんとぱにっくらんどそるのさんたたち","","1000","","","20","","プレゼントパニック！　ランドソルのサンタたち","105","2019-12-20 15:00:00","","-1"
"106","となかいヴぇんでった","","1000","","","20","","トナカイ・ヴェンデッタ","106","2019-12-20 15:00:00","","-1"
"107","こーるみーだーりん","","1500","","A2001716909/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","Call Me Darling！","107","2019-12-20 15:00:00","","-1"
"108","おうとしゅうまつけっせん","","1000","","","20","","王都終末決戦","108","2020-01-16 15:00:00","","2015007"
"109","こうていにつかえししもべとのたたかい","","1000","","","20","","皇帝に仕えし僕との戦い","109","2020-01-16 15:00:00","","2015007"
"110","かみたるものとのけっせん","","1000","","","20","","神たる者との決戦","110","2020-01-16 15:00:00","","2015007"
"111","げきそうらんどそるぎるどれーす","","1000","","","20","","激走！　ランドソルギルドレース","111","2020-01-16 15:00:00","","-1"
"112","やまがみさま","","1000","","","20","","山神様","112","2020-01-16 15:00:00","","-1"
"113","さいこうすたーとだっしゅ","","1500","","A2001734667/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes","SAI＊KOUスタートダッシュ","113","2020-01-16 15:00:00","","-1"
"114","たいかいをのぞんで","","1000","","","20","","大海を望んで","114","2020-01-16 15:00:00","","-1"
"115","まほうしょうじょふたりはみすてぃあんどぴゅありー","","1000","","","20","","魔法少女　二人はミスティ＆ピュアリー","115","2020-02-15 15:00:00","","-1"
"116","あんちびーすと","","1000","","","20","","アンチビースト","116","2020-02-15 15:00:00","","-1"
"117","こもれびもんたーじゅ","","1500","","A2001734667/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes","木もれびモンタージュ","117","2020-02-15 15:00:00","","-1"
"118","あいどるをめざして","","1000","","","20","","アイドルを目指して！","118","2020-03-13 15:00:00","","-1"
"119","おもいでのあしあと","","1000","","","20","","思い出の足跡","119","2020-03-13 15:00:00","","-1"
"120","ぷりんせすないと","","1000","","","20","","プリンセスナイト","120","2020-03-13 15:00:00","","-1"
"121","さずけのえんじぇるとせいなるがくしゃのりせえんぬ","","1000","","","20","","授けの財団と聖なる学舎の異端児","121","2020-04-15 15:00:00","","-1"
"122","なかよしえっくす","","1000","","","20","","なかよしＸ","122","2020-04-15 15:00:00","","-1"
"123","せいしゅんすぴなー","","1500","","A2001772609/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes","青春スピナー","123","2020-04-15 15:00:00","","-1"
"124","みつりんのかげにまつは","","1000","","","20","","密林の影に待つは","124","2020-04-15 15:00:00","","-1"
"125","みらーじゅげーむ","","1500","","A2001693583/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes","Mirage Game","125","2020-04-15 15:00:00","","2101001"
"126","いえすぷれしゃすはーもにー","","1500","","A2001693583/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes","Yes！ Precious Harmony！","126","2020-04-15 15:00:00","","2101014"
"127","ちゅうちゅうぱにっくちーずおまもりだいさくせん","","1000","","","20","","チュウチュウパニック！　チーズお守り大作戦！","127","2020-05-15 15:00:00","","-1"
"128","まきばのよんのうしびんぼうぼくじょうふんとうき","","1000","","","20","","まきばの四農士　貧乏牧場奮闘記！","128","2020-05-15 15:00:00","","-1"
"129","しのびのとうりょうはんぞう","","1000","","","20","","忍びの頭領ハンゾウ","129","2020-05-15 15:00:00","","-1"
"130","はーとふるぷれいす","","1500","","A2001772609/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes","Heartful Place","130","2020-05-15 15:00:00","","-1"
"131","ふしぎのくにのにのちいさなありすときぼうのえほん","","1000","","","20","","不思議の国のリノ　小さなアリスと希望の絵本","131","2020-06-17 15:00:00","","-1"
"132","くろのおうじゃばうぉっく","","1000","","","20","","黒の王ジャバウォック","132","2020-06-17 15:00:00","","-1"
"133","ふぇありーているはゆめのなか","","1500","","A2001823541/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes","フェアリーテイルは夢の中","133","2020-06-17 15:00:00","","-1"
"134","ゆうゆうたるもり","","1000","","","20","","幽幽たる森","134","2020-06-17 15:00:00","","-1"
"135","たなばたけんきゃくりょじょうたんてんにながれるなつのこい","","1000","","","20","","七夕剣客旅情譚　天に流れる夏の恋","135","2020-07-15 15:00:00","","-1"
"136","かくせいうわきぼし","","1000","","","20","","覚醒・浮気星","136","2020-07-15 15:00:00","","-1"
"137","たそがれたいへいたびじうた","","1500","","A2001823541/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes","黄昏太平旅路唄","137","2020-07-15 15:00:00","","-1"
"138","みさとさまーえーるゆめおうまなつのないん","","1000","","","20","","ミサトサマーエール！　夢追う真夏のナイン","138","2020-08-15 15:00:00","","-1"
"139","なぎさのぼうくんさめきち","","1000","","","20","","渚の暴君・鮫吉","139","2020-08-15 15:00:00","","-1"
"140","もうくんだげきどうみさとのほーむらんどりる","","1000","","","20","","猛訓打撃道！　ミサトのホームランドリル","140","2020-08-15 15:00:00","","-1"
"141","めざせほーむらん","","1000","","","20","","目指せホームラン！","141","2020-08-15 15:00:00","","-1"
"142","ひとなつのおもいで","","1000","","","20","","ひと夏の思い出","142","2020-08-15 15:00:00","","-1"
"143","あのなつのめもりー","","1500","","A2001871533/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes","あの夏のメモリー","143","2020-08-15 15:00:00","","-1"
"144","きよらかなるかわおと","","1000","","","20","","清らかなる川音","144","2020-08-15 15:00:00","","-1"
"145","はっぴーちぇんじえんじぇるず","","1000","","","20","","ハッピー・チェンジ・エンジェルズ","145","2020-09-19 15:00:00","","-1"
"146","ぼうそうのいのせんとぼう","","1000","","","20","","暴走のイノセントボウ","146","2020-09-19 15:00:00","","-1"
"147","ねぇねぇぷりーず","","1500","","A2001871533/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes","ねぇねぇPlease！","147","2020-09-19 15:00:00","","-1"
"148","ひびけぜっきょうはろうぃんごーすとふぇすてぃばる","","1000","","","20","","響け！絶叫！ハロウィンゴーストフェスティバル","148","2020-10-15 15:00:00","","-1"
"149","きょうふのごーすとふぁーざー","","1000","","","20","","叫怖のゴーストファーザー","149","2020-10-15 15:00:00","","-1"
"150","ぱらどっくす","","1500","","A2001927869/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes","Paradox","150","2020-10-15 15:00:00","","-1"
"151","まほうていとくらぶりーもにかれっつごーまじかるかるてっと","","1000","","","20","","魔法提督ラブリー★モニカ　レッツゴー！マジカルカルテット！","151","2020-11-21 15:00:00","","-1"
"152","あんちびーすとどえむ","","1000","","","20","","アンチビースト de M","152","2020-11-21 15:00:00","","-1"
"153","かがやけらぶりーどりーみー","","1500","","A2001927869/","20","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes","輝け！ラブリー★ドリーミー","153","2020-11-21 15:00:00","","-1"
