d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710
"11","アルマ","ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M102_juke","bgm_M102","00:00","02:31"
"12","リトルアドベンチャー","キャラクターソング\n\n時間 / 01:22\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","bgm_M145","bgm_M145","00:45","01:22"
"13","グラットン","クランバトル\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","bgm_M139_juke","bgm_M139","00:00","01:07"
"14","トリックオアプリン！約束のハロウィンパーティー","ストーリーイベントテーマ\n-｢もっと！ふたりのパ～ティ～ナイト｣アレンジ-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","bgm_M135_juke","bgm_M135","00:00","01:01"
"15","ジャック・オー・プリン","ストーリーイベントボスバトル\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M138_juke","bgm_M138","00:00","02:26"
"16","もっと！ふたりのパ～ティ～ナイト","キャラクターソング\n\n時間 / 01:21\n歌　 / シノブ（大坪由佳）\n　　　ミヤコ（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","bgm_M161","bgm_M161","00:46","01:21"
"17","耀う氷の結晶","メインクエスト\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M140_juke","bgm_M140","00:00","01:31"
"18","Shining Future","キャラクターソング\n\n時間 / 02:01\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 荘野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","bgm_M150","bgm_M150","01:00","02:01"
"19","風への誓い","キャラクターソング\n\n時間 / 01:31\n歌　 / チカ（福原綾香）\n作詞 / 野村イクミ\n作曲 / 内海孝彰\n編曲 / 内海孝彰","bgm_M143","bgm_M143","00:37","01:31"
"20","君の笑顔が見たいから","キャラクターソング\n\n時間 / 01:47\n歌　 / ノゾミ（日笠陽子）\n作詞 / Manami\n作曲 / 内海孝彰\n編曲 / 岡野裕次郎","bgm_M144","bgm_M144","00:54","01:47"
"21","アマノジャクハート！","キャラクターソング\n\n時間 / 01:34\n歌　 / ツムギ（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 内海孝彰","bgm_M148","bgm_M148","00:48","01:34"
"22","不穏な空気と立ち向かう闘志","メインクエスト\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","bgm_M42_juke","bgm_M42","00:00","01:46"
"23","ツインピッグス","クランバトル\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M104_juke","bgm_M104","00:00","01:07"
"24","ヴァンパイアハンターwithイリヤ","ストーリーイベントテーマ\n-｢Peaceful*ちゃんぷるー｣アレンジ-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","bgm_M106_juke","bgm_M106","00:00","00:54"
"25","ガルグ","ストーリーイベントボスバトル\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M109_juke","bgm_M109","00:00","03:18"
"26","Peaceful*ちゃんぷるー","キャラクターソング\n\n時間 / 01:30\n歌　 / マホ（内田真礼）\n　　　カオリ（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M151","bgm_M151","00:44","01:30"
"27","レサトパルト","クランバトル\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M166_juke","bgm_M166","00:00","01:12"
"28","トワイライトブレイカーズ","ストーリーイベントテーマ\n-｢サイツヨでしょ、でしょ？｣アレンジ-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","bgm_M162_juke","bgm_M162","00:00","01:30"
"29","オラム","ストーリーイベントボスバトル\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M165_juke","bgm_M165","00:00","02:02"
"30","サイツヨでしょ、でしょ？","キャラクターソング\n\n時間 / 01:22\n歌　 / アンナ（髙野麻美）\n　　　ナナカ（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","bgm_M176","bgm_M176","00:42","01:22"
"31","氷海の地","メインクエスト\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M141_juke","bgm_M141","00:00","02:05"
"32","氷と雪の世界","メインクエスト\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M58_juke","bgm_M58","00:00","01:08"
"33","爽やかな風","メインクエスト\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M101_juke","bgm_M101","00:00","01:05"
"34","カルキノス","クランバトル\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M115_juke","bgm_M115","00:00","01:02"
"35","デンジャラスバカンス！渚のグルメプリンセス","ストーリーイベントテーマ\n-｢えがおのマイホーム｣アレンジ-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","bgm_M112_juke","bgm_M112","00:00","01:05"
"36","テンタパス","ストーリーイベントボスバトル\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M116_juke","bgm_M116","00:00","02:10"
"37","えがおのマイホーム","キャラクターソング\n\n時間 / 01:40\n歌　 / サレン（堀江由衣）\n　　　スズメ（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","bgm_M147","bgm_M147","01:00","01:40"
"38","サジタリウス","クランバトル\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","bgm_M175_juke","bgm_M175","00:00","00:45"
"39","忘却のキャロル","ストーリーイベントテーマ\n-｢Ding Dong Holy Night♪｣アレンジ-\n\n時間 / 00:55\n作曲 / 馬渕直純\n編曲 / 中村早織（Cygames）","bgm_M171_juke","bgm_M171","00:00","00:55"
"40","フォギー","ストーリーイベントボスバトル\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M172_juke","bgm_M172","00:00","02:57"
"41","Ding Dong Holy Night♪","キャラクターソング\n\n時間 / 01:28\n歌　 / アヤネ（芹澤優）\n　　　クルミ（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬渕直純\n編曲 / 馬渕直純","bgm_M187","bgm_M187","00:42","01:28"
"42","険しき乾荒原","メインクエスト\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M93_juke","bgm_M93","00:00","00:57"
"43","オルレオン","クランバトル\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","bgm_M119_juke","bgm_M119","00:00","01:06"
"44","タマキとミフユの無人島0ルピ生活","ストーリーイベントテーマ\n-｢キンキラ☆ハピネス！｣アレンジ-\n\n時間 / 01:10\n作曲 / 斉藤裕也\n編曲 / 西村真吾","bgm_M121_juke","bgm_M121","00:00","01:10"
"45","島クジラ","ストーリーイベントボスバトル\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M124_juke","bgm_M124","00:00","02:35"
"46","キンキラ☆ハピネス！","キャラクターソング\n\n時間 / 01:20\n歌　 / タマキ（沼倉愛美）\n　　　ミフユ（田所あずさ）\n　　　アキノ（松嵜麗）\n　　　ユカリ（今井麻美）\n作詞 / joru\n作曲 / 斉藤裕也\n編曲 / 斉藤裕也","bgm_M146","bgm_M146","00:42","01:20"
"47","新たな船出","メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M179_juke","bgm_M179","00:00","01:20"
"48","アルゲティ","クランバトル\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M181_juke","bgm_M181","00:00","00:58"
"49","新春トゥインクルクライシス！","ストーリーイベントテーマ\n-｢TwinkleStars｣アレンジ-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","bgm_M182_juke","bgm_M182","00:00","00:58"
"50","邪餅神ガミィ","ストーリーイベントボスバトル\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M183_juke","bgm_M183","00:00","02:32"
"51","TwinkleStars","キャラクターソング\n\n時間 / 01:24\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","bgm_M202","bgm_M202","00:45","01:24"
"52","酷熱の砂漠","メインクエスト\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M94_juke","bgm_M94","00:00","01:26"
"53","メデューサ","クランバトル\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M132_juke","bgm_M132","00:00","01:25"
"54","黒鉄の亡霊（ナイトメア）","ストーリーイベントテーマ\n-｢Aloofness Code｣アレンジ-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","bgm_M128_juke","bgm_M128","00:00","01:29"
"55","リビングメイル","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M131_juke","bgm_M131","00:00","02:28"
"56","Aloofness Code","キャラクターソング\n\n時間 / 01:20\n歌　 / ジュン（川澄綾子）\n　　　クリスティーナ（たかはし智秋）\n　　　トモ（茅原実里）\n　　　マツリ（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M154","bgm_M154","00:46","01:20"
"57","Absolute Secret","キャラクターソング\n\n時間 / 01:13\n歌　 / キャル（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬渕直純\n編曲 / 馬渕直純","bgm_M214","bgm_M214","00:44","01:13"
"58","アクアリオス","クランバトル\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M186_juke","bgm_M186","00:00","01:00"
"59","バトルオブバレンタイン！想いぶつかるスウィートバトル","ストーリーイベントテーマ\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏恵","bgm_M189_juke","bgm_M189","00:00","01:02"
"60","アグリーラブリー","ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M192_juke","bgm_M192","00:00","02:24"
"61","SUPER CHOCOLATE","キャラクターソング\n\n時間 / 01:15\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","bgm_M200","bgm_M200","00:40","01:15"
"62","砂海の中のオアシス","メインクエスト\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","bgm_M118_juke","bgm_M118","00:00","01:07"
"63","不思議な森","メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M180_juke","bgm_M180","00:00","01:20"
"64","トルペドン","クランバトル\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","bgm_M205_juke","bgm_M205","00:00","01:00"
"65","王都の名探偵　嘆きの追跡者（ストーカー）","ストーリーイベントテーマ\n-｢未解決な想い｣アレンジ-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","bgm_M206_juke","bgm_M206","00:00","00:39"
"66","嘆きの女神","ストーリーイベントボスバトル\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M209_juke","bgm_M209","00:00","02:09"
"67","未解決な想い","キャラクターソング\n\n時間 / 01:22\n歌　 / マコト（小松未可子）\n　　　カスミ（水瀬いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","bgm_M222","bgm_M222","00:38","01:22"
"68","ロボリマ来襲！王都滅亡までのカウントダウン","エイプリルフールイベント\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M219_juke","bgm_M219","00:00","01:27"
"69","ロボリマ","エイプリルフールイベント\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M220_juke","bgm_M220","00:00","01:38"
"70","ロボリマ~終焉~","エイプリルフールイベント\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M221_juke","bgm_M221","00:00","01:12"
"71","アストルムに咲く双輪の華","ストーリーイベントテーマ\n-｢Crossing Destiny｣アレンジ-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","bgm_M215_juke","bgm_M215","00:00","00:55"
"72","コア・ギガース","ストーリーイベントボスバトル\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","bgm_M218_juke","bgm_M218","00:00","01:45"
"73","Crossing Destiny","キャラクターソング\n\n時間 / 01:30\n歌　 / アン（日笠陽子）\n　　　グレア（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","bgm_M235","bgm_M235","00:54","01:30"
"74","岩峰に潜むもの","メインクエスト\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M232_juke","bgm_M232","00:00","00:55"
"75","ショーグン道中記　白翼のサムライ","ストーリーイベントテーマ\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","bgm_M223_juke","bgm_M223","00:00","00:59"
"76","アクダイカン","ストーリーイベントボスバトル\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M226_juke","bgm_M226","00:00","01:58"
"77","白翼のグローリエ","キャラクターソング\n\n時間 / 01:13\n歌　 / モニカ（辻あゆみ）\n　　　ユキ（大空直美）\n　　　ニノン（佐藤聡美）\n　　　クウカ（長妻樹里）\n　　　アユミ（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M236","bgm_M236","00:42","01:13"
"78","火山の麓","メインクエスト\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M95_juke","bgm_M95","00:00","1:20"
"79","厳烈なる荒地","メインクエスト\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M96_juke","bgm_M96","00:00","1:02"
"80","怠惰の狂人","ストーリーイベントボスバトル\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M231_juke","bgm_M231","00:00","2:33"
"81","鼓の音響く森","メインクエスト\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M233_juke","bgm_M233","00:00","1:08"
"82","スズナレインボーステージ！","ストーリーイベントテーマ\n-｢背伸びFirst Kiss｣アレンジ-\n\n時間 / 00:52\n作曲 / 設楽哲也\n編曲 / 庄司真吾（Cygames）","bgm_M237_juke","bgm_M237","00:00","0:52"
"83","雨神様","ストーリーイベントボスバトル\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M240_juke","bgm_M240","00:00","2:47"
"84","背伸びFirst Kiss","キャラクターソング\n\n時間 / 01:19\n歌　 / イオ（伊藤静）\n　　　スズナ（上坂すみれ）\n　　　ミサキ（久野美咲）\n作詞 / 野村イクミ&滝沢和也（Cygames）\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M252","bgm_M252","00:45","1:19"
"85","お兄ちゃん争奪！　シズルのお手伝い","ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","bgm_M199_juke","bgm_M199","00:00","00:31"
"86","お兄ちゃん争奪！　エリコのお手伝い","ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","bgm_M198_juke","bgm_M198","00:00","00:34"
"87","真夏のマホマホ王国　波打ち際のソウルサマー！","ストーリーイベントテーマ\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","bgm_M245_juke","bgm_M245","00:00","00:57"
"88","マジムン","ストーリーイベントボスバトル\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M248_juke","bgm_M248","00:00","02:03"
"89","We Are Golden","キャラクターソング\n\n時間 / 01:18\n歌　 / マホ（内田真礼）\n　　　マコト（小松未可子）\n　　　カオリ（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","bgm_M263","bgm_M263","00:44","01:18"
"90","クウカ大回転","ミニゲーム\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","bgm_M227_juke","bgm_M227","0:00","0:30"
"91","森の臆病者と聖なる学舎の異端児","ストーリーイベントテーマ\n-｢なかよしセンセーション｣アレンジ-\n\n時間 / 00:57\n作曲 / 大久保薫\n編曲 / 中村早織（Cygames）","bgm_M254_juke","bgm_M254","0:00","0:57"
"92","オオドクマンドラゴラ","ストーリーイベントボスバトル\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M257_juke","bgm_M257","0:00","2:45"
"93","なかよしセンセーション","キャラクターソング\n\n時間 / 01:20\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薫\n編曲 / 大久保薫","bgm_M272","bgm_M272","00:47","01:20"
"94","不穏の根を踏み越えて","メインクエスト\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M260_juke","bgm_M260","0:00","1:00"
"95","カオリのマブイ式空手道場","ミニゲーム\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","bgm_M249_juke","bgm_M249","0:00","0:34"
"96","リトル・ブレイブ・ハロウィンナイト！","ストーリーイベントテーマ\n-｢トリックホリック｣アレンジ-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","bgm_M265_juke","bgm_M265","0:00","0:52"
"97","ファントムバロン","ストーリーイベントボスバトル\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M268_juke","bgm_M268","0:00","2:50"
"98","トリックホリック","キャラクターソング\n\n時間 / 01:24\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","bgm_M280","bgm_M280","0:46","1:24"
"99","泥濘む森の先へ","メインクエスト\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M278_juke","bgm_M278","0:00","1:14"
"100","大激戦！しりとりドラゴンズ","ミニゲーム\n-｢in flames｣アレンジ-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","bgm_M277_juke","bgm_M277","0:00","0:48"
"101","ドラゴンエクスプローラーズ","ストーリーイベントテーマ\n-｢in flames｣アレンジ-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","bgm_M273_juke","bgm_M273","0:00","1:07"
"102","ドラゴンもどき","ストーリーイベントボスバトル\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M276_juke","bgm_M276","0:00","2:29"
"103","in flames","キャラクターソング\n\n時間 / 01:28\n歌　 / イノリ（藤田茜）\n　　　カヤ（小市眞琴）\n　　　ホマレ（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","bgm_M291","bgm_M291","0:56","1:28"
"104","新たなる力への試練","解放クエスト\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","bgm_M259_juke","bgm_M259","0:00","1:13"
"105","プレゼントパニック！　ランドソルのサンタたち","ストーリーイベントテーマ\n-｢Call Me Darling！｣アレンジ-\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","bgm_M281_juke","bgm_M281","0:00","0:58"
"106","トナカイ・ヴェンデッタ","ストーリーイベントボスバトル\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","bgm_M284_juke","bgm_M284","0:00","1:48"
"107","Call Me Darling！","キャラクターソング\n\n時間 / 01:30\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","bgm_M285","bgm_M285","0:54","1:30"
"108","王都終末決戦","王都終末決戦\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M300_juke","bgm_M300","0:00","1:45"
"109","皇帝に仕えし僕との戦い","王都終末決戦ボスバトル\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M301_juke","bgm_M301","0:00","2:15"
"110","神たる者との決戦","王都終末決戦ボスバトル\n-｢Lost Princess｣「真なる皇帝」アレンジ-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","bgm_M299_juke","bgm_M299","0:00","2:45"
"111","激走！　ランドソルギルドレース","ストーリーイベントテーマ\n-｢SAI＊KOUスタートダッシュ｣アレンジ-\n\n時間 / 01:08\n作曲 / 奥井康介\n編曲 / 伊禮完（Cygames）","bgm_M294_juke","bgm_M294","0:00","1:08"
"112","山神様","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M297_juke","bgm_M297","0:00","2:00"
"113","SAI＊KOUスタートダッシュ","キャラクターソング\n\n時間 / 01:25\n歌　 / ペコリーヌ（M・A・O）\n　　　キャル（立花理香）\n　　　コッコロ（伊藤美来）\n　　　スズメ（悠木碧）\n作詞 / KOCHO\n作曲 / 奥井康介\n編曲 / 奥井康介","bgm_M327","bgm_M327","1:00","1:25"
"114","大海を望んで","メインクエスト\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","bgm_M293_juke","bgm_M293","0:00","1:25"
"115","魔法少女　二人はミスティ＆ピュアリー","ストーリーイベントテーマ\n-｢木もれびモンタージュ｣アレンジ-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","bgm_M316_juke","bgm_M316","0:00","1:06"
"116","アンチビースト","ストーリーイベントボスバトル\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","bgm_M319_juke","bgm_M319","0:00","1:28"
"117","木もれびモンタージュ","キャラクターソング\n\n時間 / 01:32\n歌　 / カスミ（水瀬いのり）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M340","bgm_M340","0:50","1:32"
"118","アイドルを目指して！","ストーリーイベントテーマ\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","bgm_M330_juke","bgm_M330","0:00","0:51"
"119","思い出の足跡","メモリアルマップ\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M333_juke","bgm_M333","0:00","1:34"
"120","プリンセスナイト","メインストーリー\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M57_juke","bgm_M57","0:00","2:24"
"121","授けの財団と聖なる学舎の異端児","ストーリーイベントテーマ\n-｢青春スピナー｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","bgm_M343_juke","bgm_M343","0:00","1:07"
