b5c65c9e5c77a21ea37fce5702c1eae28f57da0a793642a1b27dc29c1f986cc4,9859834012c76a0cbdc8fa0dc454e4c9ada2e50ba3488fac8728f1e5082d08de,ff6122a0cc05a5f910e778addaddd05c10de21edceed13af9df8977e222f26ec,8ca8feb2d21429c9c1c5543ac488a4793129e359e85b39fdc7b6024d29a9a8db,f0ef1b088ffdd0fe0af221bd4bbe30cc634a4e5514974d56fae1f27dd28c7184,951e1286f3e01fdd6d16efbcf506ab22666037fc36cee7b2636ee78eb8ec2850,7a9f976369e1fc1c93da0defb22d74ee9321358ea02d7df8c515ae940845ac5a,854493eb6a18e5ca66d3fe096be37566a1fba78308c0a81cb837e836da78a1f5,faf770306ac070f1bd94e5653be39ef046d3affdb856fa55557b46ac6a09f14e,553d11c3c35486136e8e41caf49a3b7b52953ca69417e37cdac0c0ce0611b801,d1dc1c902f64200b2d01e1db6c684f637ee175e409f8fe2f254274cc7e50c071
"","","","32","","0","3","","101","","11010028"
"","","","32","","1","3","","101","","11010029"
"","","","93","","","0.6","","101","","11010030"
"","","","3","","nyx_talk_bitter","103431","0.2","101","1","11010031"
"","","","3","","nyx_cmn_04","104631","0.2","101","1","11010032"
"","","","93","","","2","","101","","11010033"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_02","2","0.2","101","0","11010034"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_02","110931","0.2","101","0","11010035"
"","","","93","","","0.4","","101","","11010036"
"","","","32","","0","3","","101","","11010037"
"","","","32","","1","4","","101","","11010038"
"","","","91","","","11010026","","101","","11010039"
"","","","3","","nyx_idle_bitter","103431","0.2","101","1","11010040"
"","","","3","","nyx_talk_sad","104831","0.2","101","1","11010041"
"","","","11","","ね、ねぇ…\n廊下の方から\n何か聞こえない？","104831","","101","10","11010042"
"","","","91","","","0","","101","","11010043"
"","","","4","","1","110931","","101","","11010044"
"","","","4","","1","2","","101","","11010045"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_02","2","0.2","101","0","11010046"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_02","110931","0.2","101","0","11010047"
"","","","3","","nyx_idle_sad","104831","0.2","101","1","11010048"
"","","","3","","nyx_talk_sad","104631","0.2","101","1","11010049"
"","","","11","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","104631","","101","10","11010050"
"","","","91","","","0","","101","","11010051"
"","","","3","","nyx_idle_sad","104631","0.2","101","1","11010052"
"","","","3","","nyx_talk_sad","103431","0.2","101","1","11010053"
"","","","11","","学校の七不思議的な\nやつかしら…\nか、帰りたい…","103431","","101","10","11010054"
"","","","91","","","0","","101","","11010055"
"","","","3","","nyx_idle_sad","103431","0.2","101","1","11010056"
"","","","3","","nyx_talk_joy2","103231","0.2","101","1","11010057"
"","","","11","","面白いですわね！\n何が出てくるか\nワクワクしますわ！","103231","","101","10","11010058"
"","","","91","","","0","","101","","11010059"
"","","","93","","","0.4","","101","","11010060"
"","","","4","","0","110931","","101","","11010061"
"","","","4","","0","2","","101","","11010062"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_01","110931","0.2","101","0","11010063"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_01","2","0.2","101","0","11010064"
"","","","12","","1","104831","","101","1","11010065"
"","1","nyx_idle_sad","3","0.2","nyx_talk_sad","104831","0.2","101","0","11010066"
"","","","93","","","0.4","","101","","11010067"
"","","","32","","0","3","","101","","11010068"
"","","","32","","1","3","","101","","11010069"
"","","","93","","","1.6","","101","","11010070"
"","","","12","","15","104631","","101","1","11010071"
"","1","nyx_idle_sad","3","0.2","nyx_talk_sad","104631","0.2","101","0","11010072"
"","","","93","","","3","","101","","11010073"
"","","","4","","1","110931","","101","","11010074"
"","","","4","","1","2","","101","","11010075"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_02","110931","0.2","101","0","11010076"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_02","2","0.2","101","0","11010077"
"","","","12","","10","103231","","101","1","11010078"
"","1","nyx_idle_joy1","3","0.2","nyx_talk_joy1","103231","0.2","101","0","11010079"
"","","","93","","","2","","101","","11010080"
"","","","12","","2","103431","","101","1","11010081"
"","1","nyx_idle_sad","3","0.2","nyx_talk_sad","103431","0.2","101","0","11010082"
"","","","93","","","2.5","","101","","11010083"
"","","","101","","","11010060","","101","","11010084"
"nyx_102_chloe_01","-209.3","-362","1","1","110831","1","1.35","102","110","11020001"
"nyx_102_mifuyu_01","-182.5","90","1","0","104831","1","1.35","102","110","11020002"
"nyx_idle_normal","-182.5","220","1","0","104631","1","1.35","102","110","11020003"
"nyx_talk_normal","-182.5","336","1","1","103231","1","1.35","102","110","11020004"
"nyx_idle_normal","-182.5","457","1","1","103431","1","1.35","102","110","11020005"
"","1","0","31","","1","1","1","102","0","11020006"
"NoItem","-209.3","-362","5","0","2","2","1.35","102","120","11020007"
"","","","25","","bgm_M347","bgm_M347","","102","","11020008"
"","","","93","","","2","","102","","11020009"
"","","","3","","nyx_102_chloe_02","110831","0.2","102","1","11020010"
"","","","11","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","110831","","102","10","11020011"
"","","","91","","1","0","","102","","11020012"
"","","","3","","nyx_idle_sad","110831","0.2","102","1","11020013"
"","","","11","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","110831","","102","10","11020014"
"","","","91","","1","0","","102","","11020015"
"","1","nyx_102_chloe_02","3","0.2","cmn_pose02_def_N","110831","0.2","102","0","11020016"
"","","","11","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","110831","","102","10","11020017"
"","","","93","","","3","","102","","11020018"
"","","","3","","nyx_idle_normal","103231","0.2","102","1","11020019"
"","","","3","","nyx_talk_sad","104631","0.2","102","1","11020020"
"","","","4","","0","110831","","102","","11020021"
"","","","91","","","11020016","","102","","11020022"
"","","","93","","","1","","102","","11020023"
"","","","3","","nyx_102_chloe_01","110831","0.2","102","1","11020024"
"","","","11","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","110831","","102","10","11020025"
"","","","93","","","2.5","","102","","11020026"
"","1","nyx_102_chloe_03_loop","3","","nyx_102_chloe_03","110831","0.2","102","0","11020027"
"","1","nyx_102_chloe_03_loop","3","","nyx_102_chloe_03","2","0.2","102","0","11020028"
"","","","91","","","11020025","","102","","11020029"
"","","","93","","","1","","102","","11020030"
"","","","11","","ちぇる…ちぇる…","104831","","102","10","11020031"
"","","","93","","","1.5","","102","","11020032"
"","","","4","","1","104631","","102","0","11020033"
"","1","nyx_idle_surprise2","3","0.2","cmn_shock_def_N","104631","0.2","102","0","11020034"
"","1","nyx_idle_surprise2","3","0.2","cmn_shock_def_N","103431","0.2","102","0","11020035"
"","1","nyx_idle_surprise1","3","0.2","nyx_surprise","103231","0.2","102","0","11020036"
"","","","93","","","1.5","","102","","11020037"
"","1","","3","0.2","nyx_talk_surprise2","104631","0.2","102","1","11020038"
"","","","3","","nyx_102_yukari_01","103431","0.2","102","1","11020039"
"","","","11","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","103431","","102","10","11020040"
"","","","91","","1","0","","102","","11020041"
"","1","nyx_102_tamaki_01_loop","3","0.2","cmn_shock_def_N","103431","0.2","102","0","11020042"
"","","","4","","0","103231","","102","0","11020043"
"","","","4","","0","104631","","102","0","11020044"
"","","","91","","","0","","102","","11020045"
"","","","11","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","104631","","102","10","11020046"
"","","","93","","","2.6","","102","","11020047"
"","1","nyx_102_tamaki_01_loop","3","0.2","nyx_102_tamaki_01","104631","0.2","102","0","11020048"
"","","","93","","","0.1","","102","","11020049"
"","","","4","","1","103231","","102","0","11020050"
"","","","93","","","1.5","","102","","11020051"
"","","","11","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","103231","","102","10","11020052"
"","","","91","","","0","","102","","11020053"
"","","","93","","","1","","102","","11020054"
"","1","nyx_102_chloe_03_loop","3","","nyx_102_chloe_04","110831","0.2","102","0","11020055"
"","1","nyx_102_chloe_03_loop","3","","nyx_102_chloe_04","2","0.2","102","0","11020056"
"","","","93","","","1.5","","102","","11020057"
"","","","12","","12","110831","","102","1","11020058"
"","","","93","","","1","","102","","11020059"
"","","","12","","1","103431","","102","1","11020060"
"","1","nyx_cmn_03","3","0.2","nyx_cmn_01","103431","0.2","102","0","11020061"
"","1","","3","0.2","nyx_idle_worry","104631","0.2","102","1","11020062"
"","","","93","","","2","","102","","11020063"
"","","","12","","12","104831","","102","1","11020064"
"","","","93","","","2","","102","","11020065"
"","","","12","","10","103231","","102","1","11020066"
"","1","nyx_idle_normal","3","0.2","nyx_talk_normal","103231","0.2","102","0","11020067"
"","","","93","","","2","","102","","11020068"
"","","","12","","2","104631","","102","1","11020069"
"","1","nyx_idle_worry","3","0.2","nyx_talk_sad","104631","0.2","102","0","11020070"
"","","","93","","","4","","102","","11020071"
"","","","101","","1","11020055","","102","","11020072"
"nyx_103_yuni_01","-209.3","-421","1","0","111031","1","1.35","103","110","11030001"
"nyx_idle_normal","-182.5","121.8","1","0","104831","1","1.35","103","110","11030002"
"NoItem","-182.5","121.8","5","0","2","2","1.35","103","120","11030003"
"nyx_idle_normal","-182.5","227.7","1","0","104631","1","1.35","103","110","11030004"
"NoItem","-182.5","227.7","5","0","2","2","1.35","103","120","11030005"
"nyx_idle_normal","-182.5","340.3","1","1","103231","1","1.35","103","110","11030006"
"nyx_cmn_03","-182.5","449.6","1","1","103431","1","1.35","103","110","11030007"
"NoItem","-182.5","449.6","5","1","2","2","1.35","103","120","11030008"
"","1","0","31","","1","1","1","103","0","11030009"
"","","","25","","bgm_M347","bgm_M347","","103","","11030010"
"","","","93","","","2","","103","","11030011"
"","","","3","","nyx_talk_sad","103431","0.2","103","1","11030012"
"","","","11","","プレゼンって\nこんなに\n疲れるものなの…？","103431","","103","10","11030013"
"","","","91","","","0","","103","","11030014"
"","","","3","","nyx_cmn_03","103431","0.2","103","1","11030015"
"","","","3","","nyx_cmn_05","104831","0.2","103","1","11030016"
"","","","11","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","104831","","103","10","11030017"
"","","","91","","","0","","103","","11030018"
"","","","3","","nyx_cmn_04","104831","0.2","103","1","11030019"
"","","","3","","nyx_talk_normal","103231","0.2","103","1","11030020"
"","","","11","","あら？\n次もなかよし部の方\nみたいですわよ？","103231","","103","10","11030021"
"","","","91","","","0","","103","","11030022"
"","","","3","","nyx_idle_normal","103231","0.2","103","1","11030023"
"","","","3","","nyx_talk_sad","104631","0.2","103","1","11030024"
"","","","11","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","104631","","103","10","11030025"
"","","","93","","","2.6","","103","","11030026"
"","","","3","","nyx_102_chloe_01","111031","0.2","103","1","11030027"
"","","","91","","","11030025","","103","","11030028"
"","1","nyx_idle_sad","3","0.3","nyx_cmn_02","104631","0.2","103","0","11030029"
"","","","3","","nyx_cmn_02","2","0.2","103","0","11030030"
"","1","nyx_cmn_03","3","0.3","nyx_cmn_02","103431","0.2","103","0","11030031"
"","","","3","","nyx_cmn_02","2","0.2","103","0","11030032"
"","1","nyx_idle_normal","3","0.2","nyx_cmn_02","104831","0.2","103","0","11030033"
"","","","3","","nyx_cmn_02","2","0.2","103","0","11030034"
"","","","93","","","1.5","","103","","11030035"
"","","","3","","nyx_303_yuni_01","111031","0.2","103","1","11030036"
"","","","11","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","111031","","103","10","11030037"
"","","","93","","","2.8","","103","","11030038"
"","","","12","","13","104831","","103","1","11030039"
"","","","3","","nyx_talk_normal","104831","0.2","103","1","11030040"
"","","","91","","","11030037","","103","","11030041"
"","","","11","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","111031","","103","10","11030042"
"","","","91","","","0","","103","","11030043"
"","","","3","","nyx_103_yuni_02","111031","0.2","103","1","11030044"
"","","","11","","いざ上級生としての\n責務を果たす時だ","111031","","103","10","11030045"
"","","","93","","","1.5","","103","","11030046"
"","","","12","","17","103231","","103","1","11030047"
"","","","3","","nyx_idle_normal","104831","0.2","103","1","11030048"
"","","","3","","nyx_cmn_05","103231","0.2","103","1","11030049"
"","","","91","","","11030045","","103","","11030050"
"","0","nyx_103_yuni_04","3","0.6","nyx_103_yuni_03","111031","0.3","103","0","11030051"
"","","","11","","ユニちゃんズの\n名に懸けて…！","111031","","103","10","11030052"
"","","","91","","","0","","103","","11030053"
"","","","3","","nyx_idle_normal","103231","0.2","103","1","11030054"
"","","","93","","","0.6","","103","","11030055"
"","","","12","","12","111031","0.2","103","1","11030056"
"","1","nyx_idle_normal","3","0.2","cmn_pose02_def_N","111031","0.2","103","0","11030057"
"","","","93","","","1.5","","103","","11030058"
"","","","12","","15","104631","","103","1","11030059"
"","1","nyx_idle_worry","3","0.2","nyx_talk_sad","104631","0.2","103","0","11030060"
"","","","93","","","2","","103","","11030061"
"","","","12","","10","103231","","103","1","11030062"
"","1","nyx_idle_normal","3","0.2","nyx_talk_joy1","103231","0.2","103","0","11030063"
"","1","nyx_idle_normal","3","0.2","nyx_103_yuni_01","111031","0.2","103","0","11030064"
"","","","93","","","2.5","","103","","11030065"
"","","","12","","1","103431","","103","1","11030066"
"","1","nyx_cmn_03","3","0.3","nyx_cmn_01","103431","0.2","103","0","11030067"
"","","","93","","","2","","103","","11030068"
"","","","12","","12","104831","","103","1","11030069"
"","","","3","","nyx_talk_bitter","104831","0.2","103","1","11030070"
"","","","93","","","2","","103","","11030071"
"","","","3","","nyx_idle_bitter","104831","0.2","103","1","11030072"
"","","","93","","","1","","103","","11030073"
"","","","101","","","11030056","","103","","11030074"
"nyx_201_akino_01","-294.7","-235.4","1","1","103231","1","1.2","201","110","12010001"
"nyx_201_akino_01","-294.7","-235.4","5","1","2","2","1.2","201","120","12010002"
"nyx_idle_normal","-281.6","-357","1","0","104631","1","1.2","201","110","12010003"
"nyx_idle_normal","-281.6","310.5","1","1","103431","1","1.2","201","110","12010004"
"nyx_idle_normal","-281.6","-453.3","1","0","104831","1","1.2","201","110","12010005"
"","1","0","31","","1","2","1","201","0","12010006"
"","1","0","31","","2","11","1","201","0","12010007"
"","","","25","","bgm_M347","bgm_M347","","201","","12010008"
"","","","93","","","2","","201","","12010009"
"","","","11","","タマキさん、この\n部品の組み立てを\nお願いしますわ！","103231","","201","10","12010010"
"","","","91","","","0","","201","","12010011"
"","1","nyx_idle_surprise1","3","0.3","nyx_surprise","104631","0.3","201","0","12010012"
"","","","11","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","104631","","201","10","12010013"
"","","","91","","","0","","201","","12010014"
"","","","4","","0","103231","","201","0","12010015"
"","","","4","","0","2","","201","","12010016"
"","","","3","0.3","nyx_idle_bitter2","104631","0.3","201","1","12010017"
"","","","3","0.3","nyx_201_akino_02","103231","0.3","201","1","12010018"
"","","","3","0.3","nyx_201_akino_02","2","0.3","201","1","12010019"
"","","2.2","2","","199","103231","","201","-294.7","12010020"
"","","2.2","2","","199","2","","201","-294.7","12010021"
"","","","93","","","2.2","","201","","12010022"
"","","","3","0.3","nyx_201_akino_01","103231","0.3","201","1","12010023"
"","","","3","0.3","nyx_201_akino_01","2","0.3","201","1","12010024"
"","","","11","","ユカリさん！\nこの回路の発注を\n至急お願いします！","103231","","201","10","12010025"
"","","","91","","","0","","201","","12010026"
"","","","3","0.3","nyx_cmn_01","103431","0.3","201","1","12010027"
"","","","11","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","103431","","201","10","12010028"
"","","","91","","","0","","201","","12010029"
"","","","3","0.3","nyx_idle_bitter2","103431","0.3","201","1","12010030"
"","","","4","","1","103231","","201","","12010031"
"","","","4","","1","2","","201","","12010032"
"","","","3","0.3","nyx_201_akino_02","103231","0.3","201","1","12010033"
"","","","3","0.3","nyx_201_akino_02","2","0.3","201","1","12010034"
"","","2.2","2","","-235.4","103231","","201","-294.7","12010035"
"","","2.2","2","","-235.4","2","","201","-294.7","12010036"
"","","","93","","","2.2","","201","","12010037"
"","","","3","0.3","nyx_201_akino_01","103231","0.3","201","1","12010038"
"","","","3","0.3","nyx_201_akino_01","2","0.3","201","1","12010039"
"","","","11","","ミフユさんは動作\nチェックを念入りに\nお願いします！","103231","","201","10","12010040"
"","","","91","","","0","","201","","12010041"
"","1","nyx_idle_surprise1","3","0.3","nyx_surprise","104831","0.3","201","0","12010042"
"","","","11","","は、はいっ！\n…アキノさんが\n燃えてるわ…","104831","0","201","10","12010043"
"","","","91","","","0","","201","","12010044"
"","","","3","0.3","nyx_talk_sad","104831","0.3","201","1","12010045"
"","","","11","","でもなぜかしら\n不安だわ…\n不安しかない…","104831","0","201","10","12010046"
"","","","91","","","0","","201","","12010047"
"","","","3","0.3","nyx_idle_bitter2","104831","0.3","201","1","12010048"
"","","","91","","","0","","201","","12010049"
"","","","93","","","0.4","","201","","12010050"
"","","","4","","0","103231","","201","0","12010051"
"","","","4","","0","2","","201","","12010052"
"","","","3","0.2","nyx_201_akino_02","103231","0.2","201","1","12010053"
"","","","3","0.2","nyx_201_akino_02","2","0.2","201","1","12010054"
"","","2.2","2","","199","103231","","201","-294.7","12010055"
"","","2.2","2","","199","2","","201","-294.7","12010056"
"","","","3","0.2","nyx_cmn_03","103431","0.2","201","1","12010057"
"","","","93","","","2.2","","201","","12010058"
"","","","12","","10","103231","","201","1","12010059"
"","","","3","0.2","nyx_201_akino_01","103231","0.2","201","1","12010060"
"","","","3","0.2","nyx_201_akino_01","2","0.2","201","1","12010061"
"","","","91","","","0","","201","","12010062"
"","","","3","0.2","nyx_idle_surprise1","103431","0.2","201","1","12010063"
"","","","91","","","0","","201","","12010064"
"","","","3","0.2","nyx_102_chloe_02","103431","0.2","201","1","12010065"
"","","","4","","1","103231","","201","","12010066"
"","","","4","","1","2","","201","","12010067"
"","","","3","0.2","nyx_201_akino_02","103231","0.2","201","1","12010068"
"","","","3","0.2","nyx_201_akino_02","2","0.2","201","1","12010069"
"","","2.2","2","","-235.4","103231","","201","-294.7","12010070"
"","","2.2","2","","-235.4","2","","201","-294.7","12010071"
"","","","93","","","2.2","","201","","12010072"
"","","","12","","10","103231","","201","1","12010073"
"","","","3","0.2","nyx_201_akino_01","103231","0.2","201","1","12010074"
"","","","3","0.2","nyx_201_akino_01","2","","201","1","12010075"
"","","","93","","","3","","201","","12010076"
"","1","nyx_idle_normal","3","0.2","cmn_nod_def_N","104631","0.2","201","0","12010077"
"","","","93","","","0.8","","201","","12010078"
"","","","12","","3","104831","","201","1","12010079"
"","1","nyx_idle_sad","3","0.2","nyx_talk_worry","104831","0.2","201","0","12010080"
"","","","93","","","1","","201","","12010081"
"","","","101","","","12010051","","201","","12010082"
"nyx_202_tamaki_03_loop","-255","-136","5","0","3","1","1.2","202","100","12020001"
"nyx_idle_joy1","-286.1","183.7","1","1","103231","1","1.2","202","110","12020002"
"nyx_202_yukari_01","-286.1","312.6","5","1","5","2","1.2","202","120","12020003"
"nyx_202_yukari_01","-286.1","312.6","1","1","103431","1","1.2","202","110","12020004"
"nyx_idle_normal","-286.1","-269.8","1","0","104831","1","1.2","202","120","12020005"
"","1","0","31","","1","2","1","202","0","12020006"
"","1","34","31","","2","12","1","202","0","12020007"
"","1","130","31","","7","16","0","202","-74","12020008"
"nyx_yagura_idle","-255","-208","5","0","4","3","1","202","110","12020009"
"NoItem","-286.1","-269.8","5","0","6","2","1.2","202","120","12020010"
"","","","25","","bgm_M347","bgm_M347","","202","","12020011"
"","","","93","","","2","","202","","12020012"
"","","","11","","開発もなんだか\n楽しくなってきた\nにゃ～！","3","","202","10","12020013"
"","","","91","","","0","","202","","12020014"
"","","","11","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","3","","202","10","12020015"
"","","","91","","","0","","202","","12020016"
"","","","11","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","3","","202","10","12020017"
"","","","93","","","0.4","","202","","12020018"
"","1","nyx_202_tamaki_loop","3","","nyx_202_tamaki_03_puton","3","0.2","202","0","12020019"
"","","","91","","","12020017","","202","","12020020"
"","1","nyx_202_tamaki_01","3","","nyx_202_tamaki_up","3","0.2","202","0","12020021"
"","1","nyx_yagura_up_idle","3","","nyx_yagura_up","4","","202","0","12020022"
"","","","93","","","2.4","","202","","12020023"
"","","","32","","1","7","","202","","12020024"
"","","","3","","nyx_202_akino_01_loop","103231","0.2","202","1","12020025"
"","","","11","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","103231","","202","10","12020026"
"","","","91","","","0","","202","","12020027"
"","","","3","","nyx_talk_anger2","104831","0.2","202","1","12020028"
"","","","11","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","104831","","202","10","12020029"
"","","","91","","","0","","202","","12020030"
"","","","3","","nyx_idle_anger2","103431","0.2","202","1","12020031"
"","","","3","","nyx_202_yukari_01","103431","0.2","202","1","12020032"
"","","","11","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","103431","","202","10","12020033"
"","","","91","","","0","","202","","12020034"
"","","nyx_cmn_04","3","0.2","nyx_cmn_05","104831","0.2","202","0","12020035"
"","","","11","","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","104831","0","202","10","12020036"
"","","","91","","","0","","202","","12020037"
"","","","3","","nyx_202_yukari_01","103431","0.2","202","1","12020038"
"","","","11","","え～？\nにゃんのことぉ～？\n…うっふふ～♪","103431","","202","10","12020039"
"","","","91","","","0","","202","","12020040"
"","","","93","","","2","","202","","12020041"
"","","","12","","13","103231","","202","1","12020042"
"","1","nyx_202_akino_01_loop","3","0.2","nyx_talk_joy2","103231","0.2","202","0","12020043"
"","","","93","","","2.5","","202","","12020044"
"","","","12","","3","104831","","202","1","12020045"
"","","","3","","nyx_talk_anger2","104831","0.2","202","1","12020046"
"","","","93","","","2","","202","","12020047"
"","","","3","","nyx_cmn_02","104831","0.2","202","0","12020048"
"","1","NoItem","3","","nyx_cmn_02","6","0.2","202","0","12020049"
"","","","93","","","1","","202","","12020050"
"","1","nyx_cmn_04","3","0.2","nyx_cmn_05","104831","0.2","202","0","12020051"
"","","","93","","","2","","202","","12020052"
"","","","12","","5","103431","","202","1","12020053"
"","1","nyx_202_yukari_01","3","0.2","nyx_203_yukari_01","5","0.2","202","0","12020054"
"","1","nyx_202_yukari_01","3","0.2","nyx_203_yukari_01","103431","0.2","202","0","12020055"
"","","","93","","","1.2","","202","","12020056"
"","","","12","","11","3","","202","1","12020057"
"","","","93","","","0.8","","202","","12020058"
"","","","101","","","12020041","","202","","12020059"
"nyx_idle_normal","-286","-300","1","0","104831","1","1.2","203","130","12030001"
"nyx_idle_normal","-286","316","1","1","104631","1","1.2","203","100","12030002"
"nyx_idle_normal","-286","110","1","1","103231","1","1.2","203","100","12030003"
"nyx_203_yukari_01","-10","-200","1","0","103431","1","1.2","203","100","12030004"
"","1","0","31","","1","2","1","203","0","12030005"
"","1","34","31","","2","13","1","203","-80","12030006"
"nyx_203_yukari_01","-10","-200","5","0","3","2","1.2","203","110","12030007"
"nyx_yagura_up_harf","-255","-250","5","0","4","3","1","203","120","12030008"
"","","","25","","bgm_M347","bgm_M347","","203","","12030009"
"","","","93","","","2","","203","","12030010"
"","","","11","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","103431","","203","10","12030011"
"","","","93","","","0.6","","203","","12030012"
"","1","nyx_lookup_loop2","3","0.2","nyx_lookup","103231","0.2","203","0","12030013"
"","","","91","","","12030011","","203","","12030014"
"","","","11","","ん～？\nにゃ～にこの\nでっかいのぉ～","103431","","203","10","12030015"
"","","","93","","","0.6","","203","","12030016"
"","1","nyx_lookup_loop2","3","0.2","nyx_lookup","104631","0.2","203","0","12030017"
"","","","91","","","12030015","","203","","12030018"
"","1","nyx_203_yukari_05","3","","nyx_203_yukari_02","3","0.2","203","0","12030019"
"","1","nyx_203_yukari_05","3","","nyx_203_yukari_02","103431","0.2","203","0","12030020"
"","","","11","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","103431","","203","10","12030021"
"","","","93","","","0.4","","203","","12030022"
"","1","nyx_lookup_loop2","3","0.2","nyx_lookup","104831","0.2","203","0","12030023"
"","","","91","","","12030021","","203","","12030024"
"","","","93","","","0.2","","203","","12030025"
"","1","nyx_idle_sad","3","0.2","nyx_cmn_02","104831","0.2","203","0","12030026"
"","","","11","","何してるのよ\nユカリさん…","104831","0","203","10","12030027"
"","","","93","","","0.1","","203","","12030028"
"","1","nyx_cmn_04","3","0.2","nyx_cmn_02","103231","0.2","203","0","12030029"
"","","","11","","何してますの…\nユカリさん…","103231","","203","10","12030030"
"","","","93","","","0.1","","203","","12030031"
"","1","nyx_idle_sad","3","0.2","nyx_cmn_02","104631","0.2","203","0","12030032"
"","","","11","","何してるのにゃ\nユカリ…","104631","","203","10","12030033"
"","","","91","","","0","","203","","12030034"
