699cf76691cfd0eb9567dae1504ecd1371866af740124e607016deb7d4cf52c5,2b59769a1844693ccd9b0eabfd599af1b35fe2eef8cb4a92f6f1b263f157cd39,fa2e858cfdf2726ae652c22c77231aa039650182a9df4b711fc43c410271aa1b,a7e0a11f94f2686d43dbf77ef8e457dd3b75260d2b75e478d0fc69529b13537e,135ef51d6bf98f51db06a8a75da8e6ba3ff7d9c33ef8fabca9636026b1df4cb8,2b30d32d4c6fe9bc880503f85ebcd96520c4de840e1b14fd94015be734b394c1,285d9ce000ab91108ffa7d316459f8cb934c934159e977c0fd39ec5bd49db17e,50808ae0bf8217673ca1a3aba7ba75bb39abcec76a3327a82693c4c1b1e38e9c
"96006","2","6","2","107","41000","10000","1"
"96006","2","6","5","108","31262","1500","5"
"96006","2","6","5","109","31266","1500","5"
"96006","2","6","5","110","31269","1500","5"
"96006","2","6","5","111","31271","1500","5"
"96006","2","6","5","112","90005","2500","10"
"96006","4","6","10","113","140001","2500","50"
"96006","2","6","10","114","25001","1000","10"
"96006","4","6","5","115","150003","500","30"
"96006","4","6","5","116","150004","650","30"
"96006","4","6","5","117","150005","750","30"
"96006","4","6","5","118","150006","900","30"
"96006","4","6","5","119","150007","1000","30"
"96006","4","6","5","120","150008","1150","30"
"96006","4","6","5","121","150009","1300","30"
"96006","2","6","5","122","20004","2500","500"
"96006","2","6","5","123","22003","1000","500"
"96006","2","6","0","124","20004","1000","100"
"96006","2","6","0","125","22003","400","100"
