e727fc76548e08afad6cb50b2aa55d3ecd61d0a84644b5552939e4446f7fa587,c35fef858d6a51471c7a0ba867ecd9d3948d638f1613813747e358c641c4940c,e7968e858c1382c8a22d47809f07a4a5e2f884934b0cf58690a42cb170383cba,252a0c06c38b0aaedc7fbe67c43919df9cb1f812960b3293d86fa278833d2720,fd30aeabe52662930e9866865c2b1e8590ad7527ff8375c7cc3523c287bed449,aab73c6a59b9900a2211f1f90f1690498292d5a04c05154769659e10fcfa8064,3fe049057d7c6fb559059e2ea953e39f9b73760f5d49022f74d64ed289440ea3,33b6a247011858fe146c0bd3389c2a3c3468651ed398616e347f49030149d829,ee5cb4935c690f08b9f38d8bedc57b95a61c788b47e6bb5f59d606a81f95043f,76fd718779d45e1498f0d518ab4896eaa6b91aafdbc2f2536f46294bba7eb6d2,6761aecbf610d55bd837347e3d9f0a668ca53178540d400cb23e2f272c9a38dd,ee2e6efed1bdde1f5e496bd39f5a31695a359e1ee6c332fb0c930b6220ae4395,c15155653ce9181d8654359ad58f044d692a67d49096dc8604c96e917c0c3b38,e0c93acd65200054559bdb0b51cee1ca553c789a2eb7c10e18761b718abfc129,d24b5486d85d229f155fdf8194554492735936a82ed5bdb3a09c81549a7555a5,8bc79425322cea63ec67912bce1eb65767868bc788ef7e3e3ad6374800367308
"6","3","0","0","2","25204","0","25203","2","6","2","78100532","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100533","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100534","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100535","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100541","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100542","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100543","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100544","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100545","25206","0","0","0"
"40","40","0","0","8","25202","0","91002","2","50","2","78100601","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100602","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100603","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100604","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100605","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100611","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100612","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100613","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100614","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100615","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100621","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100622","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100623","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100624","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100625","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100631","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100632","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100633","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100634","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100635","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100641","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100642","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100643","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100644","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100645","25206","0","0","0"
"40","40","0","0","8","25202","0","91002","2","50","2","78100701","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100702","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100703","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100704","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100705","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100711","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100712","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100713","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100714","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100715","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100721","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100722","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100723","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100724","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100725","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100731","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100732","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100733","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100734","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100735","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100741","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100742","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100743","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100744","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100745","25206","0","0","0"
