b4fa550b0b6045114e92eee76b6a41c6b3ebabb496c81810cf027744de83bc0b,563c579ba9d1b23643cfb9236b44b1da6c48cbc920421fa3033566137a221918,99f47af46457139d130fdd3e0b65dca3d1eb39b3ff808168c534e1e12727b0f2,75f0b59ef7bb7ffe9330e09fc7b838e102c7f15fa0e7beda455a93bbe58ebe5e,06a64050f13cfd9d9c3da69c90a79819e36b280b9cabdc57bed6c152ab489631,21783c7ca8448c6c99343906418f59e480ab3f0a9f4472b0f5c9e8b8764a66fd,c2d26c35f853eceefcfd860643921ffb8a43399f99b7dad186029a2160e4efa6,8fda9b6190c1cac7c94a9552a5a88beac7a964f83792fbef5ee66047469c54b9,448a48f993a80aa1a2b52712da9d04e59dbc9d9f99989989cd2ce19a09933bc0,c625e7b29ee60ec54fca93d78f5139821a44c72d1d4af52ac1a4fc0c32a7d9f4,1d65522501f7055f4545a7e774bcea9411ad31b8ae03575fd9c3b17489e26f6f
"3013","","","0.2","","1","3","129811","","drama_idle_sad","3"
"3014","drama_talk_arm_crossed_loop","","0.2","","0","3","129911","1","drama_talk_arm_crossed_in","3"
"3015","0","","","","0","3","vo_minigame_1013","","vo_minigame_1013_top_talk_3_002","21"
"3016","1","0.3","0","0","6","3","129911","0","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","11"
"3017","","","","","","3","0","","","91"
"3018","","","0.2","","1","3","129811","","drama_idle","3"
"3019","","","0.2","","1","3","129911","","drama_idle","3"
"4001","167","drama_idle","1.65","1","100","4","1","-224","129811","1"
"4002","-49","drama_idle","1.65","0","100","4","1","-224","129911","1"
"4003","","","0.2","","1","4","129911","","drama_idle","3"
"4004","drama_talk_doya_loop_shy","","0.2","","0","4","129811","1","drama_talk_doya_in_shy","3"
"4005","0","","","","0","4","vo_minigame_1013","","vo_minigame_1013_top_talk_4_000","21"
"4006","1","0.3","0","0","7","4","129811","0","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","11"
"4007","","","","","","4","0","","","91"
"4008","","","0.2","","1","4","129811","","drama_idle_doya_shy","3"
"4009","drama_talk_wish_loop","","0.2","","0","4","129911","1","drama_talk_wish_in","3"
"4010","0","","","","0","4","vo_minigame_1013","","vo_minigame_1013_top_talk_4_001","21"
"4011","1","0.5","0","0","5","4","129911","0","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","11"
"4012","","","","","","4","0","","","91"
"4013","","","0.2","","1","4","129911","","drama_idle_wish","3"
"4014","","","0.2","","1","4","129811","0","drama_idle_thinking_shy","3"
"4015","0","","","","0","4","vo_minigame_1013","","vo_minigame_1013_top_talk_4_002","21"
"4016","1","0","0","0","8","4","129811","0","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","11"
"4017","","","","","","4","0","","","91"
"4018","","","0.2","","1","4","129911","","drama_idle","3"
"4019","","","0.2","","1","4","129811","","drama_idle","3"
"5001","167","drama_idle","1.65","1","100","5","1","-224","129811","1"
"5002","-49","drama_idle","1.65","0","100","5","1","-224","129911","1"
"5003","","","0.2","","1","5","129811","","drama_idle","3"
"5004","","","0.2","","1","5","129911","","drama_talk_thinking","3"
"5005","0","","","","0","5","vo_minigame_1013","","vo_minigame_1013_top_talk_5_000","21"
"5006","1","0.8","0","0","6","5","129911","0","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","11"
"5007","","","","","","5","0","","","91"
"5008","","","0.2","","1","5","129911","","drama_idle_thinking","3"
"5009","drama_talk_wonder_loop","","0.2","","0","5","129811","1","drama_talk_wonder_in","3"
"5010","0","","","","0","5","vo_minigame_1013","","vo_minigame_1013_top_talk_5_001","21"
"5011","1","0.3","0","0","7","5","129811","0","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","11"
"5012","","","","","","5","0","","","91"
"5013","","","0.2","","1","5","129811","","drama_idle_wonder","3"
"5014","","","0.2","","1","5","129911","","drama_talk_memory","3"
"5015","0","","","","0","5","vo_minigame_1013","","vo_minigame_1013_top_talk_5_002","21"
"5016","1","0.5","0","0","5","5","129911","0","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","11"
"5017","","","","","","5","0","","","91"
"5018","","","0.2","","1","5","129811","","drama_idle","3"
"5019","","","0.2","","1","5","129911","","drama_idle","3"
"6001","167","drama_idle","1.65","1","100","6","1","-224","129811","1"
"6002","-49","drama_idle","1.65","0","100","6","1","-224","129911","1"
"6003","","","0.2","","1","6","129911","","drama_idle","3"
"6004","","","0.2","","1","6","129811","","drama_talk_thinking_shy","3"
"6005","0","","","","0","6","vo_minigame_1013","","vo_minigame_1013_top_talk_6_000","21"
"6006","1","0.3","0","0","8","6","129811","0","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","11"
"6007","","","","","","6","0","","","91"
"6008","","","0.2","","1","6","129811","","drama_idle_thinking_shy","3"
"6009","drama_talk_doubt_loop","","0.2","","0","6","129911","1","drama_talk_doubt_in","3"
"6010","0","","","","0","6","vo_minigame_1013","","vo_minigame_1013_top_talk_6_001","21"
"6011","1","0.8","0","0","6","6","129911","0","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","11"
"6012","","","","","","6","0","","","91"
"6013","","","0.2","","1","6","129911","","drama_idle_doubt","3"
"6014","drama_talk_surprise_loop_shy","","0.2","","0","6","129811","1","drama_talk_surprise_in_shy","3"
"6015","0","","","","0","6","vo_minigame_1013","","vo_minigame_1013_top_talk_6_002","21"
"6016","1","0.3","0","0","9","6","129811","0","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","11"
"6017","","","","","","6","0","","","91"
"6018","","","0.2","","1","6","129911","","drama_idle","3"
"6019","","","0.2","","1","6","129811","","drama_idle","3"
"7001","167","drama_idle","1.65","1","100","7","1","-224","129811","1"
"7002","-49","drama_idle","1.65","0","100","7","1","-224","129911","1"
"7003","","","0.2","","1","7","129811","","drama_idle","3"
"7004","drama_talk_arm_crossed_loop","","0.2","","0","7","129911","1","drama_talk_arm_crossed_in","3"
"7005","0","","","","0","7","vo_minigame_1013","","vo_minigame_1013_top_talk_7_000","21"
"7006","1","0.3","0","0","6","7","129911","0","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","11"
"7007","","","","","","7","0","","","91"
"7008","","","0.2","","1","7","129911","","drama_idle_arm_crossed","3"
"7009","drama_talk_guts2_loop","","0.2","","0","7","129811","1","drama_talk_guts2_in","3"
"7010","0","","","","0","7","vo_minigame_1013","","vo_minigame_1013_top_talk_7_001","21"
"7011","1","0","0","0","6","7","129811","0","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","11"
"7012","","","","","","7","0","","","91"
"7013","","","0.2","","1","7","129811","","drama_idle_guts2","3"
"7014","","","0.2","","1","7","129911","","drama_talk_thinking","3"
"7015","0","","","","0","7","vo_minigame_1013","","vo_minigame_1013_top_talk_7_002","21"
"7016","1","0.5","0","0","6","7","129911","0","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","11"
"7017","","","","","","7","0","","","91"
"7018","","","0.2","","1","7","129811","","drama_idle","3"
"7019","","","0.2","","1","7","129911","","drama_idle","3"
"8001","167","drama_idle","1.65","1","100","8","1","-224","129811","1"
"8002","-49","drama_idle","1.65","0","100","8","1","-224","129911","1"
"8003","","","0.2","","1","8","129911","","drama_idle","3"
"8004","drama_talk_doya_loop_smile","","0.2","","0","8","129811","1","drama_talk_doya_in_smile","3"
"8005","0","","","","0","8","vo_minigame_1013","","vo_minigame_1013_top_talk_8_000","21"
"8006","1","0.3","0","0","7","8","129811","0","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","11"
"8007","","","","","","8","0","","","91"
"8008","","","0.2","","1","8","129811","","drama_idle_doya_smile","3"
"8009","drama_talk_arm_crossed_loop","","0.2","","0","8","129911","1","drama_talk_arm_crossed_in","3"
"8010","0","","","","0","8","vo_minigame_1013","","vo_minigame_1013_top_talk_8_001","21"
"8011","1","0.8","0","0","5","8","129911","0","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","11"
"8012","","","","","","8","0","","","91"
"8013","","","0.2","","1","8","129911","","drama_idle_arm_crossed","3"
"8014","","","0.2","","1","8","129811","","drama_talk_anger","3"
"8015","0","","","","0","8","vo_minigame_1013","","vo_minigame_1013_top_talk_8_002","21"
"8016","1","0.3","0","0","7","8","129811","0","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","11"
"8017","","","","","","8","0","","","91"
"8018","","","0.2","","1","8","129811","","drama_idle","3"
"8019","","","0.2","","1","8","129911","","drama_idle","3"
"30001","167","drama_idle","1.65","1","100","30","1","-224","129811","1"
"30002","-49","drama_idle","1.65","0","100","30","1","-224","129911","1"
"30003","","","0.2","","1","30","129811","","drama_idle","3"
"30004","","","0.2","","1","30","129911","","drama_idle","3"
"30005","","","","","","30","0.5","","0","93"
"30006","","","","","","30","2","","","26"
"30007","1.2","","3","","1.2","30","-80","0.9","10","121"
"30008","","","0.2","0.2","0","30","129911","","drama_joy_eriko","3"
"30009","","","","","0","30","1","","1","140"
"31001","167","drama_idle","1.65","1","100","31","1","-224","129811","1"
"31002","-49","drama_idle","1.65","0","100","31","1","-224","129911","1"
"31003","","","0.2","","1","31","129811","","drama_idle","3"
"31004","","","0.2","","1","31","129911","","drama_idle","3"
"31005","","","","","","31","0.5","","0","93"
"31006","","","","","","31","2","","","26"
"31007","1.2","","3","","1.2","31","-80","0.9","10","121"
"31008","","","0.2","0.2","0","31","129811","","drama_joy_makoto","3"
"31009","","","","","0","31","1","","2","140"
"32001","320","drama_talk_1","0.28","1","1","32","0","28","1","5"
"32002","228","drama_talk_2","0.28","0","0","32","0","28","2","5"
"32003","45","drama_swing","0.26","1","90","32","0","64","3","5"
"32004","-187","drama_streach","0.3","0","91","32","0","-23","4","5"
"32005","","","","","","32","1","","0","93"
"32006","","","0.2","","0","32","1","","drama_joy","3"
"32007","","","0.2","","0","32","2","","drama_joy","3"
"32008","","","0.2","","0","32","3","","drama_joy","3"
"32009","","","0.2","","0","32","4","","drama_joy","3"
"32010","","","","","","32","1.5","","0","93"
"33001","320","drama_talk_1","0.28","1","1","33","0","28","1","5"
"33002","228","drama_talk_2","0.28","0","0","33","0","28","2","5"
"33003","45","drama_swing","0.26","1","90","33","0","64","3","5"
"33004","-187","drama_streach","0.3","0","91","33","0","-23","4","5"
