a0102622c90425eb72865b3fcd95edb0ea7e0571a8fbeb4b5308e5ceee8648e4,2d65789341bdd0d0e22c1aa8d9c8e05f84d48cec3539cff7fc2c582a15bfaf3a,efa9a7dd98e613752ed241bc0227490957ea22a5a13123ee11c4945ea0766418,f6032ffc9c219a5ba5d9e437b2afaece0912cfda4fc2c77141066642a8e3e6be,0a2b8e08fdc671dca64796fb29639e55f6355054e7512416a5d7fcb567367fc2,6cb305d90e5a85758e7195fb309b317a1c2e60f316163e6680c8e981087dcd98,1c047cf354d743538ac7fffc0bc74cd62dfe9f8946f1ed184830f958ae1a8a2d,15afea4ecb60287b93527e0e5cebf5ea996f22f211ee46764deed11b52183a44,5ade7a8ad2945257f26649e5d4abc9e67efbf460af534e7178bdca49140f1cf0,4d6a68862e1ce02f02b725652c9bbe6d39c9c858994d2599fddefaceb083a365,e9c1621b7bfc226c569b4a3654ecb4812e17671732380843f1f324aee8fc75b0
"3011","0","11","0.5","129811","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","3","0","1","0","7"
"3012","","91","","0","","3","","","",""
"3013","","3","","129811","drama_idle_sad","3","","","0.2","1"
"3014","","3","","129911","drama_talk_arm_crossed_in","3","1","drama_talk_arm_crossed_loop","0.2","0"
"3015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_3_002","3","","0","","0"
"3016","0","11","0.3","129911","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","3","0","1","0","6"
"3017","","91","","0","","3","","","",""
"3018","","3","","129811","drama_idle","3","","","0.2","1"
"3019","","3","","129911","drama_idle","3","","","0.2","1"
"4001","1","1","drama_idle","1","129811","4","-224","167","1.65","100"
"4002","0","1","drama_idle","1","129911","4","-224","-49","1.65","100"
"4003","","3","","129911","drama_idle","4","","","0.2","1"
"4004","","3","","129811","drama_talk_doya_in_shy","4","1","drama_talk_doya_loop_shy","0.2","0"
"4005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_4_000","4","","0","","0"
"4006","0","11","0.3","129811","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","4","0","1","0","7"
"4007","","91","","0","","4","","","",""
"4008","","3","","129811","drama_idle_doya_shy","4","","","0.2","1"
"4009","","3","","129911","drama_talk_wish_in","4","1","drama_talk_wish_loop","0.2","0"
"4010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_4_001","4","","0","","0"
"4011","0","11","0.5","129911","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","4","0","1","0","5"
"4012","","91","","0","","4","","","",""
"4013","","3","","129911","drama_idle_wish","4","","","0.2","1"
"4014","","3","","129811","drama_idle_thinking_shy","4","0","","0.2","1"
"4015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_4_002","4","","0","","0"
"4016","0","11","0","129811","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","4","0","1","0","8"
"4017","","91","","0","","4","","","",""
"4018","","3","","129911","drama_idle","4","","","0.2","1"
"4019","","3","","129811","drama_idle","4","","","0.2","1"
"5001","1","1","drama_idle","1","129811","5","-224","167","1.65","100"
"5002","0","1","drama_idle","1","129911","5","-224","-49","1.65","100"
"5003","","3","","129811","drama_idle","5","","","0.2","1"
"5004","","3","","129911","drama_talk_thinking","5","","","0.2","1"
"5005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_5_000","5","","0","","0"
"5006","0","11","0.8","129911","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","5","0","1","0","6"
"5007","","91","","0","","5","","","",""
"5008","","3","","129911","drama_idle_thinking","5","","","0.2","1"
"5009","","3","","129811","drama_talk_wonder_in","5","1","drama_talk_wonder_loop","0.2","0"
"5010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_5_001","5","","0","","0"
"5011","0","11","0.3","129811","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","5","0","1","0","7"
"5012","","91","","0","","5","","","",""
"5013","","3","","129811","drama_idle_wonder","5","","","0.2","1"
"5014","","3","","129911","drama_talk_memory","5","","","0.2","1"
"5015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_5_002","5","","0","","0"
"5016","0","11","0.5","129911","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","5","0","1","0","5"
"5017","","91","","0","","5","","","",""
"5018","","3","","129811","drama_idle","5","","","0.2","1"
"5019","","3","","129911","drama_idle","5","","","0.2","1"
"6001","1","1","drama_idle","1","129811","6","-224","167","1.65","100"
"6002","0","1","drama_idle","1","129911","6","-224","-49","1.65","100"
"6003","","3","","129911","drama_idle","6","","","0.2","1"
"6004","","3","","129811","drama_talk_thinking_shy","6","","","0.2","1"
"6005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_6_000","6","","0","","0"
"6006","0","11","0.3","129811","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","6","0","1","0","8"
"6007","","91","","0","","6","","","",""
"6008","","3","","129811","drama_idle_thinking_shy","6","","","0.2","1"
"6009","","3","","129911","drama_talk_doubt_in","6","1","drama_talk_doubt_loop","0.2","0"
"6010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_6_001","6","","0","","0"
"6011","0","11","0.8","129911","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","6","0","1","0","6"
"6012","","91","","0","","6","","","",""
"6013","","3","","129911","drama_idle_doubt","6","","","0.2","1"
"6014","","3","","129811","drama_talk_surprise_in_shy","6","1","drama_talk_surprise_loop_shy","0.2","0"
"6015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_6_002","6","","0","","0"
"6016","0","11","0.3","129811","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","6","0","1","0","9"
"6017","","91","","0","","6","","","",""
"6018","","3","","129911","drama_idle","6","","","0.2","1"
"6019","","3","","129811","drama_idle","6","","","0.2","1"
"7001","1","1","drama_idle","1","129811","7","-224","167","1.65","100"
"7002","0","1","drama_idle","1","129911","7","-224","-49","1.65","100"
"7003","","3","","129811","drama_idle","7","","","0.2","1"
"7004","","3","","129911","drama_talk_arm_crossed_in","7","1","drama_talk_arm_crossed_loop","0.2","0"
"7005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_7_000","7","","0","","0"
"7006","0","11","0.3","129911","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","7","0","1","0","6"
"7007","","91","","0","","7","","","",""
"7008","","3","","129911","drama_idle_arm_crossed","7","","","0.2","1"
"7009","","3","","129811","drama_talk_guts2_in","7","1","drama_talk_guts2_loop","0.2","0"
"7010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_7_001","7","","0","","0"
"7011","0","11","0","129811","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","7","0","1","0","6"
"7012","","91","","0","","7","","","",""
"7013","","3","","129811","drama_idle_guts2","7","","","0.2","1"
"7014","","3","","129911","drama_talk_thinking","7","","","0.2","1"
"7015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_7_002","7","","0","","0"
"7016","0","11","0.5","129911","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","7","0","1","0","6"
"7017","","91","","0","","7","","","",""
"7018","","3","","129811","drama_idle","7","","","0.2","1"
"7019","","3","","129911","drama_idle","7","","","0.2","1"
"8001","1","1","drama_idle","1","129811","8","-224","167","1.65","100"
"8002","0","1","drama_idle","1","129911","8","-224","-49","1.65","100"
"8003","","3","","129911","drama_idle","8","","","0.2","1"
"8004","","3","","129811","drama_talk_doya_in_smile","8","1","drama_talk_doya_loop_smile","0.2","0"
"8005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_8_000","8","","0","","0"
"8006","0","11","0.3","129811","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","8","0","1","0","7"
"8007","","91","","0","","8","","","",""
"8008","","3","","129811","drama_idle_doya_smile","8","","","0.2","1"
"8009","","3","","129911","drama_talk_arm_crossed_in","8","1","drama_talk_arm_crossed_loop","0.2","0"
"8010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_8_001","8","","0","","0"
"8011","0","11","0.8","129911","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","8","0","1","0","5"
"8012","","91","","0","","8","","","",""
"8013","","3","","129911","drama_idle_arm_crossed","8","","","0.2","1"
"8014","","3","","129811","drama_talk_anger","8","","","0.2","1"
"8015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_8_002","8","","0","","0"
"8016","0","11","0.3","129811","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","8","0","1","0","7"
"8017","","91","","0","","8","","","",""
"8018","","3","","129811","drama_idle","8","","","0.2","1"
"8019","","3","","129911","drama_idle","8","","","0.2","1"
"30001","1","1","drama_idle","1","129811","30","-224","167","1.65","100"
"30002","0","1","drama_idle","1","129911","30","-224","-49","1.65","100"
"30003","","3","","129811","drama_idle","30","","","0.2","1"
"30004","","3","","129911","drama_idle","30","","","0.2","1"
"30005","","93","","0.5","0","30","","","",""
"30006","","26","","2","","30","","","",""
"30007","","121","","-80","10","30","0.9","1.2","3","1.2"
"30008","0.2","3","","129911","drama_joy_eriko","30","","","0.2","0"
"30009","","140","","1","1","30","","","","0"
"31001","1","1","drama_idle","1","129811","31","-224","167","1.65","100"
"31002","0","1","drama_idle","1","129911","31","-224","-49","1.65","100"
"31003","","3","","129811","drama_idle","31","","","0.2","1"
"31004","","3","","129911","drama_idle","31","","","0.2","1"
"31005","","93","","0.5","0","31","","","",""
"31006","","26","","2","","31","","","",""
"31007","","121","","-80","10","31","0.9","1.2","3","1.2"
"31008","0.2","3","","129811","drama_joy_makoto","31","","","0.2","0"
"31009","","140","","1","2","31","","","","0"
"32001","1","5","drama_talk_1","0","1","32","28","320","0.28","1"
"32002","0","5","drama_talk_2","0","2","32","28","228","0.28","0"
"32003","1","5","drama_swing","0","3","32","64","45","0.26","90"
"32004","0","5","drama_streach","0","4","32","-23","-187","0.3","91"
"32005","","93","","1","0","32","","","",""
"32006","","3","","1","drama_joy","32","","","0.2","0"
"32007","","3","","2","drama_joy","32","","","0.2","0"
"32008","","3","","3","drama_joy","32","","","0.2","0"
"32009","","3","","4","drama_joy","32","","","0.2","0"
"32010","","93","","1.5","0","32","","","",""
"33001","1","5","drama_talk_1","0","1","33","28","320","0.28","1"
"33002","0","5","drama_talk_2","0","2","33","28","228","0.28","0"
"33003","1","5","drama_swing","0","3","33","64","45","0.26","90"
"33004","0","5","drama_streach","0","4","33","-23","-187","0.3","91"
