4f3fad4c059edfbc29880dca793a38d9dd716c78684306f6712910c9228df37a,828f7fc00e2df47568cbcc8d553a1c67075508bc80cbdeba494cbb3d6a82d382,cff07760c90314fa9b96429abcdf1959865ee1a27814c47d13537624988e2cf8,2f1db3572fbce6737b5b2071f0019ca1780935acdd87ee3916bc45f828e2c396,f92781e1724ed6e5c17104a9d067bf4dc16f2da92c7b2724aa7521ac19516dc6,6fadb1852809946b509a34c961683fc9bb8d682335ced7187c05a67acc2cebba,41fd185e3ff76d75f55b1ebe60b78ab2cd26ffc723d92ae1959fc28fb4b8bf0e,6da8900371f3f8f44c36665a454e934bb5e4ebfcdc7a271dad0c39a4abb05706,708fb3bb9a61080c0bfedca66accbe8c3cc7b961a795e49a1078d6f6512e8d07,87fd9ea74d5576c27b891895d90af69e472ebb6cf513d47951ca8ac0a82636bf
"10","3","0","1","0","0","0","8","ものの見事に玉砕しちゃった。","1030010"
"11","3","2.75","4","0","0","1","0","","1030011"
"12","3","0","2","vo_10011600","vo_10011600_0304","0","0","","1030012"
"13","3","0","1","0","0","0","8","　クラスメイトのみんなの目がこっちを向いた瞬間、","1030013"
"14","3","3.5","4","0","0","1","0","","1030014"
"15","3","0","1","0","0","0","8","頭の中は真っ白、","1030015"
"16","3","2","4","0","0","1","0","","1030016"
"17","3","0","1","0","0","0","10","また訳の分からないことを口にしちゃった。\n","1030017"
"18","3","4.5","4","0","0","1","0","","1030018"
"19","3","0","2","vo_10011600","vo_10011600_0305","0","0","","1030019"
"20","3","0","1","0","0","0","8","みんなは楽しそうに笑ってくれたけど、","1030020"
"21","3","3","4","0","0","1","0","","1030021"
"22","3","0","1","0","0","0","8","これから先が不安……","1030022"
"23","3","2.25","4","0","0","1","0","","1030023"
"1","4","0","2","vo_10011600","vo_10011600_0401","0","0","","1040001"
"2","4","0","1","0","0","0","8","　ユニさんは","1040002"
"3","4","1.75","4","0","0","1","0","","1040003"
"4","4","0","1","0","0","0","8","とっても頭がいい人みたい。","1040004"
"5","4","2.625","4","0","0","1","0","","1040005"
"6","4","0","2","vo_10011600","vo_10011600_0402","0","0","","1040006"
"7","4","0","1","0","0","0","8","　なんだか難しい言葉をよく使ってるんだけど、","1040007"
"8","4","3.75","4","0","0","1","0","","1040008"
"9","4","0","1","0","0","0","8","理解できない単語があったりするし、","1040009"
"10","4","3.125","4","0","0","1","0","","1040010"
"11","4","0","1","0","0","0","8","これからは辞書を持ち歩こうかな？\n","1040011"
"12","4","4","4","0","0","1","0","","1040012"
"13","4","0","2","vo_10011600","vo_10011600_0403","0","0","","1040013"
"14","4","0","1","0","0","0","8","　象牙の塔っていう場所でいつも研究をしてて、","1040014"
"15","4","3.75","4","0","0","1","0","","1040015"
"16","4","0","1","0","0","0","8","普段はそこからほとんど出ないらし\nく、","1040016"
"17","4","3.25","4","0","0","1","0","","1040017"
"18","4","0","1","0","0","0","8","私と同じぼっちの匂いがします。","1040018"
"19","4","3.375","4","0","0","1","0","","1040019"
"20","4","0","2","vo_10011600","vo_10011600_0404","0","0","","1040020"
"21","4","0","1","0","0","0","8","　ぼっちはぼっちを呼ぶ、","1040021"
"22","4","2.5","4","0","0","1","0","","1040022"
"23","4","0","1","0","0","0","8","と","1040023"
"24","4","1.125","4","0","0","1","0","","1040024"
"25","4","0","1","0","0","0","8","誰が言ったのか知らないけど、","1040025"
"26","4","2.75","4","0","0","1","0","","1040026"
"27","4","0","1","0","0","0","8","もしかしたら……\n","1040027"
"28","4","2","4","0","0","1","0","","1040028"
"29","4","0","2","vo_10011600","vo_10011600_0405","0","0","","1040029"
"30","4","0","1","0","0","0","8","同じ宿命を持つ者同士、","1040030"
"31","4","2.375","4","0","0","1","0","","1040031"
"32","4","0","1","0","0","0","8","仲良くなれるかも？","1040032"
"33","4","2.125","4","0","0","1","0","","1040033"
"1","5","0","2","vo_10011600","vo_10011600_0501","0","0","","1050001"
"2","5","0","1","0","0","0","8","　クロエさんは私と同じ","1050002"
"3","5","1.875","4","0","0","1","0","","1050003"
"4","5","0","1","0","0","0","8","エルフ、","1050004"
"5","5","1.5","4","0","0","1","0","","1050005"
"6","5","0","1","0","0","0","8","なんだけど……","1050006"
"7","5","1.625","4","0","0","1","0","","1050007"
"8","5","0","1","0","0","0","8","雰囲気が少し、","1050008"
"9","5","1.375","4","0","0","1","0","","1050009"
"10","5","0","1","0","0","0","8","独特な人。\n","1050010"
"11","5","2.625","4","0","0","1","0","","1050011"
"12","5","0","2","vo_10011600","vo_10011600_0502","0","0","","1050012"
"13","5","0","1","0","0","0","8","もしかしたら同じエルフ同士で仲良くなれるかも、","1050013"
"14","5","3.625","4","0","0","1","0","","1050014"
"15","5","0","1","0","0","0","8","と思ったりもしたんだけど、","1050015"
"16","5","2.125","4","0","0","1","0","","1050016"
"17","5","0","1","0","0","0","8","そもそも話しかけられない！\n","1050017"
"18","5","3.125","4","0","0","1","0","","1050018"
"19","5","0","2","vo_10011600","vo_10011600_0503","0","0","","1050019"
"20","5","0","1","0","0","0","8","あの人が言うには","1050020"
"21","5","1.65","4","0","0","1","0","","1050021"
"22","5","0","1","0","0","0","8","世話焼きで優しい、","1050022"
"23","5","1.625","4","0","0","1","0","","1050023"
"24","5","0","1","0","0","0","8","らしいんだけど……\n","1050024"
"25","5","3.125","4","0","0","1","0","","1050025"
"26","5","0","2","vo_10011600","vo_10011600_0504","0","0","","1050026"
"27","5","0","1","0","0","0","8","そういえばあの、","1050027"
"28","5","2","4","0","0","1","0","","1050028"
"29","5","0","1","0","0","0","8","ぷー……","1050029"
"30","5","1.5","4","0","0","1","0","","1050030"
"31","5","0","1","0","0","0","8","っていうため息（？）、","1050031"
"32","5","2.375","4","0","0","1","0","","1050032"
"33","5","0","2","vo_10011600","vo_10011600_0505","0","0","","1050033"
"34","5","0","1","0","0","0","8","とても言えないけど……\n","1050034"
"35","5","2.375","4","0","0","1","0","","1050035"
"36","5","0","1","0","0","0","8","なんかかわいいな、","1050036"
"37","5","1.375","4","0","0","1","0","","1050037"
"38","5","0","1","0","0","0","8","と思っちゃった。","1050038"
"39","5","1","4","0","0","1","0","","1050039"
"1","6","0","2","vo_10011600","vo_10011600_0601","0","0","","1060001"
"2","6","0","1","0","0","0","8","　チエルさんはリア充。","1060002"
"3","6","2.375","4","0","0","1","0","","1060003"
"4","6","0","1","0","0","0","8","間違いない。\n","1060004"
"5","6","2.5","4","0","0","1","0","","1060005"
"6","6","0","2","vo_10011600","vo_10011600_0602","0","0","","1060006"
"7","6","0","1","0","0","0","8","かわいらしくて友達いっぱい、","1060007"
"8","6","2.5","4","0","0","1","0","","1060008"
"9","6","0","1","0","0","0","8","私のようなぼっちとは対極の人。","1060009"
"10","6","2.875","4","0","0","1","0","","1060010"
"11","6","0","2","vo_10011600","vo_10011600_0603","0","0","","1060011"
"12","6","0","1","0","0","0","8","見つめるだけで目が焼かれちゃいそう。\n","1060012"
"13","6","3.25","4","0","0","1","0","","1060013"
"14","6","0","2","vo_10011600","vo_10011600_0604","0","0","","1060014"
"15","6","0","1","0","0","0","8","面と向かい合ってお話しなんてしようものなら、","1060015"
"16","6","3.5","4","0","0","1","0","","1060016"
"17","6","0","1","0","0","0","8","私のぼっちハートはひび割れ、","1060017"
"18","6","2.5","4","0","0","1","0","","1060018"
"19","6","0","1","0","0","0","8","粉々に砕け散ること間違いなし。\n","1060019"
"20","6","3.875","4","0","0","1","0","","1060020"
"21","6","0","2","vo_10011600","vo_10011600_0605","0","0","","1060021"
"22","6","0","1","0","0","0","8","あのちぇるーん、","1060022"
"23","6","1.75","4","0","0","1","0","","1060023"
"24","6","0","1","0","0","0","8","っていう挨拶、","1060024"
"25","6","1.625","4","0","0","1","0","","1060025"
"26","6","0","1","0","0","0","8","私が口にするとその場で気絶して、","1060026"
"27","6","2.75","4","0","0","1","0","","1060027"
"28","6","0","1","0","0","0","8","天に召されちゃうんじゃないかな……","1060028"
"29","6","3.125","4","0","0","1","0","","1060029"
"1","7","0","2","vo_10011600","vo_10011600_0701","0","0","","1070001"
"2","7","0","1","0","0","0","8","　今日は何から何まで、","1070002"
"3","7","2.375","4","0","0","1","0","","1070003"
"4","7","0","1","0","0","0","7","ユニさんのお世話になっちゃった。\n","1070004"
"5","7","3.28571428571429","4","0","0","1","0","","1070005"
"6","7","0","2","vo_10011600","vo_10011600_0702","0","0","","1070006"
"7","7","0","1","0","0","0","8","クロエさんやチエルさんにからかわれているときとは全然違う、","1070007"
"8","7","4.625","4","0","0","1","0","","1070008"
"9","7","0","1","0","0","0","8","知的で、","1070009"
"10","7","1.5","4","0","0","1","0","","1070010"
"11","7","0","1","0","0","0","10","頼りになる姿をたくさん見た。","1070011"
"12","7","2.4","4","0","0","1","0","","1070012"
"13","7","0","2","vo_10011600","vo_10011600_0703","0","0","","1070013"
"14","7","0","1","0","0","0","8","てきぱきと指示する姿は","1070014"
"15","7","2.375","4","0","0","1","0","","1070015"
"16","7","0","1","0","0","0","8","ギルドマスターであるという貫禄たっぷり。","1070016"
"17","7","3.5","4","0","0","1","0","","1070017"
"18","7","0","2","vo_10011600","vo_10011600_0704","0","0","","1070018"
"19","7","0","1","0","0","0","8","ユニさんだったらきっと、","1070019"
"20","7","2.25","4","0","0","1","0","","1070020"
"21","7","0","1","0","0","0","8","ユニちゃんズの名前を世界中に広めることができると思う。\n\n","1070021"
"22","7","6.625","4","0","0","1","0","","1070022"
"23","7","0","2","vo_10011600","vo_10011600_0705","0","0","","1070023"
"24","7","0","1","0","0","0","8","あれ？","1070024"
"25","7","1.125","4","0","0","1","0","","1070025"
"26","7","0","1","0","0","0","8","　こんなギルド名だったっけ？","1070026"
"27","7","2.75","4","0","0","1","0","","1070027"
"1","8","0","2","vo_10011600","vo_10011600_0801","0","0","","1080001"
"2","8","0","1","0","0","0","8","　初めて会ったときは","1080002"
"3","8","1.75","4","0","0","1","0","","1080003"
"4","8","0","1","0","0","0","8","怖くて話しかけることさえも出来なかったクロエさん。","1080004"
"5","8","4.125","4","0","0","1","0","","1080005"
"6","8","0","2","vo_10011600","vo_10011600_0802","0","0","","1080006"
"7","8","0","1","0","0","0","8","だけど本当はとても優しくて、","1080007"
"8","8","2.75","4","0","0","1","0","","1080008"
"9","8","0","1","0","0","0","8","こんな私のことを気にかけてくれてることが伝わってきた。\n","1080009"
"10","8","5.875","4","0","0","1","0","","1080010"
"11","8","0","2","vo_10011600","vo_10011600_0803","0","0","","1080011"
"12","8","0","1","0","0","0","8","クロエさんのおかげで少しだけだけど、","1080012"
"13","8","3.25","4","0","0","1","0","","1080013"
"14","8","0","1","0","0","0","8","ク\nラスに受け入れてもらえた。\n","1080014"
"15","8","4.25","4","0","0","1","0","","1080015"
"16","8","0","2","vo_10011600","vo_10011600_0804","0","0","","1080016"
"17","8","0","1","0","0","0","8","クロエさんにはご家族がたくさんいるみたい。","1080017"
"18","8","4.125","4","0","0","1","0","","1080018"
"19","8","0","2","vo_10011600","vo_10011600_0805","0","0","","1080019"
"20","8","0","1","0","0","0","8","　確かに、","1080020"
"21","8","1.625","4","0","0","1","0","","1080021"
"22","8","0","1","0","0","0","8","今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","1080022"
"23","8","4.625","4","0","0","1","0","","1080023"
"1","9","0","2","vo_10011600","vo_10011600_0901","0","0","","1090001"
"2","9","0","1","0","0","0","8","　ちぇるーん。","1090002"
"3","9","3.875","4","0","0","1","0","","1090003"
"4","9","0","2","vo_10011600","vo_10011600_0902","0","0","","1090004"
"5","9","0","1","0","0","0","8","この挨拶を言えるようになれば","1090005"
"6","9","2.75","4","0","0","1","0","","1090006"
"7","9","0","1","0","0","0","8","私もチエルさんみたいな","1090007"
"8","9","2.375","4","0","0","1","0","","1090008"
"9","9","0","1","0","0","0","8","明るくて友達もたくさんいる、","1090009"
"10","9","2.75","4","0","0","1","0","","1090010"
"11","9","0","1","0","0","0","8","私の理想の女性になれるのかな。\n","1090011"
"12","9","4.375","4","0","0","1","0","","1090012"
"13","9","0","2","vo_10011600","vo_10011600_0903","0","0","","1090013"
"14","9","0","1","0","0","0","8","でも","1090014"
"15","9","1.25","4","0","0","1","0","","1090015"
"16","9","0","1","0","0","0","8","この挨拶はまだ私には早いので、","1090016"
"17","9","2.875","4","0","0","1","0","","1090017"
"18","9","0","1","0","0","0","8","今日は書き取りだけしておこう。\n","1090018"
"19","9","4.125","4","0","0","1","0","","1090019"
"20","9","0","2","vo_10011600","vo_10011600_0904","0","0","","1090020"
"21","9","0","1","0","0","0","8","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","1090021"
"22","9","4.125","4","0","0","1","0","","1090022"
"23","9","0","2","vo_10011600","vo_10011600_0905","0","0","","1090023"
"24","9","0","1","0","0","0","8","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","1090024"
"25","9","4.125","4","0","0","1","0","","1090025"
"26","9","0","2","vo_10011600","vo_10011600_0906","0","0","","1090026"
"27","9","0","1","0","0","0","8","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","1090027"
"28","9","4.125","4","0","0","1","0","","1090028"
"29","9","0","2","vo_10011600","vo_10011600_0907","0","0","","1090029"
"30","9","0","1","0","0","0","8","ちぇるーんちぇるーんちぇるーん","1090030"
"31","9","2.875","4","0","0","1","0","","1090031"
"1","10","0","2","vo_10011600","vo_10011600_1001","0","0","","1100001"
"2","10","0","1","0","0","0","8","　忘れてた忘れてた忘れてた！\n","1100002"
"3","10","2.75","4","0","0","1","0","","1100003"
"4","10","0","1","0","0","0","8","どうしよう特別講座！","1100004"
"5","10","2.25","4","0","0","1","0","","1100005"
"6","10","0","2","vo_10011600","vo_10011600_1002","0","0","","1100006"
"7","10","0","1","0","0","0","8","エルフの森から持ってきたマンドラゴラも逃げちゃったし、","1100007"
"8","10","3.625","4","0","0","1","0","","1100008"
"9","10","0","1","0","0","0","8","何の準備もしてないよ！\n","1100009"
"10","10","2.375","4","0","0","1","0","","1100010"
"11","10","0","2","vo_10011600","vo_10011600_1003","0","0","","1100011"
"12","10","0","1","0","0","0","8","……エルフの森が","1100012"
"13","10","2","4","0","0","1","0","","1100013"
"14","10","0","1","0","0","0","8","私を呼んでる気が……","1100014"
"15","10","2.25","4","0","0","1","0","","1100015"
"16","10","0","2","vo_10011600","vo_10011600_1004","0","0","","1100016"
"17","10","0","1","0","0","0","8","いやダメダメ、","1100017"
"18","10","1.875","4","0","0","1","0","","1100018"
"19","10","0","1","0","0","0","8","ミサト先生の期待を裏切るわけには！\n","1100019"
"20","10","4.125","4","0","0","1","0","","1100020"
"21","10","0","2","vo_10011600","vo_10011600_1005","0","0","","1100021"
"22","10","0","1","0","0","0","8","でも本当にどうしよう、","1100022"
"23","10","3.125","4","0","0","1","0","","1100023"
"24","10","0","2","vo_10011600","vo_10011600_1006","0","0","","1100024"
"25","10","0","1","0","0","0","8","こうなったら","1100025"
"26","10","1.75","4","0","0","1","0","","1100026"
"27","10","0","1","0","0","0","8","ぼっちライフをどう生き抜くかをまとめて","1100027"
"28","10","3.375","4","0","0","1","0","","1100028"
"29","10","0","1","0","0","0","8","発表してみようかな……？","1100029"
"30","10","2.5","4","0","0","1","0","","1100030"
"1","11","0","2","vo_10011600","vo_10011600_1101","0","0","","1110001"
"2","11","0","1","0","0","0","8","　特別講座、","1110002"
"3","11","1.75","4","0","0","1","0","","1110003"
"4","11","0","1","0","0","0","8","終了！\n","1110004"
"5","11","2.625","4","0","0","1","0","","1110005"
"6","11","0","2","vo_10011600","vo_10011600_1102","0","0","","1110006"
"7","11","0","1","0","0","0","8","結果は……","1110007"
"8","11","1.625","4","0","0","1","0","","1110008"
"9","11","0","1","0","0","0","8","成功、","1110009"
"10","11","1.375","4","0","0","1","0","","1110010"
"11","11","0","1","0","0","0","8","だと思う。","1110011"
"12","11","3.125","4","0","0","1","0","","1110012"
"13","11","0","2","vo_10011600","vo_10011600_1103","0","0","","1110013"
"14","11","0","1","0","0","0","8","　それもこれもすべては、","1110014"
"15","11","2.5","4","0","0","1","0","","1110015"
"16","11","0","1","0","0","0","8","手伝ってくれたあの人、","1110016"
"17","11","1.875","4","0","0","1","0","","1110017"
"18","11","0","1","0","0","0","8","そして","1110018"
"19","11","0.875","4","0","0","1","0","","1110019"
"20","11","0","1","0","0","0","8","なかよし部のみなさんのおかげだ。\n","1110020"
"21","11","3","4","0","0","1","0","","1110021"
"22","11","0","2","vo_10011600","vo_10011600_1104","0","0","","1110022"
"23","11","0","1","0","0","0","8","講座が終わった後、","1110023"
"24","11","2.125","4","0","0","1","0","","1110024"
"25","11","0","1","0","0","0","8","たくさんの人に囲まれて怖かったけど、","1110025"
"26","11","3","4","0","0","1","0","","1110026"
"27","11","0","2","vo_10011600","vo_10011600_1105","0","0","","1110027"
"28","11","0","1","0","0","0","8","でも私、","1110028"
"29","11","1.5","4","0","0","1","0","","1110029"
"30","11","0","1","0","0","0","8","いつもみたいに逃げたりしなかった！\n","1110030"
"31","11","3.125","4","0","0","1","0","","1110031"
"32","11","0","2","vo_10011600","vo_10011600_1106","0","0","","1110032"
"33","11","0","1","0","0","0","8","私も少しだけ……","1110033"
"34","11","2","4","0","0","1","0","","1110034"
"35","11","0","1","0","0","0","8","ほんのちょっとだけだけど、","1110035"
"36","11","2.625","4","0","0","1","0","","1110036"
"37","11","0","1","0","0","0","8","成長……","1110037"
"38","11","1.5","4","0","0","1","0","","1110038"
"39","11","0","1","0","0","0","8","できたのかな。","1110039"
"40","11","1.875","4","0","0","1","0","","1110040"
"1","12","0","2","vo_10011600","vo_10011600_1201","0","0","","1120001"
"2","12","0","1","0","0","0","8","　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","1120002"
"3","12","4.25","4","0","0","1","0","","1120003"
"4","12","0","1","0","0","0","8","あの人はやっぱりすごい！\n","1120004"
"5","12","3.5","4","0","0","1","0","","1120005"
"6","12","0","2","vo_10011600","vo_10011600_1202","0","0","","1120006"
"7","12","0","1","0","0","0","8","　廊下を歩いてるとき、","1120007"
"8","12","2.125","4","0","0","1","0","","1120008"
"9","12","0","1","0","0","0","8","他の生徒はあの人を見て驚いた顔をするんだけど、","1120009"
"10","12","3.375","4","0","0","1","0","","1120010"
"11","12","0","1","0","0","0","8","あの人はにこやかに挨拶するんです！\n","1120011"
"12","12","3.125","4","0","0","1","0","","1120012"
"13","12","0","2","vo_10011600","vo_10011600_1203","0","0","","1120013"
"14","12","0","1","0","0","0","8","そこできゃあ、","1120014"
"15","12","1.375","4","0","0","1","0","","1120015"
"16","12","0","1","0","0","0","8","と言われても","1120016"
"17","12","1.25","4","0","0","1","0","","1120017"
"18","12","0","1","0","0","0","8","涼しい顔で手を振り返す！","1120018"
"19","12","2.5","4","0","0","1","0","","1120019"
"20","12","0","2","vo_10011600","vo_10011600_1204","0","0","","1120020"
"21","12","0","1","0","0","0","8","　挨拶さえもできない私とは大違い！\n\n","1120021"
"22","12","4.625","4","0","0","1","0","","1120022"
"23","12","0","2","vo_10011600","vo_10011600_1205","0","0","","1120023"
"24","12","0","1","0","0","0","8","早く私も","1120024"
"25","12","1.25","4","0","0","1","0","","1120025"
"26","12","0","1","0","0","0","8","あんなふうになりたいなぁ……","1120026"
"27","12","2.5","4","0","0","1","0","","1120027"
"1","13","0","2","vo_10011600","vo_10011600_1301","0","0","","1130001"
"2","13","0","1","0","0","0","8","　私が持ってきたマンドラゴラが大変なことに……\n","1130002"
"3","13","4.875","4","0","0","1","0","","1130003"
"4","13","0","2","vo_10011600","vo_10011600_1302","0","0","","1130004"
"5","13","0","1","0","0","0","8","だけど、","1130005"
"6","13","1.25","4","0","0","1","0","","1130006"
"7","13","0","1","0","0","0","8","あの人となかよし部のみなさんが力を貸してくれたおかげで、","1130007"
"8","13","4","4","0","0","1","0","","1130008"
"9","13","0","1","0","0","0","8","大きな\n被害が出る前に食い止めることができた。","1130009"
"10","13","5","4","0","0","1","0","","1130010"
"11","13","0","2","vo_10011600","vo_10011600_1303","0","0","","1130011"
"12","13","0","1","0","0","0","8","　みなさんは","1130012"
"13","13","1.45","4","0","0","1","0","","1130013"
"14","13","0","1","0","0","0","8","下心があったなんて言ってたけど、","1130014"
"15","13","2.75","4","0","0","1","0","","1130015"
"16","13","0","1","0","0","0","8","そんなことは関係ないと思う。\n","1130016"
"17","13","3.25","4","0","0","1","0","","1130017"
"18","13","0","2","vo_10011600","vo_10011600_1304","0","0","","1130018"
"19","13","0","1","0","0","0","8","こうして一緒に戦うことができて、","1130019"
"20","13","2.75","4","0","0","1","0","","1130020"
"21","13","0","1","0","0","0","8","私は嬉しかった。\n","1130021"
"22","13","2.5","4","0","0","1","0","","1130022"
"23","13","0","2","vo_10011600","vo_10011600_1305","0","0","","1130023"
"24","13","0","1","0","0","0","8","なんだか……","1130024"
"25","13","1.75","4","0","0","1","0","","1130025"
"26","13","0","1","0","0","0","8","仲間、","1130026"
"27","13","1.375","4","0","0","1","0","","1130027"
"28","13","0","1","0","0","0","8","になれたみたいで。","1130028"
"29","13","2.125","4","0","0","1","0","","1130029"
"1","14","0","2","vo_10011600","vo_10011600_1401","0","0","","1140001"
"2","14","0","1","0","0","0","8","　今日は","1140002"
"3","14","1.5","4","0","0","1","0","","1140003"
"4","14","0","1","0","0","0","7","聖テレサ女学院に通う最終日","1140004"
"5","14","3.60714285714286","4","0","0","1","0","","1140005"
"6","14","0","1","0","0","0","8","……だった。\n","1140006"
"7","14","3.25","4","0","0","1","0","","1140007"
"8","14","0","2","vo_10011600","vo_10011600_1402","0","0","","1140008"
"9","14","0","1","0","0","0","8","最初にミサト先生からお願いされたときは","1140009"
"10","14","3.375","4","0","0","1","0","","1140010"
"11","14","0","1","0","0","0","8","絶対ムリだと思ってた。","1140011"
"12","14","3.125","4","0","0","1","0","","1140012"
"13","14","0","2","vo_10011600","vo_10011600_1403","0","0","","1140013"
"14","14","0","1","0","0","0","8","　だけど今は名残惜しくて、","1140014"
"15","14","2.625","4","0","0","1","0","","1140015"
"16","14","0","1","0","0","0","8","こうして日記を書いている。\n","1140016"
"17","14","3.375","4","0","0","1","0","","1140017"
"18","14","0","2","vo_10011600","vo_10011600_1404","0","0","","1140018"
"19","14","0","1","0","0","0","8","　目を閉じると、","1140019"
"20","14","2","4","0","0","1","0","","1140020"
"21","14","0","1","0","0","0","8","あの人や","1140021"
"22","14","1.5","4","0","0","1","0","","1140022"
"23","14","0","1","0","0","0","8","なかよし部のみなさん、","1140023"
"24","14","2.125","4","0","0","1","0","","1140024"
