c2d6d457216042105cda0b337014fc1b49058412c53e1138ff86f2f9b6737e9f,56e83d7cc51dfcb26ff1ef5e8b7f915f54a42bda6c4594339bce34c533e18a4b,1dab03593664219a65f27f46ebf2b4672f3ae028d3f037813652e2303885f24b,71e1161cd4b8bb2f65f107b5a4bdd13b27a8fd29bf06a78f0ec5329dd01118bb,191ea56ef78d3a0c4ead88a759250666165bda2055d5362bccbb3e25b6633e1f,24d38475efbd5df6b98c0c08c8ceb85902d665296c48458ca39d3fb45f493e46,5a8e4ad2ad40d1756c28a7aa7983d7115898feb79fc948836f70ed018212de99,dcd5a4956e07b51e4b282d79e6715c4accc6a416aee9834830f6b2d3210ddcfb,11ee577293d0466273db3ec87672b22a3e231739f82fb97c024ca4e57fcc755b,993965ac6ed13f28f2d37bca63bf310cdef1ecfa9add7361aaa07f0df4b5adfd,ac5aa0e404b82001a139ebedecc12f55b3cc79a987e4f70a35ab6e5a0df2cf50,44a382350d9b8390851dddfe1f0baf2d59cfb66ab1a197c2da73999d723806e1
"0","1009805","1","0","4","2.26","0","0","10","0","0","100980510"
"4","1009805","0","0","1","0","1.667","300","11","0","0","100980511"
"0","1009805","1","0","4","2.324","0","0","12","0","0","100980512"
"5","1009805","0","0","1","0","2.168","310","13","0","0","100980513"
"0","1009805","1","0","4","3.168","0","0","14","0","0","100980514"
"0","1009805","0","vo_lsv","2","0","0","0","15","vo_lsv_0504","0","100980515"
"6","1009805","0","0","1","0","1.752","300","16","0","0","100980516"
"0","1009805","1","0","4","2.276","0","0","17","0","0","100980517"
"7","1009805","0","0","1","0","1.43","300","18","0","0","100980518"
"0","1009805","1","0","4","1.43","0","0","19","0","0","100980519"
"8","1009805","0","0","1","0","0.749","125","20","0","0","100980520"
"0","1009805","1","0","4","1.749","0","0","21","0","0","100980521"
"0","1009805","0","vo_lsv","2","0","0","0","22","vo_lsv_0505","0","100980522"
"8","1009805","0","0","1","0","0.65","300","23","0","125","100980523"
"0","1009805","1","0","4","0.65","0","0","24","0","0","100980524"
"9","1009805","0","0","1","0","1.753","300","25","0","0","100980525"
"0","1009805","1","0","4","1.753","0","0","26","0","0","100980526"
"10","1009805","0","0","1","0","0.929","160","27","0","0","100980527"
"0","1009805","1","0","4","1.929","0","0","28","0","0","100980528"
"0","1009805","0","vo_lsv","2","0","0","0","29","vo_lsv_0506","0","100980529"
"10","1009805","0","0","1","0","0.536","300","30","0","160","100980530"
"0","1009805","1","0","4","0.536","0","0","31","0","0","100980531"
"11","1009805","0","0","1","0","1.438","327","32","0","0","100980532"
"0","1009805","1","0","4","1.438","0","0","33","0","0","100980533"
"12","1009805","0","0","1","0","2.426","300","34","0","0","100980534"
"0","1009806","1","0","4","0.8","0","0","1","0","0","100980601"
"0","1009806","0","vo_lsv","2","0","0","0","2","vo_lsv_0601","0","100980602"
"1","1009806","0","0","1","0","2.5","330","3","0","0","100980603"
"0","1009806","1","0","4","2.5","0","0","4","0","0","100980604"
"2","1009806","0","0","1","0","1.5","270","5","0","0","100980605"
"0","1009806","1","0","4","2.5","0","0","6","0","0","100980606"
"0","1009806","0","vo_lsv","2","0","0","0","7","vo_lsv_0602","0","100980607"
"3","1009806","0","0","1","0","1.9","325","8","0","0","100980608"
"0","1009806","1","0","4","1.9","0","0","9","0","0","100980609"
"4","1009806","0","0","1","0","1.744","300","10","0","0","100980610"
"0","1009806","1","0","4","2.329","0","0","11","0","0","100980611"
"5","1009806","0","0","1","0","1.049","300","12","0","0","100980612"
"0","1009806","1","0","4","1.049","0","0","13","0","0","100980613"
"6","1009806","0","0","1","0","1.093","210","14","0","0","100980614"
"0","1009806","1","0","4","2.093","0","0","15","0","0","100980615"
"0","1009806","0","vo_lsv","2","0","0","0","16","vo_lsv_0603","0","100980616"
"7","1009806","0","0","1","0","1.9","300","17","0","0","100980617"
"0","1009806","1","0","4","1.9","0","0","18","0","0","100980618"
"8","1009806","0","0","1","0","2.4","300","19","0","0","100980619"
"0","1009806","1","0","4","2.4","0","0","20","0","0","100980620"
"9","1009806","0","0","1","0","1.65","300","21","0","0","100980621"
"0","1009806","1","0","4","2.65","0","0","22","0","0","100980622"
"0","1009806","0","vo_lsv","2","0","0","0","23","vo_lsv_0604","0","100980623"
"10","1009806","0","0","1","0","1.763","300","24","0","0","100980624"
"0","1009806","1","0","4","1.763","0","0","25","0","0","100980625"
"11","1009806","0","0","1","0","1.308","205","26","0","0","100980626"
"0","1009806","1","0","4","2.308","0","0","27","0","0","100980627"
"0","1009806","0","vo_lsv","2","0","0","0","28","vo_lsv_0605","0","100980628"
"11","1009806","0","0","1","0","1","320","29","0","205","100980629"
"0","1009806","1","0","4","1","0","0","30","0","0","100980630"
"12","1009806","0","0","1","0","1.853","270","31","0","0","100980631"
"0","1009807","1","0","4","0.8","0","0","1","0","0","100980701"
"0","1009807","0","vo_lsv","2","0","0","0","2","vo_lsv_0701","0","100980702"
"1","1009807","0","0","1","0","1.355","300","3","0","0","100980703"
"0","1009807","1","0","4","1.355","0","0","4","0","0","100980704"
"2","1009807","0","0","1","0","1.126","300","5","0","0","100980705"
"0","1009807","1","0","4","1.126","0","0","6","0","0","100980706"
"3","1009807","0","0","1","0","1.641","300","7","0","0","100980707"
"0","1009807","1","0","4","2","0","0","8","0","0","100980708"
"0","1009807","0","vo_lsv","2","0","0","0","9","vo_lsv_0702","0","100980709"
"4","1009807","0","0","1","0","1.325","300","10","0","0","100980710"
"0","1009807","1","0","4","1.325","0","0","11","0","0","100980711"
"5","1009807","0","0","1","0","1.891","327","12","0","0","100980712"
"0","1009807","1","0","4","2.437","0","0","13","0","0","100980713"
"6","1009807","0","0","1","0","1.93","327","14","0","0","100980714"
"0","1009807","1","0","4","2.93","0","0","15","0","0","100980715"
"0","1009807","0","vo_lsv","2","0","0","0","16","vo_lsv_0703","0","100980716"
"7","1009807","0","0","1","0","1.84","300","17","0","0","100980717"
"0","1009807","1","0","4","2.361","0","0","18","0","0","100980718"
"8","1009807","0","0","1","0","1.38","300","19","0","0","100980719"
"0","1009807","1","0","4","1.38","0","0","20","0","0","100980720"
"9","1009807","0","0","1","0","1.399","300","21","0","0","100980721"
"0","1009807","1","0","4","2.399","0","0","22","0","0","100980722"
"0","1009807","0","vo_lsv","2","0","0","0","23","vo_lsv_0704","0","100980723"
"10","1009807","0","0","1","0","2.268","300","24","0","0","100980724"
"0","1009807","1","0","4","2.268","0","0","25","0","0","100980725"
"11","1009807","0","0","1","0","1.299","300","26","0","0","100980726"
"0","1009808","1","0","4","0.8","0","0","1","0","0","100980801"
"0","1009808","0","vo_lsv","2","0","0","0","2","vo_lsv_0801","0","100980802"
"1","1009808","0","0","1","0","1.4","300","3","0","0","100980803"
"0","1009808","1","0","4","1.4","0","0","4","0","0","100980804"
"2","1009808","0","0","1","0","1","300","5","0","0","100980805"
"0","1009808","1","0","4","2","0","0","6","0","0","100980806"
"0","1009808","0","vo_lsv","2","0","0","0","7","vo_lsv_0802","0","100980807"
"3","1009808","0","0","1","0","1.6","300","8","0","0","100980808"
"0","1009808","1","0","4","1.8","0","0","9","0","0","100980809"
"4","1009808","0","0","1","0","1","300","10","0","0","100980810"
"0","1009808","1","0","4","1","0","0","11","0","0","100980811"
"5","1009808","0","0","1","0","1.5","300","12","0","0","100980812"
"0","1009808","1","0","4","2.5","0","0","13","0","0","100980813"
"0","1009808","0","vo_lsv","2","0","0","0","14","vo_lsv_0803","0","100980814"
"6","1009808","0","0","1","0","1.9","320","15","0","0","100980815"
"0","1009808","1","0","4","2.5","0","0","16","0","0","100980816"
"7","1009808","0","0","1","0","1.3","240","17","0","0","100980817"
"0","1009808","1","0","4","2.3","0","0","18","0","0","100980818"
"0","1009808","0","vo_lsv","2","0","0","0","19","vo_lsv_0804","0","100980819"
"8","1009808","0","0","1","0","1.3","300","20","0","0","100980820"
"0","1009808","1","0","4","1.3","0","0","21","0","0","100980821"
"9","1009808","0","0","1","0","1.5","300","22","0","0","100980822"
"0","1009808","1","0","4","2.5","0","0","23","0","0","100980823"
"0","1009808","0","vo_lsv","2","0","0","0","24","vo_lsv_0805","0","100980824"
"10","1009808","0","0","1","0","1.4","300","25","0","0","100980825"
"0","1009808","1","0","4","2.6","0","0","26","0","0","100980826"
"0","1009808","0","vo_lsv","2","0","0","0","27","vo_lsv_0806","0","100980827"
"11","1009808","0","0","1","0","1.363","327","28","0","15","100980828"
"0","1009809","1","0","4","0.8","0","0","1","0","0","100980901"
"0","1009809","0","vo_lsv","2","0","0","0","2","vo_lsv_0901","0","100980902"
"1","1009809","0","0","1","0","2.1","300","3","0","0","100980903"
"0","1009809","1","0","4","2.9","0","0","4","0","0","100980904"
"0","1009809","0","vo_lsv","2","0","0","0","5","vo_lsv_0902","0","100980905"
"2","1009809","0","0","1","0","2.46","327","6","0","0","100980906"
"0","1009809","1","0","4","2.64","0","0","7","0","0","100980907"
"3","1009809","0","0","1","0","1.845","327","8","0","0","100980908"
"0","1009809","1","0","4","1.85","0","0","9","0","0","100980909"
"4","1009809","0","0","1","0","1.735","300","10","0","0","100980910"
"0","1009809","1","0","4","2","0","0","11","0","0","100980911"
"0","1009809","0","vo_lsv","2","0","0","0","12","vo_lsv_0903","0","100980912"
"5","1009809","0","0","1","0","2.484","327","13","0","0","100980913"
"0","1009809","1","0","4","2.663","0","0","14","0","0","100980914"
"6","1009809","0","0","1","0","1.546","327","15","0","0","100980915"
"0","1009809","1","0","4","1.55","0","0","16","0","0","100980916"
"7","1009809","0","0","1","0","1.205","327","17","0","0","100980917"
"0","1009809","1","0","4","1.5","0","0","18","0","0","100980918"
"0","1009809","0","vo_lsv","2","0","0","0","19","vo_lsv_0904","0","100980919"
"8","1009809","0","0","1","0","2.079","327","20","0","0","100980920"
"0","1009809","1","0","4","2.4","0","0","21","0","0","100980921"
"9","1009809","0","0","1","0","2.05","327","22","0","0","100980922"
"0","1009809","1","0","4","2.35","0","0","23","0","0","100980923"
"10","1009809","0","0","1","0","2.55","327","24","0","0","100980924"
"0","1009810","1","0","4","0.8","0","0","1","0","0","100981001"
"0","1009810","0","vo_lsv","2","0","0","0","2","vo_lsv_1001","0","100981002"
"1","1009810","0","0","1","0","1.707","300","3","0","0","100981003"
"0","1009810","1","0","4","1.717","0","0","4","0","0","100981004"
"2","1009810","0","0","1","0","0.75","90","5","0","0","100981005"
"0","1009810","1","0","4","1.15","0","0","6","0","0","100981006"
"2","1009810","0","0","1","0","1.46","327","7","0","92","100981007"
"0","1009810","1","0","4","1.66","0","0","8","0","0","100981008"
"3","1009810","0","0","1","0","2.03","327","9","0","0","100981009"
"0","1009810","1","0","4","2.23","0","0","10","0","0","100981010"
"4","1009810","0","0","1","0","1.732","327","11","0","0","100981011"
"0","1009810","1","0","4","2.5","0","0","12","0","0","100981012"
"0","1009810","0","vo_lsv","2","0","0","0","13","vo_lsv_1002","0","100981013"
"5","1009810","0","0","1","0","1.9","300","14","0","0","100981014"
"0","1009810","1","0","4","1.949","0","0","15","0","0","100981015"
"6","1009810","0","0","1","0","2.05","327","16","0","0","100981016"
"0","1009810","1","0","4","2.08","0","0","17","0","0","100981017"
"7","1009810","0","0","1","0","0.8","130","18","0","0","100981018"
"0","1009810","1","0","4","2","0","0","19","0","0","100981019"
"0","1009810","0","vo_lsv","2","0","0","0","20","vo_lsv_1003","0","100981020"
"7","1009810","0","0","1","0","1.575","300","21","0","135","100981021"
"0","1009810","1","0","4","1.6","0","0","22","0","0","100981022"
"8","1009810","0","0","1","0","1.243","190","23","0","0","100981023"
"0","1009810","1","0","4","3","0","0","24","0","0","100981024"
"0","1009810","0","vo_lsv","2","0","0","0","25","vo_lsv_1004","0","100981025"
"9","1009810","0","0","1","0","1.867","196","26","0","0","100981026"
"0","1009810","1","0","4","2.067","0","0","27","0","0","100981027"
"9","1009810","0","0","1","0","0.956","327","28","0","198","100981028"
"0","1009810","1","0","4","1","0","0","29","0","0","100981029"
"10","1009810","0","0","1","0","1.851","260","30","0","0","100981030"
"0","1009810","1","0","4","1.88","0","0","31","0","0","100981031"
"11","1009810","0","0","1","0","1.172","160","32","0","0","100981032"
"0","1009810","1","0","4","2.5","0","0","33","0","0","100981033"
"0","1009810","0","vo_lsv","2","0","0","0","34","vo_lsv_1005","0","100981034"
"12","1009810","0","0","1","0","0.95","88","35","0","0","100981035"
"0","1009810","1","0","4","1.1","0","0","36","0","0","100981036"
"12","1009810","0","0","1","0","1.392","230","37","0","90","100981037"
"0","1009811","1","0","4","0.8","0","0","1","0","0","100981101"
"0","1009811","0","vo_lsv","2","0","0","0","2","vo_lsv_1101","0","100981102"
"1","1009811","0","0","1","0","1.813","300","3","0","0","100981103"
"0","1009811","1","0","4","2","0","0","4","0","0","100981104"
"2","1009811","0","0","1","0","1.065","280","5","0","0","100981105"
"0","1009811","1","0","4","1.095","0","0","6","0","0","100981106"
"3","1009811","0","0","1","0","2.176","327","7","0","0","100981107"
"0","1009811","1","0","4","3.1","0","0","8","0","0","100981108"
"0","1009811","0","vo_lsv","2","0","0","0","9","vo_lsv_1102","0","100981109"
"4","1009811","0","0","1","0","1.283","280","10","0","0","100981110"
"0","1009811","1","0","4","1.31","0","0","11","0","0","100981111"
"5","1009811","0","0","1","0","2.351","327","12","0","0","100981112"
"0","1009811","1","0","4","2.381","0","0","13","0","0","100981113"
"6","1009811","0","0","1","0","2.037","327","14","0","0","100981114"
"0","1009811","1","0","4","3","0","0","15","0","0","100981115"
"0","1009811","0","vo_lsv","2","0","0","0","16","vo_lsv_1103","0","100981116"
"7","1009811","0","0","1","0","2.637","327","17","0","0","100981117"
"0","1009811","1","0","4","3.23","0","0","18","0","0","100981118"
"8","1009811","0","0","1","0","1.789","327","19","0","0","100981119"
"0","1009811","1","0","4","1.81","0","0","20","0","0","100981120"
"9","1009811","0","0","1","0","0.763","80","21","0","0","100981121"
"0","1009811","1","0","4","0.893","0","0","22","0","0","100981122"
"9","1009811","0","0","1","0","1.079","327","23","0","82","100981123"
"0","1009811","1","0","4","1.1","0","0","24","0","0","100981124"
"10","1009811","0","0","1","0","1.424","195","25","0","0","100981125"
"0","1009811","1","0","4","2.5","0","0","26","0","0","100981126"
"0","1009811","0","vo_lsv","2","0","0","0","27","vo_lsv_1104","0","100981127"
"10","1009811","0","0","1","0","0.7","350","28","0","197","100981128"
"0","1009811","1","0","4","0.75","0","0","29","0","0","100981129"
"11","1009811","0","0","1","0","2.45","300","30","0","0","100981130"
"0","1009811","1","0","4","2.55","0","0","31","0","0","100981131"
"12","1009811","0","0","1","0","1.6","220","32","0","0","100981132"
"0","1009812","1","0","4","0.8","0","0","1","0","0","100981201"
"0","1009812","0","vo_lsv","2","0","0","0","2","vo_lsv_1201","0","100981202"
"1","1009812","0","0","1","0","2.379","300","3","0","0","100981203"
"0","1009812","1","0","4","3.5","0","0","4","0","0","100981204"
"0","1009812","0","vo_lsv","2","0","0","0","5","vo_lsv_1202","0","100981205"
"2","1009812","0","0","1","0","1.623","327","6","0","0","100981206"
"0","1009812","1","0","4","1.63","0","0","7","0","0","100981207"
"3","1009812","0","0","1","0","2.644","327","8","0","15","100981208"
"0","1009812","1","0","4","3.5","0","0","9","0","0","100981209"
"0","1009812","0","vo_lsv","2","0","0","0","10","vo_lsv_1203","0","100981210"
"4","1009812","0","0","1","0","1.502","300","11","0","0","100981211"
"0","1009812","1","0","4","1.51","0","0","12","0","0","100981212"
"5","1009812","0","0","1","0","2.171","327","13","0","15","100981213"
"0","1009812","1","0","4","2.2","0","0","14","0","0","100981214"
"6","1009812","0","0","1","0","1.319","180","15","0","0","100981215"
"0","1009812","1","0","4","1.8","0","0","16","0","0","100981216"
"0","1009812","0","vo_lsv","2","0","0","0","17","vo_lsv_1204","0","100981217"
"6","1009812","0","0","1","0","1.03","300","18","0","182","100981218"
"0","1009812","1","0","4","2","0","0","19","0","0","100981219"
"0","1009812","0","vo_lsv","2","0","0","0","20","vo_lsv_1205","0","100981220"
"7","1009812","0","0","1","0","1.96","300","21","0","0","100981221"
"0","1009812","1","0","4","2","0","0","22","0","0","100981222"
"8","1009812","0","0","1","0","2.137","327","23","0","15","100981223"
"0","1009812","1","0","4","3.5","0","0","24","0","0","100981224"
"0","1009812","0","vo_lsv","2","0","0","0","25","vo_lsv_1206","0","100981225"
"9","1009812","0","0","1","0","1.602","300","26","0","0","100981226"
"0","1009812","1","0","4","1.7","0","0","27","0","0","100981227"
"10","1009812","0","0","1","0","2.476","327","28","0","15","100981228"
"0","1009812","1","0","4","3.5","0","0","29","0","0","100981229"
"0","1009812","0","vo_lsv","2","0","0","0","30","vo_lsv_1207","0","100981230"
"11","1009812","0","0","1","0","1.155","300","31","0","0","100981231"
"0","1009812","1","0","4","1.18","0","0","32","0","0","100981232"
"12","1009812","0","0","1","0","1.28","200","33","0","15","100981233"
"0","1009813","1","0","4","0.8","0","0","1","0","0","100981301"
"0","1009813","0","vo_lsv","2","0","0","0","2","vo_lsv_1301","0","100981302"
"1","1009813","0","0","1","0","2.09","300","3","0","0","100981303"
"0","1009813","1","0","4","2.12","0","0","4","0","0","100981304"
"2","1009813","0","0","1","0","2.649","340","5","0","15","100981305"
"0","1009813","1","0","4","3.6","0","0","6","0","0","100981306"
"0","1009813","0","vo_lsv","2","0","0","0","7","vo_lsv_1302","0","100981307"
"3","1009813","0","0","1","0","2.138","300","8","0","0","100981308"
"0","1009813","1","0","4","2.17","0","0","9","0","0","100981309"
"4","1009813","0","0","1","0","2.111","327","10","0","0","100981310"
"0","1009813","1","0","4","2.45","0","0","11","0","0","100981311"
"5","1009813","0","0","1","0","2","327","12","0","0","100981312"
"0","1009813","1","0","4","2.3","0","0","13","0","0","100981313"
"6","1009813","0","0","1","0","1.354","290","14","0","0","100981314"
"0","1009813","1","0","4","3","0","0","15","0","0","100981315"
"0","1009813","0","vo_lsv","2","0","0","0","16","vo_lsv_1303","0","100981316"
"7","1009813","0","0","1","0","1.539","300","17","0","0","100981317"
"0","1009813","1","0","4","1.569","0","0","18","0","0","100981318"
"8","1009813","0","0","1","0","0.732","90","19","0","0","100981319"
"0","1009813","1","0","4","1.08","0","0","20","0","0","100981320"
"8","1009813","0","0","1","0","1.207","300","21","0","92","100981321"
"0","1009813","1","0","4","1.407","0","0","22","0","0","100981322"
"9","1009813","0","0","1","0","1.798","327","23","0","0","100981323"
"0","1009813","1","0","4","2.7","0","0","24","0","0","100981324"
"0","1009813","0","vo_lsv","2","0","0","0","25","vo_lsv_1304","0","100981325"
"10","1009813","0","0","1","0","1.633","300","26","0","0","100981326"
