a4054322e7702d3105b296dfc0e96708a4513787ca03ccd412eea6a9a81df68a,4b477d1981cbe26b52351c1f5861f7e1860bc7da1539f85ed87a068c5a874d79,8b5b41d16e4cd76e3125784bba35152a549972fe2f89d35d1a64b0b10079d299,23b6be47b7990e1c41d18096b2f481a5e9e249af4e550e1f90c6ea83043ccf58,2833d91b1a2f60ac0b22f53778f6ca7f718b147a4bf377167717c95b59cb0ed9,96f0e8b1f4a9b91f428d0e2f2f6d2e875f59cdaf8dcc2f93862e850c4acddc8d,e3f09631884ea5701d69b992d44c75f3eeed4cf3e126ac8075c086ee0c40c374,cc1752a85bf357594471a1889f0dd6dbc1ca3e66c097ce2cecc68e003fba30e3,5a73357b235012ef7606590d58da96ae3afdef686eb2ec5c9456cfedc1fb9831,3d66231e27b1442dbe55293499970a3663bc680eb855e12530076d22a936bf33,62cd29295279baf2b82494be1e0c0d35c99e0a44c3e982e011a26df09230510c,dede1076e4093e599870ad692759f58d28f2ba03ab4aaa863fed8dc5486d4e25,4669d2dad85351d51426fc495456f78a59658861092f5065542389220f2c570f,0ec1e8da1bc27a7a80efb65759712587b8917449b1e5b8fc7ae6387859306d14,b22abc6ea92fbfae4f57826784a8fc196742b1b142dc6e81f313f9773d0ef237,b5fd81659f7e94a91f1f2957743813a14a25c0f15720636f585c52a3804560be,c14eea4960601f0472dca38c369ce2350075c80e640fc2fcfd80888d6b25e148,b935b13d04fe4441a0138842c222746f5cdf0a2ca7756b7f84e9a4ce2669a63e
"1002001","2500000000000","2020/04/01","100584","15","1002","巨影復活","1","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","4004101","0","bgm_M220","1","2020/04/01 7:59:59","bgm_M220","1250000000001","480"
"1002002","1250000000000","2020/04/01 8:00:00","100584","16","1002","巨影復活","2","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","4004102","0","bgm_M220","1","2020/04/01 12:59:59","bgm_M220","750000000001","300"
"1002003","750000000000","2020/04/01 13:00:00","100584","17","1002","巨影復活","3","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","4004103","0","bgm_M220","1","2020/04/01 17:59:59","bgm_M220","250000000001","300"
"1002001","250000000000","2020/04/01 18:00:00","100584","18","1002","巨影復活","1","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","4004104","0","bgm_M220","1","2020/04/01 19:59:59","bgm_M220","125000000001","120"
"1002002","125000000000","2020/04/01 20:00:00","100584","19","1002","巨影復活","2","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 23:59:59","bgm_M220","0","240"
"1002004","0","2020/04/01","100584","22","1002","巨影復活","1","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","4004109","0","bgm_M220","1","2020/04/01 7:59:59","bgm_M220","0","480"
"1002005","0","2020/04/01 8:00:00","100584","23","1002","巨影復活","2","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 12:59:59","bgm_M220","0","300"
"1002006","0","2020/04/01 13:00:00","100584","24","1002","巨影復活","3","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 17:59:59","bgm_M220","0","300"
"1002004","0","2020/04/01 18:00:00","100584","25","1002","巨影復活","1","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 20:59:59","bgm_M220","0","180"
"1002005","0","2020/04/01 21:00:00","100584","26","1002","巨影復活","2","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 21:59:59","bgm_M220","0","60"
"1002006","0","2020/04/01 22:00:00","100584","27","1002","巨影復活","3","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 22:59:59","bgm_M220","0","60"
"1002004","0","2020/04/01 23:00:00","100584","28","1002","巨影復活","1","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","0","0","bgm_M220","1","2020/04/01 23:59:59","bgm_M220","0","60"
