33e48417c7ffea85e535f28ce03fa495d04b20ed87fb8104e81b9483a75db540,c88fa09f56d49a4ebb1a96cdd76cb2d18d4ad9a8b38d9ddaef19fcf3b8407962,9a849f1650e1793198234b266df8623bc5ef3061c72fdda6ab27e69fdd0a2b3d,765e0334e7811770c13ca7edf939d4f586df65b016d69cf027fcdca007c6c779,ee479fb7d273d545d5a5db236e1e60c3faddb48a87478b462c90deaddd9e2107,7aef675eaaf901fc1d2edbebe2f58a8a9139a18cf14327491261b406edabe06e,8659c1d9418b7a3cf364668084773a973dcfa5a277f7bd05544622d88411f602,f296daca9f9ee3a52f712cb9c11bd19eec81436b5636376cdc1e1a50ed46d4f2,390169fdf689f8fccf68b68ba820dd1980f777014d0e2a581fe23b7f684da12e,8de3b7a67dcabe21bac7c347bc035c5cde9e4e038189858bd67d4537cb9875e1,9e9fdaed5dc4e6b02e5e55a4f61ea93a618cabb5fee872092a935e77d0dfbb54
"","1010018","1","omp_idle_normal","","3","112511","1","","0",""
"","1010019","1","omp_talk_sad","","3","112411","1","","0",""
"0","1010020","0","vo_omp_7001_003","","21","vo_omp_7001","1","","",""
"1","1010021","10","もしかして…\nリンちゃんは楽しくないですか？","","11","112411","1","1","",""
"","1010022","","","","91","0","1","","",""
"","1010023","1","omp_idle_sad","","3","112411","1","","0",""
"omp_idle_surprise1","1010024","0","omp_surprise","0.1","3","112511","1","1","0",""
"0","1010025","0","vo_omp_7001_004","","21","vo_omp_7001","1","","",""
"1","1010026","10","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","","11","112511","1","1","",""
"","1010027","","1","","93","2.5","1","","",""
"","1010028","1","omp_talk_normal","","3","112511","1","","0.2",""
"","1010029","","","","91","1010026","1","","",""
"","1010030","1","omp_idle_normal","","3","112511","1","","0",""
"","1010031","1","omp_talk_joy2","","3","112411","1","","0",""
"0","1010032","0","vo_omp_7001_005","","21","vo_omp_7001","1","","",""
"1","1010033","10","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","","11","112411","1","1","",""
"","1010034","","","","91","0","1","","",""
"","1010035","1","0","","4","112511","1","","",""
"","1010036","1","omp_psn_20","","3","112411","1","","0",""
"","1010037","1","omp_idle_normal","","3","112511","1","","0",""
"0","1010038","0","vo_omp_7001_006","","21","vo_omp_7001","1","","",""
"1","1010039","10","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","","11","112511","1","1","",""
"","1010040","","","","91","0","1","","",""
"","1010041","","","","93","0.4","1","","",""
"-180","1020001","1600","112511","0","1","1","2","-195","1.8","omp_idle_normal"
"20","1020002","1500","112411","1","1","1","2","-190","1.8","omp_talk_normal"
"220","1020003","1600","112611","1","1","1","2","-205","1.8","omp_idle_normal"
"0","1020004","0","1","","31","1","2","1","1",""
"","1020005","","","","93","1","2","","",""
"0","1020006","0","vo_omp_7002_000","","21","vo_omp_7002","2","","",""
"1","1020007","10","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","","11","112411","2","1","",""
"","1020008","","","","91","0","2","","",""
"","1020009","","0","","4","112411","2","","",""
"","1020010","1","omp_idle_normal","","3","112411","2","","0",""
"","1020011","1","omp_talk_joy1","","3","112611","2","","0",""
"0","1020012","0","vo_omp_7002_001","","21","vo_omp_7002","2","","",""
"1","1020013","10","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","","11","112611","2","1","",""
"","1020014","","","","91","0","2","","",""
"","1020015","1","omp_idle_joy1","","3","112611","2","","0",""
"","1020016","1","omp_talk_surprise1","","3","112411","2","","0",""
"0","1020017","0","vo_omp_7002_002","","21","vo_omp_7002","2","","",""
"1","1020018","10","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","","11","112411","2","1","",""
"","1020019","","","","91","0","2","","",""
"","1020020","","1","","4","112411","2","","",""
"","1020021","1","omp_idle_surprise1","","3","112411","2","","0",""
"","1020022","1","omp_talk_normal","","3","112511","2","","0",""
"0","1020023","0","vo_omp_7002_003","","21","vo_omp_7002","2","","",""
"1","1020024","10","全然想像できない味だったね\nいい意味で","","11","112511","2","1","",""
"","1020025","","","","91","0","2","","",""
"","1020026","1","omp_talk_sad","","3","112511","2","","0",""
"0","1020027","0","vo_omp_7002_004","","21","vo_omp_7002","2","","",""
"1","1020028","10","でも魔物が調理されてるところは\nまあ、何て言うか…","","11","112511","2","1","",""
"","1020029","","","","91","0","2","","",""
"","1020030","1","omp_idle_sad","","3","112511","2","","0",""
"","1020031","1","omp_talk_bitter","","3","112411","2","","0",""
"0","1020032","0","vo_omp_7002_005","","21","vo_omp_7002","2","","",""
"1","1020033","10","…す、すごかったですよね","","11","112411","2","1","",""
"","1020034","","","","91","0","2","","",""
"","1020035","1","omp_idle_bitter","","3","112411","2","","0",""
"","1020036","1","omp_talk_joy1","","3","112611","2","","0",""
"0","1020037","0","vo_omp_7002_006","","21","vo_omp_7002","2","","",""
"1","1020038","10","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","","11","112611","2","1","",""
"","1020039","","","","91","0","2","","",""
"","1020040","1","omp_idle_joy1","","3","112611","2","","0",""
"","1020041","1","omp_talk_bitter","","3","112511","2","","0",""
"0","1020042","0","vo_omp_7002_007","","21","vo_omp_7002","2","","",""
"1","1020043","10","冒険って、奥が深いね…","","11","112511","2","1","",""
"","1020044","","","","91","0","2","","",""
"","1020045","","","","93","0.4","2","","",""
"-140","1030001","1500","112411","0","1","1","3","-190","1.8","omp_talk_joy1"
"140","1030002","1500","112611","1","1","1","3","-190","1.8","omp_idle_normal"
"0","1030003","0","1","","31","1","3","1","1",""
"","1030004","","","","93","1","3","","",""
"0","1030005","0","vo_omp_7003_000","","21","vo_omp_7003","3","","",""
"1","1030006","10","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","","11","112411","3","1","",""
"","1030007","","","","91","0","3","","",""
"","1030008","1","omp_psn_20","","3","112411","3","","0",""
"","1030009","1","omp_psn_19","","3","112611","3","","0",""
"0","1030010","0","vo_omp_7003_001","","21","vo_omp_7003","3","","",""
"1","1030011","10","た、楽しいかな～？","","11","112611","3","1","",""
"","1030012","","","","91","0","3","","",""
"","1030013","1","omp_psn_18","","3","112611","3","","0",""
"","1030014","1","omp_talk_joy1","","3","112411","3","","0",""
"0","1030015","0","vo_omp_7003_002","","21","vo_omp_7003","3","","",""
"1","1030016","10","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","","11","112411","3","1","",""
"","1030017","","","","91","0","3","","",""
"","1030018","1","omp_psn_20","","3","112411","3","","0",""
"","1030019","1","omp_talk_joy1","","3","112611","3","","0",""
"0","1030020","0","vo_omp_7003_003","","21","vo_omp_7003","3","","",""
"1","1030021","10","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","","11","112611","3","1","",""
"","1030022","","1","","93","1.5","3","","",""
"","1030023","1","omp_psn_19","","3","112611","3","","0.2",""
"","1030024","","","","91","1030021","3","","",""
"","1030025","1","omp_psn_18","","3","112611","3","","0",""
"","1030026","1","omp_talk_joy1","","3","112411","3","","0",""
"0","1030027","0","vo_omp_7003_004","","21","vo_omp_7003","3","","",""
"1","1030028","10","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","","11","112411","3","1","",""
"","1030029","","","","91","0","3","","",""
"","1030030","1","omp_psn_20","","3","112411","3","","0",""
"","1030031","1","omp_psn_19","","3","112611","3","","0",""
"0","1030032","0","vo_omp_7003_005","","21","vo_omp_7003","3","","",""
"1","1030033","10","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","","11","112611","3","1","",""
"","1030034","","","","91","0","3","","",""
"","1030035","1","omp_psn_18","","3","112611","3","","0",""
"","1030036","1","omp_talk_joy2","","3","112411","3","","0",""
"0","1030037","0","vo_omp_7003_006","","21","vo_omp_7003","3","","",""
"1","1030038","10","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","","11","112411","3","1","",""
"","1030039","","","","91","0","3","","",""
"","1030040","1","omp_psn_20","","3","112411","3","","0",""
"","1030041","1","omp_talk_sad","","3","112611","3","","0",""
"0","1030042","0","vo_omp_7003_007","","21","vo_omp_7003","3","","",""
"1","1030043","10","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","","11","112611","3","1","",""
"","1030044","","1","","93","6","3","","",""
"","1030045","1","omp_talk_joy2","","3","112611","3","","0.2",""
"","1030046","","","","91","1030043","3","","",""
"","1030047","1","omp_idle_joy2","","3","112611","3","","0",""
"","1030048","1","omp_talk_joy2","","3","112411","3","","0",""
"0","1030049","0","vo_omp_7003_008","","21","vo_omp_7003","3","","",""
"1","1030050","10","はい！\n一緒に頑張りましょう！","","11","112411","3","1","",""
"","1030051","","","","91","0","3","","",""
"","1030052","","","","93","0.4","3","","",""
"-180","1040001","1600","105831","0","1","1","4","-195","1.8","omp_talk_normal"
"20","1040002","1500","105931","1","1","1","4","-190","1.8","omp_idle_normal"
"220","1040003","1600","106031","1","1","1","4","-205","1.8","omp_idle_normal"
"0","1040004","0","1","","31","1","4","1","1",""
"","1040005","","","","93","1","4","","",""
"0","1040006","0","vo_omp_7004_000","","21","vo_omp_7004","4","","",""
"1","1040007","10","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","","11","105831","4","1","",""
"","1040008","","","","91","0","4","","",""
"","1040009","1","omp_idle_normal","","3","105831","4","","0",""
"","1040010","1","omp_talk_normal","","3","105931","4","","0",""
"0","1040011","0","vo_omp_7004_001","","21","vo_omp_7004","4","","",""
"1","1040012","10","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","","11","105931","4","1","",""
"","1040013","","","","91","0","4","","",""
"","1040014","","0","","4","105931","4","","",""
"","1040015","1","omp_idle_normal","","3","105931","4","","0",""
"omp_idle_surprise1","1040016","0","omp_surprise","","3","106031","4","1","0",""
"0","1040017","0","vo_omp_7004_002","","21","vo_omp_7004","4","","",""
"1","1040018","10","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","","11","106031","4","1","",""
"","1040019","","1","","93","2","4","","",""
"","1040020","1","omp_talk_tsun","","3","106031","4","","0.1",""
"","1040021","","","","91","1040018","4","","",""
"","1040022","1","omp_talk_tsun","","3","106031","4","","0",""
"0","1040023","0","vo_omp_7004_003","","21","vo_omp_7004","4","","",""
"1","1040024","10","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","","11","106031","4","1","",""
"","1040025","","","","91","0","4","","",""
"","1040026","1","omp_idle_tsun","","3","106031","4","","0",""
"","1040027","1","omp_talk_worry","","3","105931","4","","0",""
"0","1040028","0","vo_omp_7004_004","","21","vo_omp_7004","4","","",""
"1","1040029","10","それはそうでございますが…\n好奇心が勝ってしまいまして","","11","105931","4","1","",""
"","1040030","","","","91","0","4","","",""
"","1040031","","1","","4","105931","4","","",""
"","1040032","1","omp_idle_worry","","3","105931","4","","0",""
"","1040033","1","omp_talk_joy1","","3","105831","4","","0",""
"0","1040034","0","vo_omp_7004_005","","21","vo_omp_7004","4","","",""
"1","1040035","10","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","","11","105831","4","1","",""
"","1040036","","1","","93","5.5","4","","",""
"","1040037","0","omp_psn_11","","3","105831","4","","0.2",""
"","1040038","","","","91","1040035","4","","",""
"","1040039","1","omp_talk_normal","","3","105931","4","","0",""
"0","1040040","0","vo_omp_7004_006","","21","vo_omp_7004","4","","",""
"1","1040041","10","はい♪\nいえーい、でございます…！","","11","105931","4","1","",""
"","1040042","","1","","93","1.5","4","","",""
"","1040043","0","omp_psn_11","","3","105931","4","1","0.2",""
"","1040044","","","","91","1040041","4","","",""
"","1040045","","0","","4","105931","4","","",""
"","1040046","1","omp_idle_normal","","3","105931","4","","0",""
"","1040047","1","omp_idle_joy1","","3","105831","4","","0.2",""
"","1040048","1","omp_idle_tsun","","3","106031","4","","0",""
"0","1040049","0","vo_omp_7004_007","","21","vo_omp_7004","4","","",""
"1","1040050","10","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","","11","106031","4","1","",""
"","1040051","","1","","93","7","4","","",""
"","1040052","0","omp_psn_12","","3","106031","4","","0.1",""
"","1040053","","","","93","1.5","4","","",""
"","1040054","","","","91","1040050","4","","",""
"","1040055","1","omp_idle_normal","","3","106031","4","","0.2",""
"","1040056","1","omp_idle_surprise1","","3","105831","4","","0",""
"0","1040057","0","vo_omp_7004_008","","21","vo_omp_7004","4","","",""
"1","1040058","10","キャ、キャルちゃん…","","11","105831","4","1","",""
"","1040059","","","","91","0","4","","",""
"","1040060","1","omp_idle_surprise1","","3","105831","4","","0",""
"","1040061","1","omp_talk_sad","","3","105931","4","","0",""
"0","1040062","0","vo_omp_7004_009","","21","vo_omp_7004","4","","",""
"1","1040063","10","ものすごく、本気でございますね","","11","105931","4","1","",""
"","1040064","","","","91","0","4","","",""
"","1040065","1","omp_idle_sad","","3","105931","4","","0",""
"omp_talk_surprise2","1040066","0","omp_surprise","0.1","3","106031","4","1","0",""
"0","1040067","0","vo_omp_7004_010","","21","vo_omp_7004","4","","",""
"1","1040068","10","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","","11","106031","4","1","",""
"","1040069","","1","","93","6.5","4","","",""
"","1040070","1","omp_talk_tsun","","3","106031","4","","0.2",""
"","1040071","","","","91","1040068","4","","",""
"","1040072","","","","93","0.4","4","","",""
"-140","1050001","1500","112611","0","1","1","5","-190","1.8","omp_talk_joy1"
"140","1050002","1500","112511","1","1","1","5","-190","1.8","omp_idle_normal"
"0","1050003","0","1","","31","1","5","1","1",""
"","1050004","","","","93","1","5","","",""
"0","1050005","0","vo_omp_7005_000","","21","vo_omp_7005","5","","",""
"1","1050006","10","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","","11","112611","5","1","",""
"","1050007","","","","91","0","5","","",""
"","1050008","1","omp_idle_joy1","","3","112611","5","","0",""
"","1050009","1","omp_talk_normal","","3","112511","5","","0",""
"0","1050010","0","vo_omp_7005_001","","21","vo_omp_7005","5","","",""
"1","1050011","10","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","","11","112511","5","1","",""
"","1050012","","","","91","0","5","","",""
"","1050013","1","omp_idle_normal","","3","112511","5","","0",""
"","1050014","1","omp_talk_joy1","","3","112611","5","","0",""
"0","1050015","0","vo_omp_7005_002","","21","vo_omp_7005","5","","",""
"1","1050016","10","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","","11","112611","5","1","",""
"","1050017","","1","","93","6.2","5","","",""
"","1050018","1","omp_talk_thinking","","3","112611","5","","0.2",""
"","1050019","","","","91","1050016","5","","",""
"","1050020","1","omp_idle_thinking","","3","112611","5","","0",""
"","1050021","1","omp_talk_normal2","","3","112511","5","","0",""
"0","1050022","0","vo_omp_7005_003","","21","vo_omp_7005","5","","",""
"1","1050023","10","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","","11","112511","5","1","",""
"","1050024","","","","91","0","5","","",""
"","1050025","1","omp_idle_calm","","3","112511","5","","0",""
"","1050026","1","omp_talk_sad","","3","112611","5","","0.1",""
"0","1050027","0","vo_omp_7005_004","","21","vo_omp_7005","5","","",""
"1","1050028","10","し…し…","","11","112611","5","1","",""
"","1050029","","","","91","0","5","","",""
"","1050030","1","omp_idle_sad","","3","112611","5","","0",""
"","1050031","1","omp_psn_19","","3","112511","5","","0",""
"0","1050032","0","vo_omp_7005_005","","21","vo_omp_7005","5","","",""
"1","1050033","10","し…？","","11","112511","5","1","",""
"","1050034","","","","91","0","5","","",""
"","1050035","1","omp_psn_18","","3","112511","5","","0",""
"","1050036","1","omp_talk_sad","","3","112611","5","","0",""
"0","1050037","0","vo_omp_7005_006","","21","vo_omp_7005","5","","",""
"1","1050038","10","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","","11","112611","5","1","",""
"","1050039","","1","","93","4.5","5","","",""
"","1050040","1","omp_talk_surprise2","","3","112611","5","","0.2",""
"","1050041","","","","91","1050038","5","","",""
"","1050042","1","omp_idle_surprise2","","3","112611","5","","0",""
"","1050043","1","omp_talk_normal","","3","112511","5","","0",""
"0","1050044","0","vo_omp_7005_007","","21","vo_omp_7005","5","","",""
"1","1050045","10","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","","11","112511","5","1","",""
"","1050046","","1","","93","3.5","5","","",""
"","1050047","1","omp_talk_anger","","3","112511","5","","0.2",""
"","1050048","","","","91","1050045","5","","",""
"","1050049","1","omp_idle_anger","","3","112511","5","","0",""
"","1050050","1","omp_talk_joy1","","3","112611","5","","0",""
"0","1050051","0","vo_omp_7005_008","","21","vo_omp_7005","5","","",""
"1","1050052","10","えへへ、ごめんごめん☆","","11","112611","5","1","",""
"","1050053","","","","91","0","5","","",""
"","1050054","1","omp_idle_joy1","","3","112611","5","","0",""
"","1050055","1","omp_talk_sad","","3","112511","5","","0",""
"0","1050056","0","vo_omp_7005_009","","21","vo_omp_7005","5","","",""
"1","1050057","10","まったく\n…けど、さっきのは\nほんとのことだからね","","11","112511","5","1","",""
"","1050058","","1","","93","2","5","","",""
"","1050059","1","omp_talk_normal","","3","112511","5","","0.2",""
"","1050060","","","","91","1050057","5","","",""
"","1050061","1","omp_idle_normal","","3","112511","5","","0",""
"","1050062","1","omp_talk_joy2","","3","112611","5","","0",""
"0","1050063","0","vo_omp_7005_010","","21","vo_omp_7005","5","","",""
"1","1050064","10","うん！\nありがとっ、しぶりん！","","11","112611","5","1","",""
"","1050065","","","","91","0","5","","",""
"","1050066","","","","93","0.4","5","","",""
"-180","1060001","1600","112511","0","1","1","6","-195","1.8","omp_talk_normal"
"20","1060002","1500","112411","1","1","1","6","-190","1.8","omp_idle_normal"
"220","1060003","1600","112611","1","1","1","6","-205","1.8","omp_idle_normal"
"0","1060004","0","1","","31","1","6","1","1",""
"","1060005","","","","93","1","6","","",""
"0","1060006","0","vo_omp_7006_000","","21","vo_omp_7006","6","","",""
"1","1060007","10","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","","11","112511","6","1","",""
"","1060008","","","","91","0","6","","",""
"","1060009","1","omp_idle_normal","","3","112511","6","","0",""
"","1060010","1","omp_talk_joy1","","3","112611","6","","0",""
"0","1060011","0","vo_omp_7006_001","","21","vo_omp_7006","6","","",""
"1","1060012","10","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","","11","112611","6","1","",""
"","1060013","","","","91","0","6","","",""
"","1060014","","0","","4","112411","6","","",""
"","1060015","1","omp_idle_joy1","","3","112611","6","","0",""
"","1060016","1","omp_talk_joy1","","3","112411","6","","0",""
"0","1060017","0","vo_omp_7006_002","","21","vo_omp_7006","6","","",""
"1","1060018","10","えへへっ、ありがとうございます！\nえっと…","","11","112411","6","1","",""
"","1060019","","","","91","0","6","","",""
"","1060020","1","omp_talk_normal","","3","112411","6","","0",""
"0","1060021","0","vo_omp_7006_003","","21","vo_omp_7006","6","","",""
"1","1060022","10","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","","11","112411","6","1","",""
"","1060023","","","","91","0","6","","",""
"","1060024","1","omp_talk_thinking","","3","112411","6","","0",""
"0","1060025","0","vo_omp_7006_004","","21","vo_omp_7006","6","","",""
"1","1060026","10","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","","11","112411","6","1","",""
"","1060027","","","","91","0","6","","",""
"","1060028","1","omp_talk_normal2","","3","112411","6","","0",""
"0","1060029","0","vo_omp_7006_005","","21","vo_omp_7006","6","","",""
"1","1060030","10","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","","11","112411","6","1","",""
"","1060031","","","","91","0","6","","",""
"","1060032","1","omp_idle_calm","","3","112411","6","","0",""
"","1060033","1","omp_talk_sad","","3","112611","6","","0",""
"0","1060034","0","vo_omp_7006_006","","21","vo_omp_7006","6","","",""
"1","1060035","10","しまむー…！","","11","112611","6","1","",""
"","1060036","","","","91","0","6","","",""
"","1060037","","1","","4","112411","6","","",""
"","1060038","1","omp_idle_sad","","3","112611","6","","0",""
"","1060039","1","omp_talk_thinking","","3","112511","6","","0",""
"0","1060040","0","vo_omp_7006_007","","21","vo_omp_7006","6","","",""
"1","1060041","10","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","","11","112511","6","1","",""
"","1060042","","","","91","0","6","","",""
"","1060043","","0","","4","112411","6","","",""
"","1060044","1","omp_idle_thinking","","3","112511","6","","0",""
"","1060045","1","omp_talk_joy1","","3","112611","6","","0",""
"0","1060046","0","vo_omp_7006_008","","21","vo_omp_7006","6","","",""
"1","1060047","10","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","","11","112611","6","1","",""
"","1060048","","","","91","0","6","","",""
"","1060049","","1","","4","112411","6","","",""
"","1060050","1","omp_idle_joy1","","3","112611","6","","0",""
"","1060051","1","omp_talk_joy2","","3","112411","6","","0",""
"0","1060052","0","vo_omp_7006_009","","21","vo_omp_7006","6","","",""
"1","1060053","10","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","","11","112411","6","1","",""
"","1060054","","1","","93","1.2","6","","",""
"","1060055","","0","","4","112411","6","","",""
"","1060056","","","","91","1060053","6","","",""
"0","1060057","-195","-180","","2","112511","6","1","",""
"0","1060058","-190","0","","2","112411","6","1","",""
"0","1060059","-195","180","","2","112611","6","1","",""
"","1060060","0","omp_psn_dicision_rin","","3","112511","6","","0.1",""
"","1060061","0","omp_psn_dicision_uduki","","3","112411","6","","0.1",""
"","1060062","0","omp_psn_dicision_mio","","3","112611","6","","0.1",""
"0","1060063","0","2","","31","2","6","1","1",""
"","1060064","","","","91","1060062","6","","",""
"","1060065","","","","93","0.6","6","","",""
"-100","1070001","1600","105831","0","1","1","7","-205","1.8","omp_idle_normal"
"-390","1070002","1600","105931","0","1","1","7","-225","1.8","omp_idle_normal"
"-260","1070003","1500","106031","0","1","1","7","-190","1.8","omp_idle_normal"
"250","1070004","1500","112511","1","1","1","7","-185","1.8","omp_idle_normal"
"385","1070005","1600","112411","1","1","1","7","-220","1.8","omp_idle_normal"
"100","1070006","1600","112611","1","1","1","7","-195","1.8","omp_idle_normal"
"0","1070007","0","1","","31","1","7","1","1",""
"","1070008","","","","93","0.2","7","","",""
"","1070009","1","omp_idle_normal","","3","112611","7","","0.1",""
"","1070010","1","omp_talk_normal","","3","112411","7","","0",""
"","1070011","1","omp_idle_normal","","3","112511","7","","0.1",""
"","1070012","1","omp_idle_normal","","3","105831","7","","0.1",""
"","1070013","","","","93","0.1","7","","",""
"","1070014","","","","93","1","7","","",""
"0","1070015","0","vo_omp_7007_000","","21","vo_omp_7007","7","","",""
"1","1070016","10","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","","11","112411","7","1","",""
"","1070017","","","","91","0","7","","",""
"","1070018","1","omp_idle_normal","","3","112411","7","","0.1",""
"","1070019","1","omp_talk_normal","","3","105831","7","","0.1",""
"0","1070020","0","vo_omp_7007_001","","21","vo_omp_7007","7","","",""
"1","1070021","10","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","","11","105831","7","1","",""
"","1070022","","","","91","0","7","","",""
"","1070023","1","omp_idle_normal","","3","105831","7","","0",""
"","1070024","1","omp_talk_worry","","3","105931","7","","0",""
"0","1070025","0","vo_omp_7007_002","","21","vo_omp_7007","7","","",""
"1","1070026","10","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","","11","105931","7","1","",""
"","1070027","","","","91","0","7","","",""
"","1070028","1","omp_idle_worry","","3","105931","7","","0",""
"","1070029","1","omp_talk_normal","","3","106031","7","","0",""
"0","1070030","0","vo_omp_7007_003","","21","vo_omp_7007","7","","",""
"1","1070031","10","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","","11","106031","7","1","",""
"","1070032","","","","91","0","7","","",""
"","1070033","1","omp_idle_normal","","3","106031","7","","0",""
"","1070034","1","omp_talk_worry","","3","112611","7","","0",""
"0","1070035","0","vo_omp_7007_004","","21","vo_omp_7007","7","","",""
"1","1070036","10","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","","11","112611","7","1","",""
"","1070037","","","","91","0","7","","",""
"","1070038","1","omp_idle_worry","","3","112611","7","","0",""
"","1070039","1","omp_talk_normal2","","3","105931","7","","0",""
"0","1070040","0","vo_omp_7007_005","","21","vo_omp_7007","7","","",""
"1","1070041","10","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","","11","105931","7","1","",""
"","1070042","","","","91","0","7","","",""
"","1070043","1","omp_idle_calm","","3","105931","7","","0",""
"","1070044","1","omp_talk_normal2","","3","112511","7","","0",""
"0","1070045","0","vo_omp_7007_006","","21","vo_omp_7007","7","","",""
