b4aedced68dd7c24ff05145d3bdede99ee844466f309de980947fea443a6c13d,40463604423137b83e6b05b54a38ec00be8a964e1da2d8fc774915419e6af99a,a4ec9ebfbdc57821545ab3d860c301b0bc4b34d9fbfca19f967610a610033857,b1e56d3eb9150d153f275d9cadcabb925dd04644a9d07add7afe72badc1984a6,508eaf8cdcc82f7c86040025d835a55ac60c8196205f5dfc88a66c32aedba39e,e10383402e2c736423aa1ee2f15463cf5e874fc403b6f4ab7460503d45b043c5,3bde756f5f304b35cc2f8fe8ed0f4ef947cac4b359ea978a06886ea3ffd86402,338e98f261d7c0cf9d1f0372c331c7ece7ec3972ecb079f923ff6bcd29bbaa37,aa79ce30a13f1b14c14ca26bcaea517b5353732e3d597267d3a41647be559327,574ed92141ff44c245eeef6dc111a498b0102d0d46fa9d0136bdc46e67dcc3c6
"追跡","0","0","0","人物","不信","1","2120046","0","すべて正しい"
"両替","0","0","0","紙幣","硬化","1","2120047","0","すべて正しい"
"しぶんごれつ","0","0","0","はちめんろっぴ","きゅうしいっしょう","1","2120048","0","さんしゃさんよう"
"しめんそか","0","0","0","ひゃっぱちひゃくちゅう","せんざいいちぐう","1","2120049","0","いちもうだじん"
"計る","0","0","0","謀る","図る","1","2120050","0","測る"
"突く","0","0","0","着く","就く","1","2120051","0","付く"
"黒","0","0","0","赤","青","1","2120053","0","白"
"七分","0","0","0","三分","五分","1","2120054","0","二分"
"カップル","0","0","0","家族","敵同士","1","2120055","0","師弟"
"シイタケ","0","0","0","マツタケ","タケノコ","1","2120056","0","アスパラ"
"仕事","0","0","0","女","金","1","2120057","0","命"
"髪の毛","0","0","0","麻","真綿","1","2120058","0","糸"
"あご","0","0","0","耳","眉","1","2120059","0","うなじ"
"犬","0","0","0","鶴","亀","1","2120060","0","猫"
"猫","0","0","0","狸","狐","1","2120061","0","兎"
"ぼくらの防衛団","0","0","0","ばたんきゅー冒険団","バイバイぼっち団","1","2121001","0","バイトばっかり団"
"ザ・バタリオン・オブ・ゲヘナ・イモータルズ","0","0","0","ザ・バタリオン・オブ・ハデス・イモータル","ジ・オーダー・オブ・ゲヘナ・イモータルズ","1","2121002","0","ジ・オーダー・オブ・ハデス・イモータル"
"聖夜女君","0","0","0","誓約女君","絶対妻君","1","2121003","0","獰猛女君"
"しっぷうのめいひ","0","0","0","しっぷうのめいひめ","しっぷうのヘカーテ","1","2121004","0","しっぷうのダークプリンセス"
"1000","0","0","0","10000000","1000000","1","2121005","0","100000000"
"小指","0","0","0","親指","薬指","1","2130004","0","中指"
"親指","0","0","0","薬指","中指","1","2130005","0","人差し指"
"薬指","0","0","0","中指","人差し指","1","2130006","0","親指"
"野菜","0","0","0","肉","酒","1","2130007","0","米"
"頑固者","0","0","0","貧乏人","世間知らず","1","2130008","0","料理人"
"原","0","0","0","病","床","1","2130009","0","尾"
"西","0","0","0","東","南","1","2130011","0","北"
"居間","0","0","0","トイレ","台所","1","2130014","0","納戸"
"六","0","0","0","七","九","1","2130015","0","八"
"ギター","0","0","0","琴","三味線","1","2130016","0","ピアノ"
"千変万化","0","0","0","再三再四","天衣無法","1","2130018","0","馬耳東風"
"貴重","0","0","0","貢献","格下","1","2130019","0","穀物"
"金券","0","0","0","貝殻","掛軸","1","2130020","0","木刀"
"無芸大食","0","0","0","器用貧乏","羊頭苦肉","1","2130021","0","汚名返上"
"夏","0","0","0","春","秋","1","2130022","0","冬"
"チュウ","0","0","0","ホン","ハン","1","2130023","0","タン"
"サン","0","0","0","イツ","タン","1","2130024","0","コン"
"キン","0","0","0","イン","シン","1","2130025","0","テン"
"木伊乃","0","0","0","伊乃木","木乃伊","1","2130026","0","乃伊木"
"ちょうおんとう","0","0","0","さらゆ","ぬるまゆ","1","2130027","0","ねっとう"
"口風琴","0","0","0","手風琴","自鳴琴","1","2130028","0","鉄琴"
"線描","0","0","0","点描","素描","1","2130029","0","寸描"
"不注意","0","0","0","大胆","用心しすぎ","1","2130030","0","平凡"
"麻雀","0","0","0","将棋","囲碁","1","2130031","0","双六"
"食事","0","0","0","賭け事","釣り","1","2130033","0","女性"
"鯵","0","0","0","鮪","鰯","1","2130034","0","鰹"
"突然のチャンス","0","0","0","悪いときの助け船","良いときの邪魔者","1","2130035","0","災難続き"
"薔薇","0","0","0","菊","蓮","1","2130036","0","百合"
"梅","0","0","0","桜","菊","1","2130037","0","松"
"いっき","0","0","0","いちまつ","いちる","1","2130039","0","いっぺん"
"生け花","0","0","0","タコ漁","サイコロ博打","1","2130041","0","指圧"
"カエル","0","0","0","カマキリ","クモ","1","2130044","0","ヤモリ"
"ネコ","0","0","0","カエル","カラス","1","2130045","0","スズムシ"
"居候","0","0","0","盗人","江戸っ子","1","2130046","0","武士"
"カモ","0","0","0","カラス","キジ","1","2130047","0","サギ"
"草","0","0","0","カビ","苔","1","2130048","0","芽"
"ずいし","0","0","0","ついかく","すいこう","1","2130049","0","すいさつ"
"車","0","0","0","刀","翼","1","2130050","0","獅子"
"酢をつける","0","0","0","塩をつける","味噌をつける","1","2130052","0","辛子をつける"
"筆いね","0","0","0","筆むぎ","筆まめ","1","2130053","0","筆あわ"
"あまねく","0","0","0","しばらく","ようやく","1","2130054","0","ことごとく"
"詩","0","0","0","詩集","詩人","1","2130055","0","詩を書く"
"あけび","0","0","0","びわ","いちじく","1","2130058","0","ざくろ"
"ぜんまい","0","0","0","わらび","うど","1","2130059","0","つくし"
"おみなえし","0","0","0","しょうぶ","かきつばた","1","2130061","0","さるすべり"
"ディープエターナル＝ディヴァイダー","0","0","0","ディープエターナル＝エアスラッシャー","エターナルアビス＝ディヴァイダー","1","2131001","0","エターナルアビス＝エアスラッシャー"
"アビステクノロジー・ヘルコード","0","0","0","アポカリプスコード・スリーシックス","ギアスアポクリフォ・タイラントコード","1","2131002","0","ギアスグリモワール・ナンバーオブサタン"
"百点満点","0","0","0","百貨店","百面相","1","2131003","0","百人一首"
"お仕事","0","0","0","胸の内","推し事","1","2131004","0","愛言葉"
"ファイト","0","0","0","クルーズ","キャンプ","1","2131005","0","マラソン"
"ヤゴ","0","0","0","アオダイショウ","オタマジャクシ","1","2210001","0","ゲンゴロウ"
"しっぽ","0","0","0","翼","角","1","2210003","0","耳"
"サンゴ","0","0","0","ダンゴ","イナゴ","1","2210004","0","ロンゴ"
"コウノトリ","0","0","0","ペリカン","カラス","1","2210005","0","オウム"
"オニオン","0","0","0","ガーリック","ジンジャー","1","2210006","0","ターメリック"
"ドリアン","0","0","0","マンゴー","アボカド","1","2210007","0","ランブータン"
"パール","0","0","0","パンジー","パクチー","1","2210008","0","パーシー"
"ハクサイ","0","0","0","ピーマン","ニンジン","1","2210009","0","キュウリ"
"鳥類","0","0","0","哺乳類","魚類","1","2210011","0","は虫類"
"慣れ","0","0","0","罷免","免疫","1","2210012","0","自己防衛"
"口","0","0","0","鼻","耳","1","2210013","0","目"
"イヌ科","0","0","0","リス科","イタチ科","1","2210015","0","ネコ科"
"おじいさん","0","0","0","お父さん","お母さん","1","2210016","0","おばあさん"
"耳","0","0","0","口","鼻","1","2210018","0","目"
"アユ","0","0","0","サバ","サケ","1","2210019","0","コイ"
"ヒツジ","0","0","0","パンダ","ラクダ","1","2210020","0","ゴリラ"
"ライオン","0","0","0","ダチョウ","チーター","1","2210021","0","トラ"
"キツツキ","0","0","0","カッコウ","オウム","1","2210022","0","フクロウ"
"物知らず","0","0","0","情知らず","親知らず","1","2210024","0","八重歯"
"コウノトリ","0","0","0","フラミンゴ","クジャク","1","2210025","0","ライチョウ"
"タカアシガニ","0","0","0","ズワイガニ","タラバガニ","1","2210026","0","モクズガニ"
"レモン糖","0","0","0","ミカン糖","ブドウ糖","1","2210027","0","イチゴ糖"
"シイタケ","0","0","0","マツタケ","ソデタケ","1","2210029","0","マイタケ"
"キャビア","0","0","0","フォアグラ","トリュフ","1","2210030","0","ナツメグ"
"解体動物","0","0","0","剛体動物","軟体動物","1","2210032","0","変体動物"
"レタス","0","0","0","モヤシ","ピーマン","1","2210034","0","キャベツ"
"なたまめ","0","0","0","えんどうまめ","そらまめ","1","2210035","0","くろまめ"
"ヒラメ筋","0","0","0","上腕一頭筋","上腕二頭筋","1","2210037","0","上腕五頭筋"
"黄","0","0","0","青","赤","1","2210040","0","緑"
"5匹","0","0","0","20匹","1匹","1","2210041","0","10匹"
"前脚","0","0","0","鼻","耳","1","2210042","0","尻尾"
"湖","0","0","0","川","海","1","2210045","0","池"
"首が360度回る","0","0","0","地上を高速で走る","くちばしが膨らむ","1","2210046","0","木をつついて穴をあける"
"ペンション","0","0","0","サンゴ","貝","1","2210047","0","小石"
"サザンカ","0","0","0","アサガオ","サクラ","1","2210048","0","キク"
"くしゃみ","0","0","0","しゃっくり","いびき","1","2210049","0","あくび"
"頭あい骨","0","0","0","頭とう骨","頭がい骨","1","2210050","0","頭こう骨"
"46℃前後","0","0","0","26℃前後","36℃前後","1","2210051","0","56℃前後"
"カマドウマ","0","0","0","キリギリス","カメレオン","1","2210052","0","ハンミョウ"
"タバスコウオ","0","0","0","コショウウオ","サンショウウオ","1","2210054","0","シチミトウガラシウオ"
"ツキノワグマ","0","0","0","ホッキョクグマ","クマゲラ","1","2210056","0","ヒグマ"
"すっぱい","0","0","0","にがい","あつい","1","2210057","0","あまい"
"トンボ","0","0","0","セミ","ホタル","1","2210058","0","ハチ"
"ホットドッグ","0","0","0","ソルティドッグ","ブルドッグ","1","2210059","0","アメリカンドッグ"
"ツツジ","0","0","0","モミジ","イチョウ","1","2210060","0","ハゼノキ"
"キョウカ","0","0","0","ミソギ","ユニ","1","2211001","0","ミミ"
"～であーる","0","0","0","～ガオッ","～ッス","1","2211002","0","～だぴょん♪"
"コッコロ","0","0","0","ぺコリーヌ","キャル","1","2211003","0","シェフィ"
"イオせんせー","0","0","0","イオっち","ちゃんイオ","1","2211004","0","イオ殿"
"クリア","0","0","0","リリ","ミソラ","1","2211005","0","プレシア"
"このみ","0","0","0","やしのみ","くまのみ","1","2220001","0","ゆのみ"
"アジサイ","0","0","0","タンポポ","サザンカ","1","2220002","0","アサガオ"
"6本","0","0","0","10本","8本","1","2220005","0","12本"
"ミカン科","0","0","0","バラ科","ナス科","1","2220006","0","ウリ科"
"トノガメ","0","0","0","ジジガメ","オサガメ","1","2220007","0","ババガメ"
"パイナップル","0","0","0","パパイヤ","キーウィ","1","2220008","0","マンゴー"
"カミ","0","0","0","ミミ","アシ","1","2220009","0","カカト"
"血液を作る","0","0","0","食べ物を消化する","役に立っていない","1","2220010","0","解毒の機能がある"
"チンパンジー","0","0","0","ゴリラ","ニホンザル","1","2220012","0","オランウータン"
"クツワムシ","0","0","0","マツムシ","スズムシ","1","2220015","0","クワガタムシ"
"アマゾネスオオカブト","0","0","0","アキレスオオカブト","ヘラクレスオオカブト","1","2220016","0","ペルセウスオオカブト"
"3つ","0","0","0","2つ","4つ","1","2220017","0","分かれていない"
"ヒグマ","0","0","0","ツキノワグマ","ホッキョクグマ","1","2220018","0","アメリカクロクマ"
"テントウムシ","0","0","0","クワガタ","カマキリ","1","2220019","0","セミ"
"貯頬","0","0","0","肌頬","頬袋","1","2220020","0","頬冠"
"カノコユリ","0","0","0","ベニバナクサギ","コチョウラン","1","2220021","0","ボタンキンバイ"
"心房","0","0","0","脂肪","細胞","1","2220022","0","棍棒"
"バッタ","0","0","0","キリギリス","コオロギ","1","2220023","0","アリ"
"サメ","0","0","0","アンコウ","フグ","1","2220024","0","シャチ"
"め","0","0","0","い","く","1","2220025","0","て"
"イカ","0","0","0","ウニ","クラゲ","1","2220026","0","タコ"
"イカ","0","0","0","クラゲ","ウニ","1","2220027","0","タコ"
"羊","0","0","0","犬","牛","1","2220028","0","ラクダ"
"うさぎ","0","0","0","なぎさ","さなぎ","1","2220030","0","さかき"
"カメレオン","0","0","0","ヘビ","ワニ","1","2220031","0","カバ"
"チンパンジー","0","0","0","ゴリラ","マントヒヒ","1","2220033","0","オランウータン"
"カナブン","0","0","0","カブトムシ","クワガタ","1","2220034","0","カマキリ"
"7週間後","0","0","0","7ヵ月後","7年後","1","2220038","0","7日後"
"アジサイ","0","0","0","ヒマワリ","ウメ","1","2220040","0","コスモス"
"頭","0","0","0","手","足","1","2220042","0","腰"
"和名","0","0","0","本名","学名","1","2220043","0","実名"
"モモ・サピエンス","0","0","0","ホモ・アジエンス","ホモ・サピエンス","1","2220044","0","イモ・アジエンス"
"カブトムシ","0","0","0","セミ","トンボ","1","2220046","0","スズムシ"
"束子植物","0","0","0","硝子植物","種子植物","1","2220047","0","芥子植物"
"毛頭血管","0","0","0","毛様血管","毛細血管","1","2220048","0","毛深血管"
"両生類","0","0","0","鳥類","貝類","1","2220049","0","魚類"
"カニ","0","0","0","エビ","クラゲ","1","2220050","0","フジツボ"
"ヤマアラシ","0","0","0","ハリネズミ","アルマジロ","1","2220051","0","オオアリクイ"
"脂質","0","0","0","たんぱく質","水","1","2220052","0","炭水化物"
"スズメ","0","0","0","カッコウ","ライチョウ","1","2220054","0","カワセミ"
"骨","0","0","0","毛","皮膚","1","2220056","0","脂肪"
"泌尿器","0","0","0","循環器","呼吸器","1","2220057","0","消化器"
"イカ","0","0","0","タコ","ウニ","1","2220058","0","エビ"
"法子","0","0","0","法師","胞子","1","2220059","0","奉仕"
"マツタケ","0","0","0","マイタケ","シメジ","1","2220060","0","ナメコ"
"リリ","0","0","0","キョウカ","ミミ","1","2221001","0","イノリ"
"トライロッカー","0","0","0","タラトイガー","トラタイガー","1","2221002","0","トラライオン"
"ぺんぺこりん","0","0","0","ぽんこりん","ぺんぽこりん","1","2221003","0","ぷんぽこりん"
"ミサキ","0","0","0","トモ","ミヤコ","1","2221004","0","クルミ"
"ワニドロロ","0","0","0","ワニゴン","ドロゲーター","1","2221005","0","タテマツリワニ"
"アルガン","0","0","0","アルヘナ","アルベド","1","2230001","0","アルキン"
"トラベリング","0","0","0","アイドリング","シバリング","1","2230003","0","シャーリング"
"腎臓","0","0","0","肝臓","膵臓","1","2230005","0","心臓"
"ピーナッツ","0","0","0","ピーラー","ピーヘン","1","2230007","0","ピーチ"
"マウンティング","0","0","0","グルーミング","クラッタリング","1","2230008","0","ギャザリング"
"イヌザメ科","0","0","0","ネコザメ科","ネズミザメ科","1","2230010","0","イタチザメ科"
"ポピーマリー","0","0","0","デイジーマリー","ローズマリー","1","2230012","0","サンフラワーマリー"
"スリット","0","0","0","レバー","フランジ","1","2230013","0","ラチェット"
"フジ","0","0","0","スミレ","アジサイ","1","2230014","0","シダレザクラ"
"根","0","0","0","葉","実","1","2230015","0","茎"
"ミラクルフルーツ","0","0","0","ジャックフルーツ","ドラゴンフルーツ","1","2230016","0","パッションフルーツ"
"ホウレンソウ","0","0","0","キャベツ","ブロッコリー","1","2230017","0","チンゲンサイ"
"こんご","0","0","0","でいご","ぜいご","1","2230018","0","けいご"
"人間のほうが多い","0","0","0","キリンのほうが多い","同じ","1","2230019","0","個体によって違う"
"ジャコウクマ科","0","0","0","ジャコウイヌ科","ジャコウネコ科","1","2230021","0","ジャコウウマ科"
"セリ科","0","0","0","キク科","シソ科","1","2230022","0","イネ科"
"縞模様","0","0","0","黒","白","1","2230023","0","赤"
"ヌートリア","0","0","0","ビーバー","カピバラ","1","2230024","0","チンチラ"
"ドジョウ","0","0","0","ウナギ","ナマズ","1","2230026","0","マグロ"
"ヒマワリトンボ","0","0","0","バナナトンボ","ムギワラトンボ","1","2230027","0","タンポポトンボ"
"カブトムシ","0","0","0","トンボ","カイコ","1","2230028","0","クワガタ"
"鰆","0","0","0","山女魚","鰻","1","2230029","0","鮪"
"1つ","0","0","0","2つ","3つ","1","2230030","0","5つ"
"ホホジロザメ","0","0","0","マンタ","シーラカンス","1","2230031","0","ミミックオクトパス"
"侍帽筋","0","0","0","兵帽筋","僧帽筋","1","2230032","0","王帽筋"
"尾ひれ","0","0","0","目","うろこ","1","2230033","0","口"
"YY","0","0","0","XX","XY","1","2230034","0","XZ"
"7本","0","0","0","15本","0本","1","2230036","0","23本"
"スズキ","0","0","0","サトウ","イトウ","1","2230037","0","タカハシ"
"イヌ科","0","0","0","リス科","イタチ科","1","2230038","0","ネコ科"
"ブタ科","0","0","0","ネコ科","イヌ科","1","2230040","0","ジャコウネコ科"
"ヤゴ","0","0","0","イモムシ","ボウフラ","1","2230043","0","アリジゴク"
"カブトムシ","0","0","0","クモ","カマキリ","1","2230044","0","クワガタ"
"ふり返り","0","0","0","おうむ返し","こむら返り","1","2230045","0","生き返り"
"スミレ科","0","0","0","ツツジ科","イネ科","1","2230046","0","ユリ科"
"広葉樹","0","0","0","針葉樹","落葉樹","1","2230048","0","常緑樹"
"カロロフィル","0","0","0","ケロロフィル","クロロフィル","1","2230049","0","キロロフィル"
"ニワトリ","0","0","0","カッコウ","フクロウ","1","2230050","0","ハト"
"星見草","0","0","0","月夜草","月見草","1","2230051","0","星夜草"
"ウグイス貝","0","0","0","カラス貝","オウム貝","1","2230052","0","スズメ貝"
"カイカイ","0","0","0","マイマイ","アイアイ","1","2230053","0","ハイハイ"
"カツオ筋","0","0","0","アナゴ筋","ヒラメ筋","1","2230055","0","マグロ筋"
"石油","0","0","0","水","脂肪","1","2230058","0","夢"
"タヌキ","0","0","0","イヌ","ネコ","1","2230059","0","キツネ"
"ラッパー","0","0","0","ペッパー","ケッパー","1","2230061","0","アッパー"
"ノエルの淑女","0","0","0","マスク・ド・ジュン","聖女仮面","1","2231001","0","白銀マスク"
"コッコロ","0","0","0","アヤネ","アオイ","1","2231002","0","イリヤ"
"カスタネット","0","0","0","太鼓","タンバリン","1","2231003","0","マラカス"
"クロエ","0","0","0","チエル","ユニ","1","2231004","0","アオイ"
"ニノン","0","0","0","エリコ","スズナ","1","2231005","0","キャル"
"2","0","0","0","0","1","1","2310002","0","0.5"
"火星","0","0","0","太陽","月","1","2310003","0","水星"
"火星","0","0","0","水星","土星","1","2310005","0","金星"
"トルコ石","0","0","0","エメラルド","ルビー","1","2310006","0","真珠"
"寒帯低気圧","0","0","0","温帯低気圧","熱帯低気圧","1","2310009","0","乾燥帯低気圧"
"ミリバール","0","0","0","ヘクトパスカル","デシベル","1","2310010","0","キログラム"
"キログラム","0","0","0","メートル","カロリー","1","2310011","0","リットル"
"24","0","0","0","12","6","1","2310012","0","9"
"36時間","0","0","0","12時間","24時間","1","2310014","0","48時間"
"1kgの砂","0","0","0","1kgの鉄","すべて同じ","1","2310015","0","1kgの綿"
"1520分","0","0","0","1360分","1440分","1","2310016","0","1600分"
"E","0","0","0","N","M","1","2310017","0","W"
"黄夜","0","0","0","黒夜","白夜","1","2310018","0","赤夜"
"白","0","0","0","赤","黒","1","2310019","0","ピンク"
"60度","0","0","0","30度","45度","1","2310020","0","90度"
"ブルーホール","0","0","0","レッドホール","ブラックホール","1","2310021","0","ホワイトホール"
"360度","0","0","0","180度","720度","1","2310023","0","540度"
"22","0","0","0","20","21","1","2310024","0","23"
"泥の川","0","0","0","湯の川","天の川","1","2310025","0","紀の川"
"水素","0","0","0","窒素","質素","1","2310026","0","炭素"
"10メートル","0","0","0","0.1メートル","0.01メートル","1","2310027","0","100メートル"
"スパッツ","0","0","0","ワルツ","ヘルツ","1","2310028","0","ワッツ"
"ショール","0","0","0","クロール","スコール","1","2310030","0","イコール"
"人工衛星との衝突","0","0","0","ロケットとの衝突","隕石との衝突","1","2310031","0","地面からの爆発"
"165.24日","0","0","0","265.24日","365.24日","1","2310032","0","465.24日"
"約49.5日","0","0","0","約39.5日","約29.5日","1","2310034","0","約59.5日"
"割層","0","0","0","切層","断層","1","2310035","0","高層"
"酸化","0","0","0","爆発","沸騰","1","2310036","0","液化"
"寒点","0","0","0","固点","氷点","1","2310037","0","冷点"
"6キロ","0","0","0","4キロ","2キロ","1","2310038","0","8キロ"
"5050","0","0","0","50","0","1","2310039","0","-500"
"金環日食","0","0","0","部分日食","皆既日食","1","2310041","0","全体日食"
"反発","0","0","0","反抗","抵抗","1","2310042","0","対立"
"マイル","0","0","0","ホイル","コイル","1","2310043","0","ネイル"
"デシリットル","0","0","0","ミリリットル","ミリメートル","1","2310044","0","キロリットル"
"150","0","0","0","160","200","1","2310045","0","155"
"3－2","0","0","0","3＋2","3×2","1","2310047","0","2＋3"
"三日月","0","0","0","半月","満月","1","2310049","0","新月"
"銅","0","0","0","銀","銭","1","2310051","0","鉄"
"未絶体","0","0","0","不導体","半導体","1","2310052","0","中縁体"
"R波","0","0","0","Q波","P波","1","2310053","0","S波"
"米1合","0","0","0","1円玉100枚","水1リットル","1","2310054","0","1万円札で100万円"
"黒潮","0","0","0","赤潮","干潮","1","2310056","0","満潮"
"高さ","0","0","0","底辺","円周率","1","2310059","0","2"
"霰","0","0","0","雷","霜","1","2310060","0","雹"
"1100","0","0","0","1480","1200","1","2311001","0","1000"
"700","0","0","0","460","630","1","2311002","0","540"
"5400","0","0","0","1600","6400","1","2311003","0","7980"
"トーゴク","0","0","0","オーマ","ランドソル","1","2311004","0","セントールス"
"1150ルピ","0","0","0","1000ルピ","1100ルピ","1","2311005","0","950ルピ"
"180度","0","0","0","0度","90度","1","2320001","0","360度"
"7本","0","0","0","2本","5本","1","2320004","0","9本"
"キミレス","0","0","0","ボクレス","アンタレス","1","2320005","0","オイラレス"
"ゼミナール","0","0","0","ノネナール","ルミノール","1","2320006","0","ファール"
"600℃","0","0","0","60℃","6000℃","1","2320008","0","60000℃"
