415385fd4de8e45626ff5ecb494b71c75d95f8e0dab8de250d1ab13b4be607dc,5da72ce65fbf7a2ce6ba598fa64c5bbdd261aef1c5fb3da9113e5272aa5e9c9a,116e50735ddd436dbb0cebe477153e8b9f3f2cadf4c5057d2334bda5d3bb0411,5ec609e38bb2cbda52988639dabc2dc3324656757c6d10e32e82732182070fb3,b950d94bc2547ad7d7b5ed2b60866b021100dafeb66b21b880a9016a85019f1f,2f1a150bd8098bfeb9f5444af7a1a1dfaf0ab0a2315c3550a868ed7daa45b10b,81f5f896e1420879cc766212031e67e40ce09cfc9d2ec42bcee2ea9af283eb87,bcadac34e86cdc5de3412a19fe31b87fa61dd31222542061a00194d62507a8e2,96c9002528c7c1a83b5bb9c655565a87dafec6057898c16c0b1c5da5167d4646,1d6dc8c01e5aead3b3675ec6e16f8d875e7955005bf81df46fe8326eeae33e89
"3037","3","500","11820","38","3038","1","1","3039","1300013"
"3040","3","500","11820","38","3041","1","1","3042","1300014"
"3043","3","500","11820","38","3044","1","1","3045","1300015"
"3046","3","500","11820","38","3047","1","1","3048","1300016"
"3049","3","500","11820","38","3050","1","2","3051","1300017"
"3052","3","500","11820","38","3053","1","4","3054","1300018"
"3055","3","500","11820","38","3056","1","4","3057","1300019"
"3058","3","500","11820","38","3059","1","6","3060","1300020"
"3061","3","375","13050","40","3062","1","1","3063","1300021"
"3064","3","375","13050","40","3065","1","1","3066","1300022"
"3067","3","375","13050","40","3068","1","1","3069","1300023"
"3070","3","375","13050","40","3071","1","1","3072","1300024"
"3073","3","375","13050","40","3074","1","1","3075","1300025"
"3076","3","375","13050","40","3077","1","1","3078","1300026"
"3079","3","375","13050","40","3080","1","2","3081","1300027"
"3082","3","375","13050","40","3083","1","4","3084","1300028"
"3085","3","375","13050","40","3086","1","6","3087","1300029"
"3088","3","375","13050","40","3089","1","6","3090","1300030"
"4001","1","700","9360","29","4002","2","3","4003","2100001"
"4004","1","700","9360","29","4005","2","5","4006","2100002"
"4007","1","700","9360","29","4008","2","7","4009","2100003"
"4010","1","700","9360","29","4011","2","3","4012","2100004"
"4013","1","700","9360","29","4014","2","5","4015","2100005"
"4016","1","700","9360","29","4017","2","7","4018","2100006"
"4019","1","575","10590","30","4020","2","3","4021","2100007"
"4022","1","575","10590","30","4023","2","5","4024","2100008"
"4025","1","575","10590","30","4026","2","7","4027","2100009"
"4028","1","575","10590","30","4029","2","3","4030","2100010"
"5001","2","700","9360","33","5002","2","3","5003","2200001"
"5004","2","700","9360","33","5005","2","5","5006","2200002"
"5007","2","700","9360","33","5008","2","7","5009","2200003"
"5010","2","700","9360","33","5011","2","3","5012","2200004"
"5013","2","700","9360","33","5014","2","5","5015","2200005"
"5016","2","700","9360","33","5017","2","7","5018","2200006"
"5019","2","700","9360","33","5020","2","3","5021","2200007"
"5022","2","700","9360","33","5023","2","5","5024","2200008"
"5025","2","700","9360","33","5026","2","7","5027","2200009"
"5028","2","700","9360","33","5029","2","3","5030","2200010"
"5031","2","700","9360","33","5032","2","5","5033","2200011"
"5034","2","700","9360","33","5035","2","7","5036","2200012"
"5037","2","575","10590","34","5038","2","3","5039","2200013"
"5040","2","575","10590","34","5041","2","5","5042","2200014"
"5043","2","575","10590","34","5044","2","7","5045","2200015"
"5046","2","575","10590","34","5047","2","3","5048","2200016"
"5049","2","575","10590","34","5050","2","5","5051","2200017"
"5052","2","575","10590","34","5053","2","7","5054","2200018"
"5055","2","575","10590","34","5056","2","5","5057","2200019"
"5058","2","575","10590","34","5059","2","7","5060","2200020"
"6001","3","700","9360","33","6002","2","3","6003","2300001"
"6004","3","700","9360","33","6005","2","5","6006","2300002"
"6007","3","700","9360","33","6008","2","7","6009","2300003"
"6010","3","700","9360","33","6011","2","3","6012","2300004"
"6013","3","700","9360","33","6014","2","5","6015","2300005"
"6016","3","700","9360","33","6017","2","7","6018","2300006"
"6019","3","700","9360","33","6020","2","3","6021","2300007"
"6022","3","700","9360","33","6023","2","5","6024","2300008"
"6025","3","700","9360","33","6026","2","7","6027","2300009"
"6028","3","700","9360","33","6029","2","3","6030","2300010"
"6031","3","700","9360","33","6032","2","5","6033","2300011"
"6034","3","700","9360","33","6035","2","7","6036","2300012"
"6037","3","700","9360","33","6038","2","3","6039","2300013"
"6040","3","700","9360","33","6041","2","5","6042","2300014"
"6043","3","700","9360","33","6044","2","7","6045","2300015"
"6046","3","700","9360","33","6047","2","3","6048","2300016"
"6049","3","700","9360","33","6050","2","5","6051","2300017"
"6052","3","700","9360","33","6053","2","7","6054","2300018"
"6055","3","575","10590","34","6056","2","3","6057","2300019"
"6058","3","575","10590","34","6059","2","5","6060","2300020"
"6061","3","575","10590","34","6062","2","7","6063","2300021"
"6064","3","575","10590","34","6065","2","3","6066","2300022"
"6067","3","575","10590","34","6068","2","5","6069","2300023"
"6070","3","575","10590","34","6071","2","7","6072","2300024"
"6073","3","575","10590","34","6074","2","3","6075","2300025"
"6076","3","575","10590","34","6077","2","5","6078","2300026"
"6079","3","575","10590","34","6080","2","7","6081","2300027"
"6082","3","575","10590","34","6083","2","3","6084","2300028"
"6085","3","575","10590","34","6086","2","5","6087","2300029"
"6088","3","575","10590","34","6089","2","7","6090","2300030"
"7001","1","340","14280","39","7002","3","1","7003","3100001"
"7004","1","340","14280","39","7005","3","1","7006","3100002"
"7007","1","340","14280","39","7008","3","1","7009","3100003"
"7010","1","340","14280","39","7011","3","1","7012","3100004"
"7013","1","340","14280","39","7014","3","1","7015","3100005"
"7016","1","340","14280","39","7017","3","1","7018","3100006"
"7019","1","375","13050","36","7020","3","1","7021","3100007"
"7022","1","375","13050","36","7023","3","1","7024","3100008"
"7025","1","375","13050","36","7026","3","1","7027","3100009"
"7028","1","375","13050","36","7029","3","1","7030","3100010"
"8001","2","340","14280","41","8002","3","1","8003","3200001"
"8004","2","340","14280","41","8005","3","1","8006","3200002"
"8007","2","340","14280","41","8008","3","1","8009","3200003"
"8010","2","340","14280","41","8011","3","1","8012","3200004"
"8013","2","340","14280","41","8014","3","1","8015","3200005"
"8016","2","340","14280","41","8017","3","1","8018","3200006"
"8019","2","340","14280","41","8020","3","1","8021","3200007"
"8022","2","340","14280","41","8023","3","1","8024","3200008"
"8025","2","340","14280","41","8026","3","1","8027","3200009"
"8028","2","340","14280","41","8029","3","1","8030","3200010"
"8031","2","340","14280","41","8032","3","1","8033","3200011"
"8034","2","340","14280","41","8035","3","1","8036","3200012"
"8037","2","375","13050","38","8038","3","1","8039","3200013"
"8040","2","375","13050","38","8041","3","1","8042","3200014"
"8043","2","375","13050","38","8044","3","1","8045","3200015"
"8046","2","375","13050","38","8047","3","1","8048","3200016"
"8049","2","375","13050","38","8050","3","1","8051","3200017"
"8052","2","375","13050","38","8053","3","1","8054","3200018"
"8055","2","375","13050","38","8056","3","1","8057","3200019"
"8058","2","375","13050","38","8059","3","1","8060","3200020"
"9001","3","340","14280","40","9002","3","1","9003","3300001"
"9004","3","340","14280","40","9005","3","1","9006","3300002"
"9007","3","340","14280","40","9008","3","1","9009","3300003"
"9010","3","340","14280","40","9011","3","1","9012","3300004"
"9013","3","340","14280","40","9014","3","1","9015","3300005"
"9016","3","340","14280","40","9017","3","1","9018","3300006"
"9019","3","340","14280","40","9020","3","1","9021","3300007"
"9022","3","340","14280","40","9023","3","1","9024","3300008"
"9025","3","340","14280","40","9026","3","1","9027","3300009"
"9028","3","340","14280","40","9029","3","1","9030","3300010"
"9031","3","340","14280","40","9032","3","1","9033","3300011"
"9034","3","340","14280","40","9035","3","1","9036","3300012"
"9037","3","340","14280","40","9038","3","1","9039","3300013"
"9040","3","340","14280","40","9041","3","1","9042","3300014"
"9043","3","340","14280","40","9044","3","1","9045","3300015"
"9046","3","340","14280","40","9047","3","1","9048","3300016"
"9049","3","340","14280","40","9050","3","1","9051","3300017"
"9052","3","340","14280","40","9053","3","1","9054","3300018"
"9055","3","375","13050","39","9056","3","1","9057","3300019"
"9058","3","375","13050","39","9059","3","1","9060","3300020"
"9061","3","375","13050","39","9062","3","1","9063","3300021"
"9064","3","375","13050","39","9065","3","1","9066","3300022"
"9067","3","375","13050","39","9068","3","1","9069","3300023"
"9070","3","375","13050","39","9071","3","1","9072","3300024"
"9073","3","375","13050","39","9074","3","1","9075","3300025"
"9076","3","375","13050","39","9077","3","1","9078","3300026"
"9079","3","375","13050","39","9080","3","1","9081","3300027"
"9082","3","375","13050","39","9083","3","1","9084","3300028"
"9085","3","375","13050","39","9086","3","1","9087","3300029"
"9088","3","375","13050","39","9089","3","1","9090","3300030"
