bbf2457484e3684ce84e28f4e13fa27b165ea0bd51c271e69d760c6c223b12d5,a9db49723b3addfcf34b362ed0f82c7a59936769ca5e70ee2ef88eec83319cf3,a6921b55d144a217609d4011f658f6599ef2a6b5df5ed1fc68d4af1b6721de61,cd94ebb2d056b022f83bcb22b24d58a869c31c4db39c7351ea59ecdcf22c5cdf,07b38b6dc94ece5d390daa744b01c539bb1bf313669c1584bb30e462e3445ffb,c41832c646754e50ff75a54b7ea2713f2beb82aaa809d59e157e31475c2df761,c93a73447d9c14e343cade27dc5459eb6d2177f351143e33539e34c43341a400,6d532e651052adeb4252ef9ef2773adbd38a153d71b748446408f85258231c02,29c2bcd7dd3b4e91f8032589f914d46f84a82e352924a7174121759364d43b4f,e83d5551d46e0e89dfdb349761990dd1b8d20a980f589bfd6820c8d1bbeea4fc,34ce6a7202cf1fe41839c344bb2ca3093c4acf945427d60bab110b92684a1e8b
"106011","11","4514","10","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","1","1","0.5","0","0","4514066"
"0","91","4514","","","","","","","","4514067"
"106011","3","4514","1","wac_birthday_idle_doya","","","","0.2","","4514068"
"105811","3","4514","1","wac_birthday_talk_kyapi","","","","0.2","","4514069"
"vo_wac_04514","21","4514","0","vo_wac_04514_002","0","","","","","4514070"
"105811","11","4514","10","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","1","1","0.5","0","0","4514071"
"0","91","4514","","","","","","","","4514072"
"105811","3","4514","1","wac_birthday_talk_wish","","","","0.2","","4514073"
"vo_wac_04514","21","4514","0","vo_wac_04514_003","0","","","","","4514074"
"105811","11","4514","10","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","1","1","0.5","0","0","4514075"
"0","91","4514","","","","","","","","4514076"
"0","22","4514","","","","","","","","4514077"
"bgm_M321","25","4814","","bgm_M321_2C","","","","","","4814001"
"1","1","4814","250","102011","-1000","-70","wac_birthday_idle_normal","2","0","4814002"
"1","1","4814","256","103611","230","-270","wac_birthday_idle_doya","2","1","4814003"
"1","1","4814","257","100411","410","-310","wac_birthday_idle_kyapi","2","1","4814004"
"102011","13","4814","","300","","","","","","4814005"
"103611","13","4814","","300","","","","","","4814006"
"600","31","4814","0","600","0","1","","1","","4814007"
"602","31","4814","0","602","0","1","","0","","4814008"
"603","31","4814","0","603","0","1","","0","","4814009"
"604","31","4814","30","604","60","1","","1","","4814010"
"611","31","4814","0","611","0","1","","1","","4814011"
"700","31","4814","0","700","0","1","","0","","4814012"
"701","31","4814","0","701","0","1","","0","","4814013"
"702","31","4814","0","702","0","1","","0","","4814014"
"800","31","4814","0","800","0","1","","0","","4814015"
"901","31","4814","30","901","60","1","","1","","4814016"
"1","93","4814","","","","","","","","4814017"
"100411","3","4814","0","wac_birthday_reaction_02","wac_birthday_reaction_03","1","","0.2","0.2","4814018"
"0.1","93","4814","","","","","","","","4814019"
"103611","3","4814","0","wac_birthday_reaction_01","wac_birthday_reaction_04","1","","0.2","0.2","4814020"
"0.3","93","4814","","","","","","","","4814021"
"102011","3","4814","1","wac_birthday_run_01","","","","0.2","","4814022"
"102011","2","4814","-70","0","3","","","","","4814023"
"2.5","93","4814","","","","","","","","4814024"
"602","32","4814","","1","","","","","","4814025"
"0.6","93","4814","","","","","","","","4814026"
"600","32","4814","","0","","","","","","4814027"
"611","32","4814","","0","","","","","","4814028"
"604","32","4814","","0","","","","","","4814029"
"701","32","4814","","1","","","","","","4814030"
"901","33","4814","0","0","0.01","","","","","4814031"
"102011","3","4814","0","wac_birthday_blowout_02","wac_birthday_wish_02","1","","0.2","0.2","4814032"
"102011","2","4814","-330","-200","0.01","","","","","4814033"
"103611","3","4814","1","wac_birthday_idle_doya","","","","0.2","","4814034"
"103611","2","4814","-320","180","0.01","","","","","4814035"
"100411","3","4814","1","wac_birthday_idle_kyapi","","","","0.2","","4814036"
"100411","2","4814","-340","320","0.01","","","","","4814037"
"0","93","4814","","","","","","","","4814038"
"800","32","4814","","1","","","","","","4814039"
"0.7","93","4814","","","","","","","","4814040"
"702","32","4814","","1","","","","","","4814041"
"0.5","93","4814","","","","","","","","4814042"
"se_common","23","4814","0","se_sys_login_birthday_blow_candle","","","","","","4814043"
"701","32","4814","","0","","","","","","4814044"
"0.4","93","4814","","","","","","","","4814045"
"se_common","23","4814","0","se_sys_login_birthday_cracker","","","","","","4814046"
"700","32","4814","","1","","","","","","4814047"
"se_common","23","4814","0","se_sys_login_birthday_calendar_applause","","","","","","4814048"
"103611","3","4814","0","wac_birthday_clap","wac_birthday_idle_doya","1","","0.2","0.2","4814049"
"0.1","93","4814","","","","","","","","4814050"
"100411","3","4814","0","wac_birthday_clap","wac_birthday_idle_kyapi","1","","0.2","0.2","4814051"
"2","93","4814","","","","","","","","4814052"
"1","131","4814","","","","","","","","4814053"
"vo_wac_04814","21","4814","0","vo_wac_04814_000","0","","","","","4814054"
"102011","11","4814","10","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","1","1","0.5","0","0","4814055"
"0","91","4814","","","","","","","","4814056"
"102011","3","4814","1","wac_birthday_idle_smile","","","","0.2","","4814057"
"103611","3","4814","1","wac_birthday_talk_doya","","","","0.2","","4814058"
"vo_wac_04814","21","4814","0","vo_wac_04814_001","0","","","","","4814059"
"103611","11","4814","10","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","1","1","0.5","0","0","4814060"
"0","91","4814","","","","","","","","4814061"
"103611","3","4814","1","wac_birthday_idle_doya","","","","0.2","","4814062"
"102011","3","4814","1","wac_birthday_talk_smile","","","","0.2","","4814063"
"vo_wac_04814","21","4814","0","vo_wac_04814_002","0","","","","","4814064"
"102011","11","4814","10","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","1","1","0.5","0","0","4814065"
"0","91","4814","","","","","","","","4814066"
"102011","3","4814","1","wac_birthday_talk_kyapi","","","","0.2","","4814067"
"vo_wac_04814","21","4814","0","vo_wac_04814_003","0","","","","","4814068"
"102011","11","4814","10","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","1","1","0.5","0","0","4814069"
"0","91","4814","","","","","","","","4814070"
"0","22","4814","","","","","","","","4814071"
"bgm_M321","25","5014","","bgm_M321_2C","","","","","","5014001"
"1","1","5014","250","100211","-1000","-70","wac_birthday_idle_normal","2","0","5014002"
"1","1","5014","256","100311","230","-270","wac_birthday_idle_normal","2","1","5014003"
"1","1","5014","257","100111","410","-310","wac_birthday_idle_smile","2","1","5014004"
"100211","13","5014","","300","","","","","","5014005"
"100311","13","5014","","300","","","","","","5014006"
"600","31","5014","0","600","0","1","","1","","5014007"
"602","31","5014","0","602","0","1","","0","","5014008"
"603","31","5014","0","603","0","1","","0","","5014009"
"604","31","5014","30","604","60","1","","1","","5014010"
"611","31","5014","0","611","0","1","","1","","5014011"
"700","31","5014","0","700","0","1","","0","","5014012"
"701","31","5014","0","701","0","1","","0","","5014013"
"702","31","5014","0","702","0","1","","0","","5014014"
"800","31","5014","0","800","0","1","","0","","5014015"
"902","31","5014","30","902","60","1","","1","","5014016"
"1","93","5014","","","","","","","","5014017"
"100111","3","5014","0","wac_birthday_reaction_02","wac_birthday_reaction_03","1","","0.2","0.2","5014018"
"0.1","93","5014","","","","","","","","5014019"
"100311","3","5014","0","wac_birthday_reaction_01","wac_birthday_reaction_04","1","","0.2","0.2","5014020"
"0.3","93","5014","","","","","","","","5014021"
"100211","3","5014","1","wac_birthday_run_01","","","","0.2","","5014022"
"100211","2","5014","-70","0","3","","","","","5014023"
"2.5","93","5014","","","","","","","","5014024"
"602","32","5014","","1","","","","","","5014025"
"0.6","93","5014","","","","","","","","5014026"
"600","32","5014","","0","","","","","","5014027"
"611","32","5014","","0","","","","","","5014028"
"604","32","5014","","0","","","","","","5014029"
"701","32","5014","","1","","","","","","5014030"
"902","33","5014","0","0","0.01","","","","","5014031"
"100211","3","5014","0","wac_birthday_blowout_01","wac_birthday_wish_04","1","","0.2","0.2","5014032"
"100211","2","5014","-330","-200","0.01","","","","","5014033"
"100311","3","5014","1","wac_birthday_idle_normal","","","","0.2","","5014034"
"100311","2","5014","-320","180","0.01","","","","","5014035"
"100111","3","5014","1","wac_birthday_idle_smile","","","","0.2","","5014036"
"100111","2","5014","-340","320","0.01","","","","","5014037"
"0","93","5014","","","","","","","","5014038"
"800","32","5014","","1","","","","","","5014039"
"0.7","93","5014","","","","","","","","5014040"
"702","32","5014","","1","","","","","","5014041"
"0.5","93","5014","","","","","","","","5014042"
"se_common","23","5014","0","se_sys_login_birthday_blow_candle","","","","","","5014043"
"701","32","5014","","0","","","","","","5014044"
"0.4","93","5014","","","","","","","","5014045"
"se_common","23","5014","0","se_sys_login_birthday_cracker","","","","","","5014046"
"700","32","5014","","1","","","","","","5014047"
"se_common","23","5014","0","se_sys_login_birthday_calendar_applause","","","","","","5014048"
"100311","3","5014","0","wac_birthday_clap","wac_birthday_idle_normal","1","","0.2","0.2","5014049"
"0.1","93","5014","","","","","","","","5014050"
"100111","3","5014","0","wac_birthday_clap","wac_birthday_idle_smile","1","","0.2","0.2","5014051"
"2","93","5014","","","","","","","","5014052"
"1","131","5014","","","","","","","","5014053"
"vo_wac_05014","21","5014","0","vo_wac_05014_000","0","","","","","5014054"
"100211","11","5014","10","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","1","1","0.5","0","0","5014055"
"0","91","5014","","","","","","","","5014056"
"100211","3","5014","1","wac_birthday_idle_wish","","","","0.2","","5014057"
"100311","3","5014","1","wac_birthday_talk_normal","","","","0.2","","5014058"
"vo_wac_05014","21","5014","0","vo_wac_05014_001","0","","","","","5014059"
"100311","11","5014","10","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","1","1","0.5","0","0","5014060"
"0","91","5014","","","","","","","","5014061"
"100311","3","5014","1","wac_birthday_idle_normal","","","","0.2","","5014062"
"100211","3","5014","1","wac_birthday_talk_sad","","","","0.2","","5014063"
"vo_wac_05014","21","5014","0","vo_wac_05014_002","0","","","","","5014064"
"100211","11","5014","10","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","1","1","0.5","0","0","5014065"
"0","91","5014","","","","","","","","5014066"
"100211","3","5014","1","wac_birthday_talk_smile","","","","0.2","","5014067"
"vo_wac_05014","21","5014","0","vo_wac_05014_003","0","","","","","5014068"
"100211","11","5014","10","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","1","1","0.5","0","0","5014069"
"0","91","5014","","","","","","","","5014070"
"0","22","5014","","","","","","","","5014071"
"bgm_M321","25","5214","","bgm_M321_2C","","","","","","5214001"
"1","1","5214","250","105511","-1000","-70","wac_birthday_idle_normal","2","0","5214002"
"1","1","5214","256","105311","170","-260","wac_birthday_idle_doya","2","1","5214003"
"1","1","5214","259","104511","270","-310","wac_birthday_idle_normal","2","1","5214004"
"1","1","5214","257","100811","410","-270","wac_birthday_idle_wish","2","1","5214005"
"1","1","5214","258","103011","510","-310","wac_birthday_idle_kyapi","2","1","5214006"
"105511","13","5214","","300","","","","","","5214007"
"105311","13","5214","","300","","","","","","5214008"
"600","31","5214","0","600","0","1","","1","","5214009"
"602","31","5214","0","602","0","1","","0","","5214010"
"603","31","5214","0","603","0","1","","0","","5214011"
"604","31","5214","30","604","60","1","","1","","5214012"
"611","31","5214","0","611","0","1","","1","","5214013"
"700","31","5214","0","700","0","1","","0","","5214014"
"701","31","5214","0","701","0","1","","0","","5214015"
"702","31","5214","0","702","0","1","","0","","5214016"
"800","31","5214","0","800","0","1","","0","","5214017"
"903","31","5214","30","903","60","1","","1","","5214018"
"1","93","5214","","","","","","","","5214019"
"104511","3","5214","0","wac_birthday_reaction_05","wac_birthday_reaction_03","1","","0.2","0.2","5214020"
"105311","3","5214","0","wac_birthday_reaction_01","wac_birthday_reaction_03","1","","0.2","0.2","5214021"
"0.1","93","5214","","","","","","","","5214022"
"100811","3","5214","0","wac_birthday_reaction_01","wac_birthday_reaction_04","1","","0.2","0.2","5214023"
"103011","3","5214","0","wac_birthday_reaction_02","wac_birthday_reaction_03","1","","0.2","0.2","5214024"
"0.3","93","5214","","","","","","","","5214025"
"105511","3","5214","1","wac_birthday_run_01","","","","0.2","","5214026"
"105511","2","5214","-70","0","3","","","","","5214027"
"2.5","93","5214","","","","","","","","5214028"
"602","32","5214","","1","","","","","","5214029"
"0.6","93","5214","","","","","","","","5214030"
"600","32","5214","","0","","","","","","5214031"
"611","32","5214","","0","","","","","","5214032"
"604","32","5214","","0","","","","","","5214033"
"701","32","5214","","1","","","","","","5214034"
"903","33","5214","0","0","0.01","","","","","5214035"
"105511","3","5214","0","wac_birthday_blowout_03","wac_birthday_wish_04","1","","0.2","0.2","5214036"
"105511","2","5214","-330","-200","0.01","","","","","5214037"
"105311","3","5214","1","wac_birthday_idle_doya","","","","0.2","","5214038"
"105311","2","5214","-320","150","0.01","","","","","5214039"
"104511","3","5214","1","wac_birthday_idle_normal","","","","0.2","","5214040"
"104511","2","5214","-360","260","0.01","","","","","5214041"
"100811","3","5214","1","wac_birthday_idle_wish","","","","0.2","","5214042"
"100811","2","5214","-320","400","0.01","","","","","5214043"
"103011","3","5214","1","wac_birthday_idle_kyapi","","","","0.2","","5214044"
"103011","2","5214","-340","500","0.01","","","","","5214045"
"0","93","5214","","","","","","","","5214046"
"800","32","5214","","1","","","","","","5214047"
"0.7","93","5214","","","","","","","","5214048"
"702","32","5214","","1","","","","","","5214049"
"0.5","93","5214","","","","","","","","5214050"
"se_common","23","5214","0","se_sys_login_birthday_blow_candle","","","","","","5214051"
"701","32","5214","","0","","","","","","5214052"
"0.4","93","5214","","","","","","","","5214053"
"se_common","23","5214","0","se_sys_login_birthday_cracker","","","","","","5214054"
"700","32","5214","","1","","","","","","5214055"
"se_common","23","5214","0","se_sys_login_birthday_calendar_applause","","","","","","5214056"
"105311","3","5214","0","wac_birthday_clap","wac_birthday_idle_doya","1","","0.2","0.2","5214057"
"100811","3","5214","0","wac_birthday_clap_to_wish","wac_birthday_idle_wish","1","","0.2","0.2","5214058"
"0.1","93","5214","","","","","","","","5214059"
"104511","3","5214","0","wac_birthday_clap","wac_birthday_idle_normal","1","","0.2","0.2","5214060"
"0.1","93","5214","","","","","","","","5214061"
"103011","3","5214","0","wac_birthday_clap","wac_birthday_idle_kyapi","1","","0.2","0.2","5214062"
"2","93","5214","","","","","","","","5214063"
"1","131","5214","","","","","","","","5214064"
"vo_wac_05214","21","5214","0","vo_wac_05214_000","0","","","","","5214065"
"105511","11","5214","10","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","1","1","0.5","0","0","5214066"
"0","91","5214","","","","","","","","5214067"
"105511","3","5214","1","wac_birthday_idle_wish","","","","0.2","","5214068"
"105311","3","5214","1","wac_birthday_talk_smile","","","","0.2","","5214069"
"vo_wac_05214","21","5214","0","vo_wac_05214_001","0","","","","","5214070"
"105311","11","5214","10","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","1","1","0.5","0","0","5214071"
"0","91","5214","","","","","","","","5214072"
"105311","3","5214","1","wac_birthday_idle_doya","","","","0.2","","5214073"
"105511","3","5214","1","wac_birthday_talk_wish","","","","0.2","","5214074"
"vo_wac_05214","21","5214","0","vo_wac_05214_002","0","","","","","5214075"
"105511","11","5214","10","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","1","1","0.5","0","0","5214076"
"0","91","5214","","","","","","","","5214077"
"105511","3","5214","1","wac_birthday_talk_smile","","","","0.2","","5214078"
"vo_wac_05214","21","5214","0","vo_wac_05214_003","0","","","","","5214079"
"105511","11","5214","10","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","1","1","0.5","0","0","5214080"
"0","91","5214","","","","","","","","5214081"
"0","22","5214","","","","","","","","5214082"
"bgm_M321","25","5514","","bgm_M321_2C","","","","","","5514001"
"1","1","5514","250","101611","-1000","-70","wac_birthday_idle_normal","2","0","5514002"
"1","1","5514","256","105011","230","-270","wac_birthday_idle_normal","2","1","5514003"
"1","1","5514","257","101811","410","-310","wac_birthday_idle_smile","2","1","5514004"
"101611","13","5514","","300","","","","","","5514005"
"105011","13","5514","","300","","","","","","5514006"
"600","31","5514","0","600","0","1","","1","","5514007"
"602","31","5514","0","602","0","1","","0","","5514008"
"603","31","5514","0","603","0","1","","0","","5514009"
"604","31","5514","30","604","60","1","","1","","5514010"
"611","31","5514","0","611","0","1","","1","","5514011"
"700","31","5514","0","700","0","1","","0","","5514012"
"701","31","5514","0","701","0","1","","0","","5514013"
"702","31","5514","0","702","0","1","","0","","5514014"
"800","31","5514","0","800","0","1","","0","","5514015"
"904","31","5514","30","904","60","1","","1","","5514016"
"1","93","5514","","","","","","","","5514017"
"101811","3","5514","0","wac_birthday_reaction_01","wac_birthday_reaction_04","1","","0.2","0.2","5514018"
"0.1","93","5514","","","","","","","","5514019"
"105011","3","5514","0","wac_birthday_reaction_05","wac_birthday_reaction_03","1","","0.2","0.2","5514020"
"0.3","93","5514","","","","","","","","5514021"
"101611","3","5514","1","wac_birthday_run_01","","","","0.2","","5514022"
"101611","2","5514","-70","0","3","","","","","5514023"
"2.5","93","5514","","","","","","","","5514024"
"602","32","5514","","1","","","","","","5514025"
"0.6","93","5514","","","","","","","","5514026"
"600","32","5514","","0","","","","","","5514027"
"611","32","5514","","0","","","","","","5514028"
"604","32","5514","","0","","","","","","5514029"
"701","32","5514","","1","","","","","","5514030"
"904","33","5514","0","0","0.01","","","","","5514031"
"101611","3","5514","0","wac_birthday_blowout_02","wac_birthday_wish_03","1","","0.2","0.2","5514032"
"101611","2","5514","-330","-200","0.01","","","","","5514033"
"105011","3","5514","1","wac_birthday_idle_smile","","","","0.2","","5514034"
"105011","2","5514","-320","180","0.01","","","","","5514035"
"101811","3","5514","1","wac_birthday_idle_wish","","","","0.2","","5514036"
"101811","2","5514","-340","320","0.01","","","","","5514037"
"0","93","5514","","","","","","","","5514038"
"800","32","5514","","1","","","","","","5514039"
"0.7","93","5514","","","","","","","","5514040"
"702","32","5514","","1","","","","","","5514041"
"0.5","93","5514","","","","","","","","5514042"
"se_common","23","5514","0","se_sys_login_birthday_blow_candle","","","","","","5514043"
"701","32","5514","","0","","","","","","5514044"
"0.4","93","5514","","","","","","","","5514045"
"se_common","23","5514","0","se_sys_login_birthday_cracker","","","","","","5514046"
"700","32","5514","","1","","","","","","5514047"
"se_common","23","5514","0","se_sys_login_birthday_calendar_applause","","","","","","5514048"
"105011","3","5514","0","wac_birthday_clap","wac_birthday_idle_smile","1","","0.2","0.2","5514049"
"0.1","93","5514","","","","","","","","5514050"
"101811","3","5514","0","wac_birthday_clap_to_wish","wac_birthday_idle_wish","1","","0.2","0.2","5514051"
"2","93","5514","","","","","","","","5514052"
"1","131","5514","","","","","","","","5514053"
"vo_wac_05514","21","5514","0","vo_wac_05514_000","0","","","","","5514054"
"101611","11","5514","10","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","1","1","0.5","0","0","5514055"
"0","91","5514","","","","","","","","5514056"
"101611","3","5514","1","wac_birthday_idle_kyapi","","","","0.2","","5514057"
"105011","3","5514","1","wac_birthday_talk_smile","","","","0.2","","5514058"
"vo_wac_05514","21","5514","0","vo_wac_05514_001","0","","","","","5514059"
"105011","11","5514","10","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","1","1","0.5","0","0","5514060"
"0","91","5514","","","","","","","","5514061"
"105011","3","5514","1","wac_birthday_idle_smile","","","","0.2","","5514062"
"101611","3","5514","1","wac_birthday_talk_smile","","","","0.2","","5514063"
"vo_wac_05514","21","5514","0","vo_wac_05514_002","0","","","","","5514064"
"101611","11","5514","10","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","1","1","0.5","0","0","5514065"
"0","91","5514","","","","","","","","5514066"
"101611","3","5514","1","wac_birthday_talk_kyapi","","","","0.2","","5514067"
"vo_wac_05514","21","5514","0","vo_wac_05514_003","0","","","","","5514068"
"101611","11","5514","10","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","1","1","0.5","0","0","5514069"
"0","91","5514","","","","","","","","5514070"
"0","22","5514","","","","","","","","5514071"
"bgm_M321","25","6214","","bgm_M321_2C","","","","","","6214001"
"1","1","6214","250","106731","-1000","-70","wac_birthday_idle_normal","2","0","6214002"
"1","1","6214","256","106611","230","-270","wac_birthday_idle_doya","2","1","6214003"
"1","1","6214","257","106511","410","-310","wac_birthday_idle_normal","2","1","6214004"
"106731","13","6214","","300","","","","","","6214005"
"106611","13","6214","","300","","","","","","6214006"
"600","31","6214","0","600","0","1","","1","","6214007"
"602","31","6214","0","602","0","1","","0","","6214008"
"603","31","6214","0","603","0","1","","0","","6214009"
"604","31","6214","30","604","60","1","","1","","6214010"
"611","31","6214","0","611","0","1","","1","","6214011"
"700","31","6214","0","700","0","1","","0","","6214012"
"701","31","6214","0","701","0","1","","0","","6214013"
"702","31","6214","0","702","0","1","","0","","6214014"
"800","31","6214","0","800","0","1","","0","","6214015"
"905","31","6214","30","905","60","1","","1","","6214016"
"1","93","6214","","","","","","","","6214017"
"106511","3","6214","0","wac_birthday_reaction_02","wac_birthday_reaction_03","1","","0.2","0.2","6214018"
"0.1","93","6214","","","","","","","","6214019"
"106611","3","6214","0","wac_birthday_reaction_01","wac_birthday_reaction_03","1","","0.2","0.2","6214020"
"0.3","93","6214","","","","","","","","6214021"
"106731","3","6214","1","wac_birthday_run_01","","","","0.2","","6214022"
"106731","2","6214","-70","0","3","","","","","6214023"
"2.5","93","6214","","","","","","","","6214024"
"602","32","6214","","1","","","","","","6214025"
"0.6","93","6214","","","","","","","","6214026"
"600","32","6214","","0","","","","","","6214027"
"611","32","6214","","0","","","","","","6214028"
"604","32","6214","","0","","","","","","6214029"
