af407dcaa68f636d8a74f63e3075d865925fdb48378bf620558a42c1a65f8758,5ab366bd17c88a45a76f3a2c50d88e9dd521ac54e73d2f2afa265ac7eb7506af,8d30bf00c51276adadafa31b520a52cfb94dade3222654ead11db29c3b3fa60e,2665673a1ab84215a2761772888295e162bc2676eee41ed43136510e977f9579,3517f8c00688bfc0a57a774b1c87bc140ed2192e4722ebbc34c290dfb38d14c8,9f2ea81aa8d9dca64bb126b5e82da6ab31e9912e9a93fe7346eb098a775451db,e06715c462a0f168f92b3cd17c2570529d10c12179df55126fb02cecb215a1e5,3cb0b7e44d07ff54994e9c8c5e16deba4f0e840b7b9d864e534ca1058ac0fc33
"137","10","2491","9","80","185","11","-110"
"377","11","2521","9","131","301","7","24"
"305","12","2531","9","280","190","12","-50"
"145","1","2601","10","-527","123","3","-137"
"145","2","2611","10","-527","123","4","-137"
"295","3","2621","10","-379","408","1","35"
"192","4","2622","10","-299","171","2","103"
"244","5","2623","10","-138","342","6","-64"
"254","6","2701","10","-47","224","5","9"
"204","7","2781","10","131","253","8","-88"
"139","8","2791","10","89","110","9","23"
"139","9","2801","10","89","110","10","23"
"249","10","2811","10","275","292","7","42"
"151","11","2821","10","274","126","11","-120"
"151","12","2831","10","274","126","12","-120"
"316","13","2841","10","448","276","13","-17"
"203","1","2901","11","-292","158","1","-87"
"187","2","3011","11","-224","256","2","123"
"225","3","3031","11","-65","144","3","-80"
"214","4","3111","11","80","149","4","-84"
"194","5","3131","11","227","201","5","112"
"111","6","3141","11","159","161","6","-111"
"111","7","3151","11","159","161","7","-111"
"209","8","3171","11","307","166","8","-80"
"206","1","3211","12","-185","364","3","-106"
"277","2","3221","12","-304","160","1","34"
"275","3","3231","12","-107","249","2","45"
"233","4","3321","12","31","167","5","-46"
"130","5","3381","12","135","174","7","-122"
"130","6","3391","12","135","174","8","-122"
"223","7","3431","12","127","244","4","101"
"246","8","3441","12","254","235","6","-24"
"156","9","3461","12","303","167","9","-114"
"156","10","3471","12","303","167","10","-114"
"94","11","3491","12","338","108","11","152"
"94","12","3501","12","338","108","12","152"
"270","1","3531","13","-286","210","3","-48"
"103","2","3541","13","-310","92","2","144"
"219","3","3551","13","-152","228","3","-90"
"103","4","3561","13","-148","94","4","99"
"71","5","3571","13","-12","110","5","-157"
"274","6","3581","13","-5","209","1","-2"
"292","7","3691","13","141","219","6","-72"
"104","8","3701","13","146","88","7","143"
"135","9","3741","13","299","160","8","131"
"135","10","3751","13","299","160","9","131"
"268","11","3791","13","301","179","10","-82"
"286","1","3801","14","-470","197","2","6"
"89","2","3811","14","-520","134","3","-123"
"236","3","3821","14","-369","204","1","103"
"241","4","3861","14","-283","176","5","-74"
"236","5","3891","14","-151","156","6","-83"
"226","6","3911","14","-174","219","4","108"
"96","7","3921","14","-51","107","10","-130"
"251","8","3931","14","-5","179","9","50"
"102","9","3941","14","100","113","11","-106"
"317","10","3951","14","268","242","12","-41"
"240","11","3961","14","138","209","7","79"
"240","12","3971","14","138","209","8","79"
"93","13","4021","14","441","125","14","-125"
"279","14","4031","14","485","219","13","22"
