fd0c3c0bddfa3a47cb084c51d54543adf59064f3aadbeb94ef749a28cefda77b,e3161c5e85c35026d8c0568eaaf2ec6a7198023d3e76c8e4993b17296888c322,0e05621aa6c15a2c59877e68b3bc2e67d1677655cb4d3a661c29253bf114f48f,b8e6c594ace4942537c72107446ba1861fed1e935cd2dcc761dbaed65c2994d0,4add61a2f045d7201b4c4da694e0a8586e75f5c41f9a6f929772d649cf61e1b5,9cab3521f1a55689bd2a7dc37ec8cf102949177bb9cbb87b88b58f442328f3a6,ed65bf4883de98c8a85873282764e28ed70f9c338a685325165cdd66d96a4e9d,3adee1517aa1ac76b32a115f1543f23cbadd76ee4cd1354ad083ff5917cdd5f2
"71_suzume_sad","50％で★2迷宮遺物×1\n50％で★3迷宮遺物×1","11071","2000","11071","102501","1","用心して近づきましょう"
"72_ayane_handsup","50％でランダムなロールの\nセレクトサイン×1\n50％でオールセレクトサイン×1","11072","2000","11072","102301","1","ぷうきち\nフルスイ～ング☆"
"73_kurumi_wish","50％でアルファルピ×1500\n50％でアルファルピ×2000","11073","0","11073","102101","0","触っても\n大丈夫かな……？"
"82_akino_pointing","50％で★1迷宮遺物×1\n50％でランダムなロールの\nランダムサイン×2","11081","0","11081","103201","0","右に決まっていますわ！"
"81_saren_pointing","アルファルピ×1000","11082","0","11082","102801","0","左じゃないかしら？"
"41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×300","11091","0","11091","100501","0","腕試しッス！"
"42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×450","11092","0","11092","107101","0","強敵との戦いは心躍る！"
"31_hiyori_gu","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","11101","0","11101","100101","0","グー！！！"
"32_rei_choki","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","11102","0","11102","100301","0","チョキにしよう"
"33_yui_pa","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","11103","0","11103","100201","0","パーにしようかな"
"101_chest_shizuru","アルファルピ×2000","11111","0","11111","193001","0","弟くん\nこっちこっち♪"
"102_chest_rino","★1～3迷宮遺物×１","11112","0","11112","193001","0","お兄ちゃん\nこっちですよ♪"
"111_tomo_run","アルファルピ×2000","11121","0","11121","103701","0","ミクマ流の\n剣技にかけて！"
"112_jun_run","ジュンが仲間になる\n＋オールランダムサイン×2～4","11122","0","11122","104701","0","ここは私たちに\n任せて！"
"41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×400","11131","0","11131","100501","0","腕試しッス！"
"42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×600","11132","0","11132","107101","0","強敵との戦いは心躍る！"
"41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×500","11171","0","11171","100501","0","腕試しッス！"
"42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×750","11172","0","11172","107101","0","強敵との戦いは心躍る！"
"51_ruka_fishing","50％で★1迷宮遺物×1\nさらに次のイベントへ","13141","0","13141","105601","0","のんびり\n釣りでもしようか"
"91_peko_guts","50％で次のイベントへ","13151","0","13151","105801","0","みんなで\n料理を作りましょう☆"
"61_inori_guts","50％でアルファルピ×2000\nさらに次のイベントへ","13161","0","13161","106601","0","やってやるですよ！"
"52_ruka_fishing","25％で★2迷宮遺物×1\nさらに次のイベントへ","23141","0","23141","105601","0","もう一回挑戦だ！"
"92_peko_guts","50％で次のイベントへ","23151","0","23151","105801","1","まだまだ\n食べ足りません☆"
"92_kyaru_sad","ランダムなロールの\nランダムサイン×2","23152","0","23152","106001","0","それくらいで\nいいんじゃない？"
"62_inori_guts","50％でアルファルピ×4000\nさらに次のイベントへ","23161","2000","23161","106601","1","今日はツイてるです！"
"62_ayumi_sad","挑戦終了","23162","0","23162","105501","0","もうこの辺で……"
"53_ruka_fishing","10％で★3迷宮遺物×1","33141","0","33141","105601","0","最後にもうひと勝負！"
"93_peko_guts","50％でオールセレクトサイン×２","33151","0","33151","105801","1","えへへ～\nもうちょっとだけ……"
"93_kyaru_anger","ランダムなロールの\nセレクトサイン×2","33152","0","33152","106001","0","そんなに\n食べきれないでしょ！"
"63_inori_guts","50％でアルファルピ×8000","33161","4000","33161","106601","1","今日のあたしは\n負け知らずです！"
"63_ayumi_worry","挑戦終了","33162","0","33162","105501","0","そろそろやめた方が……"
