52eee740f168d5bdef7ea5b39ee9e587f664ebf05112c829f41ad1fdc3698ab4,cf80bf6605b5e546f63416b5f865238b7684d4b89440e8c31bb9428464a06056,ed0a385bf055c30707b63553612317c36addf6ada510a58bd6c67920b42a4722,7293becfb0f959abfa47d36e63358cda834231d77efd38add64b1b12e4b74d68,ab0286952a849dbe447a7fb5f1962eae00818e79c911ce6003da43fbe5eb78e3,9e8c4750f1c4bdfe1001130634833919d722f8df82c2667d0f09be7dbc5dca69,6f59aae2343bd1063f456e3cf9a79e34644c717e795e091cc6e7ab12d8864408,2f4f12e7eec915aec68645ef6203a246a328c70beee7f3e57453381d174746d0,3bc23a3817672a478fafbac3bfba990ff93a378005ab35f76d22e45536803b91,c99e1ce8a7cc583fea9e72b22cecdbc1d86a4a3efe315eb95606efb1b742670f,c580b391fdeb8e9e337461a31b62b86376a5f0ad15279e4046fb53d2bdfe80c7,e6dc5fea8dcd19f67da2ae9537621dcd3e7b534e4a6d135aac3cbd6c93952908
"100700207","0","2","0","158","0","0","1","1007002","0","7","0.755"
"100700208","2.018","0","1","0","0","0","4","1007002","0","8","0"
"100700209","0","0","0","0","vo_svd","0","2","1007002","vo_svd_0202","9","0"
"100700210","0","3","0","132","0","0","1","1007002","0","10","0.541"
"100700211","0.517","0","1","0","0","0","4","1007002","0","11","0"
"100700212","0","3","0","299","0","132","1","1007002","0","12","0.992"
"100700213","0.792","0","1","0","0","0","4","1007002","0","13","0"
"100700214","0","4","0","132","0","0","1","1007002","0","14","0.751"
"100700215","1.887","0","1","0","0","0","4","1007002","0","15","0"
"100700216","0","0","0","0","vo_svd","0","2","1007002","vo_svd_0203","16","0"
"100700217","0","4","0","441","0","132","1","1007002","0","17","1.482"
"100700218","0.858","0","1","0","0","0","4","1007002","0","18","0"
"100700219","0","5","0","255","0","0","1","1007002","0","19","1.255"
"100700220","2.752","0","1","0","0","0","4","1007002","0","20","0"
"100700221","0","0","0","0","vo_svd","0","2","1007002","vo_svd_0204","21","0"
"100700222","0","6","0","336","0","0","1","1007002","0","22","1.827"
"100700223","1.654","0","1","0","0","0","4","1007002","0","23","0"
"100700224","0","7","0","364","0","0","1","1007002","0","24","1.773"
"100700225","2.5","0","1","0","0","0","4","1007002","0","25","0"
"100700301","0.8","0","1","0","0","0","4","1007003","0","1","0"
"100700302","0","0","0","0","vo_svd","0","2","1007003","vo_svd_0301","2","0"
"100700303","0","1","0","185","0","0","1","1007003","0","3","1.205"
"100700304","1.739","0","1","0","0","0","4","1007003","0","4","0"
"100700305","0","1","0","355","0","185","1","1007003","0","5","1.278"
"100700306","0.687","0","1","0","0","0","4","1007003","0","6","0"
"100700307","0","2","0","132","0","0","1","1007003","0","7","0.735"
"100700308","2.357","0","1","0","0","0","4","1007003","0","8","0"
"100700309","0","0","0","0","vo_svd","0","2","1007003","vo_svd_0302","9","0"
"100700310","0","2","0","364","0","132","1","1007003","0","10","1.542"
"100700311","1.9","0","1","0","0","0","4","1007003","0","11","0"
"100700312","0","3","0","336","0","0","1","1007003","0","12","1.82"
"100700313","1.754","0","1","0","0","0","4","1007003","0","13","0"
"100700314","0","4","0","255","0","0","1","1007003","0","14","1.133"
"100700315","2.697","0","1","0","0","0","4","1007003","0","15","0"
"100700316","0","0","0","0","vo_svd","0","2","1007003","vo_svd_0303","16","0"
"100700317","0","5","0","336","0","0","1","1007003","0","17","1.827"
"100700318","2.182","0","1","0","0","0","4","1007003","0","18","0"
"100700319","0","6","0","275","0","0","1","1007003","0","19","1.186"
"100700320","2.842","0","1","0","0","0","4","1007003","0","20","0"
"100700321","0","0","0","0","vo_svd","0","2","1007003","vo_svd_0304","21","0"
"100700322","0","7","0","336","0","0","1","1007003","0","22","2.067"
"100700323","1.844","0","1","0","0","0","4","1007003","0","23","0"
"100700324","0","8","0","364","0","0","1","1007003","0","24","2.068"
"100700325","2.5","0","1","0","0","0","4","1007003","0","25","0"
"100700401","0.8","0","1","0","0","0","4","1007004","0","1","0"
"100700402","0","0","0","0","vo_svd","0","2","1007004","vo_svd_0401","2","0"
"100700403","0","1","0","201","0","0","1","1007004","0","3","1.105"
"100700404","1.504","0","1","0","0","0","4","1007004","0","4","0"
"100700405","0","1","0","313","0","201","1","1007004","0","5","0.62"
"100700406","0.554","0","1","0","0","0","4","1007004","0","6","0"
"100700407","0","2","0","165","0","0","1","1007004","0","7","0.728"
"100700408","2.154","0","1","0","0","0","4","1007004","0","8","0"
"100700409","0","0","0","0","vo_svd","0","2","1007004","vo_svd_0402","9","0"
"100700410","0","2","0","334","0","165","1","1007004","0","10","1.051"
"100700411","0.915","0","1","0","0","0","4","1007004","0","11","0"
"100700412","0","3","0","161","0","0","1","1007004","0","12","0.927"
"100700413","1.701","0","1","0","0","0","4","1007004","0","13","0"
"100700414","0","3","0","311","0","161","1","1007004","0","14","0.905"
"100700415","0.816","0","1","0","0","0","4","1007004","0","15","0"
"100700416","0","4","0","329","0","0","1","1007004","0","16","1.249"
"100700417","1.252","0","1","0","0","0","4","1007004","0","17","0"
"100700418","0","5","0","268","0","0","1","1007004","0","18","0.987"
"100700419","2.864","0","1","0","0","0","4","1007004","0","19","0"
"100700420","0","0","0","0","vo_svd","0","2","1007004","vo_svd_0403","20","0"
"100700421","0","6","0","336","0","0","1","1007004","0","21","2.056"
"100700422","1.844","0","1","0","0","0","4","1007004","0","22","0"
"100700423","0","7","0","364","0","0","1","1007004","0","23","1.963"
"100700424","2.5","0","1","0","0","0","4","1007004","0","24","0"
"100700501","0.8","0","1","0","0","0","4","1007005","0","1","0"
"100700502","0","0","0","0","vo_svd","0","2","1007005","vo_svd_0501","2","0"
"100700503","0","1","0","329","0","0","1","1007005","0","3","1.741"
"100700504","2.972","0","1","0","0","0","4","1007005","0","4","0"
"100700505","0","0","0","0","vo_svd","0","2","1007005","vo_svd_0502","5","0"
"100700506","0","2","0","320","0","0","1","1007005","0","6","1.539"
"100700507","1.258","0","1","0","0","0","4","1007005","0","7","0"
"100700508","0","3","0","175","0","0","1","1007005","0","8","0.762"
"100700509","2.583","0","1","0","0","0","4","1007005","0","9","0"
"100700510","0","0","0","0","vo_svd","0","2","1007005","vo_svd_0503","10","0"
"100700511","0","4","0","336","0","0","1","1007005","0","11","2.131"
"100700512","2.924","0","1","0","0","0","4","1007005","0","12","0"
"100700513","0","5","0","329","0","0","1","1007005","0","13","1.868"
"100700514","3.266","0","1","0","0","0","4","1007005","0","14","0"
"100700515","0","0","0","0","vo_svd","0","2","1007005","vo_svd_0504","15","0"
"100700516","0","6","0","275","0","0","1","1007005","0","16","1.269"
"100700517","2.653","0","1","0","0","0","4","1007005","0","17","0"
"100700518","0","0","0","0","vo_svd","0","2","1007005","vo_svd_0505","18","0"
"100700519","0","7","0","336","0","0","1","1007005","0","19","2.056"
"100700520","1.844","0","1","0","0","0","4","1007005","0","20","0"
"100700521","0","8","0","364","0","0","1","1007005","0","21","1.965"
"100700522","2.5","0","1","0","0","0","4","1007005","0","22","0"
"100700601","0.8","0","1","0","0","0","4","1007006","0","1","0"
"100700602","0","0","0","0","vo_svd","0","2","1007006","vo_svd_0601","2","0"
"100700603","0","1","0","336","0","0","1","1007006","0","3","1.875"
"100700604","3.353","0","1","0","0","0","4","1007006","0","4","0"
"100700605","0","0","0","0","vo_svd","0","2","1007006","vo_svd_0602","5","0"
"100700606","0","2","0","336","0","0","1","1007006","0","6","1.734"
"100700607","1.665","0","1","0","0","0","4","1007006","0","7","0"
"100700608","0","3","0","219","0","0","1","1007006","0","8","1.035"
"100700609","1.893","0","1","0","0","0","4","1007006","0","9","0"
"100700610","0","3","0","354","0","248","1","1007006","0","10","0.821"
"100700611","0.664","0","1","0","0","0","4","1007006","0","11","0"
"100700612","0","4","0","275","0","0","1","1007006","0","12","1.361"
"100700613","1.108","0","1","0","0","0","4","1007006","0","13","0"
"100700614","0","5","0","259","0","0","1","1007006","0","14","1.269"
"100700615","3.112","0","1","0","0","0","4","1007006","0","15","0"
"100700616","0","0","0","0","vo_svd","0","2","1007006","vo_svd_0603","16","0"
"100700617","0","6","0","336","0","0","1","1007006","0","17","2.056"
"100700618","1.844","0","1","0","0","0","4","1007006","0","18","0"
"100700619","0","7","0","364","0","0","1","1007006","0","19","1.965"
"100700620","2.5","0","1","0","0","0","4","1007006","0","20","0"
"100700701","0.8","0","1","0","0","0","4","1007007","0","1","0"
"100700702","0","0","0","0","vo_svd","0","2","1007007","vo_svd_0701","2","0"
"100700703","0","1","0","132","0","0","1","1007007","0","3","0.926"
"100700704","1.549","0","1","0","0","0","4","1007007","0","4","0"
"100700705","0","1","0","345","0","132","1","1007007","0","5","1.457"
"100700706","1.228","0","1","0","0","0","4","1007007","0","6","0"
"100700707","0","2","0","168","0","0","1","1007007","0","7","0.762"
"100700708","2.221","0","1","0","0","0","4","1007007","0","8","0"
"100700709","0","0","0","0","vo_svd","0","2","1007007","vo_svd_0702","9","0"
"100700710","0","2","0","347","0","168","1","1007007","0","10","0.969"
"100700711","0.747","0","1","0","0","0","4","1007007","0","11","0"
"100700712","0","3","0","336","0","0","1","1007007","0","12","2.085"
"100700713","2.932","0","1","0","0","0","4","1007007","0","13","0"
"100700714","0","4","0","275","0","0","1","1007007","0","14","1.436"
"100700715","2.164","0","1","0","0","0","4","1007007","0","15","0"
"100700716","0","5","0","356","0","0","1","1007007","0","16","1.928"
"100700717","1.673","0","1","0","0","0","4","1007007","0","17","0"
"100700718","0","6","0","259","0","0","1","1007007","0","18","1.269"
"100700719","3.156","0","1","0","0","0","4","1007007","0","19","0"
"100700720","0","0","0","0","vo_svd","0","2","1007007","vo_svd_0703","20","0"
"100700721","0","7","0","336","0","0","1","1007007","0","21","2.077"
"100700722","1.841","0","1","0","0","0","4","1007007","0","22","0"
"100700723","0","8","0","364","0","0","1","1007007","0","23","1.965"
"100700724","2.5","0","0","0","0","0","4","1007007","0","24","0"
"100700801","0.8","0","1","0","0","0","4","1007008","0","1","0"
"100700802","0","0","0","0","vo_svd","0","2","1007008","vo_svd_0801","2","0"
"100700803","0","1","0","356","0","0","1","1007008","0","3","2.027"
"100700804","3.309","0","1","0","0","0","4","1007008","0","4","0"
"100700805","0","0","0","0","vo_svd","0","2","1007008","vo_svd_0802","5","0"
"100700806","0","2","0","336","0","0","1","1007008","0","6","1.879"
"100700807","3.041","0","1","0","0","0","4","1007008","0","7","0"
"100700808","0","0","0","0","vo_svd","0","2","1007008","vo_svd_0803","8","0"
"100700809","0","3","0","336","0","0","1","1007008","0","9","1.848"
"100700810","1.437","0","1","0","0","0","4","1007008","0","10","0"
"100700811","0","4","0","168","0","0","1","1007008","0","11","0.796"
"100700812","2.532","0","1","0","","0","4","1007008","","12","0"
"100700813","0","0","0","0","vo_svd","0","2","1007008","vo_svd_0804","13","0"
"100700814","0","5","0","101","0","0","1","1007008","0","14","1.002"
"100700815","2.164","0","1","0","0","0","4","1007008","0","15","0"
"100700816","0","5","0","299","0","101","1","1007008","0","16","1.574"
"100700817","2.164","0","1","0","0","0","4","1007008","0","17","0"
"100700818","0","6","0","259","0","0","1","1007008","0","18","1.269"
"100700819","2.5","0","1","0","0","0","4","1007008","0","19","0"
"100700901","0.8","0","1","0","0","0","4","1007009","0","1","0"
"100700902","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0901","2","0"
"100700903","0","1","0","356","0","0","1","1007009","0","3","2.285"
"100700904","2.031","0","1","0","0","0","4","1007009","0","4","0"
"100700905","0","2","0","215","0","0","1","1007009","0","5","1.362"
"100700906","2.479","0","1","0","0","0","4","1007009","0","6","0"
"100700907","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0902","7","0"
"100700908","0","3","0","356","0","0","1","1007009","0","8","2.004"
"100700909","1.804","0","1","0","0","0","4","1007009","0","9","0"
"100700910","0","4","0","266","0","0","1","1007009","0","10","2.026"
"100700911","2.473","0","1","0","0","0","4","1007009","0","11","0"
"100700912","0","4","0","338","0","266","1","1007009","0","12","0.518"
"100700913","0.556","0","1","0","0","0","4","1007009","0","13","0"
"100700914","0","5","0","336","0","0","1","1007009","0","14","2.021"
"100700915","1.713","0","1","0","0","0","4","1007009","0","15","0"
"100700916","0","6","0","250","0","0","1","1007009","0","16","1.513"
"100700917","1.981","0","1","0","0","0","4","1007009","0","17","0"
"100700918","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0903","18","0"
"100700919","0","7","0","279","0","0","1","1007009","0","19","1.672"
"100700920","1.924","0","1","0","0","0","4","1007009","0","20","0"
"100700921","0","7","0","338","0","279","1","1007009","0","21","0.796"
"100700922","1.832","0","1","0","","0","4","1007009","","22","0"
"100700923","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0904","23","0"
"100700924","0","8","0","96","0","0","1","1007009","0","24","0.703"
"100700925","1.523","0","1","0","0","0","4","1007009","0","25","0"
"100700926","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0905","26","0"
"100700927","0","8","0","218","0","96","1","1007009","0","27","1.198"
"100700928","1.764","0","1","0","0","0","4","1007009","0","28","0"
"100700929","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0906","29","0"
"100700930","0","9","0","336","0","0","1","1007009","0","30","2.335"
"100700931","3.423","0","1","0","0","0","4","1007009","0","31","0"
"100700932","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0907","32","0"
"100700933","0","10","0","69","0","0","1","1007009","0","33","0.682"
"100700934","1.357","0","1","0","0","0","4","1007009","0","34","0"
"100700935","0","10","0","336","0","69","1","1007009","0","35","2.106"
"100700936","1.43","0","1","0","0","0","4","1007009","0","36","0"
"100700937","0","11","0","336","0","0","1","1007009","0","37","2.283"
"100700938","2.989","0","1","0","0","0","4","1007009","0","38","0"
"100700939","0","0","0","0","vo_svd","0","2","1007009","vo_svd_0908","39","0"
"100700940","0","12","0","322","0","0","1","1007009","0","40","1.978"
"100700941","1","0","1","0","0","0","4","1007009","0","41","0"
"100701001","0.8","0","1","0","0","0","4","1007010","0","1","0"
"100701002","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1001","2","0"
"100701003","0","1","0","356","0","0","1","1007010","0","3","2.705"
"100701004","3.154","0","1","0","0","0","4","1007010","0","4","0"
"100701005","0","2","0","96","0","0","1","1007010","0","5","0.918"
"100701006","1.231","0","1","0","0","0","4","1007010","0","6","0"
"100701007","0","2","0","356","0","96","1","1007010","0","7","1.672"
"100701008","3.307","0","1","0","0","0","4","1007010","0","8","0"
"100701009","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1002","9","0"
"100701010","0","3","0","131","0","0","1","1007010","0","10","0.835"
"100701011","1.164","0","1","0","0","0","4","1007010","0","11","0"
"100701012","0","3","0","336","0","131","1","1007010","0","12","1.623"
"100701013","1.712","0","1","0","0","0","4","1007010","0","13","0"
"100701014","0","4","0","356","0","0","1","1007010","0","14","2.294"
"100701015","2.186","0","1","0","0","0","4","1007010","0","15","0"
"100701016","0","5","0","322","0","0","1","1007010","0","16","2.184"
"100701017","3.034","0","1","0","0","0","4","1007010","0","17","0"
"100701018","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1003","18","0"
"100701019","0","6","0","356","0","0","1","1007010","0","19","2.704"
"100701020","2.522","0","1","0","0","0","4","1007010","0","20","0"
"100701021","0","7","0","162","0","0","1","1007010","0","21","1.005"
"100701022","2.617","0","1","0","0","0","4","1007010","0","22","0"
"100701023","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1004","23","0"
"100701024","0","8","0","131","0","0","1","1007010","0","24","0.975"
"100701025","1.202","0","1","0","0","0","4","1007010","0","25","0"
"100701026","0","8","0","291","0","131","1","1007010","0","26","1.214"
"100701027","1.187","0","1","0","0","0","4","1007010","0","27","0"
"100701028","0","9","0","345","0","0","1","1007010","0","28","2.043"
"100701029","3.356","0","1","0","0","0","4","1007010","0","29","0"
"100701030","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1005","30","0"
"100701031","0","10","0","155","0","0","1","1007010","0","31","1.862"
"100701032","2.285","0","1","0","0","0","4","1007010","0","32","0"
"100701033","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1006","33","0"
"100701034","0","11","0","85","0","0","1","1007010","0","34","0.682"
"100701035","1.529","0","1","0","0","0","4","1007010","0","35","0"
"100701036","0","11","0","220","0","85","1","1007010","0","36","1.042"
"100701037","2.384","0","1","0","0","0","4","1007010","0","37","0"
"100701038","0","0","0","0","vo_svd","0","2","1007010","vo_svd_1007","38","0"
"100701039","0","12","0","100","0","0","1","1007010","0","39","1.106"
"100701040","1.891","0","1","0","0","0","4","1007010","0","40","0"
"100701041","0","12","0","289","0","100","1","1007010","0","41","1.322"
"100701042","1","0","1","0","0","0","4","1007010","0","42","0"
