c496eb6aa8784f9bff721ced44424f256799a0acbd5ca2af74508ce6c57f2d8f,2d2fafbcc949ddc6eaf6b56605161971b7e0649fffce9bcdabd9379a11edac44,9d614650155dfc645b692e673b8beb8c111da8a2e47393465a8eae50f3ec2728,1d0229ce0e9cf54b6101f543e8c773372133efc1233597ddb9169e098dbb6d60,3ce1d6bf0dc119c223af4e82acdd4dc84d2d7b31bf5b878dcdf2a0a5b9cc893c,2214a4ea35e0c859d939e5826754060d118f5a4b2bf6d76a0b1687e1190948e4,9700c364a3ec44aeca49b6a8903f9c52c137645bfdb6306302a319a418f4dd0f,5bf900bca334518ee4f953990482f7b240ea19f7795c27d5cd0419899f8087ca,f26b50f193a7f9d60f021d6466b5e954afffeb6e417a509e71e73ed709b134c8,7577781fd77abffec35d237576900341fcea6adca815876c37f394148e9d868f,dbefb3172f91cd5e3435021e1ce4d3ce3ff95ac3d0ccb4a75bce4271f573bd3f
"3","0","1","kids_jump_end","5152061","0","0.2","102111","wish_idle","","61136"
"3","0","1","kids_jump_sideHair_end","5152061","0","0.2","107711","idle_normal","","61137"
"3","0","1","kids_jump_end","5152061","0","0.2","122811","doya_idle","","61138"
"3","0","1","kids_jump_end","5152061","0","0.2","122911","idle_normal","","61139"
"3","0","1","kids_jump_sideHair_end","5152061","0","0.2","122711","idle_normal","","61140"
"27","0","0","bgm_MC173B","5152061","0.5","1","bgm_MC173B","0.5","","61141"
"3","0","1","kids_jump_sideHair_end","5152061","0","0.2","110311","talk_normal","","61142"
"21","","","vo_rag_6010","5152061","0","","vo_rag","0","","61143"
"11","0","1","はい、お疲れさま\nみんな、楽しかったかしら？","5152061","10","0","110311","1","0","61144"
"91","","","","5152061","0","","0","0","","61145"
"3","0.2","","idle_normal","5152061","1","","110311","","","61146"
"3","0.2","1","gutsB_in","5152061","0","0","131911","gutsB_talk","","61147"
"3","0.2","1","surprise3_in_joy2","5152061","0","0","102311","surprise3_loop_joy2","","61148"
"3","0.2","","memory_talk","5152061","1","","102111","","","61149"
"3","0.2","","wish_talk_joy_shy","5152061","1","","107711","","","61150"
"3","0.2","1","eieio_in","5152061","0","0","122811","eieio_loop","","61151"
"3","0.2","","anger_talk_joy","5152061","1","","122911","","","61152"
"3","0.2","","sad_talk_dere2","5152061","1","","122711","","","61153"
"21","","","vo_rag_6011","5152061","0","","vo_rag","0","","61154"
"11","0","1","ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！","5152061","10","60","131911","1","0","61155"
"91","","","","5152061","0","","0","0","","61156"
"3","0.2","","gutsB_idle","5152061","1","","131911","","","61157"
"3","0.2","","memory_talk","5152061","1","","102111","","","61158"
"21","","","vo_rag_6012","5152061","0","","vo_rag","0","","61159"
"11","0","1","かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪","5152061","10","56","102111","1","0","61160"
"91","","","","5152061","0","","0","0","","61161"
"3","0.2","","memory_talk","5152061","1","","102111","","","61162"
"23","","","se_10058300_emotion_laugh","5152061","0","","se_10058300","","","61163"
"32","","","1","5152061","","","11","","","61164"
"3","0.2","","sad_talk_normal","5152061","1","","110311","","","61165"
"21","","","vo_rag_6013","5152061","0","","vo_rag","0","","61166"
"11","0","1","あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね","5152061","10","0","110311","1","0","61167"
"91","","","","5152061","0","","0","0","","61168"
"32","","","0","5152061","","","11","","","61169"
"22","","","0","5152061","","","0","","","61170"
"93","","","0","5152061","","","0.1","","","61171"
"3","0.2","","wish_talk_joy_shy","5152061","1","","110311","","","61172"
"3","0.2","1","smile2_joy","5152061","0","0","131911","sad_idle_joy","","61173"
"3","0.2","","joy_idle","5152061","1","","102311","","","61174"
"3","0.2","","memory_idle","5152061","1","","102111","","","61175"
"3","0.2","","wish_idle_dere","5152061","1","","107711","","","61176"
"3","0.2","","cool_talk_dere2","5152061","1","","122811","","","61177"
"3","0.2","","anger_idle_normal2","5152061","1","","122911","","","61178"
"3","0.2","","sad_idle_dere","5152061","1","","122711","","","61179"
"23","","","se_10058300_emotion_kids","5152061","0","","se_10058300","","","61180"
"12","0","0","9","5152061","2","0","110311","0","0","61181"
"12","0","0","7","5152061","2","0","131911","0","0","61182"
"12","0","0","10","5152061","2","0","102311","0","0","61183"
"12","0","0","6","5152061","2","0","102111","0","0","61184"
"93","","","0","5152061","","","2.5","","","61185"
"101","","","","5152061","","","61187","","","61186"
"25","","","bgm_MC173B","5152061","","","bgm_MC173B","","","61187"
"22","","","0","5152061","","","0","","","61188"
"1","1.55","-280","107111","5152062","110","1","1","382","doya_idle","62001"
"1","1.5","-210","107611","5152062","105","0","1","145","idle_normal","62002"
"1","1.57","-296","131911","5152062","107","0","1","-22","joy_idle_normal","62003"
"1","1.57","-311","107511","5152062","109","0","1","-217","wish_idle_joy","62004"
"1","1.53","-255","107811","5152062","108","0","1","-440","cool_idle","62005"
"1","1.45","-136","131411","5152062","103","0","1","34","idle_normal","62006"
"1","1.45","-146","131311","5152062","104","0","1","-163","riri_idle","62007"
"1","1.45","-166","131511","5152062","105","0","1","-350","sad_idle_surprise1","62008"
"5","1.5","-235","5","5152062","106","1","5","-13","empty","62009"
"5","1.5","-210","11","5152062","110","0","1","145","empty","62010"
"5","1.57","-296","12","5152062","110","0","1","-22","empty","62011"
"5","1.57","-311","13","5152062","110","0","1","-217","empty","62012"
"5","1.53","-255","14","5152062","110","0","1","-440","empty","62013"
"5","1.45","-136","15","5152062","107","0","1","34","empty","62014"
"5","1.45","-146","16","5152062","107","0","1","-163","empty","62015"
"5","1.45","-166","17","5152062","107","0","1","-350","empty","62016"
"13","","","210","5152062","","","107111","","","62017"
"13","","","207","5152062","","","131911","","","62018"
"13","","","209","5152062","","","107511","","","62019"
"13","","","205","5152062","","","107611","","","62020"
"13","","","208","5152062","","","107811","","","62021"
"13","","","203","5152062","","","131411","","","62022"
"13","","","204","5152062","","","131311","","","62023"
"13","","","205","5152062","","","131511","","","62024"
"5","1.57","-235","1","5152062","108","0","1","-13","empty","62025"
"5","1","11","2","5152062","210","0","2","382","empty","62026"
"31","1","1","1","5152062","0","","1","0","","62027"
"31","0","1","2","5152062","0","","2","0","","62028"
"31","0","1","12","5152062","0","","12","0","","62029"
"31","1","1","3","5152062","0","","3","0","","62030"
"91","","","","5152062","","","0","","","62031"
"37","","","telop_2","5152062","","","3","","","62032"
"102","","","0","5152062","0","","0","","","62033"
"93","","","0","5152062","","","1","","","62034"
"3","0.2","","doya_talk","5152062","1","","107111","","","62035"
"21","","","vo_rag_2001","5152062","0","","vo_rag","0","","62036"
"11","0","1","早朝にもかかわらず、よく集まった","5152062","10","35","107111","1","0","62037"
"91","","","","5152062","0","","0","0","","62038"
"3","0.2","1","cool_in_joy","5152062","0","0","107111","cool_talk_joy","","62039"
"21","","","vo_rag_2002","5152062","0","","vo_rag","0","","62040"
"11","0","1","オマエたちにとっておきの体操を\n伝授してやろう♪","5152062","10","35","107111","1","0","62041"
"91","","","","5152062","0","","0","0","","62042"
"3","0.2","","cool_idle","5152062","1","","107111","","","62043"
"3","0.2","","gutsB_talk_anger","5152062","1","","131311","","","62044"
"21","","","vo_rag_2003","5152062","0","","vo_rag","0","","62045"
"11","0","1","どんな苛烈な体操でも…\n頑張りぬく所存です…！","5152062","10","0","131311","1","0","62046"
"91","","","","5152062","0","","0","0","","62047"
"3","0.2","","riri_idle","5152062","1","","131311","","","62048"
"26","","","","5152062","","","1","","","62049"
"3","0.2","","joy_talk_normal","5152062","1","","107111","","","62050"
"3","0.2","","idle_normal","5152062","1","","131911","","","62051"
"3","0.2","","idle_normal","5152062","1","","107511","","","62052"
"3","0.2","","idle_normal","5152062","1","","107611","","","62053"
"3","0.2","","idle_normal","5152062","1","","107811","","","62054"
"3","0.2","","idle_normal","5152062","1","","131411","","","62055"
"3","0.2","","idle_normal","5152062","1","","131311","","","62056"
"3","0.2","","idle_normal","5152062","1","","131511","","","62057"
"21","","","vo_rag_2004","5152062","0","","vo_rag","0","","62058"
"11","0","0","ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！","5152062","10","0","107111","1","2","62059"
"93","","","0","5152062","0","","1.1","0","","62060"
"25","","","bgm_MC175A","5152062","","","bgm_MC175A","","","62061"
"32","","","1","5152062","","","2","","","62062"
"3","0.2","1","clapping_in","5152062","0","0","107111","clapping_loop","","62063"
"3","0.2","","idol_before_dance","5152062","0","","131911","","","62064"
"3","0.2","","idol_before_dance","5152062","0","","107511","","","62065"
"3","0.2","","idol_before_dance","5152062","0","","107611","","","62066"
"3","0.2","","idol_before_dance","5152062","0","","107811","","","62067"
"3","0.2","","idol_before_dance","5152062","0","","131411","","","62068"
"3","0.2","","idol_before_dance","5152062","0","","131311","","","62069"
"3","0.2","","idol_before_dance","5152062","0","","131511","","","62070"
"91","","","","5152062","","","0","","","62071"
"32","","","1","5152062","","","12","","","62072"
"3","0.2","","idol_danceF","5152062","1","","131911","","","62073"
"3","0.2","","idol_danceF","5152062","1","","107511","","","62074"
"3","0.2","","idol_danceF","5152062","1","","107611","","","62075"
"3","0.2","","idol_danceF","5152062","1","","107811","","","62076"
"3","0.2","1","idol_danceB_in","5152062","0","0","131411","idol_danceB_loop","","62077"
"3","0.2","1","idol_danceB_in","5152062","0","0","131311","idol_danceB_loop","","62078"
"3","0.2","1","idol_danceB_in","5152062","0","0","131511","idol_danceB_loop","","62079"
"3","0.2","","idol_danceF","5152062","1","","12","","","62080"
"3","0.2","","idol_danceF","5152062","1","","13","","","62081"
"3","0.2","","idol_danceF","5152062","1","","11","","","62082"
"3","0.2","","idol_danceF","5152062","1","","14","","","62083"
"3","0.2","","idol_danceB_loop","5152062","1","","15","","","62084"
"3","0.2","","idol_danceB_loop","5152062","1","","16","","","62085"
"3","0.2","","idol_danceB_loop","5152062","1","","17","","","62086"
"93","","","0","5152062","0","","2.8","0","","62087"
"93","","","0","5152062","0","","0.1","0","","62088"
"3","0.2","1","pointing_in_anger","5152062","0","0","107111","pointing_loop_anger","","62089"
"93","","","0","5152062","0","","0.5","0","","62090"
"21","","","vo_rag_2005","5152062","0","","vo_rag","0","","62091"
"3","0","","0204_in","5152062","0","","2","","","62092"
"93","","","0","5152062","","","2.5","","","62093"
"3","0","","0204_out","5152062","0","","2","","","62094"
"93","","","0","5152062","","","0.2","","","62095"
"3","0.2","","angry_loop","5152062","1","","107111","","","62096"
"21","","","vo_rag_2006","5152062","0","","vo_rag","0","","62097"
"3","0","","0205_in","5152062","0","","2","","","62098"
"93","","","0","5152062","","","2.2","","","62099"
"3","0","","0205_out","5152062","0","","2","","","62100"
"93","","","0","5152062","","","0.3","","","62101"
"3","0.2","1","clapping_in_talk2","5152062","0","0","107111","clapping_loop_talk2","","62102"
"93","","","0","5152062","","","2.1","","","62103"
"37","","","out","5152062","","","12","","","62104"
"3","0.1","1","idol_poseF_in","5152062","0","0","131911","idol_poseF_loop","","62105"
"3","0.1","1","idol_poseF_in","5152062","0","0","107511","idol_poseF_loop","","62106"
"3","0.1","1","idol_poseF_in","5152062","0","0","107611","idol_poseF_loop","","62107"
"3","0.1","1","idol_poseF_in","5152062","0","0","107811","idol_poseF_loop","","62108"
"3","0.1","1","idol_poseB_in","5152062","0","0","131411","idol_poseB_loop","","62109"
"3","0.1","1","idol_poseB_in","5152062","0","0","131311","idol_poseB_loop","","62110"
"3","0.1","1","idol_poseB_in","5152062","0","0","131511","idol_poseB_loop","","62111"
"3","0.2","","empty","5152062","1","","12","","","62112"
"3","0.2","","empty","5152062","1","","13","","","62113"
"3","0.2","","empty","5152062","1","","11","","","62114"
"3","0.2","","empty","5152062","1","","14","","","62115"
"3","0.2","","empty","5152062","1","","15","","","62116"
"3","0.2","","empty","5152062","1","","16","","","62117"
"3","0.2","","empty","5152062","1","","17","","","62118"
"2","","11","93","5152062","-206","","107611","0.7","","62119"
"2","","11","-13","5152062","-235","","131911","0.7","","62120"
"2","","11","-152","5152062","-248","","107511","0.7","","62121"
"2","","11","-277","5152062","-243","","107811","0.7","","62122"
"2","","11","8","5152062","-151","","131411","0.7","","62123"
"2","","11","-102","5152062","-154","","131311","0.7","","62124"
"2","","11","-222","5152062","-167","","131511","0.7","","62125"
"93","","","0","5152062","","","1.6","","","62126"
"37","","","finish","5152062","","","2","","","62127"
"23","","","se_10058300_idle_finish","5152062","0","","se_10058300","","","62128"
"27","0","0","bgm_MC173B","5152062","0.5","1","bgm_MC173B","0.5","","62129"
"93","","","0","5152062","","","0","","","62130"
"3","0.1","","clapping_end","5152062","0","","107111","","","62131"
"93","","","0","5152062","","","2","","","62132"
"3","0.2","1","armcrossed_in","5152062","0","0","107111","armcrossed_talk","","62133"
"21","","","vo_rag_2007","5152062","0","","vo_rag","0","","62134"
"11","0","1","これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう","5152062","10","35","107111","1","0","62135"
"91","","","","5152062","0","","0","0","","62136"
"3","0.2","","armcrossed_idle","5152062","1","","107111","","","62137"
"3","0","1","pack_in","5152062","0","0","5","pack_talk","","62138"
"23","","","se_10058300_pack_appear","5152062","0","","se_10058300","","","62139"
"3","0.2","1","idol_poseF_end_emilia_in","5152062","0","0","131911","idol_poseF_end_emilia_loop","","62140"
"93","","","0","5152062","","","1","","","62141"
"21","","","vo_rag_2008","5152062","0","","vo_rag","0","","62142"
"11","5","1","ねえリア、\nこれってラジーオタイソーなの？","5152062","10","24","5","1","0","62143"
"91","","","","5152062","0","","0","0","","62144"
"22","","","0","5152062","","","0","","","62145"
"3","0.2","","idol_poseF_end_emilia_loop_nervous","5152062","1","","131911","","","62146"
"3","0","1","idol_poseF_end_emilia_nervous_in","5152062","0","0","1","idol_poseF_end_emilia_loop","","62147"
"3","0.2","","pack_idle","5152062","1","","5","","","62148"
"3","0.2","","chris_laugh","5152062","1","","107111","","","62149"
"23","","","se_10058300_emotion_idol","5152062","0","","se_10058300","","","62150"
"12","5","0","5","5152062","2","5","5","0","0","62151"
"12","0","0","10","5152062","2","0","107111","0","0","62152"
"93","","","0","5152062","","","2.5","","","62153"
"101","","","","5152062","","","62155","","","62154"
"25","","","bgm_MC173B","5152062","","","bgm_MC173B","","","62155"
"22","","","0","5152062","","","0","","","62156"
"1","1.8","-215","131711","5152063","109","1","1","124","ames_sit_idle","63001"
"1","1.8","-215","132011","5152063","108","0","1","-119","echidna_sit_thinking_idle","63002"
"5","1.8","-215","1","5152063","109","0","1","-119","empty","63003"
"13","","","209","5152063","","","131711","","","63004"
"13","","","208","5152063","","","132011","","","63005"
"31","1","1.16","1","5152063","0","","1","0","","63006"
"31","1","1","10","5152063","0","","10","0","","63007"
"31","0","1","5","5152063","0","","5","0","","63008"
"31","1","1","3","5152063","0","","3","0","","63009"
"91","","","0","5152063","","","0","","","63010"
"37","","","telop_3","5152063","","","3","","","63011"
"102","","","0","5152063","0","","0","","","63012"
"93","","","0","5152063","","","1","","","63013"
"3","0.2","","echidna_sit_thinking_talk","5152063","1","","132011","","","63014"
"21","","","vo_rag_5001","5152063","0","","vo_rag","0","","63015"
"11","-20","1","この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね","5152063","10","50","132011","1","0","63016"
"91","","","","5152063","0","","0","0","","63017"
"3","0.2","","echidna_sit_talk","5152063","1","","132011","","","63018"
"21","","","vo_rag_5002","5152063","0","","vo_rag","0","","63019"
"11","-20","1","君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？","5152063","10","50","132011","1","0","63020"
"91","","","","5152063","0","","0","0","","63021"
"3","0.2","","echidna_sit_idle","5152063","1","","132011","","","63022"
"3","0.2","1","ames_yareyare_in","5152063","0","0","131711","ames_yareyare_talk","","63023"
"21","","","vo_rag_5003","5152063","0","","vo_rag","0","","63024"
"11","20","1","随分と面倒なこと言ってくれちゃって","5152063","10","50","131711","1","0","63025"
"91","","","","5152063","0","","0","0","","63026"
"3","0.2","","ames_sit_talk","5152063","1","","131711","","","63027"
"21","","","vo_rag_5004","5152063","0","","vo_rag","0","","63028"
"11","20","1","色々誤解があるみたいだけど、\nまあいいわ","5152063","10","50","131711","1","0","63029"
"91","","","","5152063","0","","0","0","","63030"
"21","","","vo_rag_5005","5152063","0","","vo_rag","0","","63031"
"11","20","1","それじゃ、\nあたしと同じ動きをやってみて","5152063","10","50","131711","1","0","63032"
"91","","","","5152063","0","","0","0","","63033"
"3","0.2","1","ames_sit_out","5152063","0","0","131711","idle_normal","","63034"
"93","","","0","5152063","","","0.1","","","63035"
"3","0.2","1","echidna_sit_out","5152063","0","0","132011","idle_normal","","63036"
"37","","","out","5152063","","","10","","","63037"
"93","","","0","5152063","","","1","","","63038"
"91","","","","5152063","0","","0","0","","63039"
"25","","","bgm_MC175A","5152063","","","bgm_MC175A","","","63040"
"32","","","1","5152063","","","5","","","63041"
"3","0.2","","isekai_dance","5152063","1","","131711","","","63042"
"93","","","0","5152063","","","0.1","","","63043"
"3","0.2","","isekai_dance","5152063","1","","132011","","","63044"
"21","","","vo_rag_5006","5152063","0","","vo_rag","0","","63045"
"11","0","0","はい、ワンツーワンツー、\nステップステップ…","5152063","10","0","131711","1","1.7","63046"
"93","","","0","5152063","","","7","","","63047"
"91","","","","5152063","0","","0","0","","63048"
"21","","","vo_rag_5007","5152063","0","","vo_rag","0","","63049"
"11","0","1","ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…","5152063","10","0","132011","1","0","63050"
"93","","","0","5152063","","","3.4","","","63051"
"27","0","0","bgm_MC173B","5152063","0.5","1","bgm_MC173B","0.5","","63052"
"37","","","out","5152063","","","5","","","63053"
"3","0","1","tired_in","5152063","0","0","1","tired_talk","","63054"
"3","0","1","echidna_tired_in","5152063","0","0","132011","echidna_tired_talk","","63055"
"23","","","se_10058300_isekai_breath","5152063","0","","se_10058300","","","63056"
"93","","","0","5152063","","","7.6","","","63057"
"91","","","","5152063","0","","63050","0","","63058"
"3","0.2","","tired_idle","5152063","1","","1","","","63059"
"3","0.2","","echidna_tired_idle","5152063","1","","132011","","","63060"
"3","0","1","shock_in","5152063","0","0","131711","shock_talk","","63061"
"21","","","vo_rag_5008","5152063","0","","vo_rag","0","","63062"
"11","0","1","ウソでしょ！　まだちょっとしか\nやってないわよ！","5152063","10","0","131711","1","0","63063"
