e7e81181ee7ff6b5b83a0455b8892e0ae51acae80ab172976b60503311ee33b7,613729582ebbd697cc6edb4baa814fb25659782a3bf31819de963ddedb7404d0,269672b01a29d2b128eefee27a8d16c27c59e41b5176ad2d3b2c5016cf2243cb,b5ff0be0805c424e43eb9f1fdbbbbfb6f19564b08acfa9111f6cac050a710ceb,f3317f66f31d3ddccc8d5e06fdcd9ef142c3141f79bd001fa71222dcc0fa04cb,58f754bf0ea50216239f6d032f212a298ab95ce26aa557c297521f6b01563745
"こうもり","数少ない飛翔する哺乳類。血を吸うイメージだが、吸血種は極わずかしかいない。","1","10015","1","1001500"
"バット","「こうもり」の英語読み。","1","10015","1","1001501"
"きゅうけつき","民話や伝説に登場する種族。","1","10015","2","1001502"
"イリヤのけんぞく","幼女の頭を撫でたり抱きしめたりするだけの簡単なお仕事。","1","10015","3","1001503"
"とり","鳥類の総称。全身を羽毛に覆われ、翼で飛翔する。","1","10016","1","1001600"
"まもの","ランドソル全土に現れる怪物の総称。","1","10016","1","1001601"
"バード","「とり」の英語読み。","1","10016","2","1001602"
"ジズ","本に封じられていた鳥型の魔物。ハツネ・シオリ姉妹が退治した。","1","10016","3","1001603"
"くつ","足に履く物。小石やガムなどから足の裏を護る文明の極み。","1","10017","1","1001700"
"ズック","「くつ」のまた別の呼び方。最近あんまり言わなくない？","1","10017","1","1001701"
"シューズ","「くつ」の英語読み。行動速度が５くらい上がりそうな読み\n方。","1","10017","2","1001702"
"かわぐつ","おじさんから女子高生まで幅広く愛用されるおしゃれアイテ\nム。残念ながら煮ても食べられない。","1","10017","2","1001703"
"ブーツ","脚を覆う長い靴。特に編み上げの物はおしゃれ度において他の追随を許さない。","1","10017","2","1001704"
"ねこ","ネコ科の哺乳類。人間と馴染みの深い動物で、そのかわいさの前に人間はただただ無力。","1","10018","1","1001800"
"キャット","「ねこ」の英語読み。","1","10018","1","1001801"
"とらねこ","虎のようなしま模様のねこ。タビーとも呼ばれる。","1","10018","2","1001802"
"にゃんこ","猫を指す幼児語。意外と大人も言う。","1","10018","2","1001803"
"タマキのおともだち","猫たちのこと。タマキがご飯を与えているが、出費が馬鹿にならないらしい。","1","10018","3","1001804"
"きんぎょ","観賞用の赤く小さな魚類。縁日ですくわずにはいられないニクいやつ。","1","10019","1","1001900"
"おさかな","魚類の一般的な呼び方。食べると頭がよくなるという噂。","1","10019","1","1001901"
"さかな","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。","1","10019","1","1001902"
"らんちゅう","金魚の一種。ずんぐりとした体型で顔がこぶ状に隆起しているのが特徴。","1","10019","2","1001903"
"ねずみ","げっ歯類の一種。","1","10020","1","1002000"
"マウス","「ねずみ」の英語読み。かわいくて愛される方は大体マウス。","1","10020","1","1002001"
"ちゅーちゅー","ねずみの鳴き声、あるいは愛称。","1","10020","2","1002002"
"ラット","「ねずみ」の英語読み。科学実験に用いられる方は大体ラッ\nト。","1","10020","2","1002003"
"たまご","鳥などの雌が産む殻に包まれた球状の物体。","1","10021","1","1002100"
"エッグ","「たまご」の英語読み。","1","10021","2","1002101"
"こども","幼い生き物。基本小さくてかわいい。","1","10021","2","1002102"
"とりのす","鳥のすみかで、ここで産卵を行ったりする。","1","10021","2","1002103"
"ふね","人や物を載せて水上を進む乗り物。","1","10022","1","1002200"
"クルージング","大型の船で航海すること。","1","10022","2","1002201"
"はんせん","帆を張って風力で進む船。","1","10022","2","1002202"
"シップ","「ふね」の英語読み。","1","10022","2","1002203"
"ぎゅうにゅう","牛がだす乳汁。そのまま飲むのはもちろん、チーズやバターなどに加工できる優れもの。","1","10023","1","1002300"
"ミルク","「ぎゅうにゅう」の英語読み。","1","10023","1","1002301"
"おちち","「ぎゅうにゅう」のまた別の呼び方。口に出すのはちょっと恥ずかしい。","1","10023","2","1002302"
"エリザベス","エリザベスパークにいる牛の名前にしてマヒルのパートナー。","1","10023","3","1002303"
"チョコレート","カカオを加工したお菓子。２月14日に大量消費される。","1","10024","1","1002400"
"おかし","通常の食事以外で食す嗜好品。","1","10024","1","1002401"
"あまいもの","甘い味のするもの。疲れた時にほしくなる。","1","10024","2","1002402"
"カカオ","チョコレートの原料。含有量が多いほどビターな味わいにな\nる。","1","10024","2","1002403"
"ドラちゃんのこうぶつ","味をしめたらしい。","1","10024","3","1002404"
"どんぐり","硬い木の実。人が食すにはあまり適さないが、子どもの収集欲を刺激する魅惑の木の実。","1","10025","1","1002500"
"きのみ","木になる実。","1","10025","1","1002501"
"ナッツ","硬い殻に包まれた食用の実。お菓子に入れたり酒のつまみにと色々重宝する。","1","10025","2","1002502"
"リンのおやつ","アンパンほどではないが、好きらしい。バトルのときは敵にぶつけてスタンさせる。","1","10025","3","1002503"
"いちご","小さく甘酸っぱい果物。種と思われる粒々は実は果実。","1","10026","1","1002600"
"ストロベリー","「いちご」の英語読み。","1","10026","1","1002601"
"ジャム","果物を加工した食品。パンやクラッカーに塗ったり、紅茶に入れたりする。","1","10026","2","1002602"
"とら","大型のネコ科の猛獣。肉食。酔っぱらいを指す言葉としても使われる。","1","10027","1","1002700"
"タイガー","「とら」の英語読み。","1","10027","1","1002701"
"ねこ","ネコ科の哺乳類。人間となじみの深い動物で、そのかわいさの前に人間はただただ無力。","1","10027","2","1002702"
"けもの","全身を毛におおわれ、四足で歩く哺乳類。","1","10027","2","1002703"
"マツリのあこがれ","トラタイガー！","1","10027","3","1002704"
"むてきヒーロートラタイガー","マツリが憧れる正義のヒーロー。名前にツッコんではいけな\nい。","1","10027","3","1002705"
"ぬいぐるみ","布を縫合し綿などを詰めて人や動物を似せて形作ったもの。","1","10028","1","1002800"
"うさぎ","長い耳と短い尻尾がかわいい哺乳類。ペットとしても人気が高い。","1","10028","1","1002801"
"にんぎょう","人や生き物を模ったもの。材質も様々で、玩具や観賞用、祭礼と用途は様々。","1","10028","1","1002802"
"ラビット","「うさぎ」の英語読み。","1","10028","2","1002803"
"アーサー","マホのぬいぐるみの一体。名称はアーサー王と円卓の騎士がモチーフ。","1","10028","3","1002804"
"ばくだん","爆発による熱と衝撃で対象を破壊、殺傷する兵器。超危ない。","1","10029","1","1002900"
"ボム","「ばくだん」の英語読み。","1","10029","1","1002901"
"きけんぶつ","生物や環境に危険を及ぼす可能性のある物質。取り扱いには資格が必要になることもある。","1","10029","2","1002902"
"とびどうぐ","遠くから飛ばして攻撃するタイプの武器のこと。反則的な発想やアイデアという意味で使われることもある。","1","10029","2","1002903"
"ミソギのいたずらグッズ","一度ちゃんと怒られた方がいい。","1","10029","3","1002904"
"すいか","ウリ科の大きな果実。緑のしま模様の皮、赤い果肉と黒い種が印象的。","1","10030","1","1003000"
"こだますいか","小ぶりのスイカ。小玉といえどまあまあデカい。","1","10030","2","1003001"
"なつのふうぶつし","夏の感じを表す物事。スイカの他に海や花火など。","1","10030","2","1003002"
"うま","ウマ科の大型の哺乳類。力が強く速く走れるため、家畜や競走馬としてなじみ深い。","1","10031","1","1003100"
"ろば","ウマ科の哺乳類。馬に比べて小型だが力が強く労働力として重宝される。","1","10031","1","1003101"
"ホース","「うま」の英語読み。","1","10031","2","1003102"
"ぱかぱか","馬が歩く時のひづめの音。","1","10031","2","1003103"
"サラブレッド","馬の種類で競走用に品種改良されたもの。","1","10031","2","1003104"
"ムーバ","クランバトルに登場する馬型の魔物。","1","10031","3","1003105"
"いす","腰かけるための家具。役職、地位を示す意味もある。","1","10032","1","1003200"
"かぐ","室内に配置して日常的に使用する道具の総称。","1","10032","2","1003201"
"チェア","「いす」の英語読み。","1","10032","2","1003202"
"ギルドハウスアイテム","ギルドハウスに置く家具や装飾品。豪華なデザインからユニークなものまで、そのバリエーションは非常に豊か。","1","10032","3","1003203"
"うみ","陸地以外の凹所にひとつづきに水がたたえている場所。","1","10033","1","1003300"
"かいがん","陸地が海と接する部分。","1","10033","1","1003301"
"ビーチ","海辺。海水浴場として用いられることもある。ここでものを食べるとなんだかとても美味い。","1","10033","1","1003302"
"しおさい","寄せてくる波が立てる音。貝殻に耳を当ててもそれっぽい音が聞こえる。","1","10033","2","1003303"
"すなはま","砂ばかりの浜辺。城を建てたり埋まってみたりと楽しみ方は無限大。","1","10033","2","1003304"
"マルジェンかいがん","ランドソルから徒歩で行ける人気のビーチだが、よく魔物が現れるので意外と物騒。","1","10033","3","1003305"
"やどかり","貝殻を背負って生活する甲殻類。","1","10034","1","1003400"
"かいがら","貝類の外側を覆う殻。砂浜に落ちているとつい集めたくなる。","1","10034","2","1003401"
"こうかくるい","硬い外骨格を持つ節足動物。エビ、カニはもちろんミジンコもこれにあたる。","1","10034","2","1003402"
"ハーミットナイト","ランドソルのいたる所に現れる魔物。鎧のような見た目の通り硬くて厄介な敵。","1","10034","3","1003403"
"ふえ","一般的に木管楽器を指す言葉。縦笛と横笛に分けられる。","1","10035","1","1003500"
"リコーダー","木管楽器の一種。チャンバラごっこに使ってはいけない。","1","10035","1","1003501"
"かんがっき","楽器の分類のうちのひとつ。息を吹き込み管内の空気を振動させ音を出す。","1","10035","2","1003502"
"たてぶえ","縦に構えて吹く笛。リコーダーやクラリネットなど。","1","10035","2","1003503"
"ほん","紙の束に文字や図画を印刷し製本したもの。","1","10036","1","1003600"
"ノート","文字や絵を書き記すための文房具。","1","10036","1","1003601"
"しょうせつ","創作の物語。恋愛、歴史、ミステリーなどジャンルは多岐にわたる。","1","10036","2","1003602"
"ブック","「ほん」の英語読み。","1","10036","2","1003603"
"キャルのまどうしょ","本なの？　それとも杖なの？","1","10036","3","1003604"
"さかな","魚類の一般的な呼び方。食べると頭がよくなるという噂。","1","10037","1","1003700"
"おさかな","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。","1","10037","1","1003701"
"かつお","魚の一種。刺身が美味い。かつおぶしなどの加工品でもおなじみ。","1","10037","2","1003702"
"まぐろ","魚の一種。でかくて美味い高級魚。寿司といえばこれ。","1","10037","2","1003703"
"フィッシュ","「さかな」の英語読み。","1","10037","2","1003704"
"うお","「さかな」のまた別の呼び方。","1","10037","2","1003705"
"ツリー","樹木のこと。","1","10038","1","1003800"
"クリスマス","いつから、どうしてなのかは不明だがサンタクロースがプレゼントをくれる日。","1","10038","1","1003801"
"もみのき","クリスマスツリーに用いられる針葉樹。大きいものは40ｍにもなる。","1","10038","2","1003802"
"キャロル","クリスマスに歌われる祝歌。","1","10038","2","1003803"
"ぼうきゃくのキャロル","チカとサレンディア救護院に起きた、聖なる夜の奇跡の物語。","1","10038","3","1003804"
"あめ","砂糖などを煮詰め固めた菓子。","1","10039","1","1003900"
"キャンディ","「あめ」の英語読み。","1","10039","1","1003901"
"ロリポップ","棒つきの飴。","1","10039","2","1003902"
"クロエのおやつ","持ってるだけで絵になる。","1","10039","3","1003903"
"ハンマー","頭が金属でできた鈍器。叩かれるととても痛い。","1","10040","1","1004000"
"ピコピコハンマー","頭がやわらかいじゃばらでできたおもちゃ。叩かれるとコミカルな音が鳴る。","1","10040","1","1004001"
"かなづち","頭が金属でできた鈍器。叩かれるととても痛い。","1","10040","2","1004002"
"こづち","小さな槌。振ることによりいろんなものがでてくるとかこないとか。","1","10040","2","1004003"
"イノリのえもの","イノリの得物。かわいらしい動作から繰り広げられる攻撃は凶悪。","1","10040","3","1004004"
"ほし","夜空に光る天体。","1","10041","1","1004100"
"ごかくけい","５つの頂点と辺を持つ多角形。","1","10041","1","1004101"
"スター","「ほし」の英語読み。","1","10041","1","1004102"
"ずけい","面や点、線、立体、またはそれらの集まり。","1","10041","2","1004103"
"ひとで","星形の海洋生物。食用には適さない。","1","10041","2","1004104"
"きらきら","光る様子の表現の一つ。","1","10041","2","1004105"
"ランドソルのかたち","空から見ないと分からない。","1","10041","3","1004106"
"ぼうし","頭にかぶる装身具。","1","10042","1","1004200"
"ハット","「ぼうし」の英語読み。","1","10042","1","1004201"
"やまたかぼう","「ぼうし」の種類の一部。","1","10042","2","1004202"
"シルクハット","「ぼうし」の種類の一部。","1","10042","2","1004203"
"カップ","飲み物などを入れる容器。","1","10043","1","1004300"
"コーヒー","苦い飲み物。大人の味。","1","10043","1","1004301"
"マグ","「コップ」の種類の一部。","1","10043","2","1004302"
"いぬ","ワンワン吠える動物。","1","10044","1","1004400"
"ドッグ","「いぬ」の英語読み。","1","10044","1","1004401"
"おおかみ","「いぬ」の仲間。野生の力だ。","1","10044","2","1004402"
"ウルフ","「いぬ」の仲間。ワイルドの力だ。","1","10044","2","1004403"
"わんこ","「いぬ」のまた別の呼び方。","1","10044","2","1004404"
"はた","ひらひらした布。","1","10045","1","1004500"
"フラッグ","「はた」の英語読み。","1","10045","1","1004501"
"ケーキ","素敵なおかし。甘くて美味しい。","1","10046","1","1004600"
"おかし","素敵な食べ物。","1","10046","1","1004601"
"ぎふと","贈り物に最適。","1","10046","2","1004602"
"きずなポイント","絆の深さは共に過ごす時間だけではない。カロリーもまた絆の証…","1","10046","3","1004603"
"ミックスベリーケーキ","みんな大好き。何がとは言わないが30Pt加算される。","1","10046","3","1004604"
"マイク","音を信号に変換する装置。","1","10047","1","1004700"
"うた","マイクは歌の必需品！","1","10047","1","1004701"
"ライブ","ステージでの生演奏。","1","10047","1","1004702"
"アイドルのひっすアイテム","これがなくちゃはじまらない。","1","10047","2","1004703"
"ブリリアントマイク","「ノゾミ」の専用装備。カルミナマーク入り！","1","10047","3","1004704"
"くちべに","口元を引き立たせる化粧品。","1","10048","1","1004800"
"リップ","「くちべに」の英語読み。","1","10048","1","1004801"
"ルージュ","「くちべに」のまた別の呼び方。本来は赤の意味。","1","10048","2","1004802"
"もち","穀物を蒸してついた。縁起物でもある。","1","10049","1","1004900"
"おもち","「もち」のまた別の呼び方。","1","10049","1","1004901"
"かがみもち","正月に神仏に供える、大小ふたつ重ねの餅。","1","10049","2","1004902"
"たんすいかぶつ","もちの主な栄養素。とりすぎに注意。","1","10049","2","1004903"
"ライスケーキ","「もち」の英語読み。","1","10049","2","1004904"
"ようせい","小さくて羽の生えた種族。","1","10050","1","1005000"
"フェアリー","「ようせい」の英語読み。","1","10050","2","1005001"
"ネビア","ギルドハウスに住んでいるいたずら妖精。","1","10050","3","1005002"
"かさ","雨や日差しを避ける道具。","1","10051","1","1005100"
"アンブレラ","主に雨を避けるためのかさ。","1","10051","1","1005101"
"パラソル","主に日差しを避けるためのかさ。","1","10051","2","1005102"
"ひがさ","主に日差しを避けるためのかさ。","1","10051","2","1005103"
"ペコリーヌサマー","真夏のビーチプリンセスの必需品！","1","10051","3","1005104"
"さいころ","乱数を発生させるための道具。","1","10052","1","1005200"
"ダイス","「さいころ」の英語読み。","1","10052","1","1005201"
"ギャンブル","賭け事。さいころの目で一喜一憂。","1","10052","2","1005202"
"りっぽうたい","一般的なさいころの形。","1","10052","2","1005203"
"すごろく","サイコロを使ったボードゲーム。","1","10052","2","1005204"
"てがみ","言葉では伝えられない思いを文字にして。","1","10053","1","1005300"
"レター","「てがみ」の英語読み。","1","10053","2","1005301"
"メール","「てがみ」の英語読み。","1","10053","2","1005302"
"おたより","「てがみ」のまた別の呼び方。","1","10053","2","1005303"
"ラブレター","愛を伝えるための手紙。","1","10053","2","1005304"
"ブドウ","房になる。となりのものは酸っぱいらしい。","1","10054","1","1005400"
"グレープ","「ぶどう」の英語読み。","1","10054","1","1005401"
"きょほう","「ぶどう」の種類の一部。","1","10054","2","1005402"
"デラウェア","「ぶどう」の種類の一部。たねがない。","1","10054","2","1005403"
"ひつじ","もこもこの毛の動物。","1","10055","1","1005500"
"シープ","「ひつじ」の英語読み。","1","10055","2","1005501"
"メリーさんのひつじ","かわいいな～♪","1","10055","2","1005502"
"とうふ","豆からつくられるトーゴク料理。","1","10056","1","1005600"
"もめんどうふ","「とうふ」の種類の一部。ワイルドなくちあたり。","1","10056","2","1005601"
"きぬごしどうふ","「とうふ」の種類の一部。繊細なくちあたり。","1","10056","2","1005602"
"ひややっこ","代表的なとうふ料理。","1","10056","2","1005603"
"あひる","飛べない鳥。がーがーなく。","1","10057","1","1005700"
"がちょう","飛べない鳥。ぐわぐわなく。","1","10057","1","1005701"
"グース","「がちょう」の英語読み。","1","10057","2","1005702"
"ダック","「あひる」の英語読み。","1","10057","2","1005703"
"とり","飛べる鳥もいる。飛べない鳥もいる。","1","10057","2","1005704"
"とんぼ","空を飛ぶ昆虫。","1","10058","1","1005800"
"やんま","「とんぼ」の種類の一部。","1","10058","2","1005801"
"オニヤンマ","「とんぼ」の種類の一部。大きい。","1","10058","2","1005802"
"ドラゴンフライ","「とんぼ」の英語読み。強そう。","1","10058","2","1005803"
"はっぱ","葉。","1","10059","1","1005900"
"このは","木のはっぱ。","1","10059","1","1005901"
"リーフ","「葉っぱ」の英語読み。","1","10059","2","1005902"
"くさ","樹木にならない植物。雑草。","1","10059","2","1005903"
"アオイのともだち","アオイが気兼ねなく話せる数少ないともだち。ともだちです。","1","10059","3","1005904"
"ゆびわ","指につける装身具。","1","10060","1","1006000"
"リング","「ゆびわ」の英語読み。輪。","1","10060","1","1006001"
"わっか","まーるい輪。","1","10060","1","1006002"
"なわ","麻などで編まれた頑丈なひも。いろいろなものを縛ったりす\nる。","1","10061","1","1006100"
"ロープ","「なわ」の英語読み。","1","10061","1","1006101"
"ひも","細いなわ。","1","10061","1","1006102"
"つな","「ロープ」のまた別の呼び方。","1","10061","1","1006103"
"クウカのまるひアイテム","ぐふふふふ。","1","10061","3","1006104"
"エクスタシー","クウカは、クウカはぁ～！","1","10061","3","1006105"
"たて","攻撃を防ぐための板状の防具。","1","10062","1","1006200"
"シールド","「たて」の英語読み。","1","10062","1","1006201"
"ガード","何かを防ぐものの総称。","1","10062","2","1006202"
"ぼうぐ","身を守る装具。","1","10062","2","1006203"
"バックラー","攻撃を受けるのではなく逸らすための盾。","1","10062","2","1006204"
"インフェルノシールド","ジュンのユニオンバースト。あらゆる攻撃を受け止める！","1","10062","3","1006205"
"おかね","貨幣。食べ物ではない。","1","10063","1","1006300"
"かね","「おかね」のまた別の呼び方。食べ物ではない。","1","10063","1","1006301"
"マネー","「おかね」の英語読み。食べ物ではない。","1","10063","2","1006302"
"こぜに","少額の貨幣。食べ物ではない。","1","10063","2","1006303"
"きんか","金でできた貨幣。食べ物ではない。","1","10063","2","1006304"
"ルピ","ランドソルで使われる通貨単位。食べ物ではない。","1","10063","3","1006305"
"ギルドハウスかぐこうにゅう","ルピの主な使い道。食べ物も、ある。","1","10063","3","1006306"
"プリンアラモード","全てのおやつを総べるおやつのなかのおやつなの。","1","10064","1","1006400"
"デザート","食後に食べるの。プリンが最適なの。","1","10064","1","1006401"
"スイーツ","甘い物なの。つまりプリンなの。","1","10064","2","1006402"
"ミヤコのおやつ","全てのプリンはミヤコのものなの。","1","10064","3","1006403"
"ネックレス","首元を彩るアクセサリー。","1","10065","1","1006500"
"ペンダント","首から下げるアクセサリー。","1","10065","1","1006501"
"アクセサリー","装身具。オシャレするならマストアイテム。","1","10065","2","1006502"
"くびかざり","「ネックレス」のまた別の呼び方。","1","10065","2","1006503"
"いなほ","稲の穂。お米がとれる。","1","10066","1","1006600"
"たんぼ","稲作用の耕作地。水を張るなど管理が大変。","1","10066","2","1006601"
"こめ","稲を精製した穀物。ごはん！","1","10066","2","1006602"
"おこめ","「こめ」のまた別の呼び方。","1","10066","2","1006603"
"むぎ","パンのもとになる穀物。","1","10066","2","1006604"
"しょうゆ","豆からつくるトーゴク独自のソース。","1","10067","1","1006700"
"ソイソース","「しょうゆ」の英語読み。お豆のソース。","1","10067","2","1006701"
"ちょうみりょう","味付けに使う。","1","10067","2","1006702"
"ベルトコンベア","流れ作業を行うための機械。","1","10068","1","1006800"
"こうじょう","製品の大量生産を行う施設。","1","10068","2","1006801"
"ファクトリー","「こうじょう」の英語読み。","1","10068","2","1006802"
"たいやきこうじょう","【メルクリウス財団】の威信をかけた一大事業。あの時爆発さえしなければ…","1","10068","3","1006803"
"シャンデリア","きらびやかで豪華な照明器具。","1","10069","1","1006900"
"あかり","暗闇を照らす光。","1","10069","2","1006901"
"しお","しょっぱい。","1","10070","1","1007000"
"ソルト","「しお」の英語読み。","1","10070","2","1007001"
"ちょうみりょう","味付けに使う。","1","10070","2","1007002"
"うずしお","激しく渦を巻く潮の流れ。","1","10071","1","1007100"
"ぐるぐる","目で追うとフラフラしてくる。","1","10071","2","1007101"
"つりざお","魚をとるための道具。うまく扱うにはコツが必要。","1","10072","1","1007200"
"ロッド","「つりざお」の英語読み。","1","10072","2","1007201"
"ルカのしゅみごと","腕前はプロ級らしい。","1","10072","3","1007202"
"なべ","食べ物などを煮るための調理器具。","1","10073","1","1007300"
"おなべ","「なべ」のまた別の呼び方。","1","10073","1","1007301"
"ずんどう","「なべ」の一種。大きい。","1","10073","2","1007302"
"カレー","みんな大好き。においを嗅いだ瞬間にもう食べたくなるスパイスの魔術。","1","10073","2","1007303"
"シチュー","肉や野菜を入れた煮込み料理。これをおかずにご飯が食べられるかで議論が起こる。","1","10073","2","1007304"
"シーソー","両端に乗ってギッタンバッコン。","1","10074","1","1007400"
"ゆうぐ","公園においてある遊び道具。","1","10074","2","1007401"
"ぎったんばっこん","シーソーの音。","1","10074","2","1007402"
"こうえんあそび","公園に集合ね！","1","10074","2","1007403"
"ふで","絵や字を書くどうぐ。","1","10075","1","1007500"
"しょどう","トーゴクの文化デース！","1","10075","2","1007501"
"もうひつ","「ふで」のまた別の呼び方。","1","10075","2","1007502"
"おしゅうじ","習い事の定番。","1","10075","2","1007503"
"すずり","墨をする道具。","1","10075","2","1007504"
"とーごくぶんか","ランドソルから遙か東の方にあるという国の文化。ニンジャ、サムライ、フジヤマ、ゲイシャなどがある。ニノンの憧れ。","1","10075","3","1007505"
"きんトレ","主にパワーをアップさせるためのトレーニング。","1","10076","1","1007600"
"ダンベル","トレーニング器具。","1","10076","1","1007601"
"マッスル","筋肉！","1","10076","2","1007602"
"ウェイトトレーニング","重い物をもちあげるトレーニング。","1","10076","2","1007603"
"おばけ","おばけなの。プリンをよこすの。","1","10077","1","1007700"
"ゆうれい","ゆうれいなの。プリンをよこすの。","1","10077","1","1007701"
