95e204a1052e001274d2f0321b41cec41b5f584081e0904200a2834777bbb4bb,4b18cb9f17760619d3fc56c7a7217ad18453901e446ab5057ca0c5727bd44d83,341bf2375cbc0bf5e44874b198319844f5cc4ff139352a5cb6027389c0881a44,a068f01fbc0aeb5c831b6c7487f312e443c4fb95d5f393edf84723ca9ad4579f,f7f8728276f91bbd040befab7fdb9f01f6f4a3d39e6338b21def169e9b6d91cb,81b1a6054e584969950e7fef184074b8e9ae414875c4b36ebed720b76dfaf553,99ce29dc86744d0f01931c76b63ffa0168ec6de3cdc2d96959cfd81179ef10b0,b2e83e07d67195644f1336f5b48bedf64118eaf4644a47ee6a3c115a21a890df,7ba757bf3c907bb3c733f7985f619a166b67f3d0c907d1c2ce1fd4e2a1a8cde3,9d3e4cc68eb6ea54556d84ce31a00a7f37ea942fcae39763663ed597aa8df434
"2053","1200018","13050","2","1","2052","2","38","2054","375"
"2056","1200019","13050","2","1","2055","4","38","2057","375"
"2059","1200020","13050","2","1","2058","6","38","2060","375"
"3002","1300001","10590","3","1","3001","1","37","3003","575"
"3005","1300002","10590","3","1","3004","1","37","3006","575"
"3008","1300003","10590","3","1","3007","1","37","3009","575"
"3011","1300004","10590","3","1","3010","1","37","3012","575"
"3014","1300005","10590","3","1","3013","1","37","3015","575"
"3017","1300006","10590","3","1","3016","1","37","3018","575"
"3020","1300007","10590","3","1","3019","2","37","3021","575"
"3023","1300008","10590","3","1","3022","2","37","3024","575"
"3026","1300009","10590","3","1","3025","4","37","3027","575"
"3029","1300010","10590","3","1","3028","6","37","3030","575"
"3032","1300011","11820","3","1","3031","1","38","3033","500"
"3035","1300012","11820","3","1","3034","1","38","3036","500"
"3038","1300013","11820","3","1","3037","1","38","3039","500"
"3041","1300014","11820","3","1","3040","1","38","3042","500"
"3044","1300015","11820","3","1","3043","1","38","3045","500"
"3047","1300016","11820","3","1","3046","1","38","3048","500"
"3050","1300017","11820","3","1","3049","2","38","3051","500"
"3053","1300018","11820","3","1","3052","4","38","3054","500"
"3056","1300019","11820","3","1","3055","4","38","3057","500"
"3059","1300020","11820","3","1","3058","6","38","3060","500"
"3062","1300021","13050","3","1","3061","1","40","3063","375"
"3065","1300022","13050","3","1","3064","1","40","3066","375"
"3068","1300023","13050","3","1","3067","1","40","3069","375"
"3071","1300024","13050","3","1","3070","1","40","3072","375"
"3074","1300025","13050","3","1","3073","1","40","3075","375"
"3077","1300026","13050","3","1","3076","1","40","3078","375"
"3080","1300027","13050","3","1","3079","2","40","3081","375"
"3083","1300028","13050","3","1","3082","4","40","3084","375"
"3086","1300029","13050","3","1","3085","6","40","3087","375"
"3089","1300030","13050","3","1","3088","6","40","3090","375"
"4002","2100001","9360","1","2","4001","3","29","4003","700"
"4005","2100002","9360","1","2","4004","5","29","4006","700"
"4008","2100003","9360","1","2","4007","7","29","4009","700"
"4011","2100004","9360","1","2","4010","3","29","4012","700"
"4014","2100005","9360","1","2","4013","5","29","4015","700"
"4017","2100006","9360","1","2","4016","7","29","4018","700"
"4020","2100007","10590","1","2","4019","3","30","4021","575"
"4023","2100008","10590","1","2","4022","5","30","4024","575"
"4026","2100009","10590","1","2","4025","7","30","4027","575"
"4029","2100010","10590","1","2","4028","3","30","4030","575"
"5002","2200001","9360","2","2","5001","3","33","5003","700"
"5005","2200002","9360","2","2","5004","5","33","5006","700"
"5008","2200003","9360","2","2","5007","7","33","5009","700"
"5011","2200004","9360","2","2","5010","3","33","5012","700"
"5014","2200005","9360","2","2","5013","5","33","5015","700"
"5017","2200006","9360","2","2","5016","7","33","5018","700"
"5020","2200007","9360","2","2","5019","3","33","5021","700"
"5023","2200008","9360","2","2","5022","5","33","5024","700"
"5026","2200009","9360","2","2","5025","7","33","5027","700"
"5029","2200010","9360","2","2","5028","3","33","5030","700"
"5032","2200011","9360","2","2","5031","5","33","5033","700"
"5035","2200012","9360","2","2","5034","7","33","5036","700"
"5038","2200013","10590","2","2","5037","3","34","5039","575"
"5041","2200014","10590","2","2","5040","5","34","5042","575"
"5044","2200015","10590","2","2","5043","7","34","5045","575"
"5047","2200016","10590","2","2","5046","3","34","5048","575"
"5050","2200017","10590","2","2","5049","5","34","5051","575"
"5053","2200018","10590","2","2","5052","7","34","5054","575"
"5056","2200019","10590","2","2","5055","5","34","5057","575"
"5059","2200020","10590","2","2","5058","7","34","5060","575"
"6002","2300001","9360","3","2","6001","3","33","6003","700"
"6005","2300002","9360","3","2","6004","5","33","6006","700"
"6008","2300003","9360","3","2","6007","7","33","6009","700"
"6011","2300004","9360","3","2","6010","3","33","6012","700"
"6014","2300005","9360","3","2","6013","5","33","6015","700"
"6017","2300006","9360","3","2","6016","7","33","6018","700"
"6020","2300007","9360","3","2","6019","3","33","6021","700"
"6023","2300008","9360","3","2","6022","5","33","6024","700"
"6026","2300009","9360","3","2","6025","7","33","6027","700"
"6029","2300010","9360","3","2","6028","3","33","6030","700"
"6032","2300011","9360","3","2","6031","5","33","6033","700"
"6035","2300012","9360","3","2","6034","7","33","6036","700"
"6038","2300013","9360","3","2","6037","3","33","6039","700"
"6041","2300014","9360","3","2","6040","5","33","6042","700"
"6044","2300015","9360","3","2","6043","7","33","6045","700"
"6047","2300016","9360","3","2","6046","3","33","6048","700"
"6050","2300017","9360","3","2","6049","5","33","6051","700"
"6053","2300018","9360","3","2","6052","7","33","6054","700"
"6056","2300019","10590","3","2","6055","3","34","6057","575"
"6059","2300020","10590","3","2","6058","5","34","6060","575"
"6062","2300021","10590","3","2","6061","7","34","6063","575"
"6065","2300022","10590","3","2","6064","3","34","6066","575"
"6068","2300023","10590","3","2","6067","5","34","6069","575"
"6071","2300024","10590","3","2","6070","7","34","6072","575"
"6074","2300025","10590","3","2","6073","3","34","6075","575"
"6077","2300026","10590","3","2","6076","5","34","6078","575"
"6080","2300027","10590","3","2","6079","7","34","6081","575"
"6083","2300028","10590","3","2","6082","3","34","6084","575"
"6086","2300029","10590","3","2","6085","5","34","6087","575"
"6089","2300030","10590","3","2","6088","7","34","6090","575"
"7002","3100001","14280","1","3","7001","1","39","7003","340"
"7005","3100002","14280","1","3","7004","1","39","7006","340"
"7008","3100003","14280","1","3","7007","1","39","7009","340"
"7011","3100004","14280","1","3","7010","1","39","7012","340"
"7014","3100005","14280","1","3","7013","1","39","7015","340"
"7017","3100006","14280","1","3","7016","1","39","7018","340"
"7020","3100007","13050","1","3","7019","1","36","7021","375"
"7023","3100008","13050","1","3","7022","1","36","7024","375"
"7026","3100009","13050","1","3","7025","1","36","7027","375"
"7029","3100010","13050","1","3","7028","1","36","7030","375"
"8002","3200001","14280","2","3","8001","1","41","8003","340"
"8005","3200002","14280","2","3","8004","1","41","8006","340"
"8008","3200003","14280","2","3","8007","1","41","8009","340"
"8011","3200004","14280","2","3","8010","1","41","8012","340"
"8014","3200005","14280","2","3","8013","1","41","8015","340"
"8017","3200006","14280","2","3","8016","1","41","8018","340"
"8020","3200007","14280","2","3","8019","1","41","8021","340"
"8023","3200008","14280","2","3","8022","1","41","8024","340"
"8026","3200009","14280","2","3","8025","1","41","8027","340"
"8029","3200010","14280","2","3","8028","1","41","8030","340"
"8032","3200011","14280","2","3","8031","1","41","8033","340"
"8035","3200012","14280","2","3","8034","1","41","8036","340"
"8038","3200013","13050","2","3","8037","1","38","8039","375"
"8041","3200014","13050","2","3","8040","1","38","8042","375"
"8044","3200015","13050","2","3","8043","1","38","8045","375"
"8047","3200016","13050","2","3","8046","1","38","8048","375"
"8050","3200017","13050","2","3","8049","1","38","8051","375"
"8053","3200018","13050","2","3","8052","1","38","8054","375"
"8056","3200019","13050","2","3","8055","1","38","8057","375"
"8059","3200020","13050","2","3","8058","1","38","8060","375"
"9002","3300001","14280","3","3","9001","1","40","9003","340"
"9005","3300002","14280","3","3","9004","1","40","9006","340"
"9008","3300003","14280","3","3","9007","1","40","9009","340"
"9011","3300004","14280","3","3","9010","1","40","9012","340"
"9014","3300005","14280","3","3","9013","1","40","9015","340"
"9017","3300006","14280","3","3","9016","1","40","9018","340"
"9020","3300007","14280","3","3","9019","1","40","9021","340"
"9023","3300008","14280","3","3","9022","1","40","9024","340"
"9026","3300009","14280","3","3","9025","1","40","9027","340"
"9029","3300010","14280","3","3","9028","1","40","9030","340"
"9032","3300011","14280","3","3","9031","1","40","9033","340"
"9035","3300012","14280","3","3","9034","1","40","9036","340"
"9038","3300013","14280","3","3","9037","1","40","9039","340"
"9041","3300014","14280","3","3","9040","1","40","9042","340"
"9044","3300015","14280","3","3","9043","1","40","9045","340"
"9047","3300016","14280","3","3","9046","1","40","9048","340"
"9050","3300017","14280","3","3","9049","1","40","9051","340"
"9053","3300018","14280","3","3","9052","1","40","9054","340"
"9056","3300019","13050","3","3","9055","1","39","9057","375"
"9059","3300020","13050","3","3","9058","1","39","9060","375"
"9062","3300021","13050","3","3","9061","1","39","9063","375"
"9065","3300022","13050","3","3","9064","1","39","9066","375"
"9068","3300023","13050","3","3","9067","1","39","9069","375"
"9071","3300024","13050","3","3","9070","1","39","9072","375"
"9074","3300025","13050","3","3","9073","1","39","9075","375"
"9077","3300026","13050","3","3","9076","1","39","9078","375"
"9080","3300027","13050","3","3","9079","1","39","9081","375"
"9083","3300028","13050","3","3","9082","1","39","9084","375"
"9086","3300029","13050","3","3","9085","1","39","9087","375"
"9089","3300030","13050","3","3","9088","1","39","9090","375"
