571930d7ab8c52a6d0e9e231d13674c6e914185a2206cb81ac89d2ed7a8014da,2acabbb56f5e940b666e9a836d6ffaccecb1d65285d441ea1c7023f3d8ef1fc3,776ee99a010143841d266e818e4b5a291aee82813b5a13bdfcd7a28c05d4d7dc,bb7c2ac606b8ad0d2335dc978fb93744c5ee248840d28912229227289b73e387,b4127d48aadd57bbc9a15d8b3f053deb5d686c8db91a13d78ea98d87b579cb74,db1bd3a2755dc14962ac63cc00b86c7d4da33a7106ba7fda77b1bf89b408f353,61a64b110579495657c25de14ccc00e4351115493f15fe8c9830c4153de0d8e3,2d5e4f51fc69c1baa563aa7436948cd5c5b287997ac338dfc23f569521182245,64f9ff4f403ecb23d70f60c760c60b4823175a28ebf378e5ed10c61004a0e754,84f18a7ba62f616bf46360bd540f993911eea176c224c86887ceb764a791ccb0,f0691324f5ed5cfb6e631a8c0b38eb339729fe1573beb80ff2bd5e5cfc0f0de0,431caf8254fd36a6c74bdaae21af11e6ae577bd49ee82d42423ac97db93c37c5
"17","2","0","0","0","4","0","1","1.311","0","0","1020017"
"18","2","125","265","5","1","0","0","0","1.114","0","1020018"
"19","2","0","0","0","4","0","1","1.181","0","0","1020019"
"20","2","265","340","5","1","0","0","0","0.497","0","1020020"
"21","2","0","0","0","4","0","1","0.497","0","0","1020021"
"22","2","0","189","6","1","0","0","0","1.37","0","1020022"
"23","2","0","0","0","4","0","1","2.407","0","0","1020023"
"24","2","0","0","0","2","vo_minigame_1005_nikki02_004","0","0","0","vo_minigame_1005","1020024"
"25","2","0","195","7","1","0","0","0","1.616","0","1020025"
"26","2","0","0","0","4","0","1","2.035","0","0","1020026"
"27","2","195","295","7","1","0","0","0","0.951","0","1020027"
"28","2","0","0","0","4","0","1","1.322","0","0","1020028"
"29","2","0","258","8","1","0","0","0","1.924","0","1020029"
"30","2","0","0","0","4","0","1","2.98","0","0","1020030"
"31","2","0","0","0","2","vo_minigame_1005_nikki02_005","0","0","0","vo_minigame_1005","1020031"
"32","2","0","114","9","1","0","0","0","0.93","0","1020032"
"33","2","0","0","0","4","0","1","1.24","0","0","1020033"
"34","2","114","257","9","1","0","0","0","0.879","0","1020034"
"35","2","0","0","0","4","0","1","1.877","0","0","1020035"
"36","2","0","0","0","2","vo_minigame_1005_nikki02_006","0","0","0","vo_minigame_1005","1020036"
"37","2","0","144","10","1","0","0","0","1.148","0","1020037"
"38","2","0","0","0","4","0","1","1.541","0","0","1020038"
"39","2","144","307","10","1","0","0","0","1.145","0","1020039"
"40","2","0","0","0","4","0","1","2.645","0","0","1020040"
"1","3","0","0","0","4","0","3","1","0","0","1030001"
"2","3","0","0","0","2","vo_minigame_1005_nikki03_000","0","0","0","vo_minigame_1005","1030002"
"3","3","0","332","1","1","0","0","0","2.61","0","1030003"
"4","3","0","0","0","4","0","1","3.007","0","0","1030004"
"5","3","0","233","2","1","0","0","0","1.47","0","1030005"
"6","3","0","0","0","4","0","1","2.171","0","0","1030006"
"7","3","0","0","0","2","vo_minigame_1005_nikki03_001","0","0","0","vo_minigame_1005","1030007"
"8","3","0","322","3","1","0","0","0","2.1","0","1030008"
"9","3","0","0","0","4","0","1","2.579","0","0","1030009"
"10","3","0","349","4","1","0","0","0","2.298","0","1030010"
"11","3","0","0","0","4","0","1","3.18","0","0","1030011"
"12","3","0","0","0","2","vo_minigame_1005_nikki03_002","0","0","0","vo_minigame_1005","1030012"
"13","3","0","173","5","1","0","0","0","1.262","0","1030013"
"14","3","0","0","0","4","0","1","1.993","0","0","1030014"
"15","3","0","0","0","2","vo_minigame_1005_nikki03_003","0","0","0","vo_minigame_1005","1030015"
"16","3","173","243","5","1","0","0","0","0.373","0","1030016"
"17","3","0","0","0","4","0","1","0.69","0","0","1030017"
"18","3","243","362","5","1","0","0","0","1.045","0","1030018"
"19","3","0","0","0","4","0","1","2.131","0","0","1030019"
"20","3","0","0","0","2","vo_minigame_1005_nikki03_004","0","0","0","vo_minigame_1005","1030020"
"21","3","0","289","6","1","0","0","0","2.147","0","1030021"
"22","3","0","0","0","4","0","1","2.618","0","0","1030022"
"23","3","0","202","7","1","0","0","0","1.445","0","1030023"
"24","3","0","0","0","4","0","1","2.552","0","0","1030024"
"25","3","0","0","0","2","vo_minigame_1005_nikki03_005","0","0","0","vo_minigame_1005","1030025"
"26","3","0","123","8","1","0","0","0","0.876","0","1030026"
"27","3","0","0","0","4","0","1","1.252","0","0","1030027"
"28","3","123","324","8","1","0","0","0","1.306","0","1030028"
"29","3","0","0","0","4","0","1","1.507","0","0","1030029"
"30","3","0","186","9","1","0","0","0","1.319","0","1030030"
"31","3","0","0","0","4","0","1","2.549","0","0","1030031"
"32","3","0","0","0","2","vo_minigame_1005_nikki03_006","0","0","0","vo_minigame_1005","1030032"
"33","3","0","383","10","1","0","0","0","2.728","0","1030033"
"34","3","0","0","0","4","0","1","3.023","0","0","1030034"
"35","3","0","123","11","1","0","0","0","0.91","0","1030035"
"36","3","0","0","0","4","0","1","1.977","0","0","1030036"
"37","3","0","0","0","2","vo_minigame_1005_nikki03_007","0","0","0","vo_minigame_1005","1030037"
"38","3","123","208","11","1","0","0","0","0.558","0","1030038"
"39","3","0","0","0","4","0","1","0.973","0","0","1030039"
"40","3","208","392","11","1","0","0","0","1.35","0","1030040"
"41","3","0","0","0","4","0","1","2.103","0","0","1030041"
"42","3","0","0","0","2","vo_minigame_1005_nikki03_008","0","0","0","vo_minigame_1005","1030042"
"43","3","0","150","12","1","0","0","0","0.935","0","1030043"
"44","3","0","0","0","4","0","1","2.435","0","0","1030044"
"1","4","0","0","0","4","0","3","1","0","0","1040001"
"2","4","0","0","0","2","vo_minigame_1005_nikki04_000","0","0","0","vo_minigame_1005","1040002"
"3","4","0","222","1","1","0","0","0","1.597","0","1040003"
"4","4","0","0","0","4","0","1","1.881","0","0","1040004"
"5","4","0","239","2","1","0","0","0","1.46","0","1040005"
"6","4","0","0","0","4","0","1","2.457","0","0","1040006"
"7","4","0","0","0","2","vo_minigame_1005_nikki04_001","0","0","0","vo_minigame_1005","1040007"
"8","4","0","171","3","1","0","0","0","1.208","0","1040008"
"9","4","0","0","0","4","0","1","1.578","0","0","1040009"
"10","4","171","270","3","1","0","0","0","0.673","0","1040010"
"11","4","0","0","0","4","0","1","1.009","0","0","1040011"
"12","4","270","352","3","1","0","0","0","0.65","0","1040012"
"13","4","0","0","0","4","0","1","0.729","0","0","1040013"
"14","4","0","166","4","1","0","0","0","0.976","0","1040014"
"15","4","0","0","0","4","0","1","1.993","0","0","1040015"
"16","4","0","0","0","2","vo_minigame_1005_nikki04_002","0","0","0","vo_minigame_1005","1040016"
"17","4","166","220","4","1","0","0","0","0.396","0","1040017"
"18","4","0","0","0","4","0","1","0.864","0","0","1040018"
"19","4","220","352","4","1","0","0","0","0.74","0","1040019"
"20","4","0","0","0","4","0","1","1.855","0","0","1040020"
"21","4","0","0","0","2","vo_minigame_1005_nikki04_003","0","0","0","vo_minigame_1005","1040021"
"22","4","0","52","5","1","0","0","0","0.437","0","1040022"
"23","4","0","0","0","4","0","1","0.497","0","0","1040023"
"24","4","52","289","5","1","0","0","0","1.776","0","1040024"
"25","4","0","0","0","4","0","1","2.233","0","0","1040025"
"26","4","0","153","6","1","0","0","0","1.29","0","1040026"
"27","4","0","0","0","4","0","1","1.638","0","0","1040027"
"28","4","153","329","6","1","0","0","0","1.137","0","1040028"
"29","4","0","0","0","4","0","1","2.3","0","0","1040029"
"30","4","0","0","0","2","vo_minigame_1005_nikki04_004","0","0","0","vo_minigame_1005","1040030"
"31","4","0","55","7","1","0","0","0","0.336","0","1040031"
"32","4","0","0","0","4","0","1","0.826","0","0","1040032"
"33","4","55","252","7","1","0","0","0","1.223","0","1040033"
"34","4","0","0","0","4","0","1","1.223","0","0","1040034"
"35","4","0","179","8","1","0","0","0","0.994","0","1040035"
"36","4","0","0","0","4","0","1","1.487","0","0","1040036"
"37","4","179","312","8","1","0","0","0","0.89","0","1040037"
"38","4","0","0","0","4","0","1","1.567","0","0","1040038"
"39","4","0","0","0","2","vo_minigame_1005_nikki04_005","0","0","0","vo_minigame_1005","1040039"
"40","4","0","151","9","1","0","0","0","0.74","0","1040040"
"41","4","0","0","0","4","0","1","1.731","0","0","1040041"
"42","4","0","0","0","2","vo_minigame_1005_nikki04_006","0","0","0","vo_minigame_1005","1040042"
"43","4","0","278","10","1","0","0","0","1.937","0","1040043"
"44","4","0","0","0","4","0","1","2.435","0","0","1040044"
"45","4","0","126","11","1","0","0","0","0.822","0","1040045"
"46","4","0","0","0","4","0","1","1.376","0","0","1040046"
"47","4","126","199","11","1","0","0","0","0.576","0","1040047"
"48","4","0","0","0","4","0","1","0.923","0","0","1040048"
"49","4","199","353","11","1","0","0","0","0.785","0","1040049"
"50","4","0","0","0","4","0","1","2.285","0","0","1040050"
"1","5","0","0","0","4","0","3","1","0","0","1050001"
"2","5","0","0","0","2","vo_minigame_1005_nikki05_000","0","0","0","vo_minigame_1005","1050002"
"3","5","0","183","1","1","0","0","0","1.419","0","1050003"
"4","5","0","0","0","4","0","1","1.662","0","0","1050004"
"5","5","0","265","2","1","0","0","0","1.614","0","1050005"
"6","5","0","0","0","4","0","1","2.394","0","0","1050006"
"7","5","0","0","0","2","vo_minigame_1005_nikki05_001","0","0","0","vo_minigame_1005","1050007"
"8","5","0","394","3","1","0","0","0","2.658","0","1050008"
"9","5","0","0","0","4","0","1","3.202","0","0","1050009"
"10","5","0","0","0","2","vo_minigame_1005_nikki05_002","0","0","0","vo_minigame_1005","1050010"
"11","5","0","298","4","1","0","0","0","1.745","0","1050011"
"12","5","0","0","0","4","0","1","2.545","0","0","1050012"
"13","5","0","0","0","2","vo_minigame_1005_nikki05_003","0","0","0","vo_minigame_1005","1050013"
"14","5","0","115","5","1","0","0","0","0.964","0","1050014"
"15","5","0","0","0","4","0","1","1.34","0","0","1050015"
"16","5","115","394","5","1","0","0","0","1.919","0","1050016"
"17","5","0","0","0","4","0","1","2.719","0","0","1050017"
"18","5","0","0","0","2","vo_minigame_1005_nikki05_004","0","0","0","vo_minigame_1005","1050018"
"19","5","0","60","6","1","0","0","0","0.434","0","1050019"
"20","5","0","0","0","4","0","1","0.903","0","0","1050020"
"21","5","60","250","6","1","0","0","0","1.262","0","1050021"
"22","5","0","0","0","4","0","1","1.758","0","0","1050022"
"23","5","0","309","7","1","0","0","0","2.473","0","1050023"
"24","5","0","0","0","4","0","1","3.315","0","0","1050024"
"25","5","0","0","0","2","vo_minigame_1005_nikki05_005","0","0","0","vo_minigame_1005","1050025"
"26","5","0","82","8","1","0","0","0","0.509","0","1050026"
"27","5","0","0","0","4","0","1","0.988","0","0","1050027"
"28","5","82","364","8","1","0","0","0","1.775","0","1050028"
"29","5","0","0","0","4","0","1","2.507","0","0","1050029"
"30","5","0","0","0","2","vo_minigame_1005_nikki05_006","0","0","0","vo_minigame_1005","1050030"
"31","5","0","201","9","1","0","0","0","1.139","0","1050031"
"32","5","0","0","0","4","0","1","2.066","0","0","1050032"
"33","5","0","0","0","2","vo_minigame_1005_nikki05_007","0","0","0","vo_minigame_1005","1050033"
"34","5","0","94","10","1","0","0","0","0.665","0","1050034"
"35","5","0","0","0","4","0","1","1.144","0","0","1050035"
"36","5","94","271","10","1","0","0","0","1.389","0","1050036"
"37","5","0","0","0","4","0","1","1.789","0","0","1050037"
"38","5","271","376","10","1","0","0","0","0.823","0","1050038"
"39","5","0","0","0","4","0","1","2.023","0","0","1050039"
