bc5c28fa278183de163be1202abb6d2e3365d489302215d436a6b23c56e067f9,dad8675d7972ff36ff020f778f241166ed28f02afa6026131bb846c4e5ba8e8d,d41ecb7f0a7f55da945e2ca238bcf7ddab4ab2e9ce7e650c74edde434b59769c,81d97a6b52013fd7117f72689a0d8f5eda4523479118f0f90f375093aa1a8d1b,9187765281985a9ead95dc6df00dba95b0fadbdcf8f703b91ba3f9985512608e,1e8fbc064627fe39b51085cc63f4591b44538b6d237c60635984947be71be528
"1","10011004","4","124192","2","60000126"
"1","10011004","4","124251","2","60000127"
"1","10011004","4","124311","3","60000128"
"1","10011004","4","124342","3","60000129"
"1","10011004","4","124401","3","60000130"
"1","10011004","4","124431","3","60000131"
"1","10011004","4","124491","3","60000132"
"1","10011004","4","124521","3","60000133"
"1","10012098","2","31012","100","60000134"
"1","10012099","2","31038","100","60000135"
"1","62001045","2","60001","100","62001045"
"3","62001046","2","60002","100","62001046"
