9f9f49e705c3fcc496ee1b4e6135a72b8fba87d4c49290147a5a94eb27874b11,2ffdcc8052c51cf1ff8f79299a10c2c81b6dd47447f19bd58cf288d0ed50d717,da3ad098f74cc761edd1562f357a8c6caffcfa2f0b73f065bb257dee91626438,f1d165169ab67ced06cfe3a20bba40d1a700787cad44e8a3cb3e570140e8c82a,37cc0c487ef9796cc1fa2c8c811dcdb3e973fc1e68a57a07857b768aec397e9f,f7e3dc43b912783fddbd6cf36cc3086e0e6316a58c3ca3e57115c96b3d62201e,c2eeb55a39b91fbfee210fa7478641998e3477779fcbe4271be8482ff3f0d798,ca674059e30a05dd9af5b65d894f7bec041188d5e5ef81e796b13f0924233b6d,7b41b4b735ae8b46b9798692696511c615b007e238f893b40abf69f4dab1c1bc,c97a025b7b405105b57add34ac3642027cf030dcae755fdae3e98f475f97305d
"10059","1005","2025/01/31 12:00:00","2201005","3","3","2025/02/15 14:59:59","0","0","0"
"10060","1005","2025/02/15 15:00:00","0","1","1","2025/02/23 4:59:59","1012","1007","1007"
"10061","1005","2025/02/15 15:00:00","2015009","2","2","2025/02/23 4:59:59","1012","1007","1007"
"10062","1005","2025/02/15 15:00:00","2201005","3","3","2025/02/23 4:59:59","1012","1007","1007"
"10063","1001","2025/02/23 5:00:00","0","1","1","2025/02/28 11:59:59","1012","1007","1007"
"10064","1002","2025/02/23 5:00:00","2015009","2","2","2025/02/28 11:59:59","1012","1007","1007"
"10065","1003","2025/02/23 5:00:00","2201005","3","3","2025/02/28 11:59:59","1012","1007","1007"
"10066","1001","2025/02/28 12:00:00","0","1","1","2025/08/15 14:59:59","0","0","0"
"10067","1002","2025/02/28 12:00:00","2015009","2","2","2025/08/15 14:59:59","0","0","0"
"10068","1003","2025/02/28 12:00:00","2201005","3","3","2025/08/15 14:59:59","0","0","0"
"10069","1001","2025/08/15 15:00:00","0","1","1","2025/08/31 11:59:59","1013","0","0"
"10070","1002","2025/08/15 15:00:00","2015009","2","2","2025/08/31 11:59:59","1013","0","0"
"10071","1003","2025/08/15 15:00:00","2201005","3","3","2025/08/31 11:59:59","1013","0","0"
"10072","1001","2025/08/31 12:00:00","0","1","1","2026/02/15 14:59:59","0","0","0"
"10073","1002","2025/08/31 12:00:00","2015009","2","2","2026/02/15 14:59:59","0","0","0"
"10074","1003","2025/08/31 12:00:00","2201005","3","3","2026/02/15 14:59:59","0","0","0"
