adfca8b45739638dad6ef9881c6c8275b6f5c054af919cc3e905f6be45dfeea2,20d0e94cb87a9ab78b896f1f08cbd4cb83b1850e86d6aa7f1a09aeec6e80b786,6d9e4e0cc2d4df47a6e4fda63757f3ae7fd1cd79344104e369d4ae209d0c772a,9d399c0a7cae78e90c5c4c583f37e868c84c297a95437f817a56dc18b268e44b,e4af8cbd9a081c6f83a9a5c4e6da445707663aae06f8ab740d0082b8334c21a8
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407230","ＨＰ吸収ダウン","64"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407230","ＴＰダウンカット","65"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407240","火属性ボーナス特大アップ","66"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407240","ダメージ減衰","67"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407240","物理防御力（ダウン不可）アップ","68"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407240","魔法防御力（ダウン不可）アップ","69"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407240","ＴＰ上昇上限付与","70"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407240","ＨＰ吸収ダウン","71"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407240","ＴＰダウンカット","72"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407310","火属性ボーナス特大アップ","73"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407310","ダメージ減衰","74"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407310","物理防御力（ダウン不可）アップ","75"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407310","魔法防御力（ダウン不可）アップ","76"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407310","ＴＰ上昇上限付与","77"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407310","ＨＰ吸収ダウン","78"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407310","ＴＰダウンカット","79"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407320","火属性ボーナス特大アップ","80"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407320","ダメージ減衰","81"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407320","物理防御力（ダウン不可）アップ","82"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407320","魔法防御力（ダウン不可）アップ","83"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407320","ＴＰ上昇上限付与","84"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407320","ＨＰ吸収ダウン","85"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407320","ＴＰダウンカット","86"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407330","火属性ボーナス特大アップ","87"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407330","ダメージ減衰","88"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407330","物理防御力（ダウン不可）アップ","89"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407330","魔法防御力（ダウン不可）アップ","90"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407330","ＴＰ上昇上限付与","91"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407330","ＨＰ吸収ダウン","92"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407330","ＴＰダウンカット","93"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407340","火属性ボーナス特大アップ","94"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407340","ダメージ減衰","95"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407340","物理防御力（ダウン不可）アップ","96"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407340","魔法防御力（ダウン不可）アップ","97"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407340","ＴＰ上昇上限付与","98"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407340","ＨＰ吸収ダウン","99"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407340","ＴＰダウンカット","100"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408010","水属性ボーナス特大アップ","101"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408010","物理防御力（ダウン不可）アップ","102"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408010","魔法防御力（ダウン不可）アップ","103"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408010","ＴＰ上昇上限付与","104"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408010","ＨＰ吸収ダウン","105"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408020","水属性ボーナス特大アップ","106"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408020","物理防御力（ダウン不可）アップ","107"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408020","魔法防御力（ダウン不可）アップ","108"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408020","ＴＰ上昇上限付与","109"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408020","ＨＰ吸収ダウン","110"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408030","水属性ボーナス特大アップ","111"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408030","物理防御力（ダウン不可）アップ","112"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408030","魔法防御力（ダウン不可）アップ","113"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408030","ＴＰ上昇上限付与","114"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408030","ＨＰ吸収ダウン","115"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408110","水属性ボーナス特大アップ","116"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408110","物理防御力（ダウン不可）アップ","117"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408110","魔法防御力（ダウン不可）アップ","118"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408110","ＴＰダウンカット","119"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408110","ダメージ減衰","120"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408110","ＴＰ上昇上限付与","121"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408110","ＨＰ吸収ダウン","122"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408120","水属性ボーナス特大アップ","123"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408120","物理防御力（ダウン不可）アップ","124"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408120","魔法防御力（ダウン不可）アップ","125"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408120","ＴＰダウンカット","126"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408120","ダメージ減衰","127"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408120","ＴＰ上昇上限付与","128"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408120","ＨＰ吸収ダウン","129"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408130","水属性ボーナス特大アップ","130"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408130","物理防御力（ダウン不可）アップ","131"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408130","魔法防御力（ダウン不可）アップ","132"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408130","ＴＰダウンカット","133"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408130","ダメージ減衰","134"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408130","ＴＰ上昇上限付与","135"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408130","ＨＰ吸収ダウン","136"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408140","水属性ボーナス特大アップ","137"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408140","物理防御力（ダウン不可）アップ","138"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408140","魔法防御力（ダウン不可）アップ","139"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408140","ＴＰダウンカット","140"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408140","ダメージ減衰","141"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408140","ＴＰ上昇上限付与","142"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408140","ＨＰ吸収ダウン","143"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408210","水属性ボーナス特大アップ","144"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408210","物理防御力（ダウン不可）アップ","145"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408210","魔法防御力（ダウン不可）アップ","146"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408210","ＴＰダウンカット","147"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408210","ダメージ減衰","148"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408210","ＴＰ上昇上限付与","149"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408210","ＨＰ吸収ダウン","150"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408220","水属性ボーナス特大アップ","151"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408220","物理防御力（ダウン不可）アップ","152"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408220","魔法防御力（ダウン不可）アップ","153"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408220","ＴＰダウンカット","154"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408220","ダメージ減衰","155"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408220","ＴＰ上昇上限付与","156"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408220","ＨＰ吸収ダウン","157"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408230","水属性ボーナス特大アップ","158"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408230","物理防御力（ダウン不可）アップ","159"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408230","魔法防御力（ダウン不可）アップ","160"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408230","ＴＰダウンカット","161"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408230","ダメージ減衰","162"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408230","ＴＰ上昇上限付与","163"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408230","ＨＰ吸収ダウン","164"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408240","水属性ボーナス特大アップ","165"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408240","物理防御力（ダウン不可）アップ","166"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408240","魔法防御力（ダウン不可）アップ","167"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408240","ＴＰダウンカット","168"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408240","ダメージ減衰","169"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408240","ＴＰ上昇上限付与","170"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408240","ＨＰ吸収ダウン","171"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408310","水属性ボーナス特大アップ","172"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408310","物理防御力（ダウン不可）アップ","173"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408310","魔法防御力（ダウン不可）アップ","174"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408310","ＴＰダウンカット","175"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408310","ダメージ減衰","176"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408310","ＴＰ上昇上限付与","177"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408310","ＨＰ吸収ダウン","178"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408320","水属性ボーナス特大アップ","179"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408320","物理防御力（ダウン不可）アップ","180"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408320","魔法防御力（ダウン不可）アップ","181"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408320","ＴＰダウンカット","182"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408320","ダメージ減衰","183"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408320","ＴＰ上昇上限付与","184"
