190e190395d916aa225dfb7830e369c2e996b524e3ee005b8512f4c738668731,e68f394facb90f9ce5717a440b2fe057e6cf991873424ad0b0a268d908142be1,4f4b928f5c30f67797a6f266d3db327246f6cef67e73a269ae3fee88b7f220ca,53713e728b16a83f6eae77803f45e793cb07a232e93d23007a5cef95cf5b6373,53147403c9390aa61e8d254ce851e21c51a40d7c07ae49c09414b8906e859af2,f0cbeab554a43db216d63b7b14f3c2063cd5115e331b8fec5d2942520676cade,e6b55b42d8074bd1d580a1a914c3ba33126428c5f3bae2061e1095d7bd4a05e5,fa7e611d579eb9067e15d2a40ca723f4858930cbcde8b3dbbf611adb34321217,0abb1889bc970c85d2e75d56470a88f4e45bae595327fe8233b09b8b66966fea,52c769a9c4fe1165c733ed75fe661a667ca4ef31e126b3dddf926d3fa5673ae9,d6ef1d04407779239fe40899a3c98bd38055b82af6a3eb86ef34226969457974
"1002002","-570","","1","211","-165","10012","31","0.68","0","102110021"
"1002003","-640","","1","211","-255","10012","31","0.68","0","102110022"
"1002004","-710","","1","211","-165","10012","31","0.68","0","102110023"
"1002005","-780","","1","211","-240","10012","31","0.68","0","102110024"
"10030","0","","0","211","0","10030","31","1","","102110025"
"10031","0","","0","211","0","10031","31","1","","102110026"
"0","","","","211","","","91","","","102110027"
"1","","","","211","","10030","32","","","102110028"
"0","","","","211","","0","91","","","102110029"
"<weapon>_run","1","","0","211","","1001001","3","0","","102110030"
"<weapon>_run","1","","0","211","","1001002","3","0","","102110031"
"<weapon>_run","1","","0","211","","1001003","3","0","","102110032"
"<weapon>_run","1","","0","211","","1001004","3","0","","102110033"
"<weapon>_run","1","","0","211","","1001005","3","0","","102110034"
"850","-90","","","211","3","1001001","2","0","","102110035"
"780","-15","","","211","3","1001002","2","0","","102110036"
"710","-105","","","211","3","1001003","2","0","","102110037"
"640","-15","","","211","3","1001004","2","0","","102110038"
"570","-90","","","211","3","1001005","2","0","","102110039"
"850","-90","","","211","3","1001001","33","0","","102110040"
"780","-15","","","211","3","1001002","33","0","","102110041"
"710","-105","","","211","3","1001003","33","0","","102110042"
"640","-15","","","211","3","1001004","33","0","","102110043"
"570","-90","","","211","3","1001005","33","0","","102110044"
"<weapon>_run","1","","0","211","","1002001","3","0","","102110045"
"<weapon>_run","1","","0","211","","1002002","3","0","","102110046"
"<weapon>_run","1","","0","211","","1002003","3","0","","102110047"
"<weapon>_run","1","","0","211","","1002004","3","0","","102110048"
"<weapon>_run","1","","0","211","","1002005","3","0","","102110049"
"450","-240","","","211","3","1002001","2","0","","102110050"
"380","-165","","","211","3","1002002","2","0","","102110051"
"310","-255","","","211","3","1002003","2","0","","102110052"
"240","-165","","","211","3","1002004","2","0","","102110053"
"170","-240","","","211","3","1002005","2","0","","102110054"
"450","-240","","","211","3","1002001","33","0","","102110055"
"380","-165","","","211","3","1002002","33","0","","102110056"
"310","-255","","","211","3","1002003","33","0","","102110057"
"240","-165","","","211","3","1002004","33","0","","102110058"
"170","-240","","","211","3","1002005","33","0","","102110059"
"1","","","","211","","10020","32","","","102110060"
"0","","","","211","","2.5","93","","","102110061"
"1","","","","211","","10031","32","","","102110062"
"0","","","","211","","0.4","93","","","102110063"
"0","","","","211","","0","91","","","102110064"
"se_travel_start_3pt","0","","","311","","se_travel","23","","","103110001"
"10010","0","","1","311","0","10010","31","1","","103110002"
"10011","0","","1","311","0","10011","31","1","","103110003"
"10020","0","","0","311","0","10020","31","1","","103110004"
"1001001","62","<weapon>_idle","0.68","311","0","2","1","-240","0","103110005"
"1001002","61","<weapon>_idle","0.68","311","-70","2","1","-165","0","103110006"
"1001003","63","<weapon>_idle","0.68","311","-140","2","1","-255","0","103110007"
"1001004","61","<weapon>_idle","0.68","311","-210","2","1","-165","0","103110008"
"1001005","62","<weapon>_idle","0.68","311","-280","2","1","-240","0","103110009"
"1001001","0","","1","311","-240","10012","31","0.68","0","103110010"
"1001002","-70","","1","311","-165","10012","31","0.68","0","103110011"
"1001003","-140","","1","311","-255","10012","31","0.68","0","103110012"
"1001004","-210","","1","311","-165","10012","31","0.68","0","103110013"
"1001005","-280","","1","311","-240","10012","31","0.68","0","103110014"
"1002001","52","<weapon>_idle","0.68","311","-250","2","1","-60","0","103110015"
"1002002","51","<weapon>_idle","0.68","311","-320","2","1","15","0","103110016"
"1002003","53","<weapon>_idle","0.68","311","-390","2","1","-75","0","103110017"
"1002004","51","<weapon>_idle","0.68","311","-460","2","1","15","0","103110018"
"1002005","52","<weapon>_idle","0.68","311","-530","2","1","-60","0","103110019"
"1002001","-250","","1","311","-60","10012","31","0.68","0","103110020"
"1002002","-320","","1","311","15","10012","31","0.68","0","103110021"
"1002003","-390","","1","311","-75","10012","31","0.68","0","103110022"
"1002004","-460","","1","311","15","10012","31","0.68","0","103110023"
"1002005","-530","","1","311","-60","10012","31","0.68","0","103110024"
"1003001","62","<weapon>_idle","0.68","311","-500","2","1","-250","0","103110025"
"1003002","61","<weapon>_idle","0.68","311","-570","2","1","-175","0","103110026"
"1003003","63","<weapon>_idle","0.68","311","-640","2","1","-265","0","103110027"
"1003004","61","<weapon>_idle","0.68","311","-710","2","1","-175","0","103110028"
"1003005","62","<weapon>_idle","0.68","311","-780","2","1","-250","0","103110029"
"1003001","-500","","1","311","-250","10012","31","0.68","0","103110030"
"1003002","-570","","1","311","-175","10012","31","0.68","0","103110031"
"1003003","-640","","1","311","-265","10012","31","0.68","0","103110032"
"1003004","-710","","1","311","-175","10012","31","0.68","0","103110033"
"1003005","-780","","1","311","-250","10012","31","0.68","0","103110034"
"10030","0","","0","311","0","10030","31","1","","103110035"
"10031","0","","0","311","0","10031","31","1","","103110036"
"0","","","","311","","","91","","","103110037"
"1","","","","311","","10030","32","","","103110038"
"0","","","","311","","0","91","","","103110039"
"<weapon>_run","1","","0","311","","1001001","3","0","","103110040"
"<weapon>_run","1","","0","311","","1001002","3","0","","103110041"
"<weapon>_run","1","","0","311","","1001003","3","0","","103110042"
"<weapon>_run","1","","0","311","","1001004","3","0","","103110043"
"<weapon>_run","1","","0","311","","1001005","3","0","","103110044"
"950","-240","","","311","3","1001001","2","0","","103110045"
"880","-165","","","311","3","1001002","2","0","","103110046"
"810","-255","","","311","3","1001003","2","0","","103110047"
"740","-165","","","311","3","1001004","2","0","","103110048"
"670","-240","","","311","3","1001005","2","0","","103110049"
"950","-240","","","311","3","1001001","33","0","","103110050"
"880","-165","","","311","3","1001002","33","0","","103110051"
"810","-255","","","311","3","1001003","33","0","","103110052"
"740","-165","","","311","3","1001004","33","0","","103110053"
"670","-240","","","311","3","1001005","33","0","","103110054"
"<weapon>_run","1","","0","311","","1002001","3","0","","103110055"
"<weapon>_run","1","","0","311","","1002002","3","0","","103110056"
"<weapon>_run","1","","0","311","","1002003","3","0","","103110057"
"<weapon>_run","1","","0","311","","1002004","3","0","","103110058"
"<weapon>_run","1","","0","311","","1002005","3","0","","103110059"
"700","-60","","","311","3","1002001","2","0","","103110060"
"630","15","","","311","3","1002002","2","0","","103110061"
"560","-75","","","311","3","1002003","2","0","","103110062"
"490","15","","","311","3","1002004","2","0","","103110063"
"420","-60","","","311","3","1002005","2","0","","103110064"
"700","-60","","","311","3","1002001","33","0","","103110065"
"630","15","","","311","3","1002002","33","0","","103110066"
"560","-75","","","311","3","1002003","33","0","","103110067"
"490","15","","","311","3","1002004","33","0","","103110068"
"420","-60","","","311","3","1002005","33","0","","103110069"
"<weapon>_run","1","","0","311","","1003001","3","0","","103110070"
"<weapon>_run","1","","0","311","","1003002","3","0","","103110071"
"<weapon>_run","1","","0","311","","1003003","3","0","","103110072"
"<weapon>_run","1","","0","311","","1003004","3","0","","103110073"
"<weapon>_run","1","","0","311","","1003005","3","0","","103110074"
"450","-250","","","311","3","1003001","2","0","","103110075"
"380","-175","","","311","3","1003002","2","0","","103110076"
"310","-265","","","311","3","1003003","2","0","","103110077"
"240","-175","","","311","3","1003004","2","0","","103110078"
"170","-250","","","311","3","1003005","2","0","","103110079"
"450","-250","","","311","3","1003001","33","0","","103110080"
"380","-175","","","311","3","1003002","33","0","","103110081"
"310","-265","","","311","3","1003003","33","0","","103110082"
"240","-175","","","311","3","1003004","33","0","","103110083"
"170","-250","","","311","3","1003005","33","0","","103110084"
"1","","","","311","","10020","32","","","103110085"
"0","","","","311","","2.5","93","","","103110086"
"1","","","","311","","10031","32","","","103110087"
"0","","","","311","","0.4","93","","","103110088"
"0","","","","311","","0","91","","","103110089"
