583ff7e20f969b1ce2dc1de78de626142b3d6dd1bca66fc6bbaa592a0e8b98de,90494b2e34cd0f6fb7c47853afc74959ae42f6cccf6883510a0f1202f3e8b627,283ee31f3400600f4aa6376e0d122c76e3b49ababdcd66860ee91baf44f5e86d,9c58773d1fcc80493a5a26638b821ad6ce0a5ff88e4a6bb36ad6e354c5380fd5,258c69b9e131123dabfd9dbb57de0dbb838c3af13246262b21ca59ca3f4c951f,62a12fd7dd52244eda2132a8df1b3a50aacdf09f7fec93ac57d17f117a4bf025,dbb7b91a98015056cd5e4665e425483ed3a6b70c3b584ee621c8e0654af7669c,05abaae74c853a4d03b3968a5eb46d902384df4c57a67e72342119d6d630ecd0,316a60819121b5fabd1d3babd79bd3c4f8cb680cdf7ea95917b5b8375baaf27d,c890d7512b403bd70c5547e3f0ef5d4180d00207e09651f0741ad8567311e076,6d44a9f0576db7904c656ee15bd85c90e5870078ad2e0c03eff8d9c6faa1f4ce,f63dfce80c2c6ff0fdbde5592ae22d755eecfece383464f5c03ad1587208dae3
"2","99999999","1","0","0","3","13000002","0","0","【トゥインクルウィッシュ】のキャラから3人選んで仲間にできる。","1","【トゥインクルウィッシュ】のセレクトサイン"
"3","99999999","1","0","0","3","13000003","0","0","【ラビリンス】のキャラから3人選んで仲間にできる。","1","【ラビリンス】のセレクトサイン"
"4","99999999","1","0","0","3","13000004","0","0","【カルミナ】のキャラから3人選んで仲間にできる。","1","【カルミナ】のセレクトサイン"
"7","99999999","1","0","0","3","13000007","0","0","【悪魔偽王国軍（ディアボロス）】のキャラから3人選んで仲間にできる。","1","【悪魔偽王国軍（ディアボロス）】のセレクトサイン"
"8","99999999","1","0","0","3","13000008","0","0","【王宮騎士団（NIGHTMARE）】のキャラから3人選んで仲間にできる。","1","【王宮騎士団（NIGHTMARE）】のセレクトサイン"
"9","99999999","1","0","0","3","13000009","0","0","【サレンディア救護院】のキャラから3人選んで仲間にできる。","1","【サレンディア救護院】のセレクトサイン"
"11","99999999","1","0","0","3","13000011","0","0","【牧場（エリザベスパーク）】のキャラから3人選んで仲間にできる。","1","【牧場（エリザベスパーク）】のセレクトサイン"
"12","99999999","1","0","0","3","13000012","0","0","【メルクリウス財団】のキャラから3人選んで仲間にできる。","1","【メルクリウス財団】のセレクトサイン"
"13","99999999","1","0","0","3","13000013","0","0","【トワイライトキャラバン】のキャラから3人選んで仲間にできる。","1","【トワイライトキャラバン】のセレクトサイン"
"0","99999999","2","0","0","1","21000000","0","0","","0","バトル報酬ランダムサイン"
"0","99999999","3","0","0","1","31000000","0","0","全対象のキャラからランダムに1人仲間にできる。","0","全対象のランダムサイン"
"0","1800","3","0","999","1","31000999","0","0","プリンセスフェスのキャラからランダムに1人仲間にできる。","0","プリンセスフェスのランダムサイン"
"0","1200","3","0","0","1","31001000","1","0","アタッカーロールのキャラからランダムに1人仲間にできる。","0","アタッカーロールのランダムサイン"
"0","1200","3","0","0","1","31002000","2","0","ブレイカーロールのキャラからランダムに1人仲間にできる。","0","ブレイカーロールのランダムサイン"
"0","1200","3","0","0","1","31003000","3","0","バッファーロールのキャラからランダムに1人仲間にできる。","0","バッファーロールのランダムサイン"
"0","1200","3","0","0","1","31004000","4","0","デバッファーロールのキャラからランダムに1人仲間にできる。","0","デバッファーロールのランダムサイン"
"0","1200","3","0","0","1","31005000","5","0","ブースターロールのキャラからランダムに1人仲間にできる。","0","ブースターロールのランダムサイン"
"0","1200","3","0","0","1","31006000","6","0","ヒーラーロールのキャラからランダムに1人仲間にできる。","0","ヒーラーロールのランダムサイン"
"0","1200","3","0","0","1","31007000","7","0","タンクロールのキャラからランダムに1人仲間にできる。","0","タンクロールのランダムサイン"
"0","1200","3","0","0","1","31008000","8","0","ジャマーロールのキャラからランダムに1人仲間にできる。","0","ジャマーロールのランダムサイン"
"0","99999999","3","0","40005","1","31040005","0","0","ラビリスタを仲間にできる。","0","ラビリスタサイン"
"0","99999999","3","0","40006","1","31040006","0","0","ジュンを仲間にできる。","0","ジュンサイン"
"0","1200","3","1","0","1","31100000","0","0","火属性のキャラからランダムに1人仲間にできる。","0","火属性のランダムサイン"
"0","1200","3","2","0","1","31200000","0","0","水属性のキャラからランダムに1人仲間にできる。","0","水属性のランダムサイン"
"0","1200","3","3","0","1","31300000","0","0","風属性のキャラからランダムに1人仲間にできる。","0","風属性のランダムサイン"
"0","1200","3","4","0","1","31400000","0","0","光属性のキャラからランダムに1人仲間にできる。","0","光属性のランダムサイン"
"0","1200","3","5","0","1","31500000","0","0","闇属性のキャラからランダムに1人仲間にできる。","0","闇属性のランダムサイン"
