089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe,12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8
"1","","0.2","3","","","9","","1090008","113411","pkb_talk_joy3"
"","","","91","","","9","","1090009","1090004",""
"1","","0.2","3","","","9","","1090010","113411","pkb_idle_normal"
"100","-175","1.65","1","64","1","10","pkb_idle_normal","1100001","1","106531"
"0","1","0.2","3","pkb_idle_arm_crossed","","10","","1100002","106531","pkb_talk_arm_crossed"
"0","","","21","0","","10","","1100003","vo_minigame_1006","vo_minigame_1006_top_301"
"8","0","0","11","0","0","10","0","1100004","106531","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！"
"","","","93","","","10","","1100005","2.8",""
"1","","0.2","3","","","10","","1100006","106531","pkb_talk_joy1"
"","","","91","","","10","","1100007","1100004",""
"1","","0.2","3","","","10","","1100008","106531","pkb_idle_normal"
"100","-175","1.65","1","64","1","11","pkb_idle_normal","1110001","1","106531"
"1","","0.2","3","","","11","","1110002","106531","pkb_talk_normal"
"0","","","21","0","","11","","1110003","vo_minigame_1006","vo_minigame_1006_top_302"
"8","0","0","11","0","0","11","0","1110004","106531","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？"
"","","","93","","","11","","1110005","3.2",""
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","11","","1110006","106531","pkb_talk_arm_crossed"
"","","","91","","","11","","1110007","1110004",""
"1","","0.2","3","","","11","","1110008","106531","pkb_idle_normal"
"100","-175","1.65","1","64","1","12","pkb_idle_normal","1120001","1","106531"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","12","","1120002","106531","pkb_talk_arm_crossed"
"0","","","21","0","","12","","1120003","vo_minigame_1006","vo_minigame_1006_top_303"
"8","0","0","11","0","0","12","0.5","1120004","106531","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？"
"","","","93","","","12","","1120005","3.2",""
"0","1","0.2","3","pkb_idle_doya","","12","","1120006","106531","pkb_talk_doya"
"","","","91","","","12","","1120007","1120004",""
"1","","0.2","3","","","12","","1120008","106531","pkb_idle_normal"
"100","-175","1.65","1","64","1","13","pkb_idle_normal","1130001","1","102311"
"0","1","0.2","3","pkb_talk_joy1","0.4","13","","1130002","102311","pkb_talk_fun"
"0","","","21","0","","13","","1130003","vo_minigame_1006","vo_minigame_1006_top_401"
"8","0","0","11","0","0","13","0","1130004","102311","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！"
"","","","91","","","13","","1130005","1130004",""
"1","","0.2","3","","","13","","1130006","102311","pkb_idle_normal"
"100","-175","1.65","1","64","1","14","pkb_idle_normal","1140001","1","102311"
"1","","0.2","3","","","14","","1140002","102311","pkb_talk_joy1"
"0","","","21","0","","14","","1140003","vo_minigame_1006","vo_minigame_1006_top_402"
"8","0","0","11","0","0","14","0","1140004","102311","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！"
"","","","93","","","14","","1140005","3",""
"0","1","0.2","3","pkb_idle_doya","","14","","1140006","102311","pkb_talk_doya"
"","","","91","","","14","","1140007","1140004",""
"1","","0.2","3","","","14","","1140008","102311","pkb_idle_normal"
"100","-175","1.65","1","64","1","15","pkb_idle_normal","1150001","1","102311"
"1","","0.2","3","","","15","","1150002","102311","pkb_talk_wish"
"0","","","21","0","","15","","1150003","vo_minigame_1006","vo_minigame_1006_top_403"
"8","0","0","11","0","0","15","-0.5","1150004","102311","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！"
"","","","93","","","15","","1150005","2.4",""
"0","1","0.2","3","pkb_talk_joy1","0.4","15","","1150006","102311","pkb_talk_fun"
"","","","91","","","15","","1150007","1150004",""
"1","","0.2","3","","","15","","1150008","102311","pkb_idle_normal"
"100","-155","57","5","64","1","16","pkb_idle_normal_l","1160001","1","1"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","16","","1160002","1","pkb_talk_arm_crossed_l"
"0","","","21","0","","16","","1160003","vo_minigame_1006","vo_minigame_1006_top_701"
"8","0","0","11","0","0","16","0","1160004","1","全国大会を目指して\n今日も練習頑張ろう！"
"","","","93","","","16","","1160005","2.6",""
"0","1","0.2","3","pkb_idle_doya_l","0.2","16","","1160006","1","pkb_talk_doya_l"
"","","","91","","","16","","1160007","1160004",""
"1","","0.2","3","","","16","","1160008","1","pkb_idle_normal_l"
"100","-155","57","5","64","1","17","pkb_idle_normal_l","1170001","1","1"
"0","1","0.2","3","pkb_idle_guts_l","","17","","1170002","1","pkb_talk_guts_l"
"0","","","21","0","","17","","1170003","vo_minigame_1006","vo_minigame_1006_top_702"
"8","0","0","11","0","0","17","0","1170004","1","夢を叶えるために\n全力で練習に\n取り組もう！"
"","","","91","","","17","","1170005","0",""
"1","","0.2","3","","","17","","1170006","1","pkb_idle_normal_l"
"100","-155","57","5","64","1","18","pkb_idle_normal_l","1180001","1","1"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","18","","1180002","1","pkb_talk_arm_crossed_l"
"0","","","21","0","","18","","1180003","vo_minigame_1006","vo_minigame_1006_top_703"
"8","0","0","11","0","0","18","0","1180004","1","部員のみんなも\nすごく上達してる…\n俺も負けてられない！"
"","","","93","","","18","","1180005","2.9",""
"0","1","0.2","3","pkb_idle_guts_l","","18","","1180006","1","pkb_talk_guts_l"
"","","","91","","","18","","1180007","1180004",""
"1","","0.2","3","","","18","","1180008","1","pkb_idle_normal_l"
"100","-155","57","5","64","1","19","pkb_idle_normal_l","1190001","2","2"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","19","","1190002","2","pkb_talk_arm_crossed_l"
"0","","","21","0","","19","","1190003","vo_minigame_1006","vo_minigame_1006_top_801"
"8","0","0","11","0","0","19","0","1190004","2","上達してるってとこ\n見せてやる\nオレだって選手なんだ"
"","","","93","","","19","","1190005","3.8",""
"0","1","0.2","3","pkb_idle_guts_l","","19","","1190006","2","pkb_talk_guts_l"
"","","","91","","","19","","1190007","1190004",""
"1","","0.2","3","","","19","","1190008","2","pkb_idle_normal_l"
"100","-155","57","5","64","1","20","pkb_idle_normal_l","1200001","2","2"
"0","1","0.2","3","pkb_idle_guts_l","","20","","1200002","2","pkb_talk_guts_l"
"0","","","21","0","","20","","1200003","vo_minigame_1006","vo_minigame_1006_top_802"
"8","0","0","11","0","0","20","0","1200004","2","今日もかっとばす\n遠慮せず全力で\nかかってこい"
"","","","93","","","20","","1200005","3.2",""
"0","1","0.2","3","pkb_idle_doya_l","","20","","1200006","2","pkb_talk_doya_l"
"","","","91","","","20","","1200007","1200004",""
"1","","0.2","3","","","20","","1200008","2","pkb_idle_normal_l"
"100","-155","57","5","64","1","21","pkb_idle_normal_l","1210001","2","2"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","21","","1210002","2","pkb_talk_arm_crossed_l"
"0","","","21","0","","21","","1210003","vo_minigame_1006","vo_minigame_1006_top_803"
"8","0","0","11","0","0","21","0","1210004","2","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな"
"","","","91","","","21","","1210005","0",""
"1","","0.2","3","","","21","","1210006","2","pkb_idle_normal_l"
"100","-150","1.6","1","-20","0","22","pkb_idle_normal","1220001","1","113511"
"100","-150","1.6","1","170","1","22","pkb_idle_normal","1220002","1","113411"
"1","","0.2","3","","","22","","1220003","113511","pkb_talk_joy1"
"0","","","21","0","","22","","1220004","vo_minigame_1006","vo_minigame_1006_top_talk_1_101"
"6","0","0","11","0","0","22","-0.5","1220005","113511","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪"
"","","","91","","","22","","1220006","0",""
"1","","0.2","3","","","22","","1220007","113511","pkb_idle_normal"
"1","","0.2","3","","","22","","1220008","113411","pkb_talk_joy1"
"0","","","21","0","","22","","1220009","vo_minigame_1006","vo_minigame_1006_top_talk_1_202"
"6","0","0","11","0","0","22","-0.5","1220010","113411","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！"
"","","","93","","","22","","1220011","4",""
"0","1","0.2","3","pkb_idle_normal","0","22","","1220012","113411","pkb_talk_handsup"
"","","","91","","","22","","1220013","1220010",""
"1","","0.2","3","","","22","","1220014","113411","pkb_idle_normal"
"100","-150","1.6","1","170","1","23","pkb_idle_normal","1230001","1","113411"
"100","-150","1.6","1","-20","0","23","pkb_idle_normal","1230002","1","113511"
"1","","0.2","3","","","23","","1230003","113411","pkb_talk_normal"
"0","","","21","0","","23","","1230004","vo_minigame_1006","vo_minigame_1006_top_talk_2_201"
"8","0","0","11","0","0","23","-1.5","1230005","113411","ミサト先生も一緒に\n応援しようよ！"
"","","","91","","","23","","1230006","0",""
"1","","0.2","3","","","23","","1230007","113411","pkb_idle_normal"
"1","","0.2","3","","","23","","1230008","113511","pkb_talk_normal"
"0","","","21","0","","23","","1230009","vo_minigame_1006","vo_minigame_1006_top_talk_2_102"
"5","0","0","11","0","0","23","3","1230010","113511","あらあら\n楽しそうね～♪\nフレーフレー！"
"","","","93","","","23","","1230011","4",""
"0","0","0.2","3","pkb_talk_fun","0.2","23","","1230012","113511","pkb_talk_fun"
"","","","93","","","23","","1230013","2.7",""
"0","1","0.2","3","pkb_talk_joy1","0.2","23","","1230014","113511","pkb_idle_normal"
"","","","91","","","23","","1230015","1230010",""
"1","","0.2","3","","","23","","1230016","113511","pkb_idle_normal"
"100","-150","1.6","1","170","1","24","pkb_idle_normal","1240001","1","113511"
"100","-130","55","5","-20","0","24","pkb_idle_normal","1240002","3","3"
"1","","0.2","3","","","24","","1240003","113511","pkb_talk_joy3"
"0","","","21","0","","24","","1240004","vo_minigame_1006","vo_minigame_1006_top_talk_3_101"
"6","0","0","11","0","0","24","-1","1240005","113511","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？"
"","","","93","","","24","","1240006","4",""
"1","","0.2","3","","","24","","1240007","113511","pkb_talk_wish"
"","","","91","","","24","","1240008","1240005",""
"1","","0.2","3","","","24","","1240009","113511","pkb_idle_normal"
"1","","0.2","3","","","24","","1240010","3","pkb_talk_normal"
"0","","","21","0","","24","","1240011","vo_minigame_1006","vo_minigame_1006_top_talk_3_602"
"6","0","0","11","0","0","24","-1","1240012","3","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！"
"","","","93","","","24","","1240013","2",""
"0","1","0.2","3","pkb_idle_doya","","24","","1240014","3","pkb_talk_doya"
"","","","91","","","24","","1240015","1240012",""
"1","","0.2","3","","","24","","1240016","3","pkb_idle_normal"
"100","-130","55","5","-20","0","25","pkb_idle_normal","1250001","3","3"
"100","-150","1.6","1","170","1","25","pkb_idle_normal","1250002","1","113511"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","25","","1250003","3","pkb_talk_arm_crossed"
"0","","","21","0","","25","","1250004","vo_minigame_1006","vo_minigame_1006_top_talk_4_601"
"8","0","0","11","0","0","25","-0.5","1250005","3","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！"
"","","","93","","","25","","1250006","3",""
"0","1","0.2","3","pkb_idle_guts","","25","","1250007","3","pkb_talk_guts"
"","","","91","","","25","","1250008","1250005",""
"1","","0.2","3","","","25","","1250009","3","pkb_idle_normal"
"1","","0.2","3","","","25","","1250010","113511","pkb_talk_wish"
"0","","","21","0","","25","","1250011","vo_minigame_1006","vo_minigame_1006_top_talk_4_102"
"6","0","0","11","0","0","25","1","1250012","113511","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪"
"","","","93","","","25","","1250013","5.6",""
"0","1","0.2","3","pkb_idle_normal","0.2","25","","1250014","113511","pkb_talk_handsup"
"","","","91","","","25","","1250015","0",""
"1","","0.2","3","","","25","","1250016","113511","pkb_idle_normal"
"100","-150","1.6","1","170","1","26","pkb_idle_normal","1260001","1","113511"
"100","-130","55","5","-20","0","26","pkb_idle_normal","1260002","1","1"
"1","","0.2","3","","","26","","1260003","113511","pkb_talk_joy3"
"0","","","21","0","","26","","1260004","vo_minigame_1006","vo_minigame_1006_top_talk_5_101"
"6","0","0","11","0","0","26","0","1260005","113511","ふふ、先生も\n練習のお手伝いを\nしますからね～"
"","","","91","","","26","","1260006","0",""
"1","","0.2","3","","","26","","1260007","113511","pkb_idle_normal"
"0","1","0.2","3","pkb_idle_guts","0.2","26","","1260008","1","pkb_talk_guts"
"0","","","21","0","","26","","1260009","vo_minigame_1006","vo_minigame_1006_top_talk_5_702"
"8","0","0","11","0","0","26","-1","1260010","1","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！"
"","","","91","","","26","","1260011","0",""
"1","","0.2","3","","","26","","1260012","1","pkb_idle_normal"
"100","-130","55","5","-20","0","27","pkb_idle_normal","1270001","1","1"
"100","-150","1.6","1","170","1","27","pkb_idle_normal","1270002","1","113511"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","27","","1270003","1","pkb_talk_arm_crossed"
"0","","","21","0","","27","","1270004","vo_minigame_1006","vo_minigame_1006_top_talk_6_701"
"8","0","0","11","0","0","27","-0.5","1270005","1","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！"
"","","","93","","","27","","1270006","2.6",""
"0","1","0.2","3","pkb_idle_guts","0.2","27","","1270007","1","pkb_talk_guts"
"","","","91","","","27","","1270008","1270005",""
"1","","0.2","3","","","27","","1270009","1","pkb_idle_normal"
"1","","0.2","3","","","27","","1270010","113511","pkb_talk_joy3"
"0","","","21","0","","27","","1270011","vo_minigame_1006","vo_minigame_1006_top_talk_6_102"
"6","0","0","11","0","0","27","0.5","1270012","113511","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪"
"","","","93","","","27","","1270013","4",""
"1","","0.2","3","","","27","","1270014","113511","pkb_talk_wish"
"","","","91","","","27","","1270015","1270012",""
"1","","0.2","3","","","27","","1270016","113511","pkb_idle_normal"
"100","-150","1.6","1","170","1","28","pkb_idle_normal","1280001","1","113411"
"100","-130","55","5","-20","0","28","pkb_idle_normal","1280002","3","3"
"0","1","0.2","3","pkb_talk_joy1","0.2","28","","1280003","113411","pkb_talk_yell"
"0","","","21","0","","28","","1280004","vo_minigame_1006","vo_minigame_1006_top_talk_7_201"
"8","0","0","11","0","0","28","-0.5","1280005","113411","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！"
"","","","93","","","28","","1280006","4.6",""
"0","1","0.2","3","pkb_idle_normal","0.2","28","","1280007","113411","pkb_talk_fun"
"","","","91","","","28","","1280008","1280005",""
"1","","0.2","3","","","28","","1280009","113411","pkb_idle_normal"
"0","1","0.2","3","pkb_idle_guts","","28","","1280010","3","pkb_talk_guts"
"0","","","21","0","","28","","1280011","vo_minigame_1006","vo_minigame_1006_top_talk_7_602"
"8","0","0","11","0","0","28","0","1280012","3","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！"
"","","","93","","","28","","1280013","5",""
"0","1","0.2","3","pkb_idle_normal","","28","","1280014","3","pkb_talk_handsup"
"","","","91","","","28","","1280015","1280012",""
"1","","0.2","3","","","28","","1280016","3","pkb_idle_normal"
"100","-130","55","5","-20","0","29","pkb_idle_normal","1290001","3","3"
"100","-150","1.6","1","170","1","29","pkb_idle_normal","1290002","1","113411"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","29","","1290003","3","pkb_talk_arm_crossed"
"0","","","21","0","","29","","1290004","vo_minigame_1006","vo_minigame_1006_top_talk_8_601"
"8","0","0","11","0","0","29","-1","1290005","3","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！"
"","","","93","","","29","","1290006","2.8",""
"0","1","0.2","3","pkb_idle_guts","","29","","1290007","3","pkb_talk_guts"
"","","","91","","","29","","1290008","1290005",""
"1","","0.2","3","","","29","","1290009","3","pkb_idle_normal"
"1","","0.2","3","","","29","","1290010","113411","pkb_talk_joy1"
"0","","","21","0","","29","","1290011","vo_minigame_1006","vo_minigame_1006_top_talk_8_202"
"8","0","0","11","0","0","29","-0.5","1290012","113411","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！"
"","","","93","","","29","","1290013","2.2",""
"0","0","0.2","3","pkb_smile","0.4","29","","1290014","113411","pkb_talk_fun"
"","","","93","","","29","","1290015","2.2",""
"1","","0.2","3","","","29","","1290016","113411","pkb_idle_normal"
"","","","91","","","29","","1290017","1290012",""
"1","","0.2","3","","","29","","1290018","113411","pkb_idle_normal"
"100","-150","1.6","1","170","1","30","pkb_idle_normal","1300001","1","113411"
"100","-130","55","5","-20","0","30","pkb_idle_normal","1300002","1","1"
"1","","0.2","3","","","30","","1300003","113411","pkb_talk_joy1"
"0","","","21","0","","30","","1300004","vo_minigame_1006","vo_minigame_1006_top_talk_9_201"
"8","0","0","11","0","0","30","1","1300005","113411","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！"
"","","","93","","","30","","1300006","5",""
"0","1","0.2","3","pkb_idle_normal","","30","","1300007","113411","pkb_talk_handsup"
"","","","91","","","30","","1300008","1300005",""
"1","","0.2","3","","","30","","1300009","113411","pkb_idle_normal"
"1","","0.2","3","","","30","","1300010","1","pkb_talk_normal"
"0","","","21","0","","30","","1300011","vo_minigame_1006","vo_minigame_1006_top_talk_9_702"
"8","0","0","11","0","0","30","-1","1300012","1","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！"
"","","","93","","","30","","1300013","3.3",""
"0","1","0.2","3","pkb_idle_guts","","30","","1300014","1","pkb_talk_guts"
"","","","91","","","30","","1300015","1300012",""
"1","","0.2","3","","","30","","1300016","1","pkb_idle_normal"
"100","-130","55","5","-20","0","31","pkb_idle_normal","1310001","1","1"
"100","-150","1.6","1","170","1","31","pkb_idle_normal","1310002","1","113411"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","31","","1310003","1","pkb_talk_arm_crossed"
"0","","","21","0","","31","","1310004","vo_minigame_1006","vo_minigame_1006_top_talk_10_701"
"8","0","0","11","0","0","31","-1.5","1310005","1","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！"
"","","","93","","","31","","1310006","3.6",""
"0","1","0.2","3","pkb_idle_doya","","31","","1310007","1","pkb_talk_doya"
"","","","91","","","31","","1310008","1310005",""
"1","","0.2","3","","","31","","1310009","1","pkb_idle_normal"
"1","","0.2","3","","","31","","1310010","113411","pkb_talk_joy1"
"0","","","21","0","","31","","1310011","vo_minigame_1006","vo_minigame_1006_top_talk_10_202"
"8","0","0","11","0","0","31","-0.5","1310012","113411","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆"
"","","","93","","","31","","1310013","3.6",""
"0","0","0.2","3","pkb_talk_fun","","31","","1310014","113411","pkb_talk_fun"
"","","","93","","","31","","1310015","3",""
"1","","0.2","3","","","31","","1310016","113411","pkb_idle_normal"
"","","","91","","","31","","1310017","1310012",""
"100","-130","55","5","-20","0","32","pkb_idle_normal","1320001","2","2"
"100","-150","1.6","1","170","1","32","pkb_idle_normal","1320002","1","113411"
"0","1","0.2","3","pkb_idle_guts","","32","","1320003","2","pkb_talk_guts"
"0","","","21","0","","32","","1320004","vo_minigame_1006","vo_minigame_1006_top_talk_11_801"
"8","0","0","11","0","0","32","0","1320005","2","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ"
"","","","93","","","32","","1320006","5",""
"0","1","0.2","3","pkb_idle_doya","","32","","1320007","2","pkb_talk_doya"
"","","","91","","","32","","1320008","1320005",""
"1","","0.2","3","","","32","","1320009","2","pkb_idle_normal"
"1","","0.2","3","","","32","","1320010","113411","pkb_talk_joy2"
"0","","","21","0","","32","","1320011","vo_minigame_1006","vo_minigame_1006_top_talk_11_202"
"8","0","0","11","0","0","32","0","1320012","113411","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！"
"","","","93","","","32","","1320013","4.6",""
"0","1","0.2","3","pkb_idle_normal","0.2","32","","1320014","113411","pkb_hatsune_kiran"
"","","","91","","","32","","1320015","1320012",""
"1","","0.2","3","","","32","","1320016","113411","pkb_idle_normal"
"100","-150","1.6","1","170","1","33","pkb_idle_normal","1330001","1","102311"
"100","-130","55","5","-20","0","33","pkb_idle_normal","1330002","2","2"
"1","","0.2","3","","","33","","1330003","102311","pkb_talk_normal"
"0","","","21","0","","33","","1330004","vo_minigame_1006","vo_minigame_1006_top_talk_12_401"
"8","0","0","11","0","0","33","-0.5","1330005","102311","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！"
"","","","93","","","33","","1330006","1.6",""
"0","1","0.2","3","pkb_talk_joy1","0.2","33","","1330007","102311","pkb_talk_yell"
"","","","91","","","33","","1330008","1330005",""
"1","","0.2","3","","","33","","1330009","102311","pkb_idle_normal"
"0","","","21","0","","33","","1330010","vo_minigame_1006","vo_minigame_1006_top_talk_12_802"
"8","0","0","11","0","0","33","0","1330011","2","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな"
"","","","93","","","33","","1330012","0.5",""
