e0386b05761a2b3407ea7cbb53b8c20e930a2b86921647db15b65fb021bfae36,c08a22190b17184c569c6e23b6c67db3410565e61c5a40a55ba2ab0b76349291,71114efc0886203c870d9a9d80128cd70977fdde096fb9402b6f42358c0832e6,9a9cd80d1b5f1c83b87fce442505d698d3df78fc79a832eb6f0190329f78963e,152269f117ccd67782e7f0f148f87fe82fc749f2879d5b43e8f5dbc59db49772,30f5846dc0c4041306982b3de5c828931743123b1eddcc0c2dbd4d2f35590bdb,339bead5d990ff9b9ee6d300e8d49c4ebe886e4e3c2fb0cae35baa1caa53e928,e0281db678d2328c8b826f5a2bd1dd69a7b189f3b879caace0c41943bac4671c,cc193e9d18339094cbd21a3f3eed198ab9197363740057f33f2833cae2c89aeb,fd2ddd5e9472e99c7adcd72c417b0c75e15995a1142fdffce60a21c2cf200f3d,aab9d7bde800f891d156babd2feef3b3b0e1fb0b8895fcb48437fc4ecee866a8
"","112","vo_wac_220215_007","0","112038","","","21","","0","vo_wac_220215"
"0","112","え？　ランドソルの壁を……\nぐるっと一周？","10","112039","0.5","1","11","0","1","106431"
"","112","","","112040","","","91","","","112039"
"","112","wac_215_idle_sad","1","112041","","","3","0.2","","106431"
"","112","wac_215_karin_talk_wish","1","112042","","","3","0.2","","118511"
"","112","vo_wac_220215_008","0","112043","","","21","","0","vo_wac_220215"
"0","112","はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","10","112044","0.5","1","11","0","1","118511"
"","112","","","112045","","","91","","","112044"
"","112","wac_215_karin_idle_normal","1","112046","","","3","0.2","","118511"
"","112","wac_215_coccoro_talk_wish","1","112047","","","3","0.2","","105911"
"","112","vo_wac_220215_009","0","112048","","","21","","0","vo_wac_220215"
"0","112","それは……壮大な計画でございますね。\nカリンさま。","10","112049","0.5","1","11","0","1","105911"
"","112","","","112050","","","91","","","112049"
"","112","wac_215_coccoro_idle_wish","1","112051","","","3","0.2","","105911"
"0","112","wac_215_peko_talk_guts2","0","112052","","1","3","0.2","wac_215_peko_talk_guts2_loop","105811"
"","112","vo_wac_220215_010","0","112053","","","21","","0","vo_wac_220215"
"0","112","わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","10","112054","0.5","1","11","0","1","105811"
"","112","","","112055","","","91","","","112054"
"","112","wac_215_peko_idle_guts2","1","112056","","","3","0.2","","105811"
"","112","0","","112057","","","4","","","105811"
"","112","0","","112058","","","4","","","105911"
"","112","wac_215_idle_joy1","1","112059","","","3","0.2","","105811"
"","112","wac_215_idle_normal","1","112060","","","3","0.2","","105911"
"","112","wac_215_idle_surprise1","1","112061","","","3","0.2","","106431"
"0.2","112","wac_215_kyaru_anger","1","112062","","1","3","0.2","wac_215_talk_anger2","106011"
"","112","vo_wac_220215_011","0","112063","","","21","","0","vo_wac_220215"
"0","112","待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","10","112064","0.5","1","11","0","1","106011"
"","112","","","112065","","","91","","","112064"
"","112","wac_215_idle_anger2","1","112066","","","3","0.2","","106011"
"","112","wac_215_talk_sad","1","112067","","","3","0.2","","106011"
"","112","vo_wac_220215_012","0","112068","","","21","","0","vo_wac_220215"
"0","112","普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","10","112069","0.5","1","11","0","1","106011"
"","112","","","112070","","","91","","","112069"
"","112","wac_215_idle_sad","1","112071","","","3","0.2","","106011"
"","112","wac_215_coccoro_talk_wish2","1","112072","","","3","0.2","","105911"
"","112","vo_wac_220215_013","0","112073","","","21","","0","vo_wac_220215"
"0","112","キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","10","112074","0.5","1","11","0","1","105911"
"","112","","","112075","","","91","","","112074"
"","112","wac_215_coccoro_idle_wish2","1","112076","","","3","0.2","","105911"
"0","112","wac_215_kyaru_talk_doya","0","112077","","1","3","0.2","wac_215_kyaru_talk_doya_loop","106011"
"","112","vo_wac_220215_014","0","112078","","","21","","0","vo_wac_220215"
"0","112","超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","10","112079","0.5","1","11","0","1","106011"
"","112","","","112080","","","91","","","112079"
"","112","wac_215_idle_arm_crossed","1","112081","","","3","0.2","","106011"
"","112","1","","112082","","","4","","","105811"
"","112","1","","112083","","","4","","","105911"
"","112","wac_215_idle_normal_joy","1","112084","","","3","0.2","","105911"
"","112","wac_215_idle_normal2_joy","1","112085","","","3","0.2","","106431"
"","112","wac_215_karin_talk_wish","1","112086","","","3","0.2","","118511"
"","112","vo_wac_220215_015","0","112087","","","21","","0","vo_wac_220215"
"0","112","分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","10","112088","0.5","1","11","0","1","118511"
"","112","","","112089","","","91","","","112088"
"","112","wac_215_karin_idle_normal","1","112090","","","3","0.2","","118511"
"","112","wac_215_karin_talk_normal","1","112091","","","3","0.2","","118511"
"","112","vo_wac_220215_016","0","112092","","","21","","0","vo_wac_220215"
"0","112","では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","10","112093","0.5","1","11","0","1","118511"
"","112","","","112094","","","91","","","112093"
"","112","wac_215_karin_idle_normal","1","112095","","","3","0.2","","118511"
"0.2","112","wac_215_peko_talk_wish","0","112096","","1","3","0.2","wac_215_peko_talk_wish_loop","105811"
"","112","vo_wac_220215_017","0","112097","","","21","","0","vo_wac_220215"
"0","112","わかりました！
\nそれじゃあわたしは、魔物料理の絵を――","10","112098","0.5","1","11","0","1","105811"
"","112","","","112099","","","91","","","112098"
"","112","wac_215_peko_idle_wish","1","112100","","","3","0.2","","105811"
"0.2","112","wac_215_kyaru_talk_anger","0","112101","","1","3","0.2","wac_215_talk_arm_crossed_loop","106011"
"","112","vo_wac_220215_018","0","112102","","","21","","0","vo_wac_220215"
"0","112","気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","10","112103","0.5","1","11","0","1","106011"
"","112","","","112104","","","91","","","112103"
"","112","wac_215_idle_arm_crossed","1","112105","","","3","0.2","","106011"
"0","112","wac_215_cmn_eieio","0","112106","","1","3","0.2","wac_215_cmn_eieio_loop","105811"
"0","112","wac_215_cmn_eieio","0","112107","","1","3","0.2","wac_215_cmn_eieio_loop","106431"
"","112","","","112108","","","93","","","0.1"
"0","112","wac_215_cmn_eieio","0","112109","","1","3","0.2","wac_215_cmn_eieio_loop","105911"
"0.2","112","wac_215_cmn_eieio","0","112110","","1","3","0.2","wac_215_cmn_eieio_loop","106011"
"","112","","","112111","","","93","","","0.9"
"0.2","112","wac_215_handclap","0","112112","","1","3","0.2","wac_215_karin_idle_normal","118511"
"","112","0","","112113","","","93","","","2"
"","112","","","112114","","","91","","","0"
"","113","wac_215_karin_idle_normal","1","113001","","","3","0.2","","118511"
"","113","wac_215_idle_joy1","1","113002","","","3","0.2","","105811"
"","113","","","113003","","","93","","","0.1"
"","113","wac_215_coccoro_idle_wish","1","113004","","","3","0.2","","105911"
"","113","wac_215_idle_arm_crossed","1","113005","","","3","0.2","","106011"
"","113","","","113006","","","93","","","0.1"
"","113","wac_215_idle_normal2_joy","1","113007","","","3","0.2","","106431"
"","113","","","113008","","","91","","","0"
"0","211","105811","202","211001","wac_default_11","-212.75","1","2","-108","1"
"0","211","111","201","211002","wac_default_11","-212.75","5","2","-108","1"
"","211","1","0","211003","","1","31","1","0","1"
"","211","2","0","211004","","1","31","0","0","2"
"","211","11","0","211005","","1","31","0","0","11"
"","211","wac_paint_11","0","211006","","0","3","0.2","","105811"
"","211","wac_paint_11","0","211007","","0","3","0.2","","111"
"","211","0","","211008","","","93","","","0.3"
"","211","1","","211009","wac_default_11","","32","","","11"
"","211","se_10035700_roller","0","211010","","","23","","","se_10035700"
"","211","","","211011","","","131","","","1"
"","212","wac_talk_kyapi_in","0","212001","","1","3","0.2","wac_talk_kyapi_loop","105811"
"","212","wac_no_items","1","212002","","","3","0.2","","111"
"","212","200","-340","212003","","","2","","0","105811"
"","212","200","-340","212004","","","2","","0","111"
"","212","0","","212005","","","32","","","1"
"","212","1","","212006","","","32","","","2"
"","212","0","","212007","","","32","","","11"
"","212","vo_wac_220216_000","0","212008","","","21","","0","vo_wac_220216"
"0","212","えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","10","212009","0.5","1","11","0","1","105811"
"","212","","","212010","","","91","","","0"
"","212","vo_wac_220216_001","0","212011","","","21","","0","vo_wac_220216"
"0","212","みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","10","212012","0.5","1","11","0","1","105811"
"","212","","","212013","","","91","","","0"
"","212","0","","212014","","","22","","","0"
"","213","wac_idle_kyapi","1","213001","","","3","0.2","","105811"
"","213","wac_no_items","1","213002","","","3","0.2","","111"
"","213","200","-340","213003","","","2","","0","105811"
"","213","200","-340","213004","","","2","","0","111"
"","213","0","","213005","","","32","","","1"
"","213","1","","213006","","","32","","","2"
"","213","0","","213007","","","32","","","11"
"","213","","","213008","","","91","","","0"
"0","311","105911","202","311001","wac_default_01","-212.75","1","2","-108","1"
"0","311","111","201","311002","wac_default_03","-212.75","5","2","-108","1"
"","311","1","0","311003","","1","31","1","0","1"
"","311","2","0","311004","","1","31","0","0","2"
"","311","11","0","311005","","1","31","0","0","11"
"","311","wac_paint_01","0","311006","","","3","0.2","","105911"
"","311","wac_paint_03","0","311007","","","3","0.2","","111"
"","311","1","","311008","wac_default_11","","32","","","11"
"","311","se_10035700_brush","0","311009","","","23","","","se_10035700"
"","311","","","311010","","","131","","","1"
"","312","wac_talk_wish_in","0","312001","","1","3","0.2","wac_talk_wish_loop","105911"
"","312","wac_no_items","1","312002","","","3","0.2","","111"
"","312","200","-340","312003","","","2","","0","105911"
"","312","200","-340","312004","","","2","","0","111"
"","312","0","","312005","","","32","","","1"
"","312","1","","312006","","","32","","","2"
"","312","0","","312007","","","32","","","11"
"","312","vo_wac_220217_000","0","312008","","","21","","0","vo_wac_220217"
"0","312","ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","10","312009","0.5","1","11","0","1","105911"
"","312","","","312010","","","91","","","0"
"","312","vo_wac_220217_001","0","312011","","","21","","0","vo_wac_220217"
"0","312","いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","10","312012","0.5","1","11","0","1","105911"
"","312","","","312013","","","91","","","0"
"","312","0","","312014","","","22","","","0"
"","313","wac_idle_wish","1","313001","","","3","0.2","","105911"
"","313","wac_no_items","1","313002","","","3","0.2","","111"
"","313","200","-340","313003","","","2","","0","105911"
"","313","200","-340","313004","","","2","","0","111"
"","313","0","","313005","","","32","","","1"
"","313","1","","313006","","","32","","","2"
"","313","0","","313007","","","32","","","11"
"","313","","","313008","","","91","","","0"
"0","411","106011","202","411001","wac_default_01","-212.75","1","2","-108","1"
"0","411","111","201","411002","wac_default_02","-212.75","5","2","-108","1"
"","411","1","0","411003","","1","31","1","0","1"
"","411","2","0","411004","","1","31","0","0","2"
"","411","11","0","411005","","1","31","0","0","11"
"","411","wac_paint_01","0","411006","","","3","0.2","","106011"
"","411","wac_paint_02","0","411007","","","3","0.2","","111"
"","411","1","","411008","wac_default_11","","32","","","11"
"","411","se_10035700_brush","0","411009","","0","23","0.2","","se_10035700"
"","411","","","411010","","","131","","","1"
"","412","wac_talk_doya_in","0","412001","","1","3","0.2","wac_talk_doya_loop","106011"
"","412","wac_no_items","1","412002","","","3","0.2","","111"
"","412","200","-340","412003","","","2","","0","106011"
"","412","200","-340","412004","","","2","","0","111"
"","412","0","","412005","","","32","","","1"
"","412","1","","412006","","","32","","","2"
"","412","0","","412007","","","32","","","11"
"","412","vo_wac_220218_000","0","412008","","","21","","0","vo_wac_220218"
"0","412","ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","10","412009","0.5","1","11","0","1","106011"
"","412","","","412010","","","91","","","0"
"","412","vo_wac_220218_001","0","412011","","","21","","0","vo_wac_220218"
"0","412","なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","10","412012","0.5","1","11","0","1","106011"
"","412","","","412013","","","91","","","0"
"","412","0","","412014","","","22","","","0"
"","413","wac_idle_doya","1","413001","","","3","0.2","","106011"
"","413","wac_no_items","1","413002","","","3","0.2","","111"
"","413","200","-340","413003","","","2","","0","106011"
"","413","200","-340","413004","","","2","","0","111"
"","413","0","","413005","","","32","","","1"
"","413","1","","413006","","","32","","","2"
"","413","0","","413007","","","32","","","11"
"","413","","","413008","","","91","","","0"
"0","511","106431","202","511001","wac_default_11","-212.75","1","2","-108","1"
"0","511","111","201","511002","wac_default_12","-212.75","5","2","-108","1"
"","511","1","0","511003","","1","31","1","0","1"
"","511","2","0","511004","","1","31","0","0","2"
"","511","11","0","511005","","1","31","0","0","11"
"","511","wac_paint_11","0","511006","","","3","0.2","","106431"
"","511","wac_paint_12","0","511007","","","3","0.2","","111"
"","511","0","","511008","","","93","","","0.3"
"","511","1","","511009","wac_default_11","","32","","","11"
"","511","se_10035700_roller","0","511010","","0","23","0.2","","se_10035700"
"","511","","","511011","","","131","","","1"
"","512","wac_talk_smile_in","0","512001","","1","3","0.2","wac_talk_smile_loop","106431"
"","512","wac_no_items","1","512002","","","3","0.2","","111"
"","512","200","-340","512003","","","2","","0","106431"
"","512","200","-340","512004","","","2","","0","111"
"","512","0","","512005","","","32","","","1"
"","512","1","","512006","","","32","","","2"
"","512","0","","512007","","","32","","","11"
"","512","vo_wac_220219_000","0","512008","","","21","","0","vo_wac_220219"
"0","512","絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","10","512009","0.5","1","11","0","1","106431"
"","512","","","512010","","","91","","","0"
"","512","vo_wac_220219_001","0","512011","","","21","","0","vo_wac_220219"
"0","512","私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","10","512012","0.5","1","11","0","1","106431"
"","512","","","512013","","","91","","","0"
"","512","0","","512014","","","22","","","0"
"","513","wac_idle_smile","1","513001","","","3","0.2","","106431"
"","513","wac_no_items","1","513002","","","3","0.2","","111"
"","513","200","-340","513003","","","2","","0","106431"
"","513","200","-340","513004","","","2","","0","111"
"","513","0","","513005","","","32","","","1"
"","513","1","","513006","","","32","","","2"
"","513","0","","513007","","","32","","","11"
"","513","","","513008","","","91","","","0"
"0","611","104411","202","611001","wac_default_01","-212.75","1","2","-108","1"
"0","611","111","201","611002","wac_default_01","-212.75","5","2","-108","1"
"","611","1","0","611003","","1","31","1","0","1"
"","611","2","0","611004","","1","31","0","0","2"
"","611","11","0","611005","","1","31","0","0","11"
"","611","wac_paint_01","0","611006","","","3","0.2","","104411"
"","611","wac_paint_01","0","611007","","","3","0.2","","111"
"","611","1","","611008","wac_default_11","","32","","","11"
"","611","se_10035700_brush","0","611009","","0","23","0.2","","se_10035700"
"","611","","","611010","","","131","","","1"
"","612","wac_talk_doya_in","0","612001","","1","3","0.2","wac_talk_doya_loop","104411"
"","612","wac_no_items","1","612002","","","3","0.2","","111"
"","612","200","-340","612003","","","2","","0","104411"
"","612","200","-340","612004","","","2","","0","111"
"","612","0","","612005","","","32","","","1"
"","612","1","","612006","","","32","","","2"
"","612","0","","612007","","","32","","","11"
"","612","vo_wac_220220_000","0","612008","","","21","","0","vo_wac_220220"
"0","612","ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","10","612009","0.5","1","11","0","1","104411"
"","612","","","612010","","","91","","","0"
"","612","vo_wac_220220_001","0","612011","","","21","","0","vo_wac_220220"
"0","612","ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","10","612012","0.5","1","11","0","1","104411"
"","612","","","612013","","","91","","","0"
"","612","0","","612014","","","22","","","0"
"","613","wac_idle_doya","1","613001","","","3","0.2","","104411"
"","613","wac_no_items","1","613002","","","3","0.2","","111"
"","613","200","-340","613003","","","2","","0","104411"
"","613","200","-340","613004","","","2","","0","111"
"","613","0","","613005","","","32","","","1"
"","613","1","","613006","","","32","","","2"
"","613","0","","613007","","","32","","","11"
"","613","","","613008","","","91","","","0"
"0","711","102211","202","711001","wac_default_bot_01","-325","1","2","-108","1"
"0","711","111","201","711002","wac_default_02","-325","5","2","-108","1"
"","711","3","0","711003","","1","31","1","0","3"
"","711","2","0","711004","","1","31","0","0","2"
"","711","13","0","711005","","1","31","0","0","13"
"","711","wac_paint_bot_01","0","711006","","","3","0.2","","102211"
"","711","wac_paint_02","0","711007","","","3","0.2","","111"
"","711","1","","711008","wac_default_11","","32","","","13"
"","711","se_10035700_brush","0","711009","","0","23","0.2","","se_10035700"
"","711","","","711010","","","131","","","1"
"","712","wac_talk_sad_in","0","712001","","1","3","0.2","wac_talk_sad_loop","102211"
"","712","wac_no_items","1","712002","","","3","0.2","","111"
"","712","200","-340","712003","","","2","","0","102211"
"","712","200","-340","712004","","","2","","0","111"
"","712","0","","712005","","","32","","","3"
"","712","1","","712006","","","32","","","2"
"","712","0","","712007","","","32","","","13"
"","712","vo_wac_220221_000","0","712008","","","21","","0","vo_wac_220221"
"0","712","こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","10","712009","0.5","1","11","0","1","102211"
"","712","","","712010","","","91","","","0"
"","712","vo_wac_220221_001","0","712011","","","21","","0","vo_wac_220221"
"0","712","緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","10","712012","0.5","1","11","0","1","102211"
"","712","","","712013","","","91","","","0"
"","712","0","","712014","","","22","","","0"
"","713","wac_idle_sad","1","713001","","","3","0.2","","102211"
"","713","wac_no_items","1","713002","","","3","0.2","","111"
"","713","200","-340","713003","","","2","","0","102211"
"","713","200","-340","713004","","","2","","0","111"
"","713","0","","713005","","","32","","","3"
"","713","1","","713006","","","32","","","2"
"","713","0","","713007","","","32","","","13"
"","713","","","713008","","","91","","","0"
"0","811","100611","202","811001","wac_default_bot_11","-325","1","2","-108","1"
"0","811","111","201","811002","wac_default_12","-325","5","2","-108","1"
"","811","3","0","811003","","1","31","1","0","3"
"","811","2","0","811004","","1","31","0","0","2"
"","811","13","0","811005","","1","31","0","0","13"
"","811","wac_paint_bot_11","0","811006","","","3","0.2","","100611"
"","811","wac_paint_12","0","811007","","","3","0.2","","111"
"","811","0","","811008","","","93","","","0.3"
"","811","1","","811009","wac_default_11","","32","","","13"
"","811","se_10035700_roller","0","811010","","0","23","0.2","","se_10035700"
"","811","","","811011","","","131","","","1"
"","812","wac_talk_smile_in","0","812001","","1","3","0.2","wac_talk_smile_loop","100611"
"","812","wac_no_items","1","812002","","","3","0.2","","111"
"","812","200","-340","812003","","","2","","0","100611"
"","812","200","-340","812004","","","2","","0","111"
"","812","0","","812005","","","32","","","3"
"","812","1","","812006","","","32","","","2"
"","812","0","","812007","","","32","","","13"
"","812","vo_wac_220222_000","0","812008","","","21","","0","vo_wac_220222"
"0","812","えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","10","812009","0.5","1","11","0","1","100611"
"","812","","","812010","","","91","","","0"
"","812","vo_wac_220222_001","0","812011","","","21","","0","vo_wac_220222"
"0","812","でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","10","812012","0.5","1","11","0","1","100611"
"","812","","","812013","","","91","","","0"
"","812","0","","812014","","","22","","","0"
"","813","wac_idle_smile","1","813001","","","3","0.2","","100611"
"","813","wac_no_items","1","813002","","","3","0.2","","111"
"","813","200","-340","813003","","","2","","0","100611"
"","813","200","-340","813004","","","2","","0","111"
"","813","0","","813005","","","32","","","3"
"","813","1","","813006","","","32","","","2"
"","813","0","","813007","","","32","","","13"
"","813","","","813008","","","91","","","0"
"0","911","103111","202","911001","wac_default_01","-212.75","1","2","-108","1"
"0","911","111","201","911002","wac_default_03","-212.75","5","2","-108","1"
"","911","1","0","911003","","1","31","1","0","1"
"","911","2","0","911004","","1","31","0","0","2"
"","911","11","0","911005","","1","31","0","0","11"
"","911","wac_paint_01","0","911006","","","3","0.2","","103111"
"","911","wac_paint_03","0","911007","","","3","0.2","","111"
"","911","1","","911008","wac_default_11","","32","","","11"
"","911","se_10035700_brush","0","911009","","0","23","0.2","","se_10035700"
"","911","","","911010","","","131","","","1"
"","912","wac_talk_wish_in","0","912001","","1","3","0.2","wac_talk_wish_loop","103111"
"","912","wac_no_items","1","912002","","","3","0.2","","111"
"","912","200","-340","912003","","","2","","0","103111"
"","912","200","-340","912004","","","2","","0","111"
"","912","0","","912005","","","32","","","1"
"","912","1","","912006","","","32","","","2"
"","912","0","","912007","","","32","","","11"
"","912","vo_wac_220223_000","0","912008","","","21","","0","vo_wac_220223"
"0","912","ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","10","912009","0.5","1","11","0","1","103111"
"","912","","","912010","","","91","","","0"
"","912","vo_wac_220223_001","0","912011","","","21","","0","vo_wac_220223"
"0","912","これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","10","912012","0.5","1","11","0","1","103111"
"","912","","","912013","","","91","","","0"
"","912","0","","912014","","","22","","","0"
"","913","wac_idle_wish","1","913001","","","3","0.2","","103111"
"","913","wac_no_items","1","913002","","","3","0.2","","111"
"","913","200","-340","913003","","","2","","0","103111"
"","913","200","-340","913004","","","2","","0","111"
"","913","0","","913005","","","32","","","1"
"","913","1","","913006","","","32","","","2"
"","913","0","","913007","","","32","","","11"
"","913","","","913008","","","91","","","0"
"0","1011","100711","202","1011001","wac_default_01","-212.75","1","2","-108","1"
"0","1011","111","201","1011002","wac_default_01","-212.75","5","2","-108","1"
"","1011","1","0","1011003","","1","31","1","0","1"
"","1011","2","0","1011004","","1","31","0","0","2"
"","1011","11","0","1011005","","1","31","0","0","11"
"","1011","wac_paint_01","0","1011006","","","3","0.2","","100711"
"","1011","wac_paint_01","0","1011007","","","3","0.2","","111"
"","1011","1","","1011008","wac_default_11","","32","","","11"
"","1011","se_10035700_brush","0","1011009","","0","23","0.2","","se_10035700"
"","1011","","","1011010","","","131","","","1"
"","1012","wac_talk_smile_in","0","1012001","","1","3","0.2","wac_talk_smile_loop","100711"
"","1012","wac_no_items","1","1012002","","","3","0.2","","111"
"","1012","200","-340","1012003","","","2","","0","100711"
"","1012","200","-340","1012004","","","2","","0","111"
"","1012","0","","1012005","","","32","","","1"
"","1012","1","","1012006","","","32","","","2"
"","1012","0","","1012007","","","32","","","11"
"","1012","vo_wac_220224_000","0","1012008","","","21","","0","vo_wac_220224"
"0","1012","プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","10","1012009","0.5","1","11","0","1","100711"
"","1012","","","1012010","","","91","","","0"
