86ece292d2d0f620dfeff38b97dbe371fa6f194c1dc9cadca323ca41a9a53c04,a630e132c61e3fd5d1c80693f158ddfb8bd240ca43bb13788bcfb7e585a755a2,9772ef805cf92dcfb417afb4ee63b9af320c192fe6ea4d80d2107815a912eb03,bb7f3536fbc827b3da06fa3d97d5d0f5bf58851588138f458835b61888fd3343,ae04335d3a4732c85835a823c7e6a24ab62319ca969e89ff8096cf32e53c7a76,6b9397211f1fc973741eb634e4cc30d25e350287201a859a2eb32b36939e787b,2b2993ef73dfb5668d10678b4a9cf7822d0b348b316923867082051648b4bc16,ee75cf91125dbc0f1ef8f4684b25848e59f9a010a55141ba526a5d4eb580d357,48f177966e689178bca2951545efdf65e4e5b8fddc819aa176ed74d1381219fd,cb58a2d71fd78fa702495d8d5d0a7776a661d26db32d8832a96d77d752b84a7e,1cb70445aeddc34de00b14c25073b277309dca62d678e18a47932982093cf669
"2","-250","1009801","1009801094","0.2","0.33","122911","","","2","270"
"93","","1009801","1009801095","","","0.7","","","","0"
"3","1","1009801","1009801096","","","122911","","0.2","","lsv_talk_wish_joy"
"21","0","1009801","1009801097","","0","vo_lsv","","","","vo_lsv_0132"
"11","10","1009801","1009801098","0","1","122911","0","0","1","怪獣さんっ？\nきっと、おっきくなるね～♪\nお城よりもおっきくなるかな？"
"91","","1009801","1009801099","","","0","","","",""
"3","1","1009801","1009801100","","","122911","","0.2","","lsv_idle_normal"
"101","","1009801","1009801101","","","1009801129","","","",""
"3","0","1009801","1009801102","0.2","lsv_idle_normal","122711","","0","1","lsv_choice"
"3","0","1009801","1009801103","0.2","lsv_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009801","1009801104","0.2","lsv_idle_normal","122911","","0","1","lsv_choice"
"93","","1009801","1009801105","","","0.1","","","","0"
"2","-235","1009801","1009801106","0.2","0.33","122711","","","2","-200"
"2","-220","1009801","1009801107","0.2","0.33","122811","","","2","100"
"2","-250","1009801","1009801108","0.2","0.33","122911","","","2","270"
"93","","1009801","1009801109","","","0.7","","","","0"
"3","1","1009801","1009801110","","","122811","","0.2","","lsv_talk_bitter_sad"
"21","0","1009801","1009801111","","0","vo_lsv","","","","vo_lsv_0133"
"11","10","1009801","1009801112","0","1","122811","0","0","1","えー、ナメクジ～？\nあんまりかっこよくないけど…\n塩は近づけないようにしとく？"
"91","","1009801","1009801113","","","0","","","",""
"101","","1009801","1009801114","","","1009801129","","","",""
"3","0","1009801","1009801115","0.2","lsv_idle_normal","122711","","0","1","lsv_choice"
"3","0","1009801","1009801116","0.2","lsv_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009801","1009801117","0.2","lsv_idle_normal","122911","","0","1","lsv_choice"
"93","","1009801","1009801118","","","0.1","","","","0"
"2","-235","1009801","1009801119","0.2","0.33","122711","","","2","-200"
"2","-220","1009801","1009801120","0.2","0.33","122811","","","2","100"
"2","-250","1009801","1009801121","0.2","0.33","122911","","","2","270"
"93","","1009801","1009801122","","","0.7","","","","0"
"3","1","1009801","1009801123","","","122711","","0.2","","lsv_talk_normal_worry"
"21","0","1009801","1009801124","","0","vo_lsv","","","","vo_lsv_0134"
"11","10","1009801","1009801125","0","1","122711","0","0","1","みんなでナデナデしたから\nそれはありえませんよ。\nなにより…かわいいですし。"
"91","","1009801","1009801126","","","0","","","",""
"3","1","1009801","1009801127","","","122711","","0.2","","lsv_idle_normal"
"101","","1009801","1009801128","","","1009801129","","","",""
"91","","1009801","1009801129","","","0","","","",""
"3","0","1009801","1009801130","0.2","lsv_talk_arm_crossed_loop_joy","122811","","0","1","lsv_talk_arm_crossed_joy"
"21","0","1009801","1009801131","","0","vo_lsv","","","","vo_lsv_0135"
"11","10","1009801","1009801132","0","1","122811","0","0","1","まあ、なんにしてもさ？\n育ててみればわかるよ！\nということで、がんばろー！"
"91","","1009801","1009801133","","","0","","","",""
"3","0","1009801","1009801134","0.2","lsv_idle_normal_joy","122811","","0","1","lsv_handsup_joy"
"3","0","1009801","1009801135","0.2","lsv_idle_normal_joy","122911","","0","1","lsv_handsup_joy"
"3","0","1009801","1009801136","0.2","lsv_idle_normal_joy","122711","","0","1","lsv_handsup_joy2"
"21","0","1009801","1009801137","","0","vo_lsv","","","","vo_lsv_0136"
"11","10","1009801","1009801138","0","1","122811","0","0","1","おー！"
"11","10","1009801","1009801139","0","1","122911","0","0","1","おー！"
"11","10","1009801","1009801140","0","1","122711","0","0","1","おー！"
"91","","1009801","1009801141","","","0","","","",""
"22","","1009801","1009801142","","","0","","","","0.2"
"93","","1009801","1009801143","","","0.2","","","",""
"102","","1009801","1009801144","","","","","","",""
"12","1","1009801","1009801145","0","0","122911","0","0","0","7"
"3","1","1009801","1009801146","","","122911","","0.2","","lsv_talk_joy3"
"93","","1009801","1009801147","","","3","","","","0"
"3","1","1009801","1009801148","","","122911","","0.2","","lsv_idle_normal_joyR"
"12","1","1009801","1009801149","0","0","122811","0","0","0","6"
"3","0","1009801","1009801150","0.2","lsv_talk_guts1_loop","122811","","0","1","lsv_talk_guts1"
"93","","1009801","1009801151","","","3","","","","0"
"3","1","1009801","1009801152","","","122811","","0.2","","lsv_idle_joy"
"12","1","1009801","1009801153","0","0","122711","0","0","0","10"
"3","1","1009801","1009801154","","","122711","","0.2","","lsv_talk_joy1_normal"
"93","","1009801","1009801155","","","3","","","","0"
"3","1","1009801","1009801156","","","122711","","0.2","","lsv_idle_normal_joy"
"101","","1009801","1009801157","","","1009801145","","","",""
"6","1","1009801","1009801158","0","1","333","","1","0","1"
"4","","1009801","1009801159","","","122711","","","","1"
"3","1","1009801","1009801160","","","122711","","0.2","","lsv_run"
"2","-235","1009801","1009801161","","0.8","122711","","","0","-750"
"4","","1009801","1009801162","","","122811","","","","0"
"3","1","1009801","1009801163","","","122811","","0.2","","lsv_run"
"2","-220","1009801","1009801164","","0.8","122811","","","0","750"
"4","","1009801","1009801165","","","122911","","","","0"
"3","1","1009801","1009801166","","","122911","","0.2","","lsv_run"
"2","-250","1009801","1009801167","","0.8","122911","","","0","850"
"93","","1009801","1009801168","","","0.6","","","",""
"6","1","1009801","1009801169","0","1","122711","","0.2","0","1"
"6","1","1009801","1009801170","0","1","122811","","0.2","0","1"
"6","1","1009801","1009801171","0","1","122911","","0.2","0","1"
"91","","1009801","1009801172","","","0","","","",""
"1","102","1009802","1009802001","0","-650","1","lsv_idle_normal","1.95","-235","122911"
"1","100","1009802","1009802002","1","650","1","lsv_idle_normal","1.95","-220","122811"
"1","101","1009802","1009802003","1","750","1","lsv_idle_normal","1.95","-250","122711"
"5","0","1009802","1009802004","0","0","1","lsv_white_loop","1","0","333"
"6","1","1009802","1009802005","0","1","333","","0","0","1"
"6","1","1009802","1009802006","0","1","122911","","0","0","1"
"6","1","1009802","1009802007","0","1","122811","","0","0","1"
"6","1","1009802","1009802008","0","1","122711","","0","0","1"
"93","","1009802","1009802009","","","1","","","","0"
"6","1","1009802","1009802010","0","1","333","","0.8","0.4","1"
"3","1","1009802","1009802011","","","122911","","0.2","","lsv_walk"
"2","-235","1009802","1009802012","","2","122911","","","0","-200"
"6","1","1009802","1009802013","0","1","122911","","0.4","1","1"
"3","1","1009802","1009802014","","","122811","","0.2","","lsv_walk"
"2","-220","1009802","1009802015","","2","122811","","","0","100"
"6","1","1009802","1009802016","0","1","122811","","0.4","1","1"
"3","1","1009802","1009802017","","","122711","","0.2","","lsv_walk"
"2","-250","1009802","1009802018","","2","122711","","","0","270"
"6","1","1009802","1009802019","0","1","122711","","0.4","1","1"
"93","","1009802","1009802020","","","2","","","","0"
"3","1","1009802","1009802021","","","122911","","0.2","","lsv_idle_normal"
"3","1","1009802","1009802022","","","122811","","0.2","","lsv_idle_normal"
"3","1","1009802","1009802023","","","122711","","0.2","","lsv_idle_normal"
"93","","1009802","1009802024","","","0.6","","","","0"
"3","1","1009802","1009802025","","","122811","","0.2","","lsv_talk_sad_dead"
"21","0","1009802","1009802026","","0","vo_lsv","","","","vo_lsv_0221"
"11","10","1009802","1009802027","0","1","122811","0","0","1","もう一回海に行ってみたけど\nみゅ～ちゃんの家族は\n見つからなかったねー"
"91","","1009802","1009802028","","","0","","","",""
"3","1","1009802","1009802029","","","122811","","0.2","","lsv_idle_sad_talk1"
"3","1","1009802","1009802030","","","122711","","0.2","","lsv_talk_thinking_sadR"
"21","0","1009802","1009802031","","0","vo_lsv","","","","vo_lsv_0222"
"11","10","1009802","1009802032","0","1","122711","0","0","1","うん。それどころか、\nわからないことが\nますます増えちゃったね。"
"91","","1009802","1009802033","","","0","","","",""
"3","1","1009802","1009802034","","","122711","","0.2","","lsv_idle_normal_suprise1"
"3","1","1009802","1009802035","","","122811","","0.2","","lsv_idle_normal"
"3","1","1009802","1009802036","","","122911","","0.2","","lsv_talk_normal"
"21","0","1009802","1009802037","","0","vo_lsv","","","","vo_lsv_0223"
"11","10","1009802","1009802038","0","1","122911","0","0","1","でも、みゅ～ちゃんの\nごはんのことはわかったよ～\nミミたちと同じのでいいって♪"
"91","","1009802","1009802039","","","0","","","",""
"3","1","1009802","1009802040","","","122911","","0.2","","lsv_idle_normal_joyR"
"3","1","1009802","1009802041","","","122711","","0.2","","lsv_talk_normal"
"21","0","1009802","1009802042","","0","vo_lsv","","","","vo_lsv_0224"
"11","10","1009802","1009802043","0","1","122711","0","0","1","あ、確かにそうだね。\nそのことがわかったのは\nよかったと思う。"
"91","","1009802","1009802044","","","0","","","",""
"3","1","1009802","1009802045","","","122711","","0.2","","lsv_idle_normal"
"3","1","1009802","1009802046","","","122911","","0.2","","lsv_talk_surprise"
"21","0","1009802","1009802047","","0","vo_lsv","","","","vo_lsv_0225"
"11","10","1009802","1009802048","0","1","122911","0","0","1","みゅ～ちゃんは、どんな\nごはんが好きになるのかな～？\nおにいちゃんならわかる？"
"91","","1009802","1009802049","","","0","","","",""
"3","1","1009802","1009802050","","","122911","","0.2","","lsv_idle_surprise_talkjoy"
"3","0","1009802","1009802051","0.2","lsv_look_idle_normal","122911","","0","1","lsv_choice"
"3","0","1009802","1009802052","0.2","lsv_look_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009802","1009802053","0.2","lsv_look_idle_normal","122711","","0","1","lsv_choice"
"93","","1009802","1009802054","","","0.1","","","","0"
"2","-235","1009802","1009802055","0.2","0.33","122911","","","2","-452"
"2","-220","1009802","1009802056","0.2","0.33","122811","","","2","420"
"2","-250","1009802","1009802057","0.2","0.33","122711","","","2","545"
"22","1","1009802","1009802058","","","0","","0.2","","0"
"103","0","1009802","1009802059","","","ケーキ。","","","","1009802062"
"103","0","1009802","1009802060","","","リンゴ。","","","","1009802086"
"103","0","1009802","1009802061","","","パン。","","","","1009802109"
"3","0","1009802","1009802062","0.2","lsv_idle_normal","122911","","0","1","lsv_choice"
"3","0","1009802","1009802063","0.2","lsv_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009802","1009802064","0.2","lsv_idle_normal","122711","","0","1","lsv_choice"
"93","","1009802","1009802065","","","0.1","","","","0"
"2","-235","1009802","1009802066","0.2","0.33","122911","","","2","-200"
"2","-220","1009802","1009802067","0.2","0.33","122811","","","2","100"
"2","-250","1009802","1009802068","0.2","0.33","122711","","","2","270"
"93","","1009802","1009802069","","","0.7","","","","0"
"3","1","1009802","1009802070","","","122911","","0.2","","lsv_talk_joy3"
"21","0","1009802","1009802071","","0","vo_lsv","","","","vo_lsv_0226"
"11","10","1009802","1009802072","0","1","122911","0","0","1","ケーキ、おいしいもんね～\nミミもだ～い好きっ♪"
"91","","1009802","1009802073","","","0","","","",""
"3","1","1009802","1009802074","","","122911","","0.2","","lsv_idle_normal_joy"
"3","1","1009802","1009802075","","","122811","","0.2","","lsv_talk_wish_joy"
"21","0","1009802","1009802076","","0","vo_lsv","","","","vo_lsv_0227"
"11","10","1009802","1009802077","0","1","122811","0","0","1","ケーキ…それなら\nどのケーキが好きなのかも\n調べたほうがいいね、絶対！"
"91","","1009802","1009802078","","","0","","","",""
"3","1","1009802","1009802079","","","122811","","0.2","","lsv_idle_wish_joy"
"3","0","1009802","1009802080","0.2","lsv_talk_doya_shy_loop","122711","","0","1","lsv_talk_doya_shy"
"21","0","1009802","1009802081","","0","vo_lsv","","","","vo_lsv_0228"
"11","10","1009802","1009802082","0","1","122711","0","0","1","そう言って、いろんなケーキを\n食べたいだけなんじゃ…\nでも、私も賛成っ♪"
"91","","1009802","1009802083","","","0","","","",""
"3","1","1009802","1009802084","","","122711","","0.2","","lsv_idle_doya"
"101","","1009802","1009802085","","","1009802133","","","",""
"3","0","1009802","1009802086","0.2","lsv_idle_normal","122911","","0","1","lsv_choice"
"3","0","1009802","1009802087","0.2","lsv_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009802","1009802088","0.2","lsv_idle_normal","122711","","0","1","lsv_choice"
"93","","1009802","1009802089","","","0.1","","","","0"
"2","-235","1009802","1009802090","0.2","0.33","122911","","","2","-200"
"2","-220","1009802","1009802091","0.2","0.33","122811","","","2","100"
"2","-250","1009802","1009802092","0.2","0.33","122711","","","2","270"
"93","","1009802","1009802093","","","0.7","","","","0"
"3","1","1009802","1009802094","","","122711","","0.2","","lsv_talk_thinking_joyR"
"21","0","1009802","1009802095","","0","vo_lsv","","","","vo_lsv_0229"
"11","10","1009802","1009802096","0","1","122711","0","0","1","リンゴ…くだものですか。\n健康的でいいと思います。"
"91","","1009802","1009802097","","","0","","","",""
"3","1","1009802","1009802098","","","122711","","0.2","","lsv_idle_normal_joy"
"3","0","1009802","1009802099","0.2","lsv_talk_guts2_joy_loop","122911","","0","1","lsv_talk_guts2_joy"
"21","0","1009802","1009802100","","0","vo_lsv","","","","vo_lsv_0230"
"11","10","1009802","1009802101","0","1","122911","0","0","1","ミミ、ウサギさんの形に\n切ったリンゴ好き～♪"
"91","","1009802","1009802102","","","0","","","",""
"3","1","1009802","1009802103","","","122911","","0.2","","lsv_idle_normal_joyR"
"3","0","1009802","1009802104","0.2","lsv_talk_guts2_loop","122811","","0","1","lsv_talk_guts2"
"21","0","1009802","1009802105","","0","vo_lsv","","","","vo_lsv_0231"
"11","10","1009802","1009802106","0","1","122811","0","0","1","ミソギたちも切ってあげよっ！\nむずかしそうだけど、\nきっとなんとかなるって！"
"91","","1009802","1009802107","","","0","","","",""
"101","","1009802","1009802108","","","1009802133","","","",""
"3","0","1009802","1009802109","0.2","lsv_idle_normal","122911","","0","1","lsv_choice"
"3","0","1009802","1009802110","0.2","lsv_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009802","1009802111","0.2","lsv_idle_normal","122711","","0","1","lsv_choice"
"93","","1009802","1009802112","","","0.1","","","","0"
"2","-235","1009802","1009802113","0.2","0.33","122911","","","2","-200"
"2","-220","1009802","1009802114","0.2","0.33","122811","","","2","100"
"2","-250","1009802","1009802115","0.2","0.33","122711","","","2","270"
"93","","1009802","1009802116","","","0.7","","","","0"
"3","1","1009802","1009802117","","","122811","","0.2","","lsv_talk_normal_worry"
"21","0","1009802","1009802118","","0","vo_lsv","","","","vo_lsv_0232"
"11","10","1009802","1009802119","0","1","122811","0","0","1","パンかぁ…なんか普通だなー\nミソギたちも毎日食べてるし"
"91","","1009802","1009802120","","","0","","","",""
"3","1","1009802","1009802121","","","122811","","0.2","","lsv_idle_normal_suprise1"
"3","1","1009802","1009802122","","","122711","","0.2","","lsv_talk_normal"
"21","0","1009802","1009802123","","0","vo_lsv","","","","vo_lsv_0233"
"11","10","1009802","1009802124","0","1","122711","0","0","1","でも、嫌いだったら毎日は\n食べられないよ。\nそれに、アレンジもできるし。"
"91","","1009802","1009802125","","","0","","","",""
"3","1","1009802","1009802126","","","122711","","0.2","","lsv_idle_normal"
"3","1","1009802","1009802127","","","122911","","0.2","","lsv_talk_wish_joy"
"21","0","1009802","1009802128","","0","vo_lsv","","","","vo_lsv_0234"
"11","10","1009802","1009802129","0","1","122911","0","0","1","サンドイッチなら、\nミミたちにも作れるかも！\n作ってみよ～♪"
"91","","1009802","1009802130","","","0","","","",""
"3","1","1009802","1009802131","","","122911","","0.2","","lsv_idle_wish_joyR"
"101","","1009802","1009802132","","","1009802133","","","",""
"91","","1009802","1009802133","","","0","","","",""
"102","","1009802","1009802134","","","","","","",""
"22","","1009802","1009802135","","","0","","","","0.2"
"93","","1009802","1009802136","","","0.2","","","",""
"12","1","1009802","1009802137","0","0","122811","0","0","0","11"
"3","0","1009802","1009802138","0.2","lsv_surprise3_kira_loop","122811","","0.2","1","lsv_surprise3_kira"
"93","","1009802","1009802139","","","3","","","","0"
"3","1","1009802","1009802140","","","122811","","0.2","","lsv_idle_normal_joy"
"12","1","1009802","1009802141","0","0","122711","0","0","0","10"
"3","1","1009802","1009802142","","","122711","","0.2","","lsv_talk_joy3_dere"
"93","","1009802","1009802143","","","3","","","","0"
"3","1","1009802","1009802144","","","122711","","0.2","","lsv_idle_normal_joy"
"12","1","1009802","1009802145","0","0","122911","0","0","0","7"
"3","1","1009802","1009802146","","","122911","","0.2","","lsv_talk_memory"
"93","","1009802","1009802147","","","3","","","","0"
"3","1","1009802","1009802148","","","122911","","0.2","","lsv_idle_normal_joyR"
"101","","1009802","1009802149","","","1009802137","","","",""
"6","1","1009802","1009802150","0","1","333","","1","0","1"
"4","","1009802","1009802151","","","122911","","","","1"
"3","1","1009802","1009802152","","","122911","","0.2","","lsv_run"
"2","-235","1009802","1009802153","","0.8","122911","","","0","-750"
"4","","1009802","1009802154","","","122811","","","","0"
"3","1","1009802","1009802155","","","122811","","0.2","","lsv_run"
"2","-220","1009802","1009802156","","0.8","122811","","","0","750"
"4","","1009802","1009802157","","","122711","","","","0"
"3","1","1009802","1009802158","","","122711","","0.2","","lsv_run"
"2","-250","1009802","1009802159","","0.8","122711","","","0","850"
"93","","1009802","1009802160","","","0.6","","","",""
"6","1","1009802","1009802161","0","1","122911","","0.2","0","1"
"6","1","1009802","1009802162","0","1","122811","","0.2","0","1"
"6","1","1009802","1009802163","0","1","122711","","0.2","0","1"
"91","","1009802","1009802164","","","0","","","",""
"1","101","1009803","1009803001","0","-700","1","lsv_idle_normal","1.95","-220","100411"
"1","100","1009803","1009803002","0","-550","1","lsv_idle_normal","1.95","-235","103611"
"1","102","1009803","1009803003","0","-800","1","lsv_idle_normal","1.95","-250","102011"
"5","0","1009803","1009803004","0","0","1","lsv_white_loop","1","0","333"
"6","1","1009803","1009803005","0","1","333","","0","0","1"
"31","-630","1009803","1009803006","","110","3","","0","1.3","13"
"6","1","1009803","1009803007","0","1","100411","","0","0","1"
"6","1","1009803","1009803008","0","1","103611","","0","0","1"
"6","1","1009803","1009803009","0","1","102011","","0","0","1"
"93","","1009803","1009803010","","","1","","","","0"
"6","1","1009803","1009803011","0","1","333","","0.8","0.4","1"
"3","1","1009803","1009803012","","","100411","","0.2","","lsv_walk_glad"
"2","-220","1009803","1009803013","","2","100411","","","0","-100"
"6","1","1009803","1009803014","0","1","100411","","0.4","1","1"
"3","1","1009803","1009803015","","","103611","","0.2","","lsv_walk_glad2"
"2","-235","1009803","1009803016","","2.2","103611","","","0","100"
"6","1","1009803","1009803017","0","1","103611","","0.4","1","1"
"3","1","1009803","1009803018","","","102011","","0.2","","lsv_walk_glad"
"2","-250","1009803","1009803019","","2","102011","","","0","-270"
"6","1","1009803","1009803020","0","1","102011","","0.4","1","1"
"32","","1009803","1009803021","","","13","","","","1"
"33","110","1009803","1009803022","","2","13","","","0","-180"
"93","","1009803","1009803023","","","2","","","",""
"32","","1009803","1009803024","","","13","","","","0"
"3","1","1009803","1009803025","","","100411","","0.2","","lsv_idle_normal"
"3","1","1009803","1009803026","","","102011","","0.2","","lsv_idle_normal"
"93","","1009803","1009803027","","","0.2","","","",""
"4","","1009803","1009803028","","","103611","","","","1"
"3","1","1009803","1009803029","","","103611","","0.2","","lsv_idle_normal"
