a9e3511f62504dee5e17c095066ed735457d40e701c90c6a705cd2e1ee5117f9,dd8710878833c54ef52de32147f40a72fde9966ac6ebf3a9d3b976443042d67b,84954fa73d673914a832db024baaf4c94c949a99169b230c6e50edeee213732d,f4ebafbdc253259a6e7285e917532d5a461d15407e9ec737253236536359956d,feec7bf0f73f3b19487e8ab0ce44cce6fb90378fa4a34336bfc7fe3913abad23,3236534485f85938636da389f2a87ae38a2ebf9c5013c2bf506173826f3f228d,c2ad364bf9c27a74f7b6cc21f5c97f7e79a0993a1e69a39746de04d05adb7f58,75065995db9554c345fda251f9f878499380110758d2f651c6a5b23068cf5e97,a8a996b0e964f5599285c0c72306e66daa8dabefbf575cd049c4a3f9e416baa9,48842b02976dd836ddf98e93753d9a5d6d539a972674762103951f4ae4da13eb,37638b0dd756bc1d5d890b4b63900e010916015ffca07f57e30ba80a96d73adb,962ae8bfcd96564f620cba79f3ed16d3fd2c5032eaff045f9a7816495c458cbc,fd0126a29005241c0aae8e2dbcd220c54ce9ff7874a5dc59d0d1eee6350a927a,30d984d59fc169ccd5c257d1d215c1ef7a044955cbeeb136602c18061d5c8715,8ee7c4ebf9aaae6d9f55589f9d963b6bf1931a7a5a89532ca6afcf97e4de5e10,f78718f014b3a523ea023fe646e00d8d2f8fb3b7848789a8e4e3bd8125e71d34,582d17c8a7ec24a5637cef64077b1ab755dcd0fa145f88de05b28727a6ccf1f7,fc70ef54208fd7ea72f6db1974a03c69dcc492c0c3bc3b48141e9bbbb264755f,4484362d6a887bd084f50c21a03dc88516b8702ca279d6f545bd2e12f8b2e7ae,df605c30697ff8e0197b3f49fa6f475677cb7de43cf7d9d8d0c8b875f5a64a07,bb79a33e1fd441b3d1927fdc835e072f381e8707b1b38b1076b9fe70ebd8b264,604282b05044024fc41e7153d5469cbf4b636ccc37c8f243771bf7457cfb983a,e4a8de6090573b0924c9ab489ce4f1c3986e4948fe25e20039f5080f03a53524,ea90afd4c38d9e99e6841bfeae993024a181489fa8a867fdb127da810f9f4aa6,b2cda13704c0eed5be12d1b7d950da09d5dc0308ff2730012bb7c3a8d942d138,82d3075e1d845e4e531050963db386307ef134026bccde34d60c2cdf3e910b75,202f66750065a0451cf00ecba6a73db8a33f65fa5a114c15d35af18074decb94,9138ad8ea3118244df58eea1125a6886992e28fed5aa6645ba53e1ec701276fb,56cc56c413f0e4c71d2a429b6337d9f392770d18ed7ceacba106e990cbbc95a6,b1cc78011b6cca0630af1cafed3c0aa7acb9e53618a2051c0be09e668830bad7,5d4c9ce9ebbcdc1d851b68fef195174c3d2690d0d0896c6717cee718259ea165,49af9147d4d3867ec63223b8a94e1558144cbae21124425bdab92d93bb72ab73,a1993a52f46a629a8bd32e4724bff428acf78f277238d0adc8a9578619cffe63,3d1e299a517e00e7390a819d90ebb842a58dd1125c1ac591d704874960b6e80c,16f37a3fcdcd2c24362fb5d875685a908801fbc9c3c78ecbb83c72544f1e22e3,d8ae98947db1a68739dd2539d4ddc5733690325154fcb3fc41428e3cad9c6eb7,7f95212fbe9f8159bf2f6b41ea3af4bbe911e67e15b89730f084e7d6f657f291,7af151b8c6686ad5fcc267cc1df11a08a73ea4f7d8f2b17cf1c905c3719d46d8,f0474ba6dec226de152ffc40d967032f806bd70acd2477391e569d5d3a9dea6a,eafa8a46e0afdedea8281dd4d18ca5166fb9a2aff2e21c2946b63436753646ef
"20","0","10","0","20","20","200000006","20","20","20","30","1","1","16","186","0","20","13","20","20","0","10","20","20","0","0","20","0","0","200100","20","0","20","20","20","0","620010020","1563","20","1"
"21","0","10","0","21","21","200000006","21","21","21","30","1","1","18","206","0","21","15","21","21","0","10","21","21","0","0","21","0","0","200100","21","0","21","21","21","0","620010021","1784","21","1"
"22","0","10","0","22","22","200000006","22","22","22","30","1","1","20","225","0","22","17","22","22","0","10","22","22","0","0","22","0","0","200100","22","0","22","22","22","0","620010022","2005","22","1"
"23","0","10","0","23","23","200000006","23","23","23","30","1","1","21","245","0","23","18","23","23","0","10","23","23","0","0","23","0","0","200100","23","0","23","23","23","0","620010023","2225","23","1"
"24","0","10","0","24","24","200000006","24","24","24","30","1","1","23","264","0","24","20","24","24","0","10","24","24","0","0","24","0","0","200100","24","0","24","24","24","0","620010024","2446","24","1"
"25","0","10","0","25","25","200000006","25","25","25","30","1","1","24","267","0","25","21","25","25","0","10","25","25","0","0","25","0","0","200100","25","0","25","25","25","0","620010025","2701","25","1"
"26","0","10","0","26","26","200000006","26","26","26","30","1","1","24","269","0","26","21","26","26","0","10","26","26","0","0","26","0","0","200100","26","0","26","26","26","0","620010026","2956","26","1"
"27","0","10","0","27","27","200000006","27","27","27","30","1","1","24","289","0","27","21","27","27","0","10","27","27","0","0","27","0","0","200100","27","0","27","27","27","0","620010027","3211","27","1"
"28","0","10","0","28","28","200000006","28","28","28","30","1","1","25","309","0","28","21","28","28","0","10","28","28","0","0","28","0","0","200100","28","0","28","28","28","0","620010028","3466","28","1"
"29","0","10","0","29","29","200000006","29","29","29","30","1","1","25","330","0","29","22","29","29","0","10","29","29","0","0","29","0","0","200100","29","0","29","29","29","0","620010029","3721","29","1"
"30","0","10","0","30","30","200000006","30","30","30","30","1","1","25","350","0","30","22","30","30","0","10","30","30","0","0","30","0","0","200100","30","0","30","30","30","0","620010030","3976","30","1"
"31","0","10","0","31","31","200000006","31","31","31","30","1","1","26","370","0","31","22","31","31","0","10","31","31","0","0","31","0","0","200100","31","0","31","31","31","0","620010031","4232","31","1"
"32","0","10","0","32","32","200000006","32","32","32","30","1","1","26","390","0","32","22","32","32","0","10","32","32","0","0","32","0","0","200100","32","0","32","32","32","0","620010032","4487","32","1"
"33","0","10","0","33","33","200000006","33","33","33","30","1","1","26","410","0","33","22","33","33","0","10","33","33","0","0","33","0","0","200100","33","0","33","33","33","0","620010033","4742","33","1"
"34","0","10","0","34","34","200000006","34","34","34","30","1","1","26","431","0","34","23","34","34","0","10","34","34","0","0","34","0","0","200100","34","0","34","34","34","0","620010034","4997","34","1"
"35","0","10","0","35","35","200000006","35","35","35","30","1","1","27","451","0","35","23","35","35","0","10","35","35","0","0","35","0","0","200100","35","0","35","35","35","0","620010035","5252","35","1"
"36","0","10","0","36","36","200000006","36","36","36","30","1","1","27","471","0","36","23","36","36","0","10","36","36","0","0","36","0","0","200100","36","0","36","36","36","0","620010036","5507","36","1"
"37","0","10","0","37","37","200000006","37","37","37","30","1","1","31","516","0","37","27","37","37","0","10","37","37","0","0","37","0","0","200100","37","0","37","37","37","0","620010037","5667","37","1"
"38","0","10","0","38","38","200000006","38","38","38","30","1","1","35","562","0","38","31","38","38","0","10","38","38","0","0","38","0","0","200100","38","0","38","38","38","0","620010038","5826","38","1"
"39","0","10","0","39","39","200000006","39","39","39","30","1","1","39","607","0","39","35","39","39","0","10","39","39","0","0","39","0","0","200100","39","0","39","39","39","0","620010039","5986","39","1"
"40","0","10","0","40","40","200000006","40","40","40","30","1","1","40","712","0","40","36","40","40","0","10","40","40","0","0","40","0","0","200100","40","0","40","40","40","0","620010040","7437","40","1"
"41","0","10","0","41","41","200000006","41","41","41","30","1","1","40","816","0","41","36","41","41","0","10","41","41","0","0","41","0","0","200100","41","0","41","41","41","0","620010041","8888","41","1"
"42","0","10","0","42","42","200000006","42","42","42","30","1","1","41","913","0","42","36","42","42","0","10","42","42","0","0","42","0","0","200100","42","0","42","42","42","0","620010042","9321","42","1"
"43","0","10","0","43","43","200000006","43","43","43","30","1","1","41","1010","0","43","36","43","43","0","10","43","43","0","0","43","0","0","200100","43","0","43","43","43","0","620010043","9754","43","1"
"44","0","10","0","44","44","200000006","44","44","44","30","1","1","45","1079","0","44","38","44","44","0","10","44","44","0","0","44","0","0","200100","44","0","44","44","44","0","620010044","10008","44","1"
"45","0","10","0","45","45","200000006","45","45","45","30","1","1","49","1148","0","45","41","45","45","0","10","45","45","0","0","45","0","0","200100","45","0","45","45","45","0","620010045","10263","45","1"
"46","0","10","0","46","46","200000006","46","46","46","30","1","1","53","1217","0","46","43","46","46","0","10","46","46","0","0","46","0","0","200100","46","0","46","46","46","0","620010046","10517","46","1"
"47","0","10","0","47","47","200000006","47","47","47","30","1","1","57","1286","0","47","45","47","47","0","10","47","47","0","0","47","0","0","200100","47","0","47","47","47","0","620010047","10771","47","1"
"48","0","10","0","48","48","200000006","48","48","48","30","1","1","61","1355","0","48","48","48","48","0","10","48","48","0","0","48","0","0","200100","48","0","48","48","48","0","620010048","11026","48","1"
"49","0","10","0","49","49","200000006","49","49","49","30","1","1","65","1424","0","49","50","49","49","0","10","49","49","0","0","49","0","0","200100","49","0","49","49","49","0","620010049","11280","49","1"
"50","0","10","0","50","50","200000006","50","50","50","30","1","1","69","1493","0","50","52","50","50","0","10","50","50","0","0","50","0","0","200100","50","0","50","50","50","0","620010050","11534","50","1"
"51","0","10","0","51","51","200000006","51","51","51","30","1","1","73","1562","0","51","55","51","51","0","10","51","51","0","0","51","0","0","200100","51","0","51","51","51","0","620010051","11789","51","1"
"52","0","10","0","52","52","200000006","52","52","52","30","1","1","77","1632","0","52","57","52","52","0","10","52","52","0","0","52","0","0","200100","52","0","52","52","52","0","620010052","12043","52","1"
"53","0","10","0","53","53","200000006","53","53","53","30","1","1","81","1701","0","53","59","53","53","0","10","53","53","0","0","53","0","0","200100","53","0","53","53","53","0","620010053","12297","53","1"
"54","0","10","0","54","54","200000006","54","54","54","30","1","1","85","1770","0","54","62","54","54","0","10","54","54","0","0","54","0","0","200100","54","0","54","54","54","0","620010054","12552","54","1"
"55","0","10","0","55","55","200000006","55","55","55","30","1","1","89","1839","0","55","64","55","55","0","10","55","55","0","0","55","0","0","200100","55","0","55","55","55","0","620010055","12806","55","1"
"56","0","10","0","56","56","200000006","56","56","56","30","1","1","93","1908","0","56","66","56","56","0","10","56","56","0","0","56","0","0","200100","56","0","56","56","56","0","620010056","13060","56","1"
"57","0","10","0","57","57","200000006","57","57","57","30","1","1","97","1977","0","57","69","57","57","0","10","57","57","0","0","57","0","0","200100","57","0","57","57","57","0","620010057","13315","57","1"
"58","0","10","0","58","58","200000006","58","58","58","30","1","1","101","2046","0","58","71","58","58","0","10","58","58","0","0","58","0","0","200100","58","0","58","58","58","0","620010058","13569","58","1"
"59","0","10","0","59","59","200000006","59","59","59","30","1","1","105","2115","0","59","73","59","59","0","10","59","59","0","0","59","0","0","200100","59","0","59","59","59","0","620010059","13823","59","1"
"60","0","10","0","60","60","200000006","60","60","60","30","1","1","109","2184","0","60","76","60","60","0","10","60","60","0","0","60","0","0","200100","60","0","60","60","60","0","620010060","14078","60","1"
"61","0","10","0","61","61","200000006","61","61","61","30","1","1","113","2253","0","61","78","61","61","0","10","61","61","0","0","61","0","0","200100","61","0","61","61","61","0","620010061","14332","61","1"
"62","0","10","0","62","62","200000006","62","62","62","30","1","1","113","2280","0","62","79","62","62","0","10","62","62","0","0","62","0","0","200100","62","0","62","62","62","0","620010062","15514","62","1"
"63","0","10","0","63","63","200000006","63","63","63","30","1","1","114","2306","0","63","79","63","63","0","10","63","63","0","0","63","0","0","200100","63","0","63","63","63","0","620010063","16696","63","1"
"64","0","10","0","64","64","200000006","64","64","64","30","1","1","114","2333","0","64","80","64","64","0","10","64","64","0","0","64","0","0","200100","64","0","64","64","64","0","620010064","17878","64","1"
"65","0","10","0","65","65","200000006","65","65","65","30","1","1","114","2359","0","65","81","65","65","0","10","65","65","0","0","65","0","0","200100","65","0","65","65","65","0","620010065","19060","65","1"
"66","0","10","0","66","66","200000006","66","66","66","30","1","1","115","2386","0","66","82","66","66","0","10","66","66","0","0","66","0","0","200100","66","0","66","66","66","0","620010066","20242","66","1"
"67","0","10","0","67","67","200000006","67","67","67","30","1","1","115","2412","0","67","82","67","67","0","10","67","67","0","0","67","0","0","200100","67","0","67","67","67","0","620010067","21425","67","1"
"68","0","10","0","68","68","200000006","68","68","68","30","1","1","115","2439","0","68","83","68","68","0","10","68","68","0","0","68","0","0","200100","68","0","68","68","68","0","620010068","22607","68","1"
"69","0","10","0","69","69","200000006","69","69","69","30","1","1","116","2466","0","69","84","69","69","0","10","69","69","0","0","69","0","0","200100","69","0","69","69","69","0","620010069","23789","69","1"
"70","0","10","0","70","70","200000006","70","70","70","30","1","1","116","2492","0","70","85","70","70","0","10","70","70","0","0","70","0","0","200100","70","0","70","70","70","0","620010070","24971","70","1"
"71","0","10","0","71","71","200000006","71","71","71","30","1","1","116","2519","0","71","85","71","71","0","10","71","71","0","0","71","0","0","200100","71","0","71","71","71","0","620010071","26153","71","1"
"1","0","10","0","1","1","200000001","1","1","1","30","1","1","8","108","0","1","10","1","1","0","10","1","1","0","0","1","0","0","200200","1","0","1","1","1","0","620020001","924","1","1"
"2","0","10","0","2","2","200000001","2","2","2","30","1","1","8","111","0","2","10","2","2","0","10","2","2","0","0","2","0","0","200200","2","0","2","2","2","0","620020002","927","2","1"
"3","0","10","0","3","3","200000001","3","3","3","30","1","1","8","114","0","3","10","3","3","0","10","3","3","0","0","3","0","0","200200","3","0","3","3","3","0","620020003","930","3","1"
"4","0","10","0","4","4","200000001","4","4","4","30","1","1","9","117","0","4","11","4","4","0","10","4","4","0","0","4","0","0","200200","4","0","4","4","4","0","620020004","933","4","1"
"5","0","10","0","5","5","200000001","5","5","5","30","1","1","9","120","0","5","11","5","5","0","10","5","5","0","0","5","0","0","200200","5","0","5","5","5","0","620020005","936","5","1"
"6","0","10","0","6","6","200000001","6","6","6","30","1","1","9","123","0","6","11","6","6","0","10","6","6","0","0","6","0","0","200200","6","0","6","6","6","0","620020006","939","6","1"
"7","0","10","0","7","7","200000001","7","7","7","30","1","1","10","126","0","7","12","7","7","0","10","7","7","0","0","7","0","0","200200","7","0","7","7","7","0","620020007","942","7","1"
"8","0","10","0","8","8","200000001","8","8","8","30","1","1","10","129","0","8","12","8","8","0","10","8","8","0","0","8","0","0","200200","8","0","8","8","8","0","620020008","945","8","1"
"9","0","10","0","9","9","200000001","9","9","9","30","1","1","10","132","0","9","12","9","9","0","10","9","9","0","0","9","0","0","200200","9","0","9","9","9","0","620020009","948","9","1"
"10","0","10","0","10","10","200000001","10","10","10","30","1","1","11","135","0","10","13","10","10","0","10","10","10","0","0","10","0","0","200200","10","0","10","10","10","0","620020010","951","10","1"
"11","0","10","0","11","11","200000001","11","11","11","30","1","1","11","138","0","11","13","11","11","0","10","11","11","0","0","11","0","0","200200","11","0","11","11","11","0","620020011","954","11","1"
"12","0","10","0","12","12","200000001","12","12","12","30","1","1","11","141","0","12","13","12","12","0","10","12","12","0","0","12","0","0","200200","12","0","12","12","12","0","620020012","957","12","1"
"13","0","10","0","13","13","200000001","13","13","13","30","1","1","12","144","0","13","14","13","13","0","10","13","13","0","0","13","0","0","200200","13","0","13","13","13","0","620020013","960","13","1"
"14","0","10","0","14","14","200000001","14","14","14","30","1","1","12","147","0","14","14","14","14","0","10","14","14","0","0","14","0","0","200200","14","0","14","14","14","0","620020014","963","14","1"
"15","0","10","0","15","15","200000001","15","15","15","30","1","1","13","151","0","15","15","15","15","0","10","15","15","0","0","15","0","0","200200","15","0","15","15","15","0","620020015","966","15","1"
"16","0","10","0","16","16","200000001","16","16","16","30","1","1","13","175","0","16","15","16","16","0","10","16","16","0","0","16","0","0","200200","16","0","16","16","16","0","620020016","1322","16","1"
"17","0","10","0","17","17","200000001","17","17","17","30","1","1","13","199","0","17","15","17","17","0","10","17","17","0","0","17","0","0","200200","17","0","17","17","17","0","620020017","1678","17","1"
"18","0","10","0","18","18","200000001","18","18","18","30","1","1","13","207","0","18","15","18","18","0","10","18","18","0","0","18","0","0","200200","18","0","18","18","18","0","620020018","1884","18","1"
"19","0","10","0","19","19","200000001","19","19","19","30","1","1","14","215","0","19","16","19","19","0","10","19","19","0","0","19","0","0","200200","19","0","19","19","19","0","620020019","2090","19","1"
"20","0","10","0","20","20","200000001","20","20","20","30","1","1","14","223","0","20","16","20","20","0","10","20","20","0","0","20","0","0","200200","20","0","20","20","20","0","620020020","2296","20","1"
"21","0","10","0","21","21","200000001","21","21","21","30","1","1","14","237","0","21","17","21","21","0","10","21","21","0","0","21","0","0","200200","21","0","21","21","21","0","620020021","2377","21","1"
"22","0","10","0","22","22","200000001","22","22","22","30","1","1","14","251","0","22","17","22","22","0","10","22","22","0","0","22","0","0","200200","22","0","22","22","22","0","620020022","2458","22","1"
"23","0","10","0","23","23","200000001","23","23","23","30","1","1","14","251","0","23","17","23","23","0","10","23","23","0","0","23","0","0","200200","23","0","23","23","23","0","620020023","2658","23","1"
"24","0","10","0","24","24","200000001","24","24","24","30","1","1","16","268","0","24","19","24","24","0","10","24","24","0","0","24","0","0","200200","24","0","24","24","24","0","620020024","2829","24","1"
"25","0","10","0","25","25","200000001","25","25","25","30","1","1","18","285","0","25","21","25","25","0","10","25","25","0","0","25","0","0","200200","25","0","25","25","25","0","620020025","2999","25","1"
"26","0","10","0","26","26","200000001","26","26","26","30","1","1","19","302","0","26","24","26","26","0","10","26","26","0","0","26","0","0","200200","26","0","26","26","26","0","620020026","3170","26","1"
"27","0","10","0","27","27","200000001","27","27","27","30","1","1","21","319","0","27","26","27","27","0","10","27","27","0","0","27","0","0","200200","27","0","27","27","27","0","620020027","3340","27","1"
"28","0","10","0","28","28","200000001","28","28","28","30","1","1","23","336","0","28","28","28","28","0","10","28","28","0","0","28","0","0","200200","28","0","28","28","28","0","620020028","3511","28","1"
"29","0","10","0","29","29","200000001","29","29","29","30","1","1","23","380","0","29","29","29","29","0","10","29","29","0","0","29","0","0","200200","29","0","29","29","29","0","620020029","4632","29","1"
"30","0","10","0","30","30","200000001","30","30","30","30","1","1","23","412","0","30","29","30","30","0","10","30","30","0","0","30","0","0","200200","30","0","30","30","30","0","620020030","4717","30","1"
"31","0","10","0","31","31","200000001","31","31","31","30","1","1","23","443","0","31","28","31","31","0","10","31","31","0","0","31","0","0","200200","31","0","31","31","31","0","620020031","4802","31","1"
"32","0","10","0","32","32","200000001","32","32","32","30","1","1","23","432","0","32","28","32","32","0","10","32","32","0","0","32","0","0","200200","32","0","32","32","32","0","620020032","4887","32","1"
"33","0","10","0","33","33","200000001","33","33","33","30","1","1","23","420","0","33","28","33","33","0","10","33","33","0","0","33","0","0","200200","33","0","33","33","33","0","620020033","4972","33","1"
"34","0","10","0","34","34","200000001","34","34","34","30","1","1","24","499","0","34","28","34","34","0","10","34","34","0","0","34","0","0","200200","34","0","34","34","34","0","620020034","5985","34","1"
"35","0","10","0","35","35","200000001","35","35","35","30","1","1","27","525","0","35","32","35","35","0","10","35","35","0","0","35","0","0","200200","35","0","35","35","35","0","620020035","6241","35","1"
"36","0","10","0","36","36","200000001","36","36","36","30","1","1","30","550","0","36","36","36","36","0","10","36","36","0","0","36","0","0","200200","36","0","36","36","36","0","620020036","6497","36","1"
"37","0","10","0","37","37","200000001","37","37","37","30","1","1","32","576","0","37","39","37","37","0","10","37","37","0","0","37","0","0","200200","37","0","37","37","37","0","620020037","6752","37","1"
"38","0","10","0","38","38","200000001","38","38","38","30","1","1","35","601","0","38","43","38","38","0","10","38","38","0","0","38","0","0","200200","38","0","38","38","38","0","620020038","7008","38","1"
"39","0","10","0","39","39","200000001","39","39","39","30","1","1","33","671","0","39","42","39","39","0","10","39","39","0","0","39","0","0","200200","39","0","39","39","39","0","620020039","7387","39","1"
"40","0","10","0","40","40","200000001","40","40","40","30","1","1","35","679","0","40","44","40","40","0","10","40","40","0","0","40","0","0","200200","40","0","40","40","40","0","620020040","8119","40","1"
"41","0","10","0","41","41","200000001","41","41","41","30","1","1","37","729","0","41","46","41","41","0","10","41","41","0","0","41","0","0","200200","41","0","41","41","41","0","620020041","9635","41","1"
"42","0","10","0","42","42","200000001","42","42","42","30","1","1","38","778","0","42","47","42","42","0","10","42","42","0","0","42","0","0","200200","42","0","42","42","42","0","620020042","11151","42","1"
"43","0","10","0","43","43","200000001","43","43","43","30","1","1","38","790","0","43","47","43","43","0","10","43","43","0","0","43","0","0","200200","43","0","43","43","43","0","620020043","11476","43","1"
"44","0","10","0","44","44","200000001","44","44","44","30","1","1","39","802","0","44","47","44","44","0","10","44","44","0","0","44","0","0","200200","44","0","44","44","44","0","620020044","11802","44","1"
"45","0","10","0","45","45","200000001","45","45","45","30","1","1","39","814","0","45","47","45","45","0","10","45","45","0","0","45","0","0","200200","45","0","45","45","45","0","620020045","12127","45","1"
"46","0","10","0","46","46","200000001","46","46","46","30","1","1","40","971","0","46","48","46","46","0","10","46","46","0","0","46","0","0","200200","46","0","46","46","46","0","620020046","13833","46","1"
"47","0","10","0","47","47","200000001","47","47","47","30","1","1","40","1128","0","47","49","47","47","0","10","47","47","0","0","47","0","0","200200","47","0","47","47","47","0","620020047","15539","47","1"
"48","0","10","0","48","48","200000001","48","48","48","30","1","1","41","1284","0","48","50","48","48","0","10","48","48","0","0","48","0","0","200200","48","0","48","48","48","0","620020048","17245","48","1"
"49","0","10","0","49","49","200000001","49","49","49","30","1","1","41","1441","0","49","51","49","49","0","10","49","49","0","0","49","0","0","200200","49","0","49","49","49","0","620020049","18951","49","1"
