9fbf4ed1fb54228eee718601072b3b4d2f9ab9980701a6e698e15d8bf17e7511,111e683e337cc6202239e25651d43b759227180c428c2f9b8d6e06c41a324077,a9158afe605bc303e05f7c5895f8fcfefb6085eea6ac05d22a4deca62a660bd5,867d9693580107487e2c2d17e0d02d943911a762986649629f55b2d08a697e26,e06d285568dabd9ab52f3b6d9bb30b1314ff3500d0ef35df6e1dc398d4b7a277,fe715d25915f319b0778e3d75f8c03b1ac180525d4bbd83dcd3624526a00dd65,71fd726dcd7ba11dfc744941b6308d3ae35e6a7d789d340a8bc5121ee0cbc9ab,6266eeb0c842d9a3a1813e2dc00eac92937d467a5cde7a7e609539f60103a96e,1744557694b5d94a7497680527807d55cd4ea684dd5ce39d8fec8c3076fdb444,d4f60900f5fcf0cbfe855436045045abb272696765b829a45bd58dbb29d5b757,7baf0e34921a5fffdd01b9a4aac1d4b7a840a39f94d020c8c4eba2dfe6225a1b,bea5c246011d17bf37d4ba066859026147ee0f13c56f181ca6d52d55d88840f2
"1","0","0","0","11","515406259","0","1","315","60","5154062","59"
"4","0","1","0.8","0","515406301","0","0","0","0","5154063","1"
"2","vo_abd","0","0","0","515406302","vo_abd_0201","0","0","0","5154063","2"
"1","0","0","0","1","515406303","0","1.5","350","0","5154063","3"
"4","0","1","2.25","0","515406304","0","0","0","0","5154063","4"
"2","vo_abd","0","0","0","515406305","vo_abd_0202","0","0","0","5154063","5"
"1","0","0","0","2","515406306","0","1.8","350","0","5154063","6"
"4","0","1","3","0","515406307","0","0","0","0","5154063","7"
"2","vo_abd","0","0","0","515406308","vo_abd_0203","0","0","0","5154063","8"
"1","0","0","0","3","515406309","0","1.5","315","0","5154063","9"
"4","0","1","1.8","0","515406310","0","0","0","0","5154063","10"
"2","vo_abd","0","0","0","515406311","vo_abd_0204","0","0","0","5154063","11"
"1","0","0","0","4","515406312","0","1.3","300","0","5154063","12"
"4","0","1","2.5","0","515406313","0","0","0","0","5154063","13"
"2","vo_abd","0","0","0","515406314","vo_abd_0205","0","0","0","5154063","14"
"1","0","0","0","5","515406315","0","1.5","360","0","5154063","15"
"4","0","1","2","0","515406316","0","0","0","0","5154063","16"
"2","vo_abd","0","0","0","515406317","vo_abd_0206","0","0","0","5154063","17"
"1","0","0","0","6","515406318","0","1.8","310","0","5154063","18"
"4","0","1","3","0","515406319","0","0","0","0","5154063","19"
"2","vo_abd","0","0","0","515406320","vo_abd_0207","0","0","0","5154063","20"
"1","0","0","0","8","515406321","0","1.2","245","0","5154063","21"
"4","0","1","1.6","0","515406322","0","0","0","0","5154063","22"
"1","0","0","0","8","515406323","0","0.45","400","245","5154063","23"
"4","0","1","0.45","0","515406324","0","0","0","0","5154063","24"
"2","vo_abd","0","0","0","515406325","vo_abd_0208","0","0","0","5154063","25"
"1","0","0","0","9","515406326","0","1.1","300","0","5154063","26"
"4","0","1","1.6","0","515406327","0","0","0","0","5154063","27"
"2","vo_abd","0","0","0","515406328","vo_abd_0209","0","0","0","5154063","28"
"1","0","0","0","10","515406329","0","0.5","280","0","5154063","29"
"4","0","1","0.5","0","515406330","0","0","0","0","5154063","30"
"2","vo_abd","0","0","0","515406331","vo_abd_0210","0","0","0","5154063","31"
"1","0","0","0","11","515406332","0","1","360","0","5154063","32"
"4","0","1","0.8","0","515406401","0","0","0","0","5154064","1"
"2","vo_abd","0","0","0","515406402","vo_abd_0301","0","0","0","5154064","2"
"1","0","0","0","1","515406403","0","2","330","0","5154064","3"
"4","0","1","2.8","0","515406404","0","0","0","0","5154064","4"
"2","vo_abd","0","0","0","515406405","vo_abd_0302","0","0","0","5154064","5"
"1","0","0","0","2","515406406","0","2","400","0","5154064","6"
"4","0","1","3.5","0","515406407","0","0","0","0","5154064","7"
"2","vo_abd","0","0","0","515406408","vo_abd_0303","0","0","0","5154064","8"
"1","0","0","0","3","515406409","0","2.8","425","0","5154064","9"
"4","0","1","3.5","0","515406410","0","0","0","0","5154064","10"
"2","vo_abd","0","0","0","515406411","vo_abd_0304","0","0","0","5154064","11"
"1","0","0","0","4","515406412","0","3","450","0","5154064","12"
"4","0","1","4","0","515406413","0","0","0","0","5154064","13"
"2","vo_abd","0","0","0","515406414","vo_abd_0305","0","0","0","5154064","14"
"1","0","0","0","5","515406415","0","0.2","35","0","5154064","15"
"4","0","1","1.05","0","515406416","0","0","0","0","5154064","16"
"1","0","0","0","5","515406417","0","2","420","45","5154064","17"
"4","0","1","3.5","0","515406418","0","0","0","0","5154064","18"
"2","vo_abd","0","0","0","515406419","vo_abd_0306","0","0","0","5154064","19"
"1","0","0","0","6","515406420","0","1","175","0","5154064","20"
"4","0","1","1.7","0","515406421","0","0","0","0","5154064","21"
"1","0","0","0","6","515406422","0","1","260","175","5154064","22"
"4","0","1","2.8","0","515406423","0","0","0","0","5154064","23"
"1","0","0","0","6","515406424","0","0.8","400","260","5154064","24"
"4","0","1","0.96","0","515406425","0","0","0","0","5154064","25"
"2","vo_abd","0","0","0","515406426","vo_abd_0307","0","0","0","5154064","26"
"1","0","0","0","7","515406427","0","1.5","245","0","5154064","27"
"4","0","1","1.7","0","515406428","0","0","0","0","5154064","28"
"1","0","0","0","7","515406429","0","0.8","400","245","5154064","29"
"4","0","1","2","0","515406430","0","0","0","0","5154064","30"
"2","vo_abd","0","0","0","515406431","vo_abd_0308","0","0","0","5154064","31"
"1","0","0","0","8","515406432","0","1","208","0","5154064","32"
"4","0","1","2","0","515406433","0","0","0","0","5154064","33"
"1","0","0","0","8","515406434","0","0.3","270","208","5154064","34"
"4","0","1","1.5","0","515406435","0","0","0","0","5154064","35"
"1","0","0","0","8","515406436","0","0.8","400","275","5154064","36"
"4","0","1","2","0","515406437","0","0","0","0","5154064","37"
"2","vo_abd","0","0","0","515406438","vo_abd_0309","0","0","0","5154064","38"
"1","0","0","0","9","515406439","0","2","300","0","5154064","39"
"4","0","1","2.65","0","515406440","0","0","0","0","5154064","40"
"1","0","0","0","9","515406441","0","1","425","300","5154064","41"
"4","0","1","2","0","515406442","0","0","0","0","5154064","42"
"2","vo_abd","0","0","0","515406443","vo_abd_0310","0","0","0","5154064","43"
"1","0","0","0","10","515406444","0","2.5","375","0","5154064","44"
"4","0","1","4","0","515406445","0","0","0","0","5154064","45"
"2","vo_abd","0","0","0","515406446","vo_abd_0311","0","0","0","5154064","46"
"1","0","0","0","11","515406447","0","1.2","165","0","5154064","47"
"4","0","1","2","0","515406448","0","0","0","0","5154064","48"
"1","0","0","0","11","515406449","0","1","295","165","5154064","49"
"4","0","1","2.5","0","515406450","0","0","0","0","5154064","50"
"1","0","0","0","11","515406451","0","0.5","400","295","5154064","51"
"4","0","1","0.8","0","515406501","0","0","0","0","5154065","1"
"2","vo_abd","0","0","0","515406502","vo_abd_0401","0","0","0","5154065","2"
"1","0","0","0","1","515406503","0","2","400","0","5154065","3"
"4","0","1","3.2","0","515406504","0","0","0","0","5154065","4"
"2","vo_abd","0","0","0","515406505","vo_abd_0402","0","0","0","5154065","5"
"1","0","0","0","2","515406506","0","2","400","0","5154065","6"
"4","0","1","3.7","0","515406507","0","0","0","0","5154065","7"
"2","vo_abd","0","0","0","515406508","vo_abd_0403","0","0","0","5154065","8"
"1","0","0","0","3","515406509","0","2","400","0","5154065","9"
"4","0","1","3","0","515406510","0","0","0","0","5154065","10"
"2","vo_abd","0","0","0","515406511","vo_abd_0404","0","0","0","5154065","11"
"1","0","0","0","4","515406512","0","1","155","0","5154065","12"
"4","0","1","1.15","0","515406513","0","0","0","0","5154065","13"
"1","0","0","0","4","515406514","0","1","425","155","5154065","14"
"4","0","1","2.5","0","515406515","0","0","0","0","5154065","15"
"2","vo_abd","0","0","0","515406516","vo_abd_0405","0","0","0","5154065","16"
"1","0","0","0","5","515406517","0","2.4","450","0","5154065","17"
"4","0","1","2.9","0","515406518","0","0","0","0","5154065","18"
"2","vo_abd","0","0","0","515406519","vo_abd_0407","0","0","0","5154065","19"
"1","0","0","0","6","515406520","0","1","300","0","5154065","20"
"4","0","1","1.5","0","515406521","0","0","0","0","5154065","21"
"2","vo_abd","0","0","0","515406522","vo_abd_0408","0","0","0","5154065","22"
"1","0","0","0","7","515406523","0","1","250","0","5154065","23"
"4","0","1","1","0","515406524","0","0","0","0","5154065","24"
"2","vo_abd","0","0","0","515406525","vo_abd_0409","0","0","0","5154065","25"
"1","0","0","0","8","515406526","0","1","250","0","5154065","26"
"4","0","1","2","0","515406527","0","0","0","0","5154065","27"
"2","vo_abd","0","0","0","515406528","vo_abd_0410","0","0","0","5154065","28"
"1","0","0","0","9","515406529","0","0.2","50","0","5154065","29"
"4","0","1","0.7","0","515406530","0","0","0","0","5154065","30"
"1","0","0","0","9","515406531","0","1.5","280","50","5154065","31"
"4","0","1","2.5","0","515406532","0","0","0","0","5154065","32"
"2","vo_abd","0","0","0","515406533","vo_abd_0411","0","0","0","5154065","33"
"1","0","0","0","10","515406534","0","0.2","35","0","5154065","34"
"4","0","1","1.08","0","515406535","0","0","0","0","5154065","35"
"1","0","0","0","10","515406536","0","0.3","107","35","5154065","36"
"4","0","1","0.9","0","515406537","0","0","0","0","5154065","37"
"1","0","0","0","10","515406538","0","1.5","425","107","5154065","38"
