e7e0af9f0a9c17cfb61c5837b3f0ca2d8b6e74f33a449a325298415390ce1edd,02a7def473bd67c4c875200b381f99cf44ef85a41b60cb98eb44811c15615f49,a6b13e10aedaf66364bee26022bff66702a11a1bb1cd2a849b51d034b3e4cdcb,f3430f4fe1d3a9f698aaf6526a13fb4c9ec7307fb25cf2d97f3568949f5ecb8d,924460479590bd289fcd116ccefd82542e8ee9c8e097b98a5311e69f5d6e3c57,058393f3e06cb018d161fc55f6e0ccb0b1d243380ac8a18bf000b209e6ad9e60,b486c8fa185b44bc310423a487e1b92c3de9b8fc026560e3a43ced12fd0571fd,f5bcb98dd65a042d0aa74225d8b7937eb2deffeb4212285115871525a38b8507,d921be8f07186053e5f26ff180e396fd0e867e678d85b3b3b12fee4de04083d5,494049a9b4ea43a45a9116aaa28e80ac9b0ce7d0df09358327aeab4846d4304a,3f4918204d67e08cf13385b1e2cb7a21511e695424f30334d5c7fd4734021dfd
"3","","0.2","","101","103231","1","","nyx_idle_joy1","11010021",""
"3","","0.2","","101","104631","1","","nyx_cmn_05","11010022",""
"91","","","","101","11010019","","","","11010023",""
"3","","0.2","","101","2","0","1","nyx_101_chieru_01","11010024","nyx_101_chieru_loop"
"3","","0.2","","101","110931","0","1","nyx_101_chieru_01","11010025","nyx_101_chieru_loop"
"11","","","","101","110931","7","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","11010026",""
"93","","","","101","0.4","","","","11010027",""
"32","","","","101","3","","","0","11010028",""
"32","","","","101","3","","","1","11010029",""
"93","","","","101","0.6","","","","11010030",""
"3","","0.2","","101","103431","1","","nyx_talk_bitter","11010031",""
"3","","0.2","","101","104631","1","","nyx_cmn_04","11010032",""
"93","","","","101","2","","","","11010033",""
"3","","0.2","","101","2","0","1","nyx_101_chieru_02","11010034","nyx_101_chieru_loop"
"3","","0.2","","101","110931","0","1","nyx_101_chieru_02","11010035","nyx_101_chieru_loop"
"93","","","","101","0.4","","","","11010036",""
"32","","","","101","3","","","0","11010037",""
"32","","","","101","4","","","1","11010038",""
"91","","","","101","11010026","","","","11010039",""
"3","","0.2","","101","103431","1","","nyx_idle_bitter","11010040",""
"3","","0.2","","101","104831","1","","nyx_talk_sad","11010041",""
"11","","","","101","104831","10","","ね、ねぇ…\n廊下の方から\n何か聞こえない？","11010042",""
"91","","","","101","0","","","","11010043",""
"4","","","","101","110931","","","1","11010044",""
"4","","","","101","2","","","1","11010045",""
"3","","0.2","","101","2","0","1","nyx_101_chieru_02","11010046","nyx_101_chieru_loop"
"3","","0.2","","101","110931","0","1","nyx_101_chieru_02","11010047","nyx_101_chieru_loop"
"3","","0.2","","101","104831","1","","nyx_idle_sad","11010048",""
"3","","0.2","","101","104631","1","","nyx_talk_sad","11010049",""
"11","","","","101","104631","10","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","11010050",""
"91","","","","101","0","","","","11010051",""
"3","","0.2","","101","104631","1","","nyx_idle_sad","11010052",""
"3","","0.2","","101","103431","1","","nyx_talk_sad","11010053",""
"11","","","","101","103431","10","","学校の七不思議的な\nやつかしら…\nか、帰りたい…","11010054",""
"91","","","","101","0","","","","11010055",""
"3","","0.2","","101","103431","1","","nyx_idle_sad","11010056",""
"3","","0.2","","101","103231","1","","nyx_talk_joy2","11010057",""
"11","","","","101","103231","10","","面白いですわね！\n何が出てくるか\nワクワクしますわ！","11010058",""
"91","","","","101","0","","","","11010059",""
"93","","","","101","0.4","","","","11010060",""
"4","","","","101","110931","","","0","11010061",""
"4","","","","101","2","","","0","11010062",""
"3","","0.2","","101","110931","0","1","nyx_101_chieru_01","11010063","nyx_101_chieru_loop"
"3","","0.2","","101","2","0","1","nyx_101_chieru_01","11010064","nyx_101_chieru_loop"
"12","","","","101","104831","1","","1","11010065",""
"3","0.2","0.2","","101","104831","0","1","nyx_talk_sad","11010066","nyx_idle_sad"
"93","","","","101","0.4","","","","11010067",""
"32","","","","101","3","","","0","11010068",""
"32","","","","101","3","","","1","11010069",""
"93","","","","101","1.6","","","","11010070",""
"12","","","","101","104631","1","","15","11010071",""
"3","0.2","0.2","","101","104631","0","1","nyx_talk_sad","11010072","nyx_idle_sad"
"93","","","","101","3","","","","11010073",""
"4","","","","101","110931","","","1","11010074",""
"4","","","","101","2","","","1","11010075",""
"3","","0.2","","101","110931","0","1","nyx_101_chieru_02","11010076","nyx_101_chieru_loop"
"3","","0.2","","101","2","0","1","nyx_101_chieru_02","11010077","nyx_101_chieru_loop"
"12","","","","101","103231","1","","10","11010078",""
"3","0.2","0.2","","101","103231","0","1","nyx_talk_joy1","11010079","nyx_idle_joy1"
"93","","","","101","2","","","","11010080",""
"12","","","","101","103431","1","","2","11010081",""
"3","0.2","0.2","","101","103431","0","1","nyx_talk_sad","11010082","nyx_idle_sad"
"93","","","","101","2.5","","","","11010083",""
"101","","","","101","11010060","","","","11010084",""
"1","1","1.35","nyx_102_chloe_01","102","1","110","-209.3","110831","11020001","-362"
"1","0","1.35","nyx_102_mifuyu_01","102","1","110","-182.5","104831","11020002","90"
"1","0","1.35","nyx_idle_normal","102","1","110","-182.5","104631","11020003","220"
"1","1","1.35","nyx_talk_normal","102","1","110","-182.5","103231","11020004","336"
"1","1","1.35","nyx_idle_normal","102","1","110","-182.5","103431","11020005","457"
"31","","1","","102","1","0","1","1","11020006","0"
"5","0","1.35","NoItem","102","2","120","-209.3","2","11020007","-362"
"25","","","","102","bgm_M347","","","bgm_M347","11020008",""
"93","","","","102","2","","","","11020009",""
"3","","0.2","","102","110831","1","","nyx_102_chloe_02","11020010",""
"11","","","","102","110831","10","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","11020011",""
"91","","","","102","0","","","1","11020012",""
"3","","0.2","","102","110831","1","","nyx_idle_sad","11020013",""
"11","","","","102","110831","10","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","11020014",""
"91","","","","102","0","","","1","11020015",""
"3","0.2","0.2","","102","110831","0","1","cmn_pose02_def_N","11020016","nyx_102_chloe_02"
"11","","","","102","110831","10","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","11020017",""
"93","","","","102","3","","","","11020018",""
"3","","0.2","","102","103231","1","","nyx_idle_normal","11020019",""
"3","","0.2","","102","104631","1","","nyx_talk_sad","11020020",""
"4","","","","102","110831","","","0","11020021",""
"91","","","","102","11020016","","","","11020022",""
"93","","","","102","1","","","","11020023",""
"3","","0.2","","102","110831","1","","nyx_102_chloe_01","11020024",""
"11","","","","102","110831","10","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","11020025",""
"93","","","","102","2.5","","","","11020026",""
"3","","0.2","","102","110831","0","1","nyx_102_chloe_03","11020027","nyx_102_chloe_03_loop"
"3","","0.2","","102","2","0","1","nyx_102_chloe_03","11020028","nyx_102_chloe_03_loop"
"91","","","","102","11020025","","","","11020029",""
"93","","","","102","1","","","","11020030",""
"11","","","","102","104831","10","","ちぇる…ちぇる…","11020031",""
"93","","","","102","1.5","","","","11020032",""
"4","","","","102","104631","0","","1","11020033",""
"3","0.2","0.2","","102","104631","0","1","cmn_shock_def_N","11020034","nyx_idle_surprise2"
"3","0.2","0.2","","102","103431","0","1","cmn_shock_def_N","11020035","nyx_idle_surprise2"
"3","0.2","0.2","","102","103231","0","1","nyx_surprise","11020036","nyx_idle_surprise1"
"93","","","","102","1.5","","","","11020037",""
"3","0.2","0.2","","102","104631","1","1","nyx_talk_surprise2","11020038",""
"3","","0.2","","102","103431","1","","nyx_102_yukari_01","11020039",""
"11","","","","102","103431","10","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","11020040",""
"91","","","","102","0","","","1","11020041",""
"3","0.2","0.2","","102","103431","0","1","cmn_shock_def_N","11020042","nyx_102_tamaki_01_loop"
"4","","","","102","103231","0","","0","11020043",""
"4","","","","102","104631","0","","0","11020044",""
"91","","","","102","0","","","","11020045",""
"11","","","","102","104631","10","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","11020046",""
"93","","","","102","2.6","","","","11020047",""
"3","0.2","0.2","","102","104631","0","1","nyx_102_tamaki_01","11020048","nyx_102_tamaki_01_loop"
"93","","","","102","0.1","","","","11020049",""
"4","","","","102","103231","0","","1","11020050",""
"93","","","","102","1.5","","","","11020051",""
"11","","","","102","103231","10","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","11020052",""
"91","","","","102","0","","","","11020053",""
"93","","","","102","1","","","","11020054",""
"3","","0.2","","102","110831","0","1","nyx_102_chloe_04","11020055","nyx_102_chloe_03_loop"
"3","","0.2","","102","2","0","1","nyx_102_chloe_04","11020056","nyx_102_chloe_03_loop"
"93","","","","102","1.5","","","","11020057",""
"12","","","","102","110831","1","","12","11020058",""
"93","","","","102","1","","","","11020059",""
"12","","","","102","103431","1","","1","11020060",""
"3","0.2","0.2","","102","103431","0","1","nyx_cmn_01","11020061","nyx_cmn_03"
"3","0.2","0.2","","102","104631","1","1","nyx_idle_worry","11020062",""
"93","","","","102","2","","","","11020063",""
"12","","","","102","104831","1","","12","11020064",""
"93","","","","102","2","","","","11020065",""
"12","","","","102","103231","1","","10","11020066",""
"3","0.2","0.2","","102","103231","0","1","nyx_talk_normal","11020067","nyx_idle_normal"
"93","","","","102","2","","","","11020068",""
"12","","","","102","104631","1","","2","11020069",""
"3","0.2","0.2","","102","104631","0","1","nyx_talk_sad","11020070","nyx_idle_worry"
"93","","","","102","4","","","","11020071",""
"101","","","","102","11020055","","","1","11020072",""
"1","0","1.35","nyx_103_yuni_01","103","1","110","-209.3","111031","11030001","-421"
"1","0","1.35","nyx_idle_normal","103","1","110","-182.5","104831","11030002","121.8"
"5","0","1.35","NoItem","103","2","120","-182.5","2","11030003","121.8"
"1","0","1.35","nyx_idle_normal","103","1","110","-182.5","104631","11030004","227.7"
"5","0","1.35","NoItem","103","2","120","-182.5","2","11030005","227.7"
"1","1","1.35","nyx_idle_normal","103","1","110","-182.5","103231","11030006","340.3"
"1","1","1.35","nyx_cmn_03","103","1","110","-182.5","103431","11030007","449.6"
"5","1","1.35","NoItem","103","2","120","-182.5","2","11030008","449.6"
"31","","1","","103","1","0","1","1","11030009","0"
"25","","","","103","bgm_M347","","","bgm_M347","11030010",""
"93","","","","103","2","","","","11030011",""
"3","","0.2","","103","103431","1","","nyx_talk_sad","11030012",""
"11","","","","103","103431","10","","プレゼンって\nこんなに\n疲れるものなの…？","11030013",""
"91","","","","103","0","","","","11030014",""
"3","","0.2","","103","103431","1","","nyx_cmn_03","11030015",""
"3","","0.2","","103","104831","1","","nyx_cmn_05","11030016",""
"11","","","","103","104831","10","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","11030017",""
"91","","","","103","0","","","","11030018",""
"3","","0.2","","103","104831","1","","nyx_cmn_04","11030019",""
"3","","0.2","","103","103231","1","","nyx_talk_normal","11030020",""
"11","","","","103","103231","10","","あら？\n次もなかよし部の方\nみたいですわよ？","11030021",""
"91","","","","103","0","","","","11030022",""
"3","","0.2","","103","103231","1","","nyx_idle_normal","11030023",""
"3","","0.2","","103","104631","1","","nyx_talk_sad","11030024",""
"11","","","","103","104631","10","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","11030025",""
"93","","","","103","2.6","","","","11030026",""
"3","","0.2","","103","111031","1","","nyx_102_chloe_01","11030027",""
"91","","","","103","11030025","","","","11030028",""
"3","0.3","0.2","","103","104631","0","1","nyx_cmn_02","11030029","nyx_idle_sad"
"3","","0.2","","103","2","0","","nyx_cmn_02","11030030",""
"3","0.3","0.2","","103","103431","0","1","nyx_cmn_02","11030031","nyx_cmn_03"
"3","","0.2","","103","2","0","","nyx_cmn_02","11030032",""
"3","0.2","0.2","","103","104831","0","1","nyx_cmn_02","11030033","nyx_idle_normal"
"3","","0.2","","103","2","0","","nyx_cmn_02","11030034",""
"93","","","","103","1.5","","","","11030035",""
"3","","0.2","","103","111031","1","","nyx_303_yuni_01","11030036",""
"11","","","","103","111031","10","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","11030037",""
"93","","","","103","2.8","","","","11030038",""
"12","","","","103","104831","1","","13","11030039",""
"3","","0.2","","103","104831","1","","nyx_talk_normal","11030040",""
"91","","","","103","11030037","","","","11030041",""
"11","","","","103","111031","10","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","11030042",""
"91","","","","103","0","","","","11030043",""
"3","","0.2","","103","111031","1","","nyx_103_yuni_02","11030044",""
"11","","","","103","111031","10","","いざ上級生としての\n責務を果たす時だ","11030045",""
"93","","","","103","1.5","","","","11030046",""
"12","","","","103","103231","1","","17","11030047",""
"3","","0.2","","103","104831","1","","nyx_idle_normal","11030048",""
"3","","0.2","","103","103231","1","","nyx_cmn_05","11030049",""
"91","","","","103","11030045","","","","11030050",""
"3","0.6","0.3","","103","111031","0","0","nyx_103_yuni_03","11030051","nyx_103_yuni_04"
"11","","","","103","111031","10","","ユニちゃんズの\n名に懸けて…！","11030052",""
"91","","","","103","0","","","","11030053",""
"3","","0.2","","103","103231","1","","nyx_idle_normal","11030054",""
"93","","","","103","0.6","","","","11030055",""
"12","","0.2","","103","111031","1","","12","11030056",""
"3","0.2","0.2","","103","111031","0","1","cmn_pose02_def_N","11030057","nyx_idle_normal"
"93","","","","103","1.5","","","","11030058",""
"12","","","","103","104631","1","","15","11030059",""
"3","0.2","0.2","","103","104631","0","1","nyx_talk_sad","11030060","nyx_idle_worry"
"93","","","","103","2","","","","11030061",""
"12","","","","103","103231","1","","10","11030062",""
"3","0.2","0.2","","103","103231","0","1","nyx_talk_joy1","11030063","nyx_idle_normal"
"3","0.2","0.2","","103","111031","0","1","nyx_103_yuni_01","11030064","nyx_idle_normal"
"93","","","","103","2.5","","","","11030065",""
"12","","","","103","103431","1","","1","11030066",""
"3","0.3","0.2","","103","103431","0","1","nyx_cmn_01","11030067","nyx_cmn_03"
"93","","","","103","2","","","","11030068",""
"12","","","","103","104831","1","","12","11030069",""
"3","","0.2","","103","104831","1","","nyx_talk_bitter","11030070",""
"93","","","","103","2","","","","11030071",""
"3","","0.2","","103","104831","1","","nyx_idle_bitter","11030072",""
"93","","","","103","1","","","","11030073",""
"101","","","","103","11030056","","","","11030074",""
"1","1","1.2","nyx_201_akino_01","201","1","110","-294.7","103231","12010001","-235.4"
"5","1","1.2","nyx_201_akino_01","201","2","120","-294.7","2","12010002","-235.4"
"1","0","1.2","nyx_idle_normal","201","1","110","-281.6","104631","12010003","-357"
"1","1","1.2","nyx_idle_normal","201","1","110","-281.6","103431","12010004","310.5"
"1","0","1.2","nyx_idle_normal","201","1","110","-281.6","104831","12010005","-453.3"
"31","","1","","201","2","0","1","1","12010006","0"
"31","","1","","201","11","0","1","2","12010007","0"
"25","","","","201","bgm_M347","","","bgm_M347","12010008",""
"93","","","","201","2","","","","12010009",""
"11","","","","201","103231","10","","タマキさん、この\n部品の組み立てを\nお願いしますわ！","12010010",""
"91","","","","201","0","","","","12010011",""
"3","0.3","0.3","","201","104631","0","1","nyx_surprise","12010012","nyx_idle_surprise1"
"11","","","","201","104631","10","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","12010013",""
"91","","","","201","0","","","","12010014",""
"4","","","","201","103231","0","","0","12010015",""
"4","","","","201","2","","","0","12010016",""
"3","0.3","0.3","","201","104631","1","","nyx_idle_bitter2","12010017",""
"3","0.3","0.3","","201","103231","1","","nyx_201_akino_02","12010018",""
"3","0.3","0.3","","201","2","1","","nyx_201_akino_02","12010019",""
"2","","","","201","103231","-294.7","","199","12010020","2.2"
"2","","","","201","2","-294.7","","199","12010021","2.2"
"93","","","","201","2.2","","","","12010022",""
"3","0.3","0.3","","201","103231","1","","nyx_201_akino_01","12010023",""
"3","0.3","0.3","","201","2","1","","nyx_201_akino_01","12010024",""
"11","","","","201","103231","10","","ユカリさん！\nこの回路の発注を\n至急お願いします！","12010025",""
"91","","","","201","0","","","","12010026",""
"3","0.3","0.3","","201","103431","1","","nyx_cmn_01","12010027",""
"11","","","","201","103431","10","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","12010028",""
"91","","","","201","0","","","","12010029",""
"3","0.3","0.3","","201","103431","1","","nyx_idle_bitter2","12010030",""
"4","","","","201","103231","","","1","12010031",""
"4","","","","201","2","","","1","12010032",""
"3","0.3","0.3","","201","103231","1","","nyx_201_akino_02","12010033",""
"3","0.3","0.3","","201","2","1","","nyx_201_akino_02","12010034",""
"2","","","","201","103231","-294.7","","-235.4","12010035","2.2"
"2","","","","201","2","-294.7","","-235.4","12010036","2.2"
"93","","","","201","2.2","","","","12010037",""
"3","0.3","0.3","","201","103231","1","","nyx_201_akino_01","12010038",""
"3","0.3","0.3","","201","2","1","","nyx_201_akino_01","12010039",""
"11","","","","201","103231","10","","ミフユさんは動作\nチェックを念入りに\nお願いします！","12010040",""
"91","","","","201","0","","","","12010041",""
"3","0.3","0.3","","201","104831","0","1","nyx_surprise","12010042","nyx_idle_surprise1"
"11","","0","","201","104831","10","","は、はいっ！\n…アキノさんが\n燃えてるわ…","12010043",""
"91","","","","201","0","","","","12010044",""
"3","0.3","0.3","","201","104831","1","","nyx_talk_sad","12010045",""
"11","","0","","201","104831","10","","でもなぜかしら\n不安だわ…\n不安しかない…","12010046",""
"91","","","","201","0","","","","12010047",""
"3","0.3","0.3","","201","104831","1","","nyx_idle_bitter2","12010048",""
"91","","","","201","0","","","","12010049",""
"93","","","","201","0.4","","","","12010050",""
"4","","","","201","103231","0","","0","12010051",""
"4","","","","201","2","","","0","12010052",""
"3","0.2","0.2","","201","103231","1","","nyx_201_akino_02","12010053",""
"3","0.2","0.2","","201","2","1","","nyx_201_akino_02","12010054",""
"2","","","","201","103231","-294.7","","199","12010055","2.2"
"2","","","","201","2","-294.7","","199","12010056","2.2"
"3","0.2","0.2","","201","103431","1","","nyx_cmn_03","12010057",""
"93","","","","201","2.2","","","","12010058",""
"12","","","","201","103231","1","","10","12010059",""
"3","0.2","0.2","","201","103231","1","","nyx_201_akino_01","12010060",""
"3","0.2","0.2","","201","2","1","","nyx_201_akino_01","12010061",""
"91","","","","201","0","","","","12010062",""
"3","0.2","0.2","","201","103431","1","","nyx_idle_surprise1","12010063",""
"91","","","","201","0","","","","12010064",""
"3","0.2","0.2","","201","103431","1","","nyx_102_chloe_02","12010065",""
"4","","","","201","103231","","","1","12010066",""
"4","","","","201","2","","","1","12010067",""
"3","0.2","0.2","","201","103231","1","","nyx_201_akino_02","12010068",""
"3","0.2","0.2","","201","2","1","","nyx_201_akino_02","12010069",""
"2","","","","201","103231","-294.7","","-235.4","12010070","2.2"
"2","","","","201","2","-294.7","","-235.4","12010071","2.2"
"93","","","","201","2.2","","","","12010072",""
"12","","","","201","103231","1","","10","12010073",""
"3","0.2","0.2","","201","103231","1","","nyx_201_akino_01","12010074",""
"3","0.2","","","201","2","1","","nyx_201_akino_01","12010075",""
"93","","","","201","3","","","","12010076",""
"3","0.2","0.2","","201","104631","0","1","cmn_nod_def_N","12010077","nyx_idle_normal"
"93","","","","201","0.8","","","","12010078",""
"12","","","","201","104831","1","","3","12010079",""
"3","0.2","0.2","","201","104831","0","1","nyx_talk_worry","12010080","nyx_idle_sad"
"93","","","","201","1","","","","12010081",""
"101","","","","201","12010051","","","","12010082",""
"5","0","1.2","nyx_202_tamaki_03_loop","202","1","100","-255","3","12020001","-136"
"1","1","1.2","nyx_idle_joy1","202","1","110","-286.1","103231","12020002","183.7"
"5","1","1.2","nyx_202_yukari_01","202","2","120","-286.1","5","12020003","312.6"
"1","1","1.2","nyx_202_yukari_01","202","1","110","-286.1","103431","12020004","312.6"
"1","0","1.2","nyx_idle_normal","202","1","120","-286.1","104831","12020005","-269.8"
"31","","1","","202","2","0","1","1","12020006","0"
"31","","1","","202","12","0","1","2","12020007","34"
"31","","0","","202","16","-74","1","7","12020008","130"
"5","0","1","nyx_yagura_idle","202","3","110","-255","4","12020009","-208"
"5","0","1.2","NoItem","202","2","120","-286.1","6","12020010","-269.8"
"25","","","","202","bgm_M347","","","bgm_M347","12020011",""
"93","","","","202","2","","","","12020012",""
"11","","","","202","3","10","","開発もなんだか\n楽しくなってきた\nにゃ～！","12020013",""
"91","","","","202","0","","","","12020014",""
"11","","","","202","3","10","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","12020015",""
"91","","","","202","0","","","","12020016",""
"11","","","","202","3","10","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","12020017",""
"93","","","","202","0.4","","","","12020018",""
"3","","0.2","","202","3","0","1","nyx_202_tamaki_03_puton","12020019","nyx_202_tamaki_loop"
"91","","","","202","12020017","","","","12020020",""
"3","","0.2","","202","3","0","1","nyx_202_tamaki_up","12020021","nyx_202_tamaki_01"
"3","","","","202","4","0","1","nyx_yagura_up","12020022","nyx_yagura_up_idle"
"93","","","","202","2.4","","","","12020023",""
"32","","","","202","7","","","1","12020024",""
"3","","0.2","","202","103231","1","","nyx_202_akino_01_loop","12020025",""
"11","","","","202","103231","10","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","12020026",""
"91","","","","202","0","","","","12020027",""
"3","","0.2","","202","104831","1","","nyx_talk_anger2","12020028",""
"11","","","","202","104831","10","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","12020029",""
"91","","","","202","0","","","","12020030",""
"3","","0.2","","202","103431","1","","nyx_idle_anger2","12020031",""
"3","","0.2","","202","103431","1","","nyx_202_yukari_01","12020032",""
"11","","","","202","103431","10","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","12020033",""
"91","","","","202","0","","","","12020034",""
"3","0.2","0.2","","202","104831","0","","nyx_cmn_05","12020035","nyx_cmn_04"
"11","","0","","202","104831","10","","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","12020036",""
"91","","","","202","0","","","","12020037",""
"3","","0.2","","202","103431","1","","nyx_202_yukari_01","12020038",""
"11","","","","202","103431","10","","え～？\nにゃんのことぉ～？\n…うっふふ～♪","12020039",""
"91","","","","202","0","","","","12020040",""
"93","","","","202","2","","","","12020041",""
"12","","","","202","103231","1","","13","12020042",""
"3","0.2","0.2","","202","103231","0","1","nyx_talk_joy2","12020043","nyx_202_akino_01_loop"
"93","","","","202","2.5","","","","12020044",""
"12","","","","202","104831","1","","3","12020045",""
"3","","0.2","","202","104831","1","","nyx_talk_anger2","12020046",""
"93","","","","202","2","","","","12020047",""
"3","","0.2","","202","104831","0","","nyx_cmn_02","12020048",""
"3","","0.2","","202","6","0","1","nyx_cmn_02","12020049","NoItem"
"93","","","","202","1","","","","12020050",""
"3","0.2","0.2","","202","104831","0","1","nyx_cmn_05","12020051","nyx_cmn_04"
"93","","","","202","2","","","","12020052",""
"12","","","","202","103431","1","","5","12020053",""
"3","0.2","0.2","","202","5","0","1","nyx_203_yukari_01","12020054","nyx_202_yukari_01"
"3","0.2","0.2","","202","103431","0","1","nyx_203_yukari_01","12020055","nyx_202_yukari_01"
"93","","","","202","1.2","","","","12020056",""
"12","","","","202","3","1","","11","12020057",""
"93","","","","202","0.8","","","","12020058",""
"101","","","","202","12020041","","","","12020059",""
"1","0","1.2","nyx_idle_normal","203","1","130","-286","104831","12030001","-300"
"1","1","1.2","nyx_idle_normal","203","1","100","-286","104631","12030002","316"
"1","1","1.2","nyx_idle_normal","203","1","100","-286","103231","12030003","110"
"1","0","1.2","nyx_203_yukari_01","203","1","100","-10","103431","12030004","-200"
"31","","1","","203","2","0","1","1","12030005","0"
"31","","1","","203","13","-80","1","2","12030006","34"
"5","0","1.2","nyx_203_yukari_01","203","2","110","-10","3","12030007","-200"
"5","0","1","nyx_yagura_up_harf","203","3","120","-255","4","12030008","-250"
"25","","","","203","bgm_M347","","","bgm_M347","12030009",""
"93","","","","203","2","","","","12030010",""
"11","","","","203","103431","10","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","12030011",""
"93","","","","203","0.6","","","","12030012",""
"3","0.2","0.2","","203","103231","0","1","nyx_lookup","12030013","nyx_lookup_loop2"
"91","","","","203","12030011","","","","12030014",""
"11","","","","203","103431","10","","ん～？\nにゃ～にこの\nでっかいのぉ～","12030015",""
"93","","","","203","0.6","","","","12030016",""
"3","0.2","0.2","","203","104631","0","1","nyx_lookup","12030017","nyx_lookup_loop2"
"91","","","","203","12030015","","","","12030018",""
"3","","0.2","","203","3","0","1","nyx_203_yukari_02","12030019","nyx_203_yukari_05"
"3","","0.2","","203","103431","0","1","nyx_203_yukari_02","12030020","nyx_203_yukari_05"
"11","","","","203","103431","10","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","12030021",""
"93","","","","203","0.4","","","","12030022",""
"3","0.2","0.2","","203","104831","0","1","nyx_lookup","12030023","nyx_lookup_loop2"
"91","","","","203","12030021","","","","12030024",""
"93","","","","203","0.2","","","","12030025",""
"3","0.2","0.2","","203","104831","0","1","nyx_cmn_02","12030026","nyx_idle_sad"
"11","","0","","203","104831","10","","何してるのよ\nユカリさん…","12030027",""
"93","","","","203","0.1","","","","12030028",""
"3","0.2","0.2","","203","103231","0","1","nyx_cmn_02","12030029","nyx_cmn_04"
"11","","","","203","103231","10","","何してますの…\nユカリさん…","12030030",""
"93","","","","203","0.1","","","","12030031",""
"3","0.2","0.2","","203","104631","0","1","nyx_cmn_02","12030032","nyx_idle_sad"
"11","","","","203","104631","10","","何してるのにゃ\nユカリ…","12030033",""
"91","","","","203","0","","","","12030034",""
