36ef08a027390d5e155906d3d0140bab417e48b72827e49317bf0da7b11efcb7,cc8ccad92944f9b8c73b61431ec45c1db8ea1333ec26cf5c060b419cb1d4cf54,ec06cb49e0d44ad13a37783b647d6c7489b3c0319c62db15e88e3075dae29b69,b0a3e8005c533b3c209cfec90b0a033a1424004a0a688dc5759fedc923873a37,210b89da7e555dee8948423a10c304bae5105619e0acddcafc84463f64964453
"101002","150","2","23003","270"
"101003","12","2","25001","271"
"101004","1000000","12","94002","272"
"101004","300","2","20004","273"
"101005","1000","2","90008","274"
"101005","150","2","23003","275"
"101006","10","2","25001","276"
"101007","40","8","91002","277"
"101007","1000000","12","94002","278"
"101007","300","2","20004","279"
"101008","1000","2","90008","280"
"101008","200","2","23003","281"
"101009","1","2","41000","282"
"101009","10","2","25001","283"
"101010","1000000","12","94002","284"
"101010","400","2","20004","285"
"101011","1500","2","90008","286"
"101012","40","8","91002","287"
"101012","9","2","25001","288"
"101013","1000000","12","94002","289"
"101013","400","2","20004","290"
"101014","1500","2","90008","291"
"101015","1","2","41000","292"
"101016","1000000","12","94002","293"
"101016","500","2","20004","294"
"101017","40","8","91002","295"
"101017","1500","2","90008","296"
"101018","2000000","12","94002","297"
"101018","2000","2","90008","298"
"101101","3000000","12","94002","299"
"101101","300","2","20004","300"
"101102","1000","2","90008","301"
"101102","150","2","23003","302"
"101103","12","2","25001","303"
"101104","1000000","12","94002","304"
"101104","300","2","20004","305"
"101105","1000","2","90008","306"
"101105","150","2","23003","307"
"101106","10","2","25001","308"
"101107","40","8","91002","309"
"101107","1000000","12","94002","310"
"101107","300","2","20004","311"
"101108","1000","2","90008","312"
"101108","200","2","23003","313"
"101109","1","2","41000","314"
"101109","10","2","25001","315"
"101110","1000000","12","94002","316"
"101110","400","2","20004","317"
"101111","1500","2","90008","318"
"101112","40","8","91002","319"
"101112","9","2","25001","320"
"101113","1000000","12","94002","321"
"101113","400","2","20004","322"
"101114","1500","2","90008","323"
"101115","1","2","41000","324"
"101116","1000000","12","94002","325"
"101116","500","2","20004","326"
"101117","40","8","91002","327"
"101117","1500","2","90008","328"
"101118","2000000","12","94002","329"
"101118","2000","2","90008","330"
"101201","3000000","12","94002","331"
"101201","300","2","20004","332"
"101202","1000","2","90008","333"
"101202","150","2","23003","334"
"101203","12","2","25001","335"
"101204","1000000","12","94002","336"
"101204","300","2","20004","337"
"101205","1000","2","90008","338"
"101205","150","2","23003","339"
"101206","10","2","25001","340"
"101207","40","8","91002","341"
"101207","1000000","12","94002","342"
"101207","300","2","20004","343"
"101208","1000","2","90008","344"
"101208","200","2","23003","345"
"101209","1","2","41000","346"
"101209","10","2","25001","347"
"101210","1000000","12","94002","348"
"101210","400","2","20004","349"
"101211","1500","2","90008","350"
"101212","40","8","91002","351"
"101212","9","2","25001","352"
"101213","1000000","12","94002","353"
"101213","400","2","20004","354"
"101214","1500","2","90008","355"
"101215","1","2","41000","356"
"101216","1000000","12","94002","357"
"101216","500","2","20004","358"
"101217","40","8","91002","359"
"101217","1500","2","90008","360"
"101218","2000000","12","94002","361"
"101218","2000","2","90008","362"
"101301","3000000","12","94002","363"
"101301","300","2","20004","364"
"101302","1000","2","90008","365"
"101302","150","2","23003","366"
"101303","12","2","25001","367"
"101304","1000000","12","94002","368"
"101304","300","2","20004","369"
"101305","1000","2","90008","370"
"101305","150","2","23003","371"
"101306","10","2","25001","372"
"101307","40","8","91002","373"
"101307","1000000","12","94002","374"
"101307","300","2","20004","375"
"101308","1000","2","90008","376"
"101308","200","2","23003","377"
"101309","1","2","41000","378"
"101309","10","2","25001","379"
"101310","1000000","12","94002","380"
"101310","400","2","20004","381"
"101311","1500","2","90008","382"
"101312","40","8","91002","383"
"101312","9","2","25001","384"
"101313","1000000","12","94002","385"
"101313","400","2","20004","386"
"101314","1500","2","90008","387"
"101315","1","2","41000","388"
"101316","1000000","12","94002","389"
"101316","500","2","20004","390"
"101317","40","8","91002","391"
"101317","1500","2","90008","392"
"101318","2000000","12","94002","393"
"101318","2000","2","90008","394"
"101401","3000000","12","94002","395"
"101401","300","2","20004","396"
"101402","1000","2","90008","397"
"101402","150","2","23003","398"
"101403","12","2","25001","399"
"101404","1000000","12","94002","400"
"101404","300","2","20004","401"
"101405","1000","2","90008","402"
"101405","150","2","23003","403"
"101406","10","2","25001","404"
"101407","40","8","91002","405"
"101407","1000000","12","94002","406"
"101407","300","2","20004","407"
"101408","1000","2","90008","408"
"101408","200","2","23003","409"
"101409","1","2","41000","410"
"101409","10","2","25001","411"
"101410","1000000","12","94002","412"
"101410","400","2","20004","413"
"101411","1500","2","90008","414"
"101412","40","8","91002","415"
"101412","9","2","25001","416"
"101413","1000000","12","94002","417"
"101413","400","2","20004","418"
"101414","1500","2","90008","419"
"101415","1","2","41000","420"
"101416","1000000","12","94002","421"
"101416","500","2","20004","422"
"101417","40","8","91002","423"
"101417","1500","2","90008","424"
"101418","2000000","12","94002","425"
"101418","2000","2","90008","426"
"101501","3000000","12","94002","427"
"101501","300","2","20004","428"
"101502","1000","2","90008","429"
"101502","150","2","23003","430"
"101503","12","2","25001","431"
"101504","1000000","12","94002","432"
"101504","300","2","20004","433"
"101505","1000","2","90008","434"
"101505","150","2","23003","435"
"101506","10","2","25001","436"
"101507","40","8","91002","437"
"101507","1000000","12","94002","438"
"101507","300","2","20004","439"
"101508","1000","2","90008","440"
"101508","200","2","23003","441"
"101509","1","2","41000","442"
"101509","10","2","25001","443"
"101510","1000000","12","94002","444"
"101510","400","2","20004","445"
"101511","1500","2","90008","446"
"101512","40","8","91002","447"
"101512","9","2","25001","448"
"101513","1000000","12","94002","449"
"101513","400","2","20004","450"
"101514","1500","2","90008","451"
"101515","1","2","41000","452"
"101516","1000000","12","94002","453"
"101516","500","2","20004","454"
"101517","40","8","91002","455"
"101517","1500","2","90008","456"
"101518","2000000","12","94002","457"
"101518","2000","2","90008","458"
"101601","3000000","12","94002","459"
"101601","300","2","20004","460"
"101602","1000","2","90008","461"
"101602","150","2","23003","462"
"101603","12","2","25001","463"
"101604","1000000","12","94002","464"
"101604","300","2","20004","465"
"101605","1000","2","90008","466"
"101605","150","2","23003","467"
"101606","10","2","25001","468"
"101607","40","8","91002","469"
"101607","1000000","12","94002","470"
"101607","300","2","20004","471"
"101608","1000","2","90008","472"
"101608","200","2","23003","473"
"101609","1","2","41000","474"
"101609","10","2","25001","475"
"101610","1000000","12","94002","476"
"101610","400","2","20004","477"
"101611","1500","2","90008","478"
"101612","40","8","91002","479"
"101612","9","2","25001","480"
"101613","1000000","12","94002","481"
"101613","400","2","20004","482"
"101614","1500","2","90008","483"
"101615","1","2","41000","484"
"101616","1000000","12","94002","485"
"101616","500","2","20004","486"
"101617","40","8","91002","487"
"101617","1500","2","90008","488"
"101618","2000000","12","94002","489"
"101618","2000","2","90008","490"
