1c69d267955132c2b0546941a334103d476367ce319279744977421434b343bc,4733f82829ca1f7cdd08caa5ed98050886bdd2dfe30c63a82db3f371ef884b46,a7f3979505d27e317346b750d99dfc4cfeaafb85551d34338e4cc44de7f1d473,ab69261a5a939cc8d01949dde7e015dcef0371edaf48a0bd5f428746360b1412,1b6ed102baae31e14255c636493feb24fec8e1035445558c6a5fe5f7e0700f88,2f93bc5e3dc4c5fa198d5c05f87a8984a767399488ca869ea3c99cd9c5529827,87681f9785e13ad4a3b8d18c78e052116309923835348208a3197925316b919d,1970cda6a1b3dd37add5dbfcaf3b93ad3b3be91ae6dbcdae0b15f84d67103f19,3bc914a3df967f6d34c96773ce846d8cfc875ff10764d61f95456bfd207ffeea,ee47fa88154e173bd8f73baaf1dd9a8ebdfc67024d8b7a7b30587ae3e843d99d,71e618b414380a20cf83b5aced276c37a9a023a0721b611ebd7b8e15bd56ff69,2b82ab017b34fdb0e64bccb23d7eb3a75f4fb8848e973a3a8f19fe6a686ded5a
"0","37","1","0","1.491","4","0","0","10116115","0","0","1011611537"
"0","38","0","0","0","1","2.868","450","10116115","11","75","1011611538"
"0","39","1","0","3.897","4","0","0","10116115","0","0","1011611539"
"vo_won_10116115_05","40","0","vo_won","0","2","0","0","10116115","0","0","1011611540"
"0","41","0","0","0","1","1.079","133","10116115","12","0","1011611541"
"0","42","1","0","1.453","4","0","0","10116115","0","0","1011611542"
"0","43","0","0","0","1","2.432","450","10116115","12","133","1011611543"
"0","44","1","0","2.432","4","0","0","10116115","0","0","1011611544"
"0","45","0","0","0","1","1.321","141","10116115","13","0","1011611545"
"0","46","1","0","2.245","4","0","0","10116115","0","0","1011611546"
"vo_won_10116115_06","47","0","vo_won","0","2","0","0","10116115","0","0","1011611547"
"0","48","0","0","0","1","2.161","450","10116115","13","141","1011611548"
"0","49","1","0","3.392","4","0","0","10116115","0","0","1011611549"
"vo_won_10116115_07","50","0","vo_won","0","2","0","0","10116115","0","0","1011611550"
"0","51","0","0","0","1","0.982","142","10116115","14","0","1011611551"
"0","52","1","0","1.563","4","0","0","10116115","0","0","1011611552"
"0","53","0","0","0","1","1.916","450","10116115","14","142","1011611553"
"0","1","1","0","0.8","4","0","0","10116125","0","0","1011612501"
"vo_won_10116125_01","2","0","vo_won","0","2","0","0","10116125","0","0","1011612502"
"0","3","0","0","0","1","2.458","285","10116125","1","0","1011612503"
"0","4","1","0","3.21","4","0","0","10116125","0","0","1011612504"
"0","5","0","0","0","1","1.255","450","10116125","1","285","1011612505"
"0","6","1","0","1.255","4","0","0","10116125","0","0","1011612506"
"0","7","0","0","0","1","1.63","213","10116125","2","0","1011612507"
"0","8","1","0","2.759","4","0","0","10116125","0","0","1011612508"
"vo_won_10116125_02","9","0","vo_won","0","2","0","0","10116125","0","0","1011612509"
"0","10","0","0","0","1","0.753","255","10116125","2","213","1011612510"
"0","11","1","0","1.229","4","0","0","10116125","0","0","1011612511"
"0","12","0","0","0","1","1.255","450","10116125","2","255","1011612512"
"0","13","1","0","1.255","4","0","0","10116125","0","0","1011612513"
"0","14","0","0","0","1","2.138","331","10116125","3","0","1011612514"
"0","15","1","0","2.985","4","0","0","10116125","0","0","1011612515"
"0","16","0","0","0","1","0.501","430","10116125","3","331","1011612516"
"0","17","1","0","0.501","4","0","0","10116125","0","0","1011612517"
"0","18","0","0","0","1","1.807","292","10116125","4","0","1011612518"
"0","19","1","0","2.584","4","0","0","10116125","0","0","1011612519"
"0","20","0","0","0","1","0.703","361","10116125","4","292","1011612520"
"0","21","1","0","1.405","4","0","0","10116125","0","0","1011612521"
"0","22","0","0","0","1","0.553","440","10116125","4","361","1011612522"
"0","23","1","0","0.553","4","0","0","10116125","0","0","1011612523"
"0","24","0","0","0","1","0.878","88","10116125","5","0","1011612524"
"0","25","1","0","1.279","4","0","0","10116125","0","0","1011612525"
"0","26","0","0","0","1","2.233","450","10116125","5","88","1011612526"
"0","27","1","0","3.38","4","0","0","10116125","0","0","1011612527"
"vo_won_10116125_03","28","0","vo_won","0","2","0","0","10116125","0","0","1011612528"
"0","29","0","0","0","1","2.307","280","10116125","6","0","1011612529"
"0","30","1","0","2.859","4","0","0","10116125","0","0","1011612530"
"0","31","0","0","0","1","1.405","450","10116125","6","280","1011612531"
"0","32","1","0","1.832","4","0","0","10116125","0","0","1011612532"
"0","33","0","0","0","1","3.426","400","10116125","7","0","1011612533"
"0","34","1","0","3.912","4","0","0","10116125","0","0","1011612534"
"vo_won_10116125_04","35","0","vo_won","0","2","0","0","10116125","0","0","1011612535"
"0","36","0","0","0","1","2.534","325","10116125","8","0","1011612536"
"0","37","1","0","3.311","4","0","0","10116125","0","0","1011612537"
"0","38","0","0","0","1","0.979","450","10116125","8","325","1011612538"
"0","39","1","0","1.394","4","0","0","10116125","0","0","1011612539"
"0","40","0","0","0","1","3.346","450","10116125","9","0","1011612540"
"0","41","1","0","3.346","4","0","0","10116125","0","0","1011612541"
"0","42","0","0","0","1","0.828","130","10116125","10","0","1011612542"
"0","43","1","0","2.361","4","0","0","10116125","0","0","1011612543"
"vo_won_10116125_05","44","0","vo_won","0","2","0","0","10116125","0","0","1011612544"
"0","45","0","0","0","1","3.221","410","10116125","11","0","1011612545"
"0","46","1","0","3.999","4","0","0","10116125","0","0","1011612546"
"0","47","0","0","0","1","0.727","95","10116125","12","0","1011612547"
"0","48","1","0","1.405","4","0","0","10116125","0","0","1011612548"
"0","49","0","0","0","1","2.085","430","10116125","12","95","1011612549"
"0","50","1","0","3.523","4","0","0","10116125","0","0","1011612550"
"vo_won_10116125_06","51","0","vo_won","0","2","0","0","10116125","0","0","1011612551"
"0","52","0","0","0","1","0.62","67","10116125","13","0","1011612552"
"0","53","1","0","1.355","4","0","0","10116125","0","0","1011612553"
"0","54","0","0","0","1","2.483","440","10116125","13","67","1011612554"
"0","55","1","0","3.03","4","0","0","10116125","0","0","1011612555"
"0","56","0","0","0","1","1.284","220","10116125","14","0","1011612556"
"0","1","1","0","0.8","4","0","0","10116135","0","0","1011613501"
"vo_won_10116135_01","2","0","vo_won","0","2","0","0","10116135","0","0","1011613502"
"0","3","0","0","0","1","2.046","248","10116135","1","0","1011613503"
"0","4","1","0","2.601","4","0","0","10116135","0","0","1011613504"
"0","5","0","0","0","1","1.646","450","10116135","1","248","1011613505"
"0","6","1","0","2.101","4","0","0","10116135","0","0","1011613506"
"0","7","0","0","0","1","2.992","410","10116135","2","0","1011613507"
"0","8","1","0","4.249","4","0","0","10116135","0","0","1011613508"
"vo_won_10116135_02","9","0","vo_won","0","2","0","0","10116135","0","0","1011613509"
"0","10","0","0","0","1","0.865","110","10116135","3","0","1011613510"
"0","11","1","0","1.349","4","0","0","10116135","0","0","1011613511"
"0","12","0","0","0","1","2.925","450","10116135","3","110","1011613512"
"0","13","1","0","2.925","4","0","0","10116135","0","0","1011613513"
"0","14","0","0","0","1","0.64","56","10116135","4","0","1011613514"
"0","15","1","0","1.089","4","0","0","10116135","0","0","1011613515"
"0","16","0","0","0","1","1.967","289","10116135","4","56","1011613516"
"0","17","1","0","3.198","4","0","0","10116135","0","0","1011613517"
"vo_won_10116135_03","18","0","vo_won","0","2","0","0","10116135","0","0","1011613518"
"0","19","0","0","0","1","1.26","450","10116135","4","289","1011613519"
"0","20","1","0","1.26","4","0","0","10116135","0","0","1011613520"
"0","21","0","0","0","1","1.394","202","10116135","5","0","1011613521"
"0","22","1","0","2.162","4","0","0","10116135","0","0","1011613522"
"0","23","0","0","0","1","2.355","450","10116135","5","202","1011613523"
"0","24","1","0","2.355","4","0","0","10116135","0","0","1011613524"
"0","25","0","0","0","1","2.646","273","10116135","6","0","1011613525"
"0","26","1","0","4.005","4","0","0","10116135","0","0","1011613526"
"vo_won_10116135_04","27","0","vo_won","0","2","0","0","10116135","0","0","1011613527"
"0","28","0","0","0","1","1.54","450","10116135","6","273","1011613528"
"0","29","1","0","2.182","4","0","0","10116135","0","0","1011613529"
"0","30","0","0","0","1","2.931","334","10116135","7","0","1011613530"
"0","31","1","0","4.229","4","0","0","10116135","0","0","1011613531"
"vo_won_10116135_05","32","0","vo_won","0","2","0","0","10116135","0","0","1011613532"
"0","33","0","0","0","1","0.876","450","10116135","7","334","1011613533"
"0","34","1","0","1.994","4","0","0","10116135","0","0","1011613534"
"vo_won_10116135_06","35","0","vo_won","0","2","0","0","10116135","0","0","1011613535"
"0","36","0","0","0","1","3.336","450","10116135","8","0","1011613536"
"0","37","1","0","3.882","4","0","0","10116135","0","0","1011613537"
"0","38","0","0","0","1","4.02399999999999","450","10116135","9","0","1011613538"
"0","39","1","0","5.214","4","0","0","10116135","0","0","1011613539"
"vo_won_10116135_07","40","0","vo_won","0","2","0","0","10116135","0","0","1011613540"
"0","41","0","0","0","1","0.536","69","10116135","10","0","1011613541"
"0","42","1","0","0.952","4","0","0","10116135","0","0","1011613542"
"0","43","0","0","0","1","1.989","305","10116135","10","69","1011613543"
"0","44","1","0","3.059","4","0","0","10116135","0","0","1011613544"
"vo_won_10116135_08","45","0","vo_won","0","2","0","0","10116135","0","0","1011613545"
"0","46","0","0","0","1","1.83600000000001","450","10116135","10","305","1011613546"
"0","47","1","0","1.83600000000001","4","0","0","10116135","0","0","1011613547"
"0","48","0","0","0","1","2.392","386","10116135","11","0","1011613548"
"0","49","1","0","3.659","4","0","0","10116135","0","0","1011613549"
"vo_won_10116135_09","50","0","vo_won","0","2","0","0","10116135","0","0","1011613550"
"0","51","0","0","0","1","0.558","450","10116135","11","386","1011613551"
"0","52","1","0","0.558","4","0","0","10116135","0","0","1011613552"
"0","53","0","0","0","1","2.208","257","10116135","12","0","1011613553"
"0","54","1","0","3.355","4","0","0","10116135","0","0","1011613554"
"vo_won_10116135_10","55","0","vo_won","0","2","0","0","10116135","0","0","1011613555"
"0","56","0","0","0","1","1.939","450","10116135","12","257","1011613556"
"0","57","1","0","1.939","4","0","0","10116135","0","0","1011613557"
"0","58","0","0","0","1","1.895","228","10116135","13","0","1011613558"
"0","59","1","0","3.56","4","0","0","10116135","0","0","1011613559"
"vo_won_10116135_11","60","0","vo_won","0","2","0","0","10116135","0","0","1011613560"
"0","61","0","0","0","1","1.826","450","10116135","13","228","1011613561"
"0","62","1","0","2.452","4","0","0","10116135","0","0","1011613562"
"vo_won_10116135_12","63","0","vo_won","0","2","0","0","10116135","0","0","1011613563"
"0","64","0","0","0","1","1.196","153","10116135","14","0","1011613564"
"0","65","1","0","1.679","4","0","0","10116135","0","0","1011613565"
"0","66","0","0","0","1","2.542","450","10116135","14","153","1011613566"
"0","1","1","0","0.8","4","0","0","10116215","0","0","1011621501"
"0","2","0","0","0","1","0.388","58","10116215","1","0","1011621502"
"0","3","1","0","0.388","4","0","0","10116215","0","0","1011621503"
"vo_won_10116215_01","4","0","vo_won","0","2","0","0","10116215","0","0","1011621504"
"0","5","0","0","0","1","2.36","320","10116215","1","58","1011621505"
"0","6","1","0","3.141","4","0","0","10116215","0","0","1011621506"
"vo_won_10116215_02","7","0","vo_won","0","2","0","0","10116215","0","0","1011621507"
"0","8","0","0","0","1","1.385","164","10116215","2","0","1011621508"
"0","9","1","0","1.9","4","0","0","10116215","0","0","1011621509"
"0","10","0","0","0","1","1.933","450","10116215","2","164","1011621510"
"0","11","1","0","1.933","4","0","0","10116215","0","0","1011621511"
"0","12","0","0","0","1","1.385","132","10116215","3","0","1011621512"
"0","13","1","0","1.9","4","0","0","10116215","0","0","1011621513"
"vo_won_10116215_03","14","0","vo_won","0","2","0","0","10116215","0","0","1011621514"
"0","15","0","0","0","1","2.347","440","10116215","3","132","1011621515"
"0","16","1","0","2.347","4","0","0","10116215","0","0","1011621516"
"0","17","0","0","0","1","1.01","168","10116215","4","0","1011621517"
"0","18","1","0","1.545","4","0","0","10116215","0","0","1011621518"
"0","19","0","0","0","1","1.84","440","10116215","4","168","1011621519"
"0","20","1","0","2.212","4","0","0","10116215","0","0","1011621520"
"0","21","0","0","0","1","2.916","440","10116215","5","0","1011621521"
"0","22","1","0","4.146","4","0","0","10116215","0","0","1011621522"
"vo_won_10116215_04","23","0","vo_won","0","2","0","0","10116215","0","0","1011621523"
"0","24","0","0","0","1","1.386","216","10116215","6","0","1011621524"
"0","25","1","0","1.878","4","0","0","10116215","0","0","1011621525"
"0","26","0","0","0","1","1.523","440","10116215","6","216","1011621526"
"0","27","1","0","1.523","4","0","0","10116215","0","0","1011621527"
"0","28","0","0","0","1","1.493","190","10116215","7","0","1011621528"
"0","29","1","0","2.416","4","0","0","10116215","0","0","1011621529"
"vo_won_10116215_05","30","0","vo_won","0","2","0","0","10116215","0","0","1011621530"
"0","31","0","0","0","1","0.341","41","10116215","8","0","1011621531"
"0","32","1","0","0.921","4","0","0","10116215","0","0","1011621532"
"0","33","0","0","0","1","3.701","450","10116215","8","41","1011621533"
"0","34","1","0","4.45","4","0","0","10116215","0","0","1011621534"
"vo_won_10116215_06","35","0","vo_won","0","2","0","0","10116215","0","0","1011621535"
"0","36","0","0","0","1","0.447","56","10116215","9","0","1011621536"
"0","37","1","0","1.219","4","0","0","10116215","0","0","1011621537"
"0","38","0","0","0","1","3.295","410","10116215","9","56","1011621538"
"0","39","1","0","3.769","4","0","0","10116215","0","0","1011621539"
"0","40","0","0","0","1","3.474","430","10116215","10","0","1011621540"
"0","41","1","0","4.818","4","0","0","10116215","0","0","1011621541"
"vo_won_10116215_07","42","0","vo_won","0","2","0","0","10116215","0","0","1011621542"
"0","43","0","0","0","1","2.628","450","10116215","11","0","1011621543"
"0","44","1","0","3.159","4","0","0","10116215","0","0","1011621544"
"0","45","0","0","0","1","2.454","390","10116215","12","0","1011621545"
"0","46","1","0","3.582","4","0","0","10116215","0","0","1011621546"
"vo_won_10116215_08","47","0","vo_won","0","2","0","0","10116215","0","0","1011621547"
"0","48","0","0","0","1","2.514","360","10116215","13","0","1011621548"
"0","49","1","0","3.089","4","0","0","10116215","0","0","1011621549"
"0","50","0","0","0","1","2.104","300","10116215","14","0","1011621550"
"0","51","1","0","2.494","4","0","0","10116215","0","0","1011621551"
"vo_won_10116215_09","52","0","vo_won","0","2","0","0","10116215","0","0","1011621552"
"0","53","0","0","0","1","0.799","430","10116215","14","300","1011621553"
"0","1","1","0","0.8","4","0","0","10116225","0","0","1011622501"
"vo_won_10116225_01","2","0","vo_won","0","2","0","0","10116225","0","0","1011622502"
"0","3","0","0","0","1","3.617","430","10116225","1","0","1011622503"
"0","4","1","0","3.913","4","0","0","10116225","0","0","1011622504"
"0","5","0","0","0","1","2.134","311","10116225","2","0","1011622505"
"0","6","1","0","2.83","4","0","0","10116225","0","0","1011622506"
"0","7","0","0","0","1","1.272","450","10116225","2","311","1011622507"
"0","8","1","0","1.697","4","0","0","10116225","0","0","1011622508"
"0","9","0","0","0","1","2.973","400","10116225","3","0","1011622509"
"0","10","1","0","4.106","4","0","0","10116225","0","0","1011622510"
"vo_won_10116225_02","11","0","vo_won","0","2","0","0","10116225","0","0","1011622511"
"0","12","0","0","0","1","3.799","430","10116225","4","0","1011622512"
"0","13","1","0","4.289","4","0","0","10116225","0","0","1011622513"
"0","14","0","0","0","1","3.027","370","10116225","5","0","1011622514"
"0","15","1","0","3.596","4","0","0","10116225","0","0","1011622515"
"0","16","0","0","0","1","2.979","420","10116225","6","0","1011622516"
"0","17","1","0","3.713","4","0","0","10116225","0","0","1011622517"
"0","18","0","0","0","1","3.625","450","10116225","7","0","1011622518"
"0","19","1","0","4.113","4","0","0","10116225","0","0","1011622519"
"0","20","0","0","0","1","4.389","450","10116225","8","0","1011622520"
"0","21","1","0","5.693","4","0","0","10116225","0","0","1011622521"
"vo_won_10116225_03","22","0","vo_won","0","2","0","0","10116225","0","0","1011622522"
"0","23","0","0","0","1","4.285","450","10116225","9","0","1011622523"
"0","24","1","0","4.285","4","0","0","10116225","0","0","1011622524"
"0","25","0","0","0","1","1.638","230","10116225","10","0","1011622525"
"0","26","1","0","2.675","4","0","0","10116225","0","0","1011622526"
"vo_won_10116225_04","27","0","vo_won","0","2","0","0","10116225","0","0","1011622527"
"0","28","0","0","0","1","2.181","287","10116225","11","0","1011622528"
"0","29","1","0","2.757","4","0","0","10116225","0","0","1011622529"
"0","30","0","0","0","1","0.688","410","10116225","11","287","1011622530"
"0","31","1","0","1.004","4","0","0","10116225","0","0","1011622531"
"0","32","0","0","0","1","4.031","450","10116225","12","0","1011622532"
"0","33","1","0","4.031","4","0","0","10116225","0","0","1011622533"
"0","34","0","0","0","1","1.989","280","10116225","13","0","1011622534"
"0","35","1","0","2.935","4","0","0","10116225","0","0","1011622535"
"vo_won_10116225_05","36","0","vo_won","0","2","0","0","10116225","0","0","1011622536"
"0","37","0","0","0","1","1.9","272","10116225","14","0","1011622537"
"0","38","1","0","2.389","4","0","0","10116225","0","0","1011622538"
"0","39","0","0","0","1","1.731","430","10116225","14","272","1011622539"
"0","1","1","0","0.8","4","0","0","10116235","0","0","1011623501"
"vo_won_10116235_01","2","0","vo_won","0","2","0","0","10116235","0","0","1011623502"
"0","3","0","0","0","1","3.959","450","10116235","1","0","1011623503"
"0","4","1","0","4.004","4","0","0","10116235","0","0","1011623504"
"0","5","0","0","0","1","3.661","450","10116235","2","0","1011623505"
"0","6","1","0","4.388","4","0","0","10116235","0","0","1011623506"
"0","7","0","0","0","1","4.078","450","10116235","3","0","1011623507"
"0","8","1","0","4.692","4","0","0","10116235","0","0","1011623508"
"0","9","0","0","0","1","3.755","450","10116235","4","0","1011623509"
"0","10","1","0","3.755","4","0","0","10116235","0","0","1011623510"
"0","11","0","0","0","1","0.508","120","10116235","5","0","1011623511"
"0","12","1","0","1.54","4","0","0","10116235","0","0","1011623512"
"vo_won_10116235_02","13","0","vo_won","0","2","0","0","10116235","0","0","1011623513"
"0","14","0","0","0","1","2.822","430","10116235","6","0","1011623514"
"0","15","1","0","2.822","4","0","0","10116235","0","0","1011623515"
"0","16","0","0","0","1","3.483","450","10116235","7","0","1011623516"
"0","17","1","0","3.483","4","0","0","10116235","0","0","1011623517"
"0","18","0","0","0","1","0.916","125","10116235","8","0","1011623518"
"0","19","1","0","1.779","4","0","0","10116235","0","0","1011623519"
"0","20","0","0","0","1","3.202","450","10116235","8","125","1011623520"
"0","21","1","0","3.202","4","0","0","10116235","0","0","1011623521"
"0","22","0","0","0","1","3.61","440","10116235","9","0","1011623522"
"0","23","1","0","4.249","4","0","0","10116235","0","0","1011623523"
"0","24","0","0","0","1","3.269","380","10116235","10","0","1011623524"
"0","25","1","0","3.269","4","0","0","10116235","0","0","1011623525"
"0","26","0","0","0","1","2.274","260","10116235","11","0","1011623526"
"0","27","1","0","2.643","4","0","0","10116235","0","0","1011623527"
"vo_won_10116235_03","28","0","vo_won","0","2","0","0","10116235","0","0","1011623528"
"0","29","0","0","0","1","3.522","380","10116235","12","0","1011623529"
"0","30","1","0","4.483","4","0","0","10116235","0","0","1011623530"
"0","31","0","0","0","1","2.691","440","10116235","13","0","1011623531"
"0","32","1","0","2.828","4","0","0","10116235","0","0","1011623532"
"0","33","0","0","0","1","1.702","300","10116235","14","0","1011623533"
