561a63b55a85e1bf32bc38fa5407c4a485b0e66f0bbc2aac5bcb682d5cedf910,ba34a57b92ee2d2b8ee254dad3fe1508af5a87bb65d478c8808df06272825d4f,33ec32f4d743881ed3fc6973027602b4e8b92d3ec32979ebf92e7b72cc7344c7,d417154f8dcc4d084631ca19f12b7eec40dd509142050dbd8dd19d018ea227fd,bcf4ff2d72c00b30ad96d1492a611dceb71d0bae01855d9c99bc7bef89a37629,49b6b028bd300bf607b31552713cb598e4605438cfe0a56fcc7706483aa48318,d6d988cdf8e33aef1b5d51624eee7332519d119b0b658c938a761b165badbf37,cb31d55783139904b6e1590b87e784ba2c8d3b5f9bfd786bf8386af12a17c502,6584f5221bebd5349a1f894163af0753f996b1e4135b186c23566209f8cd65c4,931b9be1e1183295d04ca2091d3a9a07e2511cd1d5bae9645de529ba0529939b,d0d935590f2962bc672b8a900730e8edaa01f42fe0c6a54cec7a9d4972b11f73,babd37bd61ca21e45fa7cbbbd91cddd45003e1e264ec19127bca299d74938c40,2179b5a2e1949bc88a653577abb040c310069553fc87bf80cd79e5eaaf3f2f72,b1ccd1cd5ae49fbadf86a468994a5563de8dd2e982735b1873e36b6ae1a79e80,88f45e9175462ff91acb8a7d48449da930c3371ed56f82476e67bfd67a3f71fb
"スペシャルバトルのモード2をクリアしよう","81011005","0","6011","0","0","9013","10011","3300000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","111","0","81011005"
"スペシャルバトルのボスのHPを900000まで減らそう","81011006","0","6011","0","0","9013","10011","4600000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","113","0","81011006"
"スペシャルバトルのボスを討滅しよう","81011007","0","6011","0","0","9013","10011","5500000","601","2019/01/31 12:00:00","2019/02/18 14:59:59","115","0","81011007"
"カオリ、マコト、マホ、カスミのシャドウを倒そう","81012001","0","6011","0","0","9001","10012","4","601","2018/02/28 12:00:00","2019/03/18 14:59:59","103","0","81012001"
"スペシャルバトルのボスのHPを2700000まで減らそう","81012002","0","6011","0","0","9013","10012","450000","601","2018/02/28 12:00:00","2019/03/18 14:59:59","104","0","81012002"
"スペシャルバトルのボスのHPを2100000まで減らそう","81012003","0","6011","0","0","9013","10012","1050000","601","2018/02/28 12:00:00","2019/03/18 14:59:59","105","0","81012003"
"スペシャルバトルのモード2をクリアしよう","81012004","0","6011","0","0","9013","10012","1543500","601","2018/02/28 12:00:00","2019/03/18 14:59:59","106","0","81012004"
"スペシャルバトルのボスのHPを1000000まで減らそう","81012005","0","6011","0","0","9013","10012","2150000","601","2018/02/28 12:00:00","2019/03/18 14:59:59","111","0","81012005"
"スペシャルバトルのボスのHPを500000まで減らそう","81012006","0","6011","0","0","9013","10012","2650000","601","2018/02/28 12:00:00","2019/03/18 14:59:59","113","0","81012006"
"スペシャルバトルのボスを討滅しよう","81012007","0","6011","0","0","9013","10012","3150000","601","2018/02/28 12:00:00","2019/03/18 14:59:59","115","0","81012007"
"ペコリーヌ、コッコロ、キャルのシャドウを倒そう","81013001","0","6011","0","0","9001","10013","3","601","2019/03/31 12:00:00","2019/04/14 14:59:59","103","0","81013001"
"スペシャルバトルのボスのHPを2700000まで減らそう","81013002","0","6011","0","0","9013","10013","300000","601","2019/03/31 12:00:00","2019/04/14 14:59:59","104","0","81013002"
"スペシャルバトルのボスのHPを2100000まで減らそう","81013003","0","6011","0","0","9013","10013","900000","601","2019/03/31 12:00:00","2019/04/14 14:59:59","105","0","81013003"
"スペシャルバトルのモード2をクリアしよう","81013004","0","6011","0","0","9013","10013","1500000","601","2019/03/31 12:00:00","2019/04/14 14:59:59","106","0","81013004"
"スペシャルバトルのボスのHPを1000000まで減らそう","81013005","0","6011","0","0","9013","10013","2000000","601","2019/03/31 12:00:00","2019/04/14 14:59:59","111","0","81013005"
"スペシャルバトルのボスのHPを500000まで減らそう","81013006","0","6011","0","0","9013","10013","2500000","601","2019/03/31 12:00:00","2019/04/14 14:59:59","113","0","81013006"
"スペシャルバトルのボスを討滅しよう","81013007","0","6011","0","0","9013","10013","3000000","601","2019/03/31 12:00:00","2019/04/14 14:59:59","115","0","81013007"
"モニカ、アユミ、ユキのシャドウを倒そう","81015001","0","6011","0","0","9001","10015","3","601","2019/04/30 12:00:00","2019/05/16 14:59:59","103","0","81015001"
"スペシャルバトルのボスのHPを1200000まで減らそう","81015002","0","6011","0","0","9013","10015","300000","601","2019/04/30 12:00:00","2019/05/16 14:59:59","104","0","81015002"
"スペシャルバトルのボスのHPを1000000まで減らそう","81015003","0","6011","0","0","9013","10015","500000","601","2019/04/30 12:00:00","2019/05/16 14:59:59","105","0","81015003"
"スペシャルバトルのモード2をクリアしよう","81015004","0","6011","0","0","9013","10015","750000","601","2019/04/30 12:00:00","2019/05/16 14:59:59","106","0","81015004"
"スペシャルバトルのボスのHPを400000まで減らそう","81015005","0","6011","0","0","9013","10015","1100000","601","2019/04/30 12:00:00","2019/05/16 14:59:59","111","0","81015005"
"スペシャルバトルのボスのHPを200000まで減らそう","81015006","0","6011","0","0","9013","10015","1300000","601","2019/04/30 12:00:00","2019/05/16 14:59:59","113","0","81015006"
"スペシャルバトルのボスを討滅しよう","81015007","0","6011","0","0","9013","10015","1500000","601","2019/04/30 12:00:00","2019/05/16 14:59:59","115","0","81015007"
"レムとラムのシャドウを倒そう","81017001","0","6011","0","0","9001","10017","2","601","2019/05/31 12:00:00","2019/06/18 14:59:59","103","0","81017001"
"スペシャルバトルのボスのHPを2850000まで減らそう","81017002","0","6011","0","0","9013","10017","300000","601","2019/05/31 12:00:00","2019/06/18 14:59:59","104","0","81017002"
"スペシャルバトルのボスのHPを2250000まで減らそう","81017003","0","6011","0","0","9013","10017","900000","601","2019/05/31 12:00:00","2019/06/18 14:59:59","105","0","81017003"
"スペシャルバトルのボスのHPを1650000まで減らそう","81017004","0","6011","0","0","9013","10017","1500000","601","2019/05/31 12:00:00","2019/06/18 14:59:59","106","0","81017004"
"スペシャルバトルのボスのHPを1150000まで減らそう","81017005","0","6011","0","0","9013","10017","2000000","601","2019/05/31 12:00:00","2019/06/18 14:59:59","111","0","81017005"
"スペシャルバトルのボスのHPを650000まで減らそう","81017006","0","6011","0","0","9013","10017","2500000","601","2019/05/31 12:00:00","2019/06/18 14:59:59","113","0","81017006"
"スペシャルバトルのボスのHPを150000まで減らそう","81017007","0","6011","0","0","9013","10017","3000000","601","2019/05/31 12:00:00","2019/06/18 14:59:59","115","0","81017007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81017008","0","6011","5","0","9015","10017","1","601","2019/05/31 12:00:00","2019/06/18 14:59:59","118","0","81017008"
"雨神様のバリアを破ろう","81019001","0","6011","0","4","9014","10019","200","601","2019/06/30 12:00:00","2019/07/18 14:59:59","103","0","81019001"
"スペシャルバトルのボスのHPを3600000まで減らそう","81019002","0","6011","0","1","9013","10019","900000","601","2019/06/30 12:00:00","2019/07/18 14:59:59","104","0","81019002"
"スペシャルバトルのボスのHPを3000000まで減らそう","81019003","0","6011","0","1","9013","10019","1500000","601","2019/06/30 12:00:00","2019/07/18 14:59:59","105","0","81019003"
"スペシャルバトルのMODE2をクリアしよう","81019004","0","6011","0","1","9013","10019","2250000","601","2019/06/30 12:00:00","2019/07/18 14:59:59","106","0","81019004"
"スペシャルバトルのボスのHPを1200000まで減らそう","81019005","0","6011","0","1","9013","10019","3300000","601","2019/06/30 12:00:00","2019/07/18 14:59:59","111","0","81019005"
"スペシャルバトルのボスのHPを600000まで減らそう","81019006","0","6011","0","1","9013","10019","3900000","601","2019/06/30 12:00:00","2019/07/18 14:59:59","113","0","81019006"
"スペシャルバトルのボスを討伐しよう","81019007","0","6011","0","1","9013","10019","4500000","601","2019/06/30 12:00:00","2019/07/18 14:59:59","115","0","81019007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう ","81019008","0","6011","5","0","9015","10019","1","601","2019/06/30 12:00:00","2019/07/18 14:59:59","118","0","81019008"
"スペシャルバトルのボスのHPを2550000まで減らそう","81021001","0","6011","0","1","9013","10021","600000","601","2019/07/31 12:00:00","2019/08/17 14:59:59","103","0","81021001"
"スペシャルバトルのモード1をクリアしよう","81021002","0","6011","0","1","9013","10021","1260000","601","2019/07/31 12:00:00","2019/08/17 14:59:59","104","0","81021002"
"マジムンの分身体を15体倒そう","81021003","0","6011","0","0","9014","10021","15","601","2019/07/31 12:00:00","2019/08/17 14:59:59","105","0","81021003"
"スペシャルバトルのモード2をクリアしよう","81021004","0","6011","0","0","9014","10021","30","601","2019/07/31 12:00:00","2019/08/17 14:59:59","106","0","81021004"
"スペシャルバトルのボスのHPを1450000まで減らそう","81021005","0","6011","0","1","9013","10021","1700000","601","2019/07/31 12:00:00","2019/08/17 14:59:59","111","0","81021005"
"スペシャルバトルのボスのHPを850000まで減らそう","81021006","0","6011","0","1","9013","10021","2300000","601","2019/07/31 12:00:00","2019/08/17 14:59:59","113","0","81021006"
"スペシャルバトルのボスを討伐しよう","81021007","0","6011","0","1","9013","10021","3150000","601","2019/07/31 12:00:00","2019/08/17 14:59:59","115","0","81021007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう ","81021008","0","6011","5","0","9015","10021","1","601","2019/07/31 12:00:00","2019/08/17 14:59:59","118","0","81021008"
"スペシャルバトルのボスのHPを3150000まで減らそう","81023001","0","6011","0","1","9013","10023","450000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","103","0","81023001"
"スペシャルバトルのMODE1をクリアしよう","81023002","0","6011","0","1","9013","10023","900000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","104","0","81023002"
"スペシャルバトルのボスのHPを2100000まで減らそう","81023003","0","6011","0","1","9013","10023","1500000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","105","0","81023003"
"スペシャルバトルのボスのHPを1500000まで減らそう","81023004","0","6011","0","1","9013","10023","2100000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","106","0","81023004"
"スペシャルバトルのMODE2をクリアしよう","81023005","0","6011","0","1","9013","10023","2700000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","111","0","81023005"
"スペシャルバトルのボスのHPを450000まで減らそう","81023006","0","6011","0","1","9013","10023","3150000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","113","0","81023006"
"スペシャルバトルのボスを討伐しよう","81023007","0","6011","0","1","9013","10023","3600000","601","2019/08/31 12:00:00","2019/09/18 14:59:59","115","0","81023007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81023008","0","6011","5","0","9015","10023","1","601","2019/08/31 12:00:00","2019/09/18 14:59:59","118","0","81023008"
"ミソギとミミとキョウカのシャドウを倒そう","81025001","0","6011","0","0","9001","10025","3","601","2019/09/30 12:00:00","2019/10/18 14:59:59","103","0","81025001"
"スペシャルバトルのボスのHPを3150000まで減らそう","81025002","0","6011","0","1","9013","10025","600000","601","2019/09/30 12:00:00","2019/10/18 14:59:59","104","0","81025002"
"スペシャルバトルのボスのHPを2550000まで減らそう","81025003","0","6011","0","1","9013","10025","1200000","601","2019/09/30 12:00:00","2019/10/18 14:59:59","105","0","81025003"
"スペシャルバトルのMODE2をクリアしよう","81025004","0","6011","2","0","9016","10025","1","601","2019/09/30 12:00:00","2019/10/18 14:59:59","106","0","81025004"
"スペシャルバトルのボスのHPを1275000まで減らそう","81025005","0","6011","0","1","9013","10025","2475000","601","2019/09/30 12:00:00","2019/10/18 14:59:59","111","0","81025005"
"スペシャルバトルのボスのHPを675000まで減らそう","81025006","0","6011","0","1","9013","10025","3075000","601","2019/09/30 12:00:00","2019/10/18 14:59:59","113","0","81025006"
"スペシャルバトルのボスを討伐しよう","81025007","0","6011","3","0","9016","10025","1","601","2019/09/30 12:00:00","2019/10/18 14:59:59","115","0","81025007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81025008","0","6011","5","0","9015","10025","1","601","2019/09/30 12:00:00","2019/10/18 14:59:59","118","0","81025008"
"スペシャルバトルのボスのHPを3250000まで減らそう","81027001","0","6011","0","1","9013","10027","500000","601","2019/10/31 12:00:00","2019/11/18 14:59:59","103","0","81027001"
"スペシャルバトルのボスのHPを2750000まで減らそう","81027002","0","6011","0","1","9013","10027","1000000","601","2019/10/31 12:00:00","2019/11/18 14:59:59","104","0","81027002"
"スペシャルバトルのボスのHPを2250000まで減らそう","81027003","0","6011","0","1","9013","10027","1500000","601","2019/10/31 12:00:00","2019/11/18 14:59:59","105","0","81027003"
"MODE2のお供のモンスターを全て倒そう","81027004","0","6011","2","0","9016","10027","1","601","2019/10/31 12:00:00","2019/11/18 14:59:59","106","0","81027004"
"スペシャルバトルのボスのHPを1450000まで減らそう","81027005","0","6011","0","1","9013","10027","2300000","601","2019/10/31 12:00:00","2019/11/18 14:59:59","111","0","81027005"
"スペシャルバトルのボスのHPを650000まで減らそう","81027006","0","6011","0","1","9013","10027","3100000","601","2019/10/31 12:00:00","2019/11/18 14:59:59","113","0","81027006"
"スペシャルバトルのボスを討伐しよう","81027007","0","6011","3","0","9016","10027","1","601","2019/10/31 12:00:00","2019/11/18 14:59:59","115","0","81027007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81027008","0","6011","5","0","9015","10027","1","601","2019/10/31 12:00:00","2019/11/18 14:59:59","118","0","81027008"
"クリスティーナとノゾミとイリヤのシャドウを倒そう","81029001","0","6011","0","0","9001","10029","3","601","2019/11/30 12:00:00","2019/12/18 14:59:59","103","0","81029001"
"スペシャルバトルのボスのHPを4300000まで減らそう","81029002","0","6011","0","1","9013","10029","700000","601","2019/11/30 12:00:00","2019/12/18 14:59:59","104","0","81029002"
"スペシャルバトルのボスのHPを3650000まで減らそう","81029003","0","6011","0","1","9013","10029","1350000","601","2019/11/30 12:00:00","2019/12/18 14:59:59","105","0","81029003"
"スペシャルバトルのMODE2をクリアしよう","81029004","0","6011","2","0","9016","10029","1","601","2019/11/30 12:00:00","2019/12/18 14:59:59","106","0","81029004"
"スペシャルバトルのボスのHPを2000000まで減らそう","81029005","0","6011","0","1","9013","10029","3000000","601","2019/11/30 12:00:00","2019/12/18 14:59:59","111","0","81029005"
"スペシャルバトルのボスのHPを1000000まで減らそう","81029006","0","6011","0","1","9013","10029","4000000","601","2019/11/30 12:00:00","2019/12/18 14:59:59","113","0","81029006"
"スペシャルバトルのボスを討伐しよう","81029007","0","6011","3","0","9016","10029","1","601","2019/11/30 12:00:00","2019/12/18 14:59:59","115","0","81029007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81029008","0","6011","5","0","9015","10029","1","601","2019/11/30 12:00:00","2019/12/18 14:59:59","118","0","81029008"
"チーム美食殿のシャドウを倒そう","81031001","0","6011","0","0","9001","10031","4","601","2019/12/31 12:00:00","2020/01/18 14:59:59","103","0","81031001"
"スペシャルバトルのボスのHPを3150000まで減らそう","81031002","0","6011","0","1","9013","10031","600000","601","2019/12/31 12:00:00","2020/01/18 14:59:59","104","0","81031002"
"スペシャルバトルのボスのHPを2550000まで減らそう","81031003","0","6011","0","1","9013","10031","1200000","601","2019/12/31 12:00:00","2020/01/18 14:59:59","105","0","81031003"
"スペシャルバトルのMODE2をクリアしよう","81031004","0","6011","2","0","9016","10031","1","601","2019/12/31 12:00:00","2020/01/18 14:59:59","106","0","81031004"
"スペシャルバトルのボスのHPを1275000まで減らそう","81031005","0","6011","0","1","9013","10031","2475000","601","2019/12/31 12:00:00","2020/01/18 14:59:59","111","0","81031005"
"スペシャルバトルのボスのHPを675000まで減らそう","81031006","0","6011","0","1","9013","10031","3075000","601","2019/12/31 12:00:00","2020/01/18 14:59:59","113","0","81031006"
"スペシャルバトルのボスを討伐しよう","81031007","0","6011","3","0","9016","10031","1","601","2019/12/31 12:00:00","2020/01/18 14:59:59","115","0","81031007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81031008","0","6011","5","0","9015","10031","1","601","2019/12/31 12:00:00","2020/01/18 14:59:59","118","0","81031008"
"スペシャルバトルのボスのHPを4000000まで減らそう","81033001","0","6011","0","1","9013","10033","1000000","601","2020/01/31 12:00:00","2020/02/17 14:59:59","104","0","81033001"
"スペシャルバトルのボスのHPを3000000まで減らそう","81033002","0","6011","0","1","9013","10033","2000000","601","2020/01/31 12:00:00","2020/02/17 14:59:59","105","0","81033002"
"スペシャルバトルのMODE1をクリアしよう","81033003","0","6011","1","0","9016","10033","1","601","2020/01/31 12:00:00","2020/02/17 14:59:59","106","0","81033003"
"カスミとシオリのシャドウを倒そう","81033004","0","6011","0","0","9001","10033","2","601","2020/01/31 12:00:00","2020/02/17 14:59:59","103","0","81033004"
"スペシャルバトルのボスのHPを2000000まで減らそう","81033005","0","6011","0","1","9013","10033","3000000","601","2020/01/31 12:00:00","2020/02/17 14:59:59","111","0","81033005"
"スペシャルバトルのボスのHPを1000000まで減らそう","81033006","0","6011","0","1","9013","10033","4000000","601","2020/01/31 12:00:00","2020/02/17 14:59:59","113","0","81033006"
"スペシャルバトルのボスを討伐しよう","81033007","0","6011","3","0","9016","10033","1","601","2020/01/31 12:00:00","2020/02/17 14:59:59","115","0","81033007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81033008","0","6011","5","0","9015","10033","1","601","2020/01/31 12:00:00","2020/02/17 14:59:59","118","0","81033008"
"スペシャルバトルのボスのHPを5000000まで減らそう","81034001","0","6011","0","1","9013","10034","500000","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034103","0","81034001"
"スペシャルバトルのボスのHPを4000000まで減らそう","81034002","0","6011","0","1","9013","10034","1500000","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034104","0","81034002"
"スペシャルバトルのMODE1をクリアしよう","81034003","0","6011","1","0","9016","10034","1","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034105","0","81034003"
"スペシャルバトルのボスのHPを2000000まで減らそう","81034004","0","6011","0","1","9013","10034","3500000","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034106","0","81034004"
"スペシャルバトルのMODE2をクリアしよう","81034005","0","6011","2","0","9016","10034","1","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034111","0","81034005"
"スペシャルバトルのボスのHPを900000まで減らそう","81034006","0","6011","0","1","9013","10034","4600000","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034113","0","81034006"
"スペシャルバトルのボスを討伐しよう","81034007","0","6011","3","0","9016","10034","1","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034115","0","81034007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81034008","0","6011","5","0","9015","10034","1","601","2020/02/15 12:00:00","2020/02/24 14:59:59","10034118","0","81034008"
"ニュージェネレーションズのシャドウを倒そう","81035001","0","6011","0","0","9001","10035","3","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035103","0","81035001"
"MODE2のお供のモンスターを全て倒そう","81035002","0","6011","2","0","9016","10035","1","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035104","0","81035002"
"ラウドラパーンのHPを1760000まで減らそう","81035003","0","6011","0","1","9013","10035","440000","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035105","0","81035003"
"ラウドラパーンのHPを1320000まで減らそう","81035004","0","6011","0","1","9013","10035","880000","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035106","0","81035004"
"ラウドラパーンのHPを880000まで減らそう","81035005","0","6011","0","1","9013","10035","1320000","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035111","0","81035005"
"ラウドラパーンのHPを440000まで減らそう","81035006","0","6011","0","1","9013","10035","1760000","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035113","0","81035006"
"ラウドラパーンを討伐しよう","81035007","0","6011","3","0","9016","10035","1","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035115","0","81035007"
"スペシャルかエキシビションのバトルでラウドラパーンを5回以内に討伐しよう","81035008","0","6011","5","0","9015","10035","1","601","2020/02/29 12:00:00","2020/03/25 14:59:59","10035118","0","81035008"
"葛藤のうえきちゃんのHPを18375000まで減らそう","81036001","0","6011","0","1","9013","10036","2625000","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036103","0","81036001"
"葛藤のうえきちゃんのMODE1をクリアしよう","81036002","0","6011","1","0","9016","10036","1","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036104","0","81036002"
"葛藤のうえきちゃんのHPを11900000まで減らそう","81036003","0","6011","0","1","9013","10036","9100000","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036105","0","81036003"
"葛藤のうえきちゃんのHPを8050000まで減らそう","81036004","0","6011","0","1","9013","10036","12950000","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036106","0","81036004"
"葛藤のうえきちゃんのMODE2をクリアしよう","81036005","0","6011","2","0","9016","10036","1","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036111","0","81036005"
"葛藤のうえきちゃんのHPを2100000まで減らそう","81036006","0","6011","0","1","9013","10036","18900000","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036113","0","81036006"
"葛藤のうえきちゃんを討伐しよう","81036007","0","6011","3","0","9016","10036","1","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036115","0","81036007"
"スペシャルかエキシビションのバトルで葛藤のうえきちゃんを5回以内に討伐しよう","81036008","0","6011","5","0","9015","10036","1","601","2020/03/12 15:00:00","2020/03/25 14:59:59","10036118","0","81036008"
"カオリ、マコト、マホ、カスミのシャドウを倒そう","81037001","0","6011","0","0","9001","10037","4","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037103","0","81037001"
"スペシャルバトルのボスのHPを2600000まで減らそう","81037002","0","6011","0","1","9013","10037","450000","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037104","0","81037002"
"スペシャルバトルのボスのHPを2100000まで減らそう","81037003","0","6011","0","1","9013","10037","950000","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037105","0","81037003"
"スペシャルバトルのMODE2をクリアしよう","81037004","0","6011","2","0","9016","10037","1","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037106","0","81037004"
"スペシャルバトルのボスのHPを1000000まで減らそう","81037005","0","6011","0","1","9013","10037","2050000","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037111","0","81037005"
"スペシャルバトルのボスのHPを500000まで減らそう","81037006","0","6011","0","1","9013","10037","2550000","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037113","0","81037006"
"スペシャルバトルのボスを討伐しよう","81037007","0","6011","3","0","9016","10037","1","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037115","0","81037007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81037008","0","6011","5","0","9015","10037","1","601","2020/03/17 12:00:00","2020/03/26 14:59:59","10037118","0","81037008"
"アキノ、タマキ、ユカリ、ミフユのシャドウを倒そう","81038001","0","6011","0","0","9001","10038","4","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038103","0","81038001"
"スペシャルバトルのボスのHPを6035000まで減らそう","81038002","0","6011","0","1","9013","10038","1065000","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038104","0","81038002"
"スペシャルバトルのボスのHPを4970000まで減らそう","81038003","0","6011","0","1","9013","10038","2130000","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038105","0","81038003"
"スペシャルバトルのMODE2をクリアしよう","81038004","0","6011","2","0","9016","10038","1","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038106","0","81038004"
"スペシャルバトルのボスのHPを2603500まで減らそう","81038005","0","6011","0","1","9013","10038","4496500","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038111","0","81038005"
"スペシャルバトルのボスのHPを1302000まで減らそう","81038006","0","6011","0","1","9013","10038","5798000","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038113","0","81038006"
"スペシャルバトルのボスを討伐しよう","81038007","0","6011","3","0","9016","10038","1","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038115","0","81038007"
"スペシャルかエキシビションのバトルでボスを5回以内に討伐しよう","81038008","0","6011","5","0","9015","10038","1","601","2020/03/31 12:00:00","2020/04/18 14:59:59","10038118","0","81038008"
"ペコリーヌ、コッコロ、キャルのシャドウを倒そう","81039001","0","6011","0","0","9001","10039","3","601","2020/04/17 12:00:00","2020/04/26 14:59:59","10039103","0","81039001"
"スペシャルバトルのボスのHPを2500000まで減らそう","81039002","0","6011","0","1","9013","10039","500000","601","2020/04/17 12:00:00","2020/04/26 14:59:59","10039104","0","81039002"
"スペシャルバトルのボスのHPを2000000まで減らそう","81039003","0","6011","0","1","9013","10039","1000000","601","2020/04/17 12:00:00","2020/04/26 14:59:59","10039105","0","81039003"
