1b73ca2273048864b9babf0231afc73dd6e6b1e68db4f75a0f9ce04654c28212,0117f083296d29952b93315273fb4f87b3c362a41559e12f0685bcd35c3824db,e9dcec0cda9cb6082ae78db941b61da37e289f33d627bf46f595e6eda2089970,14513edf9effe7f289e327b2f374758a47708039bdb62a38e6a3a8e10f2aaab8,c9a9e0a15250884cb3462c76f952f6c07504af1a5ee073081c9fb3131c0bdc1b,79cad8a1402a31219faa8fc4ea2dd9874bb5da16f16c904ec94f14d4fff42ede,b69cc183daca0f4c5acce366fabca3bcedabe25ee74c4b6af798c1787be04a85,ad0057a686b6bb81db814bfb5edbfd40afd98ee83345643d00b41958b9043df3,e9409eaab104ea4ff71c7f0c581291ce1f05eb6b91a9c1dff479f8265e8118f1,79997360c691485cd6ef34839053a4f1ab2d4d986780f846f3a82d089ac07ada,3cadf618ea07702a21f60d6e324c37a87c4deafd89540cc27991976b2b141b75
"1001005","","33","111","-150","","3","101110034","0","400",""
"10020","","32","111","","","","101110035","","1",""
"2.5","","93","111","","","","101110036","","0",""
"10031","","32","111","","","","101110037","","1",""
"0.4","","93","111","","","","101110038","","0",""
"0","","91","111","","","","101110039","","0",""
"se_travel","","23","211","0","","","102110001","","se_travel_start_2pt",""
"10010","","31","211","0","1","0","102110002","1","10010",""
"10011","","31","211","0","1","0","102110003","1","10011",""
"10020","","31","211","0","0","0","102110004","1","10020",""
"2","0","1","211","62","0.68","-100","102110005","-90","1001001","<weapon>_idle"
"2","0","1","211","61","0.68","-170","102110006","-15","1001002","<weapon>_idle"
"2","0","1","211","63","0.68","-240","102110007","-105","1001003","<weapon>_idle"
"2","0","1","211","61","0.68","-310","102110008","-15","1001004","<weapon>_idle"
"2","0","1","211","62","0.68","-380","102110009","-90","1001005","<weapon>_idle"
"10012","0","31","211","-100","1","-90","102110010","0.68","1001001",""
"10012","0","31","211","-170","1","-15","102110011","0.68","1001002",""
"10012","0","31","211","-240","1","-105","102110012","0.68","1001003",""
"10012","0","31","211","-310","1","-15","102110013","0.68","1001004",""
"10012","0","31","211","-380","1","-90","102110014","0.68","1001005",""
"2","0","1","211","52","0.68","-500","102110015","-240","1002001","<weapon>_idle"
"2","0","1","211","51","0.68","-570","102110016","-165","1002002","<weapon>_idle"
"2","0","1","211","53","0.68","-640","102110017","-255","1002003","<weapon>_idle"
"2","0","1","211","51","0.68","-710","102110018","-165","1002004","<weapon>_idle"
"2","0","1","211","52","0.68","-780","102110019","-240","1002005","<weapon>_idle"
"10012","0","31","211","-500","1","-240","102110020","0.68","1002001",""
"10012","0","31","211","-570","1","-165","102110021","0.68","1002002",""
"10012","0","31","211","-640","1","-255","102110022","0.68","1002003",""
"10012","0","31","211","-710","1","-165","102110023","0.68","1002004",""
"10012","0","31","211","-780","1","-240","102110024","0.68","1002005",""
"10030","","31","211","0","0","0","102110025","1","10030",""
"10031","","31","211","0","0","0","102110026","1","10031",""
"","","91","211","","","","102110027","","0",""
"10030","","32","211","","","","102110028","","1",""
"0","","91","211","","","","102110029","","0",""
"1001001","","3","211","1","0","","102110030","0","<weapon>_run",""
"1001002","","3","211","1","0","","102110031","0","<weapon>_run",""
"1001003","","3","211","1","0","","102110032","0","<weapon>_run",""
"1001004","","3","211","1","0","","102110033","0","<weapon>_run",""
"1001005","","3","211","1","0","","102110034","0","<weapon>_run",""
"1001001","","2","211","-90","","3","102110035","0","850",""
"1001002","","2","211","-15","","3","102110036","0","780",""
"1001003","","2","211","-105","","3","102110037","0","710",""
"1001004","","2","211","-15","","3","102110038","0","640",""
"1001005","","2","211","-90","","3","102110039","0","570",""
"1001001","","33","211","-90","","3","102110040","0","850",""
"1001002","","33","211","-15","","3","102110041","0","780",""
"1001003","","33","211","-105","","3","102110042","0","710",""
"1001004","","33","211","-15","","3","102110043","0","640",""
"1001005","","33","211","-90","","3","102110044","0","570",""
"1002001","","3","211","1","0","","102110045","0","<weapon>_run",""
"1002002","","3","211","1","0","","102110046","0","<weapon>_run",""
"1002003","","3","211","1","0","","102110047","0","<weapon>_run",""
"1002004","","3","211","1","0","","102110048","0","<weapon>_run",""
"1002005","","3","211","1","0","","102110049","0","<weapon>_run",""
"1002001","","2","211","-240","","3","102110050","0","450",""
"1002002","","2","211","-165","","3","102110051","0","380",""
"1002003","","2","211","-255","","3","102110052","0","310",""
"1002004","","2","211","-165","","3","102110053","0","240",""
"1002005","","2","211","-240","","3","102110054","0","170",""
"1002001","","33","211","-240","","3","102110055","0","450",""
"1002002","","33","211","-165","","3","102110056","0","380",""
"1002003","","33","211","-255","","3","102110057","0","310",""
"1002004","","33","211","-165","","3","102110058","0","240",""
"1002005","","33","211","-240","","3","102110059","0","170",""
"10020","","32","211","","","","102110060","","1",""
"2.5","","93","211","","","","102110061","","0",""
"10031","","32","211","","","","102110062","","1",""
"0.4","","93","211","","","","102110063","","0",""
"0","","91","211","","","","102110064","","0",""
"se_travel","","23","311","0","","","103110001","","se_travel_start_3pt",""
"10010","","31","311","0","1","0","103110002","1","10010",""
"10011","","31","311","0","1","0","103110003","1","10011",""
"10020","","31","311","0","0","0","103110004","1","10020",""
"2","0","1","311","62","0.68","0","103110005","-240","1001001","<weapon>_idle"
"2","0","1","311","61","0.68","-70","103110006","-165","1001002","<weapon>_idle"
"2","0","1","311","63","0.68","-140","103110007","-255","1001003","<weapon>_idle"
"2","0","1","311","61","0.68","-210","103110008","-165","1001004","<weapon>_idle"
"2","0","1","311","62","0.68","-280","103110009","-240","1001005","<weapon>_idle"
"10012","0","31","311","0","1","-240","103110010","0.68","1001001",""
"10012","0","31","311","-70","1","-165","103110011","0.68","1001002",""
"10012","0","31","311","-140","1","-255","103110012","0.68","1001003",""
"10012","0","31","311","-210","1","-165","103110013","0.68","1001004",""
"10012","0","31","311","-280","1","-240","103110014","0.68","1001005",""
"2","0","1","311","52","0.68","-250","103110015","-60","1002001","<weapon>_idle"
"2","0","1","311","51","0.68","-320","103110016","15","1002002","<weapon>_idle"
"2","0","1","311","53","0.68","-390","103110017","-75","1002003","<weapon>_idle"
"2","0","1","311","51","0.68","-460","103110018","15","1002004","<weapon>_idle"
"2","0","1","311","52","0.68","-530","103110019","-60","1002005","<weapon>_idle"
"10012","0","31","311","-250","1","-60","103110020","0.68","1002001",""
"10012","0","31","311","-320","1","15","103110021","0.68","1002002",""
"10012","0","31","311","-390","1","-75","103110022","0.68","1002003",""
"10012","0","31","311","-460","1","15","103110023","0.68","1002004",""
"10012","0","31","311","-530","1","-60","103110024","0.68","1002005",""
"2","0","1","311","62","0.68","-500","103110025","-250","1003001","<weapon>_idle"
"2","0","1","311","61","0.68","-570","103110026","-175","1003002","<weapon>_idle"
"2","0","1","311","63","0.68","-640","103110027","-265","1003003","<weapon>_idle"
"2","0","1","311","61","0.68","-710","103110028","-175","1003004","<weapon>_idle"
"2","0","1","311","62","0.68","-780","103110029","-250","1003005","<weapon>_idle"
"10012","0","31","311","-500","1","-250","103110030","0.68","1003001",""
"10012","0","31","311","-570","1","-175","103110031","0.68","1003002",""
"10012","0","31","311","-640","1","-265","103110032","0.68","1003003",""
"10012","0","31","311","-710","1","-175","103110033","0.68","1003004",""
"10012","0","31","311","-780","1","-250","103110034","0.68","1003005",""
"10030","","31","311","0","0","0","103110035","1","10030",""
"10031","","31","311","0","0","0","103110036","1","10031",""
"","","91","311","","","","103110037","","0",""
"10030","","32","311","","","","103110038","","1",""
"0","","91","311","","","","103110039","","0",""
"1001001","","3","311","1","0","","103110040","0","<weapon>_run",""
"1001002","","3","311","1","0","","103110041","0","<weapon>_run",""
"1001003","","3","311","1","0","","103110042","0","<weapon>_run",""
"1001004","","3","311","1","0","","103110043","0","<weapon>_run",""
"1001005","","3","311","1","0","","103110044","0","<weapon>_run",""
"1001001","","2","311","-240","","3","103110045","0","950",""
"1001002","","2","311","-165","","3","103110046","0","880",""
"1001003","","2","311","-255","","3","103110047","0","810",""
"1001004","","2","311","-165","","3","103110048","0","740",""
"1001005","","2","311","-240","","3","103110049","0","670",""
"1001001","","33","311","-240","","3","103110050","0","950",""
"1001002","","33","311","-165","","3","103110051","0","880",""
"1001003","","33","311","-255","","3","103110052","0","810",""
"1001004","","33","311","-165","","3","103110053","0","740",""
"1001005","","33","311","-240","","3","103110054","0","670",""
"1002001","","3","311","1","0","","103110055","0","<weapon>_run",""
"1002002","","3","311","1","0","","103110056","0","<weapon>_run",""
"1002003","","3","311","1","0","","103110057","0","<weapon>_run",""
"1002004","","3","311","1","0","","103110058","0","<weapon>_run",""
"1002005","","3","311","1","0","","103110059","0","<weapon>_run",""
"1002001","","2","311","-60","","3","103110060","0","700",""
"1002002","","2","311","15","","3","103110061","0","630",""
"1002003","","2","311","-75","","3","103110062","0","560",""
"1002004","","2","311","15","","3","103110063","0","490",""
"1002005","","2","311","-60","","3","103110064","0","420",""
"1002001","","33","311","-60","","3","103110065","0","700",""
"1002002","","33","311","15","","3","103110066","0","630",""
"1002003","","33","311","-75","","3","103110067","0","560",""
"1002004","","33","311","15","","3","103110068","0","490",""
"1002005","","33","311","-60","","3","103110069","0","420",""
"1003001","","3","311","1","0","","103110070","0","<weapon>_run",""
"1003002","","3","311","1","0","","103110071","0","<weapon>_run",""
"1003003","","3","311","1","0","","103110072","0","<weapon>_run",""
"1003004","","3","311","1","0","","103110073","0","<weapon>_run",""
"1003005","","3","311","1","0","","103110074","0","<weapon>_run",""
"1003001","","2","311","-250","","3","103110075","0","450",""
"1003002","","2","311","-175","","3","103110076","0","380",""
"1003003","","2","311","-265","","3","103110077","0","310",""
"1003004","","2","311","-175","","3","103110078","0","240",""
"1003005","","2","311","-250","","3","103110079","0","170",""
"1003001","","33","311","-250","","3","103110080","0","450",""
"1003002","","33","311","-175","","3","103110081","0","380",""
"1003003","","33","311","-265","","3","103110082","0","310",""
"1003004","","33","311","-175","","3","103110083","0","240",""
"1003005","","33","311","-250","","3","103110084","0","170",""
"10020","","32","311","","","","103110085","","1",""
"2.5","","93","311","","","","103110086","","0",""
"10031","","32","311","","","","103110087","","1",""
"0.4","","93","311","","","","103110088","","0",""
"0","","91","311","","","","103110089","","0",""
