10e768d3157caff8911049817cc3a4fec0f032f1880512c6c6defc1c1248fd89,43a11b67ef1c7fec0dba118b702d03e6c1ec67a3c89f75d1925f9ed8635ccfb2,51c3448e8160de2797003fd4ae20e88b4eed591ac95152b9fece54646d59898b,ba78cb117cf126ffc2191f2f9112f036090a389a4c337c39712c5db5f6abb5ad,4965869fbec9d4fca61405540e902a8b85b14195e89e689a1708e3fa38884f9a,5476860a9fbaf08888a8c6709b8b1bcecc8cd91a428c444d4f599a8c74925ffd,d051dea709ea7393551d7f38f7785859b371a841b8ee4a2a4f52d0b876ec926a,a1095fbc16bffabddfdf74ac9d11a2515e61d2afa5b70bce54a00c48a382f313,ed099c808a76cc49c7b59e817fd89cdd4cfab76f64fe6a7f45af510720a7948c,40b6b07d0c60f6b0db5af4a5c2d8d893bb555c79bffbd0e30e6f225dc732dfbb,667da9b69c424093e94e24f7f884097263c996c82d6487934d4ce22cc26e5cdb,37f997da6815ccaa0da1e7df2a3978d6438f0b4d5bb80d16514b79b55aef3d10,55129787d571f5d6c59fd6c88dc1195b26d761a54091fc5a44680e4760d88f86
"クリエイション","1","0","0","1","3121002","オブジェクト","0","アヴァロン","0","0","0","ミラー"
"梅","1","0","0","1","3130001","塩","0","倍","0","0","0","暗"
"夏","0","0","1","1","3130002","春","0","冬","0","0","1","秋"
"四面楚歌","1","0","0","1","3130004","前代未聞","0","良妻嫌母","0","0","0","五里夢中"
"公明正大","1","0","0","1","3130005","無我夢中","0","一期一得","0","0","0","自我自賛"
"山止水明","1","0","0","1","3130006","怪刀乱麻","0","単刀直入","0","0","1","危機一発"
"三位一体","1","0","0","1","3130007","以心伝心","0","興味深々","0","0","1","意気消沈"
"念","1","0","0","1","3130010","朴","0","温","0","0","1","仁"
"壇","1","0","0","1","3130011","土","0","独","0","0","1","場"
"楽","1","0","0","1","3130013","我","0","雑","0","0","1","多"
"まめ","1","0","0","1","3130014","ちゅうじつ","0","ただみ","0","0","0","りちぎ"
"もずく","1","0","0","1","3130016","わかめ","0","たまねぎ","0","0","0","たけのこ"
"血盟","1","0","0","1","3131001","煉獄","0","冥空","0","0","0","戦記"
"トランス","1","0","0","1","3131002","エクスタシー","0","妄想","0","0","0","トリップ"
"ナス","1","0","0","1","3210001","トマト","0","ダイコン","0","0","1","キュウリ"
"腎臓","1","0","0","1","3210002","肺","0","心臓","0","0","0","肝臓"
"排出器","1","0","0","1","3210003","呼吸器","0","消火器","0","0","1","循環器"
"タコ","1","0","0","1","3210005","イカ","0","イソギンチャク","0","0","0","ナマコ"
"コアラ","1","0","0","1","3210006","カンガルー","0","ナマケモノ","0","0","0","イノシシ"
"でんでんむし","1","0","0","1","3210008","マイマイ","0","がんがんむし","0","0","0","モイモイ"
"モンシロチョウ","1","0","0","1","3210009","モンキチョウ","0","モンアカチョウ","0","0","0","モンアオチョウ"
"中指","1","0","0","1","3210010","小指","0","親指","0","0","0","人差し指"
"B型","1","0","0","1","3210011","A型","0","D型","0","0","0","C型"
"ハマグリ","1","0","0","1","3210013","アサリ","0","エビ","0","0","0","ヤドカリ"
"ウマ","1","0","0","1","3210014","ウサギ","0","オオカミ","0","0","0","ライオン"
"シカ","1","0","0","1","3210015","サイ","0","コアラ","0","0","0","クマ"
"ハツネ","1","0","0","1","3211001","スズナ","0","サレン","0","0","0","ミソギ"
"カヤ","1","0","0","1","3211002","ホマレ","0","ミフユ","0","0","1","イノリ"
"クモ","1","0","0","1","3220001","ムカデ","0","アメンボ","0","0","0","アリ"
"ミミズ","1","0","0","1","3220002","バッタ","0","ヒト","0","0","0","カエル"
"メバル","1","0","0","1","3220003","カワハギ","0","チョウチンアンコウ","0","0","0","トビウオ"
"ベタ","1","0","0","1","3220006","グッピー","0","メダカ","0","0","0","キンギョ"
"ヒヤシンス","1","0","0","1","3220007","チューリップ","0","タンポポ","0","0","0","ヒマワリ"
"マッコウ","1","0","0","1","3220009","セミ","0","ジンベエ","0","0","1","シロナガス"
"タンチョウ","1","0","0","1","3220011","トキ","0","オコジョ","0","0","0","ツキノワグマ"
"メロン","1","0","0","1","3220012","スイカ","0","リンゴ","0","0","1","イチゴ"
"光","1","0","0","1","3220013","水","0","酸素","0","0","1","二酸化炭素"
"ミジンコ","1","0","0","1","3220014","アオミドロ","0","クツワムシ","0","0","1","ボルボックス"
"パグ","1","0","0","1","3220015","チワワ","0","ソマリ","0","0","1","シーズー"
"イモムシ","1","0","0","1","3220016","アオムシ","0","ミドリムシ","0","0","0","フナムシ"
"ミミ","1","0","0","1","3221001","モニカ","0","キョウカ","0","0","0","ユカリ"
"シオリ","1","0","0","1","3221002","トモ","0","ハツネ","0","0","1","モニカ"
"羊","1","0","0","1","3230001","牛","0","獅子","0","0","0","ねずみ"
"ヤマネコ","1","0","1","0","3230004","ウミネコ","0","トラ","0","0","1","ライオン"
"エナメル質","1","0","0","1","3230005","象牙質","0","神経質","0","0","1","セメント質"
"ウグイス","1","0","0","1","3230006","コマドリ","0","エトピリカ","0","0","1","オオルリ"
"カクタス咲き","1","0","0","1","3230007","アネモネ咲き","0","ロゼッタ咲き","0","0","1","一重咲き"
"サンショウウオ","1","0","0","1","3230008","ワニ","0","ニホンザル","0","0","0","イルカ"
"コウモリ","1","0","0","1","3230010","モモンガ","0","ミミズク","0","0","0","コンドル"
"イルカ","1","0","0","1","3230011","ムササビ","0","ダチョウ","0","0","0","ペンギン"
"イモリ","1","0","1","0","3230012","ヤモリ","0","カタツムリ","0","0","1","コウモリ"
"ムネ","1","0","0","1","3230013","アタマ","0","シリ","0","0","1","ハラ"
"オオハクチョウ","1","0","0","1","3230014","ツバメ","0","スズメ","0","0","1","マナヅル"
"カメ","1","0","0","1","3230016","ヘビ","0","ヒト","0","0","0","コウモリ"
"シェフィ","1","0","0","1","3231001","コッコロ","0","キャル","0","0","0","ペコリーヌ"
"レイ","1","0","0","1","3231002","コッコロ","0","ラビリスタ","0","0","1","ホマレ"
"4","1","0","0","1","3310001","2","0","3","0","0","0","1"
"アルミニウム","1","0","0","1","3310003","銀","0","金","0","0","0","銅"
"尺","1","0","0","1","3310005","メートル","0","ファラッド","0","0","1","インチ"
"コサイン","1","0","0","1","3310006","サイン","0","ヒロイン","0","0","1","タンジェント"
"ひし形","1","0","0","1","3310007","正方形","0","おうぎ形","0","0","1","長方形"
"215","1","0","0","1","3310008","405","0","112","0","0","0","827"
"E","1","0","0","1","3310009","L","0","A","0","0","1","D"
"アルミニウム","1","0","1","0","3310010","鉄","0","銀","0","0","1","金"
"水酸化ナトリウム水溶液","1","0","0","1","3310012","石けん水","0","硝酸","0","0","0","蒸留水"
"藍","1","0","0","1","3310013","赤","0","桃","0","0","1","緑"
"5","1","0","0","1","3310014","6","0","3","0","0","0","4"
"4:1","0","0","0","1","3310015","10:6","0","12:8","0","0","1","15:9"
"オーマ","1","0","0","1","3311001","ソルの塔","0","キャッスル・オブ・パルフェ","0","0","1","ランドソル"
"キャッスル・オブ・パルフェ","1","0","0","1","3311002","ふぁんふぁんファーム","0","オーマ","0","0","0","ソルの塔"
"にゅうどうぐも","1","0","0","1","3320001","いわしぐも","0","じょろうぐも","0","0","1","うろこぐも"
"アルタイル","1","0","0","1","3320002","デネブ","0","アンタレス","0","0","1","ベガ"
"力点","1","0","0","1","3320003","支点","0","交点","0","0","1","作用点"
"対流","1","0","0","1","3320004","伝導","0","反射","0","0","1","放射"
"11111","0","0","0","1","3320005","111","0","1111","0","0","1","111111"
"青","1","0","0","1","3320007","赤","0","黄","0","0","1","緑"
"天王星","1","0","0","1","3320008","地球","0","冥王星","0","0","1","海王星"
"わし座","1","0","0","1","3320010","はくちょう座","0","おおいぬ座","0","0","0","こいぬ座"
"塩酸","1","0","0","1","3320011","レモンの果汁","0","アンモニア水","0","0","0","塩水"
"臭素","1","0","0","1","3320014","塩素","0","二酸化炭素","0","0","0","酸素"
"最も軽い気体である","1","0","0","1","3320015","酸素と混ぜて燃やすと音が出る","0","ツンとする臭いがある","0","0","0","水色である"
"2","1","0","0","1","3320016","3","0","0","0","0","0","1"
"ルーセント学院","1","0","0","1","3321001","リトルリリカル","0","王宮騎士団","0","0","0","メルクリウス財団"
"のど・鼻の保湿効果","1","0","0","1","3321002","清涼効果","0","保温効果","0","0","0","美肌効果"
"おおかみ座","1","0","0","1","3330001","おおいぬ座","0","おおやぎ座","0","0","1","おおぐま座"
"リゲル","1","0","0","1","3330002","ベテルギウス","0","シリウス","0","0","0","アルタイル"
"玄武岩","1","0","0","1","3330003","流紋岩","0","閃緑岩","0","0","1","安山岩"
"マグネシウム","1","0","0","1","3330004","カルシウム","0","カリウム","0","0","0","アルミニウム"
"炭素","1","0","0","1","3330007","酸素","0","化素","0","0","0","二素"
"2×2×5×5","1","0","0","1","3330010","10の2乗","0","6！","0","0","0","ルート1000"
"ルート225","1","0","0","1","3330011","4＋5＋6","0","112÷7","0","0","0","2×3×4"
"水素","1","0","0","1","3330012","炭素","0","窒素","0","0","1","酸素"
"硝酸","1","0","0","1","3330013","塩酸","0","水酸化ナトリウム","0","0","0","硫酸"
"霧","1","0","0","1","3330014","雪","0","天気雨","0","0","1","薄雲"
"塩素","1","0","0","1","3330015","フッ素","0","窒素","0","0","0","ケイ素"
"ダイヤモンド","1","0","0","1","3330016","黒鉛","0","オゾン","0","0","1","フラーレン"
"ペテロ大森林","1","0","0","1","3331001","カスタリア樹林","0","イリス樹海","0","0","0","ケレス森林"
"ヘリケ巨木","1","0","0","1","3331002","スィオネ樹林","0","アルバ浜堤","0","0","1","イオカステ岩山"
"トイレ","1","0","0","1","3410001","風呂場","0","玄関","0","0","1","キッチン"
"消防士","1","0","0","1","3410002","警察官","0","警備員","0","0","0","弁護士"
"段ボール","1","0","0","1","3410003","雑誌","0","蛍光灯","0","0","1","新聞紙"
"緑","1","0","0","1","3410004","黄","0","青","0","0","0","オレンジ"
"連絡","1","0","0","1","3410005","報告","0","練習","0","0","0","放置"
"青","1","0","0","1","3410006","赤","0","紫","0","0","1","黄"
"リユース","1","0","0","1","3410007","リデュース","0","リスタート","0","0","1","リサイクル"
"祖父","1","0","0","1","3410008","妻","0","親友","0","0","1","孫"
"せん切り","1","0","0","1","3410010","みじん切り","0","指切り","0","0","1","輪切り"
"豆腐","1","0","0","1","3410011","納豆","0","豆板醤","0","0","1","豆乳"
"ホワイトペッパー","1","0","0","1","3410013","ブラックペッパー","0","レッドペッパー","0","0","1","ピンクペッパー"
"プーアル","1","0","0","1","3410015","ウーロン","0","ブルーマウンテン","0","0","1","ジャスミン"
"レイ","1","0","0","1","3411001","ユイ","0","カオリ","0","0","1","ヒヨリ"
"ミソギ","1","0","0","1","3411002","ミミ","0","ユニ","0","0","1","キョウカ"
"石炭","1","0","0","1","3420001","石油","0","薪","0","0","1","天然ガス"
"立法","1","0","0","1","3420002","司法","0","憲法","0","0","1","行政"
"水道代","1","0","0","1","3420003","電気代","0","新聞代","0","0","0","電車賃"
"賀正","1","0","0","1","3420004","謹賀新年","0","惜春","0","0","1","迎春"
"一時雨","1","0","0","1","3420005","ときどき雨","0","しばしば雨","0","0","1","のち雨"
"単3","1","0","0","1","3420007","単1","0","単7","0","0","1","単5"
"プラス","1","0","0","1","3420009","マイナス","0","スライス","0","0","1","ボックス"
"木綿豆腐","1","0","0","1","3420010","絹ごし豆腐","0","喉ごし豆腐","0","0","1","高野豆腐"
"バター","1","0","0","1","3420011","チーズ","0","マヨネーズ","0","0","1","ヨーグルト"
"スクランブルエッグ","1","0","0","1","3420012","オムレツ","0","カルパッチョ","0","0","1","エッグベネディクト"
"もち米","1","0","0","1","3420014","うるち米","0","すだち米","0","0","0","くち米"
"スパゲッティ","1","0","0","1","3420015","うどん","0","そば","0","0","1","ひやむぎ"
"ニノン","1","0","0","1","3421001","キャル","0","エリコ","0","0","0","リノ"
"レアガチャ","1","0","0","1","3421002","プレミアムガチャ","0","おにぎりガチャ","0","0","0","キャラバンガチャ"
"Z","1","0","0","1","3430001","E","0","P","0","0","0","G"
"じいちゃん","1","0","0","1","3430002","かあちゃん","0","とうちゃん","0","0","1","ばあちゃん"
"キッチン","1","0","0","1","3430004","居間","0","ベランダ","0","0","1","台所"
"大黒天","1","0","0","1","3430005","恵比寿","0","達磨","0","0","1","布袋"
"騒音","1","0","0","1","3430007","地盤沈下","0","インフルエンザ","0","0","1","振動"
"歩行器","1","0","0","1","3430008","車椅子","0","エスカレーター","0","0","1","スロープ"
"幼稚園児","1","0","0","1","3430009","生後半年","0","中学三年生","0","0","0","小学三年生"
"油","1","0","0","1","3430010","酢","0","牛乳","0","0","1","卵"
"ウィスキー","1","0","0","1","3430011","焼酎","0","ワイン","0","0","1","ビール"
"酢","1","0","0","1","3430012","醤油","0","酒","0","0","0","背脂"
"ハコベラ","1","0","0","1","3430013","スズナ","0","ゴボウ","0","0","1","ナズナ"
"グラノーラ","1","0","0","1","3430015","コーンフレーク","0","サラミ","0","0","1","オートミール"
"サマーゲームの覇者","1","0","0","1","3431001","譲れないサマーゲーム","0","砂浜のプリンセス","0","0","0","フラッグは譲れない"
"渚のスラッガー","1","0","0","1","3431002","渚の4番見習い","0","ぷうきちストライク","0","0","1","渚の不動の4番"
"囲碁","1","0","0","1","3510001","オセロ","0","将棋","0","0","1","チェス"
"フルート","1","0","0","1","3510002","尺八","0","バイオリン","0","0","1","リコーダー"
"クラリネット","1","0","0","1","3510003","太鼓","0","インターネット","0","0","1","尺八"
"クイーン","1","0","0","1","3510004","ポーン","0","ジェネラル","0","0","1","ビショップ"
"歩","1","0","0","1","3510005","王将","0","塔","0","0","0","騎士"
"ツイスター","1","0","0","1","3510006","モノポリー","0","トランプ","0","0","1","ダーツ"
"4","1","0","0","1","3510007","3","0","2","0","0","1","1"
"チー","1","0","0","1","3510008","ポン","0","ツモ","0","0","1","カン"
"ラ","1","0","0","1","3510009","ファ","0","ミ","0","0","0","シ"
"コントラバス","1","0","0","1","3510013","バイオリン","0","フルート","0","0","0","パイプオルガン"
"ティンパニー","1","0","0","1","3510014","タンバリン","0","ベース","0","0","1","トライアングル"
"ファゴット","1","0","0","1","3510015","フルート","0","チューバ","0","0","0","トランペット"
"","1","3","0","1","3511001","","1","","2","4","0",""
"ピュアメモリーピース","1","0","0","1","3511002","プリンセスオーブ","0","プリンセスハート","0","0","1","メモリーピース"
"チェックメイト","1","0","0","1","3520001","スティルメイト","0","ストレート","0","0","0","キャスト"
"すごろく","1","0","0","1","3520002","チンチロリン","0","花札","0","0","1","麻雀"
"レッドアイ","1","0","0","1","3520003","ブラッディマリー","0","ジントニック","0","0","0","スクリュードライバー"
"バイオリン","1","0","0","1","3520004","ビオラ","0","ギター","0","0","1","チェロ"
"渡し箸","1","0","0","1","3520005","迷い箸","0","伏せ箸","0","0","1","刺し箸"
"能","1","0","0","1","3520006","歌舞伎","0","京劇","0","0","1","狂言"
"角","1","0","0","1","3520009","飛車","0","歩","0","0","0","金"
"グランド","1","0","0","1","3520010","アップライト","0","グレート","0","0","1","エレクトリック"
"梅","1","0","0","1","3520011","桜","0","椿","0","0","0","桃"
"D","1","0","0","1","3520012","C","0","Q","0","0","0","K"
"白","1","0","0","1","3520015","黒","0","赤","0","0","1","灰色"
"U","1","0","0","1","3520016","S","0","E","0","0","1","V"
"ミント","1","0","0","1","3521001","バニラ","0","イチゴ","0","0","0","チョコ"
"ブドウ","1","0","0","1","3521002","イチゴ","0","メロン","0","0","1","キウイ"
"赤","1","0","0","1","3530001","奇数","0","40","0","0","1","1～12"
"腰板","1","0","0","1","3530002","水腰","0","犬間","0","0","1","猫間"
"バラライカ","1","0","0","1","3530003","三味線","0","ベース","0","0","0","ギター"
"A","1","0","0","1","3530005","J","0","2","0","0","0","9"
"Copy","1","0","0","1","3530006","Carbon","0","Call","0","0","0","Creative"
"二ツ目","1","0","0","1","3530007","前座","0","一ツ目","0","0","1","真打"
"カラー","1","0","0","1","3530008","カット","0","カーボン","0","0","1","カラット"
"5000","1","0","0","1","3530010","10000","0","2500","0","0","1","1000"
"ピッコロ","1","0","0","1","3530011","フルート","0","クラリネット","0","0","0","オーボエ"
"フラッシュ","1","0","0","1","3530012","ストレート","0","スリーペア","0","0","1","フルハウス"
"ダウト","1","0","0","1","3530013","ポーカー","0","ヨット","0","0","1","スピード"
"蝶","1","0","0","1","3530016","猪","0","銀杏","0","0","0","鯉"
"はじっめ、ちょろちょろ","1","0","1","0","3531001","うつっわに乗せて、ふーふーふー","0","な～か、ぱっぱ","0","0","1","あかっご泣いても、蓋とるな"
"贅沢たい焼き","1","0","0","1","3531002","ゼリー入りあんこたい焼き","0","プラチナたい焼き","0","0","0","レインボーたい焼き"
"鉄棒","1","0","1","0","3610003","ダンス","0","吊り輪","0","0","1","平均台"
"ラケット","1","0","0","1","3610004","ミトン","0","ミット","0","0","0","バット"
"野球","1","0","0","1","3610005","テニス","0","バスケットボール","0","0","0","サッカー"
"弓道","1","0","0","1","3610006","アーチェリー","0","ラクロス","0","0","0","剣道"
"スキー","1","0","0","1","3610007","水泳","0","柔道","0","0","0","レスリング"
"バドミントン","1","0","0","1","3610008","バレーボール","0","バスケットボール","0","0","1","テニス"
"スケート","1","0","0","1","3610010","スキー","0","サーフィン","0","0","0","テニス"
"フォワード","1","0","1","0","3610011","ゴールキーパー","0","ディフェンダー","0","0","1","ミッドフィルダー"
"サッカー","1","0","0","1","3610012","アイスホッケー","0","野球","0","0","0","テニス"
"フェンシング","1","0","0","1","3610013","剣道","0","スカイダイビング","0","0","0","レスリング"
"柔道","1","0","0","1","3610014","レスリング","0","剣道","0","0","1","ボクシング"
"シュノーケリング","1","0","0","1","3610015","サーフィン","0","ボクシング","0","0","0","スカイダイビング"
"黒月の守護像","1","0","0","1","3611001","ラースドラゴン","0","ジャバウォック","0","0","1","ポセイドン・嵐撃の槍"
"クウカ","1","0","0","1","3611002","ノゾミ","0","ミヤコ","0","0","0","リマ"
"50m","1","0","0","1","3620001","25m","0","15m","0","0","0","100m"
"突き","1","0","0","1","3620002","二刀流","0","場外に出る","0","0","0","足払い"
"胴","1","0","0","1","3620003","面","0","すね","0","0","1","小手"
"ベリーロール","1","0","0","1","3620006","背面跳び","0","三段跳び","0","0","1","はさみ跳び"
"カウントアップ","1","0","0","1","3620007","クリケット","0","カウントダウン","0","0","1","ゼロワン"
"正四角形","0","0","1","0","3620008","正三角形","0","正六角形","0","0","1","正五角形"
"白","1","0","0","1","3620009","赤","0","青","0","0","0","黒"
"自転車","1","0","0","1","3620010","水泳","0","砲丸投げ","0","0","1","長距離走"
"セブンボール","1","0","0","1","3620013","ナインボール","0","イレブンボール","0","0","0","ファイブボール"
"デッドリフト","1","0","1","0","3620014","ボディビル","0","ベンチプレス","0","0","1","スクワット"
"セカンド","1","0","0","1","3620015","ファースト","0","ライト","0","0","0","レフト"
"フリースタイル","1","0","0","1","3620016","グレコローマン","0","オールレンジ","0","0","0","タッグ"
"マグスガーゴイル","1","0","0","1","3621001","ガーゴイル・マギ","0","ガーゴイル","0","0","0","ガーゴイル・バースト"
"サレン（サマー）","1","0","0","1","3621002","モニカ","0","アメス","0","0","1","カリン"
"5番","0","0","1","0","3630001","1番","0","10番","0","0","1","7番"
"アルティメット","1","0","0","1","3630003","クリケット","0","ロケット","0","0","0","ブランケット"
"卓球","1","0","1","0","3630004","バレーボール","0","テニス","0","0","1","バドミントン"
"二本背負い","0","0","1","1","3630005","一本背負い","0","二丁投げ","0","0","0","一丁投げ"
"副将","1","0","0","1","3630006","大将","0","将軍","0","0","0","准将"
"ファースト","1","0","0","1","3630007","キャッチャー","0","サード","0","0","0","セカンド"
"関脇","1","0","0","1","3630008","大関","0","横綱","0","0","1","小結"
"跳馬","1","0","0","1","3630010","床","0","平行棒","0","0","0","鉄棒"
"ペンホルダー","1","0","0","1","3630012","シェークハンド","0","つまみ持ち","0","0","0","グラップ"
"パワーフォワード","1","0","0","1","3630013","ポイントガード","0","ディフェンダー","0","0","0","リベロ"
"センター","1","0","0","1","3630014","ランニングバック","0","シューティングガード","0","0","1","ラインバッカー"
"セッター","1","0","0","1","3630016","リベロ","0","センターブロッカー","0","0","0","スパイカー"
"アクアスラッシャー","1","0","0","1","3631001","ターコイズ・ノア","0","ガイアバルディッシュ","0","0","0","ブルーブラッド"
"タイフーン・ラブドリーム","1","0","0","1","3631002","スプレッドアフェクション","0","覇海姫・竜征冥風裂波斬","0","0","1","レヴィアタンランス"
