5cd952b1abfc467cd13b33bc43b4be4a9b2c106bfcf95017c857c60034affd6a,f484d84f0fb19590015273ff0152c7f231b6501a60eb4afd0de01bae026a4c0b,b03fa5ef03464b0c6ac87b222de2a77678d02f7b3fe5dd528042bf1cea84434f,9ba88eb9adf994716f1cf3a241e58ad8ecd3069eb49af98ee0dd599514df5f76,3f32c4a3758f2d93ebe839da2cc60393aeb5f025433d4b0f01d1671466d9c1bb,b13a3b73fe8373a3dddd75746c6a5271c4d954d5ae389077af0a820b310b1f9e,1f19421f1cd8b437d4d41b021e906ddf7991eeee8ff2f3e6d229e728d39d812d,dd5d3f94662fb39d4d1ca438b15137afde23f5c373d2ae125513fa4ed22470c5,a40e97832a8264326179122e0eba18e5d7d5aa442e26ea85397854999404d050,f7efa83da2f488ce67bbe11cba42eaa6d84d3d6561741aaeca0a21a3604a259b,8acc2cc925b8edc9053441046302e298f861445c265bdebf354f0b8f10d1a18a
"2","1","-570","<weapon>_idle","311","-175","0","0.68","1003002","103110026","61"
"2","1","-640","<weapon>_idle","311","-265","0","0.68","1003003","103110027","63"
"2","1","-710","<weapon>_idle","311","-175","0","0.68","1003004","103110028","61"
"2","1","-780","<weapon>_idle","311","-250","0","0.68","1003005","103110029","62"
"10012","31","-250","","311","0.68","0","1","1003001","103110030","-500"
"10012","31","-175","","311","0.68","0","1","1003002","103110031","-570"
"10012","31","-265","","311","0.68","0","1","1003003","103110032","-640"
"10012","31","-175","","311","0.68","0","1","1003004","103110033","-710"
"10012","31","-250","","311","0.68","0","1","1003005","103110034","-780"
"10030","31","0","","311","1","","0","10030","103110035","0"
"10031","31","0","","311","1","","0","10031","103110036","0"
"","91","","","311","","","","0","103110037",""
"10030","32","","","311","","","","1","103110038",""
"0","91","","","311","","","","0","103110039",""
"1001001","3","","","311","0","","0","<weapon>_run","103110040","1"
"1001002","3","","","311","0","","0","<weapon>_run","103110041","1"
"1001003","3","","","311","0","","0","<weapon>_run","103110042","1"
"1001004","3","","","311","0","","0","<weapon>_run","103110043","1"
"1001005","3","","","311","0","","0","<weapon>_run","103110044","1"
"1001001","2","3","","311","0","","","950","103110045","-240"
"1001002","2","3","","311","0","","","880","103110046","-165"
"1001003","2","3","","311","0","","","810","103110047","-255"
"1001004","2","3","","311","0","","","740","103110048","-165"
"1001005","2","3","","311","0","","","670","103110049","-240"
"1001001","33","3","","311","0","","","950","103110050","-240"
"1001002","33","3","","311","0","","","880","103110051","-165"
"1001003","33","3","","311","0","","","810","103110052","-255"
"1001004","33","3","","311","0","","","740","103110053","-165"
"1001005","33","3","","311","0","","","670","103110054","-240"
"1002001","3","","","311","0","","0","<weapon>_run","103110055","1"
"1002002","3","","","311","0","","0","<weapon>_run","103110056","1"
"1002003","3","","","311","0","","0","<weapon>_run","103110057","1"
"1002004","3","","","311","0","","0","<weapon>_run","103110058","1"
"1002005","3","","","311","0","","0","<weapon>_run","103110059","1"
"1002001","2","3","","311","0","","","700","103110060","-60"
"1002002","2","3","","311","0","","","630","103110061","15"
"1002003","2","3","","311","0","","","560","103110062","-75"
"1002004","2","3","","311","0","","","490","103110063","15"
"1002005","2","3","","311","0","","","420","103110064","-60"
"1002001","33","3","","311","0","","","700","103110065","-60"
"1002002","33","3","","311","0","","","630","103110066","15"
"1002003","33","3","","311","0","","","560","103110067","-75"
"1002004","33","3","","311","0","","","490","103110068","15"
"1002005","33","3","","311","0","","","420","103110069","-60"
"1003001","3","","","311","0","","0","<weapon>_run","103110070","1"
"1003002","3","","","311","0","","0","<weapon>_run","103110071","1"
"1003003","3","","","311","0","","0","<weapon>_run","103110072","1"
"1003004","3","","","311","0","","0","<weapon>_run","103110073","1"
"1003005","3","","","311","0","","0","<weapon>_run","103110074","1"
"1003001","2","3","","311","0","","","450","103110075","-250"
"1003002","2","3","","311","0","","","380","103110076","-175"
"1003003","2","3","","311","0","","","310","103110077","-265"
"1003004","2","3","","311","0","","","240","103110078","-175"
"1003005","2","3","","311","0","","","170","103110079","-250"
"1003001","33","3","","311","0","","","450","103110080","-250"
"1003002","33","3","","311","0","","","380","103110081","-175"
"1003003","33","3","","311","0","","","310","103110082","-265"
"1003004","33","3","","311","0","","","240","103110083","-175"
"1003005","33","3","","311","0","","","170","103110084","-250"
"10020","32","","","311","","","","1","103110085",""
"2.5","93","","","311","","","","0","103110086",""
"10031","32","","","311","","","","1","103110087",""
"0.4","93","","","311","","","","0","103110088",""
"0","91","","","311","","","","0","103110089",""
