104b36fce715e237ac857854c84917a5d3be1bdd82441eb6d5def8fb8642dcba,86c28da166cd4afd21baf6c7264342c13ebf2172fe084769f205e41220450a95,4d25ef91a45e7c78aeb4c8e277f52db82fa923ea8fcdec33caa6bb9a7d858a3d,e654c4f280f28ddc79afe612a03bb795879dddfd8191f06da928835fba66b1cb,7f020184766efce0bb3dacd4b1f92be76ec216fc21ab54cb2ed583040d84314f,66e84379523a05eea979a0a3a12cfcf2a92a4ebddc8a8d732bc08e6cbe841138,d7039f74604e14ab8cb5adeca5d569168ea58b7dcf7c8f686ef9247fbcd8a7dd,782c6bbd7728a8587fcdcec30d4c09be303165ff46019b4c2e2a2346d2b7eb88,32a3e8217a16b91e8b77f6b9205d476fb230a50504167f69aeab84d26886f854
"","21600","2","72","25","","6","93001","288"
"","21600","2","74","26","","6","93001","296"
"","21600","2","76","27","","6","93001","304"
"","21600","2","78","28","","6","93001","312"
"","21600","2","80","29","","6","93001","320"
"","21600","2","82","30","","6","93001","328"
"","21600","2","84","31","","6","93001","336"
"","21600","2","85","32","","6","93001","340"
"","14400","3","1","1","","2","20001","3"
"","9600","3","1","2","","2","20001","5"
"","7200","3","1","3","","2","20001","7"
"","5400","3","1","4","","2","20001","10"
"","3600","3","1","5","","2","20001","15"
"","9600","3","1","6","","2","20002","6"
"","7200","3","1","7","","2","20002","8"
"","4800","3","1","8","","2","20002","12"
"","3600","3","1","9","","2","20002","16"
"","2700","3","1","10","","2","20002","20"
"","10800","3","1","11","","2","20003","6"
"","9000","3","1","12","","2","20003","8"
"","7200","3","1","13","","2","20003","12"
"","5400","3","1","14","","2","20003","16"
"","3600","3","1","15","","2","20003","20"
"","2880","3","1","16","","2","20003","30"
"","12600","3","1","17","","2","20004","7"
"","11400","3","1","18","","2","20004","8"
"","10200","3","1","19","","2","20004","9"
"","9300","3","1","20","","2","20004","10"
"","8700","3","1","21","","2","20004","10"
"","6600","3","1","22","","2","20004","13"
"","6300","3","1","23","","2","20004","14"
"","6000","3","1","24","","2","20004","15"
"","5700","3","1","25","","2","20004","15"
"","5400","3","1","26","","2","20004","16"
"","5100","3","1","27","","2","20004","17"
"","4860","3","1","28","","2","20004","18"
"","4620","3","1","29","","2","20004","19"
"","4440","3","1","30","","2","20004","20"
"","4260","3","1","31","","2","20004","21"
"","4080","3","1","32","","2","20004","22"
"","21600","4","3000","1","","12","94002","12000"
"","21600","4","4500","2","","12","94002","18000"
"","21600","4","6000","3","","12","94002","24000"
"","21600","4","7500","4","","12","94002","30000"
"","21600","4","10500","5","","12","94002","42000"
"","21600","4","13500","6","","12","94002","54000"
"","21600","4","16500","7","","12","94002","66000"
"","21600","4","21000","8","","12","94002","84000"
"","21600","4","25500","9","","12","94002","102000"
"","21600","4","30000","10","","12","94002","120000"
"","21600","4","36000","11","","12","94002","144000"
"","21600","4","42000","12","","12","94002","168000"
"","21600","4","48000","13","","12","94002","192000"
"","21600","4","55500","14","","12","94002","222000"
"","21600","4","63000","15","","12","94002","252000"
"","21600","4","70500","16","","12","94002","282000"
"","21600","4","79500","17","","12","94002","318000"
"","21600","4","88500","18","","12","94002","354000"
"","21600","4","97500","19","","12","94002","390000"
"","21600","4","108000","20","","12","94002","432000"
"","21600","4","118500","21","","12","94002","474000"
"","21600","4","129000","22","","12","94002","516000"
"","21600","4","140500","23","","12","94002","562000"
"","21600","4","150000","24","","12","94002","600000"
"","21600","4","160500","25","","12","94002","642000"
"","21600","4","171000","26","","12","94002","684000"
"","21600","4","181500","27","","12","94002","726000"
"","21600","4","192000","28","","12","94002","768000"
"","21600","4","202500","29","","12","94002","810000"
"","21600","4","213000","30","","12","94002","852000"
"","21600","4","223500","31","","12","94002","894000"
"","21600","4","230000","32","","12","94002","920000"
"","21600","5","12","1","","6","93001","48"
"","21600","6","12","1","","6","93001","48"
"","21600","7","12","1","","6","93001","48"
"","21600","8","12","1","","6","93001","48"
"","21600","11","12","1","","6","93001","48"
"","21600","12","12","1","","6","93001","48"
"","21600","19","12","1","","6","93001","48"
"4999999999","0","23","1","0","14999999999","0","0","0"
"","21600","25","12","1","","6","93001","48"
"","21600","28","12","1","","6","93001","48"
"","21600","30","12","1","","6","93001","48"
